[00:00:00.009 --> 00:00:01.470]  The War on Corruption.
[02:01:18.956 --> 02:01:22.058]  Well, it's classic scientifically, it's how to beat them.
[02:01:22.078 --> 02:01:31.182]  The environmental left always has to have an eco-scare, whether it's overpopulation, whether it's disappearing rainforests, the Amazon, whether it's global cooling in the 70s.
[02:01:32.182 --> 02:01:39.206]  And actually, the rainforest scare, if you recall, Sting's Rainforest Foundation, all the Hollywood celebrities, that was the big issue du jour in the 80s and 90s.
[02:01:39.666 --> 02:01:43.768]  The New York Times was forced to admit in January of this year that rainforests
[02:01:44.569 --> 02:01:53.656]  Uh, for every acre cut, 50 are growing back, people are leaving the jungle, they're returning to nature, they quote a scientist saying maybe it wasn't such an urgent cause after all to save the rainforest.
[02:01:54.016 --> 02:01:57.178]  In other words, they're the most intact forest least threatened on the planet.
[02:01:57.651 --> 02:02:01.032]  And now that whole issue's died, but no one's out there saying sorry.
[02:02:01.052 --> 02:02:02.813]  You don't see Sting out there apologizing.
[02:02:02.873 --> 02:02:04.694]  I don't think he does his concerts anymore.
[02:02:04.734 --> 02:02:06.234]  If he does, he doesn't get any attention with them.
[02:02:06.595 --> 02:02:07.895]  They've moved on to global warming.
[02:02:08.175 --> 02:02:12.337]  So I think what's going to happen is global warming will die when the next eco-scare comes along.
[02:02:12.577 --> 02:02:13.697]  And when is that?
[02:02:14.098 --> 02:02:14.938]  I don't know yet.
[02:02:14.978 --> 02:02:17.259]  There's some people worried about whether we have enough oxygen.
[02:02:17.579 --> 02:02:19.940]  There's people that are going to go after it, whether it's species.
[02:02:20.160 --> 02:02:20.720]  I don't know.
[02:02:20.800 --> 02:02:21.200]  Who knows?
[02:02:21.220 --> 02:02:23.121]  They're always very creative and clever.
[02:02:23.521 --> 02:02:25.262]  You don't know what the next scare is going to be.
[02:02:25.462 --> 02:02:26.162]  And it's hard to say.
[02:02:26.202 --> 02:02:27.363]  I want to be clear here.
[02:02:27.915 --> 02:02:41.179]  You can't denigrate, there's a lot of scientists that are concerned about this, but I think what's happened is a lot of scientists who should know better are basically jumped on a bandwagon that has tens of billions of dollars involved in it.
[02:02:41.459 --> 02:02:45.440]  So say you study frogs, you do a study on frogs, no one really pays attention.
[02:02:45.460 --> 02:02:52.542]  You do a study on how global warming may impact frogs in the year 2040, suddenly you're getting funding, your university's getting press releases, you're getting radio calls.
[02:02:53.083 --> 02:02:57.664]  So it's not that the scientist is necessarily doing anything wrong, he's just going along with the scientific
[02:02:58.483 --> 02:02:59.925]  I don't know.
[02:03:12.884 --> 02:03:16.165]  You know, even if we faced a climate crisis, nothing Washington and the U.N.
[02:03:16.205 --> 02:03:17.146]  has proposed would have any effect.
[02:03:17.166 --> 02:03:19.707]  Well, that was my final point, is I looked at the studies.
[02:03:19.927 --> 02:03:20.787]  If only the U.S.
[02:03:20.827 --> 02:03:30.231]  and Western Europe and Japan made big cuts, all the production would automatically move to third world nations and it would actually increase greenhouse gases.
[02:03:30.251 --> 02:03:32.211]  Yes, environmentalists are worried it could increase emissions.
[02:03:32.271 --> 02:03:33.972]  I've got to jump in now, but thank you very much.
[02:03:34.052 --> 02:03:34.512]  Enjoyed it.
[02:03:34.652 --> 02:03:36.373]  And our website is climatedepot.com.
[02:03:36.721 --> 02:03:38.183]  Thank you so much for coming on with us.
[02:03:38.223 --> 02:03:40.525]  Perfect timing there because we now have Bob Chapman.
[02:03:41.006 --> 02:03:45.450]  Bob Chapman, I want to get your take with the InternationalForecaster.com.
[02:03:45.490 --> 02:03:50.235]  They're once a week visit with us on what's happening with the economy this week.
[02:03:50.576 --> 02:03:51.897]  Thousands of dealerships.
[02:03:52.638 --> 02:03:55.661]  They're saying a thousand plus Chrysler, a thirteen hundred.
[02:03:55.701 --> 02:03:56.162]  I've got the article.
[02:03:56.182 --> 02:03:57.123]  I think it's thirteen hundred.
[02:03:57.143 --> 02:03:58.024]  You can correct me if I'm wrong.
[02:03:59.565 --> 02:04:01.666]  General Motors are being told they're being shut down.
[02:04:01.686 --> 02:04:05.928]  And it's being handed over to Fiat, Bilderberg owned.
[02:04:06.869 --> 02:04:07.849]  Gold is exploding.
[02:04:08.109 --> 02:04:09.650]  Bob, what's coming up in this interview?
[02:04:11.731 --> 02:04:18.815]  Well, I think that Chrysler is talking about 38,000 jobs being lost.
[02:04:19.935 --> 02:04:22.737]  And I don't think that figure has been bantied around yet.
[02:04:23.757 --> 02:04:25.078]  And it's just devastating.
[02:04:25.518 --> 02:04:27.439]  And of course, this is a reflection
[02:04:28.269 --> 02:04:41.717]  of the policies that have been in place since about 1980 of moving all sorts of manufacturing and industry out of the United States under the guise of free trade globalization.
[02:04:42.623 --> 02:04:45.324]  Offshoring and outsourcing and... Stay there, got a break.
[02:04:45.344 --> 02:04:45.964]  We'll come back.
[02:04:46.004 --> 02:04:46.584]  We'll get into that.
[02:04:46.624 --> 02:04:48.485]  Yeah, this is the glories of globalization.
[02:04:48.845 --> 02:04:50.566]  This is the glories of Napta and GATT.
[02:04:50.586 --> 02:04:51.986]  The glories of the New World Order.
[02:04:52.486 --> 02:04:55.587]  And they're... George Soros and others are saying it is glorious for them.
[02:04:56.047 --> 02:04:57.388]  But not for you, not for me.
[02:04:57.788 --> 02:04:58.748]  Bob Chapman, our guest.
[02:04:58.768 --> 02:05:00.109]  Internationalforecaster.com.
[02:05:00.609 --> 02:05:04.070]  Our sites are PrisonPlanet.tv, PrisonPlanet.com and InfoWars.com.
[02:05:04.110 --> 02:05:04.530]  Stay with us.
[02:05:06.894 --> 02:05:12.176]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[02:05:12.736 --> 02:05:21.118]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[02:05:21.298 --> 02:05:28.100]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[02:05:28.420 --> 02:05:33.862]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[02:05:34.182 --> 02:05:40.146]  The New Silver Solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[02:05:40.487 --> 02:05:46.751]  The New Silver Solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[02:05:47.131 --> 02:05:51.534]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[02:05:51.794 --> 02:05:54.796]  Check out the patented New Silver Solution today.
[02:05:55.177 --> 02:05:58.419]  Click on the link and check out the uses for New Silver Solution.
[02:05:58.849 --> 02:06:03.514]  Order this extra line of defense today by going to SupernaturalSilver.com.
[02:06:03.654 --> 02:06:05.817]  That's SupernaturalSilver.com today.
[02:06:07.238 --> 02:06:12.584]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[02:06:13.065 --> 02:06:20.053]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well funded.
[02:06:20.623 --> 02:06:26.826]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:06:27.206 --> 02:06:29.047]  Well, Obama's already fudging.
[02:06:29.187 --> 02:06:31.609]  He's fudged since day one of this election.
[02:06:31.689 --> 02:06:42.634]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[02:06:43.274 --> 02:06:44.555]  It's not about left or right.
[02:06:44.935 --> 02:06:46.296]  It's about a one-world government.
[02:06:46.801 --> 02:06:53.148]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:06:53.708 --> 02:07:01.496]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:07:01.977 --> 02:07:03.138]  The Obama Deception.
[02:07:03.538 --> 02:07:04.740]  The people strike back.
[02:07:08.112 --> 02:07:09.013]  Spring is here.
[02:07:09.253 --> 02:07:10.033]  Growing season.
[02:07:10.213 --> 02:07:12.195]  The economy is not getting any better.
[02:07:12.415 --> 02:07:13.816]  In fact, it's getting worse.
[02:07:14.116 --> 02:07:14.796]  Think about it.
[02:07:15.097 --> 02:07:18.959]  At this rate, how will your life be in a month or even a year?
[02:07:19.199 --> 02:07:22.661]  Maybe you've been putting things off, but the time to act is now.
[02:07:22.882 --> 02:07:25.443]  You need to get your seeds before it's too late.
[02:07:25.723 --> 02:07:37.571]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[02:07:37.791 --> 02:07:38.272]  Let's do it!
[02:08:07.637 --> 02:08:09.818]  He's the T-Rex of political talk.
[02:08:10.418 --> 02:08:13.279]  Alex Jones on the GCN Radio Network.
[02:08:19.761 --> 02:08:23.382]  Got a big news split coming up in the last five minutes of the show or so with Bob Chapman.
[02:08:23.402 --> 02:08:24.623]  We're going to play a video clip.
[02:08:25.083 --> 02:08:29.685]  Of an American in England having the police come over and say you can't videotape any of these downtown buildings.
[02:08:29.705 --> 02:08:30.866]  It's about 100 yards away from the U.S.
[02:08:30.926 --> 02:08:31.106]  Embassy.
[02:08:31.126 --> 02:08:32.927]  We're going to charge you with terrorism.
[02:08:33.347 --> 02:08:35.868]  They promised when they passed that law it wouldn't be misused.
[02:08:36.308 --> 02:08:41.811]  They've arrested hundreds of journalists, mainline journalists as well, in England saying you can't videotape anything now.
[02:08:42.491 --> 02:08:44.612]  So they put cameras on you but you can't put cameras on them.
[02:08:44.632 --> 02:08:45.873]  We're going back to Bob Chapman.
[02:08:46.713 --> 02:08:49.436]  Here in just a moment with his economic report on what's happening.
[02:08:49.936 --> 02:08:52.338]  And don't forget, I'll be back this Sunday live, 4 to 6 p.m.
[02:08:52.358 --> 02:08:53.319]  Central Standard Time here.
[02:08:53.339 --> 02:08:56.962]  If you don't have an AM or FM in your area, you can always listen at Infowars.com.
[02:08:57.463 --> 02:09:01.006]  Acolablue.com, atmospheric water generator for the home.
[02:09:01.606 --> 02:09:04.229]  Pays for itself in one year if you buy your water from the store.
[02:09:04.669 --> 02:09:07.552]  Pure, clean water without the fluoride and limited water from the humidity in the air.
[02:09:07.872 --> 02:09:09.073]  Knows exactly what you're drinking.
[02:09:09.113 --> 02:09:12.296]  Machine produces up to 28 liters of water a day, that's 7.5 gallons.
[02:09:13.777 --> 02:09:17.600]  The generated water is passed through seven filters including reverse osmosis and carbon.
[02:09:18.481 --> 02:09:19.201]  Simple to use.
[02:09:19.521 --> 02:09:21.203]  No chemicals, pollutants or toxins.
[02:09:21.343 --> 02:09:22.083]  Neutral pH.
[02:09:23.120 --> 02:09:25.001]  Your own source of clean water from the air.
[02:09:25.301 --> 02:09:27.461]  Again, it goes through seven great filtration systems.
[02:09:27.501 --> 02:09:28.182]  This is wonderful.
