[00:00:00.009 --> 00:00:00.129]  It's
[01:30:13.959 --> 01:30:15.159]  They don't have to follow any law.
[01:30:15.320 --> 01:30:16.700]  Welfare fraud, it goes on and on.
[01:30:17.201 --> 01:30:17.961]  It's amazing.
[01:30:18.021 --> 01:30:21.823]  And I have middle income constituents and so do other reps in this state.
[01:30:22.343 --> 01:30:26.726]  Middle income constituents who have less health benefits than an illegal alien does.
[01:30:27.642 --> 01:30:33.005]  They make a little bit too much money to be on Medicaid, which is a state welfare medical program.
[01:30:33.606 --> 01:30:40.270]  They don't make enough money to buy their own health insurance, but they can't go into a hospital and demand free health care.
[01:30:40.610 --> 01:30:41.971]  Now let me tell you what that does.
[01:30:42.551 --> 01:30:50.096]  At Parkland Hospital in Dallas, Texas, 70% of the new births are of illegal aliens.
[01:30:50.916 --> 01:30:54.078]  At John Peter Smith Hospital, the public hospital in Fort Worth,
[01:30:54.634 --> 01:30:57.716]  Seventy-five percent of the new births are of illegal aliens.
[01:30:58.417 --> 01:31:04.361]  We're paying them to keep putting out one baby a year, and these women keep going back in the hospital.
[01:31:05.041 --> 01:31:08.584]  They keep getting prenatal care, they give birth to a child.
[01:31:08.824 --> 01:31:19.711]  Then they get all the welfare, then with matricular cards, and then banks give them bank IDs, then they get other IDs, and they get... I've seen cases where one woman's on like eight or nine different types of welfare.
[01:31:20.352 --> 01:31:21.793]  But Alex, the worst thing of all,
[01:31:22.441 --> 01:31:29.526]  When they leave that hospital, we give their children citizenship of the United States, our most precious benefit.
[01:31:29.987 --> 01:31:39.073]  We're giving away to people who are committing a crime against the United States, and I'm challenging automatic citizenship under the 14th Amendment as well.
[01:31:39.274 --> 01:31:47.720]  Well, Mr. Berman, I'm going to support you for governor, because Kay Bailey Hutchinson is for open borders, and Rick Perry, well, what do you say about him?
[01:31:50.171 --> 01:31:53.372]  He's one of those who told me that he doesn't want to lose the Hispanic vote.
[01:31:54.293 --> 01:32:01.516]  But 80%, I've seen the Gallup polls, of Hispanics... I mean, know that this is killing America?
[01:32:01.636 --> 01:32:02.477]  Killing their future?
[01:32:02.517 --> 01:32:03.257]  Killing their wages?
[01:32:03.297 --> 01:32:04.598]  I mean, it's bankrupting the states!
[01:32:05.038 --> 01:32:07.159]  And the feds love it because they can come in and federalize!
[01:32:07.859 --> 01:32:13.422]  You wouldn't know it from the 32 Hispanic representatives who serve in the Texas House of Representatives.
[01:32:13.982 --> 01:32:18.204]  They want to give more benefits to illegal aliens while we're trying to take them away.
[01:32:18.976 --> 01:32:33.020]  We complained to the Banking Commissioner early last year, when we start seeing signs outside the bank saying, we accept the matricula consula, the phoniest identification document I've ever seen in the world.
[01:32:33.460 --> 01:32:41.922]  Yeah, we had the Republican head of the State House in Colorado on a few years ago himself, went out in one day, got four fake matriculas for himself.
[01:32:42.762 --> 01:32:43.862]  Wow, amazing.
[01:32:44.242 --> 01:32:44.943]  I don't doubt it.
[01:32:45.143 --> 01:32:46.683]  It's a bad situation, Alex.
[01:32:48.294 --> 01:32:49.475]  Well, it's HCR 50.
[01:32:49.875 --> 01:32:51.637]  Do you know what the number is going to be on the next bill?
[01:32:52.197 --> 01:33:03.246]  No, I won't know it until we actually file the bill, but you can bring up my name under the Texas Legislative website, and you'll find it right under my name.
[01:33:03.326 --> 01:33:05.848]  Yeah, I've got a copy of it in here, and it's really strong.
[01:33:06.648 --> 01:33:07.809]  How do we ram this through?
[01:33:08.110 --> 01:33:13.434]  Just call all the state representatives, or is there a key committee to call to put pressure on them to bring this out of committee?
[01:33:14.212 --> 01:33:19.198]  Well, those are resolutions, and they'll be going to the House Resolutions Committee.
[01:33:19.678 --> 01:33:20.639]  That's the first step.
[01:33:20.659 --> 01:33:26.646]  We'd have to call the House Resolutions Committee and make sure it gets out of committee, and then once it gets to the House floor,
[01:33:27.372 --> 01:33:33.174]  Then we have to start calling every representative to make sure they understand that they should be supporting HCR 50.
[01:33:33.954 --> 01:33:35.375]  Well, tell folks how this works.
[01:33:35.395 --> 01:33:37.095]  Okay, I can announce it on air.
[01:33:37.155 --> 01:33:38.916]  We can have the representative on who wrote the bill.
[01:33:39.576 --> 01:33:44.298]  You need to go to the Texas Capitol now and go and find out when the committee's meeting.
[01:33:44.338 --> 01:33:45.058]  Look online.
[01:33:46.899 --> 01:33:50.120]  Do it, folks, and go in and you tell them we want this introduced.
[01:33:51.352 --> 01:33:53.633]  And if they don't, then you're going to campaign against them.
[01:33:54.153 --> 01:33:57.734]  We need to get tough with these people because the country is going into globalization.
[01:33:58.234 --> 01:34:00.835]  The globalists want to merge the United States with Canada and Mexico.
[01:34:01.375 --> 01:34:05.156]  They want to make Texas and California and Arizona colonies of Mexico.
[01:34:05.817 --> 01:34:06.617]  And we've got to stop it.
[01:34:07.168 --> 01:34:11.829]  We've got to stop it, absolutely, Alex, and I thank you for doing what you do.
[01:34:12.489 --> 01:34:12.809]  Thank you.
[01:34:12.829 --> 01:34:15.650]  Well, we thank you, sir, and I'm going to support you for governor.
[01:34:16.170 --> 01:34:22.891]  I hope that you will run, and look, folks, here it is, HCR 50, second most populous state, what, 27 million now?
[01:34:22.931 --> 01:34:24.592]  How many are in the state, people?
[01:34:24.832 --> 01:34:25.592]  23 million.
[01:34:25.772 --> 01:34:29.252]  23 million, okay, I guess they were projecting the other day 27 million in a decade.
[01:34:29.332 --> 01:34:36.414]  But, well, sir, I really appreciate you being on with us, and folks can find your website by just Googling your name.
[01:34:37.378 --> 01:34:38.860]  Alex, I'll come back to you anytime.
[01:34:39.520 --> 01:34:40.602]  Thank you so much, Representative.
[01:34:41.022 --> 01:34:41.423]  Take care.
[01:34:41.463 --> 01:34:41.703]  Thank you.
[01:34:41.723 --> 01:34:41.943]  Pleasure.
[01:34:42.324 --> 01:34:42.644]  Thank you.
[01:34:42.684 --> 01:34:43.145]  Pleasure, too.
[01:34:43.185 --> 01:34:47.830]  Representative Leo Berman from the 6th Legislative District of Texas.
[01:34:49.071 --> 01:34:51.414]  We'll be right back, ladies and gentlemen, with some other key news.
[01:34:51.454 --> 01:34:55.799]  And we have an Army Colonel, supposedly, going to come on about the gun confiscation drills they're doing.
[01:34:56.179 --> 01:34:57.180]  This is key information.
[01:34:57.200 --> 01:34:57.641]  Stay with us.
[01:35:01.030 --> 01:35:03.013]  Are you wondering about your retirement portfolio?
[01:35:03.373 --> 01:35:09.360]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[01:35:09.620 --> 01:35:13.545]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[01:35:13.766 --> 01:35:20.594]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[01:35:20.914 --> 01:35:26.456]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[01:35:26.816 --> 01:35:34.198]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[01:35:37.722 --> 01:35:41.584]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero, and we knew what to do.
[01:36:07.381 --> 01:36:08.402]  Or at least we thought we did.
[01:36:08.643 --> 01:36:15.072]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[01:36:15.692 --> 01:36:24.204]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[01:36:24.571 --> 01:36:31.376]  This film follows the growing momentum of 9-11 Truth as brave souls throughout the world take action against their global masters.
[01:36:31.676 --> 01:36:34.738]  He had his hand over the radio while he was getting a countdown.
[01:36:34.838 --> 01:36:40.062]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom!
[01:36:40.623 --> 01:36:43.244]  This is an emergency transmission worldwide.
[01:36:43.705 --> 01:36:50.930]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD at
[01:36:53.677 --> 01:36:54.479]  We're good to go.
[01:37:02.330 --> 01:37:05.292]  Unemployment is the highest it's been in over 30 years.
[01:37:05.652 --> 01:37:09.073]  Statistics prove that in a recession, crime rates go up.
[01:37:09.434 --> 01:37:15.617]  Everyone needs something for that extra edge to prevent becoming a victim in these difficult and trying times.
[01:37:16.017 --> 01:37:21.059]  You need to prepare yourself with DPS pepper spray, available at MrDefense.com.
[01:37:21.240 --> 01:37:27.943]  DPS is the strongest pepper spray in the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[01:37:28.243 --> 01:37:29.124]  Need something more?
[01:37:29.345 --> 01:37:32.989]  The Scorpion Stun Gun is a great way to take down a potential attacker.
[01:37:33.290 --> 01:37:41.361]  Mr. Defense also carries the largest selection of air tasers, knives, self-defense keychains, swords, batons, survival, spy, and tactical gear.
[01:37:41.601 --> 01:37:45.947]  Mention this ad and receive 10% off of your order and a free self-defense keychain.
[01:37:46.147 --> 01:37:47.748]  Visit MrDefense.com.
[01:37:47.868 --> 01:37:50.630]  That's MRDefense.com or call 1-800-313-6400.
[01:37:50.811 --> 01:37:58.256]  That's 1-800-313-6400 for all of your self-defense needs today.
[01:37:59.037 --> 01:38:08.764]  SouthSummit.com is the place for top name brand knives such as Kershaw, Spyderco, Cold Steel, Gerber, Ka-Bar, Boker, Leatherman and more.
[01:38:08.964 --> 01:38:12.807]  South Summit has one of the largest selections of self-defense products on the web.
[01:38:13.047 --> 01:38:22.851]  Knives, stun guns, police batons, pepper spray, LED flashlights, emergency kits, binoculars, and tactical gear are just some of the great products found on SouthSummit.com.
[01:38:22.931 --> 01:38:27.613]  Receive discounted prices on camping and preparedness products from Camelbak, Kelty, and Eureka.
[01:38:27.733 --> 01:38:33.996]  Check out our water storage barrels, water purification systems, and Mountain House freeze-dried foods that have a 30-year shelf life.
[01:38:34.096 --> 01:38:38.418]  Keep an eye on your family and keep them safe with our do-it-yourself spa camera systems.
[01:38:38.678 --> 01:38:42.481]  Mention that you heard this ad on the radio and you'll receive a free LED flashlight with your order.
[01:38:42.681 --> 01:38:44.502]  Visit SouthSummit.com.
[01:38:44.582 --> 01:38:45.803]  That's SouthSummit.
[01:38:46.083 --> 01:38:48.105]  S-U-M-M-I-T.
[01:38:48.305 --> 01:38:49.966]  SouthSummit.com.
[01:38:50.126 --> 01:38:51.367]  Or call toll-free 1-800-234-8654.
[01:38:51.387 --> 01:38:51.887]  That's 1-800-234-8654.
[01:38:51.907 --> 01:38:52.908]  They railed against the crown.
[01:38:52.928 --> 01:38:55.090]  Another ragtag band declaring independence.
[01:39:13.979 --> 01:39:17.561]  Declaring independence.
[01:39:17.942 --> 01:39:22.464]  They laid their bodies down.
[01:39:23.225 --> 01:39:24.345]  On a bloody war.
[01:39:24.765 --> 01:39:26.726]  For liberty.
[01:39:27.887 --> 01:39:29.848]  For their descendants.
[01:39:30.629 --> 01:39:32.450]  Thanks to the renegades.
[01:39:33.630 --> 01:39:34.611]  Free today.
[01:39:39.651 --> 01:39:41.192]  I am free today.
[01:39:42.853 --> 01:39:47.315]  Thank God for the renegades and the lives they lead.
[01:39:48.396 --> 01:39:54.379]  Far ahead of their time.
[01:39:58.041 --> 01:39:59.262]  God knows where we'd be.
[01:40:02.165 --> 01:40:05.628]  When it comes to heroes, renegades are mine.
[01:40:06.669 --> 01:40:09.612]  When it comes to heroes, renegades are mine.
[01:40:11.214 --> 01:40:15.578]  We'll see if this Colonel, Lieutenant Colonel, joins us.
[01:40:15.718 --> 01:40:18.541]  He's supposed to call in the next 5, 6, 7 minutes.
[01:40:20.643 --> 01:40:21.503]  The normal M.O.
[01:40:21.523 --> 01:40:24.066]  with the Army and the Marines is to say they're coming on and they're not coming on.
[01:40:25.618 --> 01:40:31.100]  But we're going to get into the Daily Times Herald, Carroll, Iowa, the gun confiscation drills.
[01:40:31.840 --> 01:40:43.704]  To go on there, before I go any further and recap some top news while we're waiting on our next guest, I've done three hours, twenty-five minutes and haven't told you the Obama Deception is now available.
