[00:00:52.809 --> 00:00:53.669]  Look at this article.
[01:34:08.389 --> 01:34:09.209]  Chemtrails.
[01:34:09.629 --> 01:34:11.210]  The modified atmosphere.
[01:34:11.770 --> 01:34:13.490]  Heavy metals and pesticides.
[01:34:13.971 --> 01:34:17.712]  Carcinogens and chemical fibers all falling from the sky.
[01:34:18.567 --> 01:34:21.069]  You have a choice to keep your body clean.
[01:34:21.649 --> 01:34:28.655]  Detoxify with micro plant powder from hempusa.org or call 908-691-2608.
[01:34:28.855 --> 01:34:35.560]  It's odorless and tasteless and used in any liquid or food.
[01:34:36.060 --> 01:34:39.263]  Protect your family now with micro plant powder.
[01:34:39.963 --> 01:34:43.286]  Cleaning out heavy metals, parasites and toxins.
[01:34:43.846 --> 01:34:48.370]  Order it now for daily intake and stock it now for long term storage.
[01:34:48.988 --> 01:34:55.509]  Visit hempusa.org or call 908-691-2608 today!
[01:35:00.411 --> 01:35:05.472]  The Genesis Communications Radio Network proudly presents the Alex Jones Show!
[01:35:05.812 --> 01:35:08.112]  Because there's a war on for your mind!
[01:35:19.027 --> 01:35:36.734]  Alright, for one segment, and I appreciate him joining us, I'm going to have to open the phone and cover all the other news, and believe me, it's crazy.
[01:35:37.715 --> 01:35:39.475]  Very important information coming up.
[01:35:39.535 --> 01:35:40.276]  Gregory Hoover
[01:35:41.380 --> 01:35:44.302]  Hoover vs. Beck.com is the website.
[01:35:44.382 --> 01:35:50.785]  HooverBigFatV vs. Beck.com is the website.
[01:35:50.805 --> 01:35:52.386]  His email address is hoovervsbeck.com.
[01:35:52.506 --> 01:35:57.529]  And he's suing Beck and Fox staff for defaming of character
[01:35:58.726 --> 01:36:03.267]  Regarding Beck's remarks linking 9-11 truthers with James Von Braun.
[01:36:03.627 --> 01:36:05.067]  Yeah, this guy's linked to the government.
[01:36:05.127 --> 01:36:09.008]  We've been to the National Press Club over the weekend and yesterday.
[01:36:09.028 --> 01:36:09.948]  I'm just going to leave it at that.
[01:36:10.288 --> 01:36:13.509]  We're in contact with reporters, confirming leads we got here.
[01:36:13.569 --> 01:36:14.789]  We sent people to D.C.
[01:36:15.289 --> 01:36:18.670]  for this and had them do an interview with other people while they were on it.
[01:36:21.291 --> 01:36:23.271]  Wayne Madsen, but separate from Wayne Madsen.
[01:36:23.951 --> 01:36:24.791]  And we're working on it.
[01:36:24.871 --> 01:36:27.052]  We want to be careful before we release something like this.
[01:36:28.120 --> 01:36:30.401]  But no, as usual, it's the FBI.
[01:36:31.161 --> 01:36:32.141]  They're good ol' boy around.
[01:36:32.181 --> 01:36:41.745]  Remember that 1992 video of them lynching blacks in effigy, and thousands of FBI and BATF agents selling N-word hunting licenses?
[01:36:42.745 --> 01:36:45.626]  You'd think they're just infiltrating white supremacists, but it's more than that.
[01:36:45.666 --> 01:36:47.107]  They are the white supremacists.
[01:36:47.147 --> 01:36:50.388]  It's very... And they work for a bunch of weird ADL people.
[01:36:50.728 --> 01:36:54.069]  It's so bizarre when you get to the highest rungs of the New World Order,
[01:36:55.503 --> 01:37:08.543]  Well, it's like the Jewish Congress mainline news in the Ottawa Citizen, the big Ottawa newspaper, the capital city newspaper reporting what we already knew started the Nazi party in 65.
[01:37:10.680 --> 01:37:18.383]  In Canada, and the London Guardian reports, the modern Nazi party in 69 was founded in Germany by the German security services.
[01:37:18.663 --> 01:37:21.064]  They don't go out and infiltrate the groups.
[01:37:21.124 --> 01:37:21.864]  They run them.
[01:37:21.904 --> 01:37:22.785]  They are them.
[01:37:22.805 --> 01:37:27.226]  I mean, it's just... And you find out it's not just to infiltrate white supremacists.
[01:37:27.286 --> 01:37:28.127]  They are!
[01:37:30.968 --> 01:37:31.768]  Who would ever imagine?
[01:37:31.788 --> 01:37:33.148]  It's so crazy!
[01:37:33.549 --> 01:37:36.890]  Truth is always so much crazier than you can even imagine.
[01:37:38.609 --> 01:37:43.853]  But how does the ADL, how does the Southern Poverty Law Center, how do they survive if they don't have Nazis?
[01:37:45.375 --> 01:37:46.135]  Oh, it's very sick.
[01:37:47.036 --> 01:37:47.596]  It's very sick.
[01:37:47.616 --> 01:37:50.339]  That's why I'm hated by the ADL, Southern Poverty Law Center and the Nazis.
[01:37:51.560 --> 01:37:58.846]  Well, I mean, look, they give Arnold Awards for worshipping Hitler, saying he wants to be like Hitler and, you know, wants to be a dictator.
[01:37:58.866 --> 01:37:59.847]  But side issue,
[01:38:02.213 --> 01:38:14.963]  Greg Hoover is going to be suing the above-described defendants in federal court for Beck's having repeatedly broadcast statements characterizing those who question government official version 9-11 as anarchists, terrorists, and persons denying the Holocaust.
[01:38:14.983 --> 01:38:16.524]  He said before, he used the Army on us.
[01:38:16.965 --> 01:38:29.054]  The complaint will note that on October 22, 2007, Beck suggested that those identifying themselves or associated with the 9-11 treatment movement are dangerous anarchists who deny the Holocaust and are the kind of group the Timothy McVeigh would come from.
[01:38:29.895 --> 01:38:34.760]  The suit will also note that Beck, during the June 10th broadcast, linked the murder of the D.C.
[01:38:34.780 --> 01:38:37.442]  Holocaust Museum garb at 9-11 Truthers with no evidence.
[01:38:38.764 --> 01:38:45.730]  As he's previously written, suing people for defamation who falsely claim that 9-11 activists are terrorists could be a good way to stand up to these bullies.
[01:38:46.618 --> 01:38:53.661]  Yeah, you don't see the Southern Poverty Law Center when I link them with federal documents to running the white supremacist compound that McVeigh came out of at L.A.
[01:38:53.681 --> 01:38:53.982]  City.
[01:38:54.442 --> 01:38:55.562]  You don't see him coming after me.
[01:38:55.803 --> 01:38:57.663]  Go ahead, come after me, you've already done it.
[01:38:58.504 --> 01:39:06.628]  Behind the scenes, when some nut kills cops, you go look at his computer, thousands of sites he's visited, you find out he didn't like me and was attacking me.
[01:39:08.362 --> 01:39:10.866]  And then you feed that to the news media.
[01:39:11.568 --> 01:39:13.631]  See folks, they know I know.
[01:39:13.972 --> 01:39:14.653]  But it's too late!
[01:39:14.673 --> 01:39:16.596]  You're going to shut down the Ottawa Citizen?
[01:39:17.979 --> 01:39:20.203]  You're going to shut down CNN reporting on it now?
[01:39:22.217 --> 01:39:24.058]  Oh, the big secret's out!
[01:39:24.979 --> 01:39:25.139]  Oh!
[01:39:25.780 --> 01:39:27.141]  And the Miami Herald?
[01:39:28.082 --> 01:39:31.985]  About how the top Nazi rallies are run by the FBI?
[01:39:32.605 --> 01:39:33.606]  Run by you!
[01:39:34.367 --> 01:39:35.027]  I've had it!
[01:39:35.708 --> 01:39:38.410]  You want our First Amendment and you're not getting it!
[01:39:40.011 --> 01:39:41.172]  I'm calling you out!
[01:39:42.514 --> 01:39:43.174]  You're sick!
[01:39:43.554 --> 01:39:45.076]  Stop your Nazi activity!
[01:39:45.396 --> 01:39:48.779]  Stop spreading racism and then acting like you're trying to clean it up and fix it!
[01:39:49.773 --> 01:39:51.674]  We don't want to be at each other's throats anymore.
[01:39:51.694 --> 01:39:53.496]  We don't want to play your game anymore.
[01:39:53.716 --> 01:39:55.357]  We want to take down the New World Order.
[01:39:55.717 --> 01:40:03.242]  Stop trying to hang the name Jew on everything, too, to make people come after Jews, so then the ADL can sit there and suck off of them with donations.
[01:40:03.603 --> 01:40:04.803]  We know how you work!
[01:40:05.804 --> 01:40:10.227]  And Meche and La Raza saying, for our race, everything, for those outside the race, nothing.
[01:40:10.607 --> 01:40:10.928]  U.S.
[01:40:10.968 --> 01:40:11.828]  government funded.
[01:40:12.369 --> 01:40:14.230]  Funding every racist group out there.
[01:40:14.470 --> 01:40:15.431]  We're sick of you!
[01:40:17.318 --> 01:40:19.839]  We know your game plan, and we're calling it out!
[01:40:21.159 --> 01:40:25.241]  And all you idiot Nazis that follow these groups, you need to stop doing what you're doing.
[01:40:25.261 --> 01:40:26.081]  You're a bunch of fools.
[01:40:26.101 --> 01:40:29.242]  Alright, I'm going to stop right there.
[01:40:29.282 --> 01:40:30.843]  Let's go to Gregory Hoover.
[01:40:30.863 --> 01:40:32.063]  Gregory, I may hold you over a little bit.
[01:40:32.083 --> 01:40:33.083]  I'm sorry I went into a rant.
[01:40:33.503 --> 01:40:39.606]  So, you're suing Lord Beck for saying we're violent terrorists, which is dangerous for us.
[01:40:39.866 --> 01:40:45.508]  How about sue Michael Reagan saying murder 9-11 truthers?
[01:40:45.548 --> 01:40:46.688]  I mean, that's what's really dangerous.
[01:40:47.722 --> 01:40:49.723]  Well, that's a good point, Alex.
[01:40:49.783 --> 01:40:52.285]  I want to thank you first for having me on the show today.
[01:40:53.245 --> 01:41:04.292]  And there's good reason to lay suit to libel and defamation, in my opinion, on many of the media that are involved in this, I think.
[01:41:05.312 --> 01:41:06.673]  Conspiracy itself.
[01:41:06.773 --> 01:41:08.294]  Smear campaign, yeah.
[01:41:08.354 --> 01:41:09.475]  Conspiracy to defame.
[01:41:09.735 --> 01:41:12.636]  Yeah, anyone that's associated with the 9-11 movement.
[01:41:13.797 --> 01:41:21.722]  We're now at a present point in this process of exposure as to the government's involvement in these activities.
[01:41:22.543 --> 01:41:35.732]  That desperate attempts are being made to try to cause the general public to disassociate themselves with anyone who is attempting to try to pass along this overabundance, this wealth of information.
[01:41:35.752 --> 01:41:40.755]  I would imagine the feds are setting up child molesters for 9-11 Truth right now or something.
[01:41:40.775 --> 01:41:41.396]  It's not going to work.
[01:41:42.031 --> 01:42:03.607]  Well, they're really stretching it, and I think it gets to the point of it being ridiculously incredible that they would have, along with Beck on his program of June 10th here this past week, a claimed ex-CIA agent to put out this misinformation as to the association of 9-11
[01:42:05.003 --> 01:42:08.245]  Yeah, as if that supposedly gives it authoritative seal.
[01:42:08.625 --> 01:42:15.850]  As if that, that totally, the CIA's not supposed to be involved in our internal politics, and now they're running radio ads everywhere.
[01:42:15.910 --> 01:42:16.470]  Sorry, go ahead.
[01:42:16.710 --> 01:42:20.433]  Well, yeah, I mean, first of all, it begs the question of why he's a former agent.
[01:42:20.733 --> 01:42:23.334]  It doesn't look as if he's a retirement agent.
[01:42:23.454 --> 01:42:33.781]  It seems to me that, you know, it exposes what a plant, I believe at this point, Glenn Beck is, and continues to be in the media mainstream.
[01:42:34.665 --> 01:42:44.466]  It's a great concern with me that he's now gotten to the point that he will so blatantly defame persons associated with the 9-1-1.
[01:42:45.956 --> 01:42:48.118]  Well, Greg, I think you have a right to do this.
[01:42:49.779 --> 01:42:59.065]  I mean, I just don't... I'm afraid it could turn him into a hero and he'll say, the Nazis are suing me, but then I guess you have an even bigger lawsuit against him.
[01:42:59.566 --> 01:43:05.430]  They'll just put another CIA guy in, but I mean, maybe that'll at least make them think twice next time.
[01:43:05.450 --> 01:43:06.871]  I mean, I lean towards your suit.
[01:43:07.191 --> 01:43:10.694]  I think it has some standing, but you seem like a pretty well-educated guy.
[01:43:10.734 --> 01:43:12.535]  I mean, why are you suing?
[01:43:12.575 --> 01:43:13.716]  Why do you think you have grounds?
[01:43:15.077 --> 01:43:30.990]  I think that when it gets to the point that, if he attempts to argue against the factual basis for the movement with regard to the evidence which is now being put forth by 9-11 truthers, that's one thing.
[01:43:31.050 --> 01:43:39.257]  But when he attempts to categorize and group persons and associate them with hate speech, which I'm now pretty much considering him.
