[00:00:07.177 --> 00:00:12.481]  He aligns himself with the truth and it's time for you to choose a side.
[02:27:14.199 --> 02:27:14.659]  Right.
[02:27:14.659 --> 02:27:19.120]  And here they are with CBS News doing an anti-gun shoot.
[02:27:20.319 --> 02:27:21.700]  This is Broward County.
[02:27:21.700 --> 02:27:24.663]  I mean, you know, Broward County is not a particularly lovely bit of Florida.
[02:27:24.663 --> 02:27:29.267]  There are a couple of nice homes there, so it is, you know, on average, you know, slightly whatever.
[02:27:29.267 --> 02:27:37.113]  But Broward County is where XXXTentacion comes from, the rapper who was, you know, who was put in prison for beating up his pregnant girlfriend.
[02:27:37.113 --> 02:27:39.715]  This is not, this is, you know, Pompano Beach and whatever is in Florida.
[02:27:39.715 --> 02:27:43.358]  This is not a beautiful bit of Florida, I'm sorry to say.
[02:27:43.358 --> 02:27:47.342]  And for these perfectly turned out, look, I'm not, I don't,
[02:27:48.413 --> 02:27:52.715]  I'm not in a position, having not done the amount of research that you have done, to make a conclusive assessment.
[02:27:52.715 --> 02:27:59.978]  I don't know for sure, but what I can tell you, every instinct I have, every journalistic instinct I have, is telling me that there is something up.
[02:27:59.978 --> 02:28:07.741]  And by the way, on Facebook, Twitter, everywhere, despite the media force-feeding this, no one I know is buying, including family, that thinks I'm wrong a lot of the time.
[02:28:08.121 --> 02:28:10.782]  Everyone is like, Alex, why aren't you saying it's fake?
[02:28:10.782 --> 02:28:11.862]  Look at these actors.
[02:28:11.862 --> 02:28:13.342]  Look at these polished kids.
[02:28:13.342 --> 02:28:17.464]  They're all saying the same crap, but it's only them out of 3,000 kids.
[02:28:17.464 --> 02:28:19.984]  And then, if you even begin to go, oh, it's dad's FBI.
[02:28:19.984 --> 02:28:21.465]  His mom's a big Democrat.
[02:28:21.465 --> 02:28:26.106]  He's going and hanging out at CNN and at the CNN News Center and doing VIP intern visits.
[02:28:26.106 --> 02:28:27.606]  And so are the other kids.
[02:28:27.606 --> 02:28:31.748]  They go, oh my God, you say the kids didn't get hurt and nothing happened, Alex?
[02:28:31.748 --> 02:28:33.048]  And we're not saying that.
[02:28:33.348 --> 02:28:34.689]  We're simply asking questions.
[02:28:34.689 --> 02:28:37.232]  We'll be right back with Milo Yiannopoulos and more.
[02:28:37.232 --> 02:28:41.115]  We've got one of the students they don't want you to hear from on the other side of this break.
[02:28:41.115 --> 02:28:44.739]  Infowars.com, Newswars.com and Dangerous.com.
[02:28:44.739 --> 02:28:45.559]  We'll be right back.
[02:28:45.559 --> 02:28:46.000]  Stay with us.
[02:28:55.598 --> 02:28:58.181]  Are you happy washing your hands with harsh chemicals?
[02:28:58.181 --> 02:29:00.323]  Are you happy doing laundry with detergents?
[02:29:00.323 --> 02:29:02.305]  Are you happy paying high prices?
[02:29:02.305 --> 02:29:04.368]  Find your happiness with Pure Soap.
[02:29:04.368 --> 02:29:09.233]  These all-natural, earth-friendly Pure Soaps are the very best you've ever used.
[02:29:09.233 --> 02:29:10.114]  Buy in bulk.
[02:29:10.114 --> 02:29:13.017]  Get a 12, 36, or 48-month supply.
[02:29:13.017 --> 02:29:15.480]  Or get items individually and still save big.
[02:29:15.720 --> 02:29:19.004]  You're getting soap products twice as good as what you're using now.
[02:29:19.004 --> 02:29:21.286]  Earth friendly and natural soaps.
[02:29:21.286 --> 02:29:23.048]  Your family deserves the best.
[02:29:23.048 --> 02:29:25.711]  Happiness is 5starsoap.com.
[02:29:25.711 --> 02:29:28.494]  Why not put your money up the drain for a change?
[02:29:28.494 --> 02:29:31.037]  See them at 5starsoap.com or call
[02:29:32.478 --> 02:29:34.819]  Call 1-800-340-7091 for a catalog.
[02:29:34.819 --> 02:29:42.022]  Cal Bend Soap Company can save you thousands of dollars and give you good, old-fashioned, real soaps that are triple concentrated.
[02:29:42.022 --> 02:29:44.524]  Soaps made from vegetable and coconut oils.
[02:29:44.524 --> 02:29:48.166]  See their full selection of soaps at 5starsoap.com.
[02:29:48.166 --> 02:29:50.287]  That's F-I-V-E, starsoap.com.
[02:29:50.287 --> 02:29:51.347]  Or call 1-800-340-7091 for a catalog.
[02:29:56.465 --> 02:30:16.440]  I want to plow into all of this, but I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts, or water filtration systems, or books, or videos, or other material from Infowarsstore.com, you are funding the revolution.
[02:30:16.440 --> 02:30:18.561]  I mean, I cannot say it any clearer.
[02:30:18.561 --> 02:30:22.524]  And so it is essential that you purchase the products at Infowarsstore.com.
[02:30:22.524 --> 02:30:23.585]  I want to thank everybody that has.
[02:30:23.985 --> 02:30:29.809]  We've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[02:30:29.809 --> 02:30:32.191]  You cannot beat that for children and adults.
[02:30:32.191 --> 02:30:34.832]  We've got the best mouthwash designed by Dr. Jones.
[02:30:34.832 --> 02:30:37.614]  That's my dad, with colloidal silver and iodine as well.
[02:30:37.614 --> 02:30:40.116]  Infowarslife.com or 888-253-3139.
[02:30:40.116 --> 02:30:49.302]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[02:30:49.302 --> 02:30:53.745]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[02:30:53.865 --> 02:30:54.104]  We're good.
[02:30:57.355 --> 02:31:02.839]  New from Emmerich's Essentials, fragrance-free natural deodorant for your body care needs.
[02:31:02.839 --> 02:31:06.421]  Playing basketball in the dry summer heat really makes me sweat.
[02:31:06.421 --> 02:31:09.863]  To maintain my game, I need all the confidence I can get.
[02:31:09.863 --> 02:31:15.087]  That's why I use Emmerich's Essentials natural deodorant, made with organic ingredients.
[02:31:15.087 --> 02:31:21.751]  This deodorant combines mineral crystals with natural botanicals to ionize odor, keeping me fresh throughout the day.
[02:31:21.751 --> 02:31:26.935]  While shooting hoops, the last thing I want is sweaty armpits making my hands slippery and the ball whack.
[02:31:27.595 --> 02:31:31.596]  That's why I recommend Emmerich's Essentials Fragrance-Free Deodorant.
[02:31:31.596 --> 02:31:39.979]  Even though it's unscented, it's effective at combating strong body odor, and I don't have to worry about any unwanted allergic reactions to my sensitive skin.
[02:31:39.979 --> 02:31:44.660]  Whether you're a guy or gal, the last thing you want to be worried about is your deodorant.
[02:31:44.660 --> 02:31:48.901]  No petroleum-based ingredients, 100% natural and cruelty-free.
[02:31:48.901 --> 02:31:52.942]  Stay in the game with Emmerich's Essentials Fragrance-Free Natural Deodorant.
[02:31:52.942 --> 02:31:54.603]  Available at InfoWarsStore.com.
[02:31:56.078 --> 02:31:57.959]  Mike in Arizona, you're on the air worldwide.
[02:31:57.959 --> 02:31:59.200]  Go ahead.
[02:31:59.200 --> 02:32:01.141]  Oh Alex, you can rant any day of the week.
[02:32:01.141 --> 02:32:10.528]  Thank you sir for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[02:32:11.329 --> 02:32:18.091]  And as a long-time InfoWars listener, I want to say thanks for the awesome BrainForce AnthroPlex.
[02:32:18.091 --> 02:32:20.352]  My girlfriend would like to say thanks for the AnthroPlex, too.
[02:32:20.352 --> 02:32:21.412]  Thank you.
[02:32:21.412 --> 02:32:23.893]  I use the BioTrue Selenium, the Super Blue toothpaste.
[02:32:23.893 --> 02:32:28.215]  For you folks who aren't big normal toothpaste fans, the Super Blue is awesome.
[02:32:28.215 --> 02:32:31.236]  And thank you so much, Alex, for the InfoWars Life products.
[02:32:31.236 --> 02:32:32.556]  They are quality.
[02:32:32.556 --> 02:32:34.297]  I can't wait to get some more.
[02:32:34.297 --> 02:32:37.178]  And thank you so much for doing that for us to keep us healthy.
[02:32:37.178 --> 02:32:37.758]  Absolutely.
[02:32:37.918 --> 02:32:59.107]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on, and if we can get our houses in order, and be good to each other and ourselves, we can take our country back.
[02:32:59.107 --> 02:33:01.808]  You're listening to The Alex Jones Show.
[02:33:19.864 --> 02:33:24.767]  Defending the Republic from enemies foreign and domestic.
[02:33:24.767 --> 02:33:26.928]  It's Alex Jones.
[02:33:26.928 --> 02:33:29.210]  Live from Austin, Texas.
[02:33:29.210 --> 02:33:33.692]  Broadcasting worldwide from the InfoWars.com studios.
[02:33:39.235 --> 02:33:42.217]  Welcome back to the Alex Jones Show.
[02:33:42.217 --> 02:33:51.663]  I'm Ollie Knopolis, standing in for Alex, but also accompanied by Alex, my glamorous and intrepid Chief Investigative Reporter for the hour, Alex Jones.
[02:33:51.663 --> 02:33:56.847]  Welcome to the show, and Alex has been digging into the inconsistencies.
[02:33:56.847 --> 02:34:01.470]  I think the best way to describe this is a strange smell.
[02:34:01.470 --> 02:34:02.771]  There is a strange smell.
[02:34:02.771 --> 02:34:03.491]  The stench.
[02:34:03.491 --> 02:34:05.933]  The stench of something weird.
[02:34:05.933 --> 02:34:07.194]  The stank.
[02:34:07.194 --> 02:34:08.455]  The stank?
[02:34:08.455 --> 02:34:08.835]  The taint.
[02:34:10.476 --> 02:34:12.157]  You're like a walking thesaurus.
[02:34:12.157 --> 02:34:13.537]  I love it.
[02:34:13.537 --> 02:34:22.382]  There's something weird about the tweets from the four kids who have been wheeled out to repeat anti-gun talking points in the media.
[02:34:22.382 --> 02:34:24.983]  And Alex has been digging down into what exactly is going on.
[02:34:24.983 --> 02:34:26.844]  I'm going to hand over to him now.
[02:34:26.844 --> 02:34:29.405]  He has a guest on who's going to shed some more light on the situation.
[02:34:29.405 --> 02:34:30.246]  That's right.
[02:34:30.246 --> 02:34:34.808]  We're lining up that young man who's been on before and who goes up with his friends and says, we're ready.
[02:34:34.808 --> 02:34:35.328]  We're pro-gun.
[02:34:35.328 --> 02:34:36.269]  We're ready to tell you what we saw.
[02:34:37.009 --> 02:34:38.751]  And they go, oh, no, no, thank you.
[02:34:38.751 --> 02:34:41.813]  You mean CNN didn't find time to express his view?
[02:34:41.813 --> 02:34:47.038]  CNN did not talk to this young man who is on his way home before he calls us.
[02:34:47.038 --> 02:34:48.459]  I thought they were fair and impartial.
[02:34:48.459 --> 02:34:51.201]  I thought they were going to have a range of views in their testimony.
[02:34:51.201 --> 02:34:52.342]  No, they're not.
[02:34:52.342 --> 02:34:56.926]  So let's just review before we get into the other evidence, these other clips we haven't gotten to before he joins us.
[02:34:56.926 --> 02:34:57.467]  Let's just review.
[02:34:58.846 --> 02:35:09.875]  I get up yesterday and today and the headlines are Trump has created an atmosphere where they're saying no one was shot in Florida and where children are being attacked.
[02:35:09.875 --> 02:35:12.618]  And then you go read what they're attacking, Jim Hoffman, Gateway Pundit.
[02:35:13.817 --> 02:35:15.958]  He's like, well, this kid's mom's a big Democrat.
[02:35:15.958 --> 02:35:18.359]  He gets these VIP visits to all these places.
[02:35:18.359 --> 02:35:20.200]  His mom's involved in all this anti-gun stuff.
[02:35:20.200 --> 02:35:20.881]  So is his dad.
[02:35:20.881 --> 02:35:23.202]  His dad's former FBI.
[02:35:23.202 --> 02:35:33.427]  And why is it only the four kids out of the 3,000 at the school that we keep seeing everywhere, obviously all saying classic anti-gun slogans?
[02:35:33.427 --> 02:35:36.288]  We're not anti-gun, just ban them all and do something.
[02:35:36.288 --> 02:35:38.009]  Not one more of us left can die.
[02:35:38.009 --> 02:35:40.611]  And all of you that don't do what we say, you're causing our death.
[02:35:41.852 --> 02:35:52.489]  I mean this goes and so again it's only these four students over and over and over and over and over and over so that right there means they're skewing in the media.
[02:35:53.837 --> 02:35:54.838]  What's being said and done.
[02:35:54.838 --> 02:35:56.899]  Then he goes on and says I'm not a crisis actor.
[02:35:56.899 --> 02:35:58.379]  We're not saying you're a crisis actor.
[02:35:58.379 --> 02:35:59.860]  I don't know anyone that is saying it.
