[00:00:00.069 --> 00:00:00.850]  I understand.
[01:53:06.458 --> 01:53:12.700]  Seriously, the money laundering operation in Ukraine, he's not done with it, and so he's now gonna go to Israel and beg for more money.
[01:53:14.960 --> 01:53:21.544]  We'll see if they let him do that, or if they say, uh, no thanks, your war is no longer getting funded, it's our turn.
[01:53:22.165 --> 01:53:39.696]  Alright, trying to get into the weeds of this, I don't want to make any brash statements, but I mean, I think it would probably be fair analysis to say that if any groups are going to be penetrating our country to kill Americans, it's going to be Hamas.
[01:53:41.903 --> 01:53:45.504]  There's not going to be any Jews aren't going to come here to try to destroy America.
[01:53:46.024 --> 01:53:47.925]  That's going to be groups like Hamas.
[01:53:47.965 --> 01:53:53.947]  Now, the reason why I'm saying this is because this is why the left is allying with Hamas.
[01:53:54.808 --> 01:53:59.249]  This is why the left is praising the terror attacks in Israel.
[01:53:59.509 --> 01:54:06.452]  Because they view Israel as part of the westernization of the world, and they view Jews as white supremacists.
[01:54:07.588 --> 01:54:10.149]  And then they call you a Nazi, even though they're the real anti-Semites.
[01:54:10.250 --> 01:54:12.431]  I mean, the irony is so thick you could cut it with a knife.
[01:54:13.611 --> 01:54:25.738]  Now folks, this is why I bring this up, and this is why Alex Jones is worrying about Hamas-style terrorist attacks in this country because of the Biden open border policy, and because of what we just saw in Israel.
[01:54:26.859 --> 01:54:29.120]  This is from George Soros in 2017, or excuse me, 2007.
[01:54:29.160 --> 01:54:30.141]  So 2007 from George Soros.
[01:54:34.414 --> 01:54:40.416]  Let's remember, George Soros is also majorly behind the funding of Black Lives Matter.
[01:54:41.717 --> 01:54:43.597]  So let's put two and two together here.
[01:54:44.157 --> 01:54:45.738]  George Soros, 2007.
[01:54:46.858 --> 01:54:50.600]  America and Israel must open their doors to Hamas.
[01:54:53.261 --> 01:54:56.642]  Now, I'm not going to sit here and read this whole story from GeorgeSoros.com.
[01:54:59.605 --> 01:55:00.546]  You can imagine how it goes.
[01:55:01.326 --> 01:55:06.429]  And this is when it was trendy to be anti-war as a liberal, because George Bush was in office.
[01:55:07.610 --> 01:55:11.992]  And that's how Obama was able to get in, claiming he was anti-the Bush wars, and then he expanded every Bush war.
[01:55:12.993 --> 01:55:14.193]  Because Bush was always a Democrat.
[01:55:15.574 --> 01:55:20.497]  So, George Soros, 2007, America and Israel must open the door to Hamas.
[01:55:21.558 --> 01:55:23.859]  Okay, we just saw what Hamas did in Israel.
[01:55:25.080 --> 01:55:28.562]  Now, did Israel open the door for Hamas for that to happen?
[01:55:30.245 --> 01:55:40.728]  But the point is here, oh okay, Israel opens the door to Hamas and then Hamas lands at a music festival and slaughters a bunch of Israelis.
[01:55:42.168 --> 01:55:44.029]  So, is that what George Soros wanted?
[01:55:44.089 --> 01:55:44.749]  Is that what he meant?
[01:55:45.309 --> 01:55:47.590]  Now again, what's the Black Lives Matter angle here?
[01:55:48.250 --> 01:55:50.691]  George Soros is also funding Black Lives Matter.
[01:55:51.851 --> 01:55:59.113]  Black Lives Matter has come out with multiple statements in solidarity with Hamas and Palestinians.
[01:56:00.140 --> 01:56:06.683]  And while I don't think it's fair to conflate the two groups, there, you know, people would claim that there is an attachment there.
[01:56:08.324 --> 01:56:10.825]  And then there's other different groups as well, the PLO and other things.
[01:56:12.946 --> 01:56:13.787]  But so, okay.
[01:56:15.307 --> 01:56:17.889]  Soros says Israel needs to take in Hamas.
[01:56:18.669 --> 01:56:26.113]  Hamas goes into Israel and kills a bunch of innocent Jewish people at a music festival and other areas of Israel.
[01:56:27.631 --> 01:56:44.536]  Soros funds Black Lives Matter who do anti-American activities in the streets, burn American cities to the ground, attack and assault police officers, burn American flags, desecrate venerable objects, and then Black Lives Matter comes out in solidarity with Hamas.
[01:56:46.097 --> 01:56:47.257]  Are you starting to get the picture here?
[01:56:49.141 --> 01:56:51.303]  George Soros is also behind the Open Borders.
[01:56:52.164 --> 01:57:03.233]  George Soros is also behind the Open Society Institute, which funds the illegal immigration, makes sure that they have money, makes sure that they have transportation from wherever they are on the planet to get across the southern border.
[01:57:03.593 --> 01:57:05.515]  Are you starting to put two and two together now?
[01:57:07.196 --> 01:57:12.361]  Soros funds Hamas, or rather, Soros supports Hamas going into Israel and America.
[01:57:13.365 --> 01:57:18.428]  Soros funds Black Lives Matter with their anti-American agenda and activities in America.
[01:57:18.848 --> 01:57:23.430]  Soros funds the open borders to make sure anybody can get into this country.
[01:57:23.871 --> 01:57:28.793]  And then Black Lives Matter stands in solidarity with Hamas's terror attack on Israel.
[01:57:32.215 --> 01:57:32.855]  Do you see why?
[01:57:32.876 --> 01:57:34.877]  Do you see why?
[01:57:36.107 --> 01:57:39.368]  Alex Jones is warning about potential terror attacks in the country now?
[01:57:40.049 --> 01:57:42.029]  Do you get the picture now?
[01:57:42.149 --> 01:57:44.410]  Are you starting to put the puzzle pieces together now?
[01:57:45.651 --> 01:57:51.273]  Create the modern day Hamas in America, Black Lives Matter.
[01:57:53.561 --> 01:57:55.742]  And of course they've got their own justifications, right?
[01:57:56.302 --> 01:57:58.403]  Just like Hamas has their justifications.
[01:57:58.483 --> 01:57:59.203]  See how that works?
[01:58:00.003 --> 01:58:03.004]  So Black Lives Matter has their justifications to be anti-America.
[01:58:03.344 --> 01:58:07.746]  Black Lives Matter has their justifications to be anti-white.
[01:58:08.486 --> 01:58:13.648]  Black Lives Matter has their justifications to destroy American cities, to attack police officers.
[01:58:16.127 --> 01:58:23.032]  Soros opens the borders, funds Black Lives Matter, says you must take in Hamas, and then what is the FBI doing?
[01:58:23.112 --> 01:58:24.433]  What are the Soros DAs doing?
[01:58:24.513 --> 01:58:26.394]  They're going after American patriots.
[01:58:26.874 --> 01:58:28.115]  They're going after Christians.
[01:58:29.756 --> 01:58:31.337]  Are you starting to get the picture, folks?
[01:58:32.878 --> 01:58:36.601]  Are you starting to see the formula here that's being revealed?
[01:58:39.543 --> 01:58:40.684]  How about Henry Kissinger?
[01:58:42.332 --> 01:58:46.655]  Can you believe that he may have told the truth about this or maybe he just understands it?
[01:58:48.716 --> 01:58:54.880]  Listen to what Henry Kissinger said about the multiculturalism in the United States here in clip 11.
[01:58:56.281 --> 01:59:18.866]   It was a grave mistake to let in so many people of totally different cultural and religious and concepts Because it creates a pressure group inside each country that does that.
[01:59:20.606 --> 01:59:21.186]  And guess what?
[01:59:21.747 --> 01:59:23.467]  Henry Kissinger was 100% right.
[01:59:25.047 --> 01:59:34.450]  Now you have Israelis and Palestinians facing off in France, in Germany, in England, in Australia, and all over the United States of America.
[01:59:37.179 --> 01:59:38.179]  There's that pressure group.
[01:59:38.199 --> 01:59:42.660]  And it was all done intentionally by George Soros and the same globalists.
[01:59:43.521 --> 01:59:44.261]  They wanted this.
[01:59:44.341 --> 01:59:46.301]  They wanted to bring the Holy War to our land.
[01:59:46.541 --> 01:59:48.242]  They wanted to bring the Holy War to Europe.
[01:59:48.502 --> 01:59:50.783]  They wanted to bring the Holy War everywhere they could.
[01:59:50.823 --> 01:59:52.843]  And it was the smart nations that didn't let it happen.
[01:59:55.804 --> 01:59:57.004]  And then, of course, they get attacked.
[01:59:57.044 --> 01:59:58.525]  They get assaulted.
[01:59:58.785 --> 02:00:00.685]  They get cut off in the international community.
[02:00:01.305 --> 02:00:02.446]  They get discriminated against.
[02:00:02.466 --> 02:00:03.986]  Well, it looks like they were the smart ones.
[02:00:07.862 --> 02:00:09.303]  All part of the design, folks.
[02:00:10.904 --> 02:00:18.988]  So if we have Hamas-style terror attacks in the United States, backed by the American left, it will be the alphabet bureaucracies that are letting them happen.
[02:00:19.788 --> 02:00:35.976]  Whether consciously, wittingly, or unconsciously and unwittingly, when you're weaponized against innocent Americans, and while you're going for political persecution, you're allowing the terrorists to sneak in in the open border, and you will have the same intelligence failures that you saw in Israel happen here in America.
[02:00:37.247 --> 02:00:41.770]  And you'll have the same anti-American left backing it, joining forces with it.
[02:00:44.953 --> 02:00:46.174]  All by design.
[02:00:46.494 --> 02:00:47.735]  But you know there's a larger issue.
[02:00:52.699 --> 02:00:55.961]  This is from Globes.
[02:00:57.122 --> 02:00:59.244]  Meet the Hamas billionaires.
[02:01:01.627 --> 02:01:03.128]  Meet the Hamas billionaires.
[02:01:03.568 --> 02:01:06.769]  Among the Palestinians, they'll tell you straight out, I want to get rich.
[02:01:07.469 --> 02:01:17.733]  And I was having this thought, and I wasn't really even sure how to properly present this, so I didn't plan on bringing it on air today, but then this story was sent to me, because here's the real story.
[02:01:18.814 --> 02:01:30.772]   Folks, it's only the richest and the most elite rich people on earth Again, I'm still not even sure how to present this.
[02:01:30.792 --> 02:01:34.135]  99% of war in modern history comes from the 1%.
[02:01:34.716 --> 02:01:44.324]  The 1% who won it, the 1% who profit off it, the 1% who have the geopolitical desires for power and influence in the aftermath of it.
[02:01:44.965 --> 02:01:46.506]  And the rest of us just have to suffer.
[02:01:46.706 --> 02:01:48.248]  The rest of us just go into the meat grinder.
[02:01:48.868 --> 02:01:50.370]  And so now this is what they're doing to us.
[02:01:51.431 --> 02:01:59.934]  They're destroying our economy to make you poor and desperate and jobless so that you have to sign up for the military because you have no other option to pay your bills and to support your family.
[02:02:01.675 --> 02:02:12.399]  Once again, it's the world's rich, it's the elite of the elite, it's the rich of the rich, it's the military-industrial complex that wants these wars for their own agenda, not yours, not your country's, for theirs!
[02:02:13.160 --> 02:02:14.260]  And now they're doing it again.
[02:02:15.501 --> 02:02:16.361]  Every single time.
[02:02:16.441 --> 02:02:17.261]  War is a racket.
[02:02:17.281 --> 02:02:17.802]  Smedley Butler, 1942.
[02:02:17.842 --> 02:02:17.962]  Every.
[02:02:17.982 --> 02:02:18.122]  Single.
[02:02:18.142 --> 02:02:18.242]  Time.
[02:02:23.001 --> 02:02:26.943]  And it's always the poor that go fight and die in the wars for the rich.
[02:02:27.603 --> 02:02:28.904]  Every single time.
[02:02:29.024 --> 02:02:35.887]  And it's amazing that we, the 99% of people on this planet that want nothing to do with war, we get dummied into it every time.
[02:02:36.187 --> 02:02:41.950]  And doesn't that just show you that slavery is not dead, or as dead as we think it is, but it's still alive and well?
[02:02:42.810 --> 02:02:46.052]  Are we not still all slaves to the military-industrial complex?
[02:02:47.219 --> 02:02:49.381]  Are we not about to have to learn that again?
[02:02:49.401 --> 02:03:03.191]  Alright, this is my final segment before Drew Hernandez takes over, and then Alex Jones is back tomorrow hosting four hours of the Alex Jones Show, and I'll go back to my regular duties of hosting the War Room 3 to 6 p.m.
[02:03:03.212 --> 02:03:04.252]  Today it will be Harrison Smith.
[02:03:04.272 --> 02:03:09.376]  So, Drew Hernandez coming up, then Harrison Smith coming up here on InfoWars Live, brought to you by InfoWarsStore.com.
[02:03:09.396 --> 02:03:10.417]  Folks, flash sale.
[02:03:10.437 --> 02:03:11.298]  Remember, flash sale.
[02:03:11.798 --> 02:03:13.059]  Rainforce Plus, 24 hours, 60% off right now.
[02:03:15.934 --> 02:03:21.136]  And Brain Force Plus, for me, always like to have it on my desk next to me at work.
