[00:00:00.249 --> 00:00:01.410]  Z for defeat.
[02:05:33.131 --> 02:05:34.611]  I know that they were doing that in New York City already.
[02:05:34.732 --> 02:05:36.833]  Yeah, yeah, yeah, but they already got cities doing it now.
[02:05:36.853 --> 02:05:37.593]  It's boom, whole thing.
[02:05:37.753 --> 02:05:39.054]  Yeah, and, oh my God, yeah.
[02:05:39.414 --> 02:05:41.015]  And in Minnesota, they're making them police officers.
[02:05:41.075 --> 02:05:41.475]  It's insane.
[02:05:42.716 --> 02:05:43.236]  And Illinois?
[02:05:43.536 --> 02:05:44.317]  And Illinois as well.
[02:05:44.357 --> 02:05:46.218]  I mean... And New Mexico?
[02:05:48.079 --> 02:05:50.861]  And again, where's our territorialism?
[02:05:50.901 --> 02:05:55.164]  If I go to my neighbor's house and say, be nice to me, let me have sex with your wife, he'd beat my ass.
[02:05:55.504 --> 02:05:57.185]  But it's like, hey, let me come in and get everything free.
[02:05:57.265 --> 02:05:59.387]  It's like, we're all caught on my race, let's do it immediately.
[02:05:59.407 --> 02:06:01.768]  Can I go to Mexico and show up in demand-free shit?
[02:06:01.587 --> 02:06:03.587]  Let's just ask a question to the audience.
[02:06:03.587 --> 02:06:05.587]  I mean, they keep saying that all--
[02:06:05.587 --> 02:06:07.747]  Can I go to Mexico and show up in demand-free shit?
[02:06:07.747 --> 02:06:09.466]  They'd kick my ass, and they should.
[02:06:09.466 --> 02:06:10.467]  Absolutely.
[02:06:10.467 --> 02:06:13.467]  Yeah, rightfully so.
[02:06:13.467 --> 02:06:14.346]  Keep going.
[02:06:14.346 --> 02:06:17.067]  I mean, it's like--
[02:06:17.067 --> 02:06:18.146]  we could talk about it.
[02:06:18.146 --> 02:06:21.266]   It's like, we could talk about the route, or we could talk about bigger picture things.
[02:06:20.462 --> 02:06:21.323]  It happened to either or.
[02:06:22.183 --> 02:06:23.064]  We should talk big picture.
[02:06:23.084 --> 02:06:24.546]  People know there's a full-on invasion.
[02:06:25.146 --> 02:06:25.747]  Big picture.
[02:06:26.367 --> 02:06:27.148]  You're a smart guy.
[02:06:27.869 --> 02:06:28.069]  Sure.
[02:06:28.750 --> 02:06:29.991]  How do we turn this around?
[02:06:31.252 --> 02:06:32.954]  We turn it around by having an educated populace.
[02:06:32.974 --> 02:06:34.455]  We don't have an educated populace.
[02:06:34.595 --> 02:06:36.557]  That's the famous quote, right?
[02:06:36.918 --> 02:06:39.100]  We've got to have people like you that are willing to go show it.
[02:06:39.741 --> 02:06:40.521]  Yeah, I guess that's true.
[02:06:40.561 --> 02:06:41.902]  I mean, where's the international media?
[02:06:41.942 --> 02:06:43.383]  This is all incredible ratings.
[02:06:43.923 --> 02:06:44.744]  But they won't show it.
[02:06:44.784 --> 02:06:45.904]  It's all independent guys like you.
[02:06:46.085 --> 02:06:46.285]  Yeah.
[02:06:46.705 --> 02:06:49.046]  Like, you should have been, there should have been 20 reporters with you down there.
[02:06:49.306 --> 02:06:50.607]  You and your brother are all alone.
[02:06:50.887 --> 02:06:51.928]  Yeah, yeah, that's right.
[02:06:52.588 --> 02:06:55.930]  Well, that's, you know, identify value and... And you didn't even make it about yourself.
[02:06:55.950 --> 02:06:57.651]  You got kidnapped coming back to the Texas border.
[02:06:57.751 --> 02:07:03.394]  We got kidnapped coming back to the Texas border because our border is controlled by groups of narco-terrorists.
[02:07:03.434 --> 02:07:06.956]  I mean, that is... Well, give us big pictures and we'll go on a break in three minutes to come back with the kidnapping.
[02:07:07.116 --> 02:07:07.336]  Sure.
[02:07:07.837 --> 02:07:08.678]  The big picture is this.
[02:07:08.798 --> 02:07:15.366]  Everybody, I'm sure your audience is well aware, if you're not, everybody should probably go download the UN Agenda 2030 white paper.
[02:07:15.386 --> 02:07:23.396]  I know you talk about that all the time, but... Which the ADL says doesn't exist and called for my arrest for covering three years ago, but it's official UN policy.
[02:07:23.536 --> 02:07:24.057]  A hundred percent.
[02:07:24.137 --> 02:07:26.199]  I mean, they literally have a whole website dedicated to it.
[02:07:26.219 --> 02:07:28.000]  You can download the white paper right now in 30 seconds.
[02:07:29.742 --> 02:07:39.712]  For example, you're in Panama, and there'll be big signs that you show the colored pinwheel with the 17 sustainable development goals, and that's just, like, openly displayed on Highway 1 in Panama.
[02:07:39.792 --> 02:07:45.618]  At the UN camps, they have the big swastika, the UN new rainbow swastikas up there.
[02:07:46.058 --> 02:07:46.959]  Guys, pull up the Agenda 2030 symbol.
[02:07:48.206 --> 02:07:49.666]  Yeah, and that's it.
[02:07:49.686 --> 02:07:54.748]  I mean, everybody, if you get a new Samsung phone, it comes with a Sustainable Development Goal app pre-installed with that pinwheel.
[02:07:55.108 --> 02:07:56.908]  And so the point is, that's what this is.
[02:07:56.928 --> 02:07:58.449]  This is all about Agenda 2030.
[02:07:58.529 --> 02:08:01.110]  This is all about collapsing sovereign nation-states.
[02:08:01.130 --> 02:08:02.810]  Guys, pull up UN Agenda 2030.
[02:08:02.910 --> 02:08:03.230]  There it is.
[02:08:03.270 --> 02:08:03.450]  Boom.
[02:08:03.470 --> 02:08:04.191]  It is right there.
[02:08:04.211 --> 02:08:07.131]  You show Bill Gates, King Charles are all wearing that little symbol.
[02:08:07.331 --> 02:08:09.152]  That's the new Nazi armband.
[02:08:09.332 --> 02:08:12.213]  But notice, it's colorful and it's a rainbow, man.
[02:08:12.233 --> 02:08:16.035]  That's not sinister and coming to, you know, destroy your, take all your wealth and your family.
[02:08:16.375 --> 02:08:16.535]  Right?
[02:08:16.575 --> 02:08:18.676]  But it's actually saying we're taking every aspect over.
[02:08:18.936 --> 02:08:20.336]  It's a plan for world socialism.
[02:08:20.377 --> 02:08:20.917]  Everybody should read it.
[02:08:20.937 --> 02:08:23.158]  It talks about our new collective society.
[02:08:23.498 --> 02:08:27.179]  And it talks about how we're going to have education for education provided for by whom?
[02:08:27.499 --> 02:08:28.720]  And we're going to eradicate poverty.
[02:08:28.740 --> 02:08:30.201]  I mean, this is Joseph Stalin stuff.
[02:08:30.641 --> 02:08:31.281]  It's the same thing.
[02:08:31.501 --> 02:08:34.082]  I mean, honestly, socialists, they don't come up with anything new.
[02:08:34.122 --> 02:08:34.542]  It's the same.
[02:08:34.622 --> 02:08:36.223]  This is October Revolution crap.
[02:08:36.383 --> 02:08:37.724]  Well, it's the same stuff now.
[02:08:37.744 --> 02:08:41.147]  Now, OK, OK, listen, Anthony Rubin, Alex Jones, I get that.
[02:08:41.187 --> 02:08:43.249]  But how does this have to do with the mass migration of people?
[02:08:43.309 --> 02:08:51.997]  Everybody go download now another white paper, Migration and the 2030 Agenda by the IOM, the same group that printed out those condom pamphlets.
[02:08:52.078 --> 02:08:55.300]  And it literally calls these people agents of development.
[02:08:55.341 --> 02:08:58.904]  And it says the goal of, quote unquote, migration should be called invasion.
[02:08:59.204 --> 02:09:04.186]  And the 2030 agenda is to facilitate, not to stop migration.
[02:09:04.266 --> 02:09:06.468]  It's right there in your face, clear as day.
[02:09:06.508 --> 02:09:07.148]  They write about it.
[02:09:07.168 --> 02:09:08.789]  You always talk about how you read their blueprints.
[02:09:09.249 --> 02:09:20.674]  Go read these documents that we've just talked about, and you're going to walk away understanding probably more than 99.9% of the people, certainly more than any congressman or senator, because again, these people don't... I'm convinced that they either are in on it, or they simply have no idea what's going on.
[02:09:20.974 --> 02:09:23.796]  Most likely more of the latter, because I think you see these people talking.
[02:09:23.816 --> 02:09:25.016]  I mean, they're morons, a lot of these people.
[02:09:25.056 --> 02:09:26.017]  AOC has not a clue.
[02:09:26.437 --> 02:09:26.597]  Right?
[02:09:26.617 --> 02:09:27.578]  She's just a sock puppet.
[02:09:27.818 --> 02:09:32.700]  So you, the audience, go start reading these documents and then understand it yourself and go and educate people.
[02:09:32.740 --> 02:09:34.041]  Maybe you'll wind up on the Alex Jones Show.
[02:09:34.061 --> 02:09:34.381]  Who knows?
[02:09:34.861 --> 02:09:35.522]  But that's what's going on.
[02:09:35.542 --> 02:09:36.943]  I mean, that's big picture stuff, man.
[02:09:37.003 --> 02:09:48.549]  This is a globalist... I'm not trying to sound too much like Alex Jones, like I'm just repeating what you say, but this is a globalist agenda to take down the sovereign United States of America and build on top of it a world tyranny.
[02:09:48.569 --> 02:09:49.869]  That's what this is all about.
[02:09:49.889 --> 02:09:50.870]  There could be no other reason.
[02:09:51.030 --> 02:09:54.692]  If anybody has seen this evidence and come to a different conclusion, I'd be interested to hear it.
[02:09:57.150 --> 02:09:59.529]  Yes sir, any other questions or I can just keep rambling on.
[02:10:00.376 --> 02:10:01.437]  I'm listening to everything you're saying.
[02:10:01.457 --> 02:10:02.858]  I'm sending out some transmissions here.
[02:10:02.978 --> 02:10:03.698]  Okay, okay.
[02:10:03.718 --> 02:10:04.899]  Some of what you're saying is not important.
[02:10:05.099 --> 02:10:06.139]  Yeah, yeah, absolutely.
[02:10:06.159 --> 02:10:12.463]  So we got 30 seconds left, but I just want the audience sitting at home to just grapple with these questions that I'm giving you.
[02:10:13.204 --> 02:10:15.245]  What's with all the demonization of white people?
[02:10:15.285 --> 02:10:19.567]  Why are they calling us all domestic terrorists and saying that we're white supremacists?
[02:10:19.587 --> 02:10:24.791]  Because they're going to collapse the economy and have us all race war, like Obama's new movie on Netflix.
[02:10:25.291 --> 02:10:26.832]  Literally says, don't trust the white people.
[02:10:26.852 --> 02:10:28.573]  When the power turns off, all kill each other.
[02:10:29.073 --> 02:10:30.374]  I mean, come on, people!
[02:10:30.794 --> 02:10:31.394]  Come on!
[02:10:31.414 --> 02:10:34.055]  We'll be right back.
[02:10:34.796 --> 02:10:35.336]  Mark Raker here.
[02:10:36.076 --> 02:10:37.077]  Right now we're riding the train of death.
[02:10:37.857 --> 02:10:38.837]  It's 1-something in the morning.
[02:10:39.558 --> 02:10:43.439]  We're gonna be on this train for... I don't even know.
[02:10:43.459 --> 02:10:43.780]  20 hours.
[02:10:43.800 --> 02:10:44.540]  Something like that.
[02:10:45.600 --> 02:10:46.521]  I just came down with something.
[02:10:46.541 --> 02:10:47.201]  I'm super sick.
[02:10:47.661 --> 02:10:48.462]  And I just gotta pray.
[02:10:48.502 --> 02:10:49.242]  We just gotta pray.
[02:10:49.742 --> 02:10:50.643]  That it doesn't start raining out.
[02:10:51.643 --> 02:10:52.863]  And that we don't hit a major clump.
[02:10:53.764 --> 02:10:55.845]  That we don't slip off the side or something stupid.
[02:10:55.885 --> 02:10:58.226]  But... So far, God's been on our side, so...
[02:10:59.346 --> 02:11:00.847]  Just stay tuned.
[02:11:02.107 --> 02:11:05.909]  So right now we are in Colombia at the Cabanas Rio Mayo Hotel.
[02:11:06.330 --> 02:11:14.754]  And this hotel that we stumbled upon by accident is a major hub, a major transit point, meeting place for Chinese foreign nationals that are on their way to the United States.
[02:11:15.294 --> 02:11:22.938]  And last night when we were here, we were eating at this hotel restaurant and we were the only foreigners that were not Chinese.
[02:11:23.018 --> 02:11:25.960]  I mean, literally the entire hotel is just Chinese foreigners.
[02:11:26.400 --> 02:11:28.321]  We spoke with the hotel staff here and they confirmed that.
[02:11:28.802 --> 02:11:32.873]  And while there are some women and children, it's mostly military-aged males.
[02:11:33.214 --> 02:11:34.878]  There's some right behind me right now, actually.
[02:11:37.455 --> 02:11:48.602]  We showed you in a previous video of ours a Chinese blueprint that's distributed amongst Chinese in WhatsApp groups and this is actually one of the stops on the blueprint.
