[00:00:00.409 --> 00:00:05.912]  The Doomsday Clock was established in the 1950s to warn of the danger of nuclear war.
[01:50:33.878 --> 01:50:39.282]  Bollmeier and colleagues from Germany shows the vaccine and the spike protein in the heart causing damage.
[01:50:39.342 --> 01:50:40.063]  That's been shown.
[01:50:40.643 --> 01:50:47.834]  And then we have MRI studies, one by Jenna Schauer, two actually by her in pediatrics, showing the heart damage is identifiable in MRI.
[01:50:48.134 --> 01:50:50.317]  It's clearly the source of the cardiac arrest.
[01:50:51.158 --> 01:50:51.419]  Wow.
[01:50:51.919 --> 01:50:52.600]  When we come back...
[01:50:54.158 --> 01:50:56.359]  I'm going to give you the floor because you've got more points to make them.
[01:50:56.379 --> 01:51:00.381]  But I've got questions like, how do we get on the offense to punish those that have done this?
[01:51:01.001 --> 01:51:06.603]  Like criminal investigations in Japan, criminal investigations in places like Florida, other ones around the world.
[01:51:06.983 --> 01:51:10.885]  How do we go on the offense to make them stop rolling out the next power grab?
[01:51:11.245 --> 01:51:11.705]  Stay with us.
[01:51:11.805 --> 01:51:12.806]  Dr. Peter McCullough straight ahead.
[01:51:14.192 --> 01:51:28.478]  All right, if you go back five years ago, we played the C-SPAN clip of Fauci with all the big heads of the federal agencies with health, saying, we're going to blow up the old system, we're going to use a virus out of China to bring in mRNA, we're going to get rid of the approval process.
[01:51:28.538 --> 01:51:32.940]  And now they've announced at Davos, oh, we're getting rid of the approval process.
[01:51:32.980 --> 01:51:34.941]  We've got cancer mRNA shots.
[01:51:34.981 --> 01:51:38.843]  We've got stuff for drug abuse, stuff for depression, stuff for everything.
[01:51:38.863 --> 01:51:42.165]   We're going to make you take all these Experimental shots.
[01:51:42.245 --> 01:51:46.348]  So I was talking to Dr. Peter McCuller in the break and he said it's gonna be the biggest I told you so in history.
[01:51:47.109 --> 01:51:49.971]  But I want to talk about something he didn't even bring up.
[01:51:50.970 --> 01:52:00.814]  But I know there's a lot of great telemedicine out there, but this guy with a great CEO out of Canada, he was on Tucker Carlson about it, has brought out the best telemedicine out there.
[01:52:00.974 --> 01:52:02.074]  I'm personally using it.
[01:52:02.414 --> 01:52:14.859]  McCullough didn't come here to plug this, but I'm gonna plug it because it saved my dad, it saved a bunch of my family, it saved a bunch of people early on when these guys were just on the phone calling pharmacies and getting people to give people things they needed.
[01:52:15.479 --> 01:52:22.321]  That they were told by the media, don't give Ivermectin, don't give Hydroxychloroquine, don't give Budesodone, or whatever you call it, inhalable steroids.
[01:52:22.941 --> 01:52:30.283]  And it pisses me off because these are lightly controlled substances, very easy to get prescriptions for, like inhalers, they were blocking it.
[01:52:30.323 --> 01:52:35.144]  But not just those, anything you need, next level online medicine.
[01:52:35.184 --> 01:52:35.744]  This is the future.
[01:52:35.784 --> 01:52:38.245]  Something great Trump did was make this the law.
[01:52:39.810 --> 01:52:50.354]  If you go to OnlineHealthNow.com, OnlineHealthNow.com, and we'll put a lower third for Dr. McCullough, that's a link that goes to the site so we get a little bit of the support because they are a sponsor.
[01:52:50.394 --> 01:52:56.376]  I set this up with the folks working with Tucker Carlson and the CEO they had on, aside from Dr. McCullough.
[01:52:56.797 --> 01:53:09.664]   But I'm going to make you talk about this company and the great work you're doing because you're persecuted, you're attacked, you've saved millions of lives, and who doesn't want you As the main, you know, chief doctor running this thing as their doctor.
[01:53:09.724 --> 01:53:10.745]  That's where I want to go.
[01:53:11.105 --> 01:53:11.946]  That's who I want to support.
[01:53:11.966 --> 01:53:12.846]  Because it's Russian roulette.
[01:53:13.127 --> 01:53:15.989]  You go to one clinic, they're listeners, they know what's going on, they give you what you need.
[01:53:16.430 --> 01:53:19.212]  You go to another, they laugh at you and say, wear a mask, we're not going to even help you.
[01:53:19.652 --> 01:53:23.476]  And so tell us about where the onlinehealthnow.com leads.
[01:53:24.256 --> 01:53:32.163]  For healthcare you can trust, visit onlinehealthnow.com and connect with trusted and unbiased doctors at The Wellness Company.
[01:53:32.964 --> 01:53:34.885]  This is the future of medical care.
[01:53:34.905 --> 01:53:35.485]  You see it everywhere.
[01:53:35.865 --> 01:53:41.567]  Virtual health care on call from anywhere by visiting onlinehealthnow.com and the wellness company.
[01:53:41.587 --> 01:53:43.867]  Get access to uncensored content.
[01:53:43.927 --> 01:53:46.848]  Schedule virtual appointments to speak with a medical doctor.
[01:53:47.148 --> 01:53:48.769]  Get exclusive treatment packages.
[01:53:49.209 --> 01:53:52.610]  Shop online for doctor approved supplements and so much more.
[01:53:52.690 --> 01:54:00.132]  Health care should not be a hassle and you should not have to convince or beg the mainstream doctor for effective and cheap medical care.
[01:54:01.129 --> 01:54:10.637]  More than just an online doctor visit, listen to podcasts, watch the Med Talk videos, read unbiased medical articles and publications, and access their online e-book library.
[01:54:11.502 --> 01:54:13.163]  And this is why Trump got conned by the shot.
[01:54:13.203 --> 01:54:14.144]  We'll talk about that in a moment.
[01:54:14.424 --> 01:54:16.865]  He just said, green light everything, I trust doctors.
[01:54:16.905 --> 01:54:25.211]  So he did a bunch of good stuff, a bunch of therapeutics, brought out the good stuff, and countered the bad stuff.
[01:54:25.511 --> 01:54:29.533]  But because he trusted the system, he also pushed what the bad guys were doing.
[01:54:29.593 --> 01:54:34.296]  That's why it's important to write this down and have this and be ready.
[01:54:34.316 --> 01:54:38.699]  So you don't want to get into this, you want to cover news, but tell us about the wellness company and how important it is.
[01:54:39.039 --> 01:54:43.101]  I tell you, TWC.health.com is the wellness company.
[01:54:43.321 --> 01:54:45.622]  Wonderful, wonderful creation.
[01:54:46.182 --> 01:54:50.024]  And I tell you, I'm honored to be the Chief Scientific Officer of the company.
[01:54:50.064 --> 01:54:52.765]  I contribute like so many else do there.
[01:54:52.825 --> 01:54:54.446]  So many wonderful doctors.
[01:54:55.146 --> 01:55:03.170]  There are verticals for nutraceuticals and supplements, health and wellness coaching, media, telemedicine doctors.
[01:55:03.190 --> 01:55:07.372]  This month they've announced a dental network now.
[01:55:08.032 --> 01:55:12.575]  Companies are bringing on the wellness company as a benefit because it's a cell phone app.
[01:55:12.955 --> 01:55:20.300]  People for $10 a month get access through the cell phone to what they need in terms of a doctor when they need them.
[01:55:20.440 --> 01:55:21.501]  And this is a revolution.
[01:55:21.861 --> 01:55:28.306]  Bypass all the controlled people and go right to the folks that have stood up for humanity and get great services at the same time.
[01:55:28.446 --> 01:55:37.752]  It's so true and you know far and away the most popular question or the most popular product is Dr. Vandewater's detoxification supplement.
[01:55:38.332 --> 01:55:39.974]  That features natokinase.
[01:55:40.014 --> 01:55:42.335]  Natokinase is a Japanese discovery.
[01:55:42.395 --> 01:55:45.638]  It's a natural proteolytic enzyme.
[01:55:45.858 --> 01:55:47.780]  Well, the Japanese discover so much stuff.
[01:55:47.800 --> 01:55:48.180]  They do!
[01:55:48.540 --> 01:55:54.445]  And this one is the only enzyme that we're aware of right now that dissolves the spike protein.
[01:55:54.485 --> 01:55:55.245]  This is very important.
[01:55:55.265 --> 01:56:00.109]  The spike protein is loaded in the body with the COVID-19 infection and definitely with the vaccines.
[01:56:00.389 --> 01:56:03.011]  It looks like it takes a long time for the body to get rid of it.
[01:56:03.051 --> 01:56:04.292]  So we keep looking for a mitigator.
[01:56:04.312 --> 01:56:04.753]  This is it.
[01:56:04.792 --> 01:56:05.792]  Tell us about it.
[01:56:05.792 --> 01:56:08.872]  The Dr. Vandewater supplement features natokinase.
[01:56:08.872 --> 01:56:10.471]  I recommend it twice a day.
[01:56:10.471 --> 01:56:16.072]   It also has selenium and some other natural herbs and supplements.
[01:56:16.072 --> 01:56:17.912]  She's a pharmacist on our team.
[01:56:17.912 --> 01:56:22.152]  She designed it and it's supported by preclinical science.
[01:56:22.156 --> 01:56:25.997]  We need, obviously, human clinical studies, but it's an available supplement now.
[01:56:26.478 --> 01:56:28.419]  People are looking for anything else.
[01:56:28.579 --> 01:56:30.340]  I've tried prescription drugs.
[01:56:30.400 --> 01:56:32.901]  I've tried ivermectin, hydroxychloroquine.
[01:56:33.141 --> 01:56:35.282]  I've tried steroids, fluvoxamine.
[01:56:35.522 --> 01:56:38.664]  We can't seem to... By the way, anybody saying COVID isn't real hasn't had it.
[01:56:39.544 --> 01:56:40.605]  I'm as healthy as a horse.
[01:56:40.685 --> 01:56:41.986]  I get sick like every 10 years.
[01:56:42.626 --> 01:56:44.407]  I've been around 48 years, 49 now.
[01:56:44.768 --> 01:56:46.769]  I've never experienced sickness like this.
[01:56:47.189 --> 01:56:47.610]  It's true.
[01:56:47.650 --> 01:56:49.191]  You can imagine what if you were, you know, 89.
[01:56:49.471 --> 01:56:51.052]  You can see how you went down.
[01:56:51.372 --> 01:56:57.816]  But I'm talking about this problem of now after the vaccines and multiple bouts of COVID, people are low with the spike protein.
[01:56:57.836 --> 01:56:58.677]  They don't feel well.
[01:56:58.997 --> 01:57:01.018]  They have a variety of constitutional symptoms.
[01:57:01.439 --> 01:57:03.080]  This is a potential solution.
[01:57:03.460 --> 01:57:05.861]  We're clearly going to try to advance the science here.
[01:57:05.881 --> 01:57:07.523]  So they go to online now?
[01:57:08.403 --> 01:57:11.166]  Onlinehealthnow.com, that's a URL so we get some of the support.
[01:57:11.547 --> 01:57:14.650]  They go there, it leads them right to the site, and they can get this compound.
[01:57:14.830 --> 01:57:21.577]  That's right, they get the compound, can sign up as a monthly membership, can buy it without the monthly membership, get a discount on the products.
[01:57:22.118 --> 01:57:25.962]  Many people want it because they want the backup to get a doctor when they need it.
[01:57:25.982 --> 01:57:28.585]  Well that's it, and God gave us nature to counter this stuff.
[01:57:29.105 --> 01:57:29.485]  It's true.
[01:57:30.166 --> 01:57:30.906]  It's so interesting.
[01:57:31.327 --> 01:57:34.328]  Hydroxychloroquine comes from a natural substance.
[01:57:34.409 --> 01:57:37.410]  So does ivermectin and now natokinase.
[01:57:37.551 --> 01:57:38.551]  Isn't it interesting?
[01:57:38.911 --> 01:57:44.795]  Natural substances, in a sense, combating this man-made disaster, SARS-CoV-2 and the vaccines.
[01:57:45.015 --> 01:57:49.498]  Onlinehealthnow.com, thank you for your support and thank you for getting into that because it's important.
[01:57:49.518 --> 01:57:51.139]  You didn't come here to do that, but I made you do it.
[01:57:51.580 --> 01:57:53.141]  Continue now with the big news.
[01:57:53.201 --> 01:57:54.982]  Vindicated, it's all coming out.
[01:57:55.582 --> 01:57:59.125]   You were saying during the break, The leader just panicked.
[01:58:00.066 --> 01:58:26.258]  Well, you know, what we've witnessed is this, in our book, Courage to Face COVID-19, we describe the biopharmaceutical complex, this alignment of the World Economic Forum, the Gates Foundation, the Wellcome Trust, the Rockefeller Foundation, and CEPI, the Coalition of Epidemic Preparedness and Innovation, Gavi, Unitaid, the worldwide federal agencies, pharma, and the suppliers.
[01:58:26.498 --> 01:58:29.360]  They've basically coalesced around a complex.
[01:58:30.080 --> 01:58:42.810]  And they are singularly focused on vaccination, and particularly genetic vaccination, as a means of influencing world health, as they pose it.
[01:58:43.331 --> 01:58:45.973]  In the Davos meeting, we analyzed the agenda, Alex.
[01:58:46.013 --> 01:58:50.617]   It turns out only 22% of the World Economic Forum meeting Is on economics.
[01:58:51.037 --> 01:58:52.779]  The rest of it is on science fiction.
[01:58:53.179 --> 01:58:57.684]  It's on some type of view that through... It's a death, it's a science fiction death cult.
[01:58:57.984 --> 01:59:02.609]  And notice I have played three clips from it where they said, we're gonna fix your genetics with mRNA.
[01:59:02.869 --> 01:59:04.751]  So they're admitting they're changing our genetics.
[01:59:05.231 --> 01:59:05.731]  There you go!
[01:59:05.911 --> 01:59:07.832]  And I tell you, it is a disaster.
[01:59:07.872 --> 01:59:11.352]  We've now learned that this messenger RNA looks like it's permanent.
[01:59:11.892 --> 01:59:18.573]  The 3' and 5' caps on the end, the nucleoside analog caps, do not get digested by human enzymes.
[01:59:19.034 --> 01:59:23.154]  They actually enhance reverse transcriptase by an endogenous enzyme called line 1.
[01:59:23.674 --> 01:59:31.776]  This means that this code is then transcribed into your permanent DNA, then passed down from parent cells to daughters.
