[00:00:00.169 --> 00:00:07.411]  Elon Musk's brain computer company Neuralink receives FDA approval to launch human clinical trial.
[02:01:10.827 --> 02:01:11.347]  Hilarious.
[02:01:11.748 --> 02:01:12.188]  Like this.
[02:01:12.608 --> 02:01:17.209]  Dollar Tree plunges after profit tumbles as thieves pillage stores.
[02:01:18.226 --> 02:01:29.849]  Yes, many stores, brick-and-mortar stores, are being forced to close because liberal policies have emboldened criminals to engage in such theft that the stores can't even survive anymore.
[02:01:30.850 --> 02:01:36.771]  And this is what the left has planned for your entire country before they absorb it into the one world government with the digital currency that they can switch on and off.
[02:01:37.351 --> 02:01:40.372]  And you're gonna have to be a good slave if you want to buy or sell.
[02:01:40.812 --> 02:01:42.713]  We go back to the phone lines.
[02:01:42.733 --> 02:01:45.334]  We have Alan in Arkansas.
[02:01:45.514 --> 02:01:46.374]  Alan, you're on the air.
[02:01:46.414 --> 02:01:46.754]  Go ahead.
[02:01:48.959 --> 02:01:49.820]  How you doing, Owen?
[02:01:49.840 --> 02:01:51.181]  You're doing a fine job there.
[02:01:51.462 --> 02:01:52.482]  Thank you.
[02:01:52.963 --> 02:01:59.368]  Yeah, you were speaking about the preachers with all the trans trash going on.
[02:02:00.309 --> 02:02:05.734]  You know, my wife and I, we've listened to Alex for 25 years.
[02:02:06.034 --> 02:02:12.320]  And back long ago, you know, you had some lone voices out there.
[02:02:13.481 --> 02:02:15.983]  We text Mars and Pastor Butch Paul.
[02:02:17.120 --> 02:02:20.063]  But we confided in them.
[02:02:20.163 --> 02:02:21.144]  We were the only ones.
[02:02:22.045 --> 02:02:29.391]  But back when we really got us going on, it was my oldest son.
[02:02:29.432 --> 02:02:33.595]  He was in second grade and my daughter was in fourth grade.
[02:02:34.636 --> 02:02:38.820]  And you have to just go figure the liberal thinking.
[02:02:38.840 --> 02:02:39.581]  I have no idea.
[02:02:40.322 --> 02:02:46.402]   but the teacher then was going to have the kids do a study on China.
[02:02:46.402 --> 02:02:50.521]   So she goes to the public library and gets books off the top shelf
[02:02:50.521 --> 02:02:56.561]   and showing bare-breasted women to the second graders doing a study on China, can't figure it.
[02:02:56.561 --> 02:03:02.041]   And then at the same time, in the fourth grade, the teacher there decided to do
[02:03:02.041 --> 02:03:06.122]  a Netherlands nightlife study.
[02:03:06.122 --> 02:03:13.641]   And she's showing Netherlands nightlife videos in the fourth grade class, which are not good to be doing.
[02:03:13.648 --> 02:03:21.894]  But we went, we had a school board meeting, you know, they said, well, we're going to take your little subject to executive session.
[02:03:22.775 --> 02:03:28.239]  And we just, we come unglued and just ended our portion of their meeting.
[02:03:29.580 --> 02:03:34.241]  And come to find out, at the same time, all the preachers were having pizza at a pizza joint.
[02:03:34.481 --> 02:03:36.142]  Never got any support from them.
[02:03:36.162 --> 02:03:42.723]  But I'm glad, you know, the preachers have been taken out so long ago, you know.
[02:03:44.524 --> 02:03:49.385]  But yeah, we've been listening to Alex, and that was a whole different deal then.
[02:03:51.465 --> 02:03:57.967]  But a lot of the preachers that were on, you know, associated around Alex, they did listen and had shows on it.
[02:03:58.837 --> 02:03:59.817]  We're upset as we were.
[02:04:00.318 --> 02:04:01.538]  And a lot of callers called in.
[02:04:01.918 --> 02:04:05.320]  They were upset, too, but that was, you know, 30 years ago.
[02:04:05.580 --> 02:04:07.361]  And today, I don't expect them to do much.
[02:04:10.643 --> 02:04:12.023]  They've just enriched themselves.
[02:04:13.344 --> 02:04:13.784]  Oh, sure.
[02:04:14.745 --> 02:04:15.385]  Oh, sure.
[02:04:15.445 --> 02:04:16.285]  Nice and comfortably.
[02:04:17.306 --> 02:04:18.326]  Oh, yeah.
[02:04:18.667 --> 02:04:19.707]  That just disgusts me.
[02:04:20.307 --> 02:04:25.030]  All these tin churches and having their little bread and circuses, you know.
[02:04:26.860 --> 02:04:33.724]  But yeah, I ordered some survival shield and turbo force.
[02:04:33.845 --> 02:04:35.706]  I'm anxious to give that a try.
[02:04:37.447 --> 02:04:38.808]  Well, I appreciate that, Alan.
[02:04:38.888 --> 02:04:43.891]  It's your support that keeps us on the air, and you will see the results for sure.
[02:04:43.911 --> 02:04:45.212]  Okay.
[02:04:45.252 --> 02:04:46.673]  Well, you keep up the good work, Alan.
[02:04:46.873 --> 02:04:47.413]  Doing fine.
[02:04:47.954 --> 02:04:48.614]  Thank you for the call.
[02:04:48.974 --> 02:04:51.076]  Let's go to Evan in California.
[02:04:51.276 --> 02:04:52.316]  Evan, you're on the air.
[02:04:52.377 --> 02:04:52.777]  Go ahead.
[02:04:54.185 --> 02:04:55.986]  Oh, and it's a pleasure to talk to you, my friend.
[02:04:56.366 --> 02:04:58.167]  Hey, I had the pleasure of talking to you once before.
[02:04:58.467 --> 02:05:08.513]  Hey, kind of piggybacking on the last caller, I'm Evan the Evangelist, and I have a ministry, Jesus Christ Worldwide Ministries, and the last caller was very accurate.
[02:05:08.533 --> 02:05:14.296]  Most preachers don't really... they just care about a doctrine that women will give money to.
[02:05:14.916 --> 02:05:17.898]  If you have an edge, it's usually the women that don't want to hear it.
[02:05:18.018 --> 02:05:25.322]   I've spoken to a lot of churches where a lot of guys are fired up, but Women in church, they don't want to hear anything fiery.
[02:05:25.342 --> 02:05:35.868]  Well, I'll tell you, over 20 years ago, I talked to Ray Taliaferro, and he pulled some of this LGBT stuff all the way back then, and I got him kicked off the air.
[02:05:36.268 --> 02:05:49.135]  So, you can try to confront people, and if you use the gospel, and if you know the Bible, and you're able to warn people, I was able to get people in the Bay Area to get Ray Taliaferro kicked off the air.
[02:05:49.719 --> 02:05:53.060]  At the time, he was the number one guy on KGO News Talk Radio.
[02:05:53.660 --> 02:05:56.441]  And eventually, I think about a year later, they brought him back.
[02:05:57.081 --> 02:06:07.824]  But I got him to say that God was a homosexual, and that all these people started protesting, and I started calling him with different voices and stuff, and long story short, I got the guy kicked off the air.
[02:06:08.744 --> 02:06:10.944]  So, you could be a minister like me.
[02:06:11.024 --> 02:06:13.885]  I have a Jesus Christ Worldwide Ministry.
[02:06:14.545 --> 02:06:15.225]  It's jcwm1.com.
[02:06:15.986 --> 02:06:16.446]  I'm a dude.
[02:06:16.506 --> 02:06:17.226]  I work for a living.
[02:06:18.308 --> 02:06:21.769]  If anybody gives me money, I try to promote Alex Jones.
[02:06:21.849 --> 02:06:22.789]  You watch my videos.
[02:06:23.249 --> 02:06:27.490]  I believe Alex Jones is the biggest, most effective preacher of the gospel on planet Earth.
[02:06:28.310 --> 02:06:29.730]  And I believe, Owen, you're number two.
[02:06:30.150 --> 02:06:39.532]  Because when you are talking to, you're confronting an audience with the reality of this world, and then you, you know, give an homage, you give a shout out to God.
[02:06:40.152 --> 02:06:42.933]  That's all God really asks, to start to turn things around.
[02:06:43.693 --> 02:07:04.812]   And I've talked to Alex a couple times, and I was trying to make the point that Even though it might seem a little unsecular, I believe InfoWars should dedicate one day to Jesus Christ, have ministers on, and do spiritual battle, because I literally do consider Alex number one and you number two, and I'm probably number 80 million.
[02:07:05.352 --> 02:07:16.978]  Well, let me just pause you right there, and maybe we can even get, you said you're Edmund the Evangelist, I don't know if you've got a YouTube channel or something we can promote here, but let me just stop you right there and kind of explain this a little bit more.
[02:07:18.118 --> 02:07:28.388]  I look at somebody like Pastor Arthur Pawlowski in Canada who's probably been arrested like half a dozen or more times now for standing up against tyranny and calling it out.
[02:07:29.309 --> 02:07:35.215]  Why aren't there thousands of preachers and pastors like that in North America?
[02:07:35.696 --> 02:07:36.116]  There aren't!
[02:07:36.937 --> 02:07:42.262]  Why aren't there thousands of preachers like Pastor Greg Locke or David Scarlett?
[02:07:42.303 --> 02:07:44.745]  It's too few and far between.
[02:07:44.805 --> 02:07:48.309]  But let me get directly what you're referencing now with me.
[02:07:50.075 --> 02:07:53.199]  I never claimed to be a religious activist.
[02:07:54.040 --> 02:07:58.085]  I don't try to bring religion onto these transmissions.
[02:07:58.105 --> 02:07:58.686]  I mean, we do.
[02:07:58.766 --> 02:07:59.247]  It's inevitable.
[02:07:59.287 --> 02:08:01.149]  We're facing evil spirits now and demons.
[02:08:02.070 --> 02:08:02.691]  It's clear.
[02:08:02.751 --> 02:08:03.913]  And we are Christians here.
[02:08:04.233 --> 02:08:05.254]  And I do believe in God.
[02:08:05.835 --> 02:08:06.115]  And I do...
[02:08:07.677 --> 02:08:10.579]  I mean, anybody that denies creation to me is just like, it just blows my mind.
[02:08:10.599 --> 02:08:11.680]  How can you not see the creation?
[02:08:12.221 --> 02:08:13.642]  We're all in a divine creation right now.
[02:08:14.523 --> 02:08:26.552]  But here's why I've been more inclined to put pressure, and that's what it really is, to put pressure on the Christian church and the Christian body to get active, because I'm just not seeing it.
[02:08:26.572 --> 02:08:50.345]   But what I am seeing is this This, like, moral competition from the American right, specifically the Christian American right, where they expect everybody to live purist lives, and they expect everybody to live life how they expect them to live it, and I'm just sitting here, hey, you know, that's fine, I think that's an unfair expectation, but I understand where you're coming from as a Christian, okay, but where are you in the field?
[02:08:51.406 --> 02:08:56.269]  Where are you standing up against the children being targeted for genital mutilation?
[02:08:57.020 --> 02:09:02.382]  Where are you standing up against the innocent children that are going to be snuffed out in the womb?
[02:09:02.923 --> 02:09:08.605]  Where are you standing up when it comes to the mark of the beast and the digital currency and the forced vaccinations?
[02:09:09.305 --> 02:09:10.266]  I'm just not seeing it.
[02:09:10.446 --> 02:09:12.507]  So I see plenty of moral police out there.
[02:09:13.047 --> 02:09:16.829]  I see plenty of moral police out there, but that's still a comfort zone.
[02:09:18.269 --> 02:09:36.319]   So I just have a problem with the moral police that won't even bust a grape in this political Well, you know, I laugh at this, but, you know, if you read the Bible, God uses the people that weren't expected to be used.
[02:09:36.339 --> 02:09:43.188]  And I've said this once to Alex Jones, and I didn't mean to be offensive to him, is that he's a whiskey drinking man of faith.
[02:09:43.863 --> 02:09:46.244]  And I would rather listen to him because he's real.
[02:09:46.584 --> 02:09:52.307]  So you and Alex have righteous indignation, and that's what people should start looking for in a minister.
[02:09:52.327 --> 02:09:55.629]  If he doesn't have righteous indignation, he's not alive.
[02:09:56.109 --> 02:09:56.990]  He's not alive.
[02:09:57.230 --> 02:10:03.793]  And I hate to say this again, but kind of the Joel Osteen Church, I'm not hearing them come against evil.
[02:10:03.993 --> 02:10:08.896]  They're just agreeing with, you know, people sitting on the fence.
[02:10:09.335 --> 02:10:21.506]  Alright, final segment of your phone calls, and then I'm gonna show you that video I teased in the first five minutes of the next hour, followed by Jay Dyer from Jay's Analysis.
[02:10:21.546 --> 02:10:26.590]  We're still taking your calls though, so let's go to J-Ro in Georgia.
[02:10:27.091 --> 02:10:28.452]  J-Ro, you're on the air, go ahead.
[02:10:29.457 --> 02:10:30.839]  What's going on, Owen Shorey?
[02:10:30.879 --> 02:10:32.381]  Man, glad to be on with you today.
[02:10:32.761 --> 02:10:34.203]  I spoke with you last year.
[02:10:34.663 --> 02:10:36.145]  I'm an eight-year Marine Corps veteran.
[02:10:36.205 --> 02:10:40.930]  I served six and a half years in the Air Force, and we talked about the storm and being sheepdog.
[02:10:41.571 --> 02:10:47.158]  I don't know if you remember that conversation, but either way, this is now, the storm is no longer off the shore.
