[00:00:00.049 --> 00:00:01.309]  That's the law required.
[02:03:19.400 --> 02:03:22.442]  I mean, after one or two cesareans, they tell you don't have any more.
[02:03:23.363 --> 02:03:25.845]  And it's just an absolute travesty.
[02:03:25.885 --> 02:03:29.928]  But no, I mean, in another generation they'll say it's an al-Qaeda lie.
[02:03:30.249 --> 02:03:31.850]  Babies were always removed.
[02:03:32.270 --> 02:03:34.112]  They always had machines that did it.
[02:03:34.532 --> 02:03:37.434]  No, I mean, that's how they operate.
[02:03:37.454 --> 02:03:39.396]  They'll say it's Al-Qaeda, but it's Al-Qaeda.
[02:03:39.496 --> 02:03:41.738]  I mean, I'm being halfway sarcastic, but I'm not really.
[02:03:41.758 --> 02:03:43.519]  They'll say it's Al-Qaeda.
[02:03:43.719 --> 02:03:47.522]  It's a sure Al-Qaeda sign to have your baby the normal way.
[02:03:47.963 --> 02:03:49.504]  Now, certainly, I'm all feeling it.
[02:03:49.624 --> 02:03:52.967]  I mean, there were 10, 15, 20 percent mortality rates.
[02:03:53.487 --> 02:03:54.708]  It wasn't that in ancient times.
[02:03:54.788 --> 02:03:56.930]  It went up higher during the medieval and other periods.
[02:03:57.690 --> 02:03:59.792]  Because of sanitation and other problems.
[02:04:00.573 --> 02:04:03.655]  But then other countries had to figure it out, like the Dutch and stuff.
[02:04:03.675 --> 02:04:06.297]  They had the women, like the Africans do, sit on a chair.
[02:04:06.677 --> 02:04:08.058]  And you're talking about just a few hours.
[02:04:08.459 --> 02:04:10.580]  Number one, it's this laying on the back business.
[02:04:11.221 --> 02:04:13.903]  That's not how women had babies thousands of years ago.
[02:04:16.425 --> 02:04:20.548]  Another thing is they give women these glucose IVs.
[02:04:23.397 --> 02:04:24.077]  And what does that do?
[02:04:24.137 --> 02:04:24.878]  I've got my wife here.
[02:04:24.898 --> 02:04:25.478]  What does that do again?
[02:04:25.518 --> 02:04:27.739]  The glucose, it raises the blood sugar of the baby, right?
[02:04:27.759 --> 02:04:30.780]  Yes, that's what the baby hypothesized.
[02:04:31.160 --> 02:04:36.202]  And then it causes the baby's blood sugar to crash when the baby is born.
[02:04:36.302 --> 02:04:40.344]  Then they get to put it in the NICU and suck a tripling out of you.
[02:04:41.305 --> 02:04:44.286]  How can you be 33 years old and have figured all of this out?
[02:04:45.086 --> 02:04:45.546]  No, no, no.
[02:04:45.927 --> 02:04:48.187]  I experienced it with our first child.
[02:04:48.308 --> 02:04:49.268]  I've actually lived it, brother.
[02:04:49.995 --> 02:04:50.195]  Okay.
[02:04:50.536 --> 02:04:58.061]  Hey, if it wasn't for you, I'd be completely nuts, because this is the only place where people are telling the truth.
[02:04:58.421 --> 02:05:00.463]  Well, not the only place, but one of the few.
[02:05:00.563 --> 02:05:01.223]  Well, we try.
[02:05:01.243 --> 02:05:03.125]  I mean, we don't get it all right, but I appreciate your call.
[02:05:03.145 --> 02:05:04.105]  In fact, here's a correction.
[02:05:04.466 --> 02:05:07.828]  In the first hour, I talked about the Templars being killed in the 15th century.
[02:05:08.429 --> 02:05:10.050]  I immediately said, though, that wasn't right.
[02:05:10.070 --> 02:05:10.790]  I had to get the date.
[02:05:11.171 --> 02:05:12.271]  I knew it was either 12th or 13th.
[02:05:12.312 --> 02:05:13.592]  I don't know why I said 15th.
[02:05:14.073 --> 02:05:14.953]  It was October 13th,
[02:05:18.042 --> 02:05:22.983]  1307, when the Knights Templars were killed, by King Philip the Fair.
[02:05:23.704 --> 02:05:24.524]  Philip Lebel.
[02:05:24.544 --> 02:05:30.166]  Okay, we'll be right back.
[02:05:30.406 --> 02:05:33.587]  It's here, after a year in production and traveling to distant lands.
[02:05:33.907 --> 02:05:35.848]  My new film, Terror Storm, is complete.
[02:05:36.228 --> 02:05:43.791]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[02:05:44.560 --> 02:05:51.622]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[02:05:52.022 --> 02:06:03.404]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[02:06:03.745 --> 02:06:07.265]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[02:06:07.725 --> 02:06:09.626]  It's an anthology of government crimes.
[02:06:09.986 --> 02:06:13.827]  Terror Storm is a film that everyone who wants to be truly informed must see.
[02:06:14.409 --> 02:06:26.338]  Get your copy today on Infowars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[02:06:28.680 --> 02:06:29.721]  The War on Terrorism.
[02:06:30.061 --> 02:06:32.844]  Will it be fought overseas or will it affect us here at home?
[02:06:33.104 --> 02:06:37.267]  If you are like most folks, you want to be prepared but can't afford an underground shelter.
[02:06:37.687 --> 02:06:38.528]  So what do you do?
[02:06:38.848 --> 02:06:43.412]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[02:06:43.892 --> 02:06:45.993]  With a little know-how, it's not that difficult.
[02:06:46.494 --> 02:07:01.203]  Sheltering in Place, Surviving Acts of Terrorism from Biological, Chemical, and Radioactive Fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[02:07:01.243 --> 02:07:08.287]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[02:07:08.647 --> 02:07:13.049]  Get this critical video every American needs for only $29 plus shipping.
[02:07:13.489 --> 02:07:15.270]  Order by calling New Millennium today at 888-803-4438.
[02:07:15.290 --> 02:07:15.510]  That's 888-803-4438.
[02:07:15.590 --> 02:07:17.071]  Or order on the web at Berkeywater.com.
[02:07:28.775 --> 02:07:32.897]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[02:07:33.117 --> 02:07:34.897]  Well, the glass has a natural resonance.
[02:07:35.157 --> 02:07:41.440]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[02:07:41.740 --> 02:07:47.862]  Using this similar principle, Royal Raymond Rife discovered that disease organisms can be destroyed using different resonant frequencies.
[02:07:48.102 --> 02:07:49.923]  The BioSolutions Frequency Instrument
[02:07:50.083 --> 02:07:50.923]  We're good to go.
[02:08:12.788 --> 02:08:15.689]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[02:08:15.709 --> 02:08:17.490]  It's Alex Jones and the GCN Radio Network.
[02:08:17.590 --> 02:08:17.730]  Richard!
[02:08:17.750 --> 02:08:17.810]  Ken!
[02:08:43.024 --> 02:08:45.465]  Rory, Trent, everybody.
[02:08:45.805 --> 02:08:46.785]  We're gonna get to your calls.
[02:08:48.065 --> 02:08:48.845]  But I got a rule.
[02:08:49.305 --> 02:08:53.566]  If somebody disagrees, and he just called in, but... You gotta be fair here.
[02:08:54.126 --> 02:08:54.766]  That's my rule.
[02:08:55.146 --> 02:08:57.367]  They go to the front of the line, and let's see if he really disagrees.
[02:08:57.767 --> 02:08:59.047]  John in New York, go ahead.
[02:08:59.067 --> 02:09:05.508]  Uh, Alex, this is John from New York, and I have to offer some corrective information about the CFR, if I may?
[02:09:06.509 --> 02:09:08.549]  The Council on Foreign Relations, go ahead.
[02:09:09.321 --> 02:09:20.870]  The Council on Foreign Relations was started in 1921 and this was a result of the United States Senate refusing to ratify the Treaty of Versailles and that would have taken the United States into the League of Nations.
[02:09:20.970 --> 02:09:24.953]  Yeah, so what are you... Let me keep going.
[02:09:25.814 --> 02:09:38.224]  And the very first thing that the CFR did was to purchase the policy, not the newspaper itself, but the policy of all the major newspapers in the country
[02:09:38.823 --> 02:09:48.993]  And as media through radio and talking movies and TV evolved, they just got into those avenues as well.
[02:09:49.794 --> 02:09:56.421]  I have two sources that I can offer for documentation of this information, if I'd like to give them, if I may.
[02:09:56.701 --> 02:10:00.705]  Yeah, you've got the floor, but I want to be clear here that we don't disagree about anything.
[02:10:01.245 --> 02:10:07.753]  I mean, people are going to think that I don't agree with what you just said because you've made the spurious claim that you disagree with something.
[02:10:07.833 --> 02:10:09.535]  What specifically do you disagree with me on?
[02:10:09.755 --> 02:10:16.622]  Well, I think it's important when you talk about the CFR in the media, this isn't something that's just evolved in the last few decades.
[02:10:16.662 --> 02:10:18.444]  This is the very first thing that they did.
[02:10:18.504 --> 02:10:19.766]  Well, I didn't say that.
[02:10:21.351 --> 02:10:44.860]  Which, excuse me then, why, but I want... Well, I don't want you to say excuse me, I just, we're in agreement, my friend, what you're saying is all true from what I know, I mean, I don't know about every policy, but I know they, I mean, they have the heads of every major media institution already, that's who the British intelligence helped set it up, because the League of Nations with Woodrow Wilson's and Mandelhaus' plan failed, and they've written about it themselves, and they admit it, and
[02:10:45.640 --> 02:10:50.603]  They're in control of the big five, really big four now, media conglomerates and every major newspaper.
[02:10:50.864 --> 02:11:00.070]  And I said the corporate good old boys in the CFR, because of their intersecting interest, that's why they set that up.
[02:11:00.550 --> 02:11:05.653]  And they set it up to control things and consolidate things further, and that's sure enough happened.
[02:11:05.693 --> 02:11:06.734]  I totally agree with you.
[02:11:06.774 --> 02:11:07.795]  I mean, that's an absolute...
[02:11:08.215 --> 02:11:15.838]  I think it's important that people understand that this happened all the way back in 1921, and that's when the process started.
[02:11:15.898 --> 02:11:19.380]  It didn't just happen, you know, like I said, in the last few decades.
[02:11:19.440 --> 02:11:25.462]  And that's really the point that I wanted to make, so that people understand how far this has gone back.
[02:11:26.003 --> 02:11:29.024]  Well, what you ought to do, and I'm serious because you are very knowledgeable,
[02:11:29.771 --> 02:11:39.053]  Is write up a two-page article with the basic facts, with a good headline, email it to Aaron at Infowars.com, email it to Watson at PrisonPlanet.com.
[02:11:39.373 --> 02:11:40.453]  We need more content.
[02:11:40.513 --> 02:11:41.733]  We need more information.
[02:11:42.093 --> 02:11:50.395]  We'll scan your article, and if it's good material, and frankly, the stuff you send us is good material, but A, most of it we get, we don't have permission to post.
[02:11:51.335 --> 02:11:52.295]  By you, we just get it.
[02:11:52.535 --> 02:11:57.656]  B, you know, you haven't slapped a headline on it, so we don't want to do that for you because it's your words.
[02:11:58.016 --> 02:11:58.936]  Let me just tell you something.
[02:12:00.158 --> 02:12:03.542]  I go to dig every day, and we're going to set up our own message boards and stuff.
[02:12:03.622 --> 02:12:04.643]  I just want something really good.
[02:12:04.663 --> 02:12:06.225]  I don't want to just launch some junk.
[02:12:06.485 --> 02:12:10.009]  So people email us, tell us what you think we ought to set up, what we ought to have.
[02:12:11.671 --> 02:12:12.732]  We're doing all that right now.
[02:12:13.894 --> 02:12:30.403]  But to make a long story short, I go to, because we link to Digg, and then people go and post on the message board and try to vote our stories up, but we're banned from Digg being in the top, so it doesn't matter if we get 5,000, we're not allowed to be in the top, it's censored, but still, we don't care, we're infesting Digg, people are going to find the material.
