[00:00:00.009 --> 00:00:01.789]  Thank you for listening to GCA.
[02:51:30.419 --> 02:51:33.861]  Free yourself from expensive cable and satellite fees.
[02:51:34.022 --> 02:51:35.903]  Control what you want to see.
[02:51:35.983 --> 02:51:42.749]  GCN listeners, now you can transform your living room's HDTV into a virtual war room command center with ZV.
[02:51:43.369 --> 02:51:49.474]  ZV turns your computer into your own HD channel that broadcasts throughout your home to all of your HD TVs.
[02:51:49.675 --> 02:51:54.999]  Enjoy any internet audio feed, podcast, video feed, radar, free movies and TV shows.
[02:51:55.880 --> 02:52:02.465]  Anything that can be viewed on your PC can be controlled from your couch with a ZV remote with its built-in mouse touchpad.
[02:52:02.585 --> 02:52:10.412]  Plus the easy on-screen ZV menu provides a gateway to premium content such as online movies, TV shows, news and more in HD.
[02:52:10.692 --> 02:52:11.212]  We're good.
[02:52:30.340 --> 02:52:36.748]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[02:52:37.108 --> 02:52:39.090]  The enemy struck America on September 11th.
[02:52:39.751 --> 02:52:40.792]  But who is the enemy?
[02:52:41.313 --> 02:52:41.853]  Bin Laden.
[02:52:42.094 --> 02:52:42.935]  This is his MO.
[02:52:42.975 --> 02:52:44.456]  We have to look to the Middle East.
[02:52:44.496 --> 02:52:44.957]  We have to look to...
[02:52:44.977 --> 02:52:45.177]  Some U.S.
[02:52:45.197 --> 02:52:48.660]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[02:53:00.431 --> 02:53:03.934]  I'm aware that some Israeli citizens have been detained.
[02:53:04.315 --> 02:53:14.183]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[02:53:14.203 --> 02:53:15.184]  Fabled enemies.
[02:53:15.645 --> 02:53:22.991]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[02:53:23.171 --> 02:53:26.814]  Either you are with us or you are with the terrorists.
[02:53:30.931 --> 02:53:36.799]  If a low credit score is keeping you from getting the car, home, business loan or credit cards you deserve, this message is for you.
[02:53:37.220 --> 02:53:41.786]  RadioCreditSecrets.com can show you how to raise your credit score up to 249 points in the next 90 days or less.
[02:53:45.811 --> 02:53:46.151]  I don't know.
[02:54:02.199 --> 02:54:06.122]  This message has been brought to you by Radio Credit Secrets dot com.
[02:54:31.399 --> 02:54:39.003]  It's an inside job, folks.
[02:54:39.124 --> 02:54:45.607]  Final segment with Mark Stavnoski.
[02:54:55.473 --> 02:55:00.694]  Marker, do you have a personal website or is there a site you want to plug or something you want to say here at the end?
[02:55:02.215 --> 02:55:15.158]  Well, again, I would just, you know, for those of us in Canada, I would just like again to bring up the march that the 9-11 True Society of Vancouver has orchestrated.
[02:55:16.398 --> 02:55:17.358]  It's already began.
[02:55:17.418 --> 02:55:24.060]  It's going to culminate in Ottawa on September 15th, I believe, today there in Sudbury and Toronto, Ontario.
[02:55:24.952 --> 02:55:29.595]  These 9-11 tutors have been traveling across the country to get petitions.
[02:55:30.035 --> 02:55:35.179]  They're going to march from Montreal to Ottawa and arrive on September 11th.
[02:55:36.992 --> 02:55:52.676]  With all the signatures that they get nationwide on this petition, and this is for a new 9-11 investigation in Canada, because what people forget is 9-11 was, it was obviously portrayed as an attack against America, but it was a worldwide crime.
[02:55:52.736 --> 02:55:57.557]  There were citizens, I believe, from over 80 countries in the World Trade Center.
[02:55:57.677 --> 02:56:03.023]  And it totally freaks out the global controllers when we're out marching, when we don't shut up, when we don't stop.
[02:56:03.243 --> 02:56:04.424]  They tell us we don't have power.
[02:56:04.504 --> 02:56:05.445]  We know that's a lie.
[02:56:06.226 --> 02:56:08.849]  An enemy will always tell you you don't have a chance to win, folks.
[02:56:08.869 --> 02:56:10.190]  That's psychological warfare.
[02:56:10.250 --> 02:56:11.952]  We don't just have a chance.
[02:56:12.012 --> 02:56:12.893]  We are going to win.
[02:56:12.913 --> 02:56:13.794]  We are never going to stop.
[02:56:14.295 --> 02:56:15.296]  A couple final calls.
[02:56:15.416 --> 02:56:16.457]  Victor in Canada.
[02:56:16.737 --> 02:56:18.879]  Speaking of Canada, you're on the air with Mark Stepnowski.
[02:56:18.900 --> 02:56:19.180]  Go ahead.
[02:56:20.157 --> 02:56:20.838]  Hi there.
[02:56:21.038 --> 02:56:23.580]  Thanks, Mark, for everything you're doing, including plugging the March on Ottawa.
[02:56:23.600 --> 02:56:24.601]  I'm actually from Ottawa.
[02:56:25.401 --> 02:56:26.923]  I have a comment and a question.
[02:56:27.043 --> 02:56:31.006]  First, my question is, what advice do you have for closet celebrity truthers?
[02:56:33.068 --> 02:56:39.473]  I would tell them just to, instead of having a fear of the unknown, just come forward and speak the truth.
[02:56:39.533 --> 02:56:40.534]  Speak from your heart.
[02:56:41.391 --> 02:56:49.681]  You know, be honest with people, have facts to back up your point of view, and I really think that being the case, there's nothing for people to fear.
[02:56:49.861 --> 02:56:52.945]  Hey, think about Charlie Sheen, especially with his baggage.
[02:56:53.025 --> 02:56:54.267]  He was the first.
[02:56:54.908 --> 02:56:55.909]  Think about what he did.
[02:56:57.122 --> 02:56:59.444]  People appreciate someone who's willing to come forward.
[02:56:59.484 --> 02:57:05.427]  I think as time goes on, people are realizing how sanitized and censored mainstream media is.
[02:57:05.928 --> 02:57:17.015]  And whether somebody is a 9-11 truther who tells the truth, or a politician who's willing to give up the talking points and just, you know, speak truthfully, people appreciate that because it's so rare.
[02:57:17.375 --> 02:57:18.076]  Absolutely.
[02:57:18.836 --> 02:57:25.619]  Absolutely, that's what matters in this world is conviction and honor and duty and goodness and Mark Sipnoski and many others have got it.
[02:57:25.719 --> 02:57:30.741]  I just love to be part of this brotherhood, this sisterhood of man, of people that stand up and have courage.
[02:57:31.021 --> 02:57:33.722]  Real fast, Norman in North Carolina, you've got about 30 seconds.
[02:57:35.783 --> 02:57:40.025]  Hello gentlemen, thank you for taking my call and thank you for keeping the truth sacred.
[02:57:40.825 --> 02:57:45.147]  I believe that if the truth can be told so as to be understood that it will be believed
[02:57:45.732 --> 02:57:48.056]  And that's what you do so well, Alex, and I'm proud.
[02:57:48.376 --> 02:57:52.482]  I'm a proud InfoWarrior, working to wake up anyone with a pulse and an attention span.
[02:57:52.983 --> 02:57:57.089]  And it just, it gives me a true sense of purpose and a real feeling of patriotism.
[02:57:57.788 --> 02:58:05.551]  And I intuit that we have critical mass, and given that the news report is laughable, it's just a matter of time before we have resolutions.
[02:58:05.851 --> 02:58:07.552]  God bless you guys, and thank you so much.
[02:58:07.852 --> 02:58:08.312]  Absolutely.
[02:58:08.332 --> 02:58:09.573]  Let me be clear here at the end.
[02:58:09.673 --> 02:58:11.494]  We reached critical mass years ago.
[02:58:11.514 --> 02:58:17.736]  In every major poll, the majority believe that there's a cover-up, a huge portion of that majority believe inside job.
[02:58:18.036 --> 02:58:22.178]  And those are in polls when they're calling somebody up, and folks usually don't answer controversially.
[02:58:22.825 --> 02:58:23.986]  We've reached critical mass.
[02:58:24.286 --> 02:58:27.369]  People just don't realize that the majority of us know the truth and we're scared.
[02:58:27.669 --> 02:58:33.254]  People like Mark Stepnowski stepping up to the plate, that lets people see the courage and lets them know that we're not alone.
[02:58:33.554 --> 02:58:34.735]  In fact, that we're the majority.
[02:58:35.156 --> 02:58:37.918]  And so now we've just got to take back control of our government.
[02:58:38.198 --> 02:58:39.119]  We are the majority.
[02:58:39.439 --> 02:58:41.902]  Mark Stepnowski, thank you so much for spending time with us.
[02:58:41.922 --> 02:58:45.645]  I want to say bye to you on the show ends here in about 30 seconds, but anything else you want to add?
[02:58:46.773 --> 02:58:49.135]  Well, I just want to say it's been nice being with you.
[02:58:49.215 --> 02:58:51.097]  Thanks again for the opportunity to come on.
[02:58:51.157 --> 02:58:51.937]  I appreciate it.
[02:58:52.498 --> 02:58:53.238]  I appreciate you.
[02:58:53.258 --> 02:58:54.739]  Stay right there, my friend, for 20 seconds.
[02:58:55.000 --> 02:58:58.042]  I'm going to be right there at the end to talk to you for a second, say bye to you personally.
[02:58:58.663 --> 02:59:02.045]  Retransmission on the internet at InfoWars.com starts now.
[02:59:02.065 --> 02:59:08.170]  You've got to go to those audio streams if you missed any of it for the MNFM stations back this Sunday live, 4 to 6 p.m.
[02:59:08.210 --> 02:59:08.971]  and back on Monday.
[02:59:09.191 --> 02:59:09.892]  InfoWars.com.
[02:59:11.813 --> 02:59:13.014]  You are listening to GCN.
[02:59:15.450 --> 02:59:17.139]  Visit GCNlive.com today!
[02:59:20.686 --> 02:59:23.248]  Terror Storm, a history of government-sponsored terror.
[02:59:23.548 --> 02:59:24.829]  Loose Change, Final Cut.
[02:59:25.109 --> 02:59:27.090]  Endgame, Blueprint for Global Enslavement.
[02:59:27.270 --> 02:59:29.011]  The True Story of the Bilderberg Group.
[02:59:29.171 --> 02:59:30.432]  The Late Great USA.
[02:59:30.652 --> 02:59:32.073]  America, Freedom to Fascism.
[02:59:32.433 --> 02:59:39.258]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[02:59:39.458 --> 02:59:43.380]  When you visit prisonplanet.com, you can connect to our amazing online store.
[02:59:43.520 --> 02:59:48.183]  Whether you're looking for survival and wellness products like Berkey water filters, or you would like a book,
[02:59:48.403 --> 02:59:52.887]  On the history of the Federal Reserve, we've got the most well-researched and documented titles.
[02:59:53.127 --> 02:59:55.289]  All available at PrisonPlanet.com.
[02:59:55.509 --> 03:00:01.033]  Or if you'd like, you can give the info or store a call at 888-253-3139.
[03:00:01.354 --> 03:00:07.058]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[03:00:07.398 --> 03:00:14.144]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now.
[03:00:14.404 --> 03:00:15.945]  Alex Jones on the GCN Radio Network.
[03:00:35.709 --> 03:00:36.350]  Big Brother.
[03:00:37.031 --> 03:00:38.052]  Mainstream media.
[03:00:38.793 --> 03:00:39.935]  Government cover-ups.
[03:00:40.535 --> 03:00:41.376]  You want answers?
[03:00:42.137 --> 03:00:43.019]  Well, so does he.
[03:00:43.039 --> 03:00:47.284]  He's Alex Jones on the GCN Radio Network.
[03:00:47.885 --> 03:00:51.990]  And now, live from Austin, Texas, Alex Jones.
[03:00:56.312 --> 03:01:02.574]  We've got more of that interview I did with Tom Morello coming up later in the broadcast today for Rage Against the Machine.
[03:01:02.594 --> 03:01:06.595]  We bumped into it at the DMC last week, just now airing that here.
[03:01:06.615 --> 03:01:10.077]  But for the next 30 minutes, Henry Rollins.
[03:01:10.137 --> 03:01:12.517]  I guess it's Rockstar Day here on the show.
[03:01:13.338 --> 03:01:18.639]  Henry Rollins, I remember being a little teenager listening to Black Flag and stuff like that.
[03:01:18.659 --> 03:01:20.260]  Of course, he has the Henry Rollins Band.
[03:01:21.019 --> 03:01:22.280]  And a lot of you know who he is.
[03:01:22.320 --> 03:01:26.262]  Some of you out there with a very diverse audience might not know who he is.
[03:01:26.282 --> 03:01:32.346]  But we'll get out some of the websites and tell you about his tour that is going around the country and the world right now.
[03:01:32.406 --> 03:01:36.809]  But I wanted to get his take on web censorship, how they're trying to censor and shut down the web.
