[00:00:00.009 --> 00:00:01.070]  Okay, ladies and gentlemen.
[02:04:06.311 --> 02:04:07.972]  Go up to efoodsdirect.com right now.
[02:04:08.032 --> 02:04:09.833]  Look, hey, you don't even have to can your own food anymore.
[02:04:09.853 --> 02:04:10.574]  We canned it for you.
[02:04:10.674 --> 02:04:12.156]  That's 1-800-409-5633, eatfoodsdirect.com, 1-800-409-5633, call us now!
[02:04:19.082 --> 02:04:22.024]  Have you ever thought about what's in your shampoo, soap, or detergent?
[02:04:22.185 --> 02:04:27.429]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[02:04:27.709 --> 02:04:33.053]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[02:04:33.434 --> 02:04:34.555]  Hi, this is Alex Jones.
[02:04:34.895 --> 02:04:43.802]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[02:04:44.222 --> 02:04:45.844]  Now compare a Calben Pure Soap.
[02:04:46.064 --> 02:04:50.229]  All natural, earth friendly, no harsh chemicals, no animal testing.
[02:04:50.269 --> 02:04:54.894]  They're safe and you save 85% of the money you're spending on cleaning products now.
[02:04:55.295 --> 02:04:57.638]  Start saving over $1,000 a year for your family of four.
[02:04:59.119 --> 02:04:59.880]  Keep it natural.
[02:05:00.200 --> 02:05:08.387]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[02:05:08.607 --> 02:05:12.751]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[02:05:12.771 --> 02:05:13.832]  Call 1-800-340-7091 for all your cleaning needs.
[02:05:19.838 --> 02:05:25.422]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[02:05:55.543 --> 02:05:56.543]  Okay, welcome back.
[02:05:56.603 --> 02:06:00.365]  Your calls, all 20 of them, are coming up.
[02:06:00.465 --> 02:06:02.286]  How many phone calls can this system take?
[02:06:05.667 --> 02:06:09.528]  Because you were telling me that you could open it up for, what, 30 seconds and get, like, 20 calls?
[02:06:10.309 --> 02:06:11.749]  That's how many come through the phone system?
[02:06:11.789 --> 02:06:12.570]  Goodness gracious.
[02:06:13.230 --> 02:06:15.371]  A lot of folks out there listening.
[02:06:17.472 --> 02:06:19.753]  I don't know, maybe I should just go to your phone calls right now.
[02:06:19.854 --> 02:06:21.655]  Let me just run through the news.
[02:06:22.075 --> 02:06:23.396]  I said I'd do that, so let me just do that.
[02:06:28.019 --> 02:06:42.388]  So, Dick Cheney, after basically arming and ordering through Israel the sneak attack of a historically Russian enclave, South Ossetia and Abkhazia, on 888, forty days ago or so,
[02:06:45.509 --> 02:07:02.201]  Travels around to Poland, to Ukraine, to the Czech Republic, to a bunch of other countries ringing Russia, former possessions of the brutal Soviet regime, and the governments all start basically falling apart, or on the edge of falling apart.
[02:07:03.042 --> 02:07:06.064]  So this is not looking too good for the United States.
[02:07:06.244 --> 02:07:10.908]  This is what hubris and arrogance and really a kind of self-destructive attitude is generating
[02:07:12.529 --> 02:07:15.512]  Ukraine's ruling pro-western coalition has officially collapsed.
[02:07:15.912 --> 02:07:19.215]  The Speaker of the Ukraine Parliament says, we read part of that,
[02:07:20.552 --> 02:07:24.355]  I officially declare the coalition of democratic forces in Ukraine's parliament dissolved.
[02:07:25.155 --> 02:07:40.845]  Parliament speaker announced on Tuesday, this has been long expected, but for me it's extremely sad, he told the chamber, I would not call this a political apocalypse, though it is true that it is another change of democracy, I hope we can overcome it.
[02:07:41.306 --> 02:07:49.191]  Now remember, Yushchenko's government, the most powerful guy in parliament, the president
[02:07:51.218 --> 02:07:56.119]  has wanted to kick the Russians out of their lease of Ukrainian Black Sea port.
[02:07:56.679 --> 02:08:11.703]  They've wanted to saber-rattle, move weapons systems into Ukraine, which they've done, and it's to menace Russia, and it is causing a major rift, because the Ukraine's trading with Russia more than anybody.
[02:08:12.844 --> 02:08:27.677]  And then after that they're trading with the European Union in Europe, and so they don't want this to happen, and so by the United States pressing this, or the people that run the United States, it's endangering our relationship with all of Eastern Europe.
[02:08:28.638 --> 02:08:39.507]  But hey, our currency's going bankrupt, all the big banks are going under basically, we're on the tab to pay for it all, and I guess this is people's idea of prosperity and happiness.
[02:08:40.353 --> 02:08:48.556]  Meanwhile our government gave Pakistan nukes and they've had Pakistani forces now are shooting at US helicopters.
[02:08:48.636 --> 02:08:49.857]  Pakistan's got nukes.
[02:08:50.217 --> 02:08:51.818]  There's fighting going on everywhere.
[02:08:53.498 --> 02:08:58.980]  The attacks on our troops are now killing more people in Afghanistan than they are in Iraq.
[02:08:59.221 --> 02:09:01.662]  The killing has really expanded there.
[02:09:02.922 --> 02:09:07.344]  All of this is just swarming around and
[02:09:08.220 --> 02:09:13.507]  You can say what you want about it, but out of this global crisis we see the push for world government.
[02:09:13.608 --> 02:09:15.630]  Oh, we had a World War I, we need a League of Nations.
[02:09:16.011 --> 02:09:17.633]  Oh, we had a World War II, we need a UN.
[02:09:17.833 --> 02:09:18.855]  Oh, all this conflict.
[02:09:19.255 --> 02:09:25.084]  We need a global government to stop all of it, and that's what's being called for by all the saviors out there.
[02:09:26.479 --> 02:09:35.905]  The people criticizing the neocons and the neolibs, their bosses, are, oh, this is just terrible, we need to have a more responsive international order to the people and help the poor.
[02:09:36.305 --> 02:09:39.907]  But that's just the more kindler, gentler New World Order stratagem.
[02:09:42.329 --> 02:09:48.792]  In other news, New York Sun has this report that I'm showing folks on PrisonPlanet.tv.
[02:09:51.363 --> 02:09:54.444]  Israel waging secret war with Iran.
[02:09:54.524 --> 02:10:00.365]  New book details mishaps that have likely delayed Iran's efforts to go nuclear.
[02:10:02.406 --> 02:10:12.808]  Israel and America are intensifying a clandestine war on Iran that has run hot and cold since the Islamic Revolution in 1979, but has grown more urgent as Iran races to obtain an atomic bomb.
[02:10:14.892 --> 02:10:16.153]  They're not racing to do that.
[02:10:16.293 --> 02:10:17.613]  All the inspectors have been there.
[02:10:17.654 --> 02:10:18.874]  They gave in to world government.
[02:10:18.894 --> 02:10:19.915]  They gave in to tyranny.
[02:10:19.975 --> 02:10:20.815]  That's the good cop.
[02:10:21.175 --> 02:10:23.577]  The bad cop is actually being bombarded from the air.
[02:10:23.937 --> 02:10:24.997]  See how that's a false choice?
[02:10:25.518 --> 02:10:33.862]  Pakistan can have nukes, China, India, South Africa, Israel, France, England, Russia, Ukraine.
[02:10:35.363 --> 02:10:36.644]  Everybody else can have weapons.
[02:10:38.745 --> 02:10:43.828]  But the United States is mad that Iran isn't
[02:10:44.614 --> 02:10:45.355]  Getting one, really.
[02:10:45.475 --> 02:10:52.260]  It's just the public can't find Iran on a map, but they think that it needs to be attacked.
[02:10:56.064 --> 02:10:57.245]  Now see how that headline
[02:10:58.570 --> 02:11:00.432]  says, races to obtain an atomic bomb.
[02:11:00.832 --> 02:11:13.342]  But the New York Sun knows that's a lie, so then they, in the next paragraph, knowing that most people won't literally understand what that meant, that by the next paragraph they say, that's the claim.
[02:11:13.923 --> 02:11:21.248]  But it's sold as a fact, kind of like scores of AP and Reuters headlines, and New York Post headlines, and CNN and Fox headlines.
[02:11:21.769 --> 02:11:23.450]  Nuclear Iran tonight!
[02:11:23.490 --> 02:11:26.132]  Dun-da-dun-dun, dun-da-dun-dun, coming up!
[02:11:26.413 --> 02:11:27.514]  But first, gas prices.
[02:11:28.362 --> 02:11:34.444]  And then they go, nuclear Iran, as they get more centrifuges and move forward towards the Bashir Peaceful Reactor.
[02:11:34.944 --> 02:11:38.665]  But the headline is, Iran close to being nuclear.
[02:11:38.985 --> 02:11:41.266]  People, they're close to having the nuke!
[02:11:41.586 --> 02:11:42.886]  Just like Saddam had the nuke!
[02:11:43.246 --> 02:11:44.346]  Get them, get them, get them!
[02:11:44.386 --> 02:11:45.847]  Saddam's got nukes too, get him!
[02:11:46.667 --> 02:11:49.808]  They've polled neocon followers and they still think there were nukes in Iraq.
[02:11:53.009 --> 02:11:56.530]  It says, this is the central claim in a new book, The Secret War with Iran.
[02:11:57.686 --> 02:11:59.147]  Oh, it's a claim!
[02:11:59.807 --> 02:12:01.327]  They're not trying to get a bomb.
[02:12:02.407 --> 02:12:07.849]  By an Israeli journalist, Ronnie Bergman.
[02:12:07.869 --> 02:12:08.589]  I want to get him on.
[02:12:08.989 --> 02:12:11.850]  Before I forget that, I want to get Ronnie Bergman on.
[02:12:12.490 --> 02:12:13.351]  Just give this to Trey.
[02:12:14.091 --> 02:12:21.273]  Who also deals a series of mishaps during the past two and a half years that have likely delayed Iran's efforts to go nuclear.
[02:12:25.403 --> 02:12:27.364]  Oh, and it's mishaps.
[02:12:27.385 --> 02:12:30.948]  Well, this is no new news from this Israeli or from the New York Sun.
[02:12:31.468 --> 02:12:40.656]  Cy Hirsch reported four years ago, about a year after we reported from our sources, and others reported, that U.S.
[02:12:40.696 --> 02:12:48.744]  Special Forces backing three separate Sunni groups, one of them headed up by the number three in Al-Qaeda, for the U.S.
[02:12:50.646 --> 02:13:14.569]  have been running pinprick terror attacks police station schools uh... nuclear scientists killing them black ops and and and and now bombing mosque blowing up dams bombing dams and then bush comes out middle last year i guess over a year ago now man times flying on the white house dot gov and says yes it's true
[02:13:16.061 --> 02:13:20.566]  We have special forces working with and enlisted the groups in Iran.
[02:13:20.606 --> 02:13:21.908]  And the groups were all Al Qaeda.
[02:13:22.168 --> 02:13:22.789]  So the U.S.
[02:13:22.809 --> 02:13:25.212]  has Al Qaeda attacking Iran, Houthi.
[02:13:26.553 --> 02:13:33.060]  And then John McCain runs around saying Iran is running Al Qaeda attacks in Iraq and is Sunni.
[02:13:34.110 --> 02:13:35.571]  Look, they're not Sunni, folks.
[02:13:35.671 --> 02:13:36.191]  I don't care.
[02:13:36.492 --> 02:13:42.476]  What you want to believe is mindless little fake conservatives that suck your thumbs and think open borders and gun control is conservatives.
[02:13:42.676 --> 02:13:43.636]  You're not conservatives.
[02:13:44.357 --> 02:13:50.841]  You are little pathetic toadies of the party, just like the Democrats who support Nancy Pelosi and her warmongering.
[02:13:54.143 --> 02:13:55.004]  This is unbelievable.
[02:13:55.244 --> 02:13:56.245]  Absolutely unbelievable.
[02:14:01.172 --> 02:14:03.993]  You guys shut that door, it popped up, and that door's driving me crazy.
[02:14:04.353 --> 02:14:04.653]  Thanks.
[02:14:06.553 --> 02:14:17.535]  While President Bush and other Western leaders have warned of the seriousness of the threat that Iran may obtain a nuclear weapon, Little reporting his service in the West and the efforts in the shadows to stop the Iranians.
[02:14:17.915 --> 02:14:27.297]  So first they say they're trying to get a bomb, then, oh, it's just a claim, and then, oh, little has been said about how we're trying to stop them from getting the bomb.
[02:14:27.517 --> 02:14:29.718]  So now they reintroduce it as fact again.
[02:14:29.818 --> 02:14:30.838]  Very deceptive writing.
[02:14:32.213 --> 02:14:42.340]  While President Bush and other Western leaders have warned of the seriousness of the threat that Iran may obtain a nuclear weapon, little reporting has surfaced in the West on the efforts in the shadows to stop the Iranians.
[02:14:42.440 --> 02:14:53.948]  Mr. Bergman himself has had to skate a close line in this area, in part because of military censorship in Israel, where some of the reporting has been withheld from publication pending rulings by the Israeli Supreme Court.
[02:14:54.408 --> 02:15:00.233]  Nonetheless, the Israeli journalist compiles a picture that suggests that the West has some
[02:15:01.013 --> 02:15:04.015]  has had some success in the war to stop the Iranian bomb.
[02:15:04.055 --> 02:15:16.124]  Mr. Bergman reports, for example, that in January 2007, Iran determined that some of its nuclear suppliers in Europe were fronts for Western intelligence agencies, specifically Britain's MI6.
[02:15:18.105 --> 02:15:25.591]  And Mr. Bergman writes that between February 06 and March 07, at least three planes belonging to the Revolutionary Guards crashed in Iran.
[02:15:25.711 --> 02:15:28.233]  And Iran keeps saying, our planes are blowing up.
[02:15:29.810 --> 02:15:33.472]  While carrying personnel connected with the security of the nuclear project.
[02:15:35.534 --> 02:15:37.015]  Now again, it's not a nuclear program.
[02:15:37.375 --> 02:15:39.316]  That's admitted, but they're still killing these people.
[02:15:39.376 --> 02:15:41.798]  And that's... And Iran can't fight back in any way.
[02:15:42.138 --> 02:15:46.161]  In fact, they've said if Iran even shoots one bullet back if they're attacked by the U.S.
[02:15:46.201 --> 02:15:48.382]  and Israel, that will be called terrorism.
[02:15:49.243 --> 02:15:53.226]  And they will go on the news and say, Al Qaeda, for no reason, has snuck attack us.
[02:15:53.888 --> 02:15:56.809]  It won't matter if we've just seen three days of bombings of Iran.
[02:15:57.309 --> 02:15:59.350]  They will just call Iran firing back.
[02:15:59.950 --> 02:16:01.051]  Al-Qaeda is striking.
[02:16:01.811 --> 02:16:04.112]  And they will say, like they did with Georgia.
[02:16:04.432 --> 02:16:04.953]  I'm not kidding.
