[00:00:00.049 --> 00:00:01.229]  Welcome ladies and gentlemen, welcome.
[01:56:39.527 --> 01:56:40.308]  They are scared.
[01:56:40.688 --> 01:56:40.908]  Yeah.
[01:56:40.948 --> 01:56:42.349]  I mean, it's huge.
[01:56:42.449 --> 01:56:44.631]  It dwarfs anything I've ever been involved in.
[01:56:45.271 --> 01:56:45.831]  No doubt.
[01:56:47.132 --> 01:56:48.853]  It's published in papers all over the world.
[01:56:49.774 --> 01:56:54.737]  This is the biggest single strike for 9-11 truth against the lie we've ever seen.
[01:56:59.022 --> 01:57:01.625]  Hello, this is Alex Jones with some important questions.
[01:57:02.025 --> 01:57:07.010]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:57:07.370 --> 01:57:09.112]  My answer would be all I can get.
[01:57:09.412 --> 01:57:14.237]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[01:57:14.417 --> 01:57:15.338]  How much do you want?
[01:57:15.578 --> 01:57:16.338]  When do you want it?
[01:57:16.718 --> 01:57:18.299]  Now or after the battle starts?
[01:57:18.599 --> 01:57:19.419]  When will you need it?
[01:57:19.659 --> 01:57:21.740]  Can you buy it without proper identification?
[01:57:21.860 --> 01:57:22.980]  Will there be any food?
[01:57:23.201 --> 01:57:24.541]  Will it make your children sick?
[01:57:24.741 --> 01:57:29.803]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[01:57:30.003 --> 01:57:33.124]  You wipe out all these problems if you have a good food supply.
[01:57:33.584 --> 01:57:37.088]  Food is your ammunition to fight for your freedom and your life.
[01:57:37.408 --> 01:57:38.389]  How much will you need?
[01:57:38.629 --> 01:57:39.250]  We don't know.
[01:57:39.530 --> 01:57:40.451]  How much do you want?
[01:57:40.651 --> 01:57:41.372]  All you can get.
[01:57:41.572 --> 01:57:42.413]  I'm Alex Jones.
[01:57:42.673 --> 01:57:45.416]  I want all of you good guys to live to fight another day.
[01:57:45.716 --> 01:57:47.478]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[01:57:47.498 --> 01:57:48.419]  Again, that number 1-800-409-5633.
[01:57:58.024 --> 01:58:03.191]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[01:58:03.331 --> 01:58:07.697]  Will you continue to be their profit center, buying their processed food that makes you sick?
[01:58:07.857 --> 01:58:09.720]  Go to the doctor and buy their drugs?
[01:58:10.140 --> 01:58:11.502]  You don't have to cooperate.
[01:58:11.762 --> 01:58:12.784]  There is a solution.
[01:58:13.024 --> 01:58:21.028]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[01:58:21.449 --> 01:58:28.532]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[01:58:28.893 --> 01:58:34.596]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health ranger.
[01:58:34.956 --> 01:58:40.519]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[01:58:40.939 --> 01:58:44.761]  Try all of their truly honest products that will keep you alive and healthy.
[01:58:45.101 --> 01:58:51.264]  Go to enerfood.com or give them a call right now.
[01:58:51.284 --> 01:58:51.324]  866-762-9238.
[01:58:52.564 --> 01:58:55.866]  Click on their banner at infowars.com to see all the available discounts.
[01:58:58.285 --> 01:59:02.426]  A guy named MZ in Santa Cruz, California, who owns one of our affiliate radio stations.
[01:59:02.646 --> 01:59:05.067]  He got laid off from a job he loved many years ago.
[01:59:05.207 --> 01:59:14.750]  He was devastated, but it taught him a lesson very early in life that even when you do a great job for someone and your boss tells you how much he appreciates you every day, there is no job security.
[01:59:14.890 --> 01:59:20.771]  You are always in danger of losing your job unless you take charge of your livelihood and own your own business.
[01:59:21.091 --> 01:59:23.592]  Since you are the boss, nobody can fire you.
[01:59:23.792 --> 01:59:26.173]  So MZ has been his own boss for over 37 years.
[01:59:27.193 --> 01:59:27.453]  I think so.
[01:59:50.001 --> 01:59:51.324]  OwnMyself.com.
[01:59:51.484 --> 01:59:52.546]  It takes very little money.
[01:59:52.666 --> 01:59:55.070]  And if you're interested, MZ wants to talk to you.
[01:59:55.270 --> 01:59:57.735]  Remember, Chocolate.OwnMyself.com.
[02:00:03.661 --> 02:00:07.822]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:00:08.482 --> 02:00:09.302]  You want answers?
[02:00:10.062 --> 02:00:10.923]  Well, so does he.
[02:00:11.623 --> 02:00:15.264]  He's Alex Jones on the GCN Radio Network.
[02:00:15.804 --> 02:00:21.205]  And now, live from Austin, Texas, Alex Jones.
[02:00:22.145 --> 02:00:27.106]  Charlie Sheen is going to be with us to the bottom of this hour.
[02:00:28.346 --> 02:00:31.267]  And I want to be clear, when I talk about his courage and how much I admire him,
[02:00:32.790 --> 02:00:36.454]  You have to realize the sacrifices he's made to go public and expose this.
[02:00:37.015 --> 02:00:38.717]  And it is the courage that I admire.
[02:00:38.737 --> 02:00:40.218]  Ah, here it is!
[02:00:40.379 --> 02:00:52.312]  FBI.gov forward slash wanted forward slash top ten forward slash fugitive forward slash Laudan HTM and he is not wanted for 9-11.
[02:00:55.123 --> 02:01:03.725]  Says Bin Laden is wanted in connection with the August 7th, 1998 bombings of the United States embassies in Dar es Salaam, Tanzania and Nairobi, Kenya.
[02:01:04.225 --> 02:01:05.885]  These attacks killed over 200 people.
[02:01:05.925 --> 02:01:09.406]  In addition, Bin Laden is a suspect in other terrorist attacks throughout the world.
[02:01:09.746 --> 02:01:13.987]  And at the top, it says he's wanted for attacking Americans abroad.
[02:01:14.447 --> 02:01:15.407]  So there it is!
[02:01:16.308 --> 02:01:18.488]  And the FBI's been questioned by the press.
[02:01:18.508 --> 02:01:19.188]  We have links to that.
[02:01:19.208 --> 02:01:21.969]  They say because we don't have evidence, he carried it out.
[02:01:23.235 --> 02:01:24.736]  Uh, Charlie Sheen is our guest.
[02:01:24.816 --> 02:01:26.997]  These are one of the questions that Charlie Sheen is asking.
[02:01:27.638 --> 02:01:29.478]  I'm actually looking at his page also, Alex.
[02:01:32.240 --> 02:01:37.983]  It would seem after, uh, yesterday's, uh, uh, audio tape that, uh, it would have jumped on here.
[02:01:38.223 --> 02:01:52.151]  But, um, I guess it didn't, uh, you know, not to mention that the prior 20 or 30 tapes, uh, didn't deliver him as a, um, you know, not a limited suspect as well.
[02:01:55.223 --> 02:01:58.705]  How do you argue this?
[02:01:58.946 --> 02:02:01.607]  Let's jump on the other side for one second, okay?
[02:02:04.489 --> 02:02:05.050]  Can we do that?
[02:02:06.250 --> 02:02:11.134]  Can we lobotomize ourselves for one second and jump on the other side?
[02:02:12.455 --> 02:02:13.455]  What's the argument for this?
[02:02:13.856 --> 02:02:19.199]  Just come at me in any intelligent, logical way.
[02:02:19.239 --> 02:02:24.002]  Well, we've already indicted him for other bombings, so we're not going to list killing 3,000 people on it.
[02:02:26.089 --> 02:02:28.011]  Okay, that's not going to hold up in a court of law.
[02:02:28.291 --> 02:02:29.312]  What's the next argument?
[02:02:29.812 --> 02:02:34.216]  We're so busy trying to protect you from Al Qaeda, we don't have time to indict him.
[02:02:36.658 --> 02:02:39.480]  And if you indict him, Al Qaeda's going to nuke a major city.
[02:02:39.700 --> 02:02:40.581]  That's what Cheney said.
[02:02:41.121 --> 02:02:41.501]  Got it.
[02:02:42.362 --> 02:02:42.782]  Got it.
[02:02:43.163 --> 02:02:43.443]  Wow.
[02:02:44.264 --> 02:02:46.425]  And eight years later, we can't find him.
[02:02:46.786 --> 02:02:48.087]  But all these CIA and
[02:02:49.164 --> 02:02:59.313]  Military people say every time they had him in their sights they were ordered to stand down and the CIA flew 8,000 Taliban and Al Qaeda out to safety into Pakistan.
[02:03:00.515 --> 02:03:07.261]  And the FBI translator, yeah the airlift of evil, and the FBI translator says that they work for the CIA.
[02:03:07.941 --> 02:03:08.662]  No, no, no.
[02:03:08.802 --> 02:03:09.463]  I said that.
[02:03:11.304 --> 02:03:11.925]  I said that.
[02:03:12.686 --> 02:03:13.787]  Those were my words, remember?
[02:03:15.094 --> 02:03:15.434]  That's right.
[02:03:15.454 --> 02:03:18.695]  How dare you point out what the FBI whistleblower said.
[02:03:18.715 --> 02:03:19.335]  Yeah, that's right.
[02:03:19.355 --> 02:03:20.815]  Yeah, the nerve of me.
[02:03:20.835 --> 02:03:22.355]  You said that to hurt the family.
[02:03:22.435 --> 02:03:22.915]  Of course.
[02:03:22.935 --> 02:03:23.716]  Of course.
[02:03:24.496 --> 02:03:25.656]  Crackpot actor, yes.
[02:03:27.156 --> 02:03:29.777]  Like Ronald Reagan, the crackpot actor.
[02:03:30.037 --> 02:03:30.257]  Yes.
[02:03:30.617 --> 02:03:31.817]  He was a B actor.
[02:03:31.857 --> 02:03:33.317]  You're an A plus actor.
[02:03:33.377 --> 02:03:34.178]  Well, thank you.
[02:03:34.258 --> 02:03:39.499]  I'm sure there's a decent performance somewhere in his resume, but I don't think it occurred in his presidency.
[02:03:39.539 --> 02:03:41.079]  But that's another issue.
[02:03:41.707 --> 02:03:44.989]  The TV show sponsored by General Electric where he was friends with a monkey.
[02:03:47.050 --> 02:03:47.651]  That's the one.
[02:03:47.691 --> 02:03:48.731]  I'm not bashing Reagan.
[02:03:48.771 --> 02:03:54.775]  It's just that by the yardstick, if you're an actor, you're a piece of crap according to the media, then Ronald Reagan's bad.
[02:03:55.295 --> 02:03:55.535]  Yeah.
[02:03:56.576 --> 02:03:56.756]  Yes.
[02:03:57.657 --> 02:03:59.838]  And he would have been a three-termer if not for the limits.
[02:04:01.219 --> 02:04:04.881]  And of course, Schwarzenegger, we're not allowed to have him as a governor if he was an actor.
[02:04:05.101 --> 02:04:05.301]  Yes.
[02:04:06.082 --> 02:04:06.202]  Yeah.
[02:04:08.052 --> 02:04:11.333]  Charlie, I want to go to some more calls here and then make our big announcement.
[02:04:11.393 --> 02:04:11.933]  Okay, okay.
[02:04:11.953 --> 02:04:14.574]  Should we just make the big announcement now or take calls and then make it?
[02:04:15.315 --> 02:04:17.395]  Um, let's take a couple calls and then let's make it, yeah.
[02:04:17.696 --> 02:04:21.317]  Okay, let's go ahead and talk to Randy in Pennsylvania.
[02:04:21.357 --> 02:04:22.897]  Randy, you're on the air with Charlie Sheen.
[02:04:23.838 --> 02:04:32.661]  Alex Jones, Charlie Sheen, you two minutemen, you two militiamen heroes rushing to the aid of your country and your families.
[02:04:32.741 --> 02:04:33.541]  God bless you.
[02:04:34.062 --> 02:04:34.522]  Thank you, sir.
[02:04:34.722 --> 02:04:35.022]  Thank you.
[02:04:35.598 --> 02:04:40.342]  Listen, Charlie, the forensics of 9-11 is undebatable.
[02:04:40.402 --> 02:04:42.103]  That's why they won't debate you.
[02:04:42.143 --> 02:04:44.004]  That's why they are delaying.
[02:04:44.065 --> 02:04:45.085]  They are planning.
[02:04:45.125 --> 02:04:46.286]  They are preparing.
[02:04:47.367 --> 02:04:49.128]  Well, just like you said, we're militiamen.
[02:04:49.168 --> 02:04:52.071]  He is actually Wolverine 1, and I am Wolverine 2.
[02:04:52.951 --> 02:04:53.492]  Amen.
[02:04:53.512 --> 02:04:54.492]  Amen.
[02:04:55.073 --> 02:05:04.280]  The time now, America, if you have any red blood in your body, is to continue the attack, because they are on the defensive.
[02:05:05.441 --> 02:05:06.021]  That's a good point.
[02:05:06.161 --> 02:05:07.301]  That's a very good point.
[02:05:07.441 --> 02:05:12.703]  Well, I just want to add that if we don't expose false flag terror, they're going to stage more.
[02:05:13.043 --> 02:05:15.503]  So we are in a race here with time.
[02:05:15.523 --> 02:05:15.964]  Go ahead.
[02:05:16.444 --> 02:05:18.904]  That's the only thing they know to do.
[02:05:19.004 --> 02:05:22.585]  So they are going to do more false flag terror.
[02:05:23.385 --> 02:05:24.506]  That's undebatable.
[02:05:24.926 --> 02:05:27.946]  Do you have a question or a statement for Charlie or something you'd like to ask him?
[02:05:28.026 --> 02:05:32.468]  I want to talk about the taxpayer march on Washington in particular real quick.
[02:05:32.668 --> 02:05:33.848]  It was a failure.
[02:05:34.048 --> 02:05:34.288]  Why?
[02:05:35.763 --> 02:05:48.846]  Wonderful to have a number of Americans stand up for their country and their rights, but the Rockefellers and the Republicans are the ones that will ultimately win if we're not careful.
[02:05:49.586 --> 02:05:51.067]  I'm going to go ahead and jump though.
