[00:00:00.141 --> 00:00:00.588]  I'm scumming.
[02:32:53.870 --> 02:33:01.992]  Because I was showing clips from the Obama deception, and one of my students, who just happens to be African American, was like, wait a second, I don't like this Obama guy now.
[02:33:02.012 --> 02:33:07.674]  And I was like, well, I don't want you not to like him, just because you hear me say something, and you see this video.
[02:33:07.974 --> 02:33:11.015]  I want you to take it, run with it, do the research on it.
[02:33:11.115 --> 02:33:11.695]  Absolutely.
[02:33:13.069 --> 02:33:13.510]  Beautiful.
[02:33:13.550 --> 02:33:29.106]  Well, I mean, just to add to that, a listener made the, and I think one of them's even made a Terror Storm bibliography, and I don't think we've gotten it up when he asked us to, but we had a listener do a Marshall Law 911.info, I think's the website.
[02:33:29.867 --> 02:33:30.768]  I think let's pull that up.
[02:33:30.808 --> 02:33:31.928]  MarshallLaw911.info.
[02:33:31.968 --> 02:33:33.129]  I think we still have that site.
[02:33:33.169 --> 02:33:34.070]  I've looked at it about a year.
[02:33:34.590 --> 02:33:36.371]  MarshallLaw911.info.
[02:33:36.751 --> 02:33:41.674]  A listener made a bibliography for that film with every document, every news clip, everything documented in the time code order.
[02:33:42.114 --> 02:33:49.078]  Then another listener, I think it's in Houston or it's in California, great guy, made the WhatIsTheEndGame.com.
[02:33:49.098 --> 02:33:51.440]  Well, we made the site, but he did the bibliography.
[02:33:52.602 --> 02:33:54.703]  Because it's enough for us to just make the film and get it out.
[02:33:54.723 --> 02:33:57.865]  We have all the proof, but we don't even have it categorized properly.
[02:33:57.885 --> 02:33:58.745]  Just stacks of it.
[02:33:58.885 --> 02:34:00.906]  Oh, there's billions of admitted pieces of evil.
[02:34:00.926 --> 02:34:01.527]  What do we cover?
[02:34:02.087 --> 02:34:09.191]  And then, you know, the listener just totally re-engineered or reverse-engineered the films and went through and got all of our evidence.
[02:34:09.731 --> 02:34:10.352]  Yeah, there it is.
[02:34:10.752 --> 02:34:12.593]  Marshalllaw911.info.
[02:34:12.733 --> 02:34:13.993]  Great job to that fella.
[02:34:14.294 --> 02:34:16.855]  Now show them what is... Put that on screen for folks real fast.
[02:34:17.215 --> 02:34:18.956]  And then there is whatistheendgame.com.
[02:34:18.976 --> 02:34:19.877]  We'll show that to you next.
[02:34:24.099 --> 02:34:32.023]  It's just all documented there, and so that's what makes these so powerful, is that our listeners can go re-engineer what we did and show that it's all documented.
[02:34:32.283 --> 02:34:35.084]  We didn't even make these bibliographies, our listeners did, so we salute them.
[02:34:35.364 --> 02:34:36.925]  Thank you so much, Steve, good to hear from you.
[02:34:37.145 --> 02:34:38.946]  Let me show you whatistheendgame.com.
[02:34:40.366 --> 02:34:42.007]  What is the endgame?
[02:34:42.447 --> 02:34:44.188]  Also, endgamethemovie.com.
[02:34:46.349 --> 02:34:48.610]  You can click on Endgame the Movie, that's fine right there.
[02:34:49.850 --> 02:34:50.951]  Either one of those will take you there.
[02:34:51.923 --> 02:34:52.663]  There you go.
[02:34:53.304 --> 02:34:54.905]  Now scroll down on screen for folks.
[02:34:54.925 --> 02:34:56.466]  I want to show them.
[02:34:56.766 --> 02:34:57.366]  Bibliography.
[02:34:57.406 --> 02:34:58.327]  Click on that bad boy.
[02:35:00.188 --> 02:35:02.289]  And it's a great crime just how busy we are.
[02:35:02.309 --> 02:35:03.029]  We forget all this.
[02:35:08.945 --> 02:35:21.967]  I believe from memory, I've even seen an email, other bibliographies have been done for other films, and I'm so overworked, I'm not complaining, and I have so few staff, and Aaron, everybody's so overworked, and Kurt Nemo, and the Watsons, that most of it falls to the cracks.
[02:35:21.987 --> 02:35:23.448]  That's why we need a couple more webmasters.
[02:35:23.768 --> 02:35:24.888]  Hence, the Money Bomb!
[02:35:25.008 --> 02:35:26.628]  Infowarsmoneybomb.com.
[02:35:26.888 --> 02:35:36.270]  I get up here with all these sponsors, and try to sell DVDs, and then end up spending half my time trying to fund things, and I'm not complaining, it's been successful, but I'd rather spend it all on topics, all on info.
[02:35:37.634 --> 02:35:39.836]  And so, InfoWarsMoneyBomb.com or 888-201-2244.
[02:35:42.778 --> 02:35:45.840]  So yeah, click on Introduction, and it'll give you the Introduction Bibliography.
[02:35:46.600 --> 02:35:48.121]  Then Roots of the New World Order.
[02:35:48.301 --> 02:35:49.362]  See, it's all documented.
[02:35:49.402 --> 02:35:49.722]  Go back.
[02:35:50.723 --> 02:35:53.625]  That's just Part 1, all bibliography, with a time code.
[02:35:54.545 --> 02:35:56.146]  I mean, go back to Bibliography.
[02:35:56.847 --> 02:36:02.050]  Now click on the second part, Roots of the New World Order, and then it gives you a full bibliography of that.
[02:36:02.070 --> 02:36:05.513]  And then it just goes right down through every section of the film.
[02:36:06.650 --> 02:36:08.234]  Because it's not enough that the listener did this.
[02:36:08.274 --> 02:36:11.943]  We then have to build it and stick it on the site and also do some double checking of ourselves.
[02:36:13.891 --> 02:36:15.511]  Just that's how you can volunteer.
[02:36:15.531 --> 02:36:21.813]  In fact, more important than even donating at InfoWarsMoneyBomb.com is to do stuff like this.
[02:36:21.853 --> 02:36:22.713]  This is priceless.
[02:36:23.373 --> 02:36:24.953]  Oh yeah, a listener did.
[02:36:25.213 --> 02:36:29.014]  Go to, we've just been so busy we haven't put it on the site ourselves.
[02:36:29.074 --> 02:36:33.355]  It's saved on Scribe, one of those research sites that has books and documents.
[02:36:34.055 --> 02:36:36.176]  We should get it on our own server because it's taken down.
[02:36:40.137 --> 02:36:41.558]  ObamaDeception.net, guys.
[02:36:41.578 --> 02:36:45.100]  I want to show PrisonPlanet.tv viewers, and everybody listening, this.
[02:36:45.700 --> 02:36:46.821]  TheObamaDeception.net.
[02:36:46.841 --> 02:36:49.042]  I want to show you the type of thing you can donate if you want.
[02:36:49.642 --> 02:36:54.365]  Somebody did a bibliography for this, but called it a Viewer's Guide.
[02:36:54.845 --> 02:36:55.886]  It's really a bibliography.
[02:36:56.306 --> 02:36:58.868]  I guess Viewer's Guide slash Bibliography would be the proper term.
[02:36:59.168 --> 02:36:59.948]  Click on About.
[02:37:00.949 --> 02:37:01.829]  Right there, please, Suj.
[02:37:03.210 --> 02:37:05.812]  And there you have the Obama Deception Guide at the top.
[02:37:06.892 --> 02:37:08.093]  See the link at the top right there, guys?
[02:37:10.233 --> 02:37:12.779]  Click it and get ready.
[02:37:14.062 --> 02:37:14.242]  Yep.
[02:37:14.583 --> 02:37:17.048]  Alright, close down the black box and show people the white box.
[02:37:18.288 --> 02:37:19.829]  Here's a bibliography made by a listener.
[02:37:19.969 --> 02:37:20.890]  Very detailed.
[02:37:21.491 --> 02:37:25.814]  Everything right there for you with mainstream media articles, government documents, and video clip statements.
[02:37:26.515 --> 02:37:31.379]  All documented in another fabulous bibliography that I can find no fault with.
[02:37:31.399 --> 02:37:34.041]  That's the only thing, I research these before we link to them and they're accurate.
[02:37:34.341 --> 02:37:38.825]  These are PhD level research papers people do for free for us.
[02:37:39.466 --> 02:37:40.386]  And I salute you again!
[02:37:41.223 --> 02:37:41.903]  You want to donate?
[02:37:41.984 --> 02:37:42.984]  Donate like that!
[02:37:43.264 --> 02:37:45.606]  Because my mission is to get the word out to people.
[02:37:45.886 --> 02:37:48.628]  These donations are more important than a $5,000 donation.
[02:37:48.948 --> 02:37:50.429]  You don't even need to give monetarily.
[02:37:50.890 --> 02:37:52.211]  Tell your email list about us.
[02:37:52.891 --> 02:37:54.332]  Put up a billboard in your backyard.
[02:37:54.652 --> 02:37:55.533]  Get the word out.
[02:37:55.593 --> 02:37:56.493]  That's what it's all about.
[02:37:56.734 --> 02:37:57.714]  Let's go to more calls here.
[02:37:58.295 --> 02:37:59.696]  Who's up next in order?
[02:38:01.117 --> 02:38:03.198]  EJ in Pennsylvania, you're on the air.
[02:38:03.218 --> 02:38:06.580]  Hi Alex, a privilege to talk to you.
[02:38:06.800 --> 02:38:07.741]  Privilege to talk to you.
[02:38:07.781 --> 02:38:08.782]  What's on your mind?
[02:38:09.645 --> 02:38:12.410]  It was a privilege also to donate to the Money Fund.
[02:38:12.530 --> 02:38:14.393]  I couldn't do much.
[02:38:14.413 --> 02:38:15.174]  I did $100.
[02:38:15.515 --> 02:38:16.115]  That's a lot.
[02:38:16.156 --> 02:38:16.756]  Thank you.
[02:38:17.638 --> 02:38:18.680]  You're very welcome.
[02:38:18.900 --> 02:38:23.828]  I looked at it like you and Bob Chapman saved me an awful lot of money.
[02:38:24.531 --> 02:38:25.832]  In my little tiny netflix.
[02:38:44.403 --> 02:38:46.124]  You deserve that, because you really have helped us.
[02:38:46.564 --> 02:38:49.927]  I turned into you about two years ago, and people wouldn't advise it, but I put all my money into gold.
[02:39:12.542 --> 02:39:14.323]  And I've been sleeping well for two years.
[02:39:15.083 --> 02:39:21.446]  So, you know, I didn't lose money, and I wish I could give you more, but... Oh, no, no, but let me stop you.
[02:39:21.686 --> 02:39:22.526]  Let me be specific.
[02:39:23.807 --> 02:39:25.727]  I never give advice on finances.
[02:39:25.807 --> 02:39:30.809]  I say what I would do, and I would have 30% of liquid assets in gold and silver and other metals.
[02:39:31.950 --> 02:39:34.911]  I bought gold when it was 300, and it's now, you know, close to 1,000.
[02:39:35.571 --> 02:39:39.253]  But I would tell you, if you bought gold when it was, what, 600 an ounce?
[02:39:41.318 --> 02:39:49.264]  Yeah, I would hedge your bet and just to be safe, next time it's up right now, I would dump some 100%.
[02:39:49.684 --> 02:39:51.826]  I'm not going to give you advice.
[02:39:52.006 --> 02:39:52.806]  You do what you want.
[02:39:53.347 --> 02:39:54.307]  That's a little risky.
[02:39:55.308 --> 02:39:59.171]  But hey, it's better than losing half your 401k like everybody else, huh?
[02:40:00.151 --> 02:40:05.195]  Right, and Chapman did tell us people to go all in a couple weeks back.
[02:40:06.095 --> 02:40:08.997]  Like I said, I sleep at night and I have faith in it.
[02:40:10.256 --> 02:40:17.362]  You know, I may lose a little bit, not like other people did, by hanging in the, you know, wrong way in the stock market and everything.
[02:40:17.702 --> 02:40:20.625]  I'm gonna miss some up news and different things, but it's okay!
[02:40:20.885 --> 02:40:24.068]  I say it like I have it in my hand, and I sleep at night.
[02:40:24.468 --> 02:40:25.329]  Thanks to you guys.
[02:40:26.009 --> 02:40:26.670]  Well, God bless you.
[02:40:26.690 --> 02:40:27.250]  Anything else?
[02:40:28.411 --> 02:40:33.015]  Well, probably a whole lot, but, um, oh yeah, I could give you one funny thing.
[02:40:33.035 --> 02:40:34.817]  You need a little laugh once in a while.
[02:40:35.459 --> 02:40:53.672]  I saw in a post the other night about the bank robbery that's going on, and I don't know the guy that wrote this, but he said, the plan was made by Summers and Geithner, Obama's holding the gun, the media's in the hallway providing cover, and Goldman Sachs is driving the runaway car.
[02:40:54.373 --> 02:40:55.413]  Very well said.
[02:40:55.433 --> 02:40:56.915]  Somebody should do a cartoon of that.
[02:40:56.955 --> 02:40:59.016]  Thank you so much, E.J., for the support.
[02:40:59.076 --> 02:41:02.519]  Jake in Minnesota, the great land of a million lakes.
[02:41:02.559 --> 02:41:03.940]  Go ahead, Jake, you're on the air.
[02:41:04.921 --> 02:41:05.401]  Hey, Alex.
[02:41:05.481 --> 02:41:06.721]  Pleasure to talk to you.
[02:41:06.881 --> 02:41:07.882]  First time calling your show.
[02:41:07.902 --> 02:41:08.922]  I'm Don Bermas.
[02:41:09.122 --> 02:41:09.982]  Thanks for both your shows.
[02:41:10.902 --> 02:41:17.344]  I wanted to, one, plug for you, like, just for your products, just real quickly, because I really like them, so you don't have to.
[02:41:17.484 --> 02:41:18.824]  I like the Aran Aqua Filter.
[02:41:18.844 --> 02:41:19.384]  It was great.
[02:41:19.764 --> 02:41:23.265]  And the Calvin Soap was a really good price, really good selling.
[02:41:23.345 --> 02:41:28.787]  Hey, I washed my hair with Calvin Soap and under the arms this morning with the Calvin Bar Soap.
[02:41:29.107 --> 02:41:30.607]  Anything I push, I believe in.
[02:41:31.528 --> 02:41:31.948]  Exactly.
[02:41:31.968 --> 02:41:33.109]  I mean, that's great.
[02:41:33.209 --> 02:41:33.650]  Good product.
[02:41:33.770 --> 02:41:34.690]  I love it.
[02:41:34.710 --> 02:41:41.195]  Another idea that I'm going to go forward with, I wanted to just throw out there for everybody, is county fairs this year.
[02:41:41.215 --> 02:41:44.797]  You know, there's so many small counties, and I'm going to be setting up a booth.
