[00:00:00.000 --> 00:00:06.960]  The World Health Organization pandemic treaty is still not approved.
[02:24:44.969 --> 02:24:49.270]  And absolutely includes chicken farming and turkeys, by the way.
[02:24:50.049 --> 02:24:52.510]  So that...
[02:24:53.370 --> 02:25:01.229]  That's the logic that the industry has established, and it's debatable.
[02:25:01.430 --> 02:25:07.750]  I think it's something that really ought to be revisited with the new USDA director.
[02:25:08.049 --> 02:25:09.329]  We have an opportunity.
[02:25:09.590 --> 02:25:10.649]  Thank you for those clips.
[02:25:11.399 --> 02:25:14.940]  Yeah, it's stunning what goes on in these farms.
[02:25:17.100 --> 02:25:23.100]  So what you're looking at there with that clip is actually friars.
[02:25:23.739 --> 02:25:31.239]  And what you're looking at is they have been bred so that when they're harvested, they get so fat they can't even walk.
[02:25:32.540 --> 02:25:40.079]  And they have to be harvested at that point because a week later they're going to start dying because they can't actually walk around in their coop.
[02:25:40.889 --> 02:25:49.750]  So it's really a very ugly business in order to shave a few nickels off the price per pound of the poultry that we eat.
[02:25:50.030 --> 02:25:57.870]  And it absolutely gives rise to these high-risk environments for evolution of infectious disease.
[02:25:58.090 --> 02:26:03.209]  But the good news is that chicken lungs are very, very different from human lungs.
[02:26:04.610 --> 02:26:08.829]  And as a consequence, I don't even know that I would want to broadcast those images.
[02:26:09.229 --> 02:26:10.670]  As a consequence...
[02:26:10.670 --> 02:26:11.770]  What's the matter, Dr. Malone?
[02:26:11.889 --> 02:26:12.090]  Chicken?
[02:26:13.809 --> 02:26:15.530]  No, it's an ugly business.
[02:26:15.729 --> 02:26:17.149]  I mean, we raise chicken here.
[02:26:17.750 --> 02:26:24.170]  I've slaughtered roosters and put them in the freezer, but it doesn't look anything like that.
[02:26:24.209 --> 02:26:24.389]  Sure.
[02:26:25.489 --> 02:26:29.370]  Well, Dr. Malone, we're coming up on a break in 30 seconds for four minutes.
[02:26:29.469 --> 02:26:41.309]  And on the other side of this, I want to talk to you specifically about mRNA and just educate myself and the audience on what the difference between RNA and DNA is and the potential and the capacity for the technology.
[02:26:41.409 --> 02:26:45.010]  Because if this bird flu is not a threat to human beings...
[02:26:45.659 --> 02:26:50.200]  And it's potentially a major threat to all these flocks of chickens and creating shortages.
[02:26:50.739 --> 02:26:56.739]  I wanna talk a little bit about what it means if we vaccinate the actual birds and the flocks and the livestock that we have.
[02:26:56.860 --> 02:26:58.120]  Stay with us for more on the other side.
[02:26:58.180 --> 02:26:59.120]  Thank you so much, Dr. Malone.
[02:26:59.299 --> 02:27:06.079]  My dad is chemistry background, also retired doctor, but he came in to help me run my supplement division 13 years ago.
[02:27:06.319 --> 02:27:07.879]  The deep state sued the hell out of him.
[02:27:07.979 --> 02:27:09.319]  We're going to our guest in a moment, but I gotta do this.
[02:27:09.379 --> 02:27:09.739]  Thank you, sir.
[02:27:11.590 --> 02:27:13.889]  They basically almost destroyed my parents.
[02:27:14.010 --> 02:27:20.450]  They didn't even complain until I heard about it from family that my dad was at the edge of bankruptcy himself with all the lawsuits the Democrats filed.
[02:27:20.610 --> 02:27:24.450]  By the way, they said in court that their attorney's fees are $316 million yesterday.
[02:27:24.829 --> 02:27:27.409]  They filed before they spent $80 million suing me.
[02:27:27.590 --> 02:27:29.229]  We spent $16 million fighting them.
[02:27:29.370 --> 02:27:31.110]  My dad spent $2 million fighting them.
[02:27:31.170 --> 02:27:32.250]  And we're finally winning.
[02:27:32.469 --> 02:27:43.770]  Not only does my dad's supplement company, drjonesnationals.com, have some of the best supplements, it is a personal request, I ask you, To support him because he's been a sponsor and wouldn't tell me in the last few years he was out of money.
[02:27:44.129 --> 02:27:53.969]  He was giving everything to InfoWars and then personally going through his savings and selling things he had and not telling me because that's how dads are.
[02:27:54.409 --> 02:27:55.469]  My mother wouldn't tell me.
[02:27:55.629 --> 02:28:01.750]  Then when I found out about this a few months ago when they were out of town, I went and dug through all his finances in his office and I got pissed.
[02:28:02.639 --> 02:28:09.479]  So, it is a personal thing for me, a warrior who fights for you every day, and my own future as well, to ask you, I need your help.
[02:28:09.959 --> 02:28:11.200]  The supplements are there.
[02:28:11.379 --> 02:28:11.979]  They're great.
[02:28:12.159 --> 02:28:13.319]  He's got a bunch more coming in.
[02:28:13.379 --> 02:28:14.280]  He's put everything into it.
[02:28:14.280 --> 02:28:14.700]  He has.
[02:28:14.780 --> 02:28:15.360]  They're incredible.
[02:28:15.620 --> 02:28:25.299]  I've given so much to this fight, and I respectfully ask all of you, every person listening, because such a tiny fraction of you ever actually go buy anything, that I don't want to belabor this.
[02:28:25.379 --> 02:28:26.620]  We have important topics to cover.
[02:28:27.450 --> 02:28:28.690]  Please support us.
[02:28:28.870 --> 02:28:30.889]  Go to drjonesdactyls.com.
[02:28:30.969 --> 02:28:31.690]  There's a new sale.
[02:28:31.909 --> 02:28:33.389]  Everything is 30% off.
[02:28:33.649 --> 02:28:43.010]  Next Level Foundational Energy, All Fluoride-Free Toothpaste, Silver Bullet Colloidal Silver, CoQ10, and Corsets and Macs that are high-end Corsets and CoQ10 for 40% off.
[02:28:43.170 --> 02:28:45.430]  Or try these other amazing products.
[02:28:45.709 --> 02:28:49.549]  Ultimate Longevity Pack for 50% off a big sale.
[02:28:49.709 --> 02:28:51.329]  And my dad literally...
[02:28:51.899 --> 02:28:57.420]  Took a loan last week to be able to buy the product that's coming in finally next week.
[02:28:57.639 --> 02:28:59.719]  Turbo Force, things like that that are popular.
[02:28:59.920 --> 02:29:02.420]  So we're trying to stabilize something that's important.
[02:29:02.979 --> 02:29:06.920]  And the enemy can get us so down to burn us out and shut us down.
[02:29:07.260 --> 02:29:08.579]  My dad won't stop fighting.
[02:29:08.719 --> 02:29:09.360]  He's a fighter.
[02:29:09.459 --> 02:29:10.319]  Hell, he's my dad.
[02:29:10.479 --> 02:29:11.440]  I think I'm a fighter.
[02:29:11.659 --> 02:29:13.059]  They wouldn't even tell me this stuff.
[02:29:13.739 --> 02:29:21.280]  We need to sell out of the little bit of stuff they got left just to get the next three or four products that are finally coming in to get them back on their feet so they can be a sponsor.
[02:29:21.440 --> 02:29:24.120]  But at this point, it's not even about sponsoring the Alex Jones Show.
[02:29:24.219 --> 02:29:25.200]  It's about my parents.
[02:29:25.840 --> 02:29:31.280]  And if you think I can continue to fight the globalists when my parents are being destroyed, that's what the enemy targeted them.
[02:29:31.780 --> 02:29:34.799]  So, please support the InfoWar today.
[02:29:34.940 --> 02:29:36.920]  Support my mother and my father.
[02:29:36.959 --> 02:29:39.899]  I'm asking you personally for you to do it now.
[02:29:40.120 --> 02:29:44.639]  And if 5% of the millions watching will go do it, all our problems will be over in one minute.
[02:29:44.739 --> 02:29:50.299]  But it's less than one-half, one percent to ever buy anything from drjonesnaturals.com or thealexjonesstore.com.
[02:29:50.360 --> 02:29:53.920]  And for those that do support, thank you for keeping us in the fight for our futures.
[02:29:54.319 --> 02:29:57.579]  So, thealexjonesstore.com, drjonesnaturals.com.
[02:29:57.639 --> 02:29:59.200]  I'm going to shut up at the balance of this hour.
[02:29:59.500 --> 02:30:01.600]  Welcome back to The Alex Jones Show, ladies and gentlemen.
[02:30:01.780 --> 02:30:09.719]  I am Chase Geiser, your host today, joined by the great, the esteemed, the credible Robert Malone, Dr. Robert W. Malone.
[02:30:10.399 --> 02:30:18.879]  Doctor, I want to kind of recap what I've gathered from our conversation so far, just so we can make sure that I'm understanding you correctly, and then get into a couple of new things.
[02:30:19.059 --> 02:30:19.479]  So...
[02:30:20.020 --> 02:30:29.420]  There is some evidence of gain-of-function research being done on avian flus, generally speaking, but not specifically to this current strand of bird flu.
[02:30:29.559 --> 02:30:30.020]  Is that correct?
[02:30:30.500 --> 02:30:31.959]  But more than some evidence.
[02:30:32.139 --> 02:30:33.500]  There's multiple publications.
[02:30:33.760 --> 02:30:34.280]  Right, absolutely.
[02:30:34.559 --> 02:30:34.799]  This is established.
[02:30:35.360 --> 02:30:49.760]  Established, but the sequencing research that has been done so far on this, which you seem to think is fairly extensive, does not indicate necessarily that transmissible gain-of-function is implemented on this specific strand.
[02:30:50.010 --> 02:30:55.370]  However, it could come out in later developments that that's the case, but not necessarily there yet to make that claim.
[02:30:55.670 --> 02:30:59.190]  Now, we know that the virus is not particularly lethal to humans.
[02:30:59.290 --> 02:31:02.569]  It's certainly not transmissible human to human.
[02:31:02.969 --> 02:31:09.649]  However, it's very lethal to chickens if you take into consideration the culling policies associated with it.
[02:31:09.729 --> 02:31:16.250]  So even if it's not directly lethal to chickens, if the policy is, hey, if one in the coop gets it, then we're going to tear the whole place down.
[02:31:16.549 --> 02:31:18.370]  That's obviously very lethal then, right?
[02:31:20.440 --> 02:31:37.520]  It seems to me that we've got this situation in the context of the fact that miscellaneous poultry farm Fires have increased 200% over the last four years compared to four years before.
[02:31:37.639 --> 02:31:47.159]  There were 5,000 chickens who were killed in poultry farm fires from 2016 to 2020. There have been 1.5 million since 2020, 2024, according to the research that I've done.
[02:31:47.840 --> 02:31:51.239]  It's weird that these farms seem to be going up in flames.
[02:31:51.340 --> 02:31:53.000]  Maybe there's an explanation that's reasonable for it.
[02:31:53.239 --> 02:31:59.579]  Maybe it's something that the farmers do when they realize there's an infection, and rather than killing their whole herd, they want to claim insurance, so they burn it down.
[02:31:59.659 --> 02:32:00.780]  I don't know if there's fraud going on.
[02:32:00.879 --> 02:32:04.659]  I don't know if it's a deep state going in and trying to create an artificial shortage or not.
[02:32:05.040 --> 02:32:12.680]  But there definitely is a push to vaccinate humans in contact with this livestock, with this poultry.
[02:32:13.260 --> 02:32:20.219]  And there has been a push for years to actually vaccinate the poultry directly with mRNA vaccines.
[02:32:20.219 --> 02:32:21.280]  Is that correct so far?
[02:32:21.700 --> 02:32:22.299]  Forgive me.
[02:32:22.790 --> 02:32:30.989]  So, the deployed Merck product, and by the way, we started covering this about three years ago.
[02:32:31.069 --> 02:32:33.770]  I think we're the ones that first broke the story in our substack.
[02:32:34.579 --> 02:32:40.819]  The deployed Merck mRNA vaccine product for livestock is for swine.
[02:32:41.020 --> 02:32:45.379]  It's for these large pig factories.
[02:32:45.780 --> 02:33:04.000]  And what Merck does is it comes into a very large swine herd, samples the circulating viruses, and then builds a custom mRNA vaccine for those circulating viruses, and then goes ahead and vaccinates that swine herd.
[02:33:04.670 --> 02:33:26.270]  So the swine industry, your pork, absolutely has been, is highly probable, if you're buying it from one of the major producers or the major slaughterhouses indirectly, you probably are receiving a pork product that has been treated with an mRNA product devised by Merck.
