# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: e88e4929dc3fcfc98d92524c7c7cd4d1
[00:00:07.759 --> 00:00:08.240]  Christmas.
[02:21:26.080 --> 02:21:28.960]  He goes, these are terrorist criminal groups saying this.
[02:21:29.200 --> 02:21:31.680]  We've got the CIA and MI6 looking into them.
[02:21:32.240 --> 02:21:33.120]  Well, come and look.
[02:21:34.800 --> 02:21:38.560]  And of course, the level of damage, we're doing them a favor.
[02:21:38.800 --> 02:21:39.760]  Imagine if they keep going.
[02:21:39.840 --> 02:21:42.400]  We're going to have one out of three children brain damage.
[02:21:42.560 --> 02:21:44.000]  I mean, how far do they want to go here?
[02:21:44.320 --> 02:21:44.560]  I know.
[02:21:44.720 --> 02:21:49.840]  I mean, the projection is one in two children by, what, 2030, 2032.
[02:21:50.480 --> 02:21:51.440]  I don't know whether those numbers.
[02:21:51.680 --> 02:21:53.040]  Well, that's the end of civilization.
[02:21:53.280 --> 02:21:53.440]  Yeah.
[02:21:53.600 --> 02:21:57.600]  You either have a child with autism or you're looking after a child.
[02:21:57.680 --> 02:22:01.200]  I mean, it's, you know, you have it or you're looking after some.
[02:22:01.600 --> 02:22:06.080]  Well, look, I'm not a vindictive person, but the best way to stop this is to punish people.
[02:22:06.400 --> 02:22:08.560]  There's a lot of, maybe we can't get them for the poison shots.
[02:22:08.640 --> 02:22:13.360]  We can get them for Ursula van der Leyden lying and taking all these tens of millions from Pfizer.
[02:22:13.520 --> 02:22:14.640]  We need to throw some people in prison.
[02:22:14.720 --> 02:22:16.080]  What about, I mean, they need to pay.
[02:22:16.400 --> 02:22:21.200]  Well, you know, one of the tragedies of VAX is that there was no accountability.
[02:22:21.440 --> 02:22:22.560]  No one was held responsible.
[02:22:22.720 --> 02:22:23.360]  We made the movie.
[02:22:23.440 --> 02:22:24.320]  It went out there.
[02:22:24.640 --> 02:22:28.320]  Those people at the CDC committed the fraud right up to the highest level.
[02:22:28.480 --> 02:22:32.080]  The CDC went on getting their pay, went on getting their pensions.
[02:22:32.400 --> 02:22:36.960]  No one paid any price apart from the children and their families.
[02:22:37.280 --> 02:22:42.800]  Well, we saw Mangiani kill that healthcare executive, which I don't think was good, denying people care and stuff.
[02:22:43.040 --> 02:22:44.080]  He's a hero of the left.
[02:22:44.240 --> 02:22:51.600]  I'm not calling for this, but if this keeps going, these vaccine makers and people, you know, Fauci had illegally dozens of federal agents protecting him.
[02:22:51.760 --> 02:22:52.320]  Now he doesn't have it.
[02:22:52.400 --> 02:22:58.480]  I don't wish to see harm upon Fauci, but won't they know once they're exposed and this keeps going on, they won't be safe anywhere on earth?
[02:22:58.800 --> 02:23:07.280]  I think there'll be a number of parents who are just very, very, very angry, particularly if their children have been permanently damaged or killed.
[02:23:07.600 --> 02:23:08.640]  And I worry about that.
[02:23:08.800 --> 02:23:09.280]  I really do.
[02:23:09.440 --> 02:23:10.400]  I think it's a reality.
[02:23:10.560 --> 02:23:12.320]  It's the world in which we live.
[02:23:12.480 --> 02:23:17.840]  And if people do not get justice through the system, will they seek it in other ways?
[02:23:18.000 --> 02:23:18.560]  I don't know.
[02:23:18.720 --> 02:23:21.680]  But history tells us that yes, they will.
[02:23:23.280 --> 02:23:29.680]  Well, you're a very classy professional scientist, but we have Bill Gates saying, I want to get rid of most of the population.
[02:23:30.720 --> 02:23:31.680]  Plus, somebody have the shot.
[02:23:31.760 --> 02:23:36.320]  I mean, there's no way the people running us to the top don't know what they're doing.
[02:23:36.640 --> 02:23:37.520]  No, I think they do.
[02:23:37.760 --> 02:23:39.760]  I think that they've known for some time.
[02:23:40.080 --> 02:23:49.440]  After the point of knowledge, even if they didn't set out with this agenda, after the point of knowledge, it becomes deliberate because you know what you're doing and it is deliberate.
[02:23:49.760 --> 02:24:09.280]  I mean, I did a study on a film I made with Bobby Kennedy Jr., and that was on infertility vaccines in Africa, given developed to make women infertile without any informed consent to the women concerned to whom these were being given.
[02:24:09.600 --> 02:24:13.920]  A deliberate attempt to sterilize people in the third world, an experiment.
[02:24:14.000 --> 02:24:15.040]  I was absolutely disgusting.
[02:24:15.120 --> 02:24:16.000]  Is that the tetanus?
[02:24:16.480 --> 02:24:17.360]  Is that the tetanus?
[02:24:17.520 --> 02:24:19.120]  That was the tetanus vaccine, yeah.
[02:24:21.680 --> 02:24:22.320]  Wow.
[02:24:23.920 --> 02:24:27.520]  Yeah, there are some bad people out there, and they need to be exposed.
[02:24:27.680 --> 02:24:34.160]  But more importantly, we need to a large dose of common sense, and we're getting that now from the white.
[02:24:34.400 --> 02:24:35.520]  Well, I mean, let's take common sense.
[02:24:35.840 --> 02:24:39.200]  These mad scientists who want to depopulate think they'd get away with this long term?
[02:24:39.520 --> 02:24:44.080]  I mean, the point is, they need to give up now because it's just going to get worse for them here on Africa.
[02:24:44.320 --> 02:24:44.400]  Yeah.
[02:24:44.560 --> 02:24:45.360]  They need to extricate.
[02:24:45.520 --> 02:24:47.040]  I'm telling them, run the white flag up.
[02:24:47.600 --> 02:24:48.720]  No, you're absolutely right.
[02:24:48.960 --> 02:24:52.640]  If they had any sense at all, I mean, they tend to double down.
[02:24:52.800 --> 02:24:53.760]  They're in so deep.
[02:24:54.000 --> 02:24:57.120]  But I think we're in the right place now.
[02:24:57.360 --> 02:25:07.200]  I do hope, and here's a message for the American people and your audience in particular, that Bobby Kennedy will get a second term to complete what he started.
[02:25:07.520 --> 02:25:18.640]  Because the dilemma is that if he doesn't get it done in the first four years, and he's making great strides, but 100%, he needs to be the president or whoever we elect needs to pledge to bring him back.
[02:25:18.880 --> 02:25:23.680]  He should be back in charge of HHS in four years, three years' time.
[02:25:24.400 --> 02:25:27.280]  Because we are a very reactionary species, Alex.
[02:25:27.440 --> 02:25:32.560]  And if they get back in, if the Dems get back in, we will see a huge swing.
[02:25:32.720 --> 02:25:37.040]  The pendulum will swing back and it'll be worse than it was before.
[02:25:37.360 --> 02:25:42.080]  So he needs to be able to complete the process that he started.
[02:25:42.720 --> 02:25:43.760]  I totally agree.
[02:25:44.080 --> 02:25:45.600]  We've got a lot of time coming up.
[02:25:45.760 --> 02:25:50.240]  I've got a lot of new developments I want to get into here with you, but what else are we going to cover coming up?
[02:25:50.800 --> 02:25:53.440]  I'd love to talk about the films that we've got.
[02:25:53.920 --> 02:25:56.000]  One, we got a film from Thailand.
[02:25:56.160 --> 02:25:58.400]  We just went out there and shot a COVID film.
[02:25:58.880 --> 02:26:00.720]  That'll be coming out early next year.
[02:26:00.960 --> 02:26:02.000]  Have you given us the trailers?
[02:26:02.480 --> 02:26:03.600]  We haven't got a trailer for that yet.
[02:26:03.680 --> 02:26:04.160]  It's being cut.
[02:26:04.480 --> 02:26:05.840]  Well, tell us, I've seen the other great films.
[02:26:06.080 --> 02:26:07.440]  We need to play some of those trailers coming out.
[02:26:07.600 --> 02:26:09.760]  Maybe we should play the original, Vax coming in.
[02:26:10.000 --> 02:26:10.560]  Vax was it?
[02:26:10.640 --> 02:26:11.360]  Vax was huge.
[02:26:11.440 --> 02:26:11.600]  Vax?
[02:26:11.920 --> 02:26:12.560]  I've seen most.
[02:26:12.720 --> 02:26:13.040]  What do you mean?
[02:26:13.120 --> 02:26:14.400]  You put up like four or five films, right?
[02:26:14.640 --> 02:26:15.040]  Six films.
[02:26:15.760 --> 02:26:16.640]  Okay, I've seen four of them.
[02:26:16.800 --> 02:26:18.080]  So tell us the names of the films.
[02:26:18.800 --> 02:26:20.880]  The first film was Who Killed Alex Bordelarchis.
[02:26:20.960 --> 02:26:25.360]  All of these, as you pointed out, are available on WakefieldMediaGroup.com.
[02:26:25.680 --> 02:26:26.720]  So go there for them.
[02:26:27.040 --> 02:26:28.640]  Who killed Alex Bordelarchis?
[02:26:28.720 --> 02:26:30.160]  That was the first one we ever made.
[02:26:30.320 --> 02:26:31.200]  Then we made Vax.
[02:26:31.680 --> 02:26:36.080]  Vax was one of the biggest movies of that year, 2016.
[02:26:36.640 --> 02:26:40.080]  Then I made a movie called The Act, 1986, The Act.
[02:26:40.240 --> 02:26:41.840]  It was about the National Child College.
[02:26:42.000 --> 02:26:42.400]  I've seen that one.
[02:26:42.480 --> 02:26:46.320]  The Country Act when the industry, the vaccine manufacturer.
[02:26:46.560 --> 02:26:47.680]  Who haven't seen Infertility?
[02:26:48.000 --> 02:26:48.720]  God missed that.
[02:26:48.960 --> 02:26:49.120]  Yep.
[02:26:49.680 --> 02:26:50.800]  Liability Protection.
[02:26:50.880 --> 02:26:53.040]  That's the film with Bobby Kennedy coming soon.
[02:26:53.360 --> 02:26:54.400]  Okay, that's why I haven't seen it.
[02:26:54.880 --> 02:26:56.160]  Coming soon is, no, that's out.
[02:26:56.320 --> 02:26:57.280]  Infertility's out.
[02:26:57.440 --> 02:26:57.520]  Oh good.
[02:26:57.920 --> 02:26:59.040]  The new film with Bobby.
[02:26:59.600 --> 02:27:00.480]  Tell us about Infertility.
[02:27:01.200 --> 02:27:04.880]  Infertility is the one where they took the tetanus vaccine.
[02:27:04.960 --> 02:27:05.440]  They split it.
[02:27:05.520 --> 02:27:06.160]  Oh, you were just mentioning it.
[02:27:06.320 --> 02:27:06.480]  That's right.
[02:27:06.640 --> 02:27:07.680]  Okay, so I know the story.
[02:27:07.760 --> 02:27:08.400]  I haven't seen the film.
[02:27:08.560 --> 02:27:09.760]  Wow, get the trailer for that one.
[02:27:09.920 --> 02:27:10.800]  Air that when we come back.
[02:27:11.040 --> 02:27:11.600]  See, that's the thing.
[02:27:11.840 --> 02:27:12.320]  There's so many.
[02:27:12.480 --> 02:27:13.920]  You're out there doing such a great job.
[02:27:14.240 --> 02:27:15.440]  And I think people think, I know everything.
[02:27:15.680 --> 02:27:17.280]  People all the time call saying, why do you know about this?
[02:27:17.440 --> 02:27:19.040]  I didn't even know you made this last film.
[02:27:19.360 --> 02:27:27.120]  Well, the next film I want to make, and this is important, Alex, is that the tide has turned on the vaccine.
[02:27:27.200 --> 02:27:29.600]  That issue is going to now be resolved.
[02:27:29.840 --> 02:27:33.040]  The majority of people are saying, we don't trust you anymore.
[02:27:33.360 --> 02:27:37.120]  So that will, if we continue to work hard, will be.
[02:27:37.840 --> 02:27:39.200]  But now comes the genetic therapy.
[02:27:39.440 --> 02:27:47.200]  Well, now the film that I want to make, I have to make before I die for this community is this.
[02:27:47.760 --> 02:27:57.360]  The greatest fear for any parent of an affected child with a child with autism is what happens to my child when I become infirm or die.
[02:27:57.680 --> 02:28:02.800]  They will fall upon the mercy of a world that doesn't understand them, doesn't care about them, doesn't love them.
[02:28:03.040 --> 02:28:04.160]  They will die on the streets.
[02:28:04.400 --> 02:28:08.880]  And that is what will happen because the existing systems are not in place to kill.
[02:28:09.120 --> 02:28:10.640]  Or being euthanized by maids.
[02:28:10.800 --> 02:28:11.040]  Yeah.
[02:28:11.360 --> 02:28:23.280]  So I wanted to make a film that didn't forget about the children already injured, those who have fallen on the battlefield of man's quest to conquer infectious disease.
[02:28:23.600 --> 02:28:25.440]  And so I'll tell you a story, Alex.
[02:28:25.520 --> 02:28:26.160]  I hope we've got time.
[02:28:26.560 --> 02:28:27.040]  We got plenty of time.
[02:28:27.120 --> 02:28:27.680]  Let's go to break.
[02:28:27.840 --> 02:28:28.560]  Come back and start with this.
[02:28:28.640 --> 02:28:32.080]  Then we'll play the trailer to the infertility film that I didn't even know you had out.
[02:28:32.400 --> 02:28:32.800]  Exactly.
[02:28:32.880 --> 02:28:34.240]  We need to think about the victims.
[02:28:34.800 --> 02:28:37.680]  And not just for them, but people could understand the carnage that's happened, so it doesn't happen.
[02:28:38.000 --> 02:28:38.160]  Yeah.
[02:28:38.400 --> 02:28:38.800]  Absolutely.
[02:28:38.960 --> 02:28:40.000]  Let's come back and talk about that.
[02:28:40.160 --> 02:28:43.200]  And then let's get into the infertility film as well.
[02:28:43.520 --> 02:28:45.600]  And we got plenty of time, as long as you want, and you got a lot to cover.
[02:28:45.760 --> 02:28:46.960]  We should also give them the study here.
[02:28:47.280 --> 02:28:47.600]  Okay.
[02:28:48.560 --> 02:28:49.520]  Well, here's the good news.
[02:28:49.680 --> 02:28:50.800]  Our surrender is over.
[02:28:50.880 --> 02:28:52.160]  We've turned the tide.
[02:28:52.480 --> 02:28:57.440]  Back when Wakefield first started doing this 25, 30 years ago, he was a lone, lone ranger now.
[02:28:58.720 --> 02:29:02.400]  I need you to support the broadcast financially.
[02:29:02.560 --> 02:29:08.080]  And I just need those of you on the fence that have never gone to the auctionstore.com to go get the ultra-methylene blue.
[02:29:08.560 --> 02:29:11.200]  I'm only going to sell something that's really good for you and works great.
[02:29:11.520 --> 02:29:13.600]  Because again, a good salesman sells a product that works.
[02:29:13.760 --> 02:29:14.240]  That's good.
[02:29:14.400 --> 02:29:15.280]  And that I use.
[02:29:15.840 --> 02:29:16.960]  So take the challenge.
[02:29:17.040 --> 02:29:21.280]  Go to theauctionstore.com now and get ultra-ethylene blue.
[02:29:21.360 --> 02:29:22.480]  And it's the greatest because it's so good.
[02:29:22.560 --> 02:29:23.680]  It hits in like 30 minutes.
[02:29:24.080 --> 02:29:26.400]  The real effects happen the days and weeks as it builds up again.
