[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[02:22:11.850 --> 02:22:15.209]  It's up to us to try to see what we see from that.
[02:22:15.209 --> 02:22:16.850]  He doesn't add anything to it, and that's key.
[02:22:17.110 --> 02:22:23.469]  I've experienced that myself with some of the similar things that have happened here with myself and people seen on air.
[02:22:23.629 --> 02:22:24.590]  That's been demonstrated.
[02:22:27.329 --> 02:22:29.950]  But Biden allowed all these Iranians in.
[02:22:30.110 --> 02:22:33.149]  We know they came in, the Quds forces, the Hezbollah.
[02:22:33.690 --> 02:22:41.809]  And we know they've come in with the same backpacks, gear, come out in the Border Patrol reports that they are Iranian government, military.
[02:22:42.409 --> 02:22:48.290]  And so we know that the Democrats had a backroom deal with Iran, gave them tens of billions of dollars.
[02:22:48.590 --> 02:22:50.930]  So there's a lot of deep state stuff going on.
[02:22:50.989 --> 02:22:53.110]  Did the deep state contract with them for a coming attack?
[02:22:53.629 --> 02:23:00.329]  Then we've got helicopters scanned for nuclear irregularities over D.C. The Secret Service prepares for worst-case scenario at inauguration.
[02:23:00.530 --> 02:23:03.409]  Now they've moved it inside, they say, for cold weather.
[02:23:03.569 --> 02:23:08.969]  You've got these famous Hezbollah-connected people saying, oh, you'll know who I am soon.
[02:23:09.409 --> 02:23:11.329]  You've got the attack in New Orleans.
[02:23:11.569 --> 02:23:20.069]  Here's a short clip, and we'll go back to the pastor, on them scanning for radioactive material, perhaps a nuke, and then it'll be blamed on Iran?
[02:23:21.069 --> 02:23:22.190]  We go to war with Iran?
[02:23:22.469 --> 02:23:23.930]  I mean, or is Iran involved?
[02:23:24.250 --> 02:23:24.850]  Here's a clip.
[02:23:25.549 --> 02:23:30.069]  An exclusive look at how security officials are prepared after months of planning.
[02:23:31.389 --> 02:23:32.590]  So, crane to your left.
[02:23:32.770 --> 02:23:33.110]  Got it.
[02:23:33.450 --> 02:23:37.850]  From only 150 feet in the air, pilots dodge buildings.
[02:23:40.389 --> 02:23:47.809]  Flying in a grid over the National Mall to scan for radiological or nuclear irregularities, threats like dirty bombs.
[02:23:47.969 --> 02:23:53.709]  So you're trying to create a blueprint of what the radiation in Washington, D.C. looks like ahead of the inauguration?
[02:23:53.870 --> 02:23:54.010]  Correct.
[02:23:54.450 --> 02:24:01.870]  Department of Energy scientist Jacqueline Brandon calls this low-flying helicopter, one of just two of its kind, her office.
[02:24:02.129 --> 02:24:05.590]  If we find a radiological irregularity, we'll investigate it even further.
[02:24:06.010 --> 02:24:09.250]  Highly sensitive technology sets off alarms in the air.
[02:24:09.479 --> 02:24:10.200]  That's an alarm.
[02:24:10.399 --> 02:24:11.139]  That is an alarm.
[02:24:12.420 --> 02:24:15.420]  It's a slight variation in our spectra is what it's saying.
[02:24:16.860 --> 02:24:19.739]  All right, let me add a few other stories and then go right back to him and give him the floor.
[02:24:20.260 --> 02:24:23.159]  Trump inauguration potential targets as the FBI terror threats.
[02:24:23.579 --> 02:24:25.959]  Politico, Nancy Pelosi skipping Trump's inauguration.
[02:24:26.319 --> 02:24:30.219]  Big Mike, Michelle Obama skipping and a whole bunch of other members of Congress skipping it.
[02:24:31.260 --> 02:24:34.780]  It's really obvious if the globalists did that or let somebody attack, but who knows?
[02:24:35.459 --> 02:24:37.020]  A lot of people are concerned.
[02:24:38.159 --> 02:24:45.959]  Going back to Pastor Brandon Biggs, Pastor, please continue where you were left off, but you can also add to my, I know you want to just give your prophetic vision God gave you.
[02:24:46.100 --> 02:24:50.379]  We respect that, so if we get to that, back to that, or what is your view on what I was just saying?
[02:24:50.479 --> 02:24:50.680]  Go ahead.
[02:24:51.979 --> 02:24:52.600]  That's amazing.
[02:24:52.760 --> 02:24:59.000]  That whole story right there, I thought that is incredible because it goes along with some of the things I've seen, and I didn't know.
[02:24:59.120 --> 02:24:59.940]  Wow, you know?
[02:25:00.200 --> 02:25:05.920]  You know, when you're seeing something in the Spirit and then you start seeing it in the news a couple weeks later, it's trippy.
[02:25:06.700 --> 02:25:11.780]  Yeah, I saw the World Trade Center's blown up and collapsing, and even told my family about it the months before.
[02:25:11.860 --> 02:25:13.600]  That's why I went public and said they're going to blow up the World Trade Center.
[02:25:14.040 --> 02:25:16.540]  Because I saw them blowing up like they did in dreams.
[02:25:16.559 --> 02:25:20.299]  God speaks to me in dreams, or that it's not like in a visual vision.
[02:25:20.440 --> 02:25:21.540]  I don't even hear the voice.
[02:25:21.700 --> 02:25:24.360]  It's like instantly I have a thought and see all the details.
[02:25:24.879 --> 02:25:26.219]  I see it in my mind.
[02:25:26.319 --> 02:25:28.840]  I feel the same thing, like there's a presence, I get warm.
[02:25:29.040 --> 02:25:31.100]  It's like a movie screen, isn't it?
[02:25:31.180 --> 02:25:32.219]  It's kind of like a movie screen.
[02:25:32.479 --> 02:25:35.799]  Well, that's how, more like it's a super complex thought.
[02:25:36.219 --> 02:25:43.040]  With all sorts of other side points integrated, and then, yeah, you can visualize it.
[02:25:43.100 --> 02:25:44.360]  It's a little different for me, but go ahead.
[02:25:45.020 --> 02:25:45.219]  Yeah.
[02:25:45.739 --> 02:25:50.139]  Okay, well, okay, so I saw these three men, for sure.
[02:25:50.399 --> 02:25:55.920]  And if people ask me what they look like, I can describe to the FBI whoever would ever want to know.
[02:25:56.120 --> 02:25:59.420]  But I saw these three men, and the Lord told me...
[02:25:59.360 --> 02:26:03.879]  That they were like generals in the army, Al Qaeda people.
[02:26:04.040 --> 02:26:05.719]  They were like, these are not like little guys.
[02:26:05.879 --> 02:26:07.520]  They were being smuggled over.
[02:26:07.700 --> 02:26:10.719]  And the one man was a heavyset man with a big beard.
[02:26:11.040 --> 02:26:13.340]  And the other guy was not as heavy.
[02:26:13.479 --> 02:26:15.420]  And then the other guy was, they were skinnier looking.
[02:26:15.459 --> 02:26:16.540]  The other two guys were skinny.
[02:26:16.639 --> 02:26:17.540]  But there was three men.
[02:26:17.639 --> 02:26:23.180]  And they crossed over around Mexico and Arizona, around that area.
[02:26:23.440 --> 02:26:26.819]  And the Lord, that's what I saw in the vision where these men were coming.
[02:26:26.920 --> 02:26:28.260]  And I saw mountains in the background.
[02:26:28.260 --> 02:26:30.319]  I could see the sun going down.
[02:26:30.479 --> 02:26:31.979]  And they got in a black van.
[02:26:32.540 --> 02:26:35.719]  And when they got in the black van, they took them north.
[02:26:36.360 --> 02:26:39.700]  And that's what the Lord showed me about these three men.
[02:26:39.780 --> 02:26:45.780]  And they were very powerful in this terrorist organization.
[02:26:46.079 --> 02:26:49.920]  And so, okay, so I'll go back to what the Lord showed me.
[02:26:51.629 --> 02:26:59.409]  The Lord showed me them gathering the materials for making these bombs for over a year.
[02:26:59.670 --> 02:27:06.450]  And so they were getting the, you know, the fertilizers and the vans, and I saw dump trucks.
[02:27:06.629 --> 02:27:10.590]  So, okay, so the Lord showed me that they made them, like, bulletproof.
[02:27:10.729 --> 02:27:16.709]  They put, like, armor all on the front and on the side, so if they were going through police barricades or whatever.
[02:27:17.180 --> 02:27:22.180]  That they would not be stopped by bullets or any kind of retaliation against them.
[02:27:22.340 --> 02:27:24.459]  So they made them like tanks.
[02:27:24.719 --> 02:27:29.420]  And so they put all this fertilizer and stuff in this vision, what the Lord showed me.
[02:27:29.500 --> 02:27:31.780]  It was very detailed.
[02:27:32.000 --> 02:27:38.959]  And I saw them split up all of the fertilizer and they made it into compartments.
[02:27:39.040 --> 02:27:40.639]  It looked like 50-gallon drums.
[02:27:40.840 --> 02:27:41.559]  But it was...
[02:27:42.420 --> 02:27:47.100]  Humongous, you know, barrels in the back of these huge diesel dump trucks.
[02:27:47.659 --> 02:27:54.420]  And so then I saw two men in those dump trucks and they had suicide vest on.
[02:27:54.649 --> 02:27:58.850]  They had vest on with this explosive devices all over their vest.
[02:27:59.090 --> 02:28:02.950]  And so they used the trucks to go through police barricades.
[02:28:03.170 --> 02:28:04.549]  So you couldn't stop them.
[02:28:04.670 --> 02:28:07.829]  It was very powerful what they were trying to do, shooting out their tires and stuff.
[02:28:07.989 --> 02:28:10.809]  But this was, I mean, like I'm saying, this was well-funded.
[02:28:11.110 --> 02:28:17.530]  And so when they took the trucks, they rammed them through the barricades.
[02:28:17.649 --> 02:28:24.090]  And when they finally stopped them, they ignited their vest and blew up the whole area.
[02:28:24.430 --> 02:28:25.870]  And it wiped out all the buildings.
[02:28:26.069 --> 02:28:36.030]  If you think what happened in Oklahoma City was big, this was like so much more.
[02:28:36.190 --> 02:28:38.729]  You know, like a huge 9-11 type event, y'all.
[02:28:39.190 --> 02:28:41.309]  But it wasn't just one.
[02:28:41.610 --> 02:28:44.530]  The Lord showed me there was over a thousand men.
[02:28:44.530 --> 02:28:46.829]  And there was ten major cities.
[02:28:47.069 --> 02:28:49.229]  There was ten cities the Lord told me.
[02:28:49.389 --> 02:28:52.989]  And so all the cities were...
[02:28:53.680 --> 02:29:03.479]  I had a target of like a Trump Tower or a Trump golf course or something that, you know, was important of our, you know, our heritage.
[02:29:03.659 --> 02:29:05.899]  You know, like the Statue of Liberty was a target.
[02:29:06.079 --> 02:29:07.739]  And I thought, why the Statue of Liberty?
[02:29:07.879 --> 02:29:10.540]  It doesn't have a lot of people around it, but it represents freedom.
[02:29:10.739 --> 02:29:13.059]  It represents something that's important to us.
[02:29:13.180 --> 02:29:15.920]  And so I saw them go in and they try to take that out.
[02:29:16.000 --> 02:29:19.879]  I saw over, what's the gardens over?
[02:29:20.059 --> 02:29:20.799]  I'm sorry, son.
[02:29:22.129 --> 02:29:23.329]  Madison Square Garden?
[02:29:23.530 --> 02:29:23.829]  Yeah.
[02:29:24.129 --> 02:29:25.469]  I saw them attacking that.
[02:29:25.670 --> 02:29:27.690]  I saw them attacking Chicago.
[02:29:28.229 --> 02:29:32.510]  I saw them attacking Houston area, Dallas area.
[02:29:32.750 --> 02:29:37.850]  I saw them trying to attack Oklahoma City, L.A., Seattle.
[02:29:38.229 --> 02:29:44.190]  There was a lot of cities, you know, instead of just going over all 10 of them because it's kind of, you know, ridiculous.
[02:29:44.450 --> 02:29:47.170]  But let me see.
[02:29:47.969 --> 02:29:49.430]  Okay, so I told you about that.
[02:29:49.809 --> 02:29:59.530]  Okay, so they take vans, and I saw the vans, and they had all kinds of different vans because the vans weren't as, you know, trackable.
[02:29:59.610 --> 02:30:01.530]  You know, you see a big dump truck going down the road.
[02:30:01.690 --> 02:30:02.569]  You're going to know it.
[02:30:02.729 --> 02:30:07.469]  You know, it's kind of like, you know, especially if it's parked in a, it's mysterious, you know, there was just a couple of those.
[02:30:07.610 --> 02:30:09.329]  But there was a lot of vans.
[02:30:09.530 --> 02:30:16.870]  I noticed, you know, those white cargo vans, and they filled the back of those vans full of highly explosive fertilizer.
