# Transcription model: large-v3-turbo
[00:00:05.099 --> 00:00:06.759]  You're now entering.
[01:36:24.770 --> 01:36:26.510]  So, I'm giving them time.
[01:36:26.510 --> 01:36:27.210]  I know they're busy.
[01:36:27.270 --> 01:36:34.449]  I know they've got to take out the victims' names and stuff, but they should have a press conference and say, okay, of all these documents, we've gone through 30%.
[01:36:34.449 --> 01:36:35.710]  Here they are.
[01:36:35.850 --> 01:36:38.109]  And next week, we'll give you another 30%.
[01:36:38.109 --> 01:36:40.310]  And we'll give you the other 40% after that.
[01:36:41.390 --> 01:36:42.090]  So, yeah.
[01:36:42.439 --> 01:36:45.680]  I don't jump the gun on this stuff, but I'm getting concerned.
[01:36:45.840 --> 01:36:47.840]  I don't expect them to find all the stuff that was destroyed and hidden.
[01:36:47.899 --> 01:36:48.439]  We know that.
[01:36:48.619 --> 01:36:49.539]  That's been going on forever.
[01:36:49.840 --> 01:36:52.479]  And, you know, Comey and his daughter ran the cover-up and ran the cases.
[01:36:52.659 --> 01:37:01.560]  But the cover-up's a crime itself, and these FBI agents have covered it up, and DOJ officials that admittedly did it, and lied and said they'd release it all to the DOJ and FBI headquarters.
[01:37:01.579 --> 01:37:02.699]  They should be indicted.
[01:37:03.319 --> 01:37:10.380]  And I know they've got criminal investigations they're now announcing, not just of the leakers, of where the ice raids were.
[01:37:10.539 --> 01:37:11.279]  Seriously illegal.
[01:37:11.399 --> 01:37:11.920]  Very dangerous.
[01:37:12.250 --> 01:37:12.850]  Attempted murder.
[01:37:13.210 --> 01:37:14.770]  Somebody gets killed at his accessory to murder.
[01:37:14.989 --> 01:37:20.510]  And now they're saying there's a criminal investigation of who put out the fake leak in the Pentagon that they were going to meet with Elon Musk.
[01:37:20.649 --> 01:37:26.869]  Because even if it's a lie, you're still not allowed to say you're having a national security meeting and then leak fake national security information.
[01:37:26.909 --> 01:37:28.329]  You're not supposed to be talking to the media.
[01:37:29.029 --> 01:37:29.989]  So that's going on.
[01:37:30.069 --> 01:37:31.170]  So we're seeing good signs there.
[01:37:35.310 --> 01:37:36.170]  All right, now.
[01:37:37.620 --> 01:37:40.399]  George Foreman, I don't know him, but he lived in Texas.
[01:37:40.619 --> 01:37:41.739]  I don't know a lot of people that know him.
[01:37:41.920 --> 01:37:43.859]  They just say he's the sweetest, nicest guy.
[01:37:44.300 --> 01:37:46.140]  Donated most of his money to Christian charities.
[01:37:46.479 --> 01:37:47.840]  Was a big preacher.
[01:37:48.079 --> 01:37:48.920]  Raised a great family.
[01:37:49.260 --> 01:37:51.199]  Just, they say he's the nicest guy ever.
[01:37:51.420 --> 01:37:52.699]  Big fan of him growing up.
[01:37:53.239 --> 01:37:53.899]  He's dead.
[01:37:54.960 --> 01:37:56.279]  Reportedly still in great shape.
[01:37:56.460 --> 01:38:04.100]  Still fighting when he was, you know, 60. And he took, I looked it up, eight COVID shots.
[01:38:04.300 --> 01:38:08.359]  Pfizer. And the Moderna's the same shot, it's just the equivalent of four.
[01:38:09.140 --> 01:38:11.720]  So he took the equivalent of two Modernas.
[01:38:14.060 --> 01:38:17.560]  Now that'd be, you know, two Modernas, but he actually took Pfizer's.
[01:38:19.229 --> 01:38:21.130]  He went out there as an ambassador for it.
[01:38:21.229 --> 01:38:23.409]  He said, take it so you can't get sick and get others sick.
[01:38:23.829 --> 01:38:30.550]  Rachel Maddow got paid all that money on top of her salary at MSNBC, 80-something thousand dollars per plug for two years to say, take it.
[01:38:30.689 --> 01:38:31.670]  You can't get COVID.
[01:38:31.770 --> 01:38:32.470]  You can't share it.
[01:38:32.770 --> 01:38:33.449]  Biden said it.
[01:38:33.550 --> 01:38:34.430]  They all knew it was a lie.
[01:38:34.550 --> 01:38:36.829]  When it came out, they knew it didn't help you to erase your immune system.
[01:38:37.010 --> 01:38:43.029]  It was in the FDA memo of probable side effects and adverse reactions October 2020.
[01:38:43.890 --> 01:38:45.130]  You just type into a search engine.
[01:38:45.229 --> 01:38:45.670]  You click images.
[01:38:46.189 --> 01:38:47.550]  It's still on the CDC website.
[01:38:49.819 --> 01:38:50.800]  It's on their site, too.
[01:38:50.960 --> 01:39:01.659]  FDA. FDA list of probable or possible adverse reactions to COVID mRNA vaccine, which isn't a vaccine.
[01:39:02.060 --> 01:39:09.140]  And it has the myocarditis, the heart attacks, the blood clots, the infertility, the turbo cancer, narcolepsy, epilepsy.
[01:39:09.300 --> 01:39:09.960]  Yeah, there it is.
[01:39:10.039 --> 01:39:11.680]  God, the crew found that fast, even though I was going there.
[01:39:12.120 --> 01:39:18.060]  FDA safety surveillance of COVID-19 vaccines, draft working list of possible adverse events, outcomes, subject to change.
[01:39:18.159 --> 01:39:19.159]  That's just one page of it.
[01:39:19.220 --> 01:39:19.680]  It goes on and on.
[01:39:20.319 --> 01:39:21.560]  So there's over 80 of them.
[01:39:21.720 --> 01:39:24.859]  So that's the reality here.
[01:39:25.500 --> 01:39:29.060]  Okay? So we just put the info out so you can look it up for yourself and understand it.
[01:39:31.199 --> 01:39:38.119]  So Kennedy, a month ago, as the new HHA said, right when he got in, killed the rollout of the 12th booster.
[01:39:38.319 --> 01:39:39.060]  He said no.
[01:39:39.710 --> 01:39:40.750]  And now they're moving.
[01:39:40.869 --> 01:39:49.430]  I already told all the big food companies, the thousands of chemicals you add that have a waiver to even be investigated that we know are super dangerous and addictive like aspartame.
[01:39:50.310 --> 01:39:52.649]  We are revoking that from you.
[01:39:52.710 --> 01:39:53.569]  So that's seismic.
[01:39:53.869 --> 01:39:55.250]  So we're moving in the right direction.
[01:39:55.710 --> 01:39:59.789]  Marjorie Taylor Greene demands FDA pull approval of dodgy, way beyond dodgy.
[01:40:00.310 --> 01:40:01.289]  We know what it does.
[01:40:01.989 --> 01:40:02.970]  It raises your immune system.
[01:40:03.069 --> 01:40:04.189]  It has all these cancer viruses in it.
[01:40:04.289 --> 01:40:05.310]  It has an HIV spike protein.
[01:40:05.310 --> 01:40:11.370]  to make your body replicate a prion crystal infestation similar to what causes spongiform cephalophathy or mad cow disease.
[01:40:11.370 --> 01:40:17.579]  Marjorie Taylor Greene demands FDA pull approval of dodgy COVID vaccine causing permanent harm and death.
[01:40:18.670 --> 01:40:20.810]  Yes! Think how far we've come, folks.
[01:40:21.420 --> 01:40:23.470]  Here is George Foreman taking one of the shots.
[01:40:23.760 --> 01:40:30.710]  I told her I would relax when she get ready to give the shot.
[01:40:30.710 --> 01:40:34.630]  What is that Joe?
[01:40:34.640 --> 01:40:35.520]  Oh, I don't mind.
[01:40:35.579 --> 01:40:36.560]  I'm not afraid of a shot.
[01:40:39.439 --> 01:40:43.579]  Now, you would think that I've been in the ring with Joe Frazier, Muhammad Ali.
[01:40:44.180 --> 01:40:45.260]  You named them.
[01:40:46.079 --> 01:40:48.180]  But that shot looked bigger than all of them.
[01:40:51.220 --> 01:40:52.220]  Oh, wow.
[01:40:52.220 --> 01:40:57.990]  Thank you.
[01:40:58.000 --> 01:40:58.640]  Thank you.
[01:41:01.319 --> 01:41:05.800]  Now, if you have any questions for me, if the mirror is done, I'd be happy to answer them.
[01:41:09.079 --> 01:41:10.340]  Can we get a Band-Aid?
[01:41:13.579 --> 01:41:23.539]  We love you, Joe.
[01:41:23.840 --> 01:41:24.579]  So sad.
[01:41:24.699 --> 01:41:26.539]  Hank Aaron died a week after he took it.
[01:41:26.720 --> 01:41:28.939]  William Shakespeare related to him, the oldest man in England.
[01:41:31.880 --> 01:41:33.180]  He took it and died right after.
[01:41:33.899 --> 01:41:35.020]  It wasn't the oldest man in England.
[01:41:35.100 --> 01:41:35.239]  I don't know.
[01:41:35.539 --> 01:41:38.439]  He was like the only living direct relative of him.
[01:41:38.579 --> 01:41:38.720]  I'm sorry.
[01:41:39.140 --> 01:41:39.979]  He took it and died.
[01:41:40.659 --> 01:41:41.920]  And we know it does it.
[01:41:42.359 --> 01:41:44.720]  So, absolutely insane.
[01:41:48.579 --> 01:41:50.020]  All right, let me hit some more news.
[01:41:50.100 --> 01:41:51.279]  I'm going to get to the really hilarious stuff.
[01:41:51.960 --> 01:42:00.260]  Representative Andy Ogles drafts articles of impeachment against longtime Democrat activist judge overruling that Doge lightly violated the Constitution by shutting down USAID.
[01:42:00.619 --> 01:42:08.680]  When it's clearly under Article 2. Elon Musk threatens Pentagon leakers after a New York Times report of secret China war briefing.
[01:42:08.720 --> 01:42:11.779]  Now we're told there is a criminal investigation of that going on.
[01:42:12.359 --> 01:42:13.119]  Gotta push back.
[01:42:14.399 --> 01:42:23.500]  If Chief Justice John Roberts is hobnobbing with the most wicked and heinous people in America, private elitist functions, how can he be trusted and make a sound decision for the American people?
[01:42:23.659 --> 01:42:26.260]  Now this is a good Gateway Pundit article, but it's 100 times worse than that.
[01:42:26.300 --> 01:42:27.760]  I did a report yesterday you should go watch.
[01:42:28.260 --> 01:42:30.000]  It's on X, it's on Bandit Video.
[01:42:30.900 --> 01:42:48.359]  Chief Justice Roberts is part of a private intelligence agency with the DOJ, other top judges, and lawyers where they admit it's secret, but when they advertise joining it, the INS legal group, there's others like it, that you, quote, get in with high-value judges and wealthy people.
[01:42:48.539 --> 01:42:54.359]  I mean, it's all to get in there and have ex parte, meaning secret communications, to do whatever they want.
[01:42:55.199 --> 01:42:56.880]  And that's why he keeps ruling against Trump.
[01:42:58.239 --> 01:43:00.119]  And here's my breakdown of it.
[01:43:00.270 --> 01:43:02.390]  If you want to find the report, it's on Infowars.com.
[01:43:03.050 --> 01:43:11.510]  Watch. Chief Justice Roberts has been caught taking part in a secret rogue private intelligence agency at the heart of the deep state.
[01:43:12.729 --> 01:43:15.189]  Gangsters, terrorists, the deep state, judicial tyranny.
[01:43:16.909 --> 01:43:20.590]  Another important article with a video on Infowars.com.
[01:43:22.710 --> 01:43:25.050]  And Trump continues to take it to him.
[01:43:26.189 --> 01:43:31.720]  He's not just pulled the national security clearance of A whole bunch of leftist DAs and Soros people.
[01:43:31.819 --> 01:43:33.119]  Well, how do they have that at the state level?
[01:43:33.300 --> 01:43:34.800]  Because they're in the globalist system.
[01:43:35.699 --> 01:43:38.500]  But he's also pulled it now from much of the big law firms.
[01:43:39.000 --> 01:43:42.939]  Trump revoked security clearance of Hillary Clinton, Kamala Harris, and the radical left Kamal.
[01:43:43.159 --> 01:43:51.380]  And of course, he already did Brennan and the 51 spies that put out all the lies about Hunter Biden's laptop saying it wasn't real.
[01:43:54.220 --> 01:43:58.140]  Very, very exciting times to be alive.
[01:44:02.189 --> 01:44:05.930]  I want to play this, but in the interest of time, I'm not.
[01:44:06.029 --> 01:44:11.510]  I'll probably get to this on the Sunday show out of the Infowork studios tomorrow, 4 to 8 p.m.
[01:44:11.909 --> 01:44:14.430]  But people are saying, you know, don't trust Bill Maher.
[01:44:14.970 --> 01:44:16.329]  Trump should meet with him.
[01:44:17.670 --> 01:44:20.930]  I don't trust Bill Maher, but Bill Maher is smart.
[01:44:22.050 --> 01:44:26.829]  And Bill Maher at least has been pro-free speech when the left wasn't.
[01:44:27.130 --> 01:44:29.550]  And he said it was wrong that I got banned and taken off.
[01:44:30.130 --> 01:44:31.770]  The internet seven years ago.
[01:44:32.289 --> 01:44:34.149]  So I disagree with Bill Maher.
[01:44:34.710 --> 01:44:36.130]  I don't trust Bill Maher.
[01:44:36.250 --> 01:44:38.210]  But when it comes to free speech, he at least is good on that.
[01:44:38.529 --> 01:44:46.770]  And he has been saying, while still backhanding Trump for both sides of his audience, that, you know, the Democrats are killing themselves or destroying everything.
[01:44:46.989 --> 01:44:48.710]  We might as well give Trump a shot.
[01:44:49.310 --> 01:44:52.550]  And so he's now going to interview Trump.
[01:44:52.710 --> 01:44:53.869]  And it's going to be massive.
[01:44:54.850 --> 01:44:56.289]  And so...
[01:44:56.289 --> 01:44:59.590]  I don't think Trump should waste his time going on CNN, MSNBC.
[01:44:59.590 --> 01:45:00.130]  They don't have an audience.
[01:45:00.420 --> 01:45:01.880]  Bill Maher does have an audience.
[01:45:02.619 --> 01:45:10.520]  And if we can get Bill Maher, who's getting torn up on his podcast by all his guests and everybody, to further come over to us, it doesn't mean we ever turn our back on him.
