[00:00:00.069 --> 00:00:01.609]  Threat to America.
[01:57:23.729 --> 01:57:24.990]  Of which way do you want to go?
[01:57:25.670 --> 01:57:34.254]  And without people even saying, on both sides of Barton Springs, everyone just turned their backs on these people and looked at the sunset and the moonrise.
[01:57:36.955 --> 01:57:48.781]  And I walked up about 200 yards, and probably 60% of the people I saw there, when I say it wasn't busy, there were probably 100 people there instead of 1,000, like there are at peak times or more.
[01:57:49.755 --> 01:57:52.338]  They were all, hey Alex, appreciate what you're doing, appreciate what you work.
[01:57:52.758 --> 01:57:55.041]  You know, just turn your back on them, just don't look at them.
[01:57:55.061 --> 01:58:01.468]  And it was like a spiritual moment as everyone turned their backs on these people as they yelled for 25 minutes.
[01:58:01.789 --> 01:58:07.775]  They were back in the distance and they screamed even louder with their hands on the chain link fence like literal demons.
[01:58:09.131 --> 01:58:10.072]  Look at you, old man.
[01:58:10.092 --> 01:58:11.213]  You're gonna die, old man.
[01:58:11.474 --> 01:58:13.736]  Look at your speedos and your little such-and-such.
[01:58:14.056 --> 01:58:14.977]  I'd like to kill you.
[01:58:14.997 --> 01:58:16.639]  Yeah, come over here and do something, old man.
[01:58:16.979 --> 01:58:17.420]  Come over here.
[01:58:17.760 --> 01:58:27.590]  And as a man, I wanted to climb over there and literally, you know, Conan the Barbarian, at an instinctive level, tribally, 5,000 years ago, we'd have got together as men and gone over there and dealt with him.
[01:58:28.311 --> 01:58:30.853]  But see, now we're domesticated, so we call the police to come do it.
[01:58:31.594 --> 01:58:35.216]  But see, they were literally like bad guys out of the Road Warrior.
[01:58:35.816 --> 01:58:38.417]  That's what these guys were like, just truly evil.
[01:58:38.477 --> 01:58:39.958]  But we all turned our backs on them.
[01:58:40.258 --> 01:58:41.639]  We have to do that to the globalists.
[01:58:42.179 --> 01:58:48.062]  We have to fight them, speak out against them, but also remove our consent at a spiritual level.
[01:58:48.582 --> 01:58:49.823]  Separate ourselves from them.
[01:58:51.599 --> 01:58:57.547]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[01:58:57.767 --> 01:59:01.952]  Most people know that iodine deficiency has been a crisis around the world.
[01:59:02.333 --> 01:59:06.899]  Iodine is key to so many of the body's functions, especially the thyroid.
[01:59:07.299 --> 01:59:09.902]  I discovered a product being developed by Dr. Group.
[01:59:10.202 --> 01:59:15.387]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[01:59:15.667 --> 01:59:22.553]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare-earth, deep-earth crystals.
[01:59:23.054 --> 01:59:26.837]  And the results that I personally have had have been life-changing.
[01:59:27.177 --> 01:59:31.982]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[01:59:32.282 --> 01:59:40.727]  This is innovating, and the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[01:59:40.747 --> 01:59:44.969]  For a limited time, experience the ancient power of Survival Shield X2.
[01:59:45.170 --> 01:59:50.713]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLive.com.
[01:59:54.095 --> 01:59:55.996]  Waging war on corruption.
[01:59:56.456 --> 01:59:59.158]  Alex Jones on the GCM Radio Network.
[02:00:07.048 --> 02:00:11.250]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:00:11.870 --> 02:00:12.671]  You want answers?
[02:00:13.451 --> 02:00:14.351]  Well, so does he.
[02:00:15.012 --> 02:00:18.613]  He's Alex Jones on the GCN Radio Network.
[02:00:19.194 --> 02:00:23.256]  And now, live from Austin, Texas, Alex Jones.
[02:00:39.833 --> 02:00:40.774]  We're in Louisiana.
[02:00:40.794 --> 02:00:46.877]  I'm going to spend this five minutes with you, then we'll come back and go to Bob and Roberto and Nate and Judy and folks that have been holding.
[02:00:48.658 --> 02:00:53.040]  You ask, either your friends are awake or people you know are totally unawake.
[02:00:53.080 --> 02:00:54.561]  That's how the universe works.
[02:00:56.142 --> 02:00:58.763]  You were hot or cold, so I spit you out of my mouth.
[02:00:59.603 --> 02:01:02.325]  People that think they take the middle of the road, that's where you get run over.
[02:01:03.851 --> 02:01:07.013]  And if people aren't going to wake up now, I would just move on from them.
[02:01:07.033 --> 02:01:09.094]  If you want to plant some seeds, warn them.
[02:01:09.514 --> 02:01:10.894]  Maybe down the road they're going to listen.
[02:01:13.216 --> 02:01:21.240]  I grieve and feel frustrated like a mouse trying to get out of a cage that's been thrown into a pond.
[02:01:21.260 --> 02:01:28.443]  And I kind of overheat on air and I scrabble around and I get upset because I know I'm right.
[02:01:29.464 --> 02:01:31.945]  And I know how epic this evil is that's growing.
[02:01:37.495 --> 02:01:44.501]  And I know that we have really bad people in control, and that the elites have just decided to let everything go to hell in a handbasket.
[02:01:44.681 --> 02:01:46.942]  Because it is hard to manage stuff and try to have a good world.
[02:01:48.223 --> 02:01:51.446]  It's hard to take the high road, in some respects.
[02:01:52.307 --> 02:01:55.990]  Until you've done it long enough, and then there's... you don't know any other way.
[02:01:56.994 --> 02:01:58.775]  But for people that have learned how to cheat?
[02:01:59.515 --> 02:02:04.276]  See, it's an economy based on cheating and manipulation rather than based on quality.
[02:02:04.816 --> 02:02:07.557]  And a lot of that is just the general decadence of the population.
[02:02:09.318 --> 02:02:10.918]  So we can't just blame the establishment.
[02:02:11.518 --> 02:02:14.779]  That's why more and more I get emails going, hey, why are you defending the police?
[02:02:16.780 --> 02:02:18.360]  You're the guy that exposed the police state.
[02:02:18.380 --> 02:02:24.062]  Well, yeah, I wanted to stop the globalists converting our police to a police state because the globalists are in control.
[02:02:24.482 --> 02:02:25.403]  I'm against that.
[02:02:25.443 --> 02:02:26.463]  I'm not against the police.
[02:02:28.240 --> 02:02:32.621]  The police really believe when they're out violating rights, most of the time they're trying to actually protect people.
[02:02:33.541 --> 02:02:36.682]  And you're not going to wake them up just calling them a bunch of scum.
[02:02:38.223 --> 02:02:39.983]  And then we're going to end up having a civil war.
[02:02:40.944 --> 02:02:43.164]  Which is bad for everybody except the controllers.
[02:02:44.364 --> 02:02:47.285]  So I don't want to be putting a pin like two roosters to kill each other.
[02:02:47.685 --> 02:02:48.846]  I want to be smarter than that.
[02:02:49.586 --> 02:02:54.627]  And I'm to blame for letting our government get out of control like this and turn our police into this.
[02:02:55.027 --> 02:02:55.588]  Or try to.
[02:02:56.208 --> 02:02:56.788]  You're to blame.
[02:02:58.416 --> 02:03:04.158]  I'm to blame for shopping at big corporate stores instead of, you know, trying to, thrift stores and farmers markets.
[02:03:04.178 --> 02:03:07.360]  I mean, I do some of that, but I know the right answers.
[02:03:07.440 --> 02:03:08.380]  I know how to live.
[02:03:08.700 --> 02:03:10.521]  I know what to do, but I don't do it.
[02:03:13.102 --> 02:03:21.065]  Like, I knew everybody was going to sit there and watch those white trash convict type people call people horrible names and just ha ha ha.
[02:03:21.125 --> 02:03:22.085]  I mean, they were demons.
[02:03:23.166 --> 02:03:26.207]  And I didn't go to my car and get my cell phone and call the police.
[02:03:29.309 --> 02:03:30.710]  But maybe that was the right thing to do.
[02:03:31.270 --> 02:03:34.953]  It went on for 30 minutes, they finally did call and they laughed at everybody and left.
[02:03:37.375 --> 02:03:40.898]  And half of me was like, I don't want to call the police and use the system against these people.
[02:03:42.819 --> 02:03:43.360]  But then I knew.
[02:03:43.420 --> 02:03:44.160]  I said, they'll wait.
[02:03:44.240 --> 02:03:45.221]  Criminals know how to wait.
[02:03:45.501 --> 02:03:47.963]  They'll wait till they get told the police are coming and then they'll leave.
[02:03:48.563 --> 02:03:55.749]  It was all just their way to be nasty and like the Wicked Witch showing up at the lollipop party and, you know, urinating in the punch bowl.
[02:03:57.602 --> 02:04:10.805]  I mean, at a real level, justice was, when they were messing with every old man or old woman that walked by, that's what they were messing with, the weak, was to go over there, climb over that fence, and, you know, pick up, I mean, you know, just, but that was wrong too.
[02:04:11.346 --> 02:04:20.448]  Again, last night was a microcosm of just everything else in the world, where, here's these horrible road warrior-like animals,
[02:04:22.694 --> 02:04:23.935]  And then the police come over.
[02:04:23.955 --> 02:04:28.817]  They're just confused and under pressure and trying to follow orders.
[02:04:29.238 --> 02:04:31.259]  And you got the public all sitting there in the middle.
[02:04:32.920 --> 02:04:35.261]  What type of culture produced trash like that?
[02:04:36.442 --> 02:04:39.283]  I guarantee you trash like that in the Old West wouldn't have been around very long.
[02:04:42.105 --> 02:04:46.027]  It's just the decadence of the society has allowed evil to grow.
[02:04:47.588 --> 02:04:48.629]  Dishonorable evil.
[02:04:49.517 --> 02:04:57.315]  There's always been slick and powerful evil, but just the weakest, most hunchbacked forms of it are just crawling around everywhere, growing.
[02:04:57.516 --> 02:04:59.019]  I'll come back to you, Terry, in a minute.
[02:04:59.160 --> 02:04:59.440]  Or Trey.
[02:05:01.909 --> 02:05:02.990]  Open your eyes.
[02:05:03.410 --> 02:05:06.373]  It's time to give your eyes a powerful nutritional boost.
[02:05:06.853 --> 02:05:13.059]  Sight is the primary input to the brain, arguably making eyesight the most important sense we have.
[02:05:13.339 --> 02:05:21.426]  And just like the other important organs in our bodies, our eyes function at peak levels when they are fed the proper amounts of essential nutrition.
[02:05:21.746 --> 02:05:22.747]  Open your eyes.
[02:05:23.107 --> 02:05:38.142]  Combining key ingredients like vitamin A, zinc, lutein, proprietary saffron bulb extracts and more, Occupower by InfoWars Life is a new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[02:05:38.722 --> 02:05:46.269]  Optimize the natural power of your eyes with the latest addition to the super high quality InfoWars Live formulations, Occupower.
[02:05:46.510 --> 02:05:51.754]  Go to InfoWarsLive.com or InfoWarsStore.com to order Occupower.
[02:05:52.055 --> 02:05:52.535]  Or call 1-888-253-3139.
[02:05:52.555 --> 02:05:53.096]  Occupower.
[02:05:53.136 --> 02:05:53.776]  Open your eyes.
[02:06:01.499 --> 02:06:08.381]  I'm David Hall, founder of Diamond Gusset, where we are proud of our 100% grown and sewn American-made jeans.
[02:06:08.781 --> 02:06:16.104]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of style and sizes for any occasion.
[02:06:16.684 --> 02:06:21.225]  Our loyal customers enable us to continue sponsoring Liberty Media outlets.
[02:06:22.205 --> 02:06:27.027]  Use promo code FREEDOM to receive a 15% discount at gusset.com.
[02:06:27.587 --> 02:06:30.508]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[02:06:31.021 --> 02:06:34.522]  The government's Department of Homeland Security is buying up loads of ammo.
[02:06:34.682 --> 02:06:38.643]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[02:06:38.963 --> 02:06:40.423]  Can you put two and two together?
[02:06:40.743 --> 02:06:48.325]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[02:06:48.585 --> 02:06:49.446]  But for how long?
[02:06:49.746 --> 02:06:51.726]  Go to infidelbodyarmor.com.
[02:06:51.946 --> 02:06:56.007]  Spelled I-N-F-I-D-E-L bodyarmor.com.
[02:06:56.367 --> 02:06:57.548]  Infidel Body Armor.
[02:06:58.248 --> 02:06:59.188]  Just won't quit.
[02:07:01.136 --> 02:07:07.085]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[02:07:07.285 --> 02:07:11.491]  Most people know that iodine deficiency has been a crisis around the world.
[02:07:11.871 --> 02:07:16.438]  Iodine is key to so many of the body's functions, especially the thyroid.
[02:07:16.818 --> 02:07:19.439]  I discovered a product being developed by Dr. Group.
[02:07:19.739 --> 02:07:24.922]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[02:07:25.202 --> 02:07:32.065]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[02:07:32.585 --> 02:07:36.347]  And the results that I personally have had have been life-changing.
[02:07:36.707 --> 02:07:41.489]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
