[00:00:00.109 --> 00:00:00.930]  But here's the goal.
[01:44:41.511 --> 01:44:49.237]  So there's a real desperation here, ladies and gentlemen, and I see the lackadaisical attitude of the general public, and it enrages me.
[01:44:50.950 --> 01:44:51.790]  But it's not their fault.
[01:44:51.850 --> 01:44:59.534]  They've been put, since birth, in front of a TV, in a trance state, and we are a nation and a world of watchers, not of doers.
[01:45:00.594 --> 01:45:03.275]  So you better start doing now, instead of watching.
[01:45:03.295 --> 01:45:06.537]  But they want you locked up in your house, watching, not doing.
[01:45:08.558 --> 01:45:09.558]  They want jellyfish.
[01:45:09.598 --> 01:45:10.438]  They're conquering us.
[01:45:10.859 --> 01:45:13.980]  This is an electronic, psychic, spiritual takeover.
[01:45:14.720 --> 01:45:16.281]  This is an overriding of the planet.
[01:45:16.841 --> 01:45:18.602]  This is systematically planned out.
[01:45:20.703 --> 01:45:22.203]  Mark of the Beast, the whole nine yards.
[01:45:22.283 --> 01:45:27.145]  So yes, I will tell listeners, I appreciate your support keeping us in the fight.
[01:45:27.885 --> 01:45:30.365]  And I've got things and products that all of you already need.
[01:45:30.986 --> 01:45:43.649]  And so I'll just tell you again, with the things we go through here and what it takes to even stay in a position to defeat the globalists and the criminal nature of the system, that if you haven't flooded us with support while getting good products at the same time, we wouldn't be here.
[01:45:44.309 --> 01:45:47.850]  And my frustration isn't like I'm some victim saying, please stay, keep me in the fight.
[01:45:48.610 --> 01:45:53.052]  The longer I'm kept in the fight, the more they just want to kill me or put me in prison, which is fine.
[01:45:53.532 --> 01:45:54.332]  I'm not suicidal.
[01:45:54.352 --> 01:46:04.555]  I'll never commit suicide, but I'm really not worried about them grabbing me or putting me in handcuffs, because all that matters is I'm going to continue my mission, not backing down to the end, and that's all in God's plan.
[01:46:05.576 --> 01:46:14.259]  But I do want to do it to the fullest extent I can, and that's why I'm asking folks that are around me and everybody else to take this damn serious, because this is damn serious.
[01:46:14.459 --> 01:46:15.359]  This is damn real.
[01:46:16.219 --> 01:46:16.459]  So, X3.
[01:46:18.390 --> 01:46:19.212]  The UN reports.
[01:46:20.255 --> 01:46:21.920]  And again, they report all this because they run it.
[01:46:23.126 --> 01:46:27.448]  Almost 3 million people have lower IQs or mental cognitive disabilities.
[01:46:27.988 --> 01:46:32.770]  Just go search, even on NIH.gov, because they don't have enough iodine.
[01:46:33.050 --> 01:46:34.111]  The globalists love that.
[01:46:34.151 --> 01:46:37.392]  That's why the average person is like a retarded jellyfish, because they are.
[01:46:37.873 --> 01:46:38.373]  Very sad.
[01:46:38.733 --> 01:46:39.994]  We have X3 selling out.
[01:46:40.094 --> 01:46:41.294]  X2 should be back in soon.
[01:46:41.314 --> 01:46:43.995]  60% off, limited edition, InfoWars.
[01:46:44.356 --> 01:46:50.518]  COVID masks, so you can go out during the clownery, during the terror theater and educate folks.
[01:46:50.838 --> 01:46:51.018]  That's $9.95.
[01:46:53.015 --> 01:46:56.536]  Real Red Pill, Real Red Pill Plus, 50% off with the zinc and so much more.
[01:46:56.556 --> 01:46:57.917]  That's just good for your life in general.
[01:46:58.537 --> 01:47:03.419]  Ultra 12, high quality vitamin B12, take it under the tongue, get great absorption, that's essential.
[01:47:04.219 --> 01:47:07.601]  40% off Vitamin Mineral Fusion with the zinc and so much more, and amino acids.
[01:47:07.621 --> 01:47:10.282]  50% off Winter Sun, 50% off with the vitamin K as well.
[01:47:10.922 --> 01:47:13.504]  That's together in the same model, Winter Sun Plus.
[01:47:13.904 --> 01:47:16.645]  Alexa Pure Breeze, 30% off, great air filtration.
[01:47:16.965 --> 01:47:20.748]  Body's Ultimate Turmeric Formula, 95% humanoid, 40% off.
[01:47:21.108 --> 01:47:22.048]  Turbo Force, 40% off.
[01:47:22.148 --> 01:47:24.990]  Restorable Food, available now for order.
[01:47:25.070 --> 01:47:27.411]  Again, had to pause it to make sure the other orders got out.
[01:47:28.092 --> 01:47:30.433]  Super Metal Vitality, back in stock, 35% off.
[01:47:30.713 --> 01:47:37.017]  And Emrix Essentials Hand Sanitizer Combo, 50% off, or get them individually in peppermint,
[01:47:38.081 --> 01:47:40.744]  And of course in, what is it, lavender?
[01:47:41.605 --> 01:47:50.374]  All right, Joel Skousen's with us, and then we'll continue with your phone calls after he leaves us here on this live April 21st, 2020, Tuesday edition.
[01:47:54.674 --> 01:47:56.296]  And we are inside the new world order now.
[01:47:57.157 --> 01:48:01.221]  World government forced inoculations, IDs to travel.
[01:48:02.182 --> 01:48:05.686]  This is the beginning, the training wheels for what they're trying to roll out.
[01:48:05.706 --> 01:48:08.670]  Meanwhile, the UN itself says, give us lots of money.
[01:48:08.690 --> 01:48:12.794]  30 extra million people are going to starve this year.
[01:48:13.675 --> 01:48:30.448]  The Globe and Mail out of Canada reports World Food Program warns at least 30 million people could die of starvation during pandemic when it's their shutdown of the Western world that's triggering this cascade that hasn't even killed 200,000, 300,000 people worldwide.
[01:48:30.488 --> 01:48:37.794]  We know they're saying that everyone that dies of any other cause that tests positive for any coronavirus in most of the tests they're saying is this.
[01:48:38.574 --> 01:48:39.695]  So is the virus a hoax?
[01:48:40.176 --> 01:48:40.936]  I'm saying no.
[01:48:41.917 --> 01:48:43.018]  Did it come out of Wuhan?
[01:48:43.078 --> 01:48:48.002]  Was it released because Bill and Melinda Gates have it patented and can have this whole industry on tracking it?
[01:48:48.262 --> 01:48:49.023]  Absolutely!
[01:48:49.423 --> 01:49:00.051]  Which is then tied to a bracelet you wear, a watch you wear, a phone you have, or a chip, or even liquid ink under the skin that's tied to that to buy and sell.
[01:49:00.591 --> 01:49:02.413]  All seven and a half billion people take it.
[01:49:02.893 --> 01:49:07.437]  Bill Gates says that 700,000 will get sick or die, but that's a good cost to pay.
[01:49:07.457 --> 01:49:11.480]  This is like a Bond villain or something.
[01:49:12.844 --> 01:49:14.825]  To actually watch all of this unfold?
[01:49:14.845 --> 01:49:23.588]  We're going to be discussing that here with our guest, and where he sees all of this going, and can Trump turn the economy on?
[01:49:24.128 --> 01:49:26.409]  The blue states are under mutiny.
[01:49:26.829 --> 01:49:29.730]  They're being directed by the WHO that's been involved in the cover-up.
[01:49:30.110 --> 01:49:34.112]  Phil Skousen was a Marine Corps officer in the Vietnam era.
[01:49:34.552 --> 01:49:37.114]  Joel, I'm telling you, this is a very exciting time to be alive.
[01:49:52.785 --> 01:49:53.465]  I'm beyond angry right now.
[01:49:53.485 --> 01:49:54.606]  I am just fuming and disgusted.
[01:49:54.626 --> 01:49:55.446]  It's a feeling I've never had.
[01:50:11.306 --> 01:50:14.028]  America's been so satanic and done so many bad things.
[01:50:14.068 --> 01:50:17.649]  We deserve this on one hand, but the innocents don't deserve this on the other.
[01:50:18.210 --> 01:50:26.314]  And to see so much of the public going into bondage and submitting, and to see us buying into this, and to see how transparent this attack is and the cover-up.
[01:50:26.614 --> 01:50:27.935]  But then there's also good news.
[01:50:27.955 --> 01:50:29.016]  A lot of people are waking up.
[01:50:30.056 --> 01:50:31.857]  What are you seeing right now, Joel Skousen?
[01:50:34.639 --> 01:50:39.001]  Well, Alex, I am also extremely disturbed, mostly by
[01:50:40.498 --> 01:50:58.025]  The acceptance of normal people of what's been done in the name of executive orders, governors, state levels, even county people have been shut, health officials have been allowed to shut down the economies in a local county without any really real authority.
[01:50:58.065 --> 01:51:03.347]  So I'm really worried and a lot of this is because of the excessive awe and reverence
[01:51:04.079 --> 01:51:09.643]  The establishment media has established over the years in the education system over medicine.
[01:51:10.464 --> 01:51:11.765]  The establishment medical system.
[01:51:11.805 --> 01:51:13.606]  These people are treated like gods.
[01:51:14.347 --> 01:51:33.282]  And they're nothing but a bunch of yes-men to establishment medical protocols, which bind them down under threat of losing their job in a hospital if they ever deviate from these protocols, which are hostile in the extreme to all of the natural health, easy remedies for any virus, including coronavirus,
[01:51:33.752 --> 01:51:37.713]  Things that I've covered since January 31st in the World Affairs Brief.
[01:51:38.373 --> 01:51:43.074]  So, you know, don't go running after hydroxychloroquine.
[01:51:43.174 --> 01:51:45.454]  Don't go running after any vaccine or drug.
[01:51:45.514 --> 01:51:46.814]  These things are poisonous.
[01:51:47.214 --> 01:51:48.535]  These things have side effects.
[01:51:48.595 --> 01:51:50.175]  That's the worst thing to do.
[01:51:50.215 --> 01:51:59.736]  In fact, we now know that if anybody took the flu shot, the chances are 67% greater they're going to test positive for the coronavirus, which isn't a valid test, by the way.
[01:52:00.197 --> 01:52:02.977]  As you pointed out, it picks up every coronavirus, not just
[01:52:03.618 --> 01:52:15.829]  COVID-19, which is a very difficult test to do, taking out three portions of the genome, you know, it would take weeks to do a proper test on COVID-19, and they're not doing that.
[01:52:16.149 --> 01:52:30.202]  But it's driving all of our state legislators, all of our governors, except for South Dakota, which is, Lester Hart has kept faithful to the Constitution, that I'm not shutting down, you know, this economy, but everybody else is nearly following suit.
[01:52:31.118 --> 01:52:32.739]  And President Trump as well.
[01:52:33.080 --> 01:52:42.287]  So it's a very sad situation and I think I've got at least a remedy that I want to suggest that I think could help.
[01:52:43.248 --> 01:52:44.769]  Well, please talk about it, Joel Skousen.
[01:52:47.031 --> 01:52:53.597]  Well, the essential problem is that there is no explicit language in any of these emergency bills that says
[01:52:54.269 --> 01:52:58.913]  That we are authorizing the Governor, the President, etc., to violate people's fundamental rights.
[01:52:59.194 --> 01:53:05.459]  But that's exactly what it's doing because of the broad language in these emergency power legislations.
[01:53:05.539 --> 01:53:09.403]  That broad language allows for the violation of rights.
[01:53:09.443 --> 01:53:15.909]  So what I've written in last Friday's World Affairs Brief is a simple one-word
[01:53:16.613 --> 01:53:32.527]  Amendment to any of these pieces of legislation, whether in your state or in the federal government, a one-sentence amendment to all of those that will protect us without having to train legislatures on how to dissect an emergency bill and correct its little things here and there.
[01:53:32.947 --> 01:53:37.551]  We can, with one simple one-line amendment, stop it cold.
[01:53:37.591 --> 01:53:38.492]  And here's the amendment.
[01:53:39.468 --> 01:53:55.722]  The emergency powers granted herein shall not be construed or interpreted to allow any official decree to suspend, undermine, or violate the fundamental civil rights of citizens as listed in this state's Constitution or the Bill of Rights of the U.S.
[01:53:55.762 --> 01:53:56.382]  Constitution.
[01:53:57.784 --> 01:54:03.368]  So you see, it doesn't matter what the general language is in these emergency bills, which are in every state now.
[01:54:03.508 --> 01:54:05.270]  Most of them were passed in the past 10 years.
[01:54:06.698 --> 01:54:14.782]  It simply defines and eliminates any interpretation or construction of the language that will allow you to violate fundamental rights.
[01:54:14.842 --> 01:54:22.847]  And it allows anyone whose fundamental rights have been violated to go to court based upon this amendment that said their emergency powers are limited.
[01:54:22.867 --> 01:54:25.528]  They cannot violate our fundamental rights.
[01:54:28.001 --> 01:54:32.764]  Joel, I don't like to bring myself into these articles, but you really have to when you're in the news.
[01:54:33.045 --> 01:54:36.227]  The View said I'm a terrorist, that people that go out to these things are terrorists.
[01:54:36.707 --> 01:54:37.928]  Here's the headline on The Statesman.
[01:54:38.008 --> 01:54:44.613]  Alex Jones' ex-wife rebuffed in bid to gain daughter's custody after he courted COVID-19 at rally.
[01:54:45.573 --> 01:54:53.140]  And so they even had a hearing yesterday on whether I have full custody to take my children from me because I dared go out and exercise my free speech.
[01:54:53.180 --> 01:54:58.204]  Well, it turned out we had a Texas Supreme Court ruling from a few weeks ago that said what you just said.
[01:54:59.338 --> 01:54:59.558]  That's
[01:55:20.589 --> 01:55:26.654]  That's right, but you know, those rulings don't ever get done unless somebody files suit, which is expensive, and which very few people are.
