[00:00:00.029 --> 00:00:00.929]  We're in an emergency.
[01:41:18.180 --> 01:41:18.881]  Stay with us.
[01:41:26.015 --> 01:41:27.236]  You gotta help him.
[01:41:27.416 --> 01:41:28.417]  I'm bleeding.
[01:41:28.437 --> 01:41:29.958]  I know, but you gotta help him.
[01:41:30.438 --> 01:41:33.080]  Yo, get off.
[01:41:33.140 --> 01:41:34.941]  Get the f*** off.
[01:41:36.362 --> 01:41:40.605]  Did they stab me?
[01:41:40.745 --> 01:41:42.126]  Yeah, girl, he tried to stab you.
[01:41:42.166 --> 01:41:43.747]  They stabbed me.
[01:41:43.787 --> 01:41:45.469]  They stabbed me.
[01:41:45.549 --> 01:41:48.491]  I'm bleeding really badly.
[01:41:48.531 --> 01:41:50.092]  They stabbed Bevelyn Beatty right now.
[01:41:51.516 --> 01:41:52.816]  They just stopped Bill Clinton beating.
[01:41:53.357 --> 01:41:55.997]  Call 9-1-1.
[01:42:04.260 --> 01:42:05.800]  This isn't about saying we're right.
[01:42:06.460 --> 01:42:08.861]  It's what Chad Prather pointed out 15 minutes ago.
[01:42:10.462 --> 01:42:11.242]  When he first joined us.
[01:42:12.361 --> 01:42:17.103]  We're laying out what they say they're going to do, and then they go, oh, you're kooks, Jones and others.
[01:42:17.123 --> 01:42:22.525]  You know, they're claiming that we're going to contest it and we're going to have antifas around the White House and we're going to stab people.
[01:42:23.265 --> 01:42:24.846]  And now they're doing it, Chad.
[01:42:24.906 --> 01:42:25.946]  Now they're doing it, Leigh Ann.
[01:42:25.966 --> 01:42:29.227]  So, so let's walk through those scenarios and get any points you want to.
[01:42:30.408 --> 01:42:36.070]  What happens if they're able to remove Trump versus if Trump can get back in and can stop the steal?
[01:42:36.110 --> 01:42:37.130]  What does he need to do immediately?
[01:42:37.190 --> 01:42:39.331]  I think he'll be on the warpath more now than ever.
[01:42:41.929 --> 01:42:43.790]  Yeah, I think the White House is on the warpath.
[01:42:43.990 --> 01:42:50.394]  I think they're in a situation and they're looking at what their proper recourses are.
[01:42:51.035 --> 01:42:58.299]  But beyond the White House, you know, American citizens, just the hate that they're experiencing for supporting
[01:42:59.099 --> 01:43:04.523]  One candidate or the other, it's insane to watch from the footage you were just showing there.
[01:43:04.964 --> 01:43:07.706]  I mean, you look at the wall they built around the White House.
[01:43:07.766 --> 01:43:09.007]  It looks like the Berlin Wall.
[01:43:09.067 --> 01:43:10.388]  It's a, I mean, you know, double-gated.
[01:43:10.408 --> 01:43:18.294]  It's the idea that we need something like that, that people are out there and right now they don't know whether to riot or not to riot.
[01:43:18.874 --> 01:43:19.655]  It's like a, it's like,
[01:43:20.155 --> 01:43:21.896]  A pit bull that's eating a chicken, right?
[01:43:22.256 --> 01:43:25.097]  And then you pointed another chicken and said, now don't eat that chicken.
[01:43:25.397 --> 01:43:26.458]  No, they've already tasted blood.
[01:43:26.478 --> 01:43:27.238]  They're going to keep coming.
[01:43:27.258 --> 01:43:27.938]  They're going to keep coming.
[01:43:27.958 --> 01:43:28.779]  They're going to keep coming.
[01:43:29.139 --> 01:43:30.740]  And I hope Trump uses the full...
[01:43:32.421 --> 01:43:35.102]  Arsenal of everything he's got to go after them with this.
[01:43:35.142 --> 01:43:36.722]  I hope the recount in Wisconsin.
[01:43:37.263 --> 01:43:39.843]  I hope Giuliani goes to Philadelphia.
[01:43:39.983 --> 01:43:46.305]  I hope they do everything that they can do to push this thing and fight this because this is massive fraud that's going on.
[01:43:46.325 --> 01:43:47.926]  They told us they were going to do it, Alex.
[01:43:48.386 --> 01:43:50.627]  Leigh-Anne, they told us they were going to do it, and they did it.
[01:43:51.007 --> 01:44:00.210]  You're going to stop an election in the middle of the night, see how many votes you're behind, and then come up with a number that puts you in the lead, and that's exactly what they did last night.
[01:44:01.070 --> 01:44:02.310]  It's incredibly obvious.
[01:44:02.450 --> 01:44:03.271]  Right.
[01:44:03.911 --> 01:44:04.091]  Right.
[01:44:04.111 --> 01:44:07.592]  They were saying for months, they were saying that Trump's not going to leave office.
[01:44:07.632 --> 01:44:09.512]  What do we do if he refuses to leave?
[01:44:09.872 --> 01:44:13.013]  He's going to say that the results are illegitimate.
[01:44:13.353 --> 01:44:14.113]  He's going to fight it.
[01:44:14.293 --> 01:44:14.893]  And of course.
[01:44:15.233 --> 01:44:16.233]  So they create the fraud.
[01:44:16.273 --> 01:44:17.334]  They create the scenario.
[01:44:17.374 --> 01:44:19.174]  He's forced to block it because it is a scam.
[01:44:19.434 --> 01:44:22.815]  And then it's a self-fulfilling prophecy for their idiot supporters that he's actually a dictator.
[01:44:22.875 --> 01:44:22.975]  Right.
[01:44:23.095 --> 01:44:24.656]  And then they can say, oh, we've got to get him out.
[01:44:24.696 --> 01:44:25.737]  He's refusing to leave.
[01:44:25.777 --> 01:44:30.842]  And of course, now the Trump campaign, they have filed suit in Michigan to halt the ballot counting.
[01:44:31.122 --> 01:44:32.263]  And one other state.
[01:44:32.503 --> 01:44:33.103]  Wisconsin.
[01:44:33.564 --> 01:44:39.649]  But until the campaign is granted meaningful access to numerous counting locations and a review of all opened and counted ballots.
[01:44:40.029 --> 01:44:42.251]  So they know that there's a steal going on.
[01:44:42.291 --> 01:44:45.353]  They want to make sure, oh, how all of a sudden did you find these 138,000 ballots
[01:44:47.355 --> 01:44:49.717]  Just so happened to be 100% for Biden.
[01:44:50.077 --> 01:44:51.618]  Something's a little bit fishy there.
[01:44:51.638 --> 01:44:53.839]  Were you just hiding these back in the storage closet?
[01:44:53.879 --> 01:44:56.181]  And Trump predicted it 30 minutes before it happened last night.
[01:44:56.401 --> 01:44:56.581]  Right.
[01:44:56.621 --> 01:44:58.802]  And they said, oh, how dare he put out that.
[01:44:59.183 --> 01:45:08.408]  By the way, Chad, I'm not trying to kiss people's ass, but President Trump, literally 74, looked like he'd been resting for two weeks in the Bahamas last night at 4 a.m.
[01:45:08.689 --> 01:45:10.210]  Gives an incredibly accurate speech.
[01:45:10.270 --> 01:45:11.911]  I mean, this guy's freaking phenomenal.
[01:45:12.811 --> 01:45:16.093]  Dude, listen guys, I was dead last night.
[01:45:16.173 --> 01:45:19.295]  We were sitting here waiting on the president to come out and give his speech.
[01:45:19.775 --> 01:45:21.877]  And we were just saying, please, come on, come on.
[01:45:22.257 --> 01:45:24.979]  Donny T., get on stage, man, so we can get out of here.
[01:45:25.699 --> 01:45:28.461]  He comes out looking refreshed, renewed.
[01:45:28.501 --> 01:45:32.043]  I mean, this doesn't look like a guy who had coronavirus, what, five weeks ago.
[01:45:33.604 --> 01:45:34.985]  He's looking good, man.
[01:45:35.065 --> 01:45:36.587]  Strong, full of energy.
[01:45:37.127 --> 01:45:48.517]  And you can't tell me that Joe Biden, who has given up, put a lid on life, waved the white flag of surrender on living, and can't even remember who his granddaughter or his wife or his sons or anybody else.
[01:45:48.937 --> 01:45:49.537]  You can't tell me.
[01:45:49.577 --> 01:45:50.558]  He doesn't know who he is.
[01:45:50.578 --> 01:45:52.100]  70 million people voted for this guy.
[01:45:52.120 --> 01:45:53.020]  You can't tell me.
[01:45:53.401 --> 01:45:54.642]  He doesn't know his own name.
[01:45:55.102 --> 01:45:56.623]  He can't find his way out of the basement.
[01:45:56.643 --> 01:45:59.606]  You're going to tell me 70 million Americans voted for this man.
[01:45:59.626 --> 01:46:00.647]  So let me ask you that question.
[01:46:01.327 --> 01:46:03.969]  If they're able to steal it, what are the repercussions in a snapshot?
[01:46:04.409 --> 01:46:06.491]  I think, I don't want this to happen because I'm not Machiavelli.
[01:46:07.211 --> 01:46:13.576]  I don't believe it justifies the means, but I can look at the awakening, the backlash, the really, people have really stopped being complacent.
[01:46:14.056 --> 01:46:18.059]  If they steal this, they have sowed massive seeds for their destruction.
[01:46:19.912 --> 01:46:25.215]  Well, in many cases, one could look at it, and to an extreme, you could say, well, this is the end of a republic.
[01:46:25.255 --> 01:46:31.478]  I mean, you've got a guy who is incapable of running a country, much less being the leader of the free world in Joe Biden.
[01:46:32.230 --> 01:46:36.632]  Secondly, if he steps down, and there's so many scenarios whereby he could step down.
[01:46:36.692 --> 01:46:40.734]  Maybe in grief because his son Hunter ODs.
[01:46:41.334 --> 01:46:43.195]  Maybe because of scandal that's there.
[01:46:43.495 --> 01:46:52.219]  Maybe he's putting his shoes on the wrong feet and they can't, you know, he's walking into walls and he's just not fit for service in that capacity.
[01:46:52.259 --> 01:46:57.721]  So now you have a socialist, a far-left socialist, who steps into the Oval Office in Kamala Harris.
[01:46:59.668 --> 01:47:06.272]  You could paint a picture for an end of the Republic, because now this becomes a critical election.
[01:47:06.613 --> 01:47:09.975]  This becomes the transformation of the Democratic Party.
[01:47:10.395 --> 01:47:13.657]  Now we're no longer Democratic Party, but it's a Socialist Party.
[01:47:14.318 --> 01:47:15.739]  That's right, it's a Socialist Revolution.
[01:47:15.759 --> 01:47:19.081]  So you're right, I see people waking up in a backlash, but you're right.
[01:47:19.361 --> 01:47:25.105]  They intend, they know that's their weakness, they're going to go pure authoritarian, they've said they are, and really try to mop up the country.
[01:47:25.125 --> 01:47:28.347]  I think you're right, I think it's just, it just can't be allowed to happen.
[01:47:28.547 --> 01:47:29.488]  We can't let this happen.
[01:47:31.190 --> 01:47:32.572]  No, and now they're coming.
[01:47:32.732 --> 01:47:36.257]  They do come at you as Beto O'Rourke says, hell yeah, we're coming for your guns.
[01:47:37.098 --> 01:47:37.799]  So, and they will.
[01:47:38.280 --> 01:47:41.885]  They can basically pack the courts, write the laws, do anything they want to do.
[01:47:41.945 --> 01:47:43.387]  God forbid they get the Senate.
[01:47:44.491 --> 01:47:50.493]  If that were the situation, where they had the House, the Senate, and the White House, they could write anything they want to do.
[01:47:50.873 --> 01:47:58.216]  Scrap the Constitution, scrap the Bill of Rights, get rid of the... So this is an overthrow of America backed by Communist China on record.
[01:47:58.496 --> 01:47:59.396]  They hide it in plain view.
[01:47:59.416 --> 01:48:00.176]  They're not even hiding it.
[01:48:00.656 --> 01:48:02.157]  We really... I'll be honest.
[01:48:02.757 --> 01:48:03.859]  I have a responsibility.
[01:48:04.259 --> 01:48:04.900]  I think you do.
[01:48:05.060 --> 01:48:05.661]  All men do.
[01:48:05.741 --> 01:48:06.342]  Women as well.
[01:48:07.043 --> 01:48:08.885]  I just think we have to do whatever's necessary at this point.
[01:48:09.546 --> 01:48:10.547]  But we can't play under their plan.
[01:48:10.567 --> 01:48:11.949]  We don't want to be offensively violent.
[01:48:11.989 --> 01:48:14.652]  But at a certain point, we just can't let Biden take over.
[01:48:16.118 --> 01:48:18.140]  No, you can't let that happen.
[01:48:18.440 --> 01:48:21.083]  You gotta fight that with every means necessary that's out there.
[01:48:21.684 --> 01:48:22.244]  Use the courts.
[01:48:22.324 --> 01:48:23.265]  Use the Supreme Court.
[01:48:23.866 --> 01:48:25.347]  Push this thing as far as you can.
[01:48:25.467 --> 01:48:25.808]  Fight it.
[01:48:26.168 --> 01:48:30.753]  Like I said, if Joe Biden won this election fair and square, that's one thing, but I just can't believe that he did that.
[01:48:30.773 --> 01:48:31.794]  He's a Tricon agent.
[01:48:32.174 --> 01:48:32.935]  No possible way.
[01:48:32.955 --> 01:48:34.456]  What do you think happens if Biden can't get in?
[01:48:34.596 --> 01:48:35.878]  I just had a scary thought.
[01:48:36.318 --> 01:48:36.598]  What if...
[01:48:37.958 --> 01:48:40.721]  You know, Biden, he's obviously going to get taken out within the first six months.
[01:48:40.741 --> 01:48:42.382]  He's going to, you know, step down, whatever.
[01:48:43.603 --> 01:48:47.746]  But what about third in line, Speaker of the House, Pelosi, president?
[01:48:48.467 --> 01:48:53.090]  Well, under the Constitution, how does that, usually if a president leaves, the vice president comes in.
[01:48:53.110 --> 01:48:53.331]  Yes.
[01:48:53.451 --> 01:48:56.373]  And I forget who then, who makes the vice president, I think the president does.
[01:48:57.714 --> 01:48:58.475]  They appoint that person?
[01:48:58.495 --> 01:49:00.056]  How does that work, Chad?
[01:49:01.229 --> 01:49:03.930]  Well, you would have, it depends on the scenario that's in there.
[01:49:03.970 --> 01:49:07.571]  I mean, obviously, you could have a situation where the Speaker of the House has to step in.
[01:49:08.512 --> 01:49:17.695]  But if Kamala Harris becomes the President of the United States, of course, she has an opportunity then to appoint her own Vice President, which could be interesting if you have someone like, let's say, Hillary Clinton.
[01:49:18.755 --> 01:49:19.915]  There's a lot of scenarios.
[01:49:19.995 --> 01:49:21.316]  Oh, they've talked about that, actually.
