[00:00:00.550 --> 00:00:01.190]  Ha ha ha ha!
[02:28:18.448 --> 02:28:19.850]  So it's quite a wonderful thing.
[02:28:19.850 --> 02:28:21.131]  He's shown up to the Fed.
[02:28:21.131 --> 02:28:24.034]  He's talked about that this is a bubble economy.
[02:28:24.034 --> 02:28:28.318]  We've got economic troubles ahead, of course, because of all the... So what, is he right about 90% of the time?
[02:28:28.318 --> 02:28:28.899]  Hillary's wrong 100%?
[02:28:28.899 --> 02:28:29.199]  I mean, that's...
[02:28:29.960 --> 02:28:30.520]  Big difference.
[02:28:30.520 --> 02:28:35.983]  Well, Hillary is wrong and evil 100% of the time in every single way.
[02:28:35.983 --> 02:28:38.063]  He's right much of the time.
[02:28:38.063 --> 02:28:49.408]  But just the fact that he won't start World War III, even during the height of the Cold War, both powers were, both America and the Soviet Union, were careful never to risk a nuclear war.
[02:28:49.408 --> 02:28:50.809]  Neither one of them actually wanted it.
[02:28:50.809 --> 02:28:51.769]  I agree.
[02:28:51.769 --> 02:28:53.610]  Experts say we're at the highest threat ever.
[02:28:53.610 --> 02:28:55.331]  Why would our current elite want to do that?
[02:28:56.704 --> 02:29:00.026]  Well, I think the neocons have got a crazy gene.
[02:29:00.026 --> 02:29:08.673]  I think if we can sort of think of the, this is a very simplistic model, but think of the Rockefeller wing and the neocon wing.
[02:29:08.673 --> 02:29:18.260]  The Rockefellers, as bad as they are, and I'm using that again as a cover word for a very variegated and large group, they don't actually want the end of the world.
[02:29:18.920 --> 02:29:32.650]  I don't think even the neocons want the end of the world, but they believe that their power is so great that they can threaten the only two countries that still have any significant independence in our major powers, that is Russia and China, and bring them to heel.
[02:29:32.650 --> 02:29:38.574]  They can turn Russia and China into, in effect, colonies of the U.S.
[02:29:38.574 --> 02:29:40.396]  Those countries are not going to allow that to happen.
[02:29:40.396 --> 02:29:40.756]  That's right.
[02:29:40.756 --> 02:29:41.837]  Lew Rockwell, stay there.
[02:29:41.837 --> 02:29:42.877]  We've got a little break.
[02:29:42.877 --> 02:29:45.339]  We'll come back and examine that more straight ahead.
[02:29:45.339 --> 02:29:46.840]  Lew Rockwell at LewRockwell.com.
[02:29:46.840 --> 02:29:47.421]  I'm Alex Jones.
[02:29:49.536 --> 02:29:53.489]  We're on the march, the Empire's on the run.
[02:29:53.489 --> 02:29:56.158]  Alex Jones and the GCN Radio Network.
[02:30:00.253 --> 02:30:04.675]  Well, does Democratic National Committee Chairman Donna Brazile ever know when to stop?
[02:30:04.675 --> 02:30:10.217]  New WikiLeaks revealed that Donna Brazile gave Hillary Clinton yet another debate question in advance.
[02:30:10.217 --> 02:30:14.178]  One of the questions directed to HRC tomorrow is from a woman with a rash.
[02:30:14.178 --> 02:30:28.583]  This article up on our website written by Paul Joseph Watson says that a new email released by WikiLeaks as a part of the Podesta dump reveals that former CNN commentator and current chairperson of the DNC Donna Brazile gave Hillary Clinton a major question before the debate.
[02:30:28.823 --> 02:30:33.047]  One of the questions directed to Hillary Clinton tomorrow is from a woman with a rash.
[02:30:33.047 --> 02:30:39.373]  The email is entitled, it was sent on March the 5th, the day before Clinton debated Bernie Sanders in Flint, Michigan.
[02:30:39.373 --> 02:30:47.081]  Her family has lead poison and she will ask that, if anything, will Hillary do as president to help the people of Flint, reads the body of the email.
[02:30:47.281 --> 02:30:54.265]  According to debate commission rules, no candidate is supposed to be able to be given a question in advance regarding the debate.
[02:30:54.265 --> 02:30:57.047]  I guess that really doesn't apply to Hillary Clinton and her cronies.
[02:30:57.047 --> 02:30:59.108]  I'm Margaret Halver reporting for InfoWars.com.
[02:30:59.108 --> 02:31:00.869]  I've been working all day.
[02:31:00.869 --> 02:31:02.810]  I took a couple hours off coaching basketball.
[02:31:02.810 --> 02:31:03.551]  I get in here at 830.
[02:31:14.497 --> 02:31:16.137]  I was kind of run down, you know.
[02:31:16.137 --> 02:31:17.778]  I just didn't feel like I was gonna make it.
[02:31:17.778 --> 02:31:19.658]  And I really wanted to do a good job on the interview.
[02:31:19.658 --> 02:31:21.478]  I got my bottle of Brain Force right there.
[02:31:21.478 --> 02:31:22.539]  I popped two of them.
[02:31:22.539 --> 02:31:24.819]  And about 20 minutes later, it's like, bing!
[02:31:24.819 --> 02:31:26.619]  Everything just kind of clears up.
[02:31:26.619 --> 02:31:28.280]  It's got four and a half stars.
[02:31:28.280 --> 02:31:29.620]  People really love it.
[02:31:29.620 --> 02:31:30.220]  Read about it.
[02:31:30.220 --> 02:31:34.041]  Find out why third-party nutraceutical sites give it such high praise.
[02:31:34.041 --> 02:31:39.322]  Because it really does have the best organic-based systems that will blow your socks off.
[02:31:39.522 --> 02:31:43.546]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[02:31:43.546 --> 02:31:49.692]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[02:31:49.692 --> 02:31:55.618]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[02:32:00.214 --> 02:32:02.515]  Electrify your day with Secret 12.
[02:32:02.515 --> 02:32:04.076]  It's like lightning in a bottle.
[02:32:04.076 --> 02:32:07.978]  We all have days in which we just can't seem to perform at the level we'd like to.
[02:32:07.978 --> 02:32:15.922]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[02:32:15.922 --> 02:32:20.884]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[02:32:20.884 --> 02:32:26.347]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[02:32:26.707 --> 02:32:34.495]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[02:32:34.495 --> 02:32:39.200]  It pairs two forms of vitamin B12 into one explosive formula.
[02:32:39.200 --> 02:32:44.946]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[02:32:45.066 --> 02:32:48.230]  But it also assists with many other functions of the body.
[02:32:48.230 --> 02:32:51.774]  Electrify your mind and body and take your health to the next level.
[02:32:51.774 --> 02:32:55.678]  Experience the power of Secret 12 at InfoWarsLife.com.
[02:32:55.678 --> 02:32:57.300]  That's InfoWarsLife.com.
[02:33:01.403 --> 02:33:03.644]  Of course the elections will not be rigged.
[02:33:03.644 --> 02:33:04.844]  What does that mean?
[02:33:04.844 --> 02:33:06.164]  First of all, it's rigged.
[02:33:06.164 --> 02:33:08.885]  And I'm afraid the election's gonna be rigged, I have to be honest.
[02:33:08.885 --> 02:33:13.406]  That somewhere between 2 and 5 percent of illegal voters vote.
[02:33:13.406 --> 02:33:17.387]  Stop, stop, stop, or I'm gonna have to cut this interview short.
[02:33:17.387 --> 02:33:27.290]  Have you seen the recent videos that Project Veritas released showing Democratic operatives talking about how they've been working to commit election fraud?
[02:33:28.491 --> 02:33:31.753]  Um, we don't have election fraud in America.
[02:33:31.753 --> 02:33:40.800]  Well, a Pew Research report shows that one in eight voter registrations are quote, significantly inaccurate or no longer valid.
[02:33:40.800 --> 02:33:46.885]  The corporate media in our country is no longer involved in journalism.
[02:33:46.885 --> 02:33:52.049]  And their agenda is to elect crooked Hillary Clinton.
[02:33:53.121 --> 02:34:00.325]  At any cost, at any price, no matter how many lives they destroy.
[02:34:00.325 --> 02:34:04.767]  I have presented the evidence to my viewers and my viewers trust me to tell them the truth.
[02:34:04.767 --> 02:34:07.548]  We try to fact check the candidates, people don't believe us.
[02:34:07.548 --> 02:34:12.530]  When we try to report on the candidates, people think they are not getting the straight scoop from us.
[02:34:12.530 --> 02:34:15.012]  We run elections and we run them well here.
[02:34:15.012 --> 02:34:19.014]  In 22 primaries, the votes have shifted in 20 of them.
[02:34:20.174 --> 02:34:22.935]  The exit polling data in New York State shifted 12%.
[02:34:22.935 --> 02:34:39.319]  A shift of 2% is fraud!
[02:34:39.319 --> 02:34:48.642]  Live from the InfoWars.com studios... There is no serious person out there who would suggest somehow that
[02:34:50.003 --> 02:34:54.048]  You could even, you could even rig America's elections.
[02:34:54.048 --> 02:35:03.358]  Indiana State Police raided the group, the Indiana Voter Registration Project, in an investigation of alleged voter registration fraud that has grown to 56 counties.
[02:35:03.358 --> 02:35:06.942]  Crashing through the lies and disinformation.
[02:35:06.942 --> 02:35:08.264]  It's Alex Jones.
[02:35:08.624 --> 02:35:27.813]  After the release of the latest Project Veritas videos in particular, I want to draw your attention to Robert Kramer, a convicted felon who visited the White House according to reports 342 times, also met personally with the President some 47 times, the most recent occasion being in June of this year.
[02:35:30.319 --> 02:35:46.501]  And now they caught a convicted computer crime mastermind running the program nationally to add a program onto the software that your county's by that allows them at the central system to pre-program how the votes are going to come out.
[02:35:49.389 --> 02:35:50.971]  I mean, this is insane.
[02:35:50.971 --> 02:35:58.578]  We have Democrats on video, the highest level national heads of these operations, saying, nobody's going to stop us, we're stealing everything.
[02:35:58.578 --> 02:36:00.019]  We're having people vote ten times.
[02:36:01.084 --> 02:36:05.128]  We have the head of New York Board of Elections, who's a Democrat, saying, I don't like it.
[02:36:05.128 --> 02:36:07.350]  The Democrats are going around stealing everything.
[02:36:07.350 --> 02:36:09.272]  At least he, they said, well, you got to speak out.
[02:36:09.272 --> 02:36:10.633]  He goes, oh, I can't do that.
[02:36:10.633 --> 02:36:12.254]  He looks all freaked out.
[02:36:12.254 --> 02:36:14.596]  So you got people that aren't evil, but are afraid.
[02:36:14.596 --> 02:36:16.738]  You have people that are evil, that are screwing everybody.
[02:36:16.738 --> 02:36:21.243]  Then you got people out there that aren't informed, who are just told this is all a conspiracy theory.
[02:36:21.243 --> 02:36:22.664]  We're going back to Lou Rockwell here in a moment.
[02:36:26.212 --> 02:36:26.832]  I'm sure of it now.
[02:36:26.832 --> 02:36:27.713]  I can feel it in my gut.
[02:36:27.713 --> 02:36:28.294]  I can see it.
[02:36:28.294 --> 02:36:28.934]  It's already happened.
[02:36:28.934 --> 02:36:30.955]  This is the biggest story we've ever covered.
[02:36:30.955 --> 02:36:32.617]  I've been trying to get Beth Harris on for six months.
[02:36:32.617 --> 02:36:34.058]  She wouldn't come on working on this.
[02:36:34.058 --> 02:36:35.058]  She premiered it here today.
[02:36:35.058 --> 02:36:36.680]  I had no idea.
[02:36:36.680 --> 02:36:40.903]  I thought she would just have the regular thing about some code or caught some fraud here or there.
[02:36:40.903 --> 02:36:46.607]  She has the national code, how they're doing it, people flipping out and running when she goes to the voting places.
[02:36:46.607 --> 02:36:48.088]  It's happening all over the country.
[02:36:48.088 --> 02:36:49.569]  Now, I didn't plug anything last hour.
[02:36:50.888 --> 02:36:52.349]  And I skipped breaks.
[02:36:52.349 --> 02:36:54.210]  And I won't be able to fund this operation if I do it.
[02:36:54.210 --> 02:36:56.291]  I got Beth Harris on saying support her.
[02:36:56.291 --> 02:36:57.191]  Support Veritas.
[02:36:57.191 --> 02:36:57.612]  Absolutely.
[02:36:57.612 --> 02:36:58.572]  We're on this fight together.
[02:36:58.572 --> 02:37:00.053]  We need your support.
[02:37:00.053 --> 02:37:05.876]  Because I get so heated, so focused, so intense, that I don't even sit here and talk about our sponsors anything.
[02:37:05.876 --> 02:37:07.557]  We got Lou Rockwell sitting here waiting for me to go to him.
[02:37:09.192 --> 02:37:10.393]  Here's the bottom line.
[02:37:10.393 --> 02:37:12.434]  We go get the very best water filtration systems.
[02:37:12.434 --> 02:37:13.534]  Nobody should be drinking tap water.
[02:37:13.534 --> 02:37:15.155]  It's full of all sorts of runoff and crap.
[02:37:15.155 --> 02:37:16.776]  We have the very best systems at the lowest prices.
