[00:00.000 --> 00:26.000]  Now I know parents out there anxiously waiting for a vaccine for children ages 5 to 11.
[2:33:45.760 --> 2:33:49.080]  all have the choice that this if this is the future we want to have or not and
[2:33:49.080 --> 2:33:52.680]  so that's why you're seeing the resistance but that's also why you're
[2:33:52.680 --> 2:33:56.840]  seeing the brainwash masses go along with it it's it's typical whenever this
[2:33:56.840 --> 2:34:00.600]  paradigm plays out it's just on a larger scale than ever right now because of
[2:34:00.600 --> 2:34:05.200]  the technology that shrinks the world now I'm about to go to your phone calls
[2:34:05.200 --> 2:34:10.040]  I found this funny last night just one of the forms of resistance the let's go
[2:34:10.040 --> 2:34:17.360]  Brandon family friendly version of F Joe Biden is let's go Brandon in case you
[2:34:17.360 --> 2:34:22.200]  don't know the backstory there was a race that happened and after the race the
[2:34:22.200 --> 2:34:26.080]  winner of the race is being interviewed and all the race fans behind the
[2:34:26.080 --> 2:34:31.440]  interviewer were chanting F Joe Biden F Joe Biden clearly you could hear it it
[2:34:31.440 --> 2:34:36.400]  was all on live TV and she goes oh look they're saying let's go Brandon so that's
[2:34:36.400 --> 2:34:40.680]  become the family friendly version of F Joe Biden and then this made it on to
[2:34:40.680 --> 2:34:45.080]  the baseball playoffs last night the MLB playoffs somebody holding a let's go
[2:34:45.080 --> 2:34:49.040]  Brandon sign right behind home plate so I understand people think this is weak I
[2:34:49.040 --> 2:34:52.200]  actually like it I think it's fun I think it's family friendly and it'll
[2:34:52.200 --> 2:34:56.440]  cause people to look up hey what's this let's go Brandon thing and you can't
[2:34:56.440 --> 2:35:00.040]  just say F Joe Biden everywhere so I like it I think it's I think it's fun
[2:35:00.040 --> 2:35:04.040]  and it penetrated the Major League Baseball playoffs last night kind of
[2:35:04.040 --> 2:35:07.880]  like Trump one banners were held at playoff games and I have a feeling that
[2:35:07.880 --> 2:35:11.520]  you're gonna see more of this in professional sports as we salute the
[2:35:11.520 --> 2:35:14.560]  great athletes that are standing up against the vaccine mandates Jonathan
[2:35:14.560 --> 2:35:18.080]  Isaac continues to fight the good fight Kyrie Irving and others but let's go to
[2:35:18.080 --> 2:35:22.520]  your phone calls now and let's start with William calling in from California
[2:35:22.520 --> 2:35:29.080]  William you're on the air go ahead hi Owen can you hear me sir yes yes thanks
[2:35:29.080 --> 2:35:33.920]  for taking my call you know I I have an interesting I have a fun time doing a
[2:35:33.920 --> 2:35:39.920]  comparative analysis between you guys and the stuff that I'm forced to do you're
[2:35:39.920 --> 2:35:45.720]  on the TV tongue-in-cheek you know if it isn't Newt Gingrich it's your
[2:35:45.720 --> 2:35:51.000]  lieutenant governor just last night being cut off when he's saying probably
[2:35:51.000 --> 2:35:54.120]  one of the most direct things we should be just saying over and over and over
[2:35:54.120 --> 2:35:59.080]  again all this all this other fluff really should just be set to the side
[2:35:59.080 --> 2:36:05.400]  window dressing you know the bottom line is we have a war at the at the border we
[2:36:05.400 --> 2:36:09.640]  have extermination going on with these deadly vaccines and we're too busy
[2:36:09.640 --> 2:36:14.960]  talking about you know Kamala's new makeup or whatever she's doing no see
[2:36:14.960 --> 2:36:18.880]  you just hit it on the head exactly and this is why I mean even I feel like I
[2:36:18.880 --> 2:36:24.600]  fall for this trick too I fall into the trap too but it's like oh don't say that
[2:36:24.600 --> 2:36:27.760]  that's extreme don't talk about war that's violent don't say this no there
[2:36:27.760 --> 2:36:32.240]  is a war at the southern border there is a war over body autonomy there is an
[2:36:32.240 --> 2:36:35.960]  economic war right now there is a geopolitical war there is a war for the
[2:36:35.960 --> 2:36:39.360]  future of humanity that's the reality but it's oh don't say that that's too
[2:36:39.360 --> 2:36:43.640]  harsh we can't no no no and I guess they cut off Ken Paxton last night because he
[2:36:43.640 --> 2:36:49.640]  was talking about the reality of this well you know I I called in better part
[2:36:49.640 --> 2:36:54.360]  eight nine months ago and I said you know we we need to have our brave heart
[2:36:54.360 --> 2:36:58.720]  moment when are we gonna say that's enough you know when when are we gonna
[2:36:58.720 --> 2:37:03.600]  say that is enough you know when they're shoveling us into the FEMA camps you
[2:37:03.600 --> 2:37:07.760]  know when people are dropping by the thousands and they're trying to cover it
[2:37:07.760 --> 2:37:13.080]  up more and more because you know thousands are dying now but what happens
[2:37:13.080 --> 2:37:19.680]  when millions are you know are dying well they'll just blame COVID and they'll
[2:37:19.680 --> 2:37:24.800]  just say that that is their excuse to press down on humanity even more I the
[2:37:24.800 --> 2:37:29.920]  lies will just never end I know and you know we need to I don't know just cut it
[2:37:29.920 --> 2:37:35.040]  down to one thing you're being exterminate start fighting back push
[2:37:35.040 --> 2:37:41.040]  back this is not a game anymore you know I don't understand why we're playing
[2:37:41.040 --> 2:37:46.920]  kiddly winks when they're when they're killing us man yeah whether it well look
[2:37:46.920 --> 2:37:50.880]  I mean we know the hospital protocols have killed thousands of people we know
[2:37:50.880 --> 2:37:55.080]  the vaccines have killed thousands of people we have the numbers now more
[2:37:55.080 --> 2:38:00.240]  people have supposedly died of COVID since the vaccine rollout then before
[2:38:00.240 --> 2:38:03.240]  the vaccine rollout they just admitted it in Taiwan with the data they've
[2:38:03.240 --> 2:38:07.480]  admitted in the US with the data but somehow those stories don't seem to
[2:38:07.480 --> 2:38:11.960]  impact anything well you know and when you turn on you know I'm not gonna
[2:38:11.960 --> 2:38:16.000]  mention any names but you know Tucker's the only one that really kind of
[2:38:16.000 --> 2:38:22.200]  skirts it I mean you can almost hear what he's being told in the back room but
[2:38:22.200 --> 2:38:29.360]  it's really horrifying when when they're telling them to pipe down or oh don't
[2:38:29.360 --> 2:38:32.960]  let him say that cut him off cut him off yeah remember they told somebody they
[2:38:32.960 --> 2:38:37.520]  couldn't talk about George Soros on the air too yeah gingrich yeah I'm the
[2:38:37.520 --> 2:38:43.560]  speaker of the house yeah I mean I mean to treat the man like he's like well
[2:38:43.560 --> 2:38:48.160]  you know I don't know I don't know and I'm horrified and I wish somebody would
[2:38:48.160 --> 2:38:53.680]  call me and say we need people down here to help on the border I'm sitting
[2:38:53.680 --> 2:38:58.560]  here twiddling my thumbs waiting just waiting and I guess we're all gonna hang
[2:38:58.560 --> 2:39:03.080]  separately I guess that's how it's gonna work that's what they're so they
[2:39:03.080 --> 2:39:07.000]  want there's no doubt there is a mass awakening happening it's just a matter
[2:39:07.000 --> 2:39:11.520]  of what is that gonna mean what kind of impact is that gonna have cuz you know
[2:39:11.520 --> 2:39:14.800]  that the agenda for the New World Order isn't they're not gonna stop they're
[2:39:14.800 --> 2:39:17.240]  not gonna give up just because they're as a resistance they're gonna they're
[2:39:17.240 --> 2:39:21.400]  gonna they're gonna remain strong in their pursuit of world domination so
[2:39:21.400 --> 2:39:25.240]  we'll see what happens is the Great Awakening versus the Great Weet reset
[2:39:25.240 --> 2:39:28.640]  continues thanks for the call William let's go to Taylor in Washington Taylor
[2:39:28.640 --> 2:39:35.160]  on the Alex Jones show go ahead oh and the liberal destroyer how's it going I'm
[2:39:35.160 --> 2:39:40.200]  good Taylor thanks for calling good good so I can tell you as a FedEx courier
[2:39:40.200 --> 2:39:44.800]  here in a rural area there's a lot of people that are awake but a lot of people
[2:39:44.800 --> 2:39:48.840]  that are asleep as well and on your topic of the let's go Brandon I was
[2:39:48.840 --> 2:39:52.480]  talking to one of my customers and she said that her shirts are already on
[2:39:52.480 --> 2:39:59.960]  order but I will go further and say that we are talking about what you know how
[2:39:59.960 --> 2:40:04.440]  did this all come about and we both kind of agree that it's the people well the
[2:40:04.440 --> 2:40:10.080]  people have fallen for a lot of just a lot of disillusion you know yeah it's
[2:40:10.080 --> 2:40:17.080]  sad that they still fall for all of it but we unfortunately become victims of
[2:40:17.080 --> 2:40:22.720]  the left's ignorance and brainwashing yeah I like the previous caller's point
[2:40:22.720 --> 2:40:26.320]  about you know when when is the line going to be drawn I've heard this
[2:40:26.320 --> 2:40:32.360]  everywhere it's nauseating I listened to a lot of Mike Mike Adams as well but
[2:40:32.360 --> 2:40:36.040]  it's just crazy when you go up to a customer and you say crazy times huh and
[2:40:36.040 --> 2:40:42.720]  they go what do you mean I mean that that's the really odd moment well it's
[2:40:42.720 --> 2:40:47.440]  hard not to look around and see all this going on but it also is something
[2:40:47.440 --> 2:40:52.600]  that's that's not new to humanity either eventually everybody's gonna be
[2:40:52.600 --> 2:40:56.840]  involved in this in one on some way shape or form it's gonna be impossible to
[2:40:56.840 --> 2:41:02.040]  avoid and ignore Taylor thank you so much for the call let's go to Harold in
[2:41:02.040 --> 2:41:07.840]  Arizona Harold you're on the air go ahead hey doing Owen just calling you to
[2:41:07.840 --> 2:41:13.360]  say I don't see this ship right in itself in any time soon my friend not
[2:41:13.360 --> 2:41:18.400]  without some major pushback from the majority of this US population no one
[2:41:18.400 --> 2:41:23.160]  we look forward to it for accountability seems able to or willing to address any
[2:41:23.160 --> 2:41:28.840]  of these situations we find ourselves in the Republicans all seem like they're
[2:41:28.840 --> 2:41:33.720]  on the same party as the Democrats I think Orwell summed it up best with his
[2:41:33.720 --> 2:41:39.160]  future prediction is it's a it's going to be a boot stomping on the face of
[2:41:39.160 --> 2:41:44.960]  humanity and I just don't think it without a major US uprising or a little
[2:41:44.960 --> 2:41:49.440]  bit of a general oomph from the US population that where you have a chance
[2:41:49.440 --> 2:41:54.040]  to stop in this here here's the juxtaposition to put this into a
[2:41:54.040 --> 2:42:02.040]  practical applicable situation we had a fake Russian collusion narrative that
[2:42:02.040 --> 2:42:05.680]  had three years of an investigation three years of media coverage three years
[2:42:05.680 --> 2:42:08.720]  of being the biggest story in the media and it was totally fake and
[2:42:08.720 --> 2:42:12.320]  everybody knew it was fake there was nothing there we had undercover CNN
[2:42:12.320 --> 2:42:15.800]  tapes they knew there was nothing there we know the Democrats ran the whole
