[00:00:00.149 --> 00:00:01.049]  And so on.
[02:09:39.748 --> 02:09:58.867]  How Bush was their puppet, how it's seamless integration for administration to administration, setting up their world government, their carbon taxes, total control, all of his lies, what his real agenda is, the FEMA camps, the forced conscription, the state's revolting, the film is done, the film's been sent off to be mass produced, we'll probably have it in the next seven days and start packaging them up to ship out on the 15th.
[02:09:58.867 --> 02:10:01.190]  Get your orders in at InfoWars.com right now.
[02:10:01.610 --> 02:10:04.031]  Or call toll-free 888-253-3139.
[02:10:04.031 --> 02:10:13.936]  They're betting that he can neutralize the left and the general public to stand down while they launch their New World Order so they can stage their terror attacks and start huge wars.
[02:10:13.936 --> 02:10:14.756]  They're doing it all.
[02:10:14.756 --> 02:10:15.877]  They're moving ahead.
[02:10:15.877 --> 02:10:18.918]  If we expose their agenda now, and believe me, these films have power.
[02:10:18.918 --> 02:10:24.741]  If you spread it out to everybody, make copies of the DVD, download it from PrisonPlanet.tv, spread it out to everybody.
[02:10:24.741 --> 02:10:26.822]  If you go crazy with this, it will have a big effect.
[02:10:28.100 --> 02:10:31.661]  Believe me, we have more power than a lot of you actually realize and know.
[02:10:31.661 --> 02:10:39.563]  Bob Chapman, the International Forecaster, if people just realize they can take action and defeat this thing, we can do it.
[02:10:39.563 --> 02:10:42.704]  But really, folks need to understand that, don't they?
[02:10:42.704 --> 02:10:44.224]  They certainly do.
[02:10:44.224 --> 02:10:48.405]  And your program goes a long way toward accomplishing that.
[02:10:48.405 --> 02:10:51.086]  And please, when you get these tapes, make copies.
[02:10:51.086 --> 02:10:53.807]  Send them all over the place, all over the world.
[02:10:53.807 --> 02:10:55.187]  Let people know what's going on.
[02:10:55.928 --> 02:11:01.612]  It's just like with my publication, you know, I tell people who are subscribers, if you want to send it to other people, do it.
[02:11:01.612 --> 02:11:06.615]  Some of them will subscribe because they want to get their own copy, but that's not what the mission is.
[02:11:06.615 --> 02:11:11.899]  The mission is to get the story out, to make people understand who the real enemy is.
[02:11:12.725 --> 02:11:13.666]  Absolutely, Bob.
[02:11:13.666 --> 02:11:17.108]  When I say this, I'm not putting a good face on it.
[02:11:17.108 --> 02:11:18.389]  It's the truth.
[02:11:18.389 --> 02:11:19.610]  The military's waking up.
[02:11:19.610 --> 02:11:22.492]  More contributions than Ron Paul, than to any other candidate, including the Democrat.
[02:11:22.492 --> 02:11:23.593]  I keep saying it's Republican.
[02:11:23.593 --> 02:11:25.114]  No, it's all candidates.
[02:11:25.114 --> 02:11:25.575]  They know.
[02:11:25.575 --> 02:11:27.156]  The police are waking up.
[02:11:27.156 --> 02:11:33.241]  If people become aware of stage terror, stage financial collapse, and learn this is a bunch of made-off criminals running things.
[02:11:33.241 --> 02:11:34.642]  I mean, he was the founder of the Nasdaq.
[02:11:35.222 --> 02:11:44.066]  And that all these banks are involved in this by design, and they learn how the IMF and World Bank bankrupt countries like Argentina, Iceland, and others, and now doing it here in England and Europe by design.
[02:11:44.066 --> 02:11:45.666]  We can defeat these people.
[02:11:45.666 --> 02:11:48.948]  I mean, bottom line, folks, we've got to tell the truth.
[02:11:48.948 --> 02:11:53.029]  We've got to get the story out there, because the enemy is so obviously criminal.
[02:11:53.029 --> 02:11:57.031]  If we just tell the truth, they're going to be defeated.
[02:11:57.031 --> 02:12:04.734]  And I think what, to go along with this, Alex, is the fact that we have projected on your program that the
[02:12:05.407 --> 02:12:12.310]  Economy is going to do what exactly what it has done over the past five years, you know, gone into the sewer.
[02:12:12.310 --> 02:12:19.894]  And your program and my publication and a handful of others, very few, unfortunately, have projected this.
[02:12:19.894 --> 02:12:21.715]  And we've been right all along.
[02:12:21.715 --> 02:12:27.057]  So ladies and gentlemen, the audience, please listen, because we get the handle on this.
[02:12:27.057 --> 02:12:28.718]  We know what we're talking about.
[02:12:28.718 --> 02:12:34.681]  We know that with where this is going, you've got to listen and you've got to act because
[02:12:35.462 --> 02:12:43.185]  When unemployment continues to expand, the U6 is really about 15.5% right now.
[02:12:43.185 --> 02:12:48.447]  That's a government figure, that's intermediate unemployment, and not to go into detail on it.
[02:12:48.447 --> 02:12:51.528]  And that'll be over 22% this year.
[02:12:51.528 --> 02:12:54.269]  And next year, it'll go higher.
[02:12:54.269 --> 02:13:04.553]  And as more and more people become discontented, all this information, particularly the tapes that you have, they will be put into fertile hands because people will start listening
[02:13:05.006 --> 02:13:08.990]  And saying to themselves, who did this to me?
[02:13:08.990 --> 02:13:12.553]  And we're going to tell them who and how to change things.
[02:13:12.553 --> 02:13:13.014]  That's right.
[02:13:13.014 --> 02:13:21.962]  But if we're not there, and remember, we're the people that told you 10, 15, 20, 30 years ago, as this was unfolding, America was a big country to take down, to bring into tyranny.
[02:13:21.962 --> 02:13:27.848]  But they slowly took over all the institutions, they set it up, and we always knew they'd have a financial implosion to do it.
[02:13:28.288 --> 02:13:31.729]  This is the final coup de grace, as they say.
[02:13:31.729 --> 02:13:34.911]  The globalists admit they're using this as an opportunity for their New World Order.
[02:13:34.911 --> 02:13:40.073]  We have to use this as an opportunity, like judo, as they attack us, to use their force against them.
[02:13:40.073 --> 02:13:42.254]  I want to play a video clip of George Soros a few weeks ago.
[02:13:42.254 --> 02:13:48.096]  This dovetails with what Lindsey Williams said about not just imploding other commodities in oil.
[02:13:48.096 --> 02:13:52.178]  He said this back when it was $147 a barrel, because he knows a big oil company executive he worked with.
[02:13:53.118 --> 02:13:54.298]  He said it was going to drop down below 50.
[02:13:54.298 --> 02:13:55.299]  It's gone as low as 33.
[02:13:55.299 --> 02:13:57.459]  It's right up at 40 right now.
[02:13:57.459 --> 02:14:10.803]  And he said a year and a half down the road it would go back into hyperinflation to bankrupt Russia, bankrupt Venezuela, bankrupt Canada, bankrupt the oil fields of Texas and Oklahoma.
[02:14:12.395 --> 02:14:17.181]  So they're doing this to create a depression while they hyperinflate and buy everything up.
[02:14:17.181 --> 02:14:19.544]  So let's go ahead and play that clip and get Bob Chapman's take on this.
[02:14:19.544 --> 02:14:22.507]  Here is George Soros admitting that, oh, it's okay that oil is plunging.
[02:14:22.507 --> 02:14:26.372]  This is being used basically as a weapon to bring down the Arab states and other nations.
[02:14:26.372 --> 02:14:26.713]  Here it is.
[02:14:27.318 --> 02:14:33.020]  ...had bank efforts going on in the United States, but there's so much else to be discussed here because this is, after all, the World Economic Forum.
[02:14:33.020 --> 02:14:35.561]  Let's talk for a moment about the price of oil.
[02:14:35.561 --> 02:14:39.142]  What are the implications of $40 oil, in your mind?
[02:14:39.142 --> 02:14:45.144]  Well, it's a sudden reversal of fortunes for the oil-producing countries.
[02:14:45.144 --> 02:14:53.946]  In the Gulf states, you have quite a few bubbles popping.
[02:14:53.946 --> 02:14:55.607]  Dubai was one of the
[02:14:56.127 --> 02:15:02.173]  Probably the biggest real estate bubble in the world and it's now bursting.
[02:15:02.173 --> 02:15:11.282]  However, it's not all bad news because the major oil producing countries have been the enemies of the prevailing world order.
[02:15:11.282 --> 02:15:12.783]  Venezuela, Iran,
[02:15:13.955 --> 02:15:22.421]  Russia and it's not so easy to finance a Bolivarian revolution with $40 oil.
[02:15:22.421 --> 02:15:25.943]  So I think Venezuela is Chavez.
[02:15:25.943 --> 02:15:28.185]  Probably his days are numbered.
[02:15:28.185 --> 02:15:32.328]  And in Iran, I think that is not going to last a year.
[02:15:34.328 --> 02:15:40.290]  Maybe wrong but I mean he's under considerable duress and his influence is going to decline.
[02:15:40.290 --> 02:15:48.933]  In Iran, Ahmadinejad is up for elections in 2009 and unless he can provoke some
[02:15:50.131 --> 02:16:00.379]  I think that he's liable to also be defeated and you may have a more reasonable regime.
[02:16:00.379 --> 02:16:09.427]  Now, Russia is more troubling because there, you see, Putin
[02:16:09.967 --> 02:16:29.886]  He has been using oil for a number of reasons to re-establish Russia's geopolitical influence, to enrich the rulers, to maintain themselves in power, and to bribe the rulers of the neighboring countries to gain control over their gas.
[02:16:29.886 --> 02:16:35.030]  But through the success, he was very popular.
[02:16:36.042 --> 02:16:40.163]  And not so easy now.
[02:16:40.163 --> 02:16:49.787]  Now, suddenly you have had a financial collapse, inflation, ruble falling, living standards falling.
[02:16:50.763 --> 02:17:05.851]  And there's a danger that he will be more adventurous trying to have some foreign adventure, Ukraine, whatever, to divert attention.
[02:17:05.851 --> 02:17:07.172]  I'm afraid we have to end it there.
[02:17:07.172 --> 02:17:08.672]  George Soros, I'd like to thank you very much.
[02:17:08.672 --> 02:17:10.553]  We didn't get to China, but we heard lots about Russia.
[02:17:10.553 --> 02:17:13.315]  That is George Soros, live from Davos, the World Economic Forum.
[02:17:14.878 --> 02:17:16.599]  Now understand, this is the perfect plan.
[02:17:16.599 --> 02:17:19.300]  Destroy the economy, destroy oil, consolidate everything.
[02:17:19.300 --> 02:17:23.543]  The banks hoard the bailout money given to them by every European and Western nation, including the U.S.
[02:17:23.543 --> 02:17:29.006]  and Canada, in over $20 trillion total, just $9.7 trillion here in the United States alone of our tax money.
[02:17:29.006 --> 02:17:34.349]  This is their big, massive move, and they're Soros admitting
[02:17:35.549 --> 02:17:42.093]  All of this, but then claiming that Putin's starting things, and Venezuela's starting things, and Iran is starting things.
[02:17:42.093 --> 02:17:47.295]  When Iran has terrorists from the United States and Israel, they admit, the White House admits, staging terror attacks.
[02:17:47.295 --> 02:17:51.077]  Wahhabis, actually Al-Qaeda, working with the globalists, as they always do, attacking them.
[02:17:51.077 --> 02:17:52.558]  They're taking it.
[02:17:52.558 --> 02:17:53.398]  All of this is happening.
[02:17:53.398 --> 02:17:58.000]  They staged the sneak attack on Russian-held areas in South Ossetia and Abkhazia back on 888.
[02:17:59.241 --> 02:18:04.144]  The media claimed that Russia had a snug attack, then had to admit that was a hoax.
[02:18:04.144 --> 02:18:05.644]  We can really see their move.
[02:18:05.644 --> 02:18:11.568]  And here's Soros, who implodes economies on a smaller scale to make us tens of billions in the past, through currency manipulation.
[02:18:11.568 --> 02:18:13.609]  Now he's posing like the good guy here.
[02:18:13.609 --> 02:18:16.170]  This is amazing, Bob Chapman.
[02:18:16.170 --> 02:18:17.150]  Yeah, it is.
[02:18:17.150 --> 02:18:24.594]  And it bears out what you said earlier in the program, that they're coming out into the open because they're being forced to.
[02:18:24.594 --> 02:18:27.576]  Not only by the knowledge that we're spreading throughout the world, but also
[02:18:28.924 --> 02:18:35.709]  The BRIC nations, as they're called, have pushed the Illuminists into a corner as well.
[02:18:35.709 --> 02:18:41.174]  What he says about Venezuela and Iran is true.
[02:18:41.174 --> 02:18:49.741]  In the case of Venezuela, the popularity of Mr. Chavez is down to 54% from over 60.
[02:18:49.741 --> 02:18:51.102]  And that's understandable.
[02:18:51.102 --> 02:18:54.405]  There's not as much money to go around under his regime.
[02:18:57.437 --> 02:19:10.583]  As well as in Venezuela, you have the CIA and others who are trying to undermine the governments in those countries.
[02:19:10.583 --> 02:19:25.410]  And this Stanford affair that just happened, which they're trying to keep it undercover, was a government operation which is very similar to the Australian Nugent Hand episode that went on in the, I think it was the late 80s.
[02:19:26.696 --> 02:19:32.761]  And which I won't get into here, but it was another government operation.
[02:19:32.761 --> 02:19:53.098]  And what George doesn't tell you is that he was the one who financed and organized all of these incursions into the Baltic countries, as well as Ukraine and others, with these orange and red and violet revolutions, which has caused Russia so much trouble.
[02:19:53.098 --> 02:19:54.379]  And this is
[02:19:55.231 --> 02:19:59.835]  Intelligence warfare, and he's behind a good part of it.
[02:19:59.835 --> 02:20:11.446]  So for him to come out and say what he said, which could have been said by you, Alex, or I, because that is what's happening.
