[00:00:05.875 --> 00:00:10.418]  July 4th!
[02:02:01.543 --> 02:02:05.627]  And what the controllers want, what the manipulators want,
[02:02:06.367 --> 02:02:15.353]  Is to suppress our awareness, to suppress our consciousness, so we don't expand beyond this frequency band.
[02:02:15.353 --> 02:02:20.117]  Because once you do, you start to see the world in a different way.
[02:02:20.117 --> 02:02:33.126]  Because most people at the moment, although it's changing, because they are so focused on the five senses, everything is filtered through the five senses, it means that they're in this world and they're of it.
[02:02:34.046 --> 02:02:49.171]  The only source of information they have to get a fix on who they are, where they are, world events, anything, is information, when you're in that five sense mode alone, coming through the eyes and the ears.
[02:02:49.171 --> 02:02:50.691]  And who controls that?
[02:02:50.691 --> 02:02:53.992]  The education system, the media.
[02:02:54.392 --> 02:02:54.872]  I don't
[02:03:10.826 --> 02:03:18.108]  Expand your awareness beyond that point and you go beyond that limitation.
[02:03:18.108 --> 02:03:20.009]  You start to perceive things.
[02:03:20.009 --> 02:03:25.830]  You start to have insights because now although you're in this world in terms of your body and your
[02:03:28.211 --> 02:03:34.395]  experience of this reality, you're not of the world totally in terms of your perception of reality.
[02:03:34.395 --> 02:03:43.040]  And when people expand their consciousness and start to in effect look into the world instead of being in it and of it, that's when you're called mad!
[02:03:43.040 --> 02:03:45.161]  That's when you're called crazy!
[02:03:45.161 --> 02:03:49.904]  Because you are seeing a reality that most other people aren't seeing.
[02:03:49.904 --> 02:03:55.067]  And I've used this analogy before, but I think it just so explains where we are.
[02:03:55.067 --> 02:03:56.408]  We live in a madhouse!
[02:03:57.148 --> 02:04:03.452]  And if you're born in a madhouse and you grow up in a madhouse, madness to you is sanity.
[02:04:03.452 --> 02:04:18.581]  And people who come into the madhouse or can see beyond it and say, actually this is a madhouse and this is why, those that can see only the madhouse who think it's normal, that think it's sane, they think the people that can see beyond it are mad.
[02:04:18.581 --> 02:04:20.562]  This is what's gone on throughout human history.
[02:04:22.503 --> 02:04:31.628]  And what the controllers want is they want to hold us in that five sense reality so we don't go into that greater expanded awareness of everything.
[02:04:31.628 --> 02:04:36.251]  And that's why if you look at the world, Alex, it's all about the five senses.
[02:04:36.251 --> 02:04:38.393]  You know, touch this, smell this, look at this.
[02:04:38.393 --> 02:04:40.554]  It's all about pulling you into the five senses.
[02:04:40.874 --> 02:04:44.779]  Now transhumanism is taking that a stage further.
[02:04:44.779 --> 02:04:53.870]  It's pulling you even further from expanded awareness into the five senses by technologically entrapping you in them.
[02:04:53.870 --> 02:04:55.472]  It's the new sixth sense.
[02:04:55.472 --> 02:04:58.455]  They want to shut off the sixth sense with a new artificial...
[02:05:00.330 --> 02:05:03.114]  Alex Jones here for InfoWars.com.
[02:05:03.114 --> 02:05:07.840]  In the month of July, we have got giant specials on everything at Madein1776.com.
[02:05:07.840 --> 02:05:09.823]  The already discounted Made in 1776 t-shirts are only $17.76.
[02:05:15.230 --> 02:05:20.037]  We have the new belt buckles that in only two weeks of sale are very close to selling out.
[02:05:20.037 --> 02:05:21.700]  There's only 500 of each.
[02:05:21.700 --> 02:05:25.906]  We're talking about made in America belt buckles and nickel brass.
[02:05:25.906 --> 02:05:28.169]  This is more than a summer blowout special.
[02:05:28.169 --> 02:05:31.094]  This is a new declaration of independence.
[02:05:31.294 --> 02:05:37.418]  But to expand the info orb, we're offering the equivalent of more than five months free.
[02:05:37.418 --> 02:05:43.042]  Right now, when you get a membership at PrisonPlanet.tv, for a limited time, only $39.95 a year.
[02:05:43.042 --> 02:05:46.925]  That's more than five months free off the regular price.
[02:05:46.925 --> 02:05:50.747]  Not just this July 4th weekend, but the entire month of July.
[02:05:50.747 --> 02:05:51.768]  At MadeIn1776.com.
[02:05:51.768 --> 02:05:54.990]  Moe Enlabe.
[02:05:54.990 --> 02:05:58.613]  You can take my gun from my cold, dead hands.
[02:06:00.134 --> 02:06:06.256]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential forfeiture situation?
[02:06:06.256 --> 02:06:09.537]  The police are shoving people, shoving Alex, shoving the crowd.
[02:06:09.537 --> 02:06:11.277]  Here we go, folks, I'm being assaulted!
[02:06:11.277 --> 02:06:17.539]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[02:06:17.699 --> 02:06:23.722]  Is this another false flag stage attack to take our civil liberties and put more homeland security by sticking their hands down on the streets?
[02:06:23.722 --> 02:06:27.704]  It's up to us to set brush fires in the minds of men and women everywhere.
[02:06:27.704 --> 02:06:30.606]  And that's what PrisonPlanet.TV is designed to do.
[02:06:30.606 --> 02:06:39.070]  If you watch, the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[02:06:39.070 --> 02:06:41.151]  What we see now is a war against reality.
[02:06:41.151 --> 02:06:42.212]  It's a war against the truth.
[02:06:42.552 --> 02:06:51.524]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[02:06:51.524 --> 02:06:54.168]  Visit InfoWarsNews.com today.
[02:06:54.168 --> 02:06:58.474]  Become a member, share your membership, and help take the info war to the next level.
[02:06:59.830 --> 02:07:02.071]  I've always believed in nutrition and herbs.
[02:07:02.071 --> 02:07:10.116]  Super Male Vitality was developed to activate your body's own natural processes, instead of using synthetic chemicals.
[02:07:10.116 --> 02:07:17.660]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[02:07:17.660 --> 02:07:21.922]  I just received my Male Vitality about three days ago and I must say, that is some good stuff.
[02:07:22.242 --> 02:07:32.867]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[02:07:32.867 --> 02:07:39.351]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[02:07:39.351 --> 02:07:41.932]  I jump out of bed ready to fight these criminals every day.
[02:07:41.932 --> 02:07:45.574]  I look forward to waking up and taking my super male vitality and get the day started.
[02:07:45.754 --> 02:07:47.696]  It's not just the super male vitality.
[02:07:47.696 --> 02:07:51.861]  All the products in Infowarslife.com are simply amazing.
[02:07:51.861 --> 02:07:58.830]  Visit Infowarslife.com today to secure your super male vitality and other powerful products from Infowarslife.
[02:08:18.499 --> 02:08:22.069]  Resistance to tyrants is obedience to God.
[02:08:22.069 --> 02:08:23.192]  It's Alex Jones.
[02:08:28.376 --> 02:08:42.282]  We're talking about how the globalists openly try to shutter people's awareness, and that means putting you into a false kind of Times Square television box, where they can feed you what they want, and we're not even outdoors.
[02:08:42.282 --> 02:08:49.426]  But beyond that, transhumanism is sold as this empowering system, but it's all got Trojan horses in it to dehumanize.
[02:08:50.439 --> 02:08:55.805]  And to take us beyond just the five senses into an artificial consciousness.
[02:08:55.805 --> 02:08:58.068]  Synthetic tyranny.
[02:08:58.068 --> 02:09:01.271]  And I want to finish up on that subject with David.
[02:09:01.271 --> 02:09:05.857]  I'll get into some of the other things that are happening and where they'll take us if they're able to win.
[02:09:05.857 --> 02:09:09.140]  But first, throwing one more point out.
[02:09:10.942 --> 02:09:12.183]  North American Union.
[02:09:12.183 --> 02:09:13.825]  They are completely getting rid of our borders.
[02:09:13.825 --> 02:09:17.308]  We know borders are an old tyranny, another construct.
[02:09:17.308 --> 02:09:23.033]  But you don't go to pure libertarianism by having open borders and saying millions can come here and get everything free.
[02:09:23.033 --> 02:09:27.657]  The globalists are pushing it because it's a new political bloc, again for divide and conquer.
[02:09:27.657 --> 02:09:32.562]  And Breitbart reports on the train of death to the U.S.
[02:09:32.562 --> 02:09:36.605]  all the way from Central and South America, all the way from
[02:09:37.737 --> 02:09:43.465]  El Salvador right up into the United States.
[02:09:43.465 --> 02:09:50.393]  The representative for the Catholic Relief Services told the Colorado Gazette as well as other publications that no, they load them up.
[02:09:51.789 --> 02:09:56.113]  South of Mexico, and Mexico now lets them through as long as they stay on the train.
[02:09:56.113 --> 02:09:59.937]  They sit on the top, they fall off, they die by the thousands.
[02:09:59.937 --> 02:10:03.120]  This has been going on for months now, and they just let them come right to our border.
[02:10:03.120 --> 02:10:08.846]  Then the Border Patrol openly takes them, loads them on buses and buses them deeper into the U.S.
[02:10:08.846 --> 02:10:09.647]  and releases them.
[02:10:09.647 --> 02:10:11.069]  We have that on video.
[02:10:11.069 --> 02:10:11.549]  Meanwhile...
[02:10:12.370 --> 02:10:17.591]  If I want to fly, they want to grow up my children, and they have army at the kite festival searching people.
[02:10:17.591 --> 02:10:20.092]  So clearly, David Icke, this is a total fraud.
[02:10:20.092 --> 02:10:24.172]  Petraeus told the London Telegraph that this is part of the new North American Union.
[02:10:24.172 --> 02:10:25.733]  Can you briefly speak to that?
[02:10:25.733 --> 02:10:28.793]  Then I want to talk big picture with you.
[02:10:28.793 --> 02:10:35.755]  Well, I mean, the great block on this whole
[02:10:37.270 --> 02:10:48.352]  Union network, whether it's the European Union or the North American Union and all these others around the world, is the nation state and it is the sense of
[02:10:50.428 --> 02:10:54.670]  Self-identity, or national self-identity if you like.
[02:10:54.670 --> 02:11:09.781]  And one of the things you see in their documents when they're talking about how they were, they are doing it, when they were talking about how they intended to socially engineer society and get society how they want.
[02:11:10.701 --> 02:11:18.930]  One of the things was unfettered immigration.
[02:11:18.930 --> 02:11:27.619]  This was in their technique to destroy a sense of national identity.
[02:11:28.680 --> 02:11:37.147]  And so in the European Union, of course, the very nature of the European Union is that within it there are no borders in terms of people coming in and out.
