[00:00:06.172 --> 00:00:07.074]  That's a hit.
[02:01:00.354 --> 02:01:05.038]  We've become stronger in this fight, and we couldn't do any of it without you.
[02:01:05.038 --> 02:01:07.460]  So you are the InfoWarp.
[02:01:07.460 --> 02:01:09.721]  You help wake up Bolsonaro.
[02:01:09.721 --> 02:01:11.643]  You help wake up Nigel Farage.
[02:01:11.643 --> 02:01:12.344]  You help wake up
[02:01:13.260 --> 02:01:16.822]  Joe Rogan and you helped wake up Tucker Carlson.
[02:01:16.822 --> 02:01:20.524]  They've all told me that this show woke them up.
[02:01:20.524 --> 02:01:22.185]  That means you woke them up.
[02:01:22.185 --> 02:01:25.927]  That means it's more important than ever to keep this broadcast on air in the face of the enemy.
[02:01:25.927 --> 02:01:28.889]  It's like a standard, a flag they want to pull down, a signet.
[02:01:30.262 --> 02:01:33.445]  And I want you to get products that help fund the operation that help you.
[02:01:33.445 --> 02:01:35.467]  I want them to blow you away.
[02:01:35.467 --> 02:01:41.632]  That's why we've got Amazing X2 and Vitamin Mineral Fusion, both discounted, very close to selling out at InfoWarsTore.com.
[02:01:41.632 --> 02:01:47.578]  In fact, the Vitamin Mineral Fusion sale is going to end next Monday or Tuesday is when we got a new sale coming in, because they're all about to sell out.
[02:01:47.578 --> 02:01:50.360]  Vitamin Mineral Fusion and, of course, X2.
[02:01:51.920 --> 02:01:56.962]  But we've got something that just came in that I know is going to be a huge game changer.
[02:01:56.962 --> 02:02:03.024]  They ordered a limited amount of it, not because we couldn't get the ingredients, but because we've been tight on cash and we've got a lot of products.
[02:02:03.024 --> 02:02:06.426]  We only buy so much because we didn't know if it would be popular or not.
[02:02:06.426 --> 02:02:10.147]  But listeners told us, we want Rainforest Plus as a liquid.
[02:02:10.147 --> 02:02:14.989]  Well, my developers talked to a lot of top developers and they said, let's give them what they want.
[02:02:14.989 --> 02:02:16.450]  Let's make the strongest clean.
[02:02:17.421 --> 02:02:26.403]  Herb, compound, caffeine-based system out there with no additives, no crap, that is a long, clean, strong burn.
[02:02:26.403 --> 02:02:30.284]  So we got a limited edition, even says limited edition, to make sure the listeners would like it.
[02:02:30.284 --> 02:02:35.145]  I know the crew loves it so much that it's not going to be limited edition for long, but it is a limited edition right now.
[02:02:35.145 --> 02:02:40.246]  And that is RainForce Ultra.
[02:02:40.246 --> 02:02:42.867]  This is a very, very exciting product.
[02:02:42.867 --> 02:02:45.868]  It's got ashwagandha root, an ancient herb used for over 3,000 years.
[02:02:48.030 --> 02:02:55.192]  And is favored by many different medical systems and many tribes around the world for its beneficial properties.
[02:02:55.192 --> 02:02:58.894]  Guarara seed loaded with energy compounds and antioxidants.
[02:02:58.894 --> 02:03:07.136]  Guarara seed is native to the Amazon and has been used by Amazonian tribes for centuries for stamina, energy, clarity, and focus, including their rituals.
[02:03:07.136 --> 02:03:07.877]  Alpha GPC.
[02:03:09.369 --> 02:03:17.597]  A natural compound found in the brain that delivers choline, a water-soluble essential nutrient across the brain barrier.
[02:03:17.597 --> 02:03:22.082]  Green coffee bean, you know, that's the antioxidant, so many things, great energy.
[02:03:22.082 --> 02:03:30.010]  From the raw seeds of the coffee fruit, green coffee beans pack a powerful natural punch and are rich in chlorogenic acid.
[02:03:31.590 --> 02:03:39.572]  Eleuthero Root is a celebrated member of the ginseng family and has been used for thousands of years in traditional systems.
[02:03:39.572 --> 02:03:44.733]  Yerba Mate leaf, by the way, has quercetin that's so good for your immune system, containing natural amounts of caffeine.
[02:03:44.733 --> 02:03:51.595]  Yerba Mate is also loaded with polyphenolphthalein and quercetin, also known
[02:03:52.395 --> 02:03:57.219]  And also as well as potassium, magnesium, and manganese.
[02:03:57.219 --> 02:03:58.660]  Green tea leaves!
[02:03:58.660 --> 02:04:04.464]  Naturally rich in EGCG as well as L-theanine.
[02:04:04.464 --> 02:04:08.067]  Only the highest quality green tea leaves are included in this formula.
[02:04:08.067 --> 02:04:10.109]  Ginkgo leaf.
[02:04:10.109 --> 02:04:17.755]  Known for its exceptional antioxidant content, ginkgo comes from the ancient group of plants and has been the focus of both ancient and modern fascination.
[02:04:19.192 --> 02:04:31.922]  And that's just some of what is in Brain Force Ultra, exclusively available at InfoWarStore.com or call toll free 888-253-3139.
[02:04:31.922 --> 02:04:36.886]  But at current sales rates, people are going crazy, this will be gone by Monday or Tuesday as well.
[02:04:36.886 --> 02:04:39.147]  So we're putting a big order in now.
[02:04:39.147 --> 02:04:42.510]  Get your Brain Force Ultra today at InfoWarStore.com.
[02:04:42.510 --> 02:04:43.851]  No reviews yet, but I love it.
[02:04:46.900 --> 02:04:52.166]  Ladies and gentlemen, I am introducing you to RainForce Ultra.
[02:04:52.166 --> 02:04:59.394]  It is our mission to bring you products that boost your mind, give you energy with clean mental focus and clarity.
[02:04:59.394 --> 02:05:02.537]  And RainForce Plus is amazing, so is TurboForce.
[02:05:02.537 --> 02:05:05.520]  They're two different products that do different things.
[02:05:05.520 --> 02:05:06.481]  This new formula
[02:05:07.591 --> 02:05:11.732]  Drop For Drop is the strongest, probably out there, period.
[02:05:11.732 --> 02:05:18.415]  Just on the caffeine scale, it's twice as strong as Brain Force Plus, and it's from natural, high-quality organic sources.
[02:05:18.415 --> 02:05:24.097]  And it's got a bunch of other herbs known for deep clarity and long focus.
[02:05:24.097 --> 02:05:26.777]  It is a game-changer.
[02:05:26.777 --> 02:05:32.439]  It is Brain Force Ultra, discounted, out of the gates, at InfoWarstore.com.
[02:05:32.439 --> 02:05:33.940]  I'll tell you what else is amazing about it.
[02:05:34.500 --> 02:05:39.048]  It funds the InfoWar and our fight against the Globalists, a 360 win.
[02:05:39.048 --> 02:05:44.397]  Get your BrainForce Ultra right now at InfoWarStore.com and take your mind to the next level.
[02:05:52.978 --> 02:05:57.804]  Big Brother, mainstream media, government cover-ups.
[02:05:57.804 --> 02:05:59.506]  You want to stop tyranny?
[02:05:59.506 --> 02:06:01.168]  Well, so does he.
[02:06:01.168 --> 02:06:05.874]  Live from the InfoWars.com studios, it's Alex Jones.
[02:06:15.495 --> 02:06:24.258]  Well, ladies and gentlemen, we have had two gigantic, earth-shaking events that affect all of us in the last 24 hours.
[02:06:24.258 --> 02:06:41.485]  First, The Intercept, a very respected investigative journal, sued a year ago, and they finally got 900 pages, and I read 500 last night until I fell asleep at 2 a.m., and it just made me angry when I was reading it.
[02:06:41.485 --> 02:06:43.266]  We've got a bunch of those pages today here.
[02:06:44.918 --> 02:06:49.247]  We've got the 900 pages, and it's unspeakable evil!
[02:06:49.247 --> 02:06:49.568]  Fauci!
[02:06:51.050 --> 02:06:58.575]  Is there admitting to creating COVID-19 to fusing five viruses together that they later admitted as COVID-19?
[02:06:58.575 --> 02:07:04.399]  He admits it's synthetic just like his head of the program Peter Daszak did in 2019 in December.
[02:07:04.399 --> 02:07:05.760]  We have that video.
[02:07:05.760 --> 02:07:06.761]  But the media ignored that.
[02:07:06.761 --> 02:07:08.101]  But these are the documents.
[02:07:08.101 --> 02:07:10.603]  So this totally proves what Senator Paul says.
[02:07:10.603 --> 02:07:14.145]  It proves what Dr. Francis Boyle said in February.
[02:07:15.206 --> 02:07:19.808]  On this broadcast and in March and in May, you know, right through.
[02:07:19.808 --> 02:07:21.869]  He's been on every month with us or more.
[02:07:21.869 --> 02:07:26.372]  I guess probably made 18, 19 appearances it looks like.
[02:07:26.372 --> 02:07:28.993]  Every month since last February.
[02:07:28.993 --> 02:07:31.334]  He's a very busy professor.
[02:07:31.334 --> 02:07:34.476]  He is the author of the U.S.
[02:07:34.476 --> 02:07:36.857]  Biological Weapons Law.
[02:07:37.813 --> 02:07:43.735]  He was also a top UN prosecutor, prosecuted many war criminals like Sullivan Milosevic.
[02:07:43.735 --> 02:07:46.356]  And so he's the guy that can tell you about international law and U.S.
[02:07:46.356 --> 02:07:49.798]  law and the Nuremberg Code and the rest of it and applicable U.S.
[02:07:49.798 --> 02:07:52.839]  laws of how we can go after Fauci.
[02:07:52.839 --> 02:08:02.003]  But I have a very sick feeling that because the FBI and Justice Department are so controlled that instead we'll probably see, you know, Donald Trump indicted for
[02:08:03.410 --> 02:08:06.212]  Some type of tax stuff from 20 years ago in New York.
[02:08:06.212 --> 02:08:10.215]  Instead of the crimes of the century, gain of function.
[02:08:10.215 --> 02:08:12.717]  Then a new video surfaced from 2012.
[02:08:12.717 --> 02:08:15.720]  We aired the first hour that we'll play again for Dr. Boyle.
[02:08:18.629 --> 02:08:29.411]  Where he's in a online C-SPAN symposium, a bioweapons symposium called Biodefense 2012, and they ask about gain of function.
[02:08:29.411 --> 02:08:34.653]  They admit they built a virus that spreads faster through ferrets and can infect humans.
[02:08:34.653 --> 02:08:44.615]  So, we have all the admissions, we have all the documents, we have him specifically making this coronavirus at the Wuhan lab, and we have him not being arrested.
[02:08:46.758 --> 02:08:47.879]  So this is incredible.
[02:08:47.879 --> 02:08:54.243]  So we're joined by probably the best expert we could possibly have, Dr. Francis Boyle, for the rest of the hour, sir.
[02:08:54.243 --> 02:09:07.273]  So please, I know you did a show, you don't like to repeat yourself, a month ago where you laid out the three ways to indict him or go after him, but please, give us your take on how big this is, what's currently happening, what are the mechanisms by states or by grand juries?
[02:09:07.273 --> 02:09:13.757]  I mean, what can we do when someone is literally committing crimes against humanity in front of us?
[02:09:13.757 --> 02:09:14.518]  Thank you, Dr. Boyle.
[02:09:15.970 --> 02:09:20.955]  Well, thank you, Alex, for having me on, my best to your listening audience.
[02:09:20.955 --> 02:09:35.670]  I was watching the media today and I did want to address President Biden's address to the nation tomorrow in anticipation of what he's going to say.
[02:09:35.670 --> 02:09:39.854]  The reports are he is going to expand his
[02:09:40.609 --> 02:09:49.338]  Frankenshot mandate system that clearly violates the Nuremberg Code on medical experimentation.
[02:09:49.338 --> 02:09:54.563]  It's a Nuremberg crime and a Nuremberg crime against humanity.
[02:09:54.563 --> 02:10:02.991]  Biden is basically going to be deliberately setting up an apartheid system, and they had passes there,
[02:10:03.851 --> 02:10:04.712]  We're good to go.
[02:10:19.961 --> 02:10:23.182]  Absolutely, we'll get into the Fauci stuff next segment.
[02:10:23.182 --> 02:10:24.983]  Absolutely, that's huge news as well.
[02:10:24.983 --> 02:10:28.704]  So from your intel, what do you think he's going to announce tomorrow?
[02:10:28.704 --> 02:10:35.886]  And obviously we know the two head scientists over vaccines quit last week in anticipation of what's about to be announced.
[02:10:35.886 --> 02:10:39.627]  Right, well, we're going to have a third Frankenshot.
[02:10:39.627 --> 02:10:48.330]  So if the first two didn't kill you off already, you'll be triple tapped by the third Frankenshot.
[02:10:49.180 --> 02:11:07.654]  And then expanding the mandates as far as he possibly can for the, under the control of the United States federal government, and also compelling private employers to compel as many people as possible to take these Franken shots.
[02:11:07.654 --> 02:11:10.576]  As I said once before on your program,
[02:11:11.366 --> 02:11:19.428]  I was up against, personally, Senator Biden in his capacity as chairman of the Senate Foreign Relations Committee.
[02:11:19.428 --> 02:11:28.911]  My personal dealings with Biden, he is a total totalitarian along the lines of George Orwell in 1984.
[02:11:28.911 --> 02:11:37.533]  He has absolutely no respect for the civil rights, civil liberties, and human rights of the American people.
[02:11:38.414 --> 02:11:49.867]  And this dealt with the US-UK Supplementary Extradition Treaty of 1986, which he pushed through the Senate Foreign Relations Committee.
