[00:00.000 --> 00:14.000]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from
[2:44:32.760 --> 2:44:39.400]  trying to eradicate you but regardless this fight is intensifying 2018 has been insane
[2:44:39.400 --> 2:44:45.080]  2019 is going to be the big decision maker and I am so honored to be here with you right
[2:44:45.080 --> 2:44:49.520]  beside me not behind us but right beside us and at the heart of everything resisting
[2:44:49.520 --> 2:44:53.680]  these globalists so whatever you do take action realize we're changing history together and
[2:44:53.680 --> 2:44:56.440]  I salute you.
[2:44:56.440 --> 2:45:01.520]  For those of us that are the tip of the spear we're being targeted to take out the leadership
[2:45:01.520 --> 2:45:05.960]  that's the globalist only hope so when you support info wars when you spread our articles
[2:45:05.960 --> 2:45:10.160]  and videos when you buy products at info wars store.com you are literally not just supporting
[2:45:10.160 --> 2:45:14.080]  info wars and free speech and standing in defiance against Soros and Hillary and the
[2:45:14.080 --> 2:45:19.080]  rest of these people but you are standing for your own future and your own best shot
[2:45:19.080 --> 2:45:23.160]  of having an early warning system in America to stand against these individuals when you
[2:45:23.160 --> 2:45:27.600]  order products info wars store.com you fund not just an American revolution but a global
[2:45:27.600 --> 2:45:31.760]  revolution against tyranny and we have the biggest specials ever running throughout to
[2:45:31.760 --> 2:45:37.280]  the end of the year as part of a total store clearance every order gets a free t-shirt
[2:45:37.280 --> 2:45:41.800]  every order gets free shipping every order gets 50 to 75% off in total clearance and
[2:45:41.800 --> 2:45:47.440]  that funding allows us to go into the new year on sure footing to fund ourselves throughout
[2:45:47.440 --> 2:45:51.840]  the first part of the year to not just fight but to expand we're on the march the empires
[2:45:51.840 --> 2:45:57.840]  on the run I salute you all now please take action at info wars store.com we all know
[2:45:57.840 --> 2:46:01.760]  the importance of fish oils while we are sure to provide them for ourselves it's just as
[2:46:01.760 --> 2:46:07.040]  important to make sure your kids get their EPA and DHA too honor roll is a powerful
[2:46:07.040 --> 2:46:12.480]  DHA fish oil formula for your child built from the ground up to support your child's
[2:46:12.480 --> 2:46:18.880]  development this formula uses wild anchovy fish oil ultra purified krill oil and wild
[2:46:18.880 --> 2:46:24.640]  salmon fish oil with vitamins to boost your child's mind and body with this fish oil formula
[2:46:24.640 --> 2:46:31.040]  you can support your child's optimal heart joint cognitive and brain health while providing DHA
[2:46:31.040 --> 2:46:35.920]  which has been shown to be essential for your child's brain growth spurts built on powerful
[2:46:35.920 --> 2:46:42.400]  ingredients with 580 milligrams of high DHA omega-3 is this formula is highly refined to
[2:46:42.400 --> 2:46:47.680]  eliminate nearly all heavy metals if you're looking for a formula to help your child grow
[2:46:47.680 --> 2:46:53.680]  look no further try honor roll from info wars life at info wars store.com
[2:46:59.040 --> 2:47:01.680]  you're listening to the alex jones show
[2:47:01.680 --> 2:47:16.880]  leading a frontal assault on the lives of the new world order it's alex jones with mike adams
[2:47:20.240 --> 2:47:26.320]  it's my honor to be joining you today and i really appreciate you tuning in i hope you
[2:47:26.320 --> 2:47:31.760]  you've received a lot of practical information this is my last segment for today and then we've
[2:47:31.760 --> 2:47:37.680]  got i believe dug hagman taking over the fourth hour i always try to give you very practical
[2:47:37.680 --> 2:47:44.080]  information that's really you know well researched information that can greatly enhance the quality
[2:47:44.080 --> 2:47:50.240]  of your life and make you more free keep you more informed and aware and help you get more prepared
[2:47:50.240 --> 2:47:56.480]  against what's coming and i i really want to invite you let's let's let's take a big picture
[2:47:56.480 --> 2:48:02.240]  view together here i want to invite you to start observing the events that are happening in the
[2:48:02.240 --> 2:48:09.200]  world around you and looking at them now from the perspective of the war against humanity
[2:48:09.920 --> 2:48:15.920]  because i believe that as you start really having this overlay this perspective on
[2:48:15.920 --> 2:48:23.200]  on events that are unfolding the narratives of cnn the attacks on trump the mass poisoning
[2:48:23.200 --> 2:48:29.120]  of the food supply the the pushing of toxic chemotherapy treatments for people i think
[2:48:29.120 --> 2:48:34.560]  you'll come to understand that these all have something in common and that is the desire
[2:48:34.560 --> 2:48:41.360]  to exterminate humanity that's that's really what it is i mean you think look at every action like
[2:48:41.360 --> 2:48:49.120]  governor jerry brown recently just pardoning violent criminal felons i mean murderers in
[2:48:49.120 --> 2:48:56.080]  california are being pardoned now so that they won't be deported well why is the governor of
[2:48:56.080 --> 2:49:02.560]  california pardoning violent murderers well because it's all about spreading violence
[2:49:02.560 --> 2:49:10.320]  to attack good people it's about committing violence against humanity it's a small little piece of a
[2:49:10.320 --> 2:49:20.400]  much bigger puzzle that's all about how to destroy human lives how to create disease and and desperation
[2:49:20.400 --> 2:49:26.800]  among the population and everything that you see you start to have a question mark about it
[2:49:26.800 --> 2:49:32.480]  it's a lot of times you'll see it's a weapon like cancer treatments are a weapon cancer treatments
[2:49:32.480 --> 2:49:37.920]  cause cancer you know the fluoride in the water supply is a weapon that's scientifically validated
[2:49:37.920 --> 2:49:45.360]  to lower iqs in children adults and senior citizens the pesticides are a weapon system
[2:49:45.360 --> 2:49:50.160]  against humanity herbicides cancer causing chemicals these are weapon systems against
[2:49:50.160 --> 2:49:57.360]  humanity and even gun confiscation is a way to take away your ability to defend yourself the
[2:49:57.360 --> 2:50:05.760]  illegal invasion of america through the borders this is a way to overthrow first world nations
[2:50:05.760 --> 2:50:13.600]  and destroy societies that are leading humanity into a brighter future it's all attacks on humanity
[2:50:14.560 --> 2:50:22.480]  and so i have to say this mass poisoning of the human race it has been underway for a long time
[2:50:22.480 --> 2:50:28.320]  many years and it is accelerating now and the only way to stop this is to stop the globalists
[2:50:28.320 --> 2:50:36.880]  i have to emphasize this if we don't successfully stop the globalists then we are going to become
[2:50:36.880 --> 2:50:46.320]  extinct as a race our time on this planet is looking to be very limited you and i may be
[2:50:46.320 --> 2:50:52.080]  witnesses to the last chapter of human history at least structured in the way that we understand
[2:50:52.080 --> 2:50:59.680]  civilization today because the attacks on humanity are proceeding and all of these screaming
[2:50:59.680 --> 2:51:05.280]  babbling leftists who are attacking trump and attacking america what are they in favor of
[2:51:05.280 --> 2:51:10.400]  they're in favor of abortion they're in favor of pushing vaccines and maiming children they're
[2:51:10.400 --> 2:51:17.200]  in favor of the toxic gmo crops they're they're in favor of polluting the atmosphere they call it
[2:51:17.200 --> 2:51:23.040]  uh what is it stratospheric aerosol injections it's it's terraforming they want to block out
[2:51:23.040 --> 2:51:29.040]  the sun they want to poison the planet they want more air pollution this is their goal
[2:51:30.320 --> 2:51:36.880]  everything that they do is about destroying society it's about destroying human babies
[2:51:36.880 --> 2:51:42.160]  it's about destroying fertility it's about destroying the very definition of a man and a woman
[2:51:42.160 --> 2:51:49.360]  it's about creating a society where there is no more there are no families there's no sexual
[2:51:49.360 --> 2:51:54.400]  reproduction there are no there's no future for any children or the children of those children
[2:51:54.400 --> 2:51:58.640]  that's if you if you start to look around the world and see it from that point of view you
[2:51:58.640 --> 2:52:04.480]  will understand what's happening and when when cnn reports oh it's horrible that the troops love
[2:52:04.480 --> 2:52:13.840]  trump why why is cnn doing that because it's an attack on the the security of our nation
[2:52:13.840 --> 2:52:18.560]  they don't want america to have a military that loves its president they don't want america to
[2:52:18.560 --> 2:52:22.960]  have a border they don't want america to exist at all they are literally trying to destroy this
[2:52:22.960 --> 2:52:28.080]  country and think about the incredible evil of the people that go along with this the so-called
[2:52:28.080 --> 2:52:33.600]  journalists who are just fake journalists think about the propagandists think about i mean just
[2:52:33.600 --> 2:52:39.840]  think about the fact that as i'm here with you today for two hours i haven't used a teleprompter
[2:52:39.840 --> 2:52:44.320]  for one second you know i've got some articles printed out i've got a few notes here but i've
[2:52:44.320 --> 2:52:51.360]  delivered this entire show without any teleprompters there isn't a person in the left-wing media who
[2:52:51.360 --> 2:52:57.440]  could even do an hour show without a teleprompter because they're so brain dead they cannot even
[2:52:57.440 --> 2:53:02.560]  tell the difference between facts and fiction they're no longer even journalists they are just
[2:53:02.560 --> 2:53:08.720]  biological puppets they're just talking heads reading scripts and taking drugs and pushing
[2:53:08.720 --> 2:53:15.360]  pharmaceuticals that's all they do they're barely human anymore they are automatons they're biological
[2:53:15.360 --> 2:53:22.240]  robots they do what they're told but that's not the future that you and i want for humanity
[2:53:22.240 --> 2:53:29.440]  we are not here to just obey and do what we're told we're here to innovate we are here to help
[2:53:29.440 --> 2:53:35.760]  make humanity better than it is today we're here to create a brighter future for our children to
[2:53:35.760 --> 2:53:42.960]  keep humanity alive to reach for the stars and to expand our knowledge understanding and awareness
[2:53:42.960 --> 2:53:49.040]  of the world around us and how it works because we are students of cause and effect we are students
[2:53:49.040 --> 2:53:57.440]  of reality and that makes us enemies of the delusion weavers who are trying to control and
[2:53:57.440 --> 2:54:03.840]  suppress human consciousness and human minds and they can only do that through deception they can
[2:54:03.840 --> 2:54:09.120]  only do that by distracting you from reality by taking away your ability to think for yourself
[2:54:09.120 --> 2:54:16.640]  or to observe reality or to say that one plus one equals two if you can reason if you can engage
[2:54:16.640 --> 2:54:22.640]  in rationality you are the enemy of the establishment the establishment has no use for anyone who can
[2:54:22.640 --> 2:54:28.160]  think for themselves and as i mentioned earlier the most offensive thing in the world to a globalist
[2:54:28.160 --> 2:54:34.000]  is a healthy human baby being born alive they can't stand that they want all those babies
[2:54:34.000 --> 2:54:39.600]  murdered before they're born but the next most offensive thing is a baby that grows up with
[2:54:39.600 --> 2:54:47.760]  healthy nutrition good parenting a family unit maybe homeschooling or a good school a private
[2:54:47.760 --> 2:54:54.720]  school maybe some interaction with the christian faith and some teaching of morality and ethics
[2:54:54.720 --> 2:55:01.600]  combined with intelligence and discovery where that child grows up and becomes a free thinking
[2:55:01.600 --> 2:55:08.080]  adult and that is a huge threat to the globalist a free thinking adult is the second most offensive
[2:55:08.080 --> 2:55:14.480]  thing to the globalist and it takes courage to be a free thinking adult it takes courage
[2:55:14.480 --> 2:55:20.960]  to share this video to share this information it takes courage to do what you do and to do what i do
[2:55:22.480 --> 2:55:30.480]  but while most people want to be comfortable you and i we want to be effective we want to
[2:55:30.480 --> 2:55:37.600]  help humanity move forward we don't want humanity trapped and enslaved in this mental cage this
[2:55:37.600 --> 2:55:46.960]  prison system of dis info and fairy tales and and lgbtp propaganda and indoctrination that is a trap
[2:55:46.960 --> 2:55:53.920]  for humanity that's mental slavery we don't settle for that that's why we do what we do that's why you
