[00:00.000 --> 00:04.880]  Founder Alex Jones is calling out alleged collusion between Google and Democrats
[2:41:07.000 --> 2:41:12.760]  Uh vaccine misinformation. Well, you know what? I don't really give a damn. I think we need to talk about it
[2:41:12.760 --> 2:41:18.120]  It has to be talked about because people's lives were affected and people potentially died
[2:41:18.440 --> 2:41:22.840]  And when that needs to be investigated and if they and all of that is true, which I believe it is
[2:41:23.240 --> 2:41:30.520]  Then people should go to jail and dr. Fauci is top on that list. Absolutely mtg for america dot com
[2:41:31.000 --> 2:41:35.480]  Everybody share that mtg for this is the number four america dot com
[2:41:35.480 --> 2:41:40.440]  Thank you so much for everything you're doing. We're praying for you. You're a champion and a leader and we salute you
[2:41:41.560 --> 2:41:47.320]  Thank you, alex. God bless you. Wow. Thank god. Sheer the police and her daughter and didn't get hurt last night
[2:41:47.320 --> 2:41:49.000]  Thank you marjorie taylor green
[2:41:49.000 --> 2:41:52.440]  All right, we're gonna come back and hit all this news that's built up that I haven't hit yet
[2:41:52.760 --> 2:41:58.360]  And I may take over some of the next hour to finish calls. I'm not sure but we've just got so much to hit here separately
[2:41:59.000 --> 2:42:04.280]  We can't stay in attack formation without your support. So share the articles share the videos share the live feed
[2:42:04.280 --> 2:42:07.160]  info wars.com forward slash job
[2:42:08.440 --> 2:42:12.920]  It's the last few days for you to get the great reset in the war for the world my new book sign
[2:42:13.960 --> 2:42:19.320]  We've sold out of the unsigned. We had thousands set aside for signed copies. It's a fundraiser. Thanks for your support
[2:42:19.560 --> 2:42:22.120]  If you want to get a signed book of this historic death star plan
[2:42:23.080 --> 2:42:25.080]  You can get it info or store.com
[2:42:25.640 --> 2:42:32.680]  Bottom mineral fusion is about to sell out. It's still at 40 off came back in stock dna force plus 50 off
[2:42:32.680 --> 2:42:37.720]  Ultimate fish oil over the top of your heart and your whole body. It just came back in 50% off
[2:42:38.040 --> 2:42:43.320]  Supermail vitality back at stock 40% off. Thank you for the funding plus. These are incredible products
[2:42:43.640 --> 2:42:48.120]  You need go now to the coordinates to fund the rebellion and get amazing
[2:42:48.520 --> 2:42:51.480]  life expanding and extending products at in
[2:42:51.880 --> 2:42:53.880]  foe wars store
[2:42:53.880 --> 2:42:55.880]  dot com
[2:42:56.680 --> 2:42:58.680]  The cavalry
[2:42:58.680 --> 2:43:00.680]  For your immune system
[2:43:00.680 --> 2:43:08.680]  The cavalry for your health and the cavalry to keep info wars on the air with funding has now arrived a 360 win
[2:43:09.480 --> 2:43:11.320]  Almost sold out for a year
[2:43:11.320 --> 2:43:17.720]  dna force plus with the pqq and the coq 10 and all the patented documented
[2:43:19.160 --> 2:43:20.760]  super ingredients
[2:43:20.760 --> 2:43:26.920]  To completely turbo charge your immune system and your body is finally back in stock and
[2:43:26.920 --> 2:43:31.800]  Despite the fact it's going to sell out quick. I want those of you that have an experience to get it
[2:43:32.040 --> 2:43:34.920]  And I want long-term supporters to experience it as well
[2:43:35.240 --> 2:43:39.000]  So it is 50 off out of the gates for a limited time
[2:43:39.480 --> 2:43:45.960]  dna force plus finally back in stock at info wars store.com for 50 off
[2:43:46.600 --> 2:43:49.560]  Ladies and gentlemen, this is a symbiotic relationship
[2:43:50.360 --> 2:43:55.560]  Supporting info wars defeats the globalist and this product does amazing things for your body. Take action now
[2:43:55.560 --> 2:44:01.400]  Seven months ago in december of 2021. We launched the first in the three coin
[2:44:01.960 --> 2:44:05.160]  Founding member series george washington slaying the dragon
[2:44:05.560 --> 2:44:11.000]  Then we launched the tree of liberty coin and finally the second amendment come and take it molon lobby coin
[2:44:11.480 --> 2:44:17.000]  There are only 75 points left in the three point series
[2:44:17.960 --> 2:44:19.960]  exclusively right now at
[2:44:20.040 --> 2:44:23.080]  1776 point dot com and for the final
[2:44:23.080 --> 2:44:27.800]  75 people become founding members for this big project. We're launching in the near future
[2:44:28.040 --> 2:44:30.680]  You'll also get a personal signed piece of art
[2:44:30.840 --> 2:44:34.520]  I made of the sheepdog chasing the wolf and a personal message
[2:44:34.840 --> 2:44:40.840]  It's your last chance to get all three coins at 1776 point dot com
[2:44:41.160 --> 2:44:47.400]  This is history happening now info wars takes your support is changing the world and this is the final
[2:44:47.400 --> 2:44:55.000]  75 three coin set exclusively available at 1776 point dot com
[2:44:56.600 --> 2:44:58.600]  So many people over the years
[2:44:58.920 --> 2:45:04.040]  Have walked up to me randomly on the street and said super male vitality is incredible
[2:45:04.440 --> 2:45:07.160]  Why does it work so well and the answer is very simple?
[2:45:07.720 --> 2:45:09.720]  It takes from chinese medicine and other
[2:45:10.360 --> 2:45:14.120]  Ancient traditions known herbal compounds that boost libido
[2:45:14.120 --> 2:45:18.520]  Stamina and energy and it comes from cold pressed herbs
[2:45:18.840 --> 2:45:26.040]  So they're not boiling or heating up the herbs that are known to have these natural effects. It's cold pressed
[2:45:26.600 --> 2:45:29.080]  It's been sold out for eight months or more
[2:45:29.400 --> 2:45:36.040]  It's finally back at stock at infowarstore.com for 25 off super male vitality
[2:45:36.200 --> 2:45:38.200]  And it goes great with x2
[2:45:38.360 --> 2:45:40.120]  Which is also 25 off
[2:45:40.120 --> 2:45:46.120]  But if you get both these products together, they're 40 off in a combo at infowarstore.com
[2:45:46.360 --> 2:45:54.360]  So x2 and super male vitality 40 off together or 25 off individually at infowarstore.com
[2:45:54.520 --> 2:45:58.280]  It's amazing try it today. We are now living in the void
[2:45:58.920 --> 2:46:05.720]  sliding towards collapse in the strange space between what we've known and what's to come and right now
[2:46:06.040 --> 2:46:08.440]  The most important thing to remember is
[2:46:08.440 --> 2:46:17.400]  Don't panic stay calm because now is the time that we must get our bearings and steer the ship onto a safe sound course
[2:46:17.720 --> 2:46:21.880]  There is nothing stopping we the people from making our own rules
[2:46:22.440 --> 2:46:27.880]  And building our own society all we got to do is survive the crash and right now
[2:46:28.120 --> 2:46:34.040]  We still have time to prepare the world fiat currency system is racing towards zero
[2:46:34.040 --> 2:46:42.760]  It's time to convert it into hard assets now including food water and survival gear to keep us strong and at the ready
[2:46:43.320 --> 2:46:46.840]  Go to preparedtoday.com for the essentials
[2:46:47.560 --> 2:46:55.000]  Storeable foods water filtration first aid power and more at preparedtoday.com
[2:46:55.000 --> 2:47:03.320]  Leading a frontal assault on the lies of the new world order. It's alex jones
[2:47:25.080 --> 2:47:29.160]  Made his great-grandchildren believed you could live to a hundred and three
[2:47:31.000 --> 2:47:34.680]  A hundred and three is forever when you're just a little kid
[2:47:36.360 --> 2:47:37.320]  So
[2:47:37.320 --> 2:47:39.800]  Silence your homes live forever
[2:47:41.560 --> 2:47:43.560]  Great digger
[2:47:44.120 --> 2:47:46.120]  When you dig my grave
[2:47:46.920 --> 2:47:48.920]  Would you make a shallow
[2:47:50.520 --> 2:47:52.520]  So I can feel
[2:47:52.520 --> 2:47:54.520]  Oh
[2:47:57.240 --> 2:48:02.200]  Well, california has officially announced banning all gasoline and diesel engines
[2:48:04.520 --> 2:48:06.520]  Yeah, it's on
[2:48:07.000 --> 2:48:09.160]  Nobody else is doing it. We're just being shut down
[2:48:10.840 --> 2:48:14.600]  But folks are striking back and my state isn't perfect, but i'm proud of texas
[2:48:14.600 --> 2:48:23.880]  Go woke get the hell out texas bans wall street giants black rock credit swiss and others over energy boycott
[2:48:24.600 --> 2:48:29.080]  It's a big zero hedge article. We're posting it to info wars.com black rock bmp
[2:48:29.880 --> 2:48:36.520]  Credit swiss and others are among the first firms. The texas has just issued what will now be banned from working
[2:48:38.040 --> 2:48:40.520]  With the state due to their hostility to energy industry
[2:48:40.520 --> 2:48:48.280]  And for almost a year of suspense that caused banks business in texas and multi municipal bond issuance avoidance firms
[2:48:49.400 --> 2:48:56.040]  Which status is unclear amid the probe bloomberg reports that glenn haggar the republican state comptroller on wednesday
[2:48:56.600 --> 2:49:00.440]  Name the firms he will prohibit from entering into the most contracts with the state
[2:49:00.760 --> 2:49:07.480]  That's local entities after the office found the boycott of the fossil fuels sector. This is the opposite of scg's
[2:49:07.480 --> 2:49:13.880]  scg's are where they get local state and federal national governments around the world to say you can only spend money with the globalist
[2:49:14.360 --> 2:49:17.000]  And all their failed stuff designed to destroy civilization
[2:49:17.640 --> 2:49:19.640]  This is saying we're not doing business with you
[2:49:20.920 --> 2:49:22.920]  And this is how you strike back
[2:49:23.480 --> 2:49:30.280]  More than 150 firms were sent detailed inquiries requesting information on whether they were shunning the oil and gas industry
[2:49:30.600 --> 2:49:35.000]  In favor of sustainable investment financial goals. Remember, they're not doing drilling in texas now
[2:49:35.000 --> 2:49:37.800]  But they're doing it in saudi arabia venezuela
[2:49:39.320 --> 2:49:42.760]  As a reminder the survey was triggered by g.o.p. Back state law
[2:49:43.160 --> 2:49:45.160]  That took effect on september 1st 2021
[2:49:45.720 --> 2:49:52.920]  Which limits texas governments from entering into certain contracts with firms that have curbed ties with carbon emitting energy companies
[2:49:54.520 --> 2:49:56.520]  And it goes on from there
[2:49:56.520 --> 2:49:59.720]  So larry think it's not a happy new world order camper
[2:49:59.720 --> 2:50:04.360]  Here is the announcement by the comptroller in texas
[2:50:05.800 --> 2:50:07.800]  This is some good good
[2:50:08.280 --> 2:50:10.280]  good news
[2:50:10.280 --> 2:50:12.520]  And list all the companies banned from doing business
[2:50:13.080 --> 2:50:17.480]  With the state they want to cut our energy off. We cut them off from the taxpayer
[2:50:18.040 --> 2:50:20.440]  Meanwhile ministry of climate change tridot
[2:50:21.000 --> 2:50:26.600]  Installing weapons armories interrogation rooms for climate police force. What did they say?
[2:50:26.600 --> 2:50:29.400]  A few years ago during the lockdown they said next
