[00:00.000 --> 00:26.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[02:30:30.000 --> 02:30:39.000]  Now we are introducing the fruit of the research, a fast-acting chewable tablet, just two tablets at the first sign of seasonal distress,
[02:30:39.000 --> 02:30:45.000]  and fast-acting pollen block starts working in about 15 minutes to help alleviate seasonal distress.
[02:30:45.000 --> 02:30:48.000]  Enjoy the air you breathe naturally with fast-acting pollen block.
[02:30:48.000 --> 02:31:16.000]  Available now at infowarslife.com or by calling toll 3-888-253-3139.
[02:31:18.000 --> 02:31:30.000]  The amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[02:31:30.000 --> 02:31:38.000]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy,
[02:31:38.000 --> 02:31:46.000]  this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there, and it's amazing.
[02:31:46.000 --> 02:31:50.000]  Find out for yourself today at infowarsstore.com, what it can do for your family,
[02:31:50.000 --> 02:32:17.000]  and again I want to thank you all for your support, you are funding the Information War in 2018.
[02:32:17.000 --> 02:32:24.000]  Super male vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[02:32:24.000 --> 02:32:28.000]  InfoWarslife wants to bring you the highest quality products.
[02:32:28.000 --> 02:32:37.000]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[02:32:37.000 --> 02:32:41.000]  Support your body and mind and take yourself to the next level.
[02:32:41.000 --> 02:32:45.000]  Boost your vitality and energize your life.
[02:32:45.000 --> 02:32:47.000]  Take control of your body.
[02:32:47.000 --> 02:32:52.000]  Grab a bottle of super male vitality today at infowarslife.com.
[02:32:52.000 --> 02:33:18.000]  That's infowarslife.com.
[02:33:18.000 --> 02:33:23.000]  The answer to 1984 is 1776.
[02:33:23.000 --> 02:33:39.000]  You're listening to the Alex Jones Show.
[02:33:39.000 --> 02:33:45.000]  Andrew Afanasiev is our guest for the rest of the hour, five minutes to the next hour.
[02:33:45.000 --> 02:33:50.000]  Before we have our other guest hosts joining us, we talk about riveting information.
[02:33:50.000 --> 02:33:56.000]  Doug Hagman always doing an amazing job with all of his intel on what's really going on.
[02:33:56.000 --> 02:34:07.000]  Russia had multinational global interest big banks that financed in 1917 less than 10,000 armed fighters to go in.
[02:34:07.000 --> 02:34:20.000]  A lot of them were World War I veterans who happened to be of Russian ancestry and other ancestry to go in Russian speakers, kill the police, the military, tell the rest of the country, we're going to have a peace deal.
[02:34:20.000 --> 02:34:22.000]  Just turn in your guns.
[02:34:22.000 --> 02:34:25.000]  It took them a couple years to even get control of the areas around Moscow.
[02:34:25.000 --> 02:34:28.000]  He can correct me as a historian, a political scientist.
[02:34:28.000 --> 02:34:30.000]  I'm not a Russian, but I've studied it.
[02:34:30.000 --> 02:34:35.000]  And then they just start taking over, killing the Christians, slaughtering, I mean just raping.
[02:34:35.000 --> 02:34:38.000]  They told Lenin, they said, sir, we've already killed millions.
[02:34:38.000 --> 02:34:39.000]  How many more?
[02:34:39.000 --> 02:34:40.000]  He goes, I want terror.
[02:34:40.000 --> 02:34:46.000]  He would look at maps and go, go in this town and kill all the Christians, go in that town and kill all the Christians, go in this town and kill all the Christians.
[02:34:46.000 --> 02:34:47.000]  They said, why?
[02:34:47.000 --> 02:34:48.000]  They've all submitted.
[02:34:48.000 --> 02:34:51.000]  They said, I want blood.
[02:34:51.000 --> 02:34:54.000]  You can hear Bernie Sanders almost like, I want to teach him.
[02:34:54.000 --> 02:34:57.000]  And so you've got the floor for this segment and the next.
[02:34:57.000 --> 02:35:09.000]  Repeat what you were saying as you got caught off by the break about how there's a global civil war versus nationalist, free market populist, just a traditionalist.
[02:35:09.000 --> 02:35:22.000]  And this global mega controlled combine that is like Bolshevism 2.0, but the big mega banks and mega tech companies in their own words, operating as authoritarian technocrats, the new robber barons.
[02:35:22.000 --> 02:35:29.000]  The robber barons finance the takeover of Russia and then use Russia and exploit a phase to take over much of the world.
[02:35:29.000 --> 02:35:38.000]  Now, now we see them in a fit that all of the world as as as the internet they wanted to use to control us is used to expose them.
[02:35:38.000 --> 02:35:40.000]  So let's talk about what's happened in history.
[02:35:40.000 --> 02:35:45.000]  What's happening now this meet the playboy model running against Putin for president.
[02:35:45.000 --> 02:35:46.000]  We'll get into all that as well.
[02:35:46.000 --> 02:35:49.000]  But please go ahead and break it down for us.
[02:35:49.000 --> 02:35:50.000]  Yes.
[02:35:50.000 --> 02:35:51.000]  Thank you, Alex.
[02:35:51.000 --> 02:36:10.000]  First of all, we're in the state of a global civil war, as you said, against between globalists in support of a global liberal market and controlled by the global government and nationalist conservative traditions who just want to live their lives.
[02:36:10.000 --> 02:36:22.000]  The father's deed on their land and not attacking and fighting with each other.
[02:36:22.000 --> 02:36:27.000]  So and the thing is that in the whole world in any country in the world, there are now these two camps, but there are different shares of such people.
[02:36:27.000 --> 02:36:41.000]  And for example, Europe is almost totally controlled now by these people politically.
[02:36:41.000 --> 02:36:50.000]  And we see now that in some countries, for example, in Eastern Europe, in Hungary, Czech Republic, Slovakia, Poland.
[02:36:50.000 --> 02:37:01.000]  Now, Austria, we see populist pro nationalist pro sovereignty governments winning and forming the majority in Russia.
[02:37:01.000 --> 02:37:14.000]  I could say that the share is 80 to 20 80 percent of Russians of any level in support of national rational sovereign.
[02:37:14.000 --> 02:37:19.000]  Is it fair to say Russia is the most await country in the world of the globalist?
[02:37:19.000 --> 02:37:22.000]  I could say so because we suffered most.
[02:37:22.000 --> 02:37:32.000]  I can tell you that today is a date that 100 years ago, the first Orthodox bishop was killed by Bolsheviks.
[02:37:32.000 --> 02:37:42.000]  It was February, February 5th of 1918, right after right after the Bolsheviks came to power.
[02:37:42.000 --> 02:37:50.000]  So the first thing they started, as you said, was destroying the Orthodox Church and killing all the priests.
[02:37:50.000 --> 02:37:59.000]  For 15 years, they killed 120,000 priests, only priests out of all 150,000.
[02:37:59.000 --> 02:38:09.000]  And by the middle of World War II or Great Patriotic War for us, we had like several bishops left out of hundreds.
[02:38:09.000 --> 02:38:17.000]  And the persecution of Christians, I mean, the radical, the violent persecution finished, I think, only after World War II.
[02:38:17.000 --> 02:38:25.000]  Because during the World War II, the Bolsheviks understood that the only way to win is to ask for support of church.
[02:38:25.000 --> 02:38:31.000]  Because people still under the reign of the government were Christian and were traditionalists.
[02:38:31.000 --> 02:38:46.000]  According to the census of 1936, it's during Stalin era, 20 years after the revolution, still 37% of all people in Russia said that they were Orthodox.
[02:38:46.000 --> 02:38:54.000]  You must understand that these are 37% of all nations that were ready to suffer and go to prison for that.
[02:38:54.000 --> 02:38:57.000]  It's not like just an anonymous census.
[02:38:57.000 --> 02:39:00.000]  People come to your place and say, do you believe in God?
[02:39:00.000 --> 02:39:04.000]  And you just can't be taken to camp and never go back.
[02:39:04.000 --> 02:39:06.000]  So this is the point.
[02:39:06.000 --> 02:39:11.000]  Even in such times, 37% of people were brave enough to say that.
[02:39:11.000 --> 02:39:17.000]  And the point is that now in the world, we see the same.
[02:39:17.000 --> 02:39:21.000]  We see how Christians and Christian values have been oppressed.
[02:39:21.000 --> 02:39:31.000]  We see how anti-Christian lifestyle has been promoted in media, in films, even in video games.
[02:39:31.000 --> 02:39:39.000]  And now, in a lot of countries, it has been promoted in schools, even in kindergartens, to children.
[02:39:39.000 --> 02:39:43.000]  So it's something that the majority of Russians cannot tolerate.
[02:39:43.000 --> 02:39:46.000]  So that's why we chose another way.
[02:39:46.000 --> 02:39:57.000]  And the interesting thing about current America, Trump's America, is now that it resembles Russia of 1999 when Putin came.
[02:39:57.000 --> 02:40:05.000]  Because from 1991 after the collapse of the Soviet Union until 1999, Russia also was not sovereign and independent.
[02:40:05.000 --> 02:40:10.000]  It was under control of liberal globalist kleptocrats.
[02:40:10.000 --> 02:40:18.000]  Just the oligarchs who, after the collapse of this, they were ex-communists, most of them were ex-members of Communist Party.
[02:40:18.000 --> 02:40:26.000]  And then in the beginning of 1990s, they just shifted and changed their ideology and became not communists,
[02:40:26.000 --> 02:40:37.000]  for communist economy, planning economy, and became super globalist liberal oligarchs that started.
[02:40:37.000 --> 02:40:43.000]  Oh, it's on record that Western companies lined up to just come use the Russians and others like total slaves.
[02:40:43.000 --> 02:40:47.000]  Then they would use, again, the Russians to march into nearby areas and use them as slaves.
[02:40:47.000 --> 02:40:51.000]  Then Russia gets the blame, the globalists don't. Just like they use America to go out and build empire.
[02:40:51.000 --> 02:40:57.000]  And then America gets the blame, and our vets that die get the blame, but not the people up in the big ivory towers,
[02:40:57.000 --> 02:41:03.000]  who then fund the very movements hating the country when they're in command of it using it to do the bad.
[02:41:03.000 --> 02:41:07.000]  So they know how to put the country in double pressure.
[02:41:07.000 --> 02:41:12.000]  Definitely. They work like a typical parasite. They need a body to operate inside.
[02:41:12.000 --> 02:41:18.000]  They cannot form their own army, at least by now, in God, of globalists.
[02:41:18.000 --> 02:41:29.000]  In fact, they infest different societies, different groups of people, and make them do whatever they want and whatever they need.
[02:41:29.000 --> 02:41:35.000]  So, and when Putin came, things started changing. I can tell you because I remember it.
[02:41:35.000 --> 02:41:39.000]  Putin came to a country that were a brink of a total collapse.
[02:41:39.000 --> 02:41:43.000]  And we were in a state of a civil war in Chechnya.
[02:41:43.000 --> 02:41:54.000]  This war also was instigated and funded from abroad, from globalist institutions and the networks in the Middle East.
[02:41:54.000 --> 02:41:59.000]  So, Putin came, and the first thing that he did, he stopped the civil war.
[02:41:59.000 --> 02:42:08.000]  And after that, he gathered all the oligarchs. It was a very famous, you know, so-called picnic outside of Moscow and said,
[02:42:08.000 --> 02:42:17.000]  OK, now the rules are different. You either become like national businessmen, or we will work with you.
[02:42:17.000 --> 02:42:25.000]  Stay right there, we'll talk about this, because as you said, when Trump said, I admire Putin, he's strong for nationalism, he did.
[02:42:25.000 --> 02:42:32.000]  It's admitted Trump is using the blueprint that Putin used to take the country back, turn the country back on, line up the oligarchs,
[02:42:32.000 --> 02:42:35.000]  get the ones that joined in the wood, go after those that wouldn't.
[02:42:35.000 --> 02:42:40.000]  And so, when they talk about Russian collusion, it's only in the blueprint of Putin that there is collusion.
[02:42:40.000 --> 02:42:51.000]  There is no real collusion, except in spirit and action from the already successful blueprint, with Russia now leading the world with nationalism against globalism.
[02:42:51.000 --> 02:43:14.000]  That's the only true collusion is in diagram.
[02:43:22.000 --> 02:43:33.000]  Our natural mixture harnesses the power of ten known ingredients to let your body relax and get the sleep you need.
[02:43:33.000 --> 02:43:35.000]  Wake up refreshed and take on the day.
[02:43:35.000 --> 02:43:43.000]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[02:43:43.000 --> 02:43:47.000]  Get the sleep you deserve and experience the power of knockout.
