[00:00.000 --> 00:06.000]  Here is a sneak peek at the new head-to-head TV show I'm doing with Jesse Ventura.
[02:13:52.000 --> 02:14:03.000]  And I see that we go down the hill and being an engineer, I know that we'll be able to climb that last mountain with the kinetic energy we're going to gain.
[02:14:03.000 --> 02:14:11.000]  If I speed this train up to about 150 miles an hour or 200 miles an hour, but the trains, you know, the tracks only designed for about a 60 mile an hour.
[02:14:11.000 --> 02:14:21.000]  I'm not going to take the risk to accelerate this train down off this mountain down into the valley and then up that mountain of Mordor.
[02:14:21.000 --> 02:14:25.000]  That's the allegory because believe me, they don't like me now.
[02:14:25.000 --> 02:14:32.000]  They know we're positioned and they know I can pull the trigger, drop the hammer and have this show explode even faster.
[02:14:32.000 --> 02:14:37.000]  People are going to freak out on little local cable systems and TV stations and stuff when this is on.
[02:14:37.000 --> 02:14:42.000]  Without even asking, we're already on five cable systems and some broadcast TV stations.
[02:14:42.000 --> 02:14:48.000]  I'm talking about Southern California, Houston, Texas, upstate New York, Florida.
[02:14:48.000 --> 02:14:51.000]  Without, I mean, we're talking about big stations.
[02:14:51.000 --> 02:14:53.000]  I haven't even plugged these people yet.
[02:14:53.000 --> 02:14:55.000]  I haven't even gotten ready to roll this out yet.
[02:14:55.000 --> 02:15:01.000]  We're on the satellite provider already and the cable system that put the Ron Paul channel on.
[02:15:01.000 --> 02:15:02.000]  They've been trying to get me to it for years.
[02:15:02.000 --> 02:15:03.000]  They got Ron Paul to do it.
[02:15:03.000 --> 02:15:05.000]  I mean, we've got it lined up.
[02:15:05.000 --> 02:15:08.000]  We've got stations clamoring.
[02:15:08.000 --> 02:15:13.000]  I'm just trying to get our news quality production up more, which we're doing.
[02:15:13.000 --> 02:15:18.000]  I mean, this is a ragtag operation that is ready.
[02:15:18.000 --> 02:15:23.000]  We're going to be a lot bigger than Glenn Beck, who tried to get a, you know, just a cable channel.
[02:15:23.000 --> 02:15:24.000]  He got a thousand cable channels.
[02:15:24.000 --> 02:15:25.000]  Nobody's watching.
[02:15:25.000 --> 02:15:30.000]  You're on the local basic cable channel like we are in Houston right now.
[02:15:30.000 --> 02:15:33.000]  You're right now we're on the basic cable in Houston.
[02:15:33.000 --> 02:15:34.000]  You know what that means?
[02:15:34.000 --> 02:15:39.000]  We got basic cable franchise holders that are listeners all over the country.
[02:15:39.000 --> 02:15:41.000]  And quite frankly, it's not that I'm a coward.
[02:15:41.000 --> 02:15:47.000]  I've been hesitating after all these battles now facing the main enemy and knowing that
[02:15:47.000 --> 02:15:52.000]  if I turn up the heat and go up against them, they are going to drop a hammer on me, but
[02:15:52.000 --> 02:15:54.000]  that'll make us even bigger.
[02:15:54.000 --> 02:15:58.000]  Every time I get attacked with espionage, like stuff out of movies, folks.
[02:15:58.000 --> 02:16:01.000]  I don't even get into it.
[02:16:01.000 --> 02:16:02.000]  It just, everything goes our way.
[02:16:02.000 --> 02:16:05.000]  It blows up in all of our enemy's faces.
[02:16:05.000 --> 02:16:07.000]  Things just drop right in our laps.
[02:16:07.000 --> 02:16:09.000]  The enemy's entire battle plan.
[02:16:09.000 --> 02:16:12.000]  Everything just blows up in their face.
[02:16:12.000 --> 02:16:17.000]  God be with us who can be against us, but I'll be honest with you.
[02:16:17.000 --> 02:16:19.000]  My spirit is willing, but my flesh is weak.
[02:16:19.000 --> 02:16:23.000]  It's like my spirit wants to fight harder and my body goes, man, I'm tired.
[02:16:23.000 --> 02:16:25.000]  Buddy, can't you go fishing and enjoy yourself?
[02:16:25.000 --> 02:16:27.000]  You really are pushing it.
[02:16:27.000 --> 02:16:29.000]  Okay, don't get me killed.
[02:16:29.000 --> 02:16:30.000]  Stop it.
[02:16:30.000 --> 02:16:31.000]  Stop it.
[02:16:31.000 --> 02:16:34.000]  My spirit's like, yes, yes, yes, go, go, go, go.
[02:16:34.000 --> 02:16:36.000]  My body's like, no, no, no, no.
[02:16:36.000 --> 02:16:37.000]  Don't do it.
[02:16:37.000 --> 02:16:39.000]  Don't, no, don't you dare.
[02:16:39.000 --> 02:16:42.000]  It's like the devil on the left, angel on the right.
[02:16:42.000 --> 02:16:46.000]  Make no mistake who I'll be with tonight.
[02:16:46.000 --> 02:16:48.000]  I mean, it's hard.
[02:16:48.000 --> 02:16:51.000]  It's hard to do this when you're actually in the position.
[02:16:51.000 --> 02:16:54.000]  I mean, I could have even greater success as my whole point.
[02:16:54.000 --> 02:16:57.000]  And I'm busy flogging around here to try to get basic stuff done,
[02:16:57.000 --> 02:17:00.000]  because it's not well organized because I run it.
[02:17:00.000 --> 02:17:02.000]  And it's not that I'm badly organized.
[02:17:02.000 --> 02:17:04.000]  It's that I take on too much.
[02:17:04.000 --> 02:17:05.000]  I'm going to skip this network break.
[02:17:05.000 --> 02:17:07.000]  See, I shouldn't skip the breaks.
[02:17:07.000 --> 02:17:08.000]  That bankrupts the network.
[02:17:08.000 --> 02:17:09.000]  In fact, we're not going to skip it.
[02:17:09.000 --> 02:17:10.000]  I apologize.
[02:17:10.000 --> 02:17:11.000]  Charlie, go ahead and finish up.
[02:17:11.000 --> 02:17:13.000]  I don't remember the anonymous contest.
[02:17:13.000 --> 02:17:15.000]  I said something about it.
[02:17:15.000 --> 02:17:19.000]  It would be a really great idea to get people involved,
[02:17:19.000 --> 02:17:23.000]  to do things anonymously and then videotape it, legal and lawful things.
[02:17:23.000 --> 02:17:26.000]  It's a great idea, but I don't think I even have the,
[02:17:26.000 --> 02:17:28.000]  that's lower on the totem pole.
[02:17:28.000 --> 02:17:30.000]  How about other people just go out and do it,
[02:17:30.000 --> 02:17:32.000]  send us the YouTube's at show tips.
[02:17:32.000 --> 02:17:34.000]  I mean, you know, let's just do it.
[02:17:34.000 --> 02:17:35.000]  For me, take action.
[02:17:35.000 --> 02:17:37.000]  Go ahead, Charlie.
[02:17:37.000 --> 02:17:40.000]  Well, sir, I just want to say an ending.
[02:17:40.000 --> 02:17:43.000]  I saw you on the peers market show when you appeared there,
[02:17:43.000 --> 02:17:45.000]  defending the second amendment.
[02:17:45.000 --> 02:17:48.000]  And as a result of that, I'm a better man today.
[02:17:48.000 --> 02:17:51.000]  All you could do was defend in a man's right,
[02:17:51.000 --> 02:17:53.000]  defend and protect his family.
[02:17:53.000 --> 02:17:54.000]  And God bless you.
[02:17:54.000 --> 02:17:57.000]  God bless you in the entire awards team.
[02:17:57.000 --> 02:18:00.000]  And we send our prayers to you, sir.
[02:18:00.000 --> 02:18:01.000]  Well, thank you.
[02:18:01.000 --> 02:18:03.000]  You made some really good points earlier.
[02:18:03.000 --> 02:18:05.000]  We're going to break in a few minutes.
[02:18:05.000 --> 02:18:07.000]  Anything else you'd like to add?
[02:18:07.000 --> 02:18:08.000]  No, sir.
[02:18:08.000 --> 02:18:11.000]  We're with you, sir, and we're praying and working.
[02:18:11.000 --> 02:18:14.000]  And God is with us.
[02:18:14.000 --> 02:18:16.000]  Well, thank you so much, brother.
[02:18:16.000 --> 02:18:17.000]  Thank you.
[02:18:17.000 --> 02:18:19.000]  And I want to thank you, sir, for all you're doing
[02:18:19.000 --> 02:18:21.000]  and supporting us and calling in.
[02:18:21.000 --> 02:18:24.000]  It's very humbling to just have all these good people.
[02:18:24.000 --> 02:18:25.000]  You can hear how good they are,
[02:18:25.000 --> 02:18:28.000]  how good their spirit is in their voice.
[02:18:28.000 --> 02:18:32.000]  And it just shakes me up to have so many incredible men
[02:18:32.000 --> 02:18:34.000]  and women of every race, color and creed
[02:18:34.000 --> 02:18:36.000]  who are counting on me.
[02:18:36.000 --> 02:18:38.000]  And I've seen people procrastinate
[02:18:38.000 --> 02:18:40.000]  and never launch a radio show,
[02:18:40.000 --> 02:18:42.000]  never launch a magazine, never make a film
[02:18:42.000 --> 02:18:45.000]  because they want to do a perfect job.
[02:18:45.000 --> 02:18:47.000]  And I've always criticized those people
[02:18:47.000 --> 02:18:49.000]  saying, don't wait, get involved,
[02:18:49.000 --> 02:18:53.000]  but now that I'm in such a spotlight
[02:18:53.000 --> 02:18:56.000]  and my operation is, it's almost like
[02:18:56.000 --> 02:19:00.000]  I'm a deer in the headlights now, to a certain extent,
[02:19:00.000 --> 02:19:04.000]  that it's just, it's so overwhelming, I struggle with it.
[02:19:04.000 --> 02:19:06.000]  Now, I'm going to take a bunch of calls
[02:19:06.000 --> 02:19:09.000]  if the water doesn't rise over Bear Creek.
[02:19:09.000 --> 02:19:11.000]  They've got an obnoxious statement from England
[02:19:11.000 --> 02:19:14.000]  if something doesn't, the admiral.
[02:19:14.000 --> 02:19:17.000]  But when we come back, I'm going to Amy on Fukushima.
[02:19:17.000 --> 02:19:20.000]  I'm going to Rob on America's Bankruptcy, 1933.
[02:19:20.000 --> 02:19:24.000]  Rick and World Net Daily on the New Temple and Prophecy
[02:19:24.000 --> 02:19:26.000]  and Thurman on Immigration.
[02:19:26.000 --> 02:19:29.000]  Please hold, I'm going to you straight ahead.
[02:19:29.000 --> 02:19:32.000]  So just have your question or comment ready
[02:19:32.000 --> 02:19:34.000]  and I'm going to move to the next person.
[02:19:34.000 --> 02:19:37.000]  I get started slow and I babble
[02:19:37.000 --> 02:19:39.000]  and I appreciate you putting up with me.
[02:19:39.000 --> 02:19:41.000]  I'm Alex Jones in FullWars.com.
[02:19:41.000 --> 02:20:02.000]  I hope you enjoyed this video.
[02:20:12.000 --> 02:20:18.000]  My name is Dale and I live in El Cajon, California.
[02:20:18.000 --> 02:20:20.000]  I was concerned about my cholesterol readings
[02:20:20.000 --> 02:20:22.000]  because I knew that high cholesterol
[02:20:22.000 --> 02:20:24.000]  is related to clogging of the arteries
[02:20:24.000 --> 02:20:27.000]  and increases the risk for heart attack and stroke.
[02:20:27.000 --> 02:20:30.000]  One day I heard an ad for heart and body extract
[02:20:30.000 --> 02:20:33.000]  and I was skeptical and I decided to give it a try.
[02:20:33.000 --> 02:20:35.000]  Man, the numbers don't lie.
[02:20:35.000 --> 02:20:37.000]  Learn the secrets of an effective, natural,
[02:20:37.000 --> 02:20:39.000]  100% organic nutritional supplement
[02:20:39.000 --> 02:20:44.000]  for a healthy heart and circulation at HBextract.com.
[02:21:09.000 --> 02:21:12.000]  Sourced from top leading manufacturers
[02:21:12.000 --> 02:21:15.000]  to ensure a concentrated level of bioactive ingredients
[02:21:15.000 --> 02:21:18.000]  extracted directly from the wild herb
[02:21:18.000 --> 02:21:20.000]  and sealed in easy to use capsules,
[02:21:20.000 --> 02:21:22.000]  you will no longer need to endure the burning
[02:21:22.000 --> 02:21:24.000]  of liquid oregano on the tongue.
[02:21:24.000 --> 02:21:27.000]  Wild crafted from the Mediterranean oregano species
[02:21:27.000 --> 02:21:29.000]  that experts agree is one of the most powerful
[02:21:29.000 --> 02:21:31.000]  and most challenging to acquire.
[02:21:31.000 --> 02:21:33.000]  This winter season is more important than ever
[02:21:33.000 --> 02:21:36.000]  to secure this true form of oil of oregano,
[02:21:36.000 --> 02:21:39.000]  available in our limited first run at infowarslife.com.
[02:21:39.000 --> 02:21:44.000]  That's infowarslife.com or call 888-253-3139.
[02:21:44.000 --> 02:21:46.000]  When an emergency happens,
[02:21:46.000 --> 02:21:49.000]  you could be left to fend for yourself and your family.
