[00:00.000 --> 00:06.000]  That's right, Headache Stay Gone must work for you before you pay for it.
[02:01:50.000 --> 02:01:56.000]  And I wanted to bring up the attack on free speech by Dean Rich now giving speeches every two days saying we should shut down the First Amendment.
[02:01:57.000 --> 02:02:00.000]  Let's get on to Gingrich. I think we've covered the fact.
[02:02:00.000 --> 02:02:16.000]  Sure. I mean, Dean Rich is saying attack free speech. They want to register all bloggers who get 500 visitors a year or more, prison time if you don't. They're attacking net neutrality. I mean, this is incredible. Do you think they'll be successful?
[02:02:17.000 --> 02:02:27.000]  They may well be. I think once a police state starts, it's hard to stop it, and the only thing they don't control is the Internet. They control what's called the mainstream media.
[02:02:27.000 --> 02:02:44.000]  So I would imagine you will see these assaults. Probably the only, you know, the funny thing that will result from this is the only place you'll have any Internet that's critical of America will be in China or Russia.
[02:02:45.000 --> 02:03:06.000]  They won't be able to reach and shut down those sites, you see. At the same time, those sites won't be allowed to be critical of China or Russia, but they will probably be able to carry on about what's going on here. The thing is, the people here who experience it, see it, will have a hard time getting the word out.
[02:03:07.000 --> 02:03:13.000]  Well, that's it. Yeah, it goes back to regionalized news like we had a decade ago where nobody knows what's going on.
[02:03:14.000 --> 02:03:33.000]  Yeah, that's right. I think that they will go after the Internet. They'll go after it in many ways, and you're right that Gingrich, in fact, Hillary, any number of them, believe that it's necessary to suppress free speech in order to defend the nation from terrorists. So there you have it.
[02:03:34.000 --> 02:03:52.000]  How do you think Newt Gingrich has so much nerve to give speech after speech, even at free speech meetings, saying, look, we've got to restrict free speech? And then before the Congress, Albert Gonzalez a few weeks ago came out and said there is no habeas corpus in the Constitution. He said there's no guarantee of that.
[02:03:53.000 --> 02:03:54.000]  Yeah, well,
[02:03:55.000 --> 02:03:56.000]  It says it twice.
[02:03:57.000 --> 02:04:14.000]  Well, of course it does. But you're saying, why are they saying all this? Because they realize they have control and they can get away with it. They got away with 9-11. They have started a war. It's a war criminal government. They're getting away with everything.
[02:04:15.000 --> 02:04:29.000]  So I think they can say whatever they want. The Federalist Society, which is a collection of Republican lawyers, supposedly people who believe in original intent, but what it really believes in is power in the executive.
[02:04:29.000 --> 02:04:48.000]  And that's the basis for all the judicial appointments that the Republican Party makes. And so who's going to criticize them? I mean, other than the people on the Internet, like you and me, there's no way to criticize them.
[02:04:49.000 --> 02:04:57.000]  So I think getting away with 9-11, it was the Reichstag fire. And this whole thing may go on until they have a Stalingrad.
[02:04:58.000 --> 02:05:09.000]  Well, I think they're going to have a Stalingrad. They're going to have a Waterloo because people everywhere are becoming enraged. And, I mean, I've got big mainline talk stations calling up, picking up the show.
[02:05:10.000 --> 02:05:17.000]  You know, they're owned by medium-sized companies where their CEOs are angry. I think the worm's turning. I think we've got a chance, though, Dr. Roberts.
[02:05:18.000 --> 02:05:23.000]  Well, that's why we keep speaking out, isn't it, Alex? So good luck to you in everything you do.
[02:05:23.000 --> 02:05:30.000]  God bless your courage, and thank you for spending so much time with us, Dr. Roberts. Your columns are all over the Web. People can find them there. Take care.
[02:05:31.000 --> 02:05:32.000]  We'll be right back with Mr. Brown.
[02:05:33.000 --> 02:05:36.000]  Dad, can we stop? We need to go to the bathroom.
[02:05:37.000 --> 02:05:40.000]  What? Again? We just stopped two hours ago.
[02:05:41.000 --> 02:05:44.000]  Honey, let's stop because I gave the kids their Spark-Burkey water bottles.
[02:05:45.000 --> 02:05:46.000]  Why did you do that?
[02:05:47.000 --> 02:05:51.000]  Because they can't drink and talk at the same time. And that way we don't have to listen to them singing,
[02:05:51.000 --> 02:05:53.000]  Are we there yet? Are we there yet?
[02:05:54.000 --> 02:05:55.000]  for the entire trip.
[02:05:56.000 --> 02:05:58.000]  Hmm. I didn't think about that. Great idea.
[02:05:59.000 --> 02:06:04.000]  Yeah, and it's cheap entertainment for the kids. Bottled water costs around 75 cents a bottle.
[02:06:05.000 --> 02:06:09.000]  And using our Spark-Burkey bottles, it costs us less than two and a half cents per refill.
[02:06:10.000 --> 02:06:11.000]  Honey, you're terrific.
[02:06:12.000 --> 02:06:17.000]  Oh, honey, so are you. You're the one that bought the family our Spark-Burkey water bottles.
[02:06:18.000 --> 02:06:19.000]  Now can we stop? I need to go, too.
[02:06:19.000 --> 02:06:26.000]  Get your Spark-Burkey support purification bottle for only $39 by calling New Millennium at 888-803-4438.
[02:06:27.000 --> 02:06:32.000]  That's 888-803-4438 or order on the web at www.burkeywater.com.
[02:06:35.000 --> 02:06:41.000]  It's here, after a year in production and traveling to distant lands, Miami film Terror Storm is complete.
[02:06:42.000 --> 02:06:47.000]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations
[02:06:47.000 --> 02:06:49.000]  as a pretext to enslave them.
[02:06:50.000 --> 02:06:57.000]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British Intelligence.
[02:06:58.000 --> 02:07:03.000]  Terror Storm chronicles the lies that took us to war in Iraq, the White House program to disseminate fake news,
[02:07:04.000 --> 02:07:08.000]  NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[02:07:09.000 --> 02:07:12.000]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[02:07:13.000 --> 02:07:15.000]  It's an anthology of government crimes.
[02:07:15.000 --> 02:07:19.000]  Terror Storm is a film that everyone who wants to be truly informed must see.
[02:07:20.000 --> 02:07:28.000]  Get your copy today at infowars.com or prisonplanet.com or by calling toll-free 1-888-253-3139
[02:07:29.000 --> 02:07:31.000]  or watch it right now online at prisonplanet.tv.
[02:07:32.000 --> 02:07:37.000]  We at The Bible Says want to alert the world to the topic of the Mark of the Beast.
[02:07:38.000 --> 02:07:40.000]  Soon it will be upon us as an overwhelming surprise.
[02:07:41.000 --> 02:07:43.000]  The world is pressing toward a forced one-world religion.
[02:07:43.000 --> 02:07:48.000]  The real issue behind this is the union of church and state, notifying our first amendment.
[02:07:49.000 --> 02:07:54.000]  Americans will have to give up their peculiar beliefs and accept what the new world religious leaders prescribe.
[02:07:55.000 --> 02:07:59.000]  In 2005, President Bush signed the Real ID Act, which goes into effect May 11, 2008.
[02:08:00.000 --> 02:08:04.000]  Many people believe that this will be the Mark of the Beast because of the restrictive measures included,
[02:08:05.000 --> 02:08:09.000]  which seems to parallel the no buying and selling of Revelations 13-17.
[02:08:09.000 --> 02:08:12.000]  In Revelations 14-9, speaking of the Mark of the Beast, it says,
[02:08:13.000 --> 02:08:15.000]  If any man worship the beast, take notice.
[02:08:16.000 --> 02:08:17.000]  It says, worship the beast.
[02:08:18.000 --> 02:08:20.000]  This issue is about worship, not economics.
[02:08:21.000 --> 02:08:25.000]  For a better understanding of this very important topic and to receive your three free books and a free DVD,
[02:08:26.000 --> 02:08:28.000]  call 1-888-211-1715.
[02:08:29.000 --> 02:08:31.000]  That's 1-888-211-1715.
[02:08:32.000 --> 02:08:37.000]  The Genesis Communications Radio Network proudly presents The Alex Jones Show
[02:08:37.000 --> 02:08:59.000]  because there's a war on for your mind.
[02:09:00.000 --> 02:09:03.000]  Remember in the last few months I was going to have Aaron Russo on three times
[02:09:04.000 --> 02:09:06.000]  and he just kept saying, oh, he had to cancel?
[02:09:07.000 --> 02:09:12.000]  He was having emergency surgeries and he's going to be having another surgery.
[02:09:13.000 --> 02:09:14.000]  He needs our prayers, folks.
[02:09:15.000 --> 02:09:19.000]  He said I can tell people a little bit, but I don't want to get into too much details.
[02:09:20.000 --> 02:09:21.000]  It's rough, folks.
[02:09:22.000 --> 02:09:25.000]  The guy gave us an hour and a half, was ready to keep going,
[02:09:26.000 --> 02:09:32.000]  but he was so tired when I saw him a few weeks ago in Houston that I just cut the interview off then.
[02:09:33.000 --> 02:09:34.000]  He is fighting for his life, folks.
[02:09:35.000 --> 02:09:36.000]  He's been battling cancer for four years.
[02:09:37.000 --> 02:09:38.000]  He almost died.
[02:09:39.000 --> 02:09:45.000]  He was very, very sick when he made America freedom to fascism.
[02:09:46.000 --> 02:09:50.000]  Having surgeries, undergoing all this treatment, he's tried alternative.
[02:09:51.000 --> 02:09:52.000]  He's tried surgery.
[02:09:53.000 --> 02:09:54.000]  I don't know how many times they've cut stuff out of him.
[02:09:55.000 --> 02:09:59.000]  He tried chemo just a few months ago.
[02:10:00.000 --> 02:10:01.000]  He's such a fighter.
[02:10:02.000 --> 02:10:04.000]  That's really what got him down, obviously.
[02:10:04.000 --> 02:10:09.000]  The reason I bring this up is we need to pray for Aaron Russo.
[02:10:10.000 --> 02:10:11.000]  He's got a big heart.
[02:10:12.000 --> 02:10:13.000]  He's a good man.
[02:10:14.000 --> 02:10:17.000]  It's hard to make a film and travel all over the country and do 30-plus interviews,
[02:10:18.000 --> 02:10:20.000]  and make a film and get it in theaters and do everything he did.
[02:10:21.000 --> 02:10:22.000]  This really is his great work.
[02:10:23.000 --> 02:10:25.000]  He says this is what he is most proud of in his life.
[02:10:26.000 --> 02:10:29.000]  When my office talked to Ed Brown today,
[02:10:29.000 --> 02:10:34.000]  who's ready to go toe-to-toe with the criminal government, the SWAT teams,
[02:10:35.000 --> 02:10:40.000]  up in New Hampshire, over the fact that they claim he owes taxes, there's no law,
[02:10:41.000 --> 02:10:43.000]  to the private Federal Reserve and the people that are destroying America.
[02:10:44.000 --> 02:10:50.000]  Talking to him, he told me that most of the support,
[02:10:51.000 --> 02:10:53.000]  a lot of the support he's getting is because of freedom to fascism.
[02:10:54.000 --> 02:10:56.000]  It's college students, it's high school students, it's young people.
