[00:00.000 --> 00:14.000]  And now, the tip of the spear, leading the fight to take back the nation, it's Olin Shroyer.
[02:32:10.880 --> 02:32:15.920]  Then we cut the price because leading competitors have five to seven times markup.
[02:32:15.920 --> 02:32:19.720]  We only have 150 percent, and then it helps funder operation.
[02:32:19.720 --> 02:32:22.520]  Well now it's 50 percent off.
[02:32:22.520 --> 02:32:28.280]  That means we've got a 25 percent markup, and we've got it paired with the real red
[02:32:28.280 --> 02:32:30.880]  pill that takes about seven days to kick in.
[02:32:30.880 --> 02:32:34.200]  Brainforce takes about 30 minutes, but the two go together.
[02:32:34.200 --> 02:32:36.280]  It's the mind and body challenge.
[02:32:36.280 --> 02:32:42.160]  They're both 50 percent off individually or together they're 50 percent off and free
[02:32:42.160 --> 02:32:45.760]  shipping with the combo at InfoWarsLife.com.
[02:32:45.760 --> 02:32:50.160]  But it's got to end in a couple days because both of these best sellers are about to sell
[02:32:50.160 --> 02:32:59.440]  out InfoWarsLife.com to get your Brainforce Plus and real red pill today.
[02:32:59.440 --> 02:33:26.440]  You're listening to the Alex Jones Show.
[02:33:26.440 --> 02:33:39.440]  We just had Diamond and Silk with us, and of course they are the recent victims along
[02:33:39.440 --> 02:33:45.640]  with everyone else that's a conservative on Facebook to be censored, to be algorithmed
[02:33:45.640 --> 02:33:51.960]  out of their full potential by Facebook.
[02:33:51.960 --> 02:33:57.000]  And I've got the crew about to bring in a tweet from Brad Parscale here in a second.
[02:33:57.000 --> 02:34:02.640]  But yesterday you had, was it Blumenthal?
[02:34:02.640 --> 02:34:03.960]  I think it might have been Blumenthal.
[02:34:03.960 --> 02:34:05.120]  I don't remember who it was.
[02:34:05.120 --> 02:34:12.400]  One of the senators that was questioning Zuckerberg said, would you be okay with an opt-in program
[02:34:12.400 --> 02:34:20.320]  to the data mining marketing marketplace of Facebook?
[02:34:20.320 --> 02:34:22.520]  Would you rather do it an opt-in instead of an opt-out?
[02:34:22.520 --> 02:34:29.760]  So right now, basically, unless you go in like 27 layers deep into your Facebook settings
[02:34:29.760 --> 02:34:35.880]  to reject all of the information they're sharing about you, reject all the data they're gathering
[02:34:35.880 --> 02:34:43.160]  about you, unless you go into that, you know, 27 layers of settings, their data mining you,
[02:34:43.160 --> 02:34:46.440]  they're getting all your information, they're selling everything they can.
[02:34:46.440 --> 02:34:51.920]  So one senator says, would you be open to an opt-in with all the data instead of an
[02:34:51.920 --> 02:34:59.760]  opt-out of which Zuckerberg balked and pretty much scoffed and moved on to the next issue?
[02:34:59.760 --> 02:35:05.200]  Then you have Brad Parscale, who tweets out, if Facebook really cares about not looking
[02:35:05.200 --> 02:35:11.560]  like a censor, they should post all blocked and banned post slash users in a special area
[02:35:11.560 --> 02:35:15.200]  that is viewable by a select group of diverse Americans.
[02:35:15.200 --> 02:35:16.760]  So this is actually brilliant.
[02:35:16.760 --> 02:35:23.880]  This is another brilliant idea that has been proposed to Facebook that they won't engage
[02:35:23.880 --> 02:35:30.680]  with because it's not about actually accomplishing fairness, it's about censoring conservatives.
[02:35:30.680 --> 02:35:37.440]  So we know what the real agenda here is, but you can prove that by offering logical solutions
[02:35:37.440 --> 02:35:41.160]  to the problems that Facebook are having right now and then you'll see they're not interested.
[02:35:41.160 --> 02:35:42.280]  But think about it like this.
[02:35:42.280 --> 02:35:46.120]  I actually love this idea from Brad Parscale.
[02:35:46.120 --> 02:35:54.000]  If Facebook created a separate section on Facebook that was strictly what they decided
[02:35:54.000 --> 02:35:59.400]  as hate speech, so take Diamond and Silk videos, videos from the Alex Jones channel, all the
[02:35:59.400 --> 02:36:03.240]  videos that they view as hate speech or fake news or what have you, that they're censoring
[02:36:03.240 --> 02:36:09.160]  and banning with their AI from their platform of Facebook and your news feeds and everything
[02:36:09.160 --> 02:36:15.080]  and your updates, notifications, everything, everything they're banning and using AI to
[02:36:15.080 --> 02:36:22.080]  algorithm out of that platform, they put onto a separate sub platform.
[02:36:22.080 --> 02:36:25.640]  Imagine Facebook hate speech.
[02:36:25.640 --> 02:36:28.400]  That's what essentially Brad Parscale is suggesting.
[02:36:28.400 --> 02:36:31.080]  I'm kind of taking it a few layers further.
[02:36:31.080 --> 02:36:33.360]  Think about this.
[02:36:33.360 --> 02:36:40.440]  So Facebook can show you what they deem as hate speech, what they're censoring and then
[02:36:40.440 --> 02:36:45.720]  put it on a separate platform and then do you know what would happen if that happened?
[02:36:45.720 --> 02:36:52.440]  The hate speech column of Facebook would become the number one page in Facebook history dominating
[02:36:52.440 --> 02:36:55.320]  the actual platform.
[02:36:55.320 --> 02:36:56.960]  That's how that works.
[02:36:56.960 --> 02:37:00.560]  That shows you how people don't want the censorship.
[02:37:00.560 --> 02:37:08.840]  That shows you how people are racing to information that the establishment is trying to censor.
[02:37:08.840 --> 02:37:13.080]  So imagine if Facebook took everything they deemed as hate speech, everything they're
[02:37:13.080 --> 02:37:17.360]  censoring, everything they're algorithming out of their normal platform and they put
[02:37:17.360 --> 02:37:22.280]  that on a Facebook hate speech platform, everyone would immediately go to the Facebook
[02:37:22.280 --> 02:37:25.200]  hate speech platform.
[02:37:25.200 --> 02:37:28.240]  How amazing is that?
[02:37:28.240 --> 02:37:33.720]  You'd like if Facebook did the opt-in program instead of the opt-out program that you don't
[02:37:33.720 --> 02:37:37.440]  even know about, nobody would share their data with Facebook.
[02:37:37.440 --> 02:37:42.680]  If you had to opt-in to sharing all of your data and information with Facebook, nobody
[02:37:42.680 --> 02:37:45.760]  would do it.
[02:37:45.760 --> 02:37:48.680]  That's why they're never going to do it.
[02:37:48.680 --> 02:37:49.920]  It's not about fairness.
[02:37:49.920 --> 02:37:50.920]  It's not about equality.
[02:37:50.920 --> 02:37:51.920]  It's not about an open platform.
[02:37:51.920 --> 02:37:53.840]  It's not about sharing ideas.
[02:37:53.840 --> 02:37:57.680]  It's not even about connecting people anymore.
[02:37:57.680 --> 02:38:04.840]  It's about building and socially engineering a culture that is brainwashed by liberalism
[02:38:04.840 --> 02:38:05.840]  and communism.
[02:38:05.840 --> 02:38:11.840]  And, yes, the crew is pulling up, Zuckerberg refers to his users as dumb efforts.
[02:38:11.840 --> 02:38:15.240]  Of course, they're dumb efforts.
[02:38:15.240 --> 02:38:18.240]  Oh, man.
[02:38:18.240 --> 02:38:19.240]  But you know what?
[02:38:19.240 --> 02:38:20.240]  That's that.
[02:38:20.240 --> 02:38:23.800]  And I've got a ton of other news to get to here.
[02:38:23.800 --> 02:38:29.920]  So let me just grab a stack and just crank through it here real quick.
[02:38:29.920 --> 02:38:32.320]  Okay, how about this?
[02:38:32.320 --> 02:38:39.080]  You know, Eric Swalwell, I mean, this guy, do you want to talk about an unhinged maniac
[02:38:39.080 --> 02:38:40.080]  on Twitter?
[02:38:40.080 --> 02:38:42.360]  You're going to talk about Eric Swalwell.
[02:38:42.360 --> 02:38:46.600]  This guy, first of all, what is with the weird pictures he's always using?
[02:38:46.600 --> 02:38:47.600]  You know what?
[02:38:47.600 --> 02:38:48.600]  I'm not even going to get into that.
[02:38:48.600 --> 02:38:50.200]  I'm not even going to get into little Eric Swalwell.
[02:38:50.200 --> 02:38:55.960]  But every day, he tweets the most radical, asinine stuff.
[02:38:55.960 --> 02:39:01.360]  And you just have to say, Representative Swalwell, what the hell is wrong with you?
[02:39:01.360 --> 02:39:03.560]  Are you mentally deranged, sir?
[02:39:03.560 --> 02:39:04.720]  Do you have a problem?
[02:39:04.720 --> 02:39:08.200]  Is your IQ that of a goldfish?
[02:39:08.200 --> 02:39:09.840]  He tweets this out.
[02:39:09.840 --> 02:39:15.760]  Mr. President, if you fire Mueller or Rosenstein, who both should have been fired, shouldn't
[02:39:15.760 --> 02:39:18.280]  even have a job.
[02:39:18.280 --> 02:39:22.200]  Thousands of us will see that as obstructing justice in broad daylight.
[02:39:22.200 --> 02:39:26.840]  And despite what you've done to our rule of law, it will come roaring back.
[02:39:26.840 --> 02:39:28.000]  Yeah, yeah.
[02:39:28.000 --> 02:39:34.320]  Trump's abusing the rule of law while Mueller is running totally rogue and lawless.
[02:39:34.320 --> 02:39:38.640]  In the streets, at the ballot box and at the Capitol, we will unite against tyranny, where
[02:39:38.640 --> 02:39:43.640]  if Trump was a dictator or an authoritarian, Mueller and Rosenstein would have already
[02:39:43.640 --> 02:39:52.520]  been fired, if not in jail, including you, Swalwell, little Swalwell.
[02:39:52.520 --> 02:39:57.320]  But as if it's not disturbing enough that you have some creeper like Eric Swalwell in
[02:39:57.320 --> 02:40:04.760]  Congress, then you go read the replies to his tweets and you realize how dumb some people
[02:40:04.760 --> 02:40:07.840]  actually are.
[02:40:07.840 --> 02:40:08.840]  You know what?
[02:40:08.840 --> 02:40:09.840]  Don't even do it to people.
[02:40:09.840 --> 02:40:10.840]  You know what?
[02:40:10.840 --> 02:40:11.840]  Don't even do it.
[02:40:11.840 --> 02:40:12.840]  Pull it down, guys.
[02:40:12.840 --> 02:40:13.840]  I'm serious.
[02:40:13.840 --> 02:40:15.520]  Take it off the screen.
[02:40:15.520 --> 02:40:20.080]  Reading this stuff is honestly like it's soul crushing.
[02:40:20.080 --> 02:40:24.240]  It destroys, it literally crushes your soul.
[02:40:24.240 --> 02:40:25.960]  You're like, oh my gosh, people are that stupid?
[02:40:25.960 --> 02:40:31.360]  Oh my gosh, people actually believe Eric Swalwell?
[02:40:31.360 --> 02:40:33.440]  That's sad.
[02:40:33.440 --> 02:40:38.640]  And so they do this thing where they bully Trump and they say, you're a Russian agent.
[02:40:38.640 --> 02:40:39.760]  You're a Russian agent.
[02:40:39.760 --> 02:40:44.480]  So then he goes into war with Russia and then they bully Trump and say, oh, maybe he'll
[02:40:44.480 --> 02:40:46.360]  fire, fire, fire.
[02:40:46.360 --> 02:40:53.560]  Mueller goes totally lawless, it raises lawyers' places, and they want Trump to fire Mueller
[02:40:53.560 --> 02:40:54.560]  so bad.
[02:40:54.560 --> 02:40:55.560]  That's it.
[02:40:55.560 --> 02:40:57.120]  They want Trump to fire Mueller.
[02:40:57.120 --> 02:41:02.200]  They're baiting Trump into firing Mueller so that if he fires him, then they say obstruction
[02:41:02.200 --> 02:41:08.080]  of justice, then they have Chuck Schumer introduce the new bill that will protect Robert Mueller
[02:41:08.080 --> 02:41:11.600]  in case he is fired.
[02:41:11.600 --> 02:41:18.560]  Totally lawless, totally above the republic, totally out of any rule of democracy or anything,
[02:41:18.560 --> 02:41:23.400]  just above the law.
[02:41:23.400 --> 02:41:26.880]  And then they run the story.
[02:41:26.880 --> 02:41:29.040]  Robert Mueller's nuclear option.
[02:41:29.040 --> 02:41:33.640]  If Trump fires him, the special counsel should reveal everything he's discovered in the Russia
[02:41:33.640 --> 02:41:34.640]  investigation.
[02:41:34.640 --> 02:41:38.760]  He's discovered nothing, you jackass.
[02:41:38.760 --> 02:41:39.760]  See how dumb they are?
[02:41:39.760 --> 02:41:40.760]  That's what I'm saying.
[02:41:40.760 --> 02:41:45.960]  It's like a gut punch that people are that stupid.
[02:41:45.960 --> 02:41:49.300]  He should reveal everything he's discovered in the Russia investigation.
[02:41:49.300 --> 02:41:51.800]  You don't think he would have already done that?
[02:41:51.800 --> 02:41:53.920]  You're that dumb?
[02:41:53.920 --> 02:41:56.440]  You think he's withholding information?
[02:41:56.440 --> 02:41:59.840]  If they could, they would have had Trump removed last year.
[02:41:59.840 --> 02:42:03.120]  They've got nothing.
[02:42:03.120 --> 02:42:10.400]  And that's why they run this story on NBC News, Stormy Daniels cooperating with Feds
[02:42:10.400 --> 02:42:11.800]  probing Trump's attorney.
[02:42:11.800 --> 02:42:17.080]  What does Stormy Daniels have to do with Russia?
[02:42:17.080 --> 02:42:21.080]  If they had anything on Trump Russia, they wouldn't be using Stormy Daniels.
[02:42:21.080 --> 02:42:26.520]  Oh, but then you realize how this whole story is a misnomer, Stormy Daniels cooperating
[02:42:26.520 --> 02:42:28.720]  with Feds probing Trump's attorney.
[02:42:28.720 --> 02:42:34.680]  No, the Feds are cooperating with Stormy Daniels.
[02:42:34.680 --> 02:42:36.920]  Stormy Daniels is the one running the show.
[02:42:36.920 --> 02:42:40.080]  Stormy Daniels is the one they're using to get Trump now.
[02:42:40.080 --> 02:42:45.480]  See, there is no Trump Russia, but there might be Trump's Stormy, so let's use that.
[02:42:45.480 --> 02:42:49.360]  Even though it happened years before he was in office, it has nothing to do with anything,
[02:42:49.360 --> 02:42:52.040]  but it's all about bringing Trump down.
[02:42:52.040 --> 02:42:55.040]  That's what it's all about.
[02:42:55.040 --> 02:43:01.600]  Let's go to Devin in Florida, Devin in Florida, you're on the air.
[02:43:01.600 --> 02:43:02.600]  Great.
[02:43:02.600 --> 02:43:03.600]  Hey, thank you so much.
[02:43:03.600 --> 02:43:07.600]  Listen, I have bought your product and I gotta say they're amazing.
[02:43:07.600 --> 02:43:08.600]  Thank you.
[02:43:08.600 --> 02:43:13.440]  Anyone who's on the fence, buy it because I've got caveman, superman of vitality, secret
[02:43:13.440 --> 02:43:15.640]  swell, vitamin, and infusion.
[02:43:15.640 --> 02:43:17.040]  I've got the body armor.
[02:43:17.040 --> 02:43:18.040]  Wow, thank you.
[02:43:18.040 --> 02:43:19.040]  Wow.
[02:43:19.040 --> 02:43:20.040]  You're the type of listener that makes it all possible.
