[00:00.000 --> 00:10.000]  And I grow up, I always be around you guys!
[02:12:14.000 --> 02:12:18.000]  I didn't say I said, I do not agree with you that the US government, someone inside the
[02:12:18.000 --> 02:12:22.000]  government had knowledge of the terror attack prior to the attack.
[02:12:22.000 --> 02:12:23.000]  Oh, really?
[02:12:23.000 --> 02:12:27.000]  All over Twitter yesterday, mainline leftist sites celebrated and said America deserved
[02:12:27.000 --> 02:12:28.000]  it.
[02:12:28.000 --> 02:12:31.000]  Reality winner had a top secret security clearance and was helping ISIS.
[02:12:31.000 --> 02:12:32.000]  There are so many.
[02:12:32.000 --> 02:12:37.000]  The average professor at UT down the street loves 9 11 and says America deserved it.
[02:12:37.000 --> 02:12:42.000]  There were elements in our government ally with radicalism that helped them carry out
[02:12:42.000 --> 02:12:43.000]  the attack.
[02:12:43.000 --> 02:12:48.000]  You can argue whether or not America deserved or not.
[02:12:48.000 --> 02:12:50.000]  I don't think America deserved it.
[02:12:50.000 --> 02:12:52.000]  I'm saying the left is cheerleading.
[02:12:52.000 --> 02:12:53.000]  It wasn't your theory.
[02:12:53.000 --> 02:12:57.000]  Alice, your theory was not only did America not deserve it, but the United States government
[02:12:57.000 --> 02:13:01.000]  knew about the attack prior to the attack and decided to stand down a very different
[02:13:01.000 --> 02:13:02.000]  theory.
[02:13:02.000 --> 02:13:03.000]  Well, I know this.
[02:13:03.000 --> 02:13:05.000]  The official story does not add up.
[02:13:05.000 --> 02:13:07.000]  Fox, Sandy Hook.
[02:13:07.000 --> 02:13:08.000]  Sure.
[02:13:08.000 --> 02:13:09.000]  And there's the next thing.
[02:13:09.000 --> 02:13:10.000]  9 11 was a big part of what I covered.
[02:13:10.000 --> 02:13:11.000]  I did make four films on it.
[02:13:11.000 --> 02:13:13.000]  I did cover it thousands of times.
[02:13:13.000 --> 02:13:15.000]  Sandy Hook, the general public didn't buy it.
[02:13:15.000 --> 02:13:16.000]  There were some anomalies.
[02:13:16.000 --> 02:13:17.000]  I played both sides.
[02:13:17.000 --> 02:13:23.000]  The media edits clips and then continues to say, Jones, stop saying nobody died.
[02:13:23.000 --> 02:13:24.000]  Stop doxing families.
[02:13:24.000 --> 02:13:25.000]  Never dox families.
[02:13:25.000 --> 02:13:28.000]  It's all edited like Megan Kelly before she left Fox News.
[02:13:28.000 --> 02:13:29.000]  We played this tape.
[02:13:29.000 --> 02:13:31.000]  She took me talking about Hillary funding.
[02:13:31.000 --> 02:13:36.000]  Isis and Al Qaeda responsible for killing kids played a clip of that and said that I said
[02:13:36.000 --> 02:13:37.000]  it was a pizza place.
[02:13:37.000 --> 02:13:39.000]  This is the level of fraud going on.
[02:13:39.000 --> 02:13:41.000]  I'm not speaking for Megan Kelly.
[02:13:41.000 --> 02:13:46.000]  No, Megan Kelly, but I will tell you, I know you've said that this was a quote unquote Alex
[02:13:46.000 --> 02:13:48.000]  Jones false flag operation.
[02:13:48.000 --> 02:13:51.000]  What that means is it didn't really happen the way it's being portrayed.
[02:13:51.000 --> 02:13:53.000]  I will give you the next step of evidence.
[02:13:53.000 --> 02:13:55.000]  I'm waiting for your shred of evidence.
[02:13:55.000 --> 02:13:56.000]  I'll give you my evidence.
[02:13:56.000 --> 02:13:57.000]  Why I think it did happen.
[02:13:57.000 --> 02:14:01.000]  I tragically lost my son a year ago in three days.
[02:14:01.000 --> 02:14:03.000]  A year three days ago was a year.
[02:14:03.000 --> 02:14:06.000]  During that year, I had to get out of the limelight.
[02:14:06.000 --> 02:14:10.000]  I had to get away from New York and I moved to a town called Roxbury, Connecticut, which
[02:14:10.000 --> 02:14:13.000]  is about three miles from Newtown, Connecticut.
[02:14:13.000 --> 02:14:14.000]  I was in such a funk.
[02:14:14.000 --> 02:14:16.000]  I needed to see a therapist.
[02:14:16.000 --> 02:14:17.000]  I think Sandy Hook happened.
[02:14:17.000 --> 02:14:18.000]  Let's get that clear.
[02:14:18.000 --> 02:14:24.000]  The therapist that I was sent to was the same therapist who talked to dozens of parents in
[02:14:24.000 --> 02:14:29.000]  the Sandy Hook community, and I will tell you, that community is distraught over what
[02:14:29.000 --> 02:14:31.000]  happened so many years ago.
[02:14:31.000 --> 02:14:32.000]  They are still reeling from that.
[02:14:32.000 --> 02:14:33.000]  No, I believe you.
[02:14:33.000 --> 02:14:35.000]  But let me say this just once on record.
[02:14:35.000 --> 02:14:39.000]  I've literally barely covered Sandy Hook and the media keeps saying that I'm good.
[02:14:39.000 --> 02:14:40.000]  Can we do this?
[02:14:40.000 --> 02:14:41.000]  Can we?
[02:14:41.000 --> 02:14:44.000]  Alex Jones and Eric Bowling agree that 9 11.
[02:14:44.000 --> 02:14:45.000]  No one looked the other way.
[02:14:45.000 --> 02:14:49.000]  Terrorists actually attacked the World Trade Center on their own without the help of the
[02:14:49.000 --> 02:14:50.000]  US government.
[02:14:50.000 --> 02:14:55.000]  Yes, in fact, a crazy lunatic walked into an elementary school and killed a bunch of
[02:14:55.000 --> 02:14:56.000]  kids in Newtown, Connecticut.
[02:14:56.000 --> 02:14:58.000]  Can we agree on that?
[02:14:58.000 --> 02:15:02.000]  I know mass shootings happened and he was on Prozac, got the gun illegally.
[02:15:02.000 --> 02:15:03.000]  No, no, no.
[02:15:03.000 --> 02:15:05.000]  I think Newtown happened.
[02:15:05.000 --> 02:15:09.000]  But because the lies about babies and incubators that get us in the first Iraq war, which was
[02:15:09.000 --> 02:15:12.000]  admittedly a PR firm, people have questions because they've been lied to.
[02:15:12.000 --> 02:15:13.000]  People have questions.
[02:15:13.000 --> 02:15:14.000]  So many times.
[02:15:14.000 --> 02:15:16.000]  The US government looked the other way or not.
[02:15:16.000 --> 02:15:19.000]  Oh, I think elements of the US government did look the other way.
[02:15:19.000 --> 02:15:20.000]  Evidence.
[02:15:20.000 --> 02:15:23.000]  When we come back, I'll be very, very happy to give you a lot of evidence.
[02:15:23.000 --> 02:15:24.000]  Excellent.
[02:15:24.000 --> 02:15:27.000]  Do you really think two of the hijackers' passports got found in the rubble?
[02:15:27.000 --> 02:15:28.000]  I don't know.
[02:15:28.000 --> 02:15:29.000]  I don't know.
[02:15:29.000 --> 02:15:30.000]  I watched that rubble burn for six months.
[02:15:30.000 --> 02:15:31.000]  I have no idea.
[02:15:31.000 --> 02:15:34.760]  But I know that there's, I would never live in America where our government would look
[02:15:34.760 --> 02:15:37.000]  the other way and let 3,000 people die innocently.
[02:15:37.000 --> 02:15:41.000]  Well, I don't think the general public or the people that work, say, at the average FBI
[02:15:41.000 --> 02:15:42.000]  agent or the postman.
[02:15:42.000 --> 02:15:47.000]  But when we come back, we're going to talk about Building 7 because, Yvette, I heard them
[02:15:47.000 --> 02:15:51.000]  on CBS Radio Say, they're going to control Demo Building 7.
[02:15:51.000 --> 02:15:52.000]  And then I have the news clips.
[02:15:52.000 --> 02:16:21.000]  If you want me to plan where they said they'd blow it up, we'll be back.
[02:16:22.000 --> 02:16:49.000]  David Hall, Diamond Gussett Teen Company.
[02:16:49.000 --> 02:16:54.000]  Learn more now by going to libertyoncall.org.
[02:16:54.000 --> 02:16:55.000]  That's libertyoncall.org.
[02:16:55.000 --> 02:16:56.000]  Hear that?
[02:16:56.000 --> 02:17:01.000]  That's the sound of a house being trashed while a gang of thieves ransacked the place.
[02:17:01.000 --> 02:17:05.000]  And what they don't steal will be destroyed.
[02:17:05.000 --> 02:17:08.000]  This year, resolve not to be the next victim of a break-in.
[02:17:08.000 --> 02:17:14.000]  Go to faketv.com and discover a device that creates the illusion someone inside is watching
[02:17:14.000 --> 02:17:16.000]  TV, even when you're miles away.
[02:17:16.000 --> 02:17:20.000]  Security is a mindset, and fake TV should be part of your security solution.
[02:17:20.000 --> 02:17:23.000]  Be vigilant, but not fearful.
[02:17:23.000 --> 02:17:52.000]  Make TV.com.
[02:17:53.000 --> 02:17:58.000]  We all know the importance of fish oils.
[02:17:58.000 --> 02:18:03.000]  While we are sure to provide them for ourselves, it's just as important to make sure your kids
[02:18:03.000 --> 02:18:05.000]  get their EPA and DHA, too.
[02:18:05.000 --> 02:18:11.000]  Honor Roll is a powerful DHA fish oil formula for your child, built from the ground up to
[02:18:11.000 --> 02:18:13.000]  support your child's development.
[02:18:13.000 --> 02:18:19.000]  This formula uses wild anchovy fish oil, ultra purified krill oil, and wild salmon fish oil
[02:18:19.000 --> 02:18:22.000]  with vitamins to boost your child's mind and body.
[02:18:22.000 --> 02:18:28.000]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive,
[02:18:28.000 --> 02:18:33.000]  and brain health while providing DHA, which has been shown to be essential for your child's
[02:18:33.000 --> 02:18:34.000]  brain growth spurts.
[02:18:34.000 --> 02:18:41.000]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly
[02:18:41.000 --> 02:18:44.000]  refined to eliminate nearly all heavy metals.
[02:18:44.000 --> 02:18:48.000]  If you're looking for a formula to help your child grow, look no further.
[02:18:48.000 --> 02:18:55.000]  Try Honor Roll from InfowarsLife at InfowarsStore.com.
[02:19:18.000 --> 02:19:19.000]  This is a great product.
[02:19:19.000 --> 02:19:23.000]  It features the same great formula that supports your heart, brain, healthy aging process with
[02:19:23.000 --> 02:19:26.000]  an all-new natural caffeine boost included.
[02:19:26.000 --> 02:19:31.000]  A powerful, pregnant-owned base, the Real Red Pill, will quickly become one of our fellow
[02:19:31.000 --> 02:19:33.000]  Infowars' favorite products.
[02:19:33.000 --> 02:19:37.000]  Now, with an extra proprietary energy blend inside, including Redi extract and Ramate
[02:19:37.000 --> 02:19:43.000]  leaf extract, and more, you can get that extra pick-me-up while supporting your mind and body
[02:19:43.000 --> 02:19:44.000]  in a healthy way.
[02:19:44.000 --> 02:19:48.000]  Got all the great stuff that Real Red Pill has, but it's also got the most in it.
[02:19:48.000 --> 02:20:17.000]  Get the Real Red Pill Plus at InfowarsStore.com.
[02:20:18.000 --> 02:20:39.000]  All right, I don't want to spend all our time on 9-11.
[02:20:39.000 --> 02:20:41.000]  It's not that I'm running away from it.
[02:20:41.000 --> 02:20:43.000]  It's that the media represents what I say about it.
[02:20:43.000 --> 02:20:47.000]  I believe Islamic terror and radical Islam is one of the number one threats on the planet,
[02:20:47.000 --> 02:20:48.000]  probably number one.
[02:20:48.000 --> 02:20:54.000]  I know that there are criminals in our government like Brennan who reportedly converted to Wahhabism.
[02:20:54.000 --> 02:20:58.000]  Obama helped launch the Arab Spring to overthrow our allies in Egypt.
[02:20:58.000 --> 02:20:59.000]  You name it.
[02:20:59.000 --> 02:21:04.000]  And I think that elements let this happen, like PNAC, wrote to let there be an attack
[02:21:04.000 --> 02:21:06.000]  to end up taking our liberties away.
[02:21:06.000 --> 02:21:09.000]  And I've got FBI was warned about flight schools.
[02:21:09.000 --> 02:21:11.000]  That's CBS News.
[02:21:11.000 --> 02:21:14.000]  FBI, New Al Qaeda, Pilot for Training in the U.S. ordered to stand down.
[02:21:14.000 --> 02:21:15.000]  ABC News.
[02:21:15.000 --> 02:21:18.000]  State Department lapses, aided 9-11 hijackers.
[02:21:18.000 --> 02:21:22.000]  Then they had the airlift of evil flying tens of thousands of Al Qaeda fighters out.
[02:21:22.000 --> 02:21:23.000]  Our military was ordered to do it.
[02:21:23.000 --> 02:21:24.000]  I don't blame our military.
[02:21:24.000 --> 02:21:25.000]  They would say, oh, yeah, our military.
[02:21:25.000 --> 02:21:26.000]  No, I love our military.
[02:21:26.000 --> 02:21:29.000]  They were ordered to fly out and fly on the Pakistan.
