[00:00:01.000 --> 00:00:02.000]  It's too...
[02:41:37.540 --> 02:41:43.260]  If you can't wrap your heart around an innocent child being killed in the womb, or at nine
[02:41:43.260 --> 02:41:48.740]  weeks, or whatever the weeks are, or what they're doing to these kids in schools, these
[02:41:48.740 --> 02:41:53.940]  drag shows, how a parent or a grandparent could sit and watch that filth, it's just
[02:41:53.940 --> 02:41:55.140]  absolutely mind-blowing.
[02:41:55.140 --> 02:41:58.420]  It breaks my heart, and I know it breaks the Father's heart.
[02:41:58.420 --> 02:42:00.140]  I mean, you'll walk into a Target.
[02:42:00.140 --> 02:42:05.100]  I don't go to Target anymore, but, I mean, people probably should boycott it at this
[02:42:05.100 --> 02:42:06.460]  point if you haven't already.
[02:42:06.460 --> 02:42:11.860]  You walk into a Target, and it's just outright satanism marketed for children.
[02:42:11.860 --> 02:42:17.500]  I mean, that is unreal stuff that this is the current state of affairs we're experiencing.
[02:42:17.500 --> 02:42:20.780]  Yep, you hit a point earlier on.
[02:42:20.780 --> 02:42:25.220]  You said that Satan is desperate, that they're frantic.
[02:42:25.220 --> 02:42:29.020]  Evil is so in our face that we know where that side is.
[02:42:29.020 --> 02:42:33.900]  Now we have to focus on, we can't fix that side, but we can fix the fence.
[02:42:33.900 --> 02:42:34.900]  Satan owns the fence.
[02:42:34.900 --> 02:42:38.740]  We've got to get the Christians and non-believers off the fence and end this battle for our
[02:42:38.740 --> 02:42:42.340]  Lord and Savior Jesus Christ, and that's where they're coming in, by the droves.
[02:42:42.340 --> 02:42:43.820]  That's Pastor Dave Scarlett.
[02:42:43.820 --> 02:42:46.260]  HisGlory.me is the website.
[02:42:46.260 --> 02:42:48.500]  That's where you can find the new film as well.
[02:42:48.500 --> 02:42:52.100]  We'll come back, final segment, with Dave on the other side of this break.
[02:42:52.100 --> 02:42:53.100]  Don't go anywhere.
[02:42:53.100 --> 02:42:57.780]  The Alex Jones Show brought to you by InfowarsStore.com.
[02:42:57.820 --> 02:43:00.380]  Please give me one minute of your time.
[02:43:00.380 --> 02:43:02.460]  Please write this down, and please go look this up.
[02:43:02.460 --> 02:43:04.500]  It will change your life.
[02:43:04.500 --> 02:43:08.960]  The UN admits, and the Lansing Medical Journal admits, that upwards of two billion people
[02:43:08.960 --> 02:43:13.220]  have mental disabilities and declining cognitive abilities.
[02:43:13.220 --> 02:43:18.740]  The term they use is intellectual disability because of lack of iodine.
[02:43:18.740 --> 02:43:24.460]  Most iodine in the environment is bound to other elements so your body can't absorb it.
[02:43:24.460 --> 02:43:30.540]  Only pure iodine can really be absorbed right into the cells, and InfowarsStore.com has
[02:43:30.540 --> 02:43:35.940]  the only iodine out there that actually has this type of full effect.
[02:43:35.940 --> 02:43:38.860]  Ladies and gentlemen, X3's been sold out for six months.
[02:43:38.860 --> 02:43:41.900]  It's very hard to produce, and it's finally back in stock.
[02:43:41.900 --> 02:43:44.860]  In fact, I was just taking some before I shot this ad.
[02:43:44.860 --> 02:43:47.060]  This, ladies and gentlemen, is powerful.
[02:43:47.060 --> 02:43:48.380]  You and your family need it.
[02:43:48.380 --> 02:43:50.580]  It's 25% off, back in stock.
[02:43:50.580 --> 02:43:51.580]  X3.
[02:43:51.580 --> 02:43:54.700]  Try iodine exclusively at InfowarsStore.com.
[02:43:54.700 --> 02:43:57.420]  Take action now, but regardless, research is info.
[02:43:57.420 --> 02:44:00.900]  The most banned man in America, Alex Jones.
[02:44:00.900 --> 02:44:08.780]  I want you all to know something, Alex Jones was right.
[02:44:08.780 --> 02:44:12.460]  Alex is right about far more than he's wrong.
[02:44:12.460 --> 02:44:15.540]  Alex has been right on for over a decade.
[02:44:15.540 --> 02:44:19.780]  I don't care how you slice it, dice it, flip it up, or rub it down.
[02:44:19.780 --> 02:44:22.020]  Alex Jones was right.
[02:44:22.020 --> 02:44:25.500]  Think about how frustrated we are if you've been awake for a year or two.
[02:44:25.500 --> 02:44:29.220]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[02:44:29.220 --> 02:44:33.140]  Alex Jones called this years ago, years ago.
[02:44:33.140 --> 02:44:37.260]  Alex Jones never bought the Russia hoax, not for a second.
[02:44:37.260 --> 02:44:39.780]  You are one of the great thinkers of this.
[02:44:39.780 --> 02:44:42.220]  You are a martyr to the First Amendment.
[02:44:42.220 --> 02:44:45.340]  The government fears Alex Jones.
[02:44:45.340 --> 02:44:49.620]  That's why the globalists hate me, is because I'm exposing their corporate worldwide
[02:44:49.620 --> 02:44:57.820]  tyranny.
[02:44:57.820 --> 02:45:03.860]  Hydrofluorosilicic acid is the third most deadly acid on earth, and they've got our
[02:45:03.860 --> 02:45:06.020]  children drinking that.
[02:45:06.020 --> 02:45:11.780]  This is a psychotic death cult, period, case closed, out to get you and your family.
[02:45:11.780 --> 02:45:16.780]  We sell the Alexa Pure Breeze, made by the My Patriot Supply Ready Hour Group.
[02:45:16.780 --> 02:45:20.020]  It's been around about 15 years, became the biggest company in the last six.
[02:45:20.020 --> 02:45:24.380]  They went out, hired engineers, reverse engineered the fancy best water filter system out there
[02:45:24.380 --> 02:45:29.580]  that sells for twice the price, and they made it as good in all the studies.
[02:45:29.580 --> 02:45:33.260]  It reduces things to non-detectable levels, thousands of chemicals, but you can go pay
[02:45:33.260 --> 02:45:34.260]  two or three times.
[02:45:34.260 --> 02:45:37.140]  There's four or five other filters out there that are just as good.
[02:45:37.140 --> 02:45:41.420]  We sell the very best, highest grade water filtration system for half the price of the
[02:45:41.420 --> 02:45:42.420]  leading competitor.
[02:45:42.420 --> 02:45:47.820]  And the media says we're bad and a cult for telling you you should filter your water.
[02:45:47.820 --> 02:45:49.540]  You should also filter your shower water.
[02:45:49.540 --> 02:45:52.580]  That's another way you absorb this crap, but I'm done talking about that.
[02:45:52.580 --> 02:45:56.700]  The point is, you get the filters at Infowarsstore.com, they're discounted right now, finally back
[02:45:56.700 --> 02:45:57.700]  in stock.
[02:45:57.700 --> 02:46:02.540]  TurboForce is back, sold out for eight months, and it's TurboForce Plus.
[02:46:02.540 --> 02:46:04.680]  We made it even stronger.
[02:46:04.680 --> 02:46:10.260]  The strongest long-term energy you're going to find anywhere, TurboForce is back in stock
[02:46:10.260 --> 02:46:15.340]  at Infowarsstore.com or 888-253-3139.
[02:46:15.340 --> 02:46:21.860]  It's not just wide-spectrum natural herbs that time-release over 10 hours, should be
[02:46:21.860 --> 02:46:23.500]  called 10-hour energy.
[02:46:23.500 --> 02:46:28.940]  It has a bunch of vitamins and minerals and a bunch of other key things and amino acids
[02:46:28.940 --> 02:46:34.060]  that turbocharge everything and are good for your heart, your brain, your liver, you name
[02:46:34.060 --> 02:46:35.060]  it.
[02:46:35.060 --> 02:46:38.580]  It is the super fuel.
[02:46:38.580 --> 02:46:41.860]  RainForce Plus is great, RainForce Alt is great, they're two different nootropics, they
[02:46:41.860 --> 02:46:47.220]  go good with this, but this is the king kong, this is the boss.
[02:46:47.220 --> 02:46:54.580]  TurboForce, back in stock, discounted, Infowarsstore.com, more power, more strength, more energy.
[02:46:58.580 --> 02:47:04.740]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:47:06.200 --> 02:47:23.280]  Last segment here with Pastor Dave Scarlett, HisGlory.me, and just to make sure, that is
[02:47:23.280 --> 02:47:25.480]  where people can find your new film, right?
[02:47:25.480 --> 02:47:26.480]  HisGlory.me?
[02:47:26.480 --> 02:47:32.200]  Yes, they can find it on HisGlory.me and they can find it on HisGlory.tv, both will be able
[02:47:32.200 --> 02:47:33.200]  to get you to it.
[02:47:33.200 --> 02:47:36.120]  Wonderful, and that is available now?
[02:47:36.120 --> 02:47:39.120]  Not yet, it will be later this summer.
[02:47:39.120 --> 02:47:43.680]  Okay, deep tees then folks, you'll have to wait, we'll get Pastor Dave back on about
[02:47:43.680 --> 02:47:44.680]  that.
[02:47:44.680 --> 02:47:47.360]  Alright, I want to ask about you actually now.
[02:47:47.360 --> 02:47:53.200]  I want to hear about your journey from Marine to Pastor.
[02:47:53.200 --> 02:47:55.760]  What fueled that journey?
[02:47:55.760 --> 02:47:59.320]  What put that course in front of you?
[02:47:59.320 --> 02:48:03.160]  Well, I went from being a Marine to the corporate world.
[02:48:03.160 --> 02:48:08.840]  I was a director of three Fortune 100 companies, and long story short, I lived the corporate
[02:48:08.840 --> 02:48:15.040]  world that made a lot of money, and I had an experience, I had botulism toxin, and I
[02:48:15.040 --> 02:48:20.960]  died and went to heaven, saw the Lord, saw heaven, and long story short, He sent me back
[02:48:20.960 --> 02:48:26.600]  and said, I want you to start a ministry called, by my name, HisGlory.
[02:48:26.600 --> 02:48:27.600]  The rest is history.
[02:48:27.600 --> 02:48:34.680]  It took years of going into the cave and learning His Word and being trained by Him, but He's
[02:48:34.680 --> 02:48:39.720]  been absolutely faithful, so I'm a very unique pastor that gave up the corporate world to
[02:48:39.720 --> 02:48:42.040]  get to become a pastor.
[02:48:42.040 --> 02:48:50.640]  Yeah, and I think that that probably helps you be relatable with the body, the congregation,
[02:48:50.640 --> 02:48:53.440]  I would imagine that's a very relatable thing.
[02:48:53.640 --> 02:48:58.600]  Absolutely, because everything that the Lord uses us for in our life is for such a time
[02:48:58.600 --> 02:48:59.600]  as this.
[02:48:59.600 --> 02:49:04.040]  You know, everybody that's watching this today, you're going to be used by the Lord if you
[02:49:04.040 --> 02:49:09.400]  ask Him to use you, and your life experiences up until this point are all pointing to what
[02:49:09.400 --> 02:49:13.840]  His purpose is for you, and that's why He had to make me a Marine, that's how I had to go
[02:49:13.840 --> 02:49:21.320]  into the corporate world and then be humbled by Him to get rid of self and go out for His
[02:49:21.320 --> 02:49:23.320]  purpose and His glory.
[02:49:23.320 --> 02:49:30.560]  You know, I was having a health conversation last night on a podcast that I host, just
[02:49:30.560 --> 02:49:39.640]  getting into health and getting into stress, and the reason I bring this up is, you know,
[02:49:39.640 --> 02:49:47.800]  when you realize that God's plan is inevitable, and the good and the bad and the ugly that
[02:49:47.800 --> 02:49:53.920]  happens to you in your life is all part of God's plan, the stress just washes away.
[02:49:53.920 --> 02:49:57.880]  And I'm not saying that means you don't have to be concerned or respond or anything like
[02:49:57.880 --> 02:50:02.680]  that, it's just, in those moments, there's a comforting knowing that, you know what,
[02:50:02.680 --> 02:50:07.800]  this is part of God's plan, and so I'm going to roll with this now, even when you go through
[02:50:07.800 --> 02:50:08.800]  the hardships.
[02:50:08.800 --> 02:50:11.920]  I look at some of the mistakes I've made in my life, I look at some of the things in my
[02:50:11.920 --> 02:50:17.060]  life that happened that at the time looked really bad, like wow, this is going to be
[02:50:17.060 --> 02:50:20.980]  really detrimental, but in the end, it was part of God's plan to put me where I need
[02:50:20.980 --> 02:50:21.980]  to be today.
[02:50:21.980 --> 02:50:25.340]  It's very relatable for what you're talking about too, and I think a lot of that too
[02:50:25.340 --> 02:50:30.660]  is I did not, I was not a very patient person, I'm probably still not a very patient person,
[02:50:30.660 --> 02:50:34.820]  but compared to what I was as a younger man, I'm extremely patient.
[02:50:34.820 --> 02:50:42.340]  So what can you talk to when it comes to just relieving that pressure, relieving that stress,
[02:50:42.340 --> 02:50:45.740]  understanding that it's all part of God's plan, and if you have patience, it doesn't
[02:50:45.740 --> 02:50:49.220]  mean it's going to be fun, it doesn't mean it's going to be easy, but if you have patience
[02:50:49.220 --> 02:50:53.700]  and understanding, eventually you'll see, wow, that happened for a reason.
[02:50:53.700 --> 02:50:54.700]  Right.
[02:50:54.700 --> 02:50:57.220]  So that's why we have such an addiction problem in the world.
[02:50:57.220 --> 02:51:01.580]  People are searching for answers to relieve stress or burdens or whatever it may be in
