[00:00.000 --> 00:02.000]  it
[2:31:10.540 --> 2:31:16.620]  weigh you down hapies is a powerful mood and stress support formula that has your back against life
[2:31:16.620 --> 2:31:22.940]  daily inconveniences made with ancient ingredients used for thousands of years hapies can help you
[2:31:22.940 --> 2:31:29.260]  take back the day with our powerhouse formula hapies can be an important part of your daily
[2:31:29.260 --> 2:31:34.940]  supplement routine with poor diet and the constant on and off of your work life it's more important
[2:31:34.940 --> 2:31:41.500]  than ever to support your body in the fight against stress with powerful ingredients combined to help
[2:31:41.500 --> 2:31:47.660]  support the mind and body hapies helps support steering stress promotes overall well-being
[2:31:47.660 --> 2:31:53.580]  and helps support your mood don't let your life bogged down help your body overcome the effects
[2:31:53.580 --> 2:32:03.340]  of daily stress and pressure today with hapies from infowarstore.com this far at its regular price
[2:32:03.340 --> 2:32:08.140]  is a little over three dollars when we have it discounted it's at about two dollars and fifty
[2:32:08.140 --> 2:32:14.460]  cents a piece comparable bars for between five and seven dollars a piece to add whole foods this is
[2:32:14.460 --> 2:32:19.660]  high end when you get one box you get them at basically three dollars you get them for two
[2:32:19.660 --> 2:32:25.820]  fifty or so when you get it the current launch discount this took over a year to get the top
[2:32:25.820 --> 2:32:30.620]  manufacturer developer in the country to get it all ready and to have the manufacturing line
[2:32:30.620 --> 2:32:35.980]  prepared and to make this it's available exclusively infowarstore.com it's simple you get the highest
[2:32:35.980 --> 2:32:41.260]  quality protein bars in two different flavors and you fund the war against the globalist
[2:32:41.260 --> 2:32:45.340]  and the attempt that we're engaging to take the country back it's simple go shop with the good
[2:32:45.340 --> 2:32:50.460]  guys infowarstore.com and break the back of the globalist and get high quality super discounts
[2:32:50.460 --> 2:32:54.860]  or keep shopping with jeff bezos and amazon and keep going to whole foods that are actually
[2:32:54.860 --> 2:33:03.820]  funding the wash your post and the globalist attempt to destroy this country it's that simple infowarstore.com
[2:33:03.820 --> 2:33:17.820]  you're listening to the alex jones show
[2:33:17.820 --> 2:33:25.660]  resistance to tyrants his obedience to god it's alex jones
[2:33:29.660 --> 2:33:37.100]  show while we laugh at the evil obviously demonically possessed archives of the
[2:33:37.980 --> 2:33:41.100]  what i believe is methamphetamine addict aoc
[2:33:41.100 --> 2:33:47.980]  oh we laugh remember our schoolchildren in accredited private schools and public schools
[2:33:48.700 --> 2:33:55.900]  in about 78 percent of schools in the u.s are being taught exactly what aoc is spewing
[2:33:56.940 --> 2:34:01.820]  so we can sit there and laugh at her as an extremist but the communists the socialists
[2:34:01.820 --> 2:34:06.300]  have killed 200 plus million people the last century a good 10 million plus people this
[2:34:06.300 --> 2:34:14.540]  century and they mean business so when you hear her say capitalism is irredeemable that's a quote
[2:34:14.540 --> 2:34:19.100]  or america's garbage we're gonna play this quote you're thinking well this is insanity
[2:34:20.060 --> 2:34:25.580]  well sure she's a low IQ probably 75 IQ clearly in my view drug addict
[2:34:25.580 --> 2:34:31.660]  methad puppet will be thrown away later but it's her job to introduce all these poisonous
[2:34:31.660 --> 2:34:39.340]  carcinogen laced lies to the public because you've got all these big polls another one came out
[2:34:39.340 --> 2:34:44.860]  earlier this week but you've got gallup polls and others all saying between 49 and 55 percent
[2:34:44.860 --> 2:34:52.220]  depending on a poll but roughly half of millenials and generation z so that's people under about
[2:34:52.220 --> 2:34:59.020]  33 34 they want communism or socialism they believe in a free lunch now sure the system we have is
[2:34:59.020 --> 2:35:04.860]  crony capitalism and combines and groups rigging things but they're rigging and siphoning off a big
[2:35:04.860 --> 2:35:10.700]  powerful free market juggernaut and they're weakening it but still it's light years better
[2:35:10.700 --> 2:35:18.620]  obviously than communism or socialism take our once great medicine the 1960s we had the very
[2:35:18.620 --> 2:35:22.620]  best medicine in the world then we made it mandatory put government spending behind it
[2:35:22.620 --> 2:35:29.340]  balloon the amount of cost and now it's falling apart it's the same thing with education it was
[2:35:29.340 --> 2:35:34.380]  so the best education in the world but then all of these corporate groups and hospital groups got
[2:35:34.380 --> 2:35:39.020]  behind subsidizing health care they put more money behind it for about prices lowered quality
[2:35:39.980 --> 2:35:46.220]  so it's the same story over and over again and sure you've got the clearly elected president
[2:35:46.220 --> 2:35:53.020]  of venezuela inviting her down she said hell no i'm not coming down there because while the
[2:35:53.020 --> 2:35:57.660]  average venezuela and fights for their life to eat garbage it's eat garbage or die in socialist
[2:35:57.660 --> 2:36:01.820]  countries you eat garbage or die she knows she's part of the ruling elite wearing three thousand
[2:36:01.820 --> 2:36:07.100]  five thousand dollar outfits thousand dollar shoes flying around in helicopters and private jets
[2:36:07.100 --> 2:36:13.740]  driving you know a hundred thousand dollar suvs that's for you to not have a car that's for you
[2:36:13.740 --> 2:36:17.580]  to not have air conditioning like when obama went to africa and said you can't have cars
[2:36:17.580 --> 2:36:22.540]  you can't have air conditioning that that's for you not for him he's part of the ruling class
[2:36:23.980 --> 2:36:27.820]  so i wanted to play some of these clips and remember they all dovetail
[2:36:30.060 --> 2:36:36.540]  with people like governor qualmo new york saying america was never great and will ever be that great
[2:36:37.660 --> 2:36:42.700]  because they're conquering america they don't want it to succeed they want it to fail
[2:36:42.700 --> 2:36:47.900]  because they want to loot it it's elementary my dear watson and look i know you know that you're
[2:36:47.900 --> 2:36:53.580]  laughing at her but don't laugh because she's winning because you're not involved in the schools
[2:36:53.580 --> 2:36:58.380]  i'm not involved in the schools we're not out there upfront saying no to these monsters we're
[2:36:58.380 --> 2:37:03.260]  letting wild-eyed demons run our lives so what does it say about us if she's so weak if she's so
[2:37:03.260 --> 2:37:10.140]  laughable if she's so pathetic then who are we well we're the slave of aoc we're aoc's bitch
[2:37:10.140 --> 2:37:18.700]  she's our pill so here's aoc in austin just a few days ago calling america garbage well then get
[2:37:18.700 --> 2:37:25.900]  the hell out sister here it is i think all of these things sound radical compared to where we are
[2:37:25.900 --> 2:37:32.620]  but where we are is not a good thing and this idea of like 10 percent better from garbage
[2:37:32.620 --> 2:37:42.620]  it shouldn't be what we settle for it's like this like it feels like moderate is not a stance it's
[2:37:42.620 --> 2:37:51.340]  just an attitude toward life of like don't hold back tell me how you really feel about incrementalism
[2:37:52.780 --> 2:38:00.620]  but so america's garbage on a trajectory and since socialism took over it's been going down
[2:38:00.620 --> 2:38:05.660]  but but she's claiming everybody wants to get here because we're garbage and clearly she looks
[2:38:05.660 --> 2:38:10.540]  like she's on hardcore drugs if you're a radio listener you don't see it i mean she is circling
[2:38:10.540 --> 2:38:15.020]  the toilet bowl fast uh you know she's committed all these federal elections commission crimes
[2:38:15.020 --> 2:38:21.100]  stolen millions cut and drive but hey don't hold your breath though remember Pelosi can engage in
[2:38:21.100 --> 2:38:26.460]  crime maxine waters can engage in crime hillary can ever foundation still billions it's okay
[2:38:26.460 --> 2:38:31.980]  because the justice department works for them look at all the stock testimony all the page
[2:38:31.980 --> 2:38:36.620]  testimony that's come out proving everything that was all a witch on all political but it's not getting
[2:38:36.620 --> 2:38:41.900]  any coverage except for info wars dot com and news wars dot com which is why they want to shut down
[2:38:41.900 --> 2:38:45.740]  and then the president won't defend us he says hey be censored learn to bend over and have your
[2:38:45.740 --> 2:38:51.340]  rights taken i don't want the internet defending me okay trump great whatever god what a nightmare
[2:38:51.340 --> 2:38:58.300]  unbelievable uh so here's another one aoc slams capitalism let's listen to this jewel and the
[2:38:58.300 --> 2:39:07.100]  really big one's coming up the tough part about this about like is capitalism redeemable etc
[2:39:07.660 --> 2:39:13.420]  is that uh it's hard to have these conversations i think as a society because we all have different
