[00:00.000 --> 00:02.000]  Oh
[2:24:26.920 --> 2:24:28.920]  because I default set the position
[2:24:28.920 --> 2:24:30.920]  and ran it in the overdrive but now
[2:24:30.920 --> 2:24:32.920]  I have become I'm just telling
[2:24:32.920 --> 2:24:34.920]  listeners I've literally become a robot in this fight
[2:24:34.920 --> 2:24:36.920]  Alex and the last thing I know
[2:24:36.920 --> 2:24:38.920]  you've got other guests coming up last
[2:24:38.920 --> 2:24:40.920]  last thing to mention you know this big explosion
[2:24:40.920 --> 2:24:42.920]  in Houston this
[2:24:42.920 --> 2:24:44.920]  this chemical plant exploded
[2:24:44.920 --> 2:24:46.920]  entire neighborhoods have been destroyed the police are telling
[2:24:46.920 --> 2:24:48.920]  people to look for body parts
[2:24:48.920 --> 2:24:50.920]  up to a mile away okay so this
[2:24:50.920 --> 2:24:52.920]  look we talked about sleeper cells
[2:24:52.920 --> 2:24:54.920]  being activated I don't know if that's what this is
[2:24:54.920 --> 2:24:56.920]  but this could be payback for the
[2:24:56.920 --> 2:24:58.920]  Salamani strike this could be
[2:24:58.920 --> 2:25:00.920]  you know Islamic radical
[2:25:00.920 --> 2:25:02.920]  extremist sleeper cells activating we need
[2:25:02.920 --> 2:25:04.920]  to we need to see if that's the case but Houston
[2:25:04.920 --> 2:25:06.920]  was one of the key targets so it may
[2:25:06.920 --> 2:25:08.920]  be happening we need to research further
[2:25:08.920 --> 2:25:10.920]  well there's no doubt
[2:25:10.920 --> 2:25:12.920]  that's a target and we should cover that alright
[2:25:12.920 --> 2:25:14.920]  Mike Adams amazing job please
[2:25:14.920 --> 2:25:16.920]  join me on the Sunday show
[2:25:16.920 --> 2:25:18.920]  4 to 6 p.m. and I'm doing a Saturday show
[2:25:18.920 --> 2:25:20.920]  as well thank you sir
[2:25:20.920 --> 2:25:22.920]  alright well joining
[2:25:22.920 --> 2:25:24.920]  us down I appreciate him holding as we got behind
[2:25:24.920 --> 2:25:26.920]  here is John Rappaport
[2:25:26.920 --> 2:25:28.920]  great patriot filmmaker investigative
[2:25:28.920 --> 2:25:30.920]  journalist no more fake news calm
[2:25:30.920 --> 2:25:32.920]  he's been under
[2:25:32.920 --> 2:25:34.920]  the novel service attack
[2:25:34.920 --> 2:25:36.920]  as well
[2:25:36.920 --> 2:25:38.920]  and he's here
[2:25:38.920 --> 2:25:40.920]  with us to talk about
[2:25:40.920 --> 2:25:42.920]  the big picture and then we'll drill
[2:25:42.920 --> 2:25:44.920]  down in the time we have
[2:25:44.920 --> 2:25:46.920]  about what's happening because intellectually
[2:25:46.920 --> 2:25:48.920]  I can see that things are exponentially
[2:25:48.920 --> 2:25:50.920]  by orders of magnitude more insane
[2:25:50.920 --> 2:25:52.920]  but then a spiritual level
[2:25:52.920 --> 2:25:54.920]  I don't want to say I'm
[2:25:54.920 --> 2:25:56.920]  poleaxed at this point but that's what Mike
[2:25:56.920 --> 2:25:58.920]  said he's almost I started
[2:25:58.920 --> 2:26:00.920]  I couldn't go on air for 20 minutes today
[2:26:00.920 --> 2:26:02.920]  because I'm in here doing hours
[2:26:02.920 --> 2:26:04.920]  of research before and
[2:26:04.920 --> 2:26:06.920]  and then
[2:26:06.920 --> 2:26:08.920]  my
[2:26:08.920 --> 2:26:10.920]  I just can't believe we're putting up
[2:26:10.920 --> 2:26:12.920]  with this but I see the seduction I see
[2:26:12.920 --> 2:26:14.920]  the incrementalism but I just
[2:26:14.920 --> 2:26:16.920]  I'm now coming to the point of like we're
[2:26:16.920 --> 2:26:18.920]  in a state of war and
[2:26:18.920 --> 2:26:20.920]  this is totally insane how would you
[2:26:20.920 --> 2:26:22.920]  quantify where we are right now John
[2:26:22.920 --> 2:26:24.920]  Rappaport
[2:26:24.920 --> 2:26:26.920]  well as you said Alex it's all about
[2:26:26.920 --> 2:26:28.920]  the attacks
[2:26:28.920 --> 2:26:30.920]  to try to make
[2:26:30.920 --> 2:26:32.920]  you and others
[2:26:32.920 --> 2:26:34.920]  spend all of your time
[2:26:34.920 --> 2:26:36.920]  defending against these various attacks
[2:26:36.920 --> 2:26:38.920]  so that you can't go about
[2:26:38.920 --> 2:26:40.920]  your work in the same way that you were
[2:26:40.920 --> 2:26:42.920]  doing before
[2:26:42.920 --> 2:26:44.920]  because you're fending off
[2:26:44.920 --> 2:26:46.920]  all the time because
[2:26:46.920 --> 2:26:48.920]  they've seen what the threat
[2:26:48.920 --> 2:26:50.920]  of free free speech
[2:26:50.920 --> 2:26:52.920]  is really all about
[2:26:52.920 --> 2:26:54.920]  there's no doubt about it now
[2:26:54.920 --> 2:26:56.920]  they understand we got this thing called
[2:26:56.920 --> 2:26:58.920]  the internet alright let's see what happens
[2:26:58.920 --> 2:27:00.920]  yeah well what happens is
[2:27:00.920 --> 2:27:02.920]  for the last 15-20 years
[2:27:02.920 --> 2:27:04.920]  all of a sudden people are waking up
[2:27:04.920 --> 2:27:06.920]  and they're saying well if I can
[2:27:06.920 --> 2:27:08.920]  actually communicate
[2:27:08.920 --> 2:27:10.920]  to large numbers of people about
[2:27:10.920 --> 2:27:12.920]  what's going on rather than
[2:27:12.920 --> 2:27:14.920]  you know in the old days when I used to give
[2:27:14.920 --> 2:27:16.920]  lectures back in the 80s
[2:27:16.920 --> 2:27:18.920]  and 90s there was a group
[2:27:18.920 --> 2:27:20.920]  that would come in there a couple of people
[2:27:20.920 --> 2:27:22.920]  and they would
[2:27:22.920 --> 2:27:24.920]  tape it audio tape and they'd make copies
[2:27:24.920 --> 2:27:26.920]  and they'd sell them
[2:27:26.920 --> 2:27:28.920]  and then I would get a letter from somebody
[2:27:28.920 --> 2:27:30.920]  in Bulgaria six months later
[2:27:30.920 --> 2:27:32.920]  saying I heard your
[2:27:32.920 --> 2:27:34.920]  tape on viruses
[2:27:34.920 --> 2:27:36.920]  and fantastic news
[2:27:36.920 --> 2:27:38.920]  and whatever you know
[2:27:38.920 --> 2:27:40.920]  so all of a sudden now it's instantaneous
[2:27:40.920 --> 2:27:42.920]  and they're seeing that
[2:27:42.920 --> 2:27:44.920]  they themselves are getting
[2:27:44.920 --> 2:27:46.920]  overwhelmed the enemy
[2:27:46.920 --> 2:27:48.920]  is getting overwhelmed so
[2:27:48.920 --> 2:27:50.920]  they have to strike back and they have to destroy
[2:27:50.920 --> 2:27:52.920]  that's right they see humanity making the right
[2:27:52.920 --> 2:27:54.920]  decision when given the opportunity
[2:27:54.920 --> 2:27:56.920]  exactly
[2:27:56.920 --> 2:27:58.920]  so we say to you
[2:27:58.920 --> 2:28:00.920]  alright let's try free speech
[2:28:00.920 --> 2:28:02.920]  out and see what happens and
[2:28:02.920 --> 2:28:04.920]  lo and behold what does happen
[2:28:04.920 --> 2:28:06.920]  people wake up
[2:28:06.920 --> 2:28:08.920]  people begin investigating on their own
[2:28:08.920 --> 2:28:10.920]  I remember you could say this was
[2:28:10.920 --> 2:28:12.920]  the dawn of the internet back around
[2:28:12.920 --> 2:28:14.920]  1996-97
[2:28:14.920 --> 2:28:16.920]  the Oklahoma City bombing
[2:28:16.920 --> 2:28:18.920]  when citizens in the city
[2:28:18.920 --> 2:28:20.920]  got together and formed
[2:28:20.920 --> 2:28:22.920]  under state representative
[2:28:22.920 --> 2:28:24.920]  Charles Key their own
[2:28:24.920 --> 2:28:26.920]  citizen grand jury
[2:28:26.920 --> 2:28:28.920]  and all of a sudden
[2:28:28.920 --> 2:28:30.920]  you had smart people
[2:28:30.920 --> 2:28:32.920]  not just smart people
[2:28:32.920 --> 2:28:34.920]  brilliant people investigators
[2:28:34.920 --> 2:28:36.920]  that went out way beyond
[2:28:36.920 --> 2:28:38.920]  and exposed Bill Clinton blew that building up
[2:28:38.920 --> 2:28:40.920]  with a CIA and FBI to blame America
[2:28:40.920 --> 2:28:42.920]  they just
[2:28:42.920 --> 2:28:44.920]  found out so many secrets
[2:28:44.920 --> 2:28:46.920]  and conspiracies and plots
[2:28:46.920 --> 2:28:48.920]  and so forth they had the names I've interviewed
[2:28:48.920 --> 2:28:50.920]  the police went public to them
[2:28:50.920 --> 2:29:00.920]  we'll be right back
[2:29:20.920 --> 2:29:22.920]  to move a lot of our inventory to a temporary location
[2:29:22.920 --> 2:29:24.920]  and rather than move it back to the warehouse
[2:29:24.920 --> 2:29:26.920]  we thought we'd offer the system
[2:29:26.920 --> 2:29:28.920]  at a price that might seem unbelievable
[2:29:28.920 --> 2:29:30.920]  if you didn't know the flood waters backstory
[2:29:30.920 --> 2:29:32.920]  so here's what you should do right now
[2:29:32.920 --> 2:29:34.920]  check out the ppx microgrid system
[2:29:34.920 --> 2:29:36.920]  at myownpowergrid.com
[2:29:36.920 --> 2:29:38.920]  that's myownpowergrid.com
[2:29:38.920 --> 2:29:40.920]  over a thousand dollars in great
[2:29:40.920 --> 2:29:42.920]  off the grid gear and a ton of bonuses too
[2:29:42.920 --> 2:29:44.920]  and the best part you're not going to pay
[2:29:44.920 --> 2:29:46.920]  750 or 500 dollars 300
[2:29:46.920 --> 2:29:48.920]  or even 200 go to
[2:29:48.920 --> 2:29:50.920]  myownpowergrid.com to learn more
[2:29:50.920 --> 2:29:52.920]  that's myownpowergrid.com
[2:29:52.920 --> 2:29:54.920]  I've got to really
[2:29:54.920 --> 2:29:56.920]  hand it to the listeners
[2:29:56.920 --> 2:29:58.920]  and viewers from Full Wars
[2:29:58.920 --> 2:30:00.920]  your support and your help
[2:30:00.920 --> 2:30:02.920]  in rebooting Americana
[2:30:02.920 --> 2:30:04.920]  is a challenge to the globalist system
[2:30:04.920 --> 2:30:06.920]  of corporate tyranny has really caught hold
[2:30:06.920 --> 2:30:08.920]  not just here in the U.S.
[2:30:08.920 --> 2:30:10.920]  but worldwide and President Trump's
[2:30:10.920 --> 2:30:12.920]  fearlessness when it comes to promoting
[2:30:12.920 --> 2:30:14.920]  Americana and basic liberty
[2:30:14.920 --> 2:30:16.920]  is amazing as well
[2:30:16.920 --> 2:30:18.920]  still lacking on the big tech censorship
[2:30:18.920 --> 2:30:20.920]  taking action against that
[2:30:20.920 --> 2:30:22.920]  in some other areas but
[2:30:22.920 --> 2:30:24.920]  trying to end the wars, boosting our economy
[2:30:24.920 --> 2:30:26.920]  speaking out against communist China
[2:30:26.920 --> 2:30:28.920]  Trump's been doing an amazing job
[2:30:28.920 --> 2:30:30.920]  but now more than ever
[2:30:30.920 --> 2:30:32.920]  we really have to realize that
[2:30:32.920 --> 2:30:34.920]  we're being targeted because we are effective
[2:30:34.920 --> 2:30:36.920]  and the globalists are beginning to lose
[2:30:36.920 --> 2:30:38.920]  their war
[2:30:38.920 --> 2:30:40.920]  against humanity in a big way
[2:30:40.920 --> 2:30:42.920]  and so we're going to see some major fireworks out of them
[2:30:42.920 --> 2:30:44.920]  but it's critical to not let ourselves
[2:30:44.920 --> 2:30:46.920]  get down when we see all the poison
[2:30:46.920 --> 2:30:48.920]  they spray at us
[2:30:48.920 --> 2:30:50.920]  that's an attempt to demoralize us
[2:30:50.920 --> 2:30:52.920]  we've got to remember that
[2:30:52.920 --> 2:30:54.920]  and stay focused and stay happy
[2:30:54.920 --> 2:30:56.920]  info wars life is bringing you a breakthrough
[2:30:56.920 --> 2:30:58.920]  in modern medicine
[2:30:58.920 --> 2:31:00.920]  introducing pollen block
[2:31:00.920 --> 2:31:02.920]  we have found an extraordinary new
[2:31:02.920 --> 2:31:04.920]  natural way to alleviate seasonal
[2:31:04.920 --> 2:31:06.920]  distress symptoms including
[2:31:06.920 --> 2:31:08.920]  promoting clear nasal and sinus passageways
[2:31:08.920 --> 2:31:10.920]  eye comfort
[2:31:10.920 --> 2:31:12.920]  and respiratory function
[2:31:12.920 --> 2:31:14.920]  researchers in France notice
[2:31:14.920 --> 2:31:16.920]  that people who ate certain quail eggs
[2:31:16.920 --> 2:31:18.920]  experience less seasonal
[2:31:18.920 --> 2:31:20.920]  immune and inflammatory responses
[2:31:20.920 --> 2:31:22.920]  they began studying this effect
[2:31:22.920 --> 2:31:24.920]  in published trials and decades later
[2:31:24.920 --> 2:31:26.920]  we now have the fruit of this research
[2:31:26.920 --> 2:31:28.920]  a fast acting chewable
[2:31:28.920 --> 2:31:30.920]  tablet that helps alleviate seasonal
[2:31:30.920 --> 2:31:32.920]  distress symptoms pollen block
[2:31:32.920 --> 2:31:34.920]  is natural and effective
[2:31:34.920 --> 2:31:36.920]  it is not an antihistamine
[2:31:36.920 --> 2:31:38.920]  in fact current research has found that it actually
[2:31:38.920 --> 2:31:40.920]  acts by blocking the activity
[2:31:40.920 --> 2:31:42.920]  of triptase which is an enzyme
[2:31:42.920 --> 2:31:44.920]  that amplifies immune and inflammatory responses
[2:31:44.920 --> 2:31:46.920]  in the body
[2:31:46.920 --> 2:31:48.920]  go outside and enjoy the air you breathe
[2:31:48.920 --> 2:31:50.920]  head to infowarslife.com
[2:31:50.920 --> 2:31:52.920]  and grab a pack of our pollen block
[2:31:52.920 --> 2:31:54.920]  chewable tablets
[2:31:54.920 --> 2:31:56.920]  with the daily wear and tear of the environment
[2:31:56.920 --> 2:31:58.920]  on our skin it's only natural
[2:31:58.920 --> 2:32:00.920]  that it starts to crack and take damage
[2:32:00.920 --> 2:32:02.920]  wind, heat, water
[2:32:02.920 --> 2:32:04.920]  and age are telltale signs
[2:32:04.920 --> 2:32:06.920]  that it's time to start taking care of your skin
[2:32:06.920 --> 2:32:08.920]  with the info wars
[2:32:08.920 --> 2:32:10.920]  super silver cream
[2:32:10.920 --> 2:32:12.920]  you can keep your skin feeling silky smooth
[2:32:12.920 --> 2:32:14.920]  and begin to heal the damages
[2:32:14.920 --> 2:32:16.920]  of the world around you
[2:32:16.920 --> 2:32:18.920]  created with ingredients like coconut oil
[2:32:18.920 --> 2:32:20.920]  vitamin E and the incredible
[2:32:20.920 --> 2:32:22.920]  silver salt formula
[2:32:22.920 --> 2:32:24.920]  info wars silver cream works triple duty
[2:32:24.920 --> 2:32:26.920]  supporting the beautifying and protecting
[2:32:26.920 --> 2:32:28.920]  of the skin in a fast
[2:32:28.920 --> 2:32:30.920]  non greasy formula
[2:32:30.920 --> 2:32:32.920]  small and easily stored
[2:32:32.920 --> 2:32:34.920]  it can support dry and damaged skin
[2:32:34.920 --> 2:32:36.920]  to reduce fine lines and wrinkles
[2:32:36.920 --> 2:32:38.920]  softening calluses
[2:32:38.920 --> 2:32:40.920]  with none of the harmful ingredients found in other formulas
[2:32:40.920 --> 2:32:42.920]  you can be sure this silver cream
[2:32:42.920 --> 2:32:44.920]  is hard at work
[2:32:44.920 --> 2:32:46.920]  promoting the healing of your skin
[2:32:46.920 --> 2:32:48.920]  don't miss out on the new silver salt
[2:32:48.920 --> 2:32:50.920]  can't miss formula
[2:32:50.920 --> 2:32:52.920]  get the info wars super silver cream
[2:32:52.920 --> 2:33:17.920]  get the info wars super silver cream
[2:33:17.920 --> 2:33:32.840]  Jones show. We are in the heart of the resistance. It's true. It's not a title. It's not a brag.
[2:33:32.840 --> 2:33:45.920]  It's a distress signal. We're in the fight. We've already seen incredible victory. The
[2:33:45.920 --> 2:33:51.880]  enemy is attacking. If you duplicate what we've done and build on it and expand, we're going to win.
[2:33:51.880 --> 2:33:57.560]  Whatever happens, dies. We did the right thing. We had big victories against the globalist. I can
[2:33:57.560 --> 2:34:04.400]  tell you that right now. And as soon as we get North Paterson Align, constitutional lawyer has
[2:34:04.400 --> 2:34:09.760]  been there doing a great job. We will give you the news on Owen Troyer that just came out minutes
[2:34:09.760 --> 2:34:16.360]  ago. And I know that John Rappaport of NoMoreFakeNews.com will understand we'll do a few minutes
[2:34:16.360 --> 2:34:23.200]  with him. Owen arrested for peacefully putting a piece of tape over his mouth in the Senate foyer.
[2:34:23.200 --> 2:34:27.480]  But going back to John Rappaport, we'll hold it a little bit at the next hour. Dr. Nick
[2:34:27.480 --> 2:34:31.080]  Begach had to be able to hold. Owen's not out as yell yet. I'm told we'll have the announcement
[2:34:31.080 --> 2:34:42.080]  here in just a moment. John, the gestalt. Obviously, this is ridiculously transparent for those of us
[2:34:42.080 --> 2:34:48.520]  that have been studying it. But that's the fact about any mid-globalist role out as it's planetary.
[2:34:48.520 --> 2:34:54.440]  So it's very standardized. It's very slow-moving. But once you hit the point of event horizon or
[2:34:54.440 --> 2:35:00.480]  implementation out of beta, it becomes lightning fast. The depopulation program, what's really
[2:35:00.480 --> 2:35:04.840]  being put in the vaccines, the UN coming out admitting it's killing people. There's a cover-up,
