[00:00.000 --> 00:21.480]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of
[2:41:13.080 --> 2:41:18.600]  be there. That's the sad news for America. But the people who are entrepreneurial,
[2:41:18.600 --> 2:41:23.480]  like the Steve Bannon, like yourself and others, those are the ones that will flourish.
[2:41:23.480 --> 2:41:28.120]  Well, when you put that uncertainty into the system of being entrepreneurial, which is the
[2:41:28.120 --> 2:41:32.920]  basis of this country, then all kinds of things happen. Sure. Let's walk through some of the
[2:41:32.920 --> 2:41:37.800]  headlines on your site. You point out Democrats suffer from senile dementia, claiming Putin puts
[2:41:37.800 --> 2:41:41.720]  words in Trump's head. Let's talk about that. Let's talk about the women's march you've exposed.
[2:41:41.720 --> 2:41:46.760]  I mean, let's talk about then, if they are defeated then, what do they do because they've got tens of
[2:41:46.760 --> 2:41:50.600]  millions of people? I've been out there. I don't need a psychology degree to know they're mentally
[2:41:50.600 --> 2:41:56.200]  ill. Well, it's not an issue. I, you know, I differ from you in a little way because I know the
[2:41:56.200 --> 2:42:02.920]  people who are protesting. But if you think about the protest, women getting together and
[2:42:02.920 --> 2:42:09.080]  protesting that we are women and we want a liberated freedom or whatever, it's not relevant.
[2:42:09.080 --> 2:42:16.440]  It was so awkward and so basically a net that it didn't really address the question of change in
[2:42:16.440 --> 2:42:21.960]  the federal government. It's not about abortion. It's not about your rights to have it or not
[2:42:21.960 --> 2:42:27.160]  have a child. It was so out of tune. It was as if they were playing an instrument in another
[2:42:27.160 --> 2:42:32.280]  court and another time and another way. I agree. They're not synced up with anything. I mean,
[2:42:32.280 --> 2:42:38.680]  we're in the zeitgeist. Everything we're doing is like this human will to succeed and propel and
[2:42:38.680 --> 2:42:44.440]  invent and trailblaze and discover and everything they do is like trying to pull us down. As a
[2:42:44.440 --> 2:42:49.240]  psychiatrist, what do you call that? Do they hate themselves? So they're projecting their loathing
[2:42:49.240 --> 2:42:53.640]  because I'm not being a mean person, but no, I don't want to get into the zeitgeist. Well,
[2:42:53.640 --> 2:42:58.040]  what I call themselves is what I called Hillary, Condoleezza, and Madeline Albright in that
[2:42:58.600 --> 2:43:04.360]  untutored. They were basically people who came out of the so-called elite schools,
[2:43:04.360 --> 2:43:10.040]  so either Stanford or Harvard or whatever, and they thought that was sufficient and necessary
[2:43:10.040 --> 2:43:15.560]  just to keep them for the rest of their life. That wasn't the case. The simple case is you can
[2:43:15.560 --> 2:43:20.600]  protest whatever you want. You have to articulate it, but it's not relevant to the United States
[2:43:20.600 --> 2:43:26.760]  because the real people who voted for Trump were exactly the people who we've talked about and who
[2:43:26.760 --> 2:43:30.200]  listened to the Alex Johnson. You said this a thousand times and hearing you and Bannon,
[2:43:30.200 --> 2:43:35.240]  it's like the same person. I've been talking to you 15 years now, Doc, not 12. He says they don't
[2:43:35.240 --> 2:43:40.120]  get us. They don't know America. They don't know who they're dealing with. They're not even in the
[2:43:40.120 --> 2:43:45.560]  same universe as us. That's really it. They are literal alias. It's as simple as that. I mean,
[2:43:45.560 --> 2:43:50.040]  you're going to Los Angeles. I worked in Los Angeles. It's not real. I mean, there's a movie
[2:43:50.040 --> 2:43:55.320]  called La La Land, which is terrible, but they think this is a representation of what they're
[2:43:55.320 --> 2:44:01.800]  about. It's literally not relevant to the way of life in America. Once Hollywood was relevant,
[2:44:01.800 --> 2:44:08.280]  it is no longer relevant because of the internet, because of the Alex Jones, because of the webinar.
[2:44:08.280 --> 2:44:14.120]  So what's happening is you're seeing arcade systems disappearing in very quick time.
[2:44:14.120 --> 2:44:22.040]  So we're like watching ships sink, basically? Well, they're not sunk completely, but they're
[2:44:22.040 --> 2:44:26.760]  getting water on board. They are sinking very rapidly. It's more kind of the death of an
[2:44:26.760 --> 2:44:31.320]  elephant. Could they reinvent themselves if they joined with the American system of the
[2:44:31.320 --> 2:44:35.640]  Americana? Could they go from being historical to being historic?
[2:44:35.640 --> 2:44:41.560]  Yeah, that's a good point, Alex, because if you see a guy like Bannon who came out of the
[2:44:42.600 --> 2:44:49.400]  Democratic left and came out of pro-labor and all and switched, he went to the side where he
[2:44:49.400 --> 2:44:57.000]  understood that real America was not about elitism. It was about work, about achievement and failure.
[2:44:57.000 --> 2:45:03.480]  That was not inherent in the left, where it had labor unions, where you had a steady income,
[2:45:03.480 --> 2:45:11.160]  where you had a pension. Those days are gone. The notion of consistency and security, that's gone
[2:45:11.160 --> 2:45:18.920]  for the individual. For the nation, no, because we grew and we did our best when we had to develop
[2:45:18.920 --> 2:45:23.160]  technology, when we had to take great risks. And that's where we are right now. Well, it's just
[2:45:23.160 --> 2:45:27.000]  like children. If you don't make them strive, make them learn, make them go under pressure,
[2:45:27.000 --> 2:45:31.960]  they turn into just demonic spoiled brats. And America has somewhat turned into a spoiled brat,
[2:45:31.960 --> 2:45:36.920]  but it was not equally distributed. So you're being very positive today in closing here.
[2:45:36.920 --> 2:45:41.880]  What are the pitfalls? What do we have to look for to make sure we secure this victory? Because
[2:45:41.880 --> 2:45:46.040]  I am just in celebration mode, quite frankly, which I've never been in for 20 plus years.
[2:45:46.040 --> 2:45:49.480]  Like a great feeling of completion. I know we've got more fights to come, but
[2:45:49.480 --> 2:45:53.880]  the fact that Trump is delivering is just breathtaking. It's much better than I thought it
[2:45:53.880 --> 2:45:59.960]  would be, but I still want to guard the victory. What do we do? Well, we have to be patient. The
[2:45:59.960 --> 2:46:06.280]  initial incision by the surge in Trump doesn't necessarily mean that the operation successful.
[2:46:06.280 --> 2:46:11.480]  Like any operation where we literally are changing the metabolism in the state of the
[2:46:11.480 --> 2:46:16.520]  patient, which is what America is in, we have to wait for the completion of the operation.
[2:46:16.520 --> 2:46:22.040]  Who are the people who will implement the change? How good are they really? How effective are they?
[2:46:22.040 --> 2:46:27.560]  Is Trump going to monitor that? And those are the kind of things that we have to watch out for.
[2:46:27.560 --> 2:46:32.920]  So the revolution has just begun. But remember, in every revolution, those of us who are the
[2:46:33.480 --> 2:46:38.920]  flame keepers or who initiated like yourself and your people will be watching. It's not
[2:46:38.920 --> 2:46:43.400]  a given right now. Sure. Bandit came out and he said, keep us honest. We're fighting all these
[2:46:43.400 --> 2:46:48.200]  special interests. It's dizzying. Please watch our backs. Please criticize us. Don't just get
[2:46:48.200 --> 2:46:52.200]  behind us. He said that two weeks ago. Let me ask you this then. As a psychiatrist, but also as a
[2:46:52.200 --> 2:46:57.800]  doctor and as a veteran and all the other things you've done, looking at it from a psychiatric
[2:46:57.800 --> 2:47:02.600]  position, I don't see Trump as a narcissist like they say in these overblown terms. They use too
[2:47:02.600 --> 2:47:09.720]  much. He is like about almost OCD, about success, victory, piles of work, delivering on what he
[2:47:09.720 --> 2:47:15.160]  says he'll do. And the ultimate task is to defeat all these other elites. He sees that we're given
[2:47:15.160 --> 2:47:21.000]  everything they had. And so it's almost a good thing that he's hyper dominant and sees his victory
[2:47:21.000 --> 2:47:26.360]  like a big dog hauling us back a big deer by the neck. I mean, it's almost very dog-like. I don't
[2:47:26.360 --> 2:47:30.680]  mean that in a in a diminutive word. I understand what you're saying. Let me, let me make this very
[2:47:30.680 --> 2:47:35.800]  clear. Every one of us has narcissism. There's what we call malignant narcissism. There's what we
[2:47:35.800 --> 2:47:42.520]  call healthy narcissism. In the case of Trump right now, he is manifesting a very healthy amount
[2:47:42.520 --> 2:47:47.640]  of narcissism saying, look, I'm going to change, but it's not only me. Sure. But that's what I'm
[2:47:47.640 --> 2:47:51.640]  saying. I'm not a psychiatrist, but explain. I don't use the terms you use, but it seems like
[2:47:52.360 --> 2:48:00.200]  his whole identity and will is about empowering us. He sees us as him. I mean, that sounds very
[2:48:00.200 --> 2:48:04.920]  positive, but also can have some dangerous connotations if they're setbacks, but break it down.
[2:48:05.720 --> 2:48:13.800]  Well, the connotation, when you have a leader as strong willed as Trump, you also have the notion
[2:48:13.800 --> 2:48:20.200]  of the higher, I don't mean in a negative way about Trump, but the higher the monkey climbs,
[2:48:20.200 --> 2:48:26.680]  the further he falls. One of the things that Trump has to watch out for is what we call in the
[2:48:26.680 --> 2:48:33.160]  business idealization and devaluation. That means everyone he meets or however great he is,
[2:48:33.160 --> 2:48:38.920]  the higher he goes and the higher he claims somebody else goes, the further it is possible for
