[00:00.000 --> 00:21.880]  Defending the Republic from enemies foreign and domestic it's Alex Jones and now your
[02:37:27.200 --> 02:37:29.200]  It didn't make sense to me then.
[02:37:29.200 --> 02:37:32.200]  But now it does you know what I mean.
[02:37:32.200 --> 02:37:45.200]  They all would take a secret about it and people that didn't even know each other would know the same things about this dimension and these bells or whatever the hell you want to call.
[02:37:45.200 --> 02:37:51.200]  So it's real you know you're right on you're right on seek.
[02:37:51.200 --> 02:37:53.200]  What thing you're missing is.
[02:37:53.200 --> 02:37:55.200]  Have you ever heard of you've heard of the CERN.
[02:37:55.200 --> 02:37:56.200]  Okay.
[02:37:56.200 --> 02:37:57.200]  Right.
[02:37:57.200 --> 02:37:58.200]  Yeah CERN.
[02:37:58.200 --> 02:38:02.200]  We've covered it many times on the podcast.
[02:38:02.200 --> 02:38:04.200]  But a doorway.
[02:38:04.200 --> 02:38:06.200]  They're created a doorway.
[02:38:06.200 --> 02:38:07.200]  Okay.
[02:38:07.200 --> 02:38:09.200]  Satan wants one thing.
[02:38:09.200 --> 02:38:11.200]  He doesn't want to ask with us.
[02:38:11.200 --> 02:38:13.200]  He doesn't want to rule us.
[02:38:13.200 --> 02:38:14.200]  He wants us gone.
[02:38:14.200 --> 02:38:15.200]  Okay.
[02:38:15.200 --> 02:38:16.200]  He hates us.
[02:38:16.200 --> 02:38:17.200]  He's jealous.
[02:38:17.200 --> 02:38:18.200]  He ruined us.
[02:38:18.200 --> 02:38:19.200]  You know what I mean.
[02:38:19.200 --> 02:38:23.200]  And that's greatest creation.
[02:38:23.200 --> 02:38:25.200]  And he wants us gone.
[02:38:25.200 --> 02:38:27.200]  So he's lying to all these devil worshipers.
[02:38:27.200 --> 02:38:30.200]  I mean who wants to kill babies.
[02:38:30.200 --> 02:38:31.200]  Okay.
[02:38:31.200 --> 02:38:32.200]  44 Democrats.
[02:38:32.200 --> 02:38:33.200]  There's devil worshipers.
[02:38:33.200 --> 02:38:34.200]  Okay.
[02:38:34.200 --> 02:38:37.200]  I got chased out of a campsite once by these creeps.
[02:38:37.200 --> 02:38:43.200]  I mean God has you know saved me so many times.
[02:38:43.200 --> 02:38:50.200]  Well and it's amazing to me too Bob that you know if you want to get some of the most powerful testimony from people.
[02:38:50.200 --> 02:39:01.200]  You go and you I mean go to ex heroin addicts go to ex meth addicts and they'll tell you they've seen the devil and they've and they've now found God and they're never going back.
[02:39:01.200 --> 02:39:08.200]  I mean it's some of the most powerful testimony you'll ever hear for God is from ex drug addicts Bob thank you so much for that call.
[02:39:08.200 --> 02:39:11.200]  I mean Justin would you agree with that analysis.
[02:39:11.200 --> 02:39:19.200]  Yeah absolutely and it's interesting that some of these very drugs that are the synthetic versions of the drugs that are allowing people to experience these dimensions and to see these entities.
[02:39:19.200 --> 02:39:22.200]  They have their origin point in Nazi Germany.
[02:39:22.200 --> 02:39:27.200]  What are you doing with the pharma key and creating of these drugs and synthesizing these drugs.
[02:39:27.200 --> 02:39:29.200]  So I think it's very interesting and also with CERN.
[02:39:29.200 --> 02:39:31.200]  You know Bob mentioned CERN.
[02:39:31.200 --> 02:39:38.200]  CERN is Stephen Hawkins the late Stephen Hawkins who knew a whole lot more about some of this stuff than most people.
[02:39:38.200 --> 02:39:39.200]  He warned them.
[02:39:39.200 --> 02:39:41.200]  He said stop playing with this technology.
[02:39:41.200 --> 02:39:43.200]  He said that CERN is dangerous.
[02:39:43.200 --> 02:39:45.200]  It's over in Switzerland by the way.
[02:39:45.200 --> 02:39:49.200]  There was a whole big occult ritual where they they you know televised it.
[02:39:49.200 --> 02:39:50.200]  Bottom line is this.
[02:39:50.200 --> 02:39:51.200]  It's dangerous stuff.
[02:39:51.200 --> 02:39:52.200]  Stephen Hawkins said stop doing it.
[02:39:52.200 --> 02:39:58.200]  They're trying to recreate what they call the Big Bang Effect or the God particle and the scientists over there.
[02:39:58.200 --> 02:40:07.200]  They're saying that as they fire up these accelerators what's taking place is they're seeing entities trying to cross over like they're literally witnessing entities and these are scientists.
[02:40:07.200 --> 02:40:14.200]  These are these are scientists who and then there's like these weird paranormal events that happened in the sky while they have this.
[02:40:14.200 --> 02:40:17.200]  The Hadron Collider fired up and you can go Google this stuff.
[02:40:17.200 --> 02:40:24.200]  There's like weird clouds forming and like boxes and people think there's like portals in the sky.
[02:40:24.200 --> 02:40:25.200]  This has been photographed.
[02:40:25.200 --> 02:40:26.200]  So I don't know what's going on.
[02:40:26.200 --> 02:40:29.200]  I mean I just pay attention to it and I think it intrigues me.
[02:40:29.200 --> 02:40:30.200]  Let's take another call.
[02:40:30.200 --> 02:40:32.200]  Let's go to Grant calling in from Iowa.
[02:40:32.200 --> 02:40:33.200]  Go ahead Grant.
[02:40:33.200 --> 02:40:36.200]  Hey Owen thanks for taking my call.
[02:40:36.200 --> 02:40:47.200]  Echo what Alex from Michigan said earlier people are really interested in this stuff like a lot of the stuff that Alex covered on Joe Rogan because we're all subconsciously aware of these senses.
[02:40:47.200 --> 02:40:51.200]  You know like you were talking about being able to spot a liar or a disingenuous person.
[02:40:51.200 --> 02:40:59.200]  It's something that's built in to our you know human biology that you have to but you have to access it manually.
[02:40:59.200 --> 02:41:00.200]  It's not going to happen.
[02:41:00.200 --> 02:41:07.200]  No no no exactly that's what it is because when I and that's what I was saying when I was separated from God I fell for this crap.
[02:41:07.200 --> 02:41:08.200]  I mean I fell for it.
[02:41:08.200 --> 02:41:09.200]  I mean that's the whole thing.
[02:41:09.200 --> 02:41:19.200]  That's why people go to college and they come out like a blood sucking liberal because they're not connected to God and so they can't see the deceivers.
[02:41:19.200 --> 02:41:20.200]  And you know let me comment on this.
[02:41:20.200 --> 02:41:23.200]  We are created to have a relationship with our creator.
[02:41:23.200 --> 02:41:25.200]  It's hardwired into us.
[02:41:25.200 --> 02:41:26.200]  We are spiritual beings.
[02:41:26.200 --> 02:41:32.200]  And so if we don't have a creation with our creator I'm sorry a relationship with our creator we're going to be trying to fill that void somewhere else.
[02:41:32.200 --> 02:41:40.200]  And that's where the occult really comes into play because it's allowing people to have spiritual connections and to activate their pineal glands through other means.
[02:41:40.200 --> 02:41:45.200]  And so just like Alex said on Joe Rogan it's like for the higher for the good you have to work for it.
[02:41:45.200 --> 02:41:51.200]  You know and I don't mean works a works based salvation but you have to make the you know you have to repent and come to God.
[02:41:51.200 --> 02:41:56.200]  You have to literally ask him I want to be part of you and your kingdom.
[02:41:56.200 --> 02:42:02.200]  Yeah it's like in Indiana Jones when he's walking across I forget what it is but he has to walk across the invisible pathway.
[02:42:02.200 --> 02:42:07.200]  It's like you have to know that that connection with God is available in order to make it.
[02:42:07.200 --> 02:42:09.200]  Grant final comment.
[02:42:09.200 --> 02:42:12.200]  Well I was going to share a little theory that I came up with in college.
[02:42:12.200 --> 02:42:20.200]  We were talking about numerical thinking and how children and primitive cultures you know originally they think of numbers as more exponential.
[02:42:20.200 --> 02:42:25.200]  So it's like one two three four ten and then it's just a lot after you get to like 20.
[02:42:25.200 --> 02:42:32.200]  With modern education we learn that you know the distance between one and two is the same as the distance between 99 and 100.
[02:42:32.200 --> 02:42:36.200]  So I kind of wrap that into this whole theory take a religion out of it.
[02:42:36.200 --> 02:42:39.200]  You've got dark versus light good versus evil.
[02:42:39.200 --> 02:42:41.200]  We all came from chaos.
[02:42:41.200 --> 02:42:49.200]  You had this time in the universe where where nothing was related no entities related then one thing became related then two things came related etc.
[02:42:49.200 --> 02:42:54.200]  So I kind of framed it as the quest and you're out of time.
[02:42:54.200 --> 02:42:55.200]  All right we go to break.
[02:42:55.200 --> 02:43:00.200]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[02:43:00.200 --> 02:43:03.200]  Alpha Power at 50% off.
[02:43:03.200 --> 02:43:09.200]  As you age your body can lose testosterone over time with the incredible ingredients in this formula.
[02:43:09.200 --> 02:43:15.200]  We can help you feed the test of time and assist in restoring that lost energy and move that comes with time and age.
[02:43:15.200 --> 02:43:24.200]  Alpha Power's incredible ingredients can help you boost your sport performance or enhance your day to day life with ease while encouraging hormonal balance.
[02:43:24.200 --> 02:43:29.200]  Perfect by itself or with super male vitality in the true alpha male pack.
[02:43:29.200 --> 02:43:36.200]  Alpha Power can help boost performance help maintain normal testosterone levels support healthy cholesterol and more.
[02:43:36.200 --> 02:43:40.200]  Let Alpha Power help bring you to the peak of your optimal health.
