[00:00.000 --> 00:10.940]  Yippee-aye, yippee-aye-o-o-o-o-o-o-o-o!
[2:36:45.960 --> 2:36:52.120]  what would it look like and i always try to make three main points about that one is that
[2:36:52.120 --> 2:36:56.280]  the grassroots right wing is the largest army in the world and i don't think that needs much
[2:36:56.280 --> 2:37:03.160]  explanation but it's you know we're the largest heavily armed army in the world and then second
[2:37:03.160 --> 2:37:07.960]  our enemies you were talking about the immovable force meeting the immovable object our enemies
[2:37:07.960 --> 2:37:13.960]  don't really have much of an enforcement arm that they can rely on all they have is is the paramilitary
[2:37:13.960 --> 2:37:19.720]  that comes from our ranks already correct and even our military votes two thirds voted two
[2:37:19.720 --> 2:37:24.280]  thirds for trump so if they're gonna send our military to try to fight against trump supporters
[2:37:24.280 --> 2:37:27.880]  who are trying to defend the second amendment or whatever sure but what i'm saying is we need
[2:37:27.880 --> 2:37:32.360]  decisive victory against the left now or they're gonna keep rotting society destroying it they are
[2:37:32.360 --> 2:37:37.560]  any globalist outlaw group wanting to overthrow the republic itself so that's not their free speech
[2:37:37.560 --> 2:37:43.160]  they are literally an armed psychological warfare camp absolutely but when it comes i mean you've
[2:37:43.160 --> 2:37:47.320]  heard the phrase and i'm sure your audience knows the phrase all power at the end of the day flows
[2:37:47.320 --> 2:37:54.360]  out of the end of uh malsay tom barrel of a gun exactly so they don't actually have when if it
[2:37:54.360 --> 2:37:58.920]  comes to a fight like that they don't actually have much because they're the follower idiots they
[2:37:58.920 --> 2:38:04.360]  don't even know their mucks being controlled by a psychotic establishment and they think it's a
[2:38:04.360 --> 2:38:09.480]  virtue to not have a gun as if they don't even trust themselves correct and now it's kind of funny
[2:38:09.480 --> 2:38:13.080]  to see all of a sudden many of them are like oh i need a gun because there could be riots and
[2:38:13.080 --> 2:38:16.520]  somebody might try to take my food and we're all sitting here like yeah we've been telling you that
[2:38:16.520 --> 2:38:21.640]  for a long time so does this virus help the nationalist patriot conservative christian movement
[2:38:21.640 --> 2:38:26.120]  or does it hurt it does it repudiate globalism does it teach people to be self-sufficient does it
[2:38:26.120 --> 2:38:31.640]  trigger a giant prepping movement i think it does but will it be enough that's exactly the question
[2:38:31.640 --> 2:38:36.680]  and you hit the nail on the head every actor in this you know that wants their pound of flesh
[2:38:36.680 --> 2:38:41.160]  from this crisis and wants to advance their cause through this crisis we need to do the same thing
[2:38:41.160 --> 2:38:45.480]  we need to be pounding home the message that mike adams was saying earlier which is you know what
[2:38:45.480 --> 2:38:50.360]  wheat grassroots right-wingers have been right about everything all along if we would have had
[2:38:50.360 --> 2:38:54.200]  strong borders if we would have been but look at us i mean i'm not bragging none of us are but
[2:38:54.200 --> 2:38:58.600]  i mean studies show conservatives they can be black white Hispanic better looking more successful
[2:38:58.600 --> 2:39:03.960]  uh absolutely it's true we're just regular humans i know how to skin a buck run a trot line beat
[2:39:03.960 --> 2:39:10.200]  somebody's ass change oil clean the house do the roof you know change diapers run businesses
[2:39:10.200 --> 2:39:15.480]  run psych operations against the clock but that's just a normal conservative man men 50 60 hundred
[2:39:15.480 --> 2:39:20.120]  years ago we're almost all like us if you didn't act like this people didn't respect you if you
[2:39:20.120 --> 2:39:27.080]  didn't know how to get stuff done you weren't a man absolutely and so there are very fundamental
[2:39:27.080 --> 2:39:31.080]  even biological differences between right-wingers and left-wingers you pointed out one of them even
[2:39:31.080 --> 2:39:35.640]  you know the chest size of the average leftist man versus versus the average right-wing man
[2:39:36.360 --> 2:39:41.000]  you know the right-wingers have bigger chests on average so there are big differences here and
[2:39:41.000 --> 2:39:44.920]  then the other thing that's a big difference that could come into play in a conflict scenario is
[2:39:44.920 --> 2:39:49.480]  that most leftists if you if you just google let's just say they're cowardly chicken-neck
[2:39:49.480 --> 2:39:57.160]  idiot schmucks being manipulated by criminal con men yes and you know the leftist leaders the men
[2:39:57.160 --> 2:40:04.520]  are all big giant six seven psychos and you're ruling over all their little slaves it's what they
[2:40:04.520 --> 2:40:11.080]  have the left has evil alphas running them yes and we and we have on the right wing tend to be more
[2:40:11.080 --> 2:40:16.600]  like more of us are natural alphas and uh have more testosterone more common sense etc but the
[2:40:16.600 --> 2:40:20.680]  other thing is the leftists are all crammed into a few big cities alex they're all if you look at
[2:40:20.680 --> 2:40:27.960]  a 3d map of the 2 6 2016 election results um you can tell that the great majority of leftists live
[2:40:27.960 --> 2:40:33.560]  in a few big cities and we're seeing the disadvantages of that now with the coronavirus thing for one
[2:40:33.560 --> 2:40:38.760]  but also the world's leading fourth generation warfare expert uh said recently the same thing
[2:40:38.760 --> 2:40:43.080]  i said in one of my videos which is that they're very susceptible susceptible to fourth generation
[2:40:43.080 --> 2:40:48.040]  warfare it's a big disadvantage in any kind of act now explain that to them explain that because
[2:40:48.040 --> 2:40:53.800]  i don't want to be mean to to chicken-neck leftist okay they are schmucks they are being led around
[2:40:53.800 --> 2:40:59.240]  by their nose and again not not the front people like Pelosi and you know all then they're just
[2:40:59.240 --> 2:41:04.200]  puppets but the real globalists running it are all super psycho alpha males so i want to explain
[2:41:04.200 --> 2:41:08.600]  to the left they want to get rid of alpha males they see that as the as the problem in the world
[2:41:08.600 --> 2:41:13.560]  what what they don't get is there is psychotic alpha males controlling them yes absolutely
[2:41:13.560 --> 2:41:17.160]  they're never going to get rid of alpha males that's just a false promise that they think they can
[2:41:17.160 --> 2:41:21.240]  do it's never going to happen yeah this super psychotic alpha males want to get rid of the
[2:41:21.240 --> 2:41:26.040]  other alpha males that are sheep dogs the wolves want to get rid of the sheep dogs that is the
[2:41:26.040 --> 2:41:30.360]  battle it is us the alpha males on the grassroots right wing versus the alpha males that are
[2:41:30.360 --> 2:41:34.680]  manipulating the left now it's also interesting we're seeing even on the left like the bernie
[2:41:34.680 --> 2:41:39.080]  sanders movement it's not a very intelligent movement but it is a resistance against the
[2:41:39.080 --> 2:41:43.560]  elite they themselves don't like the elite very much either and so we've got a ground
[2:41:43.560 --> 2:41:48.760]  well totally walking into their trap of collectivization exactly right exactly right so my
[2:41:48.760 --> 2:41:54.600]  simple look at a damn map you the globalists are going to move offshore if they took the
[2:41:54.600 --> 2:42:01.000]  united states absolutely and uh you know so the main point i'm trying to make in my videos and
[2:42:01.000 --> 2:42:06.440]  and on this subject is the grassroots right wing is actually in a good position as this crisis
[2:42:06.440 --> 2:42:11.320]  breaches more and more of a head because we have a lot of these advantages we've been talking about
[2:42:13.160 --> 2:42:17.000]  well i need to get you back i've seen your videos you're a really smart guy and you do lay out the
[2:42:17.000 --> 2:42:21.640]  science and again i want to explain the leftist to tune in they're all about fake victories and
[2:42:21.640 --> 2:42:26.040]  all their weird stuff they do they're like larkers it's all fantasy land what they do
[2:42:26.040 --> 2:42:30.280]  and they're fed fantasy land stuff i don't like seeing them because i know a lot of guys
[2:42:30.280 --> 2:42:33.640]  that aren't you know big physically they're still alpha males they care they're loving
[2:42:33.640 --> 2:42:37.080]  people they're strong i don't put people that are little down but it is true statistically that
[2:42:37.080 --> 2:42:40.760]  people that are more successful aggressive everything are conservative because they believe
[2:42:40.760 --> 2:42:46.280]  in themselves they believe in humanity the globalists are by design making people domesticated
[2:42:46.280 --> 2:42:51.080]  little serfs that are dependent on them it's called slavery and i don't like slavery
