[00:00.000 --> 00:13.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the
[02:38:50.000 --> 02:38:56.000]  We just learned yesterday about the... or his wife working for Fusion GPS.
[02:38:56.000 --> 02:39:01.000]  But that wasn't Mueller, though. What is Mueller... I'm not disagreeing with you.
[02:39:01.000 --> 02:39:05.000]  Well, actually, I do disagree with you, but I'm not saying you're inherently wrong.
[02:39:05.000 --> 02:39:12.000]  But what has Mueller actually produced, though? I mean, the OR thing, that wasn't produced by Mueller, was it?
[02:39:12.000 --> 02:39:18.000]  No, but what I'm saying is I think that's the Inspector General who's been running a parallel investigation.
[02:39:18.000 --> 02:39:24.000]  Here's the deal. I think Mueller was sat down with Trump. There was no possible way he could become the FBI director.
[02:39:24.000 --> 02:39:29.000]  It's against the law. I think he sat down with Trump and said, listen, you can be... you're mixed up in this.
[02:39:29.000 --> 02:39:36.000]  You can be the guy to bring back the respectability of the FBI and the DOJ, or you can go down as a criminal and a traitor to the country.
[02:39:36.000 --> 02:39:43.000]  Make your choice. And I think he chose this way. And I think the whole thing is to give credibility to the final information.
[02:39:43.000 --> 02:39:45.000]  We all know they haven't even talked about the...
[02:39:45.000 --> 02:39:51.000]  So I see what you're saying. OK, so not saying I agree with you, but you could be right.
[02:39:51.000 --> 02:39:56.000]  So Trump creates this scenario where they're so heavily invested in Mueller.
[02:39:56.000 --> 02:40:00.000]  They are the ones that have put all their eggs in Mueller's basket.
[02:40:00.000 --> 02:40:06.000]  And then the Trump base hates Mueller, can't stand Mueller. They think Mueller's out to get Trump.
[02:40:06.000 --> 02:40:15.000]  So then, when the moment of truth happens, you have this diametrically opposed reality that forces them to accept what Mueller's saying.
[02:40:15.000 --> 02:40:17.000]  And you think that's what Trump's doing.
[02:40:17.000 --> 02:40:21.000]  They can't deny it. Remember how they hated Sessions? And then Sessions recused himself.
[02:40:21.000 --> 02:40:26.000]  They're like, you better not fire Jeff Sessions. He's going to be hit to pay, boy.
[02:40:26.000 --> 02:40:29.000]  Well, that whole thing was a scam. I think Sessions is in on it.
[02:40:29.000 --> 02:40:37.000]  Honestly, I think this is some crazy thing because if you look, if you remember that testimony, it came out specifically.
[02:40:37.000 --> 02:40:44.000]  The congressman from Florida said, I asked the FBI, well, you do know you have all of Hillary Clinton's emails backed up on the cloud.
[02:40:44.000 --> 02:40:48.000]  Why did you hide this and you have the device?
[02:40:48.000 --> 02:40:51.000]  And Ray just said, I cannot refer to that.
[02:40:51.000 --> 02:40:53.000]  I think you're talking about Matt Gaetz.
[02:40:53.000 --> 02:40:59.000]  And yes, there have been other people that have been asked the same questions that have had to say the same things like,
[02:40:59.000 --> 02:41:04.000]  well, I can't talk about an ongoing investigation and it kind of hits you and you're like,
[02:41:04.000 --> 02:41:06.000]  oh, there's another investigation going on here.
[02:41:06.000 --> 02:41:11.000]  So I agree with you in the sense that I do think there's some stuff going on behind closed doors.
[02:41:11.000 --> 02:41:18.000]  I do think that Trump has some other pieces set up here where he plays the 60 wizard chess that we like to call it or whatever.
[02:41:18.000 --> 02:41:21.000]  I'm not totally sold on the Mueller thing yet.
[02:41:21.000 --> 02:41:26.000]  But let's just say the door's not locked on that.
[02:41:26.000 --> 02:41:29.000]  And I think that there could be some truth to that, but only time will tell.
[02:41:29.000 --> 02:41:31.000]  Eddie, thank you so much for the time. Great conversation.
[02:41:31.000 --> 02:41:35.000]  Let's go to Josh now. Also wants to talk about the Russian investigation.
[02:41:35.000 --> 02:41:37.000]  Go ahead, Josh.
[02:41:37.000 --> 02:41:43.000]  Hi, everyone. Thanks for taking my call. So yeah, that was a really interesting caller on that last one.
[02:41:43.000 --> 02:41:53.000]  But so we know for sure that the DOJ and the FBI through, you know, working in contact with Fusion GPS,
[02:41:53.000 --> 02:42:01.000]  that we're certainly corrupt, you know, and we've got Bruce Orr, we've got Peter Stroke, just clear swamp creatures.
[02:42:01.000 --> 02:42:11.000]  But now also we know that the judge who was providing over the Mike Flynn case had to recuse himself, judge Rudolph Contreras.
[02:42:11.000 --> 02:42:19.000]  And it turns out this judge who was providing over the Mike Flynn case is one of a few judges that sits on the FISA court.
[02:42:19.000 --> 02:42:28.000]  So it could very well be possible that the same judge who was presiding over the Mike Flynn case signed off on the FISA warrant.
[02:42:28.000 --> 02:42:34.000]  And that was probably authorized using the dossier gathered by...
[02:42:34.000 --> 02:42:40.000]  Right, right, right. And the other interesting ripple that goes back to the previous caller, Eddie,
[02:42:40.000 --> 02:42:46.000]  we've kind of made the connections with all the collusion to go after Trump with the fake Russian probe.
[02:42:46.000 --> 02:42:52.000]  And Mueller's not actually in that web. It's the Ores, it's the Obamas, it's the Clintons and the DNC.
[02:42:52.000 --> 02:42:54.000]  This is crazy.
[02:42:54.000 --> 02:42:59.000]  Support good oral health with our one of a kind super blue fluoride free products.
[02:42:59.000 --> 02:43:07.000]  InfoWarsLife brings you a revolutionary toothpaste blend with iodine and nano silver designed to deliver a powerful clean.
[02:43:07.000 --> 02:43:11.000]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[02:43:11.000 --> 02:43:17.000]  Pair this groundbreaking toothpaste with the super blue fluoride free mouthwash and supercharge your oral health.
[02:43:17.000 --> 02:43:24.000]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[02:43:24.000 --> 02:43:31.000]  Instead of containing fluoride, our super blue line is loaded with the good halogen iodine and an array of other beneficial compounds
[02:43:31.000 --> 02:43:34.000]  that have been hand selected for their oral health benefits.
[02:43:34.000 --> 02:43:41.000]  Super blue fluoride free mouthwash and toothpaste are the first and only to contain all of these natural ingredients.
[02:43:41.000 --> 02:43:48.000]  Xylitol, nano silver and iodine. Notice the difference with our super blue fluoride free products.
[02:43:48.000 --> 02:43:53.000]  Refresh your breath and invigorate your oral health routine at infowarsstore.com.
[02:43:53.000 --> 02:43:55.000]  That's infowarsstore.com.
[02:43:55.000 --> 02:43:59.000]  I'm so excited. The new product at infowarslife.com.
[02:43:59.000 --> 02:44:06.000]  In a glass bottle, two month servings filled to the brim, filled to the absolute top, the real red pill.
[02:44:06.000 --> 02:44:12.000]  This is a heart and brain pill, a new tropic that doesn't have any stimulants in it.
[02:44:12.000 --> 02:44:15.000]  But boy, does it stimulate because it's beyond that.
[02:44:15.000 --> 02:44:21.000]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients.
[02:44:21.000 --> 02:44:27.000]  But it wasn't prescription, but they were charging people a hundred, two hundred dollars for the formula.
[02:44:27.000 --> 02:44:31.000]  And I came up with our own formula working with scientists and developers.
[02:44:31.000 --> 02:44:36.000]  Non-GMO made right here in America, 120 capsules.
[02:44:36.000 --> 02:44:39.000]  And ladies and gentlemen, you add the preglinone to it.
[02:44:39.000 --> 02:44:45.000]  Which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[02:44:45.000 --> 02:44:48.000]  It is amazing.
[02:44:48.000 --> 02:44:56.000]  Red pill now available at infowarsstore.com and your purchase foxy operation.
[02:44:56.000 --> 02:45:02.000]  Maximize your potential and take your body back with super male vitality.
[02:45:02.000 --> 02:45:07.000]  We're breaking the conditioning and fighting back against the globalist's war on male vitality.
[02:45:07.000 --> 02:45:14.000]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world
[02:45:14.000 --> 02:45:17.000]  and then concentrated for maximum potency.
[02:45:17.000 --> 02:45:24.000]  Super male vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[02:45:24.000 --> 02:45:28.000]  InfoWarsLife wants to bring you the highest quality products.
[02:45:28.000 --> 02:45:37.000]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[02:45:37.000 --> 02:45:41.000]  Support your body and mind and take yourself to the next level.
[02:45:41.000 --> 02:45:45.000]  Boost your vitality and energize your life.
[02:45:45.000 --> 02:45:47.000]  Take control of your body.
[02:45:47.000 --> 02:45:52.000]  Grab a bottle of super male vitality today at infowarslife.com.
[02:45:52.000 --> 02:45:56.000]  That's infowarslife.com.
[02:45:56.000 --> 02:46:05.000]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself and a gift to the InfoWars to fight the globalist and live in a free society.
[02:46:05.000 --> 02:46:18.000]  Several years ago, I set out with top formulators in the U.S. to create the strongest, most concentrated, over-the-top stamina, libido, workout, brain formula that is safe.
[02:46:18.000 --> 02:46:29.000]  I know from using this myself the last few months and from seeing my friends and family use it that this new product is going to end up being the number one best-selling product at infowarslife.com because it works so well.
[02:46:29.000 --> 02:46:37.000]  This is a gift you want to give yourself and then rest assured you're fighting the InfoWars so it's a total absolute sure win, no lose equation.
[02:46:37.000 --> 02:46:42.000]  Try AlphaPower, exclusively available at infowarslife.com for yourself.
[02:46:42.000 --> 02:46:48.000]  Ladies and gentlemen, it's non-GMO, it's for your brain, it's for sports, it's for activities and it's made in the U.S.A.
[02:46:48.000 --> 02:46:51.000]  Get your AlphaPower today at infowarslife.com.
[02:46:51.000 --> 02:47:20.000]  Everybody needs to try AlphaPower today.
[02:47:20.000 --> 02:47:25.000]  Big Brother, mainstream media, government cover-ups.
[02:47:25.000 --> 02:47:28.000]  You want answers? Well, so does he.
[02:47:28.000 --> 02:47:34.000]  It's Alex Jones on the GCN radio network.
[02:47:34.000 --> 02:47:44.000]  It's the InfoWars Christmas Spectacular Extravaganza and it's a live 34-hour broadcast next Monday.
[02:47:44.000 --> 02:47:54.000]  And you know where to go to find that infowars.com slash show, but of course this week is Christmas week at infowarsstore.com.
[02:47:54.000 --> 02:48:02.000]  And what does that mean? Big savings, big specials and big sales for you at infowarsstore.com.
[02:48:02.000 --> 02:48:09.000]  Let's just take a look at some of these big discounts we have right now for Christmas week at infowarsstore.com.
[02:48:09.000 --> 02:48:19.000]  You've got Brainforce, 50% off, you've got Silver Bullet, 67% off, you've got Super Male Vitality, 50% off,
[02:48:19.000 --> 02:48:27.000]  you've got the entire line of super blue fluoride-free products, that's the toothpaste, that's the mouthwash, 50% off.
