[00:00:04.113 --> 00:00:06.354]  Alright, ladies and gentlemen.
[02:27:09.278 --> 02:27:12.000]  I'm not an expert like you, but as a layman, I can see it.
[02:27:12.000 --> 02:27:20.103]  How obviously coordinated is the guys on top saying, go in, go in, all the keys, Pelosi's son out there, the daughter.
[02:27:20.103 --> 02:27:21.384]  I mean, it's all coordinated.
[02:27:22.904 --> 02:27:42.439]  No, my hypothesis on a lot of this stuff is that the inner coordination was done by the Paul Irving and the Terry McCullough who happens to be the chief of staff for Nancy Pelosi and Paul Irving's the the sergeant-at-arms on the inside as well as her daughter Alexandria on the and on the outside you literally have other three others which are
[02:27:42.918 --> 02:27:56.901]  The Outer Breach Team Leader Ray Epps, the Inner Breach Team Leader John Sullivan, and then you also have in that milieu, probably the cutout to communicate between those two with the inside, which would have been Nancy Pelosi's son-in-law, Michael Voss.
[02:27:56.901 --> 02:28:02.342]  As it applies to smoke and things like that, I've seen footage of it.
[02:28:02.342 --> 02:28:09.284]  Last year, I bumped into somebody at TPAC Dallas, and they showed me on their phone, there was a guy on that scaffolding that literally had a
[02:28:10.314 --> 02:28:17.340]  Uh, a flare gun that shot up, and I haven't seen anybody other than this person, and unfortunately I wasn't able to get the person's name.
[02:28:17.340 --> 02:28:25.528]  I'm gonna try to follow up, but there was literally at least two instances where there was a signal made to the crowd or Reaptor or whoever.
[02:28:25.528 --> 02:28:34.355]  By the way, I don't know who was doing it, the police or who, but when I got there, right in the middle of it, I saw flares going up from, from the scaffolding when we first arrived.
[02:28:34.355 --> 02:28:36.117]  You were primarily on the east side.
[02:28:36.117 --> 02:28:37.158]  Oh, you were on the west, okay.
[02:28:38.410 --> 02:28:44.655]  Well, I first showed up, you know, where the presidential stage was being set up for the inauguration, and I thought, wow, that's weird.
[02:28:44.655 --> 02:28:46.416]  Tear gas is shooting straight up.
[02:28:46.416 --> 02:28:47.837]  This was also tear gas wafting.
[02:28:47.837 --> 02:28:50.239]  I got hit in the face with it from like 200 yards away.
[02:28:50.239 --> 02:28:54.882]  But I did see a red flare, and the guys I was with said, no, that's a police flare.
[02:28:54.882 --> 02:28:55.602]  We'll come right back.
[02:28:55.602 --> 02:28:55.983]  Stay with us.
[02:28:58.604 --> 02:29:10.550]  Right now, I'm not talking to the viewers and listeners that have gone to InfoWarsTore.com and gotten the great products that enrich your life, that empower your immune system and your body, and keep us on air.
[02:29:10.550 --> 02:29:14.893]  I am humbly, hand in hand, talking to the viewers and listeners that have tuned in
[02:29:15.473 --> 02:29:18.894]  Many of you, for years, have never gone to InfoWarshaw.com.
[02:29:18.894 --> 02:29:27.696]  We know the vast, vast, vast, vast majority of you never actually go to InfoWarshaw.com and never experience these great products and never fund the operation.
[02:29:27.696 --> 02:29:30.757]  Sure, you share a link, you share an article, you tell folks about the show.
[02:29:30.757 --> 02:29:32.118]  That's great, and I thank you.
[02:29:32.118 --> 02:29:33.638]  But we need funds to operate.
[02:29:33.638 --> 02:29:42.501]  Plus, we've got really great products that do amazing things for people, like our CBD oil, and our Fizzy Magnesium, and our Sleep Aid, and our Nitric Oxide, and our Real Red Pill Plus.
[02:29:42.501 --> 02:29:43.961]  All of these are really great products.
[02:29:44.121 --> 02:29:46.723]  They keep us on air, plus you're missing out on these products.
[02:29:46.723 --> 02:29:55.630]  So get off the bench, get in the game, step to the plate and go to InfoWarsTore.com right now and get these great InfoWars products at InfoWarsTore.com.
[02:29:57.975 --> 02:30:00.677]  There is a war for the future happening right now.
[02:30:00.677 --> 02:30:05.561]  There is a war that will control my destiny, your destiny, our children's destinies.
[02:30:05.561 --> 02:30:10.866]  And that war is something that we can win, but it takes dedication, it takes commitment.
[02:30:10.866 --> 02:30:20.894]  That's why I ask listeners, respectfully, to go to mflowmorestore.com and buy great products that will enrich and empower your life while keeping us on air at the very same time.
[02:30:21.594 --> 02:30:27.837]  Infowarstore.com to get a signed or unsigned copy of my book, The Great Reset and War for the World.
[02:30:27.837 --> 02:30:29.758]  Ultimate Bone Broth, back in stock.
[02:30:29.758 --> 02:30:36.861]  Nitric Boost, the amazing CBD oil we have that's the highest quality you're going to find anywhere at more than half off.
[02:30:37.481 --> 02:30:39.662]  It's all available at InfoWarsTore.com.
[02:30:39.662 --> 02:30:41.503]  Some of the very best products.
[02:30:41.503 --> 02:30:43.645]  And a lot of you have never shopped at InfoWarsTore.
[02:30:43.645 --> 02:30:48.968]  You've been watching for years, you've been listening for years, but you've never taken the step to go to InfoWarsTore.
[02:30:48.968 --> 02:30:51.830]  These are great products that really work and are amazing.
[02:30:51.830 --> 02:30:53.210]  Plus, they keep us on air.
[02:30:53.210 --> 02:30:54.711]  So again, please take action.
[02:30:54.711 --> 02:30:57.513]  Go to InfoWarsTore.com today, and I thank you.
[02:30:57.893 --> 02:31:06.356]  Ladies and gentlemen, InfoWars has proven itself in the last 28 years to be over the globalist target and having the biggest effect out there against those tyrants.
[02:31:06.356 --> 02:31:11.798]  And we fund our operation with viewers and listeners' support while selling you great products at the same time.
[02:31:11.798 --> 02:31:16.160]  So I want to thank all the viewers and listeners who have supported us over the years by spreading the word.
[02:31:16.800 --> 02:31:18.921]  I'm praying for the broadcast and I'm buying product.
[02:31:18.921 --> 02:31:35.990]  But I really want to encourage those of you that have been on the fence, that have never actually gone to Infowarshore.com to go there and get the great books and films and supplements and survival gear that's there that won't just empower you and enrich your life, but again will keep this broadcast transmitting.
[02:31:35.990 --> 02:31:39.812]  So whether it's Real Red Pill Plus or our super high quality CBD oil for the 50% off
[02:31:40.752 --> 02:31:46.934]  Or a great Fizzy Magnesium product, or whether it's Jotting Out or Red Sleep Bae that's back in stock, it's all there.
[02:31:46.934 --> 02:31:50.495]  Our Turmeric 95% Cuminoid, strongest out there, Turmeric 95.
[02:31:50.495 --> 02:31:54.037]  It's all available at InfoWareStore.com and it keeps us on the air.
[02:31:54.037 --> 02:31:57.678]  So make the decision to enrich your life and keep us on air, InfoWareStore.com.
[02:31:59.113 --> 02:32:02.236]  I talk a lot about the great successes InfoWars has had.
[02:32:02.236 --> 02:32:04.557]  I don't think anybody can deny it.
[02:32:04.557 --> 02:32:08.480]  And it is because of listeners and viewers supporting us.
[02:32:08.480 --> 02:32:16.587]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[02:32:16.587 --> 02:32:25.214]  And when you look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week, it's really just incredible.
[02:32:26.218 --> 02:32:29.101]  So for myself and the whole InfoWars crew, I thank you for your past support.
[02:32:29.101 --> 02:32:35.668]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[02:32:35.668 --> 02:32:38.692]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it.
[02:32:38.692 --> 02:32:46.941]  But most viewers and listeners, never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, while at the same time keeping us on air.
[02:32:47.661 --> 02:32:51.923]  I know that less than 1% of our listeners actually go buy products at M4store.com.
[02:32:51.923 --> 02:32:56.865]  If just 1% more of you took action and went to M4store.com, our funding problems will be over.
[02:32:56.865 --> 02:32:59.546]  Please take action now.
[02:32:59.546 --> 02:33:05.448]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:33:14.552 --> 02:33:20.735]  From the front lines of the information war, it's Alex Jones.
[02:33:20.735 --> 02:33:35.722]  All right, both these gentlemen will be back with me for a full hour, probably longer tomorrow, to play a bunch of the clips from the seven plus thousand hours that our guests, much of it through lawyers that come from inside the Capitol that Gary McBride has put together from M5Newsgate.com and Ivan Reikland.
[02:33:35.722 --> 02:33:40.564]  But we'll get back into what happened on January 6th, but let's pull back big picture.
[02:33:40.564 --> 02:33:41.745]  Ivan, I want to ask Gary this.
[02:33:43.473 --> 02:33:50.237]  I cannot quantify in my 20, almost 29 years on air, every 29 years, a couple months, how big this is.
[02:33:50.237 --> 02:33:57.381]  You have the head of the CDC coming out and saying they lied, that it was going to function, total fraud, it's criminal, in front of Congress.
[02:33:57.381 --> 02:34:04.545]  You have it all coming out that the deep state took over the media and coordinated total surveillance and censorship, including members of Congress.
[02:34:04.545 --> 02:34:07.647]  This makes Richard Nixon look like Jesus compared to these people.
[02:34:07.647 --> 02:34:08.588]  We have that going on.
[02:34:09.588 --> 02:34:14.170]  We have all the January 6th coming out and them trying to stop it.
[02:34:14.170 --> 02:34:19.552]  You've got polls where 90 plus percent of Americans was 80 a week ago, want to see all the footage.
[02:34:19.552 --> 02:34:22.192]  I mean, I don't want to sit here and be over-optimistic.
[02:34:22.192 --> 02:34:24.833]  I'm a realist.
[02:34:24.833 --> 02:34:30.535]  But right now, the New World Order is decloaked, having the living snot beat out of it.
[02:34:30.535 --> 02:34:33.717]  I mean, this is ridiculous.
[02:34:33.717 --> 02:34:36.537]  Now maybe they're so delusional they don't know, but they've lost the narrative.
[02:34:36.537 --> 02:34:37.638]  And I use this as a public figure.
[02:34:39.744 --> 02:34:45.286]  Ten years ago I'd walk down the street and walk by a hundred people, two people would shake my hand, we're listers.
[02:34:45.286 --> 02:34:49.888]  And then, you know, eight years ago it was like twenty people were listers.
[02:34:49.888 --> 02:34:57.010]  And then Trump runs and, you know, I walk down the street and I shake thirty hands and one person says, I'm going to kill you, you're a Russian agent.
[02:34:57.010 --> 02:35:04.933]  I go all over the country now, I get nothing but love everywhere, no more attacks, people apologizing everywhere, and that's just a gauge of the awakening, Ivan.
[02:35:05.673 --> 02:35:08.054]  What do you make of this moment we're in right now?
[02:35:08.054 --> 02:35:14.417]  I don't think the public realizes how bad the globalists are doing right now, in my view.
[02:35:14.417 --> 02:35:15.438]  Are you optimistic?
[02:35:15.438 --> 02:35:20.160]  Because I respect your view as a lawyer and Green Beret and Defense Intelligence Agency analyst.
[02:35:20.160 --> 02:35:25.343]  How would you describe the war front or the warscape right now?
[02:35:27.222 --> 02:35:29.103]  No, I mean, I'd equate it to this.
[02:35:29.103 --> 02:35:34.807]  We've not only ripped off the band-aid, we've ripped off literally the entire skin for the entire operation.
[02:35:34.807 --> 02:35:50.358]  And it all goes back to 20... I'd say it goes back to 2014 and, well, 2016, when the Uniparty went ahead and foisted Mike Pence onto Donald Trump so that they had at least some semblance of a handler for President Trump's first term.
[02:35:50.778 --> 02:36:00.143]  And then since then, they've been trying to cover up that operation, meaning the spying on Trump, with escalatory attempts of a coup, or at least to box him in.
[02:36:00.143 --> 02:36:14.710]  And then, I'd say, you know, the Mueller investigation, the Ukraine call, the so on and so forth, and then it essentially continued on with the Wuhan Institute of Virology lab incident, as they call it.
