[00:00:00.029 --> 00:00:00.271]  What's up?
[02:10:25.419 --> 02:10:46.975]  Because, number one, you gotta understand, Joe Kennedy and what's happening now with the Epsteins, the Bronfmans and the Maxwells, were all part of the Jewish-Italian-Irish gang that came out of the Bronfmans making alcohol in Canada, transporting it through Joe Kennedy's trucks into Cleveland with Luciano.
[02:10:47.555 --> 02:10:53.838]  And and in Meyer Lansky, we're then distributing it out to all of the distribution channels.
[02:10:53.838 --> 02:10:58.619]  And basically that type of coalition has been there for years.
[02:10:58.619 --> 02:11:02.421]  That's why you had the Maxwell's involved in the Epstein case.
[02:11:02.421 --> 02:11:05.102]  You have the Bronfman's involved in the Epstein case.
[02:11:05.482 --> 02:11:10.887]  It was an antiquated system that was reignited by the CIA and the Mossad.
[02:11:10.887 --> 02:11:12.409]  Those days are gone.
[02:11:12.409 --> 02:11:19.155]  That's finished because the CIA and our intelligence systems really isn't all that good anymore.
[02:11:19.155 --> 02:11:23.699]  Gina Haskell has never been held accountable for torturing people.
[02:11:23.699 --> 02:11:27.983]  In other words, we have a system that really holds nobody accountable for anything.
[02:11:28.403 --> 02:11:30.965]  Gina Haskell has not been accountable for this.
[02:11:30.965 --> 02:11:32.666]  Epstein was not accountable.
[02:11:32.666 --> 02:11:35.468]  The people who ran Epstein is not accountable.
[02:11:35.468 --> 02:11:43.634]  The presidents who ran 9-11 and did false flags into Iraq and Afghanistan, Cheney, Bush Jr., Obama.
[02:11:46.776 --> 02:11:56.104]  It's obviously being used as a set piece to try to blackmail in different power structures, but it is a big detonator that could blow them up because it obviously feeds into a whole bunch of different networks and groups.
[02:11:56.104 --> 02:11:57.826]  What are you expecting to happen with that?
[02:11:57.826 --> 02:11:58.766]  Where do you think that's going?
[02:11:58.766 --> 02:12:01.389]  And what would you advise Trump to do?
[02:12:01.389 --> 02:12:04.231]  What I would advise Trump to do is fire half of the people.
[02:12:04.231 --> 02:12:09.355]  I've never seen so many people in the White House, particularly 2,000 people on the NSC.
[02:12:09.355 --> 02:12:10.276]  That is absurd.
[02:12:10.276 --> 02:12:12.138]  I would start, you know,
[02:12:12.859 --> 02:12:19.064]  Getting rid of all of these people in the White House, decrease it from about thousands to a couple of hundred.
[02:12:19.064 --> 02:12:25.650]  The way James Baker ran it, the way it was run under the Shultz administration, a very tight administration.
[02:12:25.650 --> 02:12:27.451]  The Epstein's of the world are finished.
[02:12:27.451 --> 02:12:31.334]  There's no accountability and they're not going to go back to an accountability.
[02:12:31.334 --> 02:12:37.920]  Because if they start that accountability, a lot of people would be in prison and they can't do it and nor do they have the guts to do it.
[02:12:38.560 --> 02:12:47.404]  And Barr is going to be one of those people who would have to be held accountable for this nonsense to say, oh, yeah, well, we had a prison guards, but they were asleep.
[02:12:47.404 --> 02:12:48.364]  That's nonsense.
[02:12:48.364 --> 02:12:54.227]  So what we have right now is we have to keep going on and say, all right, where are we going from here?
[02:12:54.227 --> 02:12:56.808]  Well, Brexit, I got to give credit to Boris Johnson.
[02:12:57.308 --> 02:13:00.549]  He really came to a point that I didn't think was possible.
[02:13:00.549 --> 02:13:09.653]  And the reason Brexit occurred, and I could predict it, was that France was trying to neutralize Germany in the 1950s, and they created the EU.
[02:13:09.653 --> 02:13:21.577]  The fact is that Germany was in two world wars, had really defeated France in two world wars, and once again in the 2020s, Germany is defeating France as an economic power.
[02:13:22.077 --> 02:13:35.643]  So, France can never be a major economic force, and that's why a guy like Macron, who's the, you know, son or the offshoot of the Rothschild, and really is an effectual, he's an effete leader, he's not going to lead anything.
[02:13:35.643 --> 02:13:46.168]  Whereas Angela Merkel, a PhD in nuclear physics, can run Germany because Germany is a very tough country.
[02:13:46.168 --> 02:13:51.250]  It doesn't matter where they are and what they're going to do, they're going to be the primary force in the EU.
[02:13:51.710 --> 02:13:53.391]  But England will break away.
[02:13:53.391 --> 02:13:56.232]  Boris Johnson has been more effective than anybody else.
[02:13:56.232 --> 02:13:58.652]  He'll make an alliance with Trump.
[02:13:58.652 --> 02:14:04.374]  Trump in turn will bring him into the Canadian and Mexican agreement.
[02:14:04.374 --> 02:14:08.575]  And then he will bring him into the China agreement where everybody said he couldn't do it.
[02:14:08.575 --> 02:14:10.216]  We're going to have an agreement with China.
[02:14:10.356 --> 02:14:10.436]  Yes.
[02:14:29.649 --> 02:14:30.689]  We're good to go.
[02:14:54.978 --> 02:15:09.283]  In detail, I had to bring back criminals to put them into a peace treaty along with Claude Martin from France, the Russians who are very helpful, and other countries that were helpful in putting together Cambodia.
[02:15:09.283 --> 02:15:10.803]  Now, where is it?
[02:15:10.803 --> 02:15:19.206]  37 years later, the Chinese came back and building airfields for their military jets, for their warships, and we're losing that.
[02:15:19.206 --> 02:15:22.507]  So we need a more sophisticated Secretary of State.
[02:15:25.528 --> 02:15:29.090]  He's supposedly smart, but I haven't seen it.
[02:15:29.090 --> 02:15:35.012]  He tends to go into every field, he tends to have a short attention span in these fields, and then he leaves.
[02:15:35.012 --> 02:15:36.793]  He's not a strategist, although he is number one.
[02:15:36.793 --> 02:15:37.453]  All right, stay there.
[02:15:37.453 --> 02:15:39.094]  I want to get into this whole list of things.
[02:15:39.094 --> 02:15:45.116]  I want to get into your book, and I want to get into more of how you see the election and the impeachment and coup unfolding.
[02:15:45.116 --> 02:15:46.517]  We'll be right back.
[02:15:46.517 --> 02:15:51.198]  I'm Alex Jones, under Stephen Chinnix, our guest, InfoWars.com, tomorrow's news today.
[02:15:54.077 --> 02:15:55.338]  Maybe not today.
[02:15:55.338 --> 02:15:56.619]  Maybe not tomorrow.
[02:15:56.619 --> 02:16:00.361]  But soon, you'll need a plan and place to survive.
[02:16:00.361 --> 02:16:01.442]  Forget bunkers.
[02:16:01.442 --> 02:16:03.283]  You're not a live underground gopher.
[02:16:03.283 --> 02:16:04.984]  You need Survivalist Camps.
[02:16:04.984 --> 02:16:12.789]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[02:16:12.789 --> 02:16:13.790]  Bold statement?
[02:16:13.790 --> 02:16:14.790]  You bet.
[02:16:14.790 --> 02:16:17.272]  See them now at survivalistcamps.com.
[02:16:17.272 --> 02:16:19.473]  That's survivalistcamps.com.
[02:16:19.473 --> 02:16:22.635]  Trust your family's survival to survivalistcamps.com.
[02:16:23.726 --> 02:16:26.328]  Hunters, anglers, campers and survivalists.
[02:16:26.328 --> 02:16:27.389]  Get back to nature.
[02:16:27.389 --> 02:16:34.575]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[02:16:34.575 --> 02:16:37.918]  Slingbow products are compact and models start from just $17.98.
[02:16:37.918 --> 02:16:41.421]  They're perfect for your bug out bag or storing in your vehicle.
[02:16:41.421 --> 02:16:45.505]  Give yourself and your loved ones the excitement and tradition of slingbow.
[02:16:45.505 --> 02:16:49.988]  A new frontier in archery and truly modern twist on this primitive survival tool.
[02:16:49.988 --> 02:16:52.631]  Feel the thrill only at slingbow.com.
[02:16:53.570 --> 02:16:59.315]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[02:16:59.315 --> 02:17:04.419]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[02:17:04.419 --> 02:17:12.145]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[02:17:12.145 --> 02:17:20.011]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[02:17:20.171 --> 02:17:21.972]  Not a security IPO or note.
[02:17:21.972 --> 02:17:31.498]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[02:17:31.498 --> 02:17:32.339]  Don't miss this one.
[02:17:32.339 --> 02:17:33.640]  Stake your claim today.
[02:17:33.640 --> 02:17:33.920]  Call 800-600-3388.
[02:17:33.920 --> 02:17:34.240]  That's 800-600-3388.
[02:17:34.240 --> 02:17:36.341]  These valuable lease contracts won't last long.
[02:17:36.341 --> 02:17:36.561]  Call now.
[02:17:36.561 --> 02:17:36.621]  800-600-3388.
[02:17:36.621 --> 02:17:36.661]  800-600-3388.
[02:17:47.248 --> 02:17:50.369]  I'm here to give the listeners and viewers a project report in the next 60 seconds.
[02:17:50.369 --> 02:17:51.150]  And here's the bottom line.
[02:17:51.150 --> 02:17:51.990]  I'm not playing around.
[02:17:51.990 --> 02:17:55.051]  I'm not screwing around.
[02:17:55.051 --> 02:17:56.372]  I'm not joking and neither are you.
[02:18:07.532 --> 02:18:22.858]  InfoWars and this operation we built together has delivered for America, has delivered for our children and the unborn, has delivered in the face of toxic fluoride and the GMOs and the deadly vaccine depopulation operation.
[02:18:22.858 --> 02:18:25.679]  What we're doing is beyond critical.
[02:18:25.679 --> 02:18:26.879]  And you hear the key word?
[02:18:26.879 --> 02:18:32.181]  What we are doing is beyond critical.
[02:18:32.181 --> 02:18:33.962]  So, this is the time.
[02:18:34.522 --> 02:18:46.247]  With the biggest sales ever during Christmas at InfoWarsTore.com, to get in there and buy these products you already need, that I need the funding for to get this operation to the next level.
[02:18:46.247 --> 02:18:47.788]  I need the money.
[02:18:47.788 --> 02:18:50.009]  I need to be able to fight the globalists.
[02:18:50.009 --> 02:18:51.130]  I need you.
[02:18:51.130 --> 02:18:52.310]  You need these products.
[02:18:52.310 --> 02:18:53.531]  Get them at InfoWarsTore.com.
[02:18:55.532 --> 02:18:58.799]  So what's the most important part, let's say, in a bulldozer running over the Globalist?
[02:18:58.799 --> 02:19:02.267]  The treads, the wheels, the engine, the scoop on the front.
[02:19:02.267 --> 02:19:05.013]  It's all very important, but the fuel is paramount.
[02:19:05.013 --> 02:19:05.915]  And that's my allegory.
[02:19:06.969 --> 02:19:18.011]  TurboForce is vitamins, minerals, amino acids that synergistically work with six different natural forms of healthy, clean energy that last for 10 hours in the average metabolic system metabolism of a human.
[02:19:18.011 --> 02:19:20.331]  Some people get 15 hours out of it, some people get about 8 hours.
[02:19:20.331 --> 02:19:26.072]  But people take this, people are taking it in sports, people cannot believe it's the best they've ever had because it's not high.
[02:19:26.072 --> 02:19:32.294]  Nobody puts as much product into their pre-workouts, their post-workouts, you can call us whatever you want.
[02:19:32.294 --> 02:19:33.714]  It's a total solution.
[02:19:33.714 --> 02:19:34.894]  All around the best you're going to find.
[02:19:35.014 --> 02:19:36.014]  Turbo Force!
[02:19:36.014 --> 02:19:38.275]  Without you, we don't roll.
[02:19:38.275 --> 02:19:39.975]  With you, we surge forward together.
[02:19:39.975 --> 02:19:42.016]  It's like the bulldozer without the diesel fuel.
[02:19:42.016 --> 02:19:44.637]  If we don't have your financial support, we will be defeated.
[02:19:44.637 --> 02:19:47.677]  You support us and get products you already need that literally fuel your body and your mind?
[02:19:47.677 --> 02:19:48.678]  It's a win-win.
[02:19:48.678 --> 02:19:49.198]  360 together.
[02:19:49.198 --> 02:19:50.258]  Infowarsstore.com or 888-253-3139.
[02:19:50.258 --> 02:19:51.558]  You're listening to the Alex Jones Show.
[02:20:05.854 --> 02:20:06.475]  You've got it.
[02:20:06.475 --> 02:20:13.023]  This transmission is coming to you.
[02:20:13.023 --> 02:20:17.368]  Waging war on corruption.
[02:20:17.368 --> 02:20:23.034]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[02:20:37.421 --> 02:20:39.762]  All right, I've got a lot of questions for our guest.
[02:20:39.762 --> 02:20:45.345]  And in the last segment of this hour, I'm going to open the phones up for like five, six people just to ask a quick question.
