[00:00:03.114 --> 00:00:07.156]  Ladies and gentlemen.
[02:34:27.170 --> 02:34:28.791]  It's all how media lies to people.
[02:34:28.791 --> 02:34:29.372]  Here's an example.
[02:34:30.236 --> 02:34:37.458]  Day before Thanksgiving, we get the raw video of Congressman Joe Burton to a girlfriend, naked.
[02:34:37.458 --> 02:34:46.841]  I said I thought it was probably revenge porn, and that it was wrong for whoever put it out, unless that he was actually going after somebody that didn't want to be sent that.
[02:34:46.841 --> 02:34:49.202]  That's his personal stuff.
[02:34:49.202 --> 02:34:50.982]  I showed that we had the video.
[02:34:50.982 --> 02:34:53.223]  I didn't show the video.
[02:34:53.223 --> 02:34:55.544]  Made it clear I thought it was wrong.
[02:34:55.544 --> 02:34:58.825]  The neocon media picked it up and said that I
[02:34:59.904 --> 02:35:04.567]  did revenge porn and that somehow we had the footage and we got it from the congressman.
[02:35:04.567 --> 02:35:14.453]  Knowing that we didn't show the video, they can then just lie and say that we had.
[02:35:14.453 --> 02:35:17.174]  It's just next level deception.
[02:35:17.174 --> 02:35:21.437]  That's what we're dealing with here, ladies and gentlemen.
[02:35:21.437 --> 02:35:24.719]  And it just goes on and on and on and on where
[02:35:25.785 --> 02:35:30.168]  I think it's bad judgment sitting there doing that into some webcam of some woman you barely know.
[02:35:30.168 --> 02:35:32.049]  The point is, the big issue is who released it.
[02:35:32.049 --> 02:35:34.350]  It was already on the internet in still images.
[02:35:34.350 --> 02:35:36.231]  We're pointing out it was a video.
[02:35:36.231 --> 02:35:40.754]  And it was revenge porn unless she could prove that it was unwanted advances.
[02:35:40.754 --> 02:35:50.300]  But how is what he did equated with Bill Clinton on the Lolita Express with known pedophiles transporting children with Secret Service saying Bill Clinton was involved?
[02:35:50.300 --> 02:35:51.821]  Imagine my shock!
[02:35:51.821 --> 02:35:53.022]  Okay, let's go to your calls right now.
[02:35:54.881 --> 02:35:58.424]  I said I was going to Brian next, so he hung up, okay?
[02:35:58.424 --> 02:36:06.530]  CA in Morocco, Nicholas in Texas, Colt in Kansas, Peter in New York, John in Cali.
[02:36:06.530 --> 02:36:11.894]  Let's go ahead and go to CA in Morocco, out there in the Mediterranean.
[02:36:11.894 --> 02:36:12.254]  Go ahead.
[02:36:12.254 --> 02:36:13.855]  How are you doing, Alex?
[02:36:13.855 --> 02:36:17.718]  It's actually Zach reporting from Morocco right now.
[02:36:17.718 --> 02:36:20.180]  Okay, you didn't tell him it was Zach, it just says CA.
[02:36:20.987 --> 02:36:21.868]  Yeah, I did say Zach.
[02:36:21.868 --> 02:36:22.990]  Maybe the phone broke up there.
[02:36:22.990 --> 02:36:23.450]  I'm overseas.
[02:36:23.450 --> 02:36:24.492]  Let's start over!
[02:36:24.492 --> 02:36:26.094]  Intergalactically, I'm gonna put you on hold.
[02:36:27.363 --> 02:36:31.867]  We're gonna start over, we're gonna put Zach up there from Morocco, and I'm gonna start over.
[02:36:31.867 --> 02:36:37.191]  Just because I didn't used to be OCD, but I'm getting really OCD about little things.
[02:36:37.191 --> 02:36:40.934]  And then if I can just have them that way, everything's gonna be okay.
[02:36:40.934 --> 02:36:42.035]  So let's start over.
[02:36:42.035 --> 02:36:43.596]  Let's go to your phone calls.
[02:36:43.596 --> 02:36:46.458]  Zach in Morocco, you're on the air.
[02:36:46.458 --> 02:36:49.401]  We haven't heard from you in a while, Zach.
[02:36:49.401 --> 02:36:52.183]  You got hauled in last time you called in.
[02:36:53.223 --> 02:36:54.344]  That's correct.
[02:36:54.344 --> 02:37:04.590]  And well, actually reporting from Iraq now for several reasons, one of which happens to be some of the major updates that I'm going to sort of release right now, right here.
[02:37:04.590 --> 02:37:07.352]  So we warned of Yemeni terror attacks.
[02:37:08.084 --> 02:37:11.285]  Obviously, that was foiled and stopped, thankfully.
[02:37:11.285 --> 02:37:15.305]  But what I can verify, and your team could pull up, it's public news now.
[02:37:15.305 --> 02:37:23.767]  As of yesterday, we have 10 high-profile Yemeni al-Qaeda ISIS targets neutralized by a drone strike authorized by the White House.
[02:37:23.767 --> 02:37:26.408]  That could be pulled up, and that occurred yesterday.
[02:37:26.408 --> 02:37:32.229]  We also have the Islamic Military Counterterrorism Coalition, the IMCTC, meeting
[02:37:38.954 --> 02:37:40.814]  I don't know how you guys did it.
[02:37:40.814 --> 02:37:42.935]  I don't know how we did it.
[02:37:42.935 --> 02:37:46.336]  We got this out here and this is happening.
[02:37:46.336 --> 02:37:47.696]  This is breaking yesterday.
[02:37:47.696 --> 02:37:48.716]  Okay, for folks that don't know.
[02:38:00.479 --> 02:38:01.720]  I know folks that know who you are.
[02:38:01.720 --> 02:38:02.461]  You've told us who you are.
[02:38:02.461 --> 02:38:03.022]  We've checked it.
[02:38:03.022 --> 02:38:04.383]  You are who you say you are.
[02:38:04.383 --> 02:38:06.605]  Used to be in the military and intelligence operations.
[02:38:06.605 --> 02:38:08.547]  Now you're out with a security clearance.
[02:38:08.547 --> 02:38:09.708]  You're not giving us anything secret.
[02:38:09.708 --> 02:38:13.632]  You're talking about stuff that's human intelligence, that's public, that's public domain right now.
[02:38:13.632 --> 02:38:17.416]  But you did get hauled in a few weeks ago when you called in the last time.
[02:38:17.416 --> 02:38:18.077]  How did that go?
[02:38:18.077 --> 02:38:19.919]  And now how are you able to call back in?
[02:38:20.865 --> 02:38:31.293]  It's essentially an intimidation tactic, basically making me aware of, legally, the ramifications of my actions, which is always used as an intimidation tactic.
[02:38:31.293 --> 02:38:46.404]  However, I'm not going to be intimidated, and quite frankly, I did go overseas for certain safety reasons, but I feel quite safe overseas in the meantime, where I do have family and certain connections and sources, obviously, while the FBI gets their house in order, which is currently occurring.
[02:38:46.404 --> 02:38:48.205]  But again, the two main points... Okay, so let's be clear.
[02:38:48.205 --> 02:38:49.847]  You're calling in from Morocco.
[02:38:51.696 --> 02:38:54.698]  And you've left the United States so you can call into this show.
[02:38:54.698 --> 02:38:56.219]  I did see the drone strike news.
[02:38:56.219 --> 02:38:59.581]  I know that Trump's getting the Saudis to stop playing their double game.
[02:38:59.581 --> 02:39:02.463]  And you're saying from your personal experience as a U.S.
[02:39:02.463 --> 02:39:05.665]  citizen, you think this is actually working?
[02:39:05.665 --> 02:39:07.886]  It's definitely working.
[02:39:07.886 --> 02:39:09.347]  People have been calling for years.
[02:39:09.347 --> 02:39:10.748]  Where's the reparation of Islam?
[02:39:10.748 --> 02:39:12.829]  Where have the Islamic countries come together?
[02:39:12.829 --> 02:39:14.330]  You have it right here.
[02:39:14.330 --> 02:39:15.310]  You have the meeting on Sunday.
[02:39:16.792 --> 02:39:21.933]  You had the meeting of the Islamic Military Counter-Terrorism Coalition, essentially the heir of NATO.
[02:39:21.933 --> 02:39:30.236]  They are turning on these forces, double-crossing all these deep state actors, and it's not like the Arab countries don't want to see the reformation.
[02:39:30.236 --> 02:39:35.937]  It's not like they're not sick and tired of this crap, and if it wasn't for Donald Trump and the administration that's in there, this would not have happened.
[02:39:35.937 --> 02:39:40.499]  I don't want to say who you are, but you're actually pretty famous, and of course, you
[02:39:42.499 --> 02:39:50.504]  A Muslim, at least one of your parents has been Muslim, and so you're a well-known, respected person, but you don't want who you are to be known at this point.
[02:39:50.504 --> 02:39:51.825]  That's why they picked you up.
[02:39:51.825 --> 02:40:06.533]  You're saying as a citizen who's had to leave the country, so you're able to even call into the show, you're just pointing out that we are actually rolling up the deep state backing of Al-Qaeda and ISIS and Wahhabis and the rest of it?
[02:40:06.533 --> 02:40:07.314]  Physically every day.
[02:40:08.010 --> 02:40:11.392]  I mean, the drone strikes that went on over the weekend were critical.
[02:40:11.392 --> 02:40:16.514]  I mean, very critical in the civil war that's unfolding overseas.
[02:40:16.514 --> 02:40:27.198]  I can't emphasize the importance of the meeting of these 49 Islamic countries that do not include Syria, Iraq, and Libya currently, which for obvious reasons.
[02:40:28.882 --> 02:40:30.263]  Because who's running it now?
[02:40:30.263 --> 02:40:43.595]  And what we do also see is a humanitarian okey-doke, a flanking from, I don't know, the left, the deep state in America, coming up with this sort of humanitarian crisis, saying, look what's going on with the Yemeni civilians.
[02:40:43.595 --> 02:40:45.116]  Hey, that's not our problem.
[02:40:45.116 --> 02:40:50.200]  That's a result of the leftist Obama-Bush-Cheney-Clinton machine.
[02:40:50.200 --> 02:40:51.281]  Now it's being rolled back.
[02:40:51.281 --> 02:40:52.402]  We have to be legitimate.
[02:40:53.283 --> 02:40:54.224]  None of this is secret.
[02:40:54.224 --> 02:41:05.911]  It started about seven years ago and then going through Benghazi, they funded Arab Springs to put radical elements into destabilized moderate regimes and to overthrow secular regimes and bring in a destabilization.
[02:41:05.911 --> 02:41:09.634]  And Trump is cutting that off, making straight deals with everybody.
[02:41:09.634 --> 02:41:10.294]  We'll do trade.
[02:41:10.294 --> 02:41:11.315]  We'll do investment.
[02:41:11.315 --> 02:41:12.076]  We'll work with you.
[02:41:12.076 --> 02:41:16.639]  But all the double games are over because it's been directed by us is what is basically happening.
[02:41:16.639 --> 02:41:23.183]  And so that whole program that's been going on since the end of World War II, you're saying Trump's successfully pulling up those roots.
[02:41:23.883 --> 02:41:26.464]  Without question, and I mean, it's time-stamped.
[02:41:26.464 --> 02:41:30.405]  27 November, Saudi-led Arab NATO declares total war on terrorism.
[02:41:30.405 --> 02:41:33.326]  Iran, Iraq, and Syria not invited.
[02:41:33.326 --> 02:41:41.788]  This is due to the fact that Donald Trump is in power and they have the backing and they're not worried about being double-crossed and run over by what's been going on this country generationally for quite some time.
[02:41:42.773 --> 02:41:47.480]  Well, without getting into stuff that's already gotten you picked up twice, which you didn't give anything out secret, what you're talking about is all news.
[02:41:47.480 --> 02:41:50.024]  I just don't want your perspective.
[02:41:50.024 --> 02:41:51.787]  This is really upsetting the Deep State, isn't it?
[02:41:51.787 --> 02:41:56.455]  Because once we stabilize the Middle East, then we can deal with China, who again, Deep State's double-crossed us to.
[02:41:58.155 --> 02:41:58.315]  100%.
[02:41:58.315 --> 02:41:59.156]  One thing at a time.
[02:41:59.156 --> 02:42:01.616]  Some of these countries overseas are definitely waiting for it.
[02:42:01.616 --> 02:42:05.958]  I know specifically, with complete validation, the Republican government's been waiting for it.
[02:42:05.958 --> 02:42:10.819]  And deep state actors there, when Hillary's pay-to-play had been rolled up this week as well, which you're going to start to see that come out in the news.
[02:42:10.819 --> 02:42:14.961]  You know, the phosphate companies getting the money for the foundation, getting millions of dollars.
[02:42:14.961 --> 02:42:17.421]  And that was just, you know, that was just a step.
[02:42:17.421 --> 02:42:18.982]  How does Iran play into this?
[02:42:18.982 --> 02:42:19.822]  Are they figuring it out?
[02:42:19.822 --> 02:42:22.803]  They better watch it?
[02:42:22.803 --> 02:42:24.504]  Well, a little too late.
[02:42:24.504 --> 02:42:25.924]  A little too late.
[02:42:27.006 --> 02:42:28.006]  It's going on right now.
[02:42:28.006 --> 02:42:41.309]  I don't think people realize the significance of what occurred on the 27th of November with this Arab coalition coming together and physically, I mean physically being in the same room and declaring war on these actors that are obviously deep state-backed.
[02:42:41.309 --> 02:42:42.529]  This is the Reformation.
[02:42:42.529 --> 02:42:49.790]  This is one of the most important moments in recent history as far as the war on terror goes in our safety as a country and as a world.
[02:42:49.790 --> 02:42:50.450]  This is incredible.
[02:42:50.450 --> 02:42:52.251]  Well, you had to go to Morocco to call in.
[02:42:52.251 --> 02:42:54.011]  We'll come back with Zach from Morocco.
[02:42:54.724 --> 02:43:10.727]  I know I don't have to remind most of you of the fact that culturally, societally, economically, spiritually, militarily, the planet's sitting on top of a giant time bomb with populations and globalism and the new world order's manipulation of people's minds.
