[00:00.000 --> 00:01.840]  replace the
[01:58:28.200 --> 01:58:37.200]  Now, people got confused with the Saddam they captured in that hole with the Saddam two and a half months before during the invasion
[01:58:37.200 --> 01:58:43.200]  with the chubby face, with the different teeth, with the glasses to hide that it wasn't Saddam.
[01:58:43.200 --> 01:58:48.200]  Definitely one of those doubles. Giving speeches.
[01:58:48.200 --> 01:58:53.200]  People get confused between the guy in the hole and the clearly fake Saddam,
[01:58:53.200 --> 01:58:57.200]  and that's where this it's not Saddam stuff comes from.
[01:58:57.200 --> 01:59:01.200]  There's a lot of research this weekend.
[01:59:01.200 --> 01:59:07.200]  Well, I'll tell you what I saw. Let me get back.
[01:59:07.200 --> 01:59:12.200]  It's very important. Stay with me.
[01:59:12.200 --> 01:59:17.200]  If you would like a copy of this show, come to GCN Live.com and reserve it today.
[01:59:17.200 --> 01:59:22.200]  Or call toll-free 877-37645.
[01:59:22.200 --> 01:59:27.200]  Hello, folks. This is Alex Jones introducing you to the incredible Berkey Solar Charger,
[01:59:27.200 --> 01:59:30.200]  your source for free solar electricity.
[01:59:30.200 --> 01:59:37.200]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag, or glove compartment.
[01:59:37.200 --> 01:59:43.200]  The Berkey Solar Charger has been designed to power the Berkey Lite's LED lamps as well as other applications,
[01:59:43.200 --> 01:59:49.200]  such as mobile phones, radios, digital cameras, and PDAs when electricity is unavailable.
[01:59:49.200 --> 01:59:54.200]  Its multi-voltage capabilities and multiple adapters and rechargeable batteries provide for...
[01:59:54.200 --> 02:00:00.200] ...the help you to understand what you're dealing with, and will give you effective, natural solutions.
[02:00:00.200 --> 02:00:07.200]  Nature's Covered is fully stocked with all the products you or your family might need, and the prices are super competitive.
[02:00:07.200 --> 02:00:17.200]  Do yourself and your family a healthy favorite, and call my friend Dr. Chuck Landon at 1-800-290-9200.
[02:00:17.200 --> 02:00:19.200]  Do it today.
[02:00:19.200 --> 02:00:44.200]  Thank you for listening to GCA.
[02:00:49.200 --> 02:01:01.200]  I'm Alex Jones, and the kickoff is complete, starting with 2007 broadcast year.
[02:01:01.200 --> 02:01:08.200]  It is Monday, the first day of January 2007.
[02:01:08.200 --> 02:01:12.200]  Six was a flash in the pan.
[02:01:12.200 --> 02:01:14.200]  Here we are.
[02:01:14.200 --> 02:01:17.200]  We are going to have wide open phones today.
[02:01:17.200 --> 02:01:23.200]  By the time I finally got around the calls on my Sunday show I did yesterday, we took about 20 in the last 30 minutes.
[02:01:23.200 --> 02:01:26.200]  We will take a lot of calls today.
[02:01:26.200 --> 02:01:30.200]  1-800-259-9231.
[02:01:30.200 --> 02:01:38.200]  I want to look back at 2006, the good things that happened, the bad things that happened, the ugly things that developed.
[02:01:38.200 --> 02:01:48.200]  Then look forward into 2007. Are we going to have a total implosion of the dollar and the housing market?
[02:01:48.200 --> 02:01:58.200]  Will we see a massive recession, which most economists say were already entering, or could it go nuclear in the economic realm, and could we see a complete worldwide depression or meltdown?
[02:01:58.200 --> 02:02:08.200]  Those of Stiglitz and other top economists are saying we have a very good possibility of that happening in 2007.
[02:02:08.200 --> 02:02:14.200]  2007 also will be heralded by the Traderist Congress going back into session in two days.
[02:02:14.200 --> 02:02:21.200]  They are saying they are going to reintroduce the First Amendment destroying legislation, the hate crimes bill.
[02:02:21.200 --> 02:02:25.200]  They are saying they are going to push for total, complete, absolute blanket amnesty.
[02:02:25.200 --> 02:02:33.200]  They are, of course, the Democrats going to give an extra $100 billion, or let's be technical, $99.6 billion.
[02:02:33.200 --> 02:02:40.200]  I don't want to get nitpicked on that. I rounded up there. $99.6 billion in additional off-budget spending.
[02:02:40.200 --> 02:02:48.200]  You don't want a war. 78% of Americans and major polls don't want the war. You're going to see an escalation.
[02:02:48.200 --> 02:02:51.200]  I mean, that's your corrupt government.
[02:02:51.200 --> 02:02:56.200]  Also, yesterday, you know, I did that syndicated Sunday show now from 4 to 6 p.m. Central.
[02:02:56.200 --> 02:03:03.200]  I wanted to play a segment, but I got behind and only played about two minutes, of my 9-11 broadcast.
[02:03:03.200 --> 02:03:10.200]  By the time I wanted to re-air my 9-11 broadcast a few years after 9-11, I couldn't find it. The network didn't have it.
[02:03:10.200 --> 02:03:13.200]  They keep shows back about six months.
[02:03:13.200 --> 02:03:17.200]  I guess now we keep them back about a year, but at the time about six months.
[02:03:17.200 --> 02:03:26.200]  And so it was lost. Well, somebody had it, and they've uploaded it up in three one-hour parts to YouTube.
[02:03:26.200 --> 02:03:32.200]  They have a director's account. You don't. You just get a 10-minute clip. We need to get a director's account, but they won't give us one.
[02:03:32.200 --> 02:03:36.200]  But to make a long story short, I'm already digressing into technical issues.
[02:03:36.200 --> 02:03:44.200]  You can go up to PrismPlanet.com, whenever you like, or some big fat link to hear the free hours up there.
[02:03:44.200 --> 02:03:47.200]  Where I say they're probably going to launch an anthrax attack.
[02:03:47.200 --> 02:03:56.200]  I forgot when the ADL attacked me, September 15th, saying Alex Jones says they're going to launch a bio attack.
[02:03:56.200 --> 02:04:02.200]  I appreciate them attacking me because it's an enemy, actually, knitting on record that I made the prediction.
[02:04:02.200 --> 02:04:06.200]  I didn't know how specific the predictions were.
[02:04:06.200 --> 02:04:15.200]  So I listened to about an hour of this the other night, but that's not the clip I'm going to play today.
[02:04:15.200 --> 02:04:26.200]  The clip I want to play today later in the second hour is a clip where I interviewed Jimmy Wright, a family friend,
[02:04:26.200 --> 02:04:38.200]  and a degreed structural engineer who was working 200 yards from the towers at the World Financial Center when they fell, saying that it was a perfect control demolitions.
[02:04:38.200 --> 02:04:41.200]  This is even before seven fell many hours later.
[02:04:41.200 --> 02:04:47.200]  So we're going to play, I don't know, I'm tempted to just play the first 15 minutes of the show or something.
[02:04:47.200 --> 02:04:57.200]  And obviously it's internet audio, so it was recorded like we were eight-bit all-streams five and a half years ago.
[02:04:57.200 --> 02:05:02.200]  But the audio is not the best, but we'll play it later.
[02:05:02.200 --> 02:05:05.200]  All right, massive news. I haven't even gotten into the news yet.
[02:05:05.200 --> 02:05:10.200]  We'll hit all the news that's happening right now in 2007.
[02:05:10.200 --> 02:05:17.200]  And then we'll take your calls and review last year and then look forward into the new year.
[02:05:17.200 --> 02:05:19.200]  We just kicked off.
[02:05:19.200 --> 02:05:25.200]  prisonplina.com, jonesreport.com, infowars.net. Stay with me.
[02:05:25.200 --> 02:05:41.200]  It's here after a year in production and traveling the distant lands. My new film Terror Storm is complete.
[02:05:41.200 --> 02:05:47.200]  Shocking, declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[02:05:47.200 --> 02:05:54.200]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[02:05:54.200 --> 02:06:06.200]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[02:06:06.200 --> 02:06:12.200]  Terror Storm is the definitive guide to the history of government-sponsored terrorism. It's an anthology of government crimes.
[02:06:12.200 --> 02:06:16.200]  Terror Storm is a film that everyone who wants to be truly informed must see.
[02:06:16.200 --> 02:06:29.200]  Get your copy today on infowars.com, or prisonplanet.com, or by calling toll-31888-2533139, or watch it right now online at prisonplanet.tv.
[02:06:29.200 --> 02:06:34.200]  Now, you can bring Berkey purification power anywhere with the Sport Berkey filtration bottle.
[02:06:34.200 --> 02:06:44.200]  Ideal for sporting games, camping or voting, or Sport Berkey is small enough to store in your glove box, so it's ideal backup for unexpected emergencies like blackouts, floods or earthquakes.
[02:06:44.200 --> 02:06:51.200]  It's simply the best personal water filtration system available, so effective you can drink raw, untreated water from lakes, rivers and streams.
[02:06:51.200 --> 02:07:01.200]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[02:07:01.200 --> 02:07:12.200]  It even reduces radon 222 lead and other heavy metals. This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[02:07:12.200 --> 02:07:22.200]  Get the Berkey Sport for only $39, get two for $70, like calling new millennium at 808-803-4438. Order your Berkey Sport today.
[02:07:22.200 --> 02:07:28.200]  That's toll-3888-803-4438, or order on the web at Berkeywater.com.
[02:07:28.200 --> 02:07:35.200]  It's no secret, aluminum itself adversely affects the blood-brain barrier and is capable of causing DNA damage.
[02:07:35.200 --> 02:07:40.200]  Research has even shown that aluminum salts used in antiperspirants have detrimental effects.
[02:07:40.200 --> 02:07:46.200]  So why are you still using traditional deodorant? Well, there is an alternative and it's called nobio.
[02:07:46.200 --> 02:07:54.200]  Nobio eliminates the bacterial growth which causes odor and does not interfere with perspiration, which is important for allowing your body to expel toxins.
[02:07:54.200 --> 02:07:59.200]  There are no chemicals, aluminum, preservatives, or petroleum-based ingredients in nobio.
[02:07:59.200 --> 02:08:05.200]  Just natural ingredients like grapeseed oil, arrowroot powder, silica, vitamin E, tea tree oil, and uranium.
[02:08:05.200 --> 02:08:14.200]  Nobio's job is to destroy the bacteria that causes odor while soothing your skin. You can use nobio under your arms, on tough foot odors, or for athlete's foot.
[02:08:14.200 --> 02:08:18.200]  Nobio is guaranteed 100% or receive a full refund.
[02:08:18.200 --> 02:08:36.200]  Visit nobio.com to order. That's nobio.com or call 850-723-8599.
[02:08:36.200 --> 02:08:46.200]  There is a war on for your mind.
[02:08:46.200 --> 02:08:54.200]  There is a war on for your mind.
[02:08:54.200 --> 02:08:57.200]  And that's all I ask you listeners.
[02:08:57.200 --> 02:09:06.200]  Don't believe the government. Don't believe the media. Do not believe me. Do not believe anyone until you've researched it for yourself.
[02:09:06.200 --> 02:09:13.200]  I want you to do that so you'll be more effective in fighting the globalists. You won't get driven down a bunch of rabbit trails that lead nowhere but tyranny.
[02:09:13.200 --> 02:09:20.200]  And I also want you to do that because I want you to find out just how honest I am. Just how hard working we are.
[02:09:20.200 --> 02:09:30.200]  I want you to know that we're a good source of information. The best there is out there, which is scary because we're not perfect and we're pretty ragtag and we make mistakes.
[02:09:30.200 --> 02:09:38.200]  But compared to everything else out there, this is it. This is the penultimate. Boy, we're in a lot of trouble.
[02:09:38.200 --> 02:09:47.200]  It's kind of like a special Olympics and I've got one leg and everybody else has no legs and I'm bragging because I'm beating people.
[02:09:47.200 --> 02:09:55.200]  I do not have a high view of what we do here. That is, I wish we could do so much more. I wish we could.
[02:09:55.200 --> 02:10:00.200]  There's so many things I want to do that I'm unable to do and so there's a lot of frustration.
[02:10:00.200 --> 02:10:10.200]  But what we do have in my office is dedication and a passion for fighting corruption and so my team just does an absolutely wonderful job.
[02:10:10.200 --> 02:10:16.200]  But I want you to know that when I sit up here and say that I'm the best there is, it's no brag just fact as John Wayne was saying at the same time.
