[00:00:05.563 --> 00:00:06.103]  Forget it!
[02:48:29.236 --> 02:48:30.376]  Is your nose stuffed up?
[02:48:30.376 --> 02:48:34.579]  Do you experience sinus headaches, allergy symptoms, infections, or post-nasal drip?
[02:48:34.579 --> 02:48:37.420]  Does your treatment improve your body's disease-fighting function?
[02:48:37.420 --> 02:48:39.381]  Or are you simply treating the symptoms?
[02:48:39.381 --> 02:48:49.607]  The Sinuplus Elite Advanced Sinus Irrigation System effectively cleanses your sinuses and upper airways of all fungi, bacteria, and pathogens, and clears your sinuses gently and pleasantly.
[02:48:49.707 --> 02:48:50.207]  We're good to go!
[02:49:19.585 --> 02:49:20.106]  I don't know.
[02:49:35.854 --> 02:49:37.395]  But who is the enemy?
[02:49:37.395 --> 02:49:38.196]  Bin Laden.
[02:49:38.196 --> 02:49:39.177]  This is his ammo.
[02:49:39.177 --> 02:49:40.558]  We have to look to the Middle East.
[02:49:40.558 --> 02:49:42.560]  We have to look to Osama Bin Laden.
[02:49:42.560 --> 02:49:49.706]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[02:49:49.706 --> 02:49:50.207]  Some U.S.
[02:49:50.207 --> 02:49:55.852]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[02:49:56.532 --> 02:50:00.015]  I'm aware that some Israeli citizens have been detained.
[02:50:00.015 --> 02:50:02.197]  Either you are with us, or you are with the terrorists.
[02:50:27.142 --> 02:50:31.284]  You don't have to be in the military to enjoy military surplus savings.
[02:50:31.284 --> 02:50:37.448]  Right now at MainMilitary.com, you'll find savings on the top must-have military supplies.
[02:50:37.448 --> 02:50:39.089]  M10 gas masks for $12 or 3 for $30.
[02:50:39.089 --> 02:50:40.189]  Gas mask hoods $4 or 3 for $10.
[02:50:43.371 --> 02:50:45.993]  Mask filters, $6 or three for $15.
[02:50:45.993 --> 02:50:49.075]  Save big on British chemical suits, only $12.
[02:50:49.075 --> 02:50:51.157]  Israeli gas masks, $20.
[02:50:51.157 --> 02:50:54.819]  Trigger finger gloves, $5 a pair or $36 a dozen.
[02:50:54.819 --> 02:50:58.141]  Snowshoe binding for $8 or $48 a dozen.
[02:50:58.141 --> 02:50:59.442]  And so much more.
[02:50:59.442 --> 02:51:03.165]  Even hard to find surplus items, all at surplus prices.
[02:51:03.165 --> 02:51:05.967]  Preparing the whole family has never been so affordable.
[02:51:06.107 --> 02:51:06.788]  We're good to go.
[02:51:30.253 --> 02:51:33.595]  Yeah, I hope that microbiologist will send me his email and we'll have him on.
[02:51:33.595 --> 02:51:39.239]  You know, we've had a lot of top microbiologists on, dealing with it.
[02:51:39.239 --> 02:51:47.844]  And, like that news clip we played yesterday, they don't want most of the public knowing what they're doing.
[02:51:47.844 --> 02:51:58.411]  And the problem is, Dr. Eric Pionka is a biologist, and he's got a bunch of microbiologists that graduated out from under him, that sent me threatening emails with links to their... their...
[02:51:59.645 --> 02:52:03.207]  Graduate papers where they said they want to kill everybody.
[02:52:03.207 --> 02:52:09.211]  And then you Google them, and you see them in white lab coats, and they're working in bioweapons labs.
[02:52:09.211 --> 02:52:12.393]  I mean, we got people saying they want to kill us working in bioweapons labs.
[02:52:12.393 --> 02:52:16.655]  They don't want to kill the Ruskies, they don't want to kill the Chycoms, they don't want to kill the Arabs.
[02:52:16.655 --> 02:52:22.059]  I know a lot of you good old boys, you know, have been dehumanized.
[02:52:22.059 --> 02:52:25.301]  Oh, you didn't know when you dehumanize somebody else, you get dehumanized?
[02:52:25.301 --> 02:52:25.501]  Oh yeah.
[02:52:26.365 --> 02:52:28.206]  This is for you, and they're going to kill you.
[02:52:28.206 --> 02:52:30.327]  They're going to kill you, and they're going to kill your family.
[02:52:30.327 --> 02:52:33.568]  And that's why nothing really matters to me anymore, other than saving people.
[02:52:33.568 --> 02:52:34.629]  The species matters.
[02:52:34.629 --> 02:52:36.310]  I'm not worried about being killed.
[02:52:36.310 --> 02:52:39.111]  I'm not worried about being arrested, or set up, or taken to prison.
[02:52:40.359 --> 02:52:44.361]  I only keep my nose clean in everything I do so they don't have an excuse to come after me.
[02:52:44.361 --> 02:52:47.082]  And so if they do come after me, it'll be a total setup.
[02:52:47.082 --> 02:52:48.182]  And I'm ready.
[02:52:48.182 --> 02:52:49.823]  I am honored.
[02:52:49.823 --> 02:52:53.664]  I mean, if I knew it would save a million people right now, folks, I'd jump into a meat grinder.
[02:52:53.664 --> 02:52:55.005]  Wouldn't think five seconds.
[02:52:55.005 --> 02:52:55.785]  Save a million children.
[02:52:55.785 --> 02:52:56.545]  Jump in that meat grinder.
[02:52:56.545 --> 02:52:56.806]  Boom!
[02:52:56.806 --> 02:52:57.766]  I'd kill myself just like that.
[02:52:58.908 --> 02:52:59.068]  Okay?
[02:52:59.068 --> 02:53:02.950]  And I wouldn't even call it killing myself, I mean to stop those children being hurt.
[02:53:02.950 --> 02:53:09.934]  I will not be part of this crap, and I want that to be clear right now, ladies and gentlemen.
[02:53:09.934 --> 02:53:13.095]  I understand that the species is what's important.
[02:53:13.095 --> 02:53:16.717]  My only fear is now for the species.
[02:53:16.717 --> 02:53:22.540]  God Almighty, folks, you just cannot imagine how evil the forces are we're dealing with here.
[02:53:22.540 --> 02:53:24.081]  They love destroying life.
[02:53:24.081 --> 02:53:26.622]  They love destroying and wrecking everything that's good.
[02:53:27.918 --> 02:53:31.222]  And none of the real environmental issues are being addressed, ladies and gentlemen.
[02:53:31.222 --> 02:53:35.767]  They got corn and wheat and stuff growing that's got every type of genetic engineered organism in it.
[02:53:35.767 --> 02:53:39.390]  It's spreading all over, all sorts of illnesses and sicknesses.
[02:53:39.390 --> 02:53:40.432]  I mean, we're screwed, folks.
[02:53:40.432 --> 02:53:43.235]  I mean, it's already devastation.
[02:53:43.235 --> 02:53:49.081]  The Earth is already devastated by what they've done, and we don't even imagine what they're doing we don't know about.
[02:53:52.697 --> 02:53:57.281]  Yeah, now I'm not too worried about my hair falling out anymore.
[02:53:57.281 --> 02:53:59.643]  Now I'm not too worried about what people think of me.
[02:53:59.643 --> 02:54:04.688]  I watch these yuppies walk into restaurants or something, they're all real insecure, so they act real tough and cool.
[02:54:04.688 --> 02:54:09.452]  The general public, you see poor folks that feel real insecure about themselves when they come in places, you know.
[02:54:09.452 --> 02:54:10.533]  Who cares, man?
[02:54:10.533 --> 02:54:18.901]  We're on a giant rock planetoid with a tiny thin atmosphere hurtling through space with psychoscientists running the planet, bringing in tyranny.
[02:54:20.945 --> 02:54:24.628]  I'm like the guy at the end of The Body Snatchers going, you're in danger!
[02:54:24.628 --> 02:54:25.589]  We've got a fight!
[02:54:25.589 --> 02:54:28.031]  And people are going, ah, shut up, crazy man!
[02:54:28.031 --> 02:54:29.292]  I swear it's deadly!
[02:54:29.292 --> 02:54:31.174]  I've interviewed all the top scientists!
[02:54:31.174 --> 02:54:32.695]  It's killing you!
[02:54:32.695 --> 02:54:33.416]  It's hurting you!
[02:54:33.416 --> 02:54:34.196]  No, shut up!
[02:54:34.196 --> 02:54:36.238]  I love GMO!
[02:54:36.238 --> 02:54:37.919]  You know, and I'm like, no, please!
[02:54:37.919 --> 02:54:38.600]  They're psychos!
[02:54:38.600 --> 02:54:39.461]  They're own documents!
[02:54:39.461 --> 02:54:39.981]  Look!
[02:54:39.981 --> 02:54:41.943]  Oh, I bet there's documents!
[02:54:46.912 --> 02:54:51.853]  And I can't believe I'm the cutting edge, the front, the tip of the spear.
[02:54:51.853 --> 02:54:54.034]  I don't have some big giant image of myself.
[02:54:54.034 --> 02:54:58.975]  I'm just a normal person who read history, studied history, happened to run into history.
[02:54:58.975 --> 02:55:00.695]  I read history because it was entertaining.
[02:55:00.695 --> 02:55:03.576]  It was interesting.
[02:55:03.576 --> 02:55:07.336]  You know, my mom was a history major, so when I was growing up, I cracked a history book.
[02:55:07.336 --> 02:55:12.698]  Every page was jam-packed with action-packed info.
[02:55:12.698 --> 02:55:13.538]  And this wasn't fiction.
[02:55:13.538 --> 02:55:14.098]  This was real.
[02:55:15.273 --> 02:55:26.547]  So I learned how government worked, and then I went to college and they lied and said that wasn't how it worked, and told me world government was good, and then I'd see CNN telling me world government didn't exist at night, and then at school they'd tell me world government was good.
[02:55:26.547 --> 02:55:33.856]  And then I found out who the world government is, that they want to kill us, and they constantly talk about it.
[02:55:34.673 --> 02:55:43.760]  And then I learned that top scientists give speeches where they say they want to kill 90% of us at least and they get standing ovations with the scientists crying.
[02:55:43.760 --> 02:55:45.621]  This is a cult, ladies and gentlemen.
[02:55:45.621 --> 02:55:47.083]  Oh yes, kill everyone!
[02:55:47.083 --> 02:55:48.504]  Oh, it's so, oh!
[02:55:48.504 --> 02:55:49.224]  Oh God!
[02:55:49.224 --> 02:55:56.109]  And then I criticize them so I get their graduate students going, here's my paper on humans being a parasite.
[02:55:56.109 --> 02:55:58.011]  I can't wait till we're all dead.
[02:55:58.011 --> 02:56:00.653]  By the way, I work in a bio-weapons laboratory.
[02:56:00.653 --> 02:56:04.096]  I mean, can you understand what we're facing?
[02:56:07.208 --> 02:56:09.931]  Thank you for listening to GCN.
[02:56:09.931 --> 02:56:16.777]  Visit GCNlive.com today.
[02:56:16.777 --> 02:56:18.178]  It is a big idea.
[02:56:18.178 --> 02:56:21.020]  A new world order.
[02:56:21.020 --> 02:56:25.504]  In the near future, Earth is dominated by a powerful world government.
[02:56:25.504 --> 02:56:28.727]  It's known as the Bilderberg Group.
[02:56:28.727 --> 02:56:31.510]  Could their objective be world domination?
[02:56:31.510 --> 02:56:33.932]  For thousands of years, their dark order grew.
[02:56:34.682 --> 02:56:42.008]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[02:56:45.051 --> 02:56:50.475]  For the first time in history, the elite's plan for world government is blown wide open.
[02:56:50.475 --> 02:56:53.877]  You will learn the secret that drives the entire New World Order agenda.
[02:57:19.053 --> 02:57:21.454]  Waging war on corruption.
[02:57:21.454 --> 02:57:24.236]  Alex Jones on the GCN Radio Network.
[02:57:40.154 --> 02:57:47.697]  Already in the final hour of the final transmission, the desperate alert beacon to free humanity.
[02:57:47.697 --> 02:58:04.344]  Those of you that are under complete and total mind control, those of you out there that I can still reach, turn off the mainline television set, be aware of the flicker rate, be aware of the programming, be aware of the GMO weapon attack you're under, be aware of the chemical attacks that you're under, ladies and gentlemen.
[02:58:07.418 --> 02:58:08.879]  All right, let's jam in your phone calls.
[02:58:08.879 --> 02:58:12.841]  I got a ton of news I gotta get to and some video clips today.
[02:58:12.841 --> 02:58:19.325]  I gotta act like Speed Racer when it comes to getting all this information in.
[02:58:19.325 --> 02:58:21.506]  But how could I not keep Mike on for five, six minutes?
[02:58:21.506 --> 02:58:23.007]  That was an amazing call.
[02:58:23.007 --> 02:58:24.528]  Let's go to Ken in Texas.
[02:58:24.528 --> 02:58:25.529]  Ken, you're on the air.
[02:58:25.529 --> 02:58:25.849]  Welcome.
[02:58:26.360 --> 02:58:28.461]  Hello, Alex Jones.
[02:58:28.461 --> 02:58:33.223]  I've got a couple comments before I make my 2009 prediction, if that's alright.
[02:58:33.223 --> 02:58:33.664]  Yes, sir!
[02:58:33.664 --> 02:58:37.806]  I'm watching you here on prisonplanet.tv.
[02:58:37.806 --> 02:58:43.308]  The difference in prisonplanet.tv and listening on the radio is night and day.
[02:58:43.308 --> 02:58:47.810]  I'm telling you, Alex is entertaining as hell.
[02:58:47.810 --> 02:58:52.173]  Y'all won't believe it, but he has a fantastic smile.
[02:58:52.173 --> 02:58:53.293]  And the other point is,
[02:58:55.578 --> 02:58:57.839]  I am so grateful for this program.
