[00:00.000 --> 00:29.800]  It's Monday, January 28th, 2019, as a giant polar vortex settles over the east coast.
[02:34:26.800 --> 02:34:28.800]  and that is an important divide,
[02:34:28.800 --> 02:34:31.800]  he says that we're really seeing now.
[02:34:31.800 --> 02:34:35.800]  And this, he points out that one illustration of this cultural divide
[02:34:35.800 --> 02:34:39.800]  is that most modern progressive social movements and protests
[02:34:39.800 --> 02:34:42.800]  are quickly endorsed by celebrities,
[02:34:42.800 --> 02:34:44.800]  actors, the media, and the intellectuals.
[02:34:44.800 --> 02:34:47.800]  But none of them approve of the gilet jaune.
[02:34:47.800 --> 02:34:50.800]  Their emergence has caused a kind of psychological shock
[02:34:50.800 --> 02:34:53.800]  to the cultural establishment.
[02:34:53.800 --> 02:34:56.800]  It is exactly the same shock that the British elites
[02:34:56.800 --> 02:34:58.800]  experienced with the Brexit vote,
[02:34:58.800 --> 02:35:00.800]  and that they are still experiencing now,
[02:35:00.800 --> 02:35:02.800]  three years later.
[02:35:02.800 --> 02:35:04.800]  The shock by the cultural establishment,
[02:35:04.800 --> 02:35:06.800]  to the cultural establishment,
[02:35:06.800 --> 02:35:09.800]  is something that we've talked about here as well.
[02:35:09.800 --> 02:35:13.800]  Post-Trump, this Trump derangement syndrome,
[02:35:13.800 --> 02:35:15.800]  is exactly the same symptom.
[02:35:15.800 --> 02:35:18.800]  When France elected Macron,
[02:35:18.800 --> 02:35:22.800]  remember in America, the media was ecstatic over the top,
[02:35:22.800 --> 02:35:26.800]  euphoric, and saying, he's our guy, he's like Beto,
[02:35:26.800 --> 02:35:30.800]  he's like Obama, he's sexy and sophisticated,
[02:35:30.800 --> 02:35:33.800]  and says all the right things and signals his virtue.
[02:35:33.800 --> 02:35:36.800]  But the people are rising up against him,
[02:35:36.800 --> 02:35:41.800]  because they, the elite, don't understand at all,
[02:35:41.800 --> 02:35:45.800]  still, all the time, partly because they've had the comfort,
[02:35:45.800 --> 02:35:48.800]  the sweet, sweet comfort of a conspiracy theory that it's,
[02:35:48.800 --> 02:35:51.800]  you know, some guy living thousands of miles away in the Kremlin
[02:35:51.800 --> 02:35:54.800]  who has some sort of mind control over everybody in their population.
[02:35:54.800 --> 02:35:57.800]  But the fact is, these people,
[02:35:57.800 --> 02:36:01.800]  there's a cultural divide in our own country.
[02:36:01.800 --> 02:36:03.800]  No, that's not fully true.
[02:36:03.800 --> 02:36:06.800]  The establishment knows that it's populism all over the world,
[02:36:06.800 --> 02:36:10.800]  and then just says it's the magic Kremlin.
[02:36:10.800 --> 02:36:13.800]  The only truth there is that Russia is not a perfect country,
[02:36:13.800 --> 02:36:16.800]  but it got out from under the globalist, at least partially,
[02:36:16.800 --> 02:36:18.800]  so it had gone rock bottom first,
[02:36:18.800 --> 02:36:21.800]  it was one of the first big nations to partially get out of it.
[02:36:21.800 --> 02:36:23.800]  But now, Italy, and everywhere else,
[02:36:23.800 --> 02:36:25.800]  Germany's voted out Merkel's party,
[02:36:25.800 --> 02:36:27.800]  and France basically, you know,
[02:36:27.800 --> 02:36:30.800]  something like 80% of people who are against Macron,
[02:36:30.800 --> 02:36:33.800]  it's happening everywhere else. I don't have to list all the places.
[02:36:33.800 --> 02:36:36.800]  People are sick of socialism, communism, corporate fascism.
[02:36:36.800 --> 02:36:39.800]  They want nationalism, they want prosperity, and they get it.
[02:36:39.800 --> 02:36:41.800]  They want it here.
[02:36:41.800 --> 02:36:46.800]  And so the establishment always tries to label their own domestic populations
[02:36:46.800 --> 02:36:48.800]  as terrorist.
[02:36:48.800 --> 02:36:50.800]  They always try to label them as the outsider,
[02:36:50.800 --> 02:36:55.800]  when globalism is the outsider force pushing all of this.
[02:36:55.800 --> 02:36:58.800]  Our own Dan Lyman of europewars.com
[02:36:58.800 --> 02:37:01.800]  just got done. He's covered the yellow vest demonstrations for 12, 13 weeks.
[02:37:01.800 --> 02:37:04.800]  He just got back from Davos to give his view and his perspective.
[02:37:04.800 --> 02:37:08.800]  I'm not saying that Max Geyser and his co-host are wrong.
[02:37:08.800 --> 02:37:12.800]  They're overall right, but if you expand on that, Dan,
[02:37:12.800 --> 02:37:15.800]  I think that clearly the establishment doesn't think it's the Russians
[02:37:15.800 --> 02:37:18.800]  that are behind this resistance to the new world order,
[02:37:18.800 --> 02:37:21.800]  because the fact the new world order is a horribly authoritarian
[02:37:21.800 --> 02:37:24.800]  out-of-control system where the elites don't pay taxes,
[02:37:24.800 --> 02:37:26.800]  but then they tell us we can't have a middle class
[02:37:26.800 --> 02:37:31.800]  and that the dogma of the globalist being anti-family, pro-radical Islam,
[02:37:31.800 --> 02:37:34.800]  being anti-western, that's why people are finally fighting it
[02:37:34.800 --> 02:37:37.800]  and getting out of their malaise because it's a horrible system.
[02:37:37.800 --> 02:37:39.800]  What's your view on that?
[02:37:39.800 --> 02:37:43.800]  It is a horrible system, and of course we can look to France to see what's going on,
[02:37:43.800 --> 02:37:49.800]  and we can also look to the extent that the authoritarians are willing to use force now at this point
[02:37:49.800 --> 02:37:53.800]  as things continue on now for over 11 weeks of protests
[02:37:53.800 --> 02:37:59.800]  by the Yellow Vests in France, and the violence is definitely on the escalation,
[02:37:59.800 --> 02:38:03.800]  so it seems I was there for Week 10 last weekend before this one,
[02:38:03.800 --> 02:38:07.800]  and things started off pretty mellow, but then by the end of the day,
[02:38:07.800 --> 02:38:11.800]  it was looking pretty ugly, but the thing that I find so amazing,
[02:38:11.800 --> 02:38:13.800]  these Yellow Vests, they're brave.
[02:38:13.800 --> 02:38:16.800]  A lot of them are very brave. You might call them crazy, some of them.
[02:38:16.800 --> 02:38:19.800]  You might say they have a few drinks in them, some of them for sure,
[02:38:19.800 --> 02:38:26.800]  but I mean, these people are out there knowing that they could be facing life-threatening injuries
[02:38:26.800 --> 02:38:31.800]  or life-changing injuries, and in some cases, some of them have died indeed,
[02:38:31.800 --> 02:38:36.800]  and we had one of the top Yellow Vests, kind of a guy that's been on TV to represent them.
[02:38:36.800 --> 02:38:39.800]  Seems like a decent fellow, a construction worker.
[02:38:39.800 --> 02:38:43.800]  He was out live streaming the protest in Paris at the Bastille,
[02:38:43.800 --> 02:38:49.800]  and he believes he was targeted, but he was shot in the eye with one of these flashballs,
[02:38:49.800 --> 02:38:55.800]  a 40-millimeter rubber bullet, and he says he was also hit with another projectile
[02:38:55.800 --> 02:39:00.800]  at the same time in the leg, and his attorney says that he will likely be handicapped for life
[02:39:00.800 --> 02:39:05.800]  and will lose the eye, so I mean, the amount of barbarity on the ground,
[02:39:05.800 --> 02:39:07.800]  we've seen some pretty heinous stuff in Venezuela,
[02:39:07.800 --> 02:39:12.800]  but it's really not that far off here in France as well.
[02:39:12.800 --> 02:39:18.800]  And then you see Macron and her being booed at their EU Army announcement last week,
[02:39:18.800 --> 02:39:24.800]  so they denied, I mean, this is Hitler's literal dream happening of a European Union.
[02:39:24.800 --> 02:39:28.800]  He also envisioned the Olympics and drew the Olympic symbol.
[02:39:28.800 --> 02:39:35.800]  He envisioned the VW car, people's car, Volkswagen, and drew the car and the symbol.
[02:39:35.800 --> 02:39:38.800]  He envisioned the European Union, its flag.
[02:39:38.800 --> 02:39:43.800]  He envisioned a European Union Army that would then dominate and control the world,
[02:39:43.800 --> 02:39:49.800]  and we are literally announcing it today to respond to people trying to get out from under it
[02:39:49.800 --> 02:39:52.800]  by saying, we'll kill you if you try to leave.
[02:39:52.800 --> 02:39:57.800]  Right, and you know, I just got a little tip, and I was just researching it before we came on,
[02:39:57.800 --> 02:39:59.800]  and I think you'll find this interesting.
[02:39:59.800 --> 02:40:02.800]  So one of the things that I've reported on is that on the ground,
[02:40:02.800 --> 02:40:07.800]  some of these really vicious police officers, they are undercover guys.
[02:40:07.800 --> 02:40:12.800]  They're just basically plain clothes with very few markings, sometimes just an armband.
[02:40:12.800 --> 02:40:15.800]  One of the videos from this weekend is horrific, a yellow vester on the ground,
[02:40:15.800 --> 02:40:20.800]  arms behind their back, and one of these undercover officer comes in and smashes his face on the ground
[02:40:20.800 --> 02:40:22.800]  three times and breaks his nose.
[02:40:22.800 --> 02:40:26.800]  It's a horrific video, but someone tipped me off to this, and I had never heard of this,
[02:40:26.800 --> 02:40:28.800]  but it's the European John Domery Force.
[02:40:28.800 --> 02:40:35.800]  And of course, we see John Domery on the tanks, the armored vehicles in France and Paris every weekend now.
[02:40:35.800 --> 02:40:42.800]  And I didn't realize this, but it's basically an EU militarized police force.
[02:40:42.800 --> 02:40:47.800]  And it's possible that these guys, some of them, if not many of them, are not even from France,
[02:40:47.800 --> 02:40:49.800]  as we've discussed in the past.
[02:40:49.800 --> 02:40:53.800]  And this might be a key, a clue as to where are these guys coming from?
[02:40:53.800 --> 02:40:55.800]  Why are they so extra brutal?
[02:40:55.800 --> 02:40:59.800]  Maybe they are being hauled in from around Europe, and they just have no allegiance to the French people,
[02:40:59.800 --> 02:41:02.800]  and they're just trained attack dogs.
[02:41:02.800 --> 02:41:08.800]  And if you go on their Wikipedia page, it says that the EGF, which is the European John Domery Force,
[02:41:08.800 --> 02:41:14.800]  is a European intervention force with a militarized police functions and specialization in crisis management,
[02:41:14.800 --> 02:41:18.800]  and it lists their allegiance to the European Union.
[02:41:18.800 --> 02:41:19.800]  So everybody can go and check that out.
[02:41:19.800 --> 02:41:21.800]  We have that up on the screen there now.
[02:41:21.800 --> 02:41:23.800]  That's an interesting little detail.
[02:41:23.800 --> 02:41:27.800]  And these are the things you start finding out as you start digging into this mess
[02:41:27.800 --> 02:41:32.800]  that is globalism fighting back against the populists on the ground in France.
[02:41:32.800 --> 02:41:35.800]  Well, there's some of them right there, and you can see they're a multinational force.
[02:41:35.800 --> 02:41:41.800]  And if you look at those armored vehicles, that is the outside corporate EU invading the sovereign nation of France
[02:41:41.800 --> 02:41:42.800]  with the armored vehicle.
[02:41:42.800 --> 02:41:46.800]  So that is a foreign invasion force.
[02:41:46.800 --> 02:41:53.800]  And yes, this EU police force, John Domery, is absolutely a foreign force engaging the French.
[02:41:53.800 --> 02:41:57.800]  It is only a matter of time, and it's going to be very sad when it happens
[02:41:57.800 --> 02:42:01.800]  until people take those firearms away from them with the butter knife brigades,
[02:42:01.800 --> 02:42:03.800]  with the ball peen hammer brigade.
[02:42:03.800 --> 02:42:08.800]  It's only a matter of time until these paramilitary thugs start getting killed.
[02:42:08.800 --> 02:42:15.800]  There was actually early on in the yellow vest protests, one of the rifles was taken out of a police vehicle.
[02:42:15.800 --> 02:42:17.800]  So there is precedent for that.
[02:42:17.800 --> 02:42:23.800]  If these yellow vests, if they get their hands on anything more powerful than a cobblestone,
[02:42:23.800 --> 02:42:29.800]  they seem prepared at this point, some of them, that they'd be prepared to use it at least in self-defense
[02:42:29.800 --> 02:42:31.800]  and with the amount of injuries they're sustaining.
[02:42:31.800 --> 02:42:35.800]  I do believe the injury count for both sides is over 3,000 now.
[02:42:35.800 --> 02:42:39.800]  I think that we could see some bad stuff in the future.
[02:42:39.800 --> 02:42:41.800]  That's right. It's a fact.
[02:42:41.800 --> 02:42:43.800]  Venezuela is in a civil war against tyranny.
[02:42:43.800 --> 02:42:45.800]  France is in a civil war against tyranny.
[02:42:45.800 --> 02:42:50.800]  Liberty is rising and the French resistance is about to kick into high gear
[02:42:50.800 --> 02:43:19.800]  as the corrupt EU state grinds to a halt.
[02:43:21.800 --> 02:43:27.800]  Simply take a packet, mix it into the indicated amount of water and enjoy.
[02:43:27.800 --> 02:43:35.800]  With 14 servings per box for a two-week or more supply, this is the formula to stock up on whenever you need a boost.
[02:43:35.800 --> 02:43:38.800]  Perfect for work, in the car, or at home.
[02:43:38.800 --> 02:43:42.800]  TurboForce is the ultimate answer to a sluggish day.
[02:43:42.800 --> 02:43:44.800]  Don't let your day slow you down.
[02:43:44.800 --> 02:43:54.800]  Perk Up with TurboForce at InfowarsStore.com
[02:44:15.800 --> 02:44:21.800]  Ultimate Krill Oil can help you experience the benefits of fish oil with less-required DHA and EPA.
[02:44:21.800 --> 02:44:27.800]  This incredible formula can help your body in many ways, including supporting heart health, joint health and cognitive health,
[02:44:27.800 --> 02:44:32.800]  aiding and regulating fat metabolism, helping to maintain cognitive function and more.
[02:44:32.800 --> 02:44:36.800]  And while other Krill Oil formulas may chemically modify their formulas,
[02:44:36.800 --> 02:44:42.800]  we're giving you the benefits of a simple formula that contains unmodified high-quality Krill Oil concentrate.
[02:44:42.800 --> 02:44:48.800]  Paired with our ultimate fish oil, or used separately, it's time to see what Krill Oil can do for you with Ultimate Krill Oil.
[02:44:48.800 --> 02:45:13.800]  Now available at InfowarsStore.com
[02:45:19.800 --> 02:45:27.800]  But if you will simply realize how epic this is, and understand how real this fight is, and why we've been made the main target,
[02:45:27.800 --> 02:45:33.800]  and if you financially support us, and if you spread the word about our articles and videos, Infowars.com,
[02:45:33.800 --> 02:45:38.800]  we won't just continue to stand up against these brutal scumbags, we'll win.
[02:45:38.800 --> 02:45:41.800]  We have huge sales at InfowarsStore.com right now.
