[00:00:00.458 --> 00:00:03.860]  Humanity is on a collision course with a horrific end.
[02:44:19.213 --> 02:44:24.358]  But the listeners and viewers who've supported InfoWars are the real reason we've had this success.
[02:44:25.058 --> 02:44:30.501]  We're having now the greatest victories in the fight against the New World Order we've ever had.
[02:44:30.501 --> 02:44:34.823]  We are now entering the final mile of the marathon.
[02:44:34.823 --> 02:44:44.048]  And that's why, today, it's more important than ever to realize how important you've been in this fight and to continue in the efforts you've been carrying out and to intensify them.
[02:44:44.048 --> 02:44:45.409]  God bless you all.
[02:44:45.409 --> 02:44:46.449]  I salute you.
[02:44:46.449 --> 02:44:47.530]  I thank you.
[02:44:47.530 --> 02:44:53.273]  And I beg you to intensify what you're doing now because we are over the target and history is happening.
[02:44:53.493 --> 02:44:54.813]  The fight is my fight.
[02:44:54.813 --> 02:44:55.513]  It's your fight.
[02:44:55.513 --> 02:44:56.254]  It's our fight.
[02:44:56.254 --> 02:44:58.374]  God bless you all.
[02:44:58.374 --> 02:45:18.998]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible,
[02:45:19.498 --> 02:45:32.626]  What made any resistance to it possible was people continuing to support InfoWars despite the massive lawfare being waged against InfoWars, despite the media defamatory, libelous campaign against InfoWars.
[02:45:32.626 --> 02:45:41.471]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier, and wiser is what keeps InfoWars on the air.
[02:45:41.471 --> 02:45:47.875]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[02:45:47.995 --> 02:45:49.438]  So, continue to do it.
[02:45:49.438 --> 02:45:51.622]  Go to places like InfoWarsTore.com.
[02:45:51.622 --> 02:45:53.725]  Go to the places like Save InfoWars.
[02:45:53.725 --> 02:45:58.674]  Continue to keep InfoWars alive, because in the process, you're keeping American liberty alive.
[02:45:59.384 --> 02:46:10.866]  Until about 150 years ago, cultures all over the world believed that people got sick and died in many cases in the winter because of something called vapors.
[02:46:10.866 --> 02:46:15.307]  They associated these poisonous vapors with cold weather.
[02:46:15.307 --> 02:46:19.288]  Of course, it wasn't the cold weather or catching a chill that killed people.
[02:46:19.288 --> 02:46:23.729]  What was killing people was a lack of vitamin D3.
[02:46:23.729 --> 02:46:24.789]  You see, the sun
[02:46:25.529 --> 02:46:25.829]  We're good to
[02:46:49.858 --> 02:46:50.659]  We're good to go.
[02:47:23.763 --> 02:47:25.445]  Alright, Nick Fuentes is our guest.
[02:47:25.445 --> 02:47:29.150]  We're having a debate here, a discussion about these issues.
[02:47:29.150 --> 02:47:34.837]  He says he's good to take phone calls coming up later in the next hour and some of the other big issues.
[02:47:34.837 --> 02:47:41.405]  So Nick, watching what the ADL's doing, watching what the left's doing, and their racial-based political system,
[02:47:42.984 --> 02:47:44.385]  How do you see this shaking out?
[02:47:44.385 --> 02:47:47.886]  What do you see happening the next few years with all of this?
[02:47:47.886 --> 02:48:03.594]  Because I got to tell you, I actually saw the corporate media come out against you and Ye on the air, and I personally don't like any flavor of authoritarianism and thought it was more of a publicity stunt, just what I picked up from it.
[02:48:03.594 --> 02:48:05.054]  I mean, I don't know what was planned.
[02:48:05.054 --> 02:48:08.156]  You're saying it wasn't planned, I believe you, because it felt completely unplanned
[02:48:10.328 --> 02:48:12.809]  But at the end of the day, people have their First Amendment.
[02:48:12.809 --> 02:48:15.590]  How do you see this attempt to crush everybody going?
[02:48:15.590 --> 02:48:19.512]  Elon Musk is, I think, not perfect, but he's going a long way.
[02:48:19.512 --> 02:48:21.433]  The power structure is totally discredited.
[02:48:22.563 --> 02:48:30.885]  And what I saw on Twitter and Instagram and Facebook and everywhere else, not even trying to look, was most people liked it.
[02:48:30.885 --> 02:48:41.328]  They weren't even anti-Semitic, they weren't even against the Democratic Party and all that, but they were really, really just sick of the censorship saying, screw it, burn down the whole world.
[02:48:41.328 --> 02:48:42.888]  Is that what you're getting at?
[02:48:45.638 --> 02:48:48.740]  It's something like that, but it's a little bit bigger because it is poignant.
[02:48:48.740 --> 02:48:52.344]  It's not just sort of this directionless, hey, screw it, burn it all down.
[02:48:52.344 --> 02:48:57.268]  It's a lot more directed and precise, which is where we're going to finally say it with our chest.
[02:48:57.268 --> 02:49:00.431]  You know, a lot of people, I think, were dissatisfied with the Trump
[02:49:01.212 --> 02:49:19.495]  Presidency in the first term and and seemingly how little progress we made that's something I'd sort of told him at the dinner was look in 2016 the message was sort of insufficient here we are in 24 coming up on the 24 cycle and it's it seems like it's been moderated it's more moderate than it was in 16 things are getting worse running out of time
[02:49:20.228 --> 02:49:21.109]  And we're retreating.
[02:49:21.109 --> 02:49:22.549]  We're moving backwards.
[02:49:22.549 --> 02:49:31.675]  So, in terms of joining up with Ye and getting on board with this movement, it's about getting behind a guy who's saying, we need to hold America to a Christian standard.
[02:49:31.675 --> 02:49:34.136]  It's about saying, we need to call out the Jewish media.
[02:49:34.136 --> 02:49:39.979]  And he's been saying, look, we don't care about your... Honestly, we don't care about your grandmother that died in the Holocaust.
[02:49:39.979 --> 02:49:40.480]  I'm sorry.
[02:49:40.480 --> 02:49:41.720]  That's always what they come with.
[02:49:41.720 --> 02:49:42.801]  It's always the guilt trip.
[02:49:42.801 --> 02:49:44.722]  It's the emotional propaganda.
[02:49:44.722 --> 02:49:45.903]  I know that sounds callous.
[02:49:45.903 --> 02:49:47.564]  I know that sounds insensitive.
[02:49:47.564 --> 02:49:49.345]  But it's no different than any of this other
[02:49:50.146 --> 02:49:55.573]  Racial grievance politics over slavery or over colonization or genocide.
[02:49:55.573 --> 02:50:01.540]  I see no difference between AOC calling us colonizers and these Jewish groups calling us Holocaust deniers.
[02:50:01.540 --> 02:50:05.525]  It's the same weaponization of racial grievance to browbeat us into submission.
[02:50:06.205 --> 02:50:27.287]  We've got to make our country free and independent and strong and that means... So what you're saying is, what you're saying is, the left keeps calling everybody Hitler, the left keeps saying all white people are bad, the left keeps saying Western civilization is evil, and so you're saying I didn't kill your great-grandparents, your grandparents, I don't deserve to be called this, so if you're gonna call me this, I'm gonna go ahead and embrace it.
[02:50:27.287 --> 02:50:29.129]  What you're saying is you're not gonna live in guilt anymore.
[02:50:30.498 --> 02:50:31.439]  That's exactly right.
[02:50:31.439 --> 02:50:36.923]  We can't change the past, and God bless all the victims of every tragedy in human history, but it's 2022.
[02:50:36.923 --> 02:50:37.944]  We live in America.
[02:50:37.944 --> 02:50:38.764]  It's a Christian country.
[02:50:38.764 --> 02:50:39.725]  Well, I mean, let's talk about this.
[02:50:39.725 --> 02:50:42.107]  They've got national statistics out that are pretty accurate.
[02:50:42.107 --> 02:50:46.690]  Two percent of the South own slaves during slavery.
[02:50:46.690 --> 02:50:48.212]  That's a very conservative number.
[02:50:48.212 --> 02:50:49.012]  It might have been lower.
[02:50:52.386 --> 02:50:57.189]  2% and something like maybe 10% of white population in the U.S.
[02:50:57.189 --> 02:50:59.390]  had some ancestor involved in slavery.
[02:50:59.390 --> 02:51:15.318]  But somebody getting off an airplane from Poland or from Russia or from Czechoslovakia or from Germany or from the Netherlands who never had an ancestor involved in slavery or from Iceland is immediately told you owe reparations and you're a bad person for what you never did or your family never did.
[02:51:15.318 --> 02:51:16.559]  That is preposterous.
[02:51:17.459 --> 02:51:22.802]  At the same time, you know, I am sad that George Soros helped round up Jews and get them killed.
[02:51:22.802 --> 02:51:25.784]  I am sorry that Hitler did things, but I didn't do it.
[02:51:25.784 --> 02:51:29.626]  Both my grandfathers went and fought Hitler, and then I get the ADL up there saying I'm Hitler.
[02:51:29.626 --> 02:51:31.667]  So I understand that perspective.
[02:51:31.667 --> 02:51:37.871]  I just don't get them using Hitler as a touchstone, because I don't see Hitler as a good person.
[02:51:39.266 --> 02:51:44.250]  Well, I like what Scott Adams said about it, which is that it sort of reframes the entire debate.
[02:51:44.250 --> 02:51:49.034]  I mean, have you considered, and Richard Spencer said this as well, and I think we disagree on a lot.
[02:51:49.034 --> 02:51:51.876]  You know, he's not a Christian, and that's a big source of disagreement.
[02:51:52.808 --> 02:51:58.591]  But what about this fact that our entire morality and our whole political spectrum is defined by Hitler?
[02:51:58.591 --> 02:52:00.552]  It's like reductio ad Hitler.
[02:52:00.552 --> 02:52:08.536]  Every argument has to come back to, well, Hitler was the most evil one, so whoever's the most proximate to Hitler is the worst one, is the bad one.
[02:52:08.536 --> 02:52:09.237]  I'm a Christian.
[02:52:09.237 --> 02:52:10.057]  I'm from Chicago.
[02:52:10.057 --> 02:52:11.798]  I was born in 1998.
[02:52:11.798 --> 02:52:14.339]  Hitler, the Holocaust, what does this have to do with me?
[02:52:14.339 --> 02:52:15.680]  What does this have to do with our country?
[02:52:15.680 --> 02:52:17.481]  It's a rejection of the Hollywood
[02:52:18.201 --> 02:52:20.743]  Ethos that we're all Hitler and Hollywood is God.
[02:52:20.743 --> 02:52:21.663]  I get it.
[02:52:21.663 --> 02:52:25.506]  Let's play a clip of Scott Adams, the creator of Dilbert and Philosopher.
[02:52:25.506 --> 02:52:29.108]  Since you raised that point, here it is.
[02:52:29.108 --> 02:52:35.331]  I would not rule out the fact that Ye is trying to break the system.
[02:52:35.331 --> 02:52:37.813]  And he might.
[02:52:37.813 --> 02:52:41.595]  Like instead of, he's not trying to win the game.
[02:52:41.595 --> 02:52:44.457]  He's trying to throw the board up.
[02:52:44.457 --> 02:52:44.997]  You know what I mean?
[02:52:45.879 --> 02:52:49.461]  He knows he can't win the game because he didn't make the rules.
[02:52:49.461 --> 02:52:54.063]  The rules are made by other people and he doesn't have an advantage there.
[02:52:54.063 --> 02:52:57.624]  So if he plays the game by its rules, he loses.
[02:52:57.624 --> 02:53:01.966]  But Ye is not the person who loses.
[02:53:01.966 --> 02:53:07.528]  It's not in his nature to not think he can succeed.
[02:53:07.528 --> 02:53:09.489]  So he just takes it to the next step.
[02:53:09.489 --> 02:53:10.790]  What is the next step?
[02:53:10.790 --> 02:53:14.291]  Next step is you throw the whole board over.
[02:53:14.291 --> 02:53:15.452]  So he came into Twitter.
[02:53:16.693 --> 02:53:26.500]  With a Raelian logo that he might have known was not provocative in that context, or as provocative.
[02:53:26.500 --> 02:53:31.663]  He may have tested the limits of Musk's free speech and broke it.
[02:53:31.663 --> 02:53:35.206]  In my opinion, he broke Elon Musk.
[02:53:35.206 --> 02:53:39.148]  Elon Musk.
