[00:00.000 --> 00:20.000]  InferWars, the most banned network in the world.
[2:29:11.000 --> 2:29:13.000]  It's all the supplements, I'd say.
[2:29:13.000 --> 2:29:15.000]  It's the supplements, but let's just get serious.
[2:29:15.000 --> 2:29:16.000]  Garden and the can.
[2:29:16.000 --> 2:29:17.000]  But let's get serious.
[2:29:17.000 --> 2:29:18.000]  And also that scrotum wax.
[2:29:18.000 --> 2:29:19.000]  That's right.
[2:29:19.000 --> 2:29:23.000]  But seriously, the economy, the world, the banks,
[2:29:23.000 --> 2:29:28.000]  the censorship, the wars, the China,
[2:29:28.000 --> 2:29:31.000]  the dollar's way up, the currency wars,
[2:29:31.000 --> 2:29:35.000]  looking at all their fiat systems, what's going on?
[2:29:35.000 --> 2:29:37.000]  Well, we saw Ben Bernanke.
[2:29:37.000 --> 2:29:38.000]  You remember him?
[2:29:38.000 --> 2:29:40.000]  He was Fed Chairman right before Janet Yellen.
[2:29:40.000 --> 2:29:42.000]  And he came out and complained to the Financial Times
[2:29:42.000 --> 2:29:44.000]  and the World Media that he wants people
[2:29:44.000 --> 2:29:47.000]  to stop calling the dollar fiat money.
[2:29:47.000 --> 2:29:49.000]  And it's not just fiat money.
[2:29:49.000 --> 2:29:50.000]  It's not just a meme.
[2:29:50.000 --> 2:29:51.000]  It's real.
[2:29:51.000 --> 2:29:54.000]  And he's practically crying like a little baby.
[2:29:54.000 --> 2:29:55.000]  I saw that.
[2:29:55.000 --> 2:29:57.000]  So if he just calls it white supremacist,
[2:29:57.000 --> 2:29:58.000]  he'll stop saying it.
[2:29:58.000 --> 2:29:59.000]  Yeah, of course.
[2:29:59.000 --> 2:30:01.000]  So fiat is white supremacist.
[2:30:01.000 --> 2:30:02.000]  Don't say it.
[2:30:02.000 --> 2:30:05.000]  They'll get, they're boxing themselves into a corner
[2:30:05.000 --> 2:30:07.000]  where you can't even mention the U.S. dollar
[2:30:07.000 --> 2:30:09.000]  without being thrown into the gulag,
[2:30:09.000 --> 2:30:11.000]  which is not good for the U.S. dollar.
[2:30:11.000 --> 2:30:14.000]  And most countries are divesting out of the U.S. dollar.
[2:30:14.000 --> 2:30:17.000]  I thought the Russians have almost completely divested out
[2:30:17.000 --> 2:30:18.000]  of their sovereign wealth fund.
[2:30:18.000 --> 2:30:19.000]  What's going on there?
[2:30:19.000 --> 2:30:20.000]  They are out of the dollar.
[2:30:20.000 --> 2:30:22.000]  You know, they don't want any part of it.
[2:30:22.000 --> 2:30:23.000]  They don't want the censoring.
[2:30:23.000 --> 2:30:25.000]  They don't want to be part of the Swift system.
[2:30:25.000 --> 2:30:27.000]  They're building their own Swift system.
[2:30:27.000 --> 2:30:30.000]  They're going to be independent of the U.S. dollar hegemony.
[2:30:30.000 --> 2:30:32.000]  And other countries are following suit.
[2:30:32.000 --> 2:30:35.000]  China, obviously, Iran, that whole block of country,
[2:30:35.000 --> 2:30:38.000]  one belt, one road, which is the largest land-based kind
[2:30:38.000 --> 2:30:40.000]  of trading zone ever in the history of the world.
[2:30:40.000 --> 2:30:43.000]  It's about to go online with Iran, China, and Russia.
[2:30:43.000 --> 2:30:46.000]  And they want to have it all backed by something other than
[2:30:46.000 --> 2:30:47.000]  the U.S. dollar.
[2:30:47.000 --> 2:30:49.000]  And they want to get rid of Visa, Mastercard,
[2:30:49.000 --> 2:30:51.000]  all the U.S.-based payment systems.
[2:30:51.000 --> 2:30:53.000]  And I see what's happening in Latin America.
[2:30:53.000 --> 2:30:56.000]  Alex with El Salvador and Bitcoin, they made it legal tender.
[2:30:56.000 --> 2:30:59.000]  This is really the most significant story of 2021.
[2:30:59.000 --> 2:31:02.000]  In my view is El Salvador, Bukele, the president,
[2:31:02.000 --> 2:31:04.000]  made Bitcoin legal tender.
[2:31:04.000 --> 2:31:08.000]  And now, they're going to turn on their volcanoes to mine Bitcoin.
[2:31:08.000 --> 2:31:11.000]  They expect to make next year three quarters of a billion
[2:31:11.000 --> 2:31:13.000]  dollars mining Bitcoin.
[2:31:13.000 --> 2:31:15.000]  This is a country with a $20 billion GDP.
[2:31:15.000 --> 2:31:17.000]  And you predicted six months ago on the show.
[2:31:17.000 --> 2:31:21.000]  Two weeks ago, I said they're going to add triple their GDP
[2:31:21.000 --> 2:31:23.000]  in 10 years, right?
[2:31:23.000 --> 2:31:24.000]  You did say that.
[2:31:24.000 --> 2:31:26.000]  They're going to add a billion right now in mining.
[2:31:26.000 --> 2:31:30.000]  I said it right here to you for 10 years.
[2:31:30.000 --> 2:31:32.000]  I've been selling to buy Bitcoin.
[2:31:32.000 --> 2:31:33.000]  What have you said?
[2:31:33.000 --> 2:31:34.000]  What have you done?
[2:31:34.000 --> 2:31:36.000]  Finally, finally, you're on board.
[2:31:36.000 --> 2:31:37.000]  It's not too late.
[2:31:37.000 --> 2:31:38.000]  10 years.
[2:31:38.000 --> 2:31:39.000]  Let's go back.
[2:31:39.000 --> 2:31:40.000]  It's not too late.
[2:31:40.000 --> 2:31:41.000]  You said six months ago.
[2:31:41.000 --> 2:31:43.000]  You said once countries start moving to Bitcoin,
[2:31:43.000 --> 2:31:44.000]  it'll be a chain reaction.
[2:31:44.000 --> 2:31:45.000]  Yes.
[2:31:45.000 --> 2:31:47.000]  So why did China that was starting to adopt,
[2:31:47.000 --> 2:31:49.000]  they kind of got midway and then didn't?
[2:31:49.000 --> 2:31:50.000]  Right.
[2:31:50.000 --> 2:31:52.000]  Well, you wouldn't think China would do it because it's the
[2:31:52.000 --> 2:31:55.000]  highly top-down centralized dictatorship and they don't
[2:31:55.000 --> 2:31:57.000]  like something out of their control.
[2:31:57.000 --> 2:31:59.000]  And Bitcoin would be completely out of their control.
[2:31:59.000 --> 2:32:01.000]  What do you make of Charlie Munger coming out and saying,
[2:32:01.000 --> 2:32:04.000]  I want to arrest Americans like they did the head of Alibaba.
[2:32:04.000 --> 2:32:06.000]  I like communist China.
[2:32:06.000 --> 2:32:08.000]  Well, it shows you where their true allegiances are.
[2:32:08.000 --> 2:32:11.000]  Elon Musk came out and said that the news came out that he
[2:32:11.000 --> 2:32:15.000]  actually was asking the Chinese government to censor
[2:32:15.000 --> 2:32:17.000]  criticism of Tesla.
[2:32:17.000 --> 2:32:19.000]  So he's asking the Chinese government to engage in
[2:32:19.000 --> 2:32:23.000]  censorship in anti-Tesla tweets and social media posts.
[2:32:23.000 --> 2:32:24.000]  So that's Elon Musk.
[2:32:24.000 --> 2:32:26.000]  He's totally in the pocket of China.
[2:32:26.000 --> 2:32:29.000]  Charlie Munger exposed himself as being a traitorist.
[2:32:29.000 --> 2:32:33.000]  Aside from being a warrant, a Buffett's butt muncher,
[2:32:33.000 --> 2:32:36.000]  he is basically a traitor to the United States.
[2:32:36.000 --> 2:32:39.000]  And he came out and made that very clear to everybody with his
[2:32:39.000 --> 2:32:41.000]  comments in the last few days.
[2:32:41.000 --> 2:32:42.000]  So this is what we're up against.
[2:32:42.000 --> 2:32:44.000]  We're up against people in...
[2:32:44.000 --> 2:32:45.000]  Why do they love Charlie Munger?
[2:32:45.000 --> 2:32:47.000]  Why is he Bill Gates' lawyer?
[2:32:47.000 --> 2:32:49.000]  Why does Warren Buffett bow down to him?
[2:32:49.000 --> 2:32:50.000]  What the hell's up with this guy?
[2:32:50.000 --> 2:32:56.000]  No, he's always been Warren Buffett's toy boy for like 50 years.
[2:32:56.000 --> 2:32:59.000]  And that's been like the worst open secret in the history of
[2:32:59.000 --> 2:33:02.000]  finance of those two guys have been really very close,
[2:33:02.000 --> 2:33:04.000]  if you know what I mean, for a number of years.
[2:33:04.000 --> 2:33:05.000]  Oh, so they're married?
[2:33:05.000 --> 2:33:06.000]  Basically.
[2:33:06.000 --> 2:33:10.000]  And Warren throws Charlie a bone every now and then.
[2:33:10.000 --> 2:33:12.000]  He's worth a couple of billion dollars.
[2:33:12.000 --> 2:33:14.000]  Warren's worth a hundred and something billion dollars.
[2:33:14.000 --> 2:33:19.000]  So he's just like Warren's little pet that they get on and do stuff.
[2:33:19.000 --> 2:33:24.000]  But he is bitter because he was never Warren Buffett.
[2:33:24.000 --> 2:33:29.000]  He's just always been kind of the placenta to the Warren Buffett's baby.
[2:33:29.000 --> 2:33:31.000]  Usually they throw the placenta away,
[2:33:31.000 --> 2:33:34.000]  but in this case they let Charlie Munger live and he bleeds out
[2:33:34.000 --> 2:33:37.000]  the traitor's disgusting things and he's probably won't be around
[2:33:37.000 --> 2:33:40.000]  much longer and nobody's going to miss him.
[2:33:40.000 --> 2:33:43.000]  Well, I mean, this should be like he says,
[2:33:43.000 --> 2:33:44.000]  I want to be like China.
[2:33:44.000 --> 2:33:46.000]  I want to arrest everybody.
[2:33:46.000 --> 2:33:49.000]  I've already played the clip five times and he actually says it.
[2:33:49.000 --> 2:33:55.000]  Well, yeah, because first of all, if Charlie Munger did what he did
[2:33:55.000 --> 2:33:59.000]  with Warren to get rich here in America by gaming the system,
[2:33:59.000 --> 2:34:01.000]  by co-opting the integrity of banks,
[2:34:01.000 --> 2:34:06.000]  by getting bailed out at least five times in a major way,
[2:34:06.000 --> 2:34:11.000]  if he had done that in China, quite literally Alex, they would have shot him.
[2:34:11.000 --> 2:34:12.000]  Quite literally.
[2:34:12.000 --> 2:34:16.000]  China, when they find bankers that break the law like this,
[2:34:16.000 --> 2:34:20.000]  as Charlie Munger has done, they dispose of them completely
[2:34:20.000 --> 2:34:22.000]  and he would have been long, long gone.
[2:34:22.000 --> 2:34:25.000]  So I don't know what the hell he's talking about by lauding China in this way.
[2:34:25.000 --> 2:34:28.000]  He himself would have been strung up and beaten to death
[2:34:28.000 --> 2:34:33.000]  if he did what he did in America, if he did it in China.
[2:34:33.000 --> 2:34:34.000]  Why do you think we see...
[2:34:34.000 --> 2:34:35.000]  Am I going too fast?
[2:34:35.000 --> 2:34:36.000]  No, no.
[2:34:36.000 --> 2:34:37.000]  I mean, I can slow it down.
[2:34:37.000 --> 2:34:38.000]  I can interrupt you a lot of your life.
[2:34:38.000 --> 2:34:41.000]  You're usually, you know, a lot more on the ball.
[2:34:41.000 --> 2:34:46.000]  I mean, tomorrow night is the FELON event at the Spider House ballroom
[2:34:46.000 --> 2:34:47.000]  right here in Austin.
[2:34:47.000 --> 2:34:49.000]  It doors open at five o'clock.
[2:34:49.000 --> 2:34:52.000]  I've got like two or three tickets left on the website to sell
[2:34:52.000 --> 2:34:53.000]  and that's it.
[2:34:53.000 --> 2:34:55.000]  There's 250 people.
[2:34:55.000 --> 2:34:58.000]  You just want a thousand people showing up to not get any out.
[2:34:58.000 --> 2:34:59.000]  It's capped out at 250.
[2:34:59.000 --> 2:35:00.000]  Let's just stop.
[2:35:00.000 --> 2:35:01.000]  Then you capacity.
[2:35:01.000 --> 2:35:02.000]  I can still...
[2:35:02.000 --> 2:35:03.000]  I'm never stopping.
[2:35:03.000 --> 2:35:04.000]  You can't censor me.
[2:35:04.000 --> 2:35:05.000]  All right.
[2:35:05.000 --> 2:35:06.000]  You're right.
[2:35:06.000 --> 2:35:07.000]  I'm just sure running circles around me.
[2:35:07.000 --> 2:35:08.000]  I will...
[2:35:08.000 --> 2:35:09.000]  Listen, you ask for it.
[2:35:09.000 --> 2:35:10.000]  I will interrupt you.
[2:35:10.000 --> 2:35:11.000]  Oh, all right.
[2:35:11.000 --> 2:35:12.000]  You...
[2:35:12.000 --> 2:35:14.000]  I'm pretty good at it.
[2:35:14.000 --> 2:35:15.000]  You're right.
[2:35:15.000 --> 2:35:16.000]  I stand corrected.
[2:35:16.000 --> 2:35:17.000]  What am I talking about?
[2:35:17.000 --> 2:35:18.000]  Do you want me to interrupt a lot?
[2:35:18.000 --> 2:35:19.000]  No.
[2:35:19.000 --> 2:35:20.000]  I...
[2:35:20.000 --> 2:35:21.000]  Hold on.
[2:35:21.000 --> 2:35:22.000]  Hold on.
[2:35:22.000 --> 2:35:23.000]  Hold on.
[2:35:23.000 --> 2:35:25.000]  I want to make a point here.
[2:35:25.000 --> 2:35:26.000]  All right.
[2:35:26.000 --> 2:35:27.000]  You want to start interrupting?
[2:35:27.000 --> 2:35:29.000]  I'm kind of known for that.
[2:35:29.000 --> 2:35:30.000]  Please.
[2:35:30.000 --> 2:35:31.000]  I don't know what I was saying just then.
[2:35:31.000 --> 2:35:35.000]  I should have been praising the Lord that I was able to get a whole
[2:35:35.000 --> 2:35:37.000]  sentence in uninterrupted.
[2:35:37.000 --> 2:35:39.000]  I don't know what was wrong with me.
[2:35:39.000 --> 2:35:40.000]  Well, keep going then.
[2:35:40.000 --> 2:35:41.000]  Where's Daria?
[2:35:41.000 --> 2:35:43.000]  She's the one who's the brains of the operations.
[2:35:43.000 --> 2:35:44.000]  She had a baby.
[2:35:44.000 --> 2:35:45.000]  She's at home.
[2:35:45.000 --> 2:35:46.000]  Okay.
[2:35:46.000 --> 2:35:47.000]  Let's start over.
[2:35:47.000 --> 2:35:48.000]  I'm fine.
[2:35:48.000 --> 2:35:49.000]  Seriously.
[2:35:49.000 --> 2:35:51.000]  What would you call this period in world history right now?
[2:35:51.000 --> 2:35:52.000]  It's the end.
[2:35:52.000 --> 2:35:54.000]  It's called a Thucydides trap.
[2:35:54.000 --> 2:35:57.000]  And there's been, I think, 13 of them in history.
[2:35:57.000 --> 2:36:00.000]  It's when one major power gives way to another major power.
[2:36:00.000 --> 2:36:04.000]  And almost all of them, except for two, have been violent.
[2:36:04.000 --> 2:36:08.000]  This is America giving up power their empire to China.
[2:36:08.000 --> 2:36:11.000]  According to a lot of people that we talked to for a number of years,
[2:36:11.000 --> 2:36:14.000]  China really is the superpower in the world today.
[2:36:14.000 --> 2:36:15.000]  America's no longer the superpower.
[2:36:15.000 --> 2:36:17.000]  And it was all done by one side of trade deals and everyone's
[2:36:17.000 --> 2:36:18.000]  shopping at Walmart.
[2:36:18.000 --> 2:36:21.000]  It was all started with Bill Clinton and the World Trade
[2:36:21.000 --> 2:36:24.000]  Association and shipping all of our factories to China.
[2:36:24.000 --> 2:36:28.000]  And they, therefore, inherited all of this specialization and
[2:36:28.000 --> 2:36:31.000]  knowledge that comes with being the world's manufacturing hub.
[2:36:31.000 --> 2:36:34.000]  We don't have those high-paid manufacturing jobs.
[2:36:34.000 --> 2:36:35.000]  And think about this.
[2:36:35.000 --> 2:36:38.000]  China's GDP in the last 12 months is up 18%.
[2:36:38.000 --> 2:36:41.000]  America, I think, is flat, maybe up 1%.
[2:36:41.000 --> 2:36:44.000]  That's because all the stimulus money we printed went to China.
[2:36:44.000 --> 2:36:45.000]  That's right.
[2:36:45.000 --> 2:36:48.000]  Instead, we learned that we're racist and we're bad and America's bad.
