[00:00:18.334 --> 00:00:20.135]  It's Monday, January 25th.
[02:31:28.154 --> 02:31:30.716]  The internet, they're trying to totally censor us.
[02:31:30.716 --> 02:31:34.780]  And that's why InfoWars is still in the fight, because we knew this was coming.
[02:31:34.780 --> 02:31:35.901]  We told you this was coming.
[02:31:35.901 --> 02:31:41.406]  We were the first main target, and we're still on air at InfoWars.com and NewsWars.com and BandOnVideo.
[02:31:42.106 --> 02:31:46.111]  Without your word of mouth, without your prayer, without your financial support, we can't stay on air.
[02:31:46.111 --> 02:31:53.458]  So while you still can, go to MFORSTORE.COM and get storable foods and high-quality products, supplements, you name it, at MFORSTORE.COM.
[02:31:54.560 --> 02:31:59.101]  Introducing InfoWars Life Pure Turmeric Extract.
[02:31:59.101 --> 02:32:01.642]  This is taken under the tongue.
[02:32:01.642 --> 02:32:03.843]  It is pure turmeric.
[02:32:03.843 --> 02:32:13.046]  It goes together very well with our body's ultimate turmeric formula that is taken as a powdered capsule and absorbed in the stomach and intestines.
[02:32:13.046 --> 02:32:18.887]  This is absorbed under the tongue into the bloodstream and then the remaining also is then absorbed by the stomach.
[02:32:18.887 --> 02:32:21.048]  So it's more of an intense delivery system.
[02:32:21.508 --> 02:32:24.729]  The two formulas are different, but both are concentrates.
[02:32:24.729 --> 02:32:26.570]  And our first product got rave reviews.
[02:32:26.570 --> 02:32:28.691]  We've now been testing this out for several months.
[02:32:28.691 --> 02:32:30.872]  Some of our staff like it more than bodies.
[02:32:30.872 --> 02:32:32.232]  Some like bodies better.
[02:32:32.232 --> 02:32:36.374]  For me, they're both amazing for their anti-inflammatory action and so much more.
[02:32:36.374 --> 02:32:37.554]  And they fund the InfoWare.
[02:32:37.554 --> 02:32:42.176]  So get our new liquid turmeric extract exclusively at InfoWareStore.com today.
[02:32:42.176 --> 02:32:42.917]  An additional 25% off.
[02:32:42.917 --> 02:32:43.397]  This is a 360 win.
[02:32:46.678 --> 02:32:51.766]  Turmeric is renowned for what it does for all of our bodies, for inflammation and so much more.
[02:32:51.766 --> 02:32:57.595]  Get yours today at InfoWarsLife.com.
[02:32:57.595 --> 02:33:00.199]  You're listening to the Alex Jones Show!
[02:33:19.830 --> 02:33:21.431]  What a time to be alive.
[02:33:21.431 --> 02:33:22.531]  Fighting for the Republic.
[02:33:22.531 --> 02:33:27.354]  I'm gonna be back hosting the War Room coming up 3 to 6 p.m.
[02:33:27.354 --> 02:33:28.975]  Central.
[02:33:28.975 --> 02:33:30.756]  So I'm gonna take some more phone calls here.
[02:33:30.756 --> 02:33:32.577]  We have a special report from Alex Jones.
[02:33:32.577 --> 02:33:35.218]  Gerald Solante then takes over.
[02:33:35.218 --> 02:33:36.979]  So we do have some other news developing.
[02:33:36.979 --> 02:33:40.641]  I will get to that, covering that news on the War Room today.
[02:33:40.641 --> 02:33:42.842]  But I want to go back to the first-time callers now.
[02:33:44.512 --> 02:33:48.455]  And we go to Dave in Kansas.
[02:33:48.455 --> 02:33:49.556]  You're on the Alex Jones Show.
[02:33:49.556 --> 02:33:51.557]  Dave, go ahead.
[02:33:51.557 --> 02:33:53.759]  Yeah, thanks for letting me in.
[02:33:53.759 --> 02:34:00.464]  People in power for over 40 years are blaming all the problems of the United States on Trump.
[02:34:00.464 --> 02:34:09.831]  With the organizational power that InfoWars has, can it be mobilized like the Stop the Steal to help bypass Congress to get term limits?
[02:34:09.831 --> 02:34:11.612]  So much power in Congress
[02:34:12.481 --> 02:34:16.142]  So that too much Congress and power is limited.
[02:34:16.142 --> 02:34:21.643]  Most of the people I know would really like to see term limits, but have no organizations to make it happen.
[02:34:21.643 --> 02:34:25.884]  China Joe would be irrelevant if term limits existed.
[02:34:25.884 --> 02:34:30.825]  Pelosi, Schumer, all of those would be totally irrelevant.
[02:34:30.825 --> 02:34:38.426]  And it would be much harder for the deep state to gain control over our Congress if term limits were involved.
[02:34:39.565 --> 02:34:42.827]  Well, I'm not really sure what InfoWars would do about that.
[02:34:42.827 --> 02:34:47.910]  I mean, if anything, if we tried to spearhead that, they would just demonize it and hate it even more.
[02:34:47.910 --> 02:34:50.472]  I know Republicans have pushed for that.
[02:34:50.472 --> 02:34:53.033]  In the past, Democrats have pushed for it.
[02:34:53.033 --> 02:35:01.939]  So, I'm not really sure what InfoWars would do organizationally to implement something like that.
[02:35:01.939 --> 02:35:08.003]  The reason I talk to you about it, you can get a million people to come for Stop the Steal.
[02:35:08.897 --> 02:35:25.527]  If we had a rally in Austin, in Dallas, wherever, to get people to sign that form and get it delivered so that the legislatures would have to deal with it and have to put it on the ballot.
[02:35:25.527 --> 02:35:30.089]  Yeah, in fact, there is a petition that's already live right now.
[02:35:30.089 --> 02:35:31.210]  Guys, where is this?
[02:35:31.210 --> 02:35:33.111]  Term limits on Congress petition.
[02:35:36.129 --> 02:35:39.152]  I can't see where that's at, but it's a petition.
[02:35:39.152 --> 02:35:41.093]  So the petition already exists.
[02:35:41.093 --> 02:35:53.785]  We're in kind of a powder keg of free speech activity right now, where any free speech, any organizing like you're proposing is right for a false flag.
[02:35:53.785 --> 02:35:58.288]  So I think that the day will come when we have to get back out on the streets, maybe sooner than later.
[02:35:58.288 --> 02:36:03.313]  But we're going to have to have a serious discussion about how we approach that.
[02:36:04.608 --> 02:36:24.919]  Knowing how we were set up on the 6th, and knowing how they want to set us up in the future, my goal is to unite with the anti-establishment left as much as we have, or I guess even if we have nothing in common politically, I would rather unite with the left to defeat the New World Order than be fighting with the left to be defeated by the New World Order.
[02:36:24.919 --> 02:36:30.363]  So then maybe if you could do something like that, it could ease a little bit, because most of that is just going to be the left trying to set us up.
[02:36:32.643 --> 02:36:34.364]  Yeah, term limits would be nice.
[02:36:34.364 --> 02:36:41.987]  You wouldn't have the rotting corpses that have enriched themselves with the tunes of hundreds of millions of dollars like Pelosi and Biden there if you did.
[02:36:41.987 --> 02:36:51.151]  I'm just not sure if InfoWars really is the one to spearhead that, but there are already groups doing that and petitions are out there, so go sign those and share those.
[02:36:51.151 --> 02:36:52.832]  If you really want to see that, get somewhere.
[02:36:52.832 --> 02:36:54.353]  Dave, thanks for the call.
[02:36:54.353 --> 02:36:57.574]  Let's go to Devin in Ohio.
[02:36:57.574 --> 02:36:59.655]  Devin, you're on the Alex Jones Show.
[02:36:59.655 --> 02:37:01.136]  Go ahead.
[02:37:01.136 --> 02:37:01.396]  Hi, Owen.
[02:37:02.394 --> 02:37:03.155]  Thanks for taking my call.
[02:37:03.155 --> 02:37:05.717]  I wanted to let you know.
[02:37:05.717 --> 02:37:07.118]  So I'm a senior in high school.
[02:37:07.118 --> 02:37:11.281]  A lot of people my age, including myself, use Instagram.
[02:37:11.281 --> 02:37:16.485]  One of the first things I did after the election was unfollow the White House account.
[02:37:16.485 --> 02:37:22.070]  And so the next day, it pops up in my feed, and it says I'm following it again.
[02:37:22.070 --> 02:37:23.351]  And I didn't follow it again.
[02:37:23.351 --> 02:37:25.212]  So I was like, okay, that's weird.
[02:37:25.212 --> 02:37:26.994]  About a week passes.
[02:37:26.994 --> 02:37:28.875]  I unfollow it again.
[02:37:28.875 --> 02:37:30.056]  I've been unfollowing it for a while.
[02:37:31.027 --> 02:37:34.109]  And it comes in my feed again and says I'm following it.
[02:37:34.109 --> 02:37:39.332]  And so I was at work scrolling through my feed yesterday when I was on break.
[02:37:39.332 --> 02:37:42.494]  And it said I was following it again, even though I keep on following it.
[02:37:42.494 --> 02:37:44.456]  So I go to the comments.
[02:37:44.456 --> 02:37:46.497]  And it was like this.
[02:37:46.497 --> 02:37:53.201]  The thing that popped in my feed was like a video of Fauci saying please wear a mask, so I went to the comments just about every other comment.
[02:37:53.201 --> 02:37:55.522]  Where people saying why can't I follow this account?
[02:37:55.522 --> 02:37:56.403]  Why does it keep?
[02:37:56.403 --> 02:37:57.824]  So I think Instagram is.
[02:37:59.112 --> 02:38:02.142]  Faking followers for Biden's White House account.
[02:38:03.029 --> 02:38:03.689]  Yeah, absolutely.
[02:38:03.689 --> 02:38:08.990]  We have the story and the screenshots at InfoWars.com on this exact story.
[02:38:08.990 --> 02:38:13.671]  I was getting inundated with messages, I guess it was Sunday morning, saying the same thing.
[02:38:13.671 --> 02:38:14.892]  And it's not only Instagram, folks.
[02:38:14.892 --> 02:38:29.175]  They're not only forcing people to follow the White House on Instagram to make Biden seem popular, they are disabling comments on YouTube because all the comments are calling Joe Biden a pedophile, saying that he didn't win the election and Trump won, so they just cancelled the comments.
[02:38:30.083 --> 02:38:37.444]  And then they're also removing the dislikes from the Biden speeches as well, because it was like 10 to 1 dislikes to likes.
[02:38:37.444 --> 02:38:41.365]  So, Biden is the most unpopular person to ever be in the White House.
[02:38:41.365 --> 02:38:53.608]  The Biden-Harris administration is already the most unpopular, and they haven't even been in for a month, but they've done so much damage to this country, so much damage to their own reputation, just proven liars and frauds at this point.
[02:38:53.608 --> 02:38:55.128]  So, in a way, it's a good thing.
[02:38:55.948 --> 02:39:08.559]  That Americans are waking up and having voters remorse with how bad Biden is and how flippant they are in their censorship and their manipulation of perceived reality.
[02:39:08.559 --> 02:39:13.323]  So, you know, where do they go next?
[02:39:13.323 --> 02:39:16.906]  They'll make you watch a Biden speech next because literally nobody watches it.
[02:39:16.906 --> 02:39:19.428]  They'll say, you have to watch a Biden speech or we'll arrest you.
[02:39:19.428 --> 02:39:20.329]  Devin, thanks for the call.
[02:39:21.513 --> 02:39:24.114]  Let's go to Tyler in North Carolina.
[02:39:24.114 --> 02:39:25.935]  Tyler, you're on the Alex Jones Show.
[02:39:25.935 --> 02:39:27.716]  Go ahead.
[02:39:27.716 --> 02:39:29.737]  Oh, I appreciate you taking the time, man.
[02:39:29.737 --> 02:39:32.458]  You're the reason I started watching InfoWars.
[02:39:32.458 --> 02:39:35.580]  I got a phone call from a wife a little bit ago.
[02:39:35.580 --> 02:39:37.381]  She's a therapist at a rehab center.
[02:39:37.381 --> 02:39:39.202]  I'll just leave it at that.
[02:39:39.202 --> 02:39:45.565]  So, according to their corporate policy, now this is a company that manages facilities across the country.
[02:39:47.210 --> 02:39:56.716]  If you do not take a COVID vaccine, they are no longer going to allow you to use PTO time that you approve to be off work when you're sick.
[02:39:56.716 --> 02:40:01.879]  Now, my wife is four months pregnant and they're trying to pressure her into a vaccine.
[02:40:01.879 --> 02:40:06.741]  People really have to start waking up to the fact of what we're in and where we're headed.
[02:40:06.741 --> 02:40:12.285]  So, her facility does rapid tests, which we all know are inaccurate, every day.
[02:40:12.285 --> 02:40:16.367]  So, what happens when she comes in one day and it tests positive?
[02:40:16.900 --> 02:40:23.507]  Now whether she's sick or not and they send her home for a mandatory two weeks that she cannot get time off for.
[02:40:23.507 --> 02:40:26.270]  They only hold her job for six weeks.
[02:40:26.270 --> 02:40:29.613]  All they have to do is give her three positive tests and she no longer has a job.
[02:40:33.669 --> 02:40:36.290]  Yeah, I mean, it's a horrible situation.
[02:40:36.290 --> 02:40:48.255]  This is the medical tyranny, and of course it's being rolled out to the medical industry first to indoctrinate them into it so that then they have that implied pressure to bring everybody else into the system.
[02:40:48.255 --> 02:40:51.016]  That's basic psychology.
[02:40:51.016 --> 02:40:51.556]  100%.
[02:40:51.556 --> 02:41:00.280]  And another thing I want you guys to read into, I've never heard you cover it on the show, have you read into blue walls in the new Green Deal?
[02:41:00.280 --> 02:41:02.001]  Blue walls?
[02:41:02.001 --> 02:41:02.681]  Blue walls.
[02:41:03.311 --> 02:41:04.991]  No.
[02:41:04.991 --> 02:41:08.632]  OK, so they're actually talking about this in Italy already.
