[00:00:09.608 --> 00:00:13.493]  He's pounding down, loaded up and trucking.
[02:04:28.419 --> 02:04:32.562]  Or is there another ripple to come of this story?
[02:04:32.562 --> 02:04:34.783]  Real quick, we'll take your calls on the other side.
[02:04:34.783 --> 02:04:39.726]  Doug Jones gets sworn in today, as well as Tina Smiths from Minnesota.
[02:04:39.726 --> 02:04:44.870]  So 51-49 is now the Republican advantage in the Senate.
[02:04:44.870 --> 02:04:49.913]  So what happens to Roy Moore's lawsuit about the election fraud in Alabama?
[02:04:49.913 --> 02:04:50.593]  Not sure.
[02:04:50.593 --> 02:04:52.715]  Doug Jones, sworn in today.
[02:04:56.474 --> 02:05:00.855]  Fuel your body with Carnivore, the new digestive enzyme product by InfoWars Life.
[02:05:00.855 --> 02:05:08.958]  Digestive enzymes assist in the digestion process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[02:05:08.958 --> 02:05:14.240]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[02:05:14.240 --> 02:05:16.781]  Digestive enzyme production declines as we age.
[02:05:16.781 --> 02:05:21.002]  Carnivore is filled with digestive enzymes like those naturally present in the body.
[02:05:21.002 --> 02:05:23.423]  Enjoy the full potential of protein-rich foods again.
[02:05:24.127 --> 02:05:31.352]  You can eat protein-heavy foods now, while minimizing the later indigestion and discomfort commonly associated with high-meat diets.
[02:05:31.352 --> 02:05:38.538]  Just one pill with every high-protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[02:05:39.418 --> 02:05:46.606]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates so you can fully digest all types of meals.
[02:05:46.606 --> 02:05:48.068]  Don't let a meal go to waste.
[02:05:48.068 --> 02:05:50.711]  Use Carnivore by InfoWars Life.
[02:05:50.711 --> 02:05:54.195]  Head to InfoWarsLife.com and secure your bottle now.
[02:05:54.195 --> 02:05:55.917]  That's InfoWarsLife.com
[02:06:10.771 --> 02:06:12.512]  We're about to go to the phone lines here.
[02:06:12.512 --> 02:06:20.336]  You can call in 888-201-2244, 888-201-2244, Steve Bannon, the Clinton's house on fire, global warming, whatever you want to talk about today.
[02:06:20.336 --> 02:06:23.157]  Real quick before we go to the phone lines, I want to take a second
[02:06:40.856 --> 02:06:44.710]  To say happy birthday to Seth Rich.
[02:06:46.013 --> 02:06:52.597]  Seth Rich would have been 28 years old today had he not been murdered July 10, 2016.
[02:06:52.597 --> 02:07:10.088]  It is widely believed that Seth Rich was a WikiLeaks source and a Guccifer 2.0 source to expose the corruption inside the Democrat Party, specifically when it comes to rigging elections and covering up crimes.
[02:07:10.088 --> 02:07:11.329]  Seth Rich murdered
[02:07:12.313 --> 02:07:19.818]  On January, or excuse me, July 10, 2016, today would have been his 28th birthday.
[02:07:19.818 --> 02:07:36.450]  And that's an interesting little matzo ball that still sits out there in this crazy world we currently live in, where some of these investigations are now spinning back and being aimed at the Clinton campaign, the Barack Obama administration.
[02:07:37.728 --> 02:07:39.449]  Hey, what's going on, Owen?
[02:07:55.055 --> 02:07:56.476]  Oh man, two quick things.
[02:07:56.476 --> 02:08:00.499]  One, why can't I listen to your show on the InfoWars Live app?
[02:08:00.499 --> 02:08:03.081]  It always just recycles over to Alex's.
[02:08:03.081 --> 02:08:04.902]  Huge fan of y'all's, by the way.
[02:08:04.902 --> 02:08:06.523]  What's up, Alex?
[02:08:06.523 --> 02:08:09.545]  Two, I have an awesome t-shirt idea for y'all.
[02:08:09.545 --> 02:08:12.927]  It says, if you're still a Trump hater, let me have your extra paper.
[02:08:12.927 --> 02:08:17.410]  You can do the Trump T, like with your t-shirt there, with the hat on, or with the hair on.
[02:08:17.410 --> 02:08:19.712]  I think that'd be awesome.
[02:08:19.712 --> 02:08:24.035]  Yeah, yeah, if you don't like your tax cut, I'll take that extra, I'll take that money from you.
[02:08:24.497 --> 02:08:25.777]  Right, exactly.
[02:08:25.777 --> 02:08:31.799]  I could use it, but I wanted to talk on the weather change, man.
[02:08:31.799 --> 02:08:50.524]  So I live down here in Houston, and I'm sure you're familiar with chemtrails, but to me it seems like whenever Trump took office and did his climate executive order, what was that, back in March, it seemed like some of the chemtrails, at least the majority of the chemtrails, have seemed to go away.
[02:08:51.264 --> 02:09:07.617]  Now, if that's into HAARP and cloud seeding and all that fun stuff, I think that the climate is actually acting the way that it was supposed to before we started injecting it with all this aluminum and the chemtrails and all that stuff.
[02:09:07.617 --> 02:09:10.479]  I just wanted to see what your thoughts on that would be.
[02:09:10.479 --> 02:09:12.460]  That's actually an interesting angle.
[02:09:12.460 --> 02:09:16.684]  You're not the first person that I've heard notice that and even report on that.
[02:09:16.684 --> 02:09:19.586]  There's other people that have said that they've noticed the same thing.
[02:09:21.340 --> 02:09:29.803]  You know, Geoengineering Watch, their website would probably be a great source to actually track that information to know if it's accurate or not.
[02:09:29.803 --> 02:09:36.605]  I don't want to comment on the amount of chemtrails before and after Trump because I just don't have enough information aggregated to say so.
[02:09:38.206 --> 02:09:45.328]  I mean, I guess it's fair to say, I mean, it is fair to say that the weather, I mean, has been different since he became president.
[02:09:45.328 --> 02:09:52.391]  I mean, you had the massive hurricane season, and you have this freak winter season, so maybe there's something to that.
[02:09:52.391 --> 02:09:56.332]  I just don't have the information to report on that.
[02:09:56.332 --> 02:09:57.012]  Well, I got you, man.
[02:09:57.012 --> 02:09:58.953]  Well, I appreciate you taking my call, man.
[02:09:58.953 --> 02:09:59.473]  Y'all take it easy.
[02:10:00.242 --> 02:10:01.543]  Alright David, thank you so much.
[02:10:01.543 --> 02:10:06.786]  Let's go to Victor, calling in from Florida, where they don't normally get snow, but they are today.
[02:10:06.786 --> 02:10:07.447]  What's up, Victor?
[02:10:07.447 --> 02:10:14.512]  Hey, well I'm not here in South Florida, but up north I guess in Dallas, but by Tallahassee they did I guess.
[02:10:14.512 --> 02:10:17.674]  Well I saw it on the local news and I'm glad that you just said that because
[02:10:18.394 --> 02:10:24.222]  I saw some commercials for the local news that they try to make themselves, they kind of separate themselves.
[02:10:24.222 --> 02:10:27.607]  Now this is CBS, NBC, local news.
[02:10:27.607 --> 02:10:34.977]  They try to kind of create a wedge between them and the mainstream like NBC and MSNBC and CNN.
[02:10:35.738 --> 02:10:36.719]  You're talking about what happened?
[02:10:52.438 --> 02:10:53.979]  Yeah, yeah.
[02:10:53.979 --> 02:10:54.819]  I'm not going to read it.
[02:10:54.819 --> 02:10:55.580]  I'm not.
[02:10:55.580 --> 02:10:59.321]  I don't care to read that garbage.
[02:10:59.321 --> 02:11:12.708]  But I was thinking if anyone has read it and anyone that is like one of those analysts on the CIA NSA that for every 10 words, they pick one word and then kind of puzzle things together.
[02:11:12.708 --> 02:11:13.068]  I don't know.
[02:11:13.068 --> 02:11:19.971]  I may sound like a big conspiracy theorist right now, but maybe she wrote it to kind of give everyone like that is
[02:11:29.769 --> 02:11:31.250]  Well, here's the thing.
[02:11:31.250 --> 02:11:38.215]  I don't think, A, that she wrote it, so I'm not really sure if she even knows what happened.
[02:11:38.215 --> 02:11:42.278]  I mean, you know, she doesn't even know what's happening, so I don't know about that.
[02:11:42.278 --> 02:11:44.340]  As far as them having to stay on message,
[02:11:45.393 --> 02:11:48.554]  I think that they pretty much would already know what to do with that.
[02:11:48.554 --> 02:11:50.934]  They wouldn't necessarily need the book.
[02:11:50.934 --> 02:12:00.136]  But I guess if they're worried about some sort of communication issue, perhaps they think they can put out little messages in the book to try to keep all of their minions on the same page.
[02:12:00.136 --> 02:12:06.798]  But another reason why she writes that book is because she was so embarrassed by the lost... Well, quote-unquote, writes the book.
[02:12:06.798 --> 02:12:07.558]  I mean, let's be clear.
[02:12:07.558 --> 02:12:08.738]  I don't think Hillary wrote a word.
[02:12:09.864 --> 02:12:15.128]  She actually had to cover her own skin and make excuses for why she lost.
[02:12:15.128 --> 02:12:18.170]  She was the heavy favorite, according to the fake news.
[02:12:18.170 --> 02:12:21.493]  She had all the big donors.
[02:12:21.493 --> 02:12:22.954]  She let all the elite down.
[02:12:22.954 --> 02:12:24.435]  She was the elitist candidate.
[02:12:24.435 --> 02:12:26.196]  She was the big donor candidate.
[02:12:26.196 --> 02:12:28.098]  She let them all down.
[02:12:28.098 --> 02:12:30.159]  So her writing that book was kind of her like...
[02:12:31.440 --> 02:12:32.501]  Don't blame me!
[02:12:32.501 --> 02:12:33.741]  Look at everything that happened!
[02:12:33.741 --> 02:12:35.723]  It wasn't my fault, big donors!
[02:12:35.723 --> 02:12:39.425]  It wasn't my fault, 1.5 billion dollar presidential campaign!
[02:12:39.425 --> 02:12:40.345]  Look at what happened!
[02:12:40.345 --> 02:12:41.306]  It wasn't my fault!
[02:12:43.095 --> 02:12:43.956]  Yeah, that's true.
[02:12:43.956 --> 02:12:47.337]  I can definitely see that.
[02:12:47.337 --> 02:12:47.977]  Who knows?
[02:12:47.977 --> 02:12:49.838]  I'm just glad she's not president.
[02:12:49.838 --> 02:12:52.899]  I was born outside of this country.
[02:12:52.899 --> 02:12:55.540]  I'm actually a legal immigrant to the United States.
[02:12:55.540 --> 02:12:58.621]  My whole entire family came here legally.
[02:12:58.621 --> 02:13:02.143]  Me and my brother, we both support Donald Trump.
[02:13:02.143 --> 02:13:05.384]  My parents, they're kind of getting around to it, to be honest.
[02:13:06.252 --> 02:13:19.481]  You know, as most Latinos, you kind of are brought up in this kind of thing where, you know, Republicans are only for the rich and, you know, just the typical stuff that the Democrats feed the minority.
[02:13:19.481 --> 02:13:25.425]  But you're saying with the results that they've seen from President Trump so far, they're kind of coming around to President Trump?
[02:13:26.241 --> 02:13:32.903]  Yeah, they definitely see that, you know, all the stuff is being distorted and they listen to that.
[02:13:32.903 --> 02:13:36.424]  And I think that's about to be a huge story for 2018.
[02:13:36.424 --> 02:13:48.248]  A lot of these people that have fallen for the fake news talking point start to realize that they were inaccurate, they weren't right, and now they're actually seeing the impact of a President Trump on their daily lives.
[02:13:48.248 --> 02:13:50.589]  Maybe it's safer in their community now.
[02:13:50.589 --> 02:13:54.710]  Maybe they got a pay raise, a bonus, less taxes being paid.
[02:13:55.450 --> 02:14:01.912]  People are going to start to see the results of President Trump manifest in their own lives, and if they hated Trump before, they might come around.
[02:14:01.912 --> 02:14:04.233]  Sounds like that might be happening in Victor's household.
[02:14:04.233 --> 02:14:05.514]  Thank you so much for the call, Victor.
[02:14:05.514 --> 02:14:07.955]  Let's go to John in Tennessee.
[02:14:07.955 --> 02:14:08.635]  Go ahead, John.
[02:14:08.635 --> 02:14:13.076]  Hey, I was going in for two things.
[02:14:13.076 --> 02:14:20.139]  One, real quick, I think you, Rob, and Roger need to get together and find y'all's five favorite ties.
[02:14:20.808 --> 02:14:23.531]  Okay, so basically you're saying InfoWars needs a line of ties?
[02:14:23.531 --> 02:14:24.292]  I like that idea.
[02:14:24.292 --> 02:14:25.053]  I am a big fan of that.
[02:14:39.827 --> 02:14:44.748]  So maybe there's someone listening right now that maybe put something like that into the works.
[02:14:44.748 --> 02:14:46.428]  Hey, I do have this new story.
[02:14:46.428 --> 02:14:48.089]  Manufacturing in the U.S.
[02:14:48.089 --> 02:14:52.010]  just accelerated to its best year since 2004.
[02:14:52.010 --> 02:14:53.910]  So there's another Trump nugget there.
