[00:00.000 --> 00:11.600]  It's the most wonderful time of the year.
[02:20:50.360 --> 02:20:53.040]  how polarized our country has become.
[02:20:53.040 --> 02:20:56.560]  And I know mainstream media has played a major role
[02:20:56.560 --> 02:20:58.480]  because it's by design.
[02:20:58.480 --> 02:21:01.160]  It is this divide and conquerors by design.
[02:21:01.160 --> 02:21:04.400]  I mean, we just talked about the new American jihadis,
[02:21:04.400 --> 02:21:05.720]  the Antifa group.
[02:21:05.720 --> 02:21:07.880]  But do you see mainstream media covering them?
[02:21:07.880 --> 02:21:09.280]  No.
[02:21:09.280 --> 02:21:12.360]  I have had people actually issuing threats
[02:21:12.360 --> 02:21:16.160]  because I came on your show, it was a couple of weeks ago.
[02:21:16.160 --> 02:21:19.720]  Emails, actually, I had some members of our community,
[02:21:19.720 --> 02:21:23.600]  subscribers who said, you are going on info wars.
[02:21:23.600 --> 02:21:26.080]  That means you have become, this is me, okay?
[02:21:26.080 --> 02:21:30.000]  You have become the neo-Nazi skinhead, right wing.
[02:21:30.000 --> 02:21:32.040]  I mean, they called all sorts of names,
[02:21:32.040 --> 02:21:35.360]  but you know what, for every 20 I lost, I gained 40.
[02:21:35.360 --> 02:21:38.040]  It's not about that, but I would like to go on record.
[02:21:38.040 --> 02:21:39.920]  Well, you said it's a new climate of intimidation.
[02:21:39.920 --> 02:21:43.280]  We have been, you have had me the first time,
[02:21:43.280 --> 02:21:45.040]  it was 2005, 2006.
[02:21:45.040 --> 02:21:47.400]  And this was when I had the gag orders,
[02:21:47.400 --> 02:21:51.160]  nobody in mainstream media, nobody was willing to touch.
[02:21:51.160 --> 02:21:53.200]  Nobody was willing to touch me.
[02:21:53.200 --> 02:21:54.440]  Okay, guess what?
[02:21:54.440 --> 02:21:57.200]  My case was covered through your channel.
[02:21:57.200 --> 02:21:59.200]  And I greatly appreciated that, okay?
[02:21:59.200 --> 02:22:00.800]  And it helps it break out and get really big.
[02:22:00.800 --> 02:22:02.800]  But you know what I appreciated the most?
[02:22:02.800 --> 02:22:05.640]  There were some so-called media outlets
[02:22:05.640 --> 02:22:08.080]  during Bush administration, and they were liberal,
[02:22:08.080 --> 02:22:11.360]  and just to get back at Republicans they had me on.
[02:22:11.360 --> 02:22:13.880]  The moment Obama administration came on,
[02:22:13.880 --> 02:22:17.000]  and I started independently criticizing Obama,
[02:22:17.000 --> 02:22:19.520]  I was a whistleblower during Bush administration,
[02:22:19.520 --> 02:22:22.600]  I started criticizing Obama administration, okay?
[02:22:22.600 --> 02:22:24.320]  The man who broke so many laws,
[02:22:24.320 --> 02:22:27.720]  but he got Nobel Peace Prize, transparency award,
[02:22:27.720 --> 02:22:30.560]  the only president who jailed whistleblowers.
[02:22:30.560 --> 02:22:33.240]  But what I'm saying is you covered our whistleblowers
[02:22:33.240 --> 02:22:36.640]  because my organization has 150 national security
[02:22:36.640 --> 02:22:39.360]  whistleblowers, NSA, FBI, DEA,
[02:22:39.360 --> 02:22:41.960]  you always provided platform for them,
[02:22:41.960 --> 02:22:44.040]  saying, yes, I'll have you on my guest,
[02:22:44.040 --> 02:22:46.200]  whether it was during the Obama administration
[02:22:46.200 --> 02:22:47.840]  or Bush administration,
[02:22:47.840 --> 02:22:51.040]  or right now during Trump administration.
[02:22:51.040 --> 02:22:55.080]  This is unheard of because what you get is,
[02:22:55.080 --> 02:22:57.680]  people like Amy Goodman, democracy now,
[02:22:57.680 --> 02:23:00.000]  they had me on their show during Bush administration,
[02:23:00.000 --> 02:23:03.280]  I became caca, I became the real pariah
[02:23:03.280 --> 02:23:05.440]  when it came to Obama administration,
[02:23:05.440 --> 02:23:09.600]  I was officially banned from outlets like
[02:23:10.720 --> 02:23:13.760]  democracy now, because this is what they do,
[02:23:13.760 --> 02:23:16.480]  is divide and conquer, but I have to say,
[02:23:16.480 --> 02:23:18.920]  I do appreciate the job you're doing here,
[02:23:18.920 --> 02:23:22.040]  your great team is doing here with Infowars,
[02:23:22.040 --> 02:23:24.080]  because no matter who the administration,
[02:23:24.080 --> 02:23:26.440]  no matter which party the majority,
[02:23:26.440 --> 02:23:29.360]  you have given us the whistleblowers, a platform.
[02:23:29.360 --> 02:23:30.680]  Well, let me just say this.
[02:23:30.680 --> 02:23:32.240]  And that includes David as well,
[02:23:32.240 --> 02:23:33.200]  I have to give a shout.
[02:23:33.200 --> 02:23:34.160]  David Knight's awesome.
[02:23:34.160 --> 02:23:36.000]  David Knight has been making it.
[02:23:36.000 --> 02:23:36.840]  You know what I really think?
[02:23:36.840 --> 02:23:39.080]  It's the listeners, and it's the folks that support us,
[02:23:39.080 --> 02:23:40.880]  and the affiliates, the people that have gone through this
[02:23:40.880 --> 02:23:42.480]  with us, because here's the thing,
[02:23:42.480 --> 02:23:43.880]  we're really seeking the truth,
[02:23:43.880 --> 02:23:46.480]  and I know before we go after Gulon like this,
[02:23:46.480 --> 02:23:48.480]  that they're dangerous, they're powerful,
[02:23:48.480 --> 02:23:50.160]  it's a Clinton Foundation cut out,
[02:23:50.160 --> 02:23:52.040]  I understand, in fact, that's why it's so serious
[02:23:52.040 --> 02:23:53.080]  here at the office behind the scenes,
[02:23:53.080 --> 02:23:55.360]  this is not, when we do this, when I had you on,
[02:23:55.360 --> 02:23:57.080]  was a gag order, and they were saying they were gonna
[02:23:57.080 --> 02:23:58.960]  arrest people that interviewed you and arrest you,
[02:23:58.960 --> 02:24:00.520]  we did it, because I'm ready to go to prison
[02:24:00.520 --> 02:24:03.080]  for the truth, to expose, I mean, as you said,
[02:24:03.080 --> 02:24:06.160]  child kidnapping, trafficking, and I know we got callers,
[02:24:06.160 --> 02:24:07.120]  I'm at the hold show for longer,
[02:24:07.120 --> 02:24:08.120]  I know you wanna go eat barbecue,
[02:24:08.120 --> 02:24:09.120]  and I got another guest coming on,
[02:24:09.120 --> 02:24:10.680]  but I'll get to these callers,
[02:24:10.680 --> 02:24:13.280]  but they said they'll arrest you,
[02:24:13.280 --> 02:24:14.560]  we talk about the classified stuff,
[02:24:14.560 --> 02:24:15.560]  but so much has come out,
[02:24:15.560 --> 02:24:17.800]  but when we talk about international groups,
[02:24:17.800 --> 02:24:19.280]  rich guys on airplanes,
[02:24:19.280 --> 02:24:21.560]  trafficking mainly in little girls,
[02:24:21.560 --> 02:24:25.000]  and young women, I mean, you confirmed to Congress
[02:24:25.000 --> 02:24:26.960]  in classified briefings that you're sitting there
[02:24:26.960 --> 02:24:28.640]  at the FBI listening to this,
[02:24:28.640 --> 02:24:30.080]  I mean, I'm not putting your words in your mouth,
[02:24:30.080 --> 02:24:31.600]  I remember when you first were able to come on my show
[02:24:31.600 --> 02:24:32.440]  and talk about it.
[02:24:32.440 --> 02:24:35.240]  Yeah, I talked about, look, a Republican,
[02:24:35.240 --> 02:24:37.440]  Dennis Haster, the Speaker of the House,
[02:24:37.440 --> 02:24:40.880]  the fact that he was involved with these,
[02:24:40.880 --> 02:24:42.960]  you know, he was molesting little boys,
[02:24:42.960 --> 02:24:45.720]  those boys were given to him during his foreign trips
[02:24:45.720 --> 02:24:48.160]  as gifts, nine years, 10 years old,
[02:24:48.160 --> 02:24:50.320]  so it cuts across, you know, to a point.
[02:24:50.320 --> 02:24:52.640]  Exactly, no, no, and we were exposing it, then it's,
[02:24:52.640 --> 02:24:54.800]  That's what I'm saying, there is none part of this.
[02:24:54.800 --> 02:24:57.440]  I mean, you've got degrees in law enforcement, all of it.
[02:24:57.440 --> 02:25:00.320]  That's how they use this to compromise people.
[02:25:00.320 --> 02:25:03.000]  Oh, absolutely, oh, absolutely.
[02:25:03.000 --> 02:25:05.720]  God, they can never compromise me with, I mean, with kids,
[02:25:05.720 --> 02:25:09.280]  a lot of, kids aren't good for sex, I mean, it's just,
[02:25:09.280 --> 02:25:10.520]  it's insane.
[02:25:10.520 --> 02:25:12.960]  It is insane, and believe me or not,
[02:25:12.960 --> 02:25:15.640]  there is this thing called, and I have to say this,
[02:25:15.640 --> 02:25:17.920]  even when during the Bush administration,
[02:25:17.920 --> 02:25:20.480]  I blew the whistle, I came on your show,
[02:25:20.480 --> 02:25:24.040]  I didn't get attacks from the right,
[02:25:24.040 --> 02:25:26.920]  even though it was a Republican president.
[02:25:26.920 --> 02:25:27.920]  The left are making their move,
[02:25:27.920 --> 02:25:28.760]  they're making their takeover move.
[02:25:28.760 --> 02:25:30.240]  No, no, it's like rabies.
[02:25:30.240 --> 02:25:32.200]  I have never seen anything like this
[02:25:32.200 --> 02:25:33.400]  during this Obama administration.
[02:25:33.400 --> 02:25:36.040]  They don't put coffee on me in the street.
[02:25:36.040 --> 02:25:38.200]  That's what I'm saying, it's the opposite.
[02:25:38.200 --> 02:25:40.280]  And they run up to, they run up to Owen and go,
[02:25:40.280 --> 02:25:42.920]  Nazi scum when he's never said a racist thing in his life,
[02:25:42.920 --> 02:25:44.400]  but that's their way to dehumanize you.
[02:25:44.400 --> 02:25:46.280]  They just want to be hateful trash,
[02:25:46.280 --> 02:25:47.120]  but explain to people.
[02:25:47.120 --> 02:25:49.560]  That's why I call them the American jihadists,
[02:25:49.560 --> 02:25:51.680]  that's what they have morphed into,
[02:25:51.680 --> 02:25:54.440]  and this is why a majority of our whistleblowers,
[02:25:54.440 --> 02:25:57.400]  even those people who were leaning that way,
[02:25:57.400 --> 02:25:59.280]  now they're considering themselves like me,
[02:25:59.280 --> 02:26:01.720]  more libertarian, you know, lower case L.
[02:26:01.720 --> 02:26:04.040]  I'm not a Republican, I'm not a Democrat,
[02:26:04.040 --> 02:26:05.120]  I am a libertarian.
[02:26:05.120 --> 02:26:06.720]  You're saying all the high level CIA
[02:26:06.720 --> 02:26:08.960]  and NSA whistleblowers, you've got highly decorated.
[02:26:08.960 --> 02:26:10.800]  The legit ones, because you've got.
[02:26:10.800 --> 02:26:12.120]  They've gone from being,
[02:26:12.120 --> 02:26:14.920]  they've gone from being mainly a little more liberal
[02:26:14.920 --> 02:26:16.200]  to being, hey, libertarian,
[02:26:16.200 --> 02:26:18.040]  the left's insanity has driven them to that.
[02:26:18.040 --> 02:26:19.240]  I'll give you an example.
[02:26:19.240 --> 02:26:21.520]  Okay, you have John Criacca, right?
[02:26:21.520 --> 02:26:25.720]  He went to jail under Obama administration, okay?
[02:26:25.720 --> 02:26:28.640]  The man who won the Transparency Award, okay?
[02:26:28.640 --> 02:26:30.440]  The Nobel Peace Prize winner,
[02:26:30.440 --> 02:26:33.720]  he's the one who's for the first time jailed.
[02:26:33.720 --> 02:26:35.320]  How did they get the main line left,
[02:26:35.320 --> 02:26:36.960]  who used to be good about,
[02:26:36.960 --> 02:26:38.920]  used to be good about not wanting to have spying
[02:26:38.920 --> 02:26:40.480]  and not wanting to have torture.
[02:26:40.480 --> 02:26:42.040]  How did they become the ones that promoted?
[02:26:42.040 --> 02:26:44.320]  They'll go, oh look, Trump's just being honest
[02:26:44.320 --> 02:26:45.160]  that it's going on.
[02:26:45.160 --> 02:26:46.480]  I'm not saying I agree with that, I disagree,
[02:26:46.480 --> 02:26:47.320]  at least he's honest.
[02:26:47.320 --> 02:26:48.960]  He's being open, he's being open about it.
[02:26:48.960 --> 02:26:51.320]  It's not coming from both sides of his mouth,
[02:26:51.320 --> 02:26:52.880]  which you got from Obama.
[02:26:52.880 --> 02:26:56.040]  And to me, it still is the mind-boggling thing.
[02:26:56.040 --> 02:26:58.640]  That man gets to have Nobel Peace Prize.
[02:26:58.640 --> 02:27:00.960]  That man gets to have Transparency Award.
[02:27:00.960 --> 02:27:03.000]  I don't like the fact that Trump supports torture,
[02:27:03.000 --> 02:27:04.600]  but then it's like sickeningly refreshing
[02:27:04.600 --> 02:27:05.800]  that he just says it.
[02:27:05.800 --> 02:27:07.120]  He's not even hiding anything.
[02:27:07.120 --> 02:27:07.960]  That's right.
[02:27:07.960 --> 02:27:09.280]  Let's not hide it, let's have it.
[02:27:09.280 --> 02:27:11.680]  That's when we can have dialogue about it.
[02:27:11.680 --> 02:27:14.680]  The reason Trump says that is it's still going on.
[02:27:14.680 --> 02:27:15.640]  No, absolutely.
[02:27:15.640 --> 02:27:18.760]  So I really want to really express my appreciation
[02:27:18.760 --> 02:27:19.920]  for this great team.
[02:27:19.920 --> 02:27:23.480]  And on behalf of my whistleblowers, legit whistleblowers,
[02:27:23.480 --> 02:27:26.200]  yes, once in a while, sometimes you get some people
[02:27:26.200 --> 02:27:28.120]  who use the name whistleblowers,
[02:27:28.120 --> 02:27:30.520]  but they are propped by the deep state
[02:27:30.520 --> 02:27:33.440]  to give legitimacy to whatever it is they are promoting.
[02:27:33.440 --> 02:27:38.000]  So that's my appreciation of what Infowars has done
[02:27:38.000 --> 02:27:39.720]  and has done it consistently.
[02:27:39.720 --> 02:27:43.360]  As I said, three administrations and over how long
[02:27:43.360 --> 02:27:44.200]  has it been?
[02:27:44.200 --> 02:27:45.960]  I feel old now talking about it, Alex.
[02:27:45.960 --> 02:27:47.000]  Well, you're still very lovely.
[02:27:47.000 --> 02:27:48.240]  I'm not, I've gotten ugly.
[02:27:48.240 --> 02:27:49.560]  It's been 13, 14 years.
[02:27:49.560 --> 02:27:50.800]  Have it on there, 22 years.
[02:27:50.800 --> 02:27:53.000]  I've been interviewing you for a long, long time
[02:27:53.000 --> 02:27:54.880]  and you're doing a great job.
[02:27:54.880 --> 02:27:57.560]  And of course you're on, you write and run several sites.
[02:27:57.560 --> 02:27:58.400]  Which one's the best one?
[02:27:58.400 --> 02:27:59.240]  Newsbud?
[02:27:59.240 --> 02:28:00.080]  Newsbud.com.
[02:28:00.080 --> 02:28:04.080]  This is our own small alternative independent media.
[02:28:04.080 --> 02:28:07.440]  We don't get a single dollar from Soros
[02:28:07.440 --> 02:28:10.600]  or any foundations, the deep state foundations.
[02:28:10.600 --> 02:28:12.680]  By the way, you're not 501c3, are you?
[02:28:12.680 --> 02:28:13.520]  No.
[02:28:13.520 --> 02:28:14.360]  I love you.
[02:28:14.360 --> 02:28:15.640]  I'm sorry, I had to say that.
[02:28:15.640 --> 02:28:17.920]  See, if you want to have a soup house,
[02:28:17.920 --> 02:28:21.280]  you know, do some humanitarian stuff, do 501c3.
[02:28:21.280 --> 02:28:24.480]  But if you do it for a news organization
[02:28:24.480 --> 02:28:27.320]  who's a government watchdog, and if you're 501c3,
[02:28:27.320 --> 02:28:29.960]  BS, because that doesn't work.
[02:28:29.960 --> 02:28:31.480]  Because in order.
[02:28:31.480 --> 02:28:32.440]  By the way, I didn't get to the call
[02:28:32.440 --> 02:28:33.280]  because you're so on fire.
[02:28:33.280 --> 02:28:35.560]  We have another guest to do a little bit more with us.
[02:28:35.560 --> 02:28:36.560]  So we get to these calls.
[02:28:36.560 --> 02:28:38.400]  It's a very important issue, Alex.
[02:28:38.400 --> 02:28:39.240]  Yes, it is.
[02:28:39.240 --> 02:28:42.240]  Because we are the so-called 501c3 news
[02:28:42.240 --> 02:28:43.080]  organization's government.
[02:28:43.080 --> 02:28:44.120]  And they won't report the news.
[02:28:44.120 --> 02:28:45.080]  Of course they are not.
[02:28:45.080 --> 02:28:45.840]  Because they're government.
[02:28:45.840 --> 02:28:48.240]  Their factory status is tied up.
[02:28:48.240 --> 02:28:50.400]  Say it right there, we gotta go to break.
[02:28:50.400 --> 02:28:54.040]  Have you ever lost your power and wanted to simply flip a switch
