[00:00.000 --> 00:07.000]  Ladies and gentlemen, it's Wednesday the 21st of December 2016. I'm Alex Jones.
[02:03:59.000 --> 02:04:03.000]  When 98% of them are al-Qaeda, ISIS, al-Nuzra, al-Nuzra is al-Qaeda.
[02:04:03.000 --> 02:04:05.000]  That flag behind them is the al-Qaeda flag.
[02:04:05.000 --> 02:04:10.000]  Our media backs all this while we've got at least a thousand U.S. troops,
[02:04:10.000 --> 02:04:16.000]  special forces battling, dozens and dozens have died this year in the battle
[02:04:16.000 --> 02:04:20.000]  while schizophrenically Obama sits there giving support to the rebels.
[02:04:20.000 --> 02:04:23.000]  So the Pentagon's been ignoring Obama for three years
[02:04:23.000 --> 02:04:26.000]  and has been doing things that Obama dare not challenge.
[02:04:26.000 --> 02:04:29.000]  That's how the civil war is really going in this country, David.
[02:04:29.000 --> 02:04:32.000]  You know, Alex, as I mentioned before, going back to 2012,
[02:04:32.000 --> 02:04:35.000]  where they were trying to sell the idea that there was this gas attack
[02:04:35.000 --> 02:04:38.000]  which we eventually learned was not the Syrian government,
[02:04:38.000 --> 02:04:40.000]  they were saying we're going to use these different rebel groups
[02:04:40.000 --> 02:04:41.000]  against the other rebel groups.
[02:04:41.000 --> 02:04:42.000]  They're all connected.
[02:04:42.000 --> 02:04:43.000]  General Flynn pointed that out.
[02:04:43.000 --> 02:04:47.000]  But as late as 2015, we had General Petraeus saying,
[02:04:47.000 --> 02:04:51.000]  hey, let's use al-Nuzra who is part of al-Qaeda against ISIS.
[02:04:51.000 --> 02:04:52.000]  Exactly, exactly.
[02:04:52.000 --> 02:04:53.000]  And let's understand something.
[02:04:53.000 --> 02:04:56.000]  These Islamist's pigs, they put this out themselves.
[02:04:56.000 --> 02:05:25.000]  They're proud of it.
[02:05:27.000 --> 02:05:30.000]  Most of us living outside the Matrix know better
[02:05:30.000 --> 02:05:32.000]  than to take Krugman seriously
[02:05:32.000 --> 02:05:35.000]  because he's been wrong so many times in the past.
[02:05:35.000 --> 02:05:39.000]  It was Paul Krugman himself who predicted back in 1998
[02:05:39.000 --> 02:05:43.000]  the drastically slow growth of the internet.
[02:05:43.000 --> 02:05:44.000]  And I'm going to quote him here.
[02:05:44.000 --> 02:05:49.000]  By 2005, it will be clear that the internet's impact on the economy
[02:05:49.000 --> 02:05:52.000]  has been no greater than the fax machine.
[02:05:52.000 --> 02:05:55.000]  You can learn more about Paul Krugman's liberal logic
[02:05:55.000 --> 02:05:58.000]  right now at infowars.com.
[02:06:26.000 --> 02:06:32.000]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols,
[02:06:32.000 --> 02:06:36.000]  zinc, vitamin D3, selenium, and copper.
[02:06:36.000 --> 02:06:40.000]  Prostagard is something that the men on the Infowars crew take every day.
[02:06:40.000 --> 02:06:43.000]  And from our research, it's something that men should really be adding
[02:06:43.000 --> 02:06:47.000]  to their daily regimen in order to keep their body going at optimal levels.
[02:06:47.000 --> 02:06:50.000]  Now's the time to start naturally supporting your body.
[02:06:50.000 --> 02:06:55.000]  Get Prostagard on your side today exclusively at infowarslife.com.
[02:06:55.000 --> 02:07:24.000]  That's infowarslife.com.
[02:07:25.000 --> 02:07:49.000]  That's infowarslife.com.
[02:07:49.000 --> 02:07:55.000]  There are so many people calling to my radio show and telling me how young Jebedy and the products at infowarsteam.com have changed their lives.
[02:07:55.000 --> 02:08:20.000]  Check it out for yourself today.
[02:08:20.000 --> 02:08:25.000]  If you are receiving this transmission, you are the resistance.
[02:08:25.000 --> 02:08:29.000]  We now take you live to the Central Texas Command Center.
[02:08:29.000 --> 02:08:58.000]  It's Alex Jones.
[02:08:58.000 --> 02:09:05.000]  This is what they are putting out.
[02:09:05.000 --> 02:09:14.000]  And man, if you watch the Oscars, or you watch the news, or you watch Netflix, or just all over the white helmets, the good people of Aleppo,
[02:09:14.000 --> 02:09:17.000]  and leftist media is like, kill that Russian ambassador in Turkey.
[02:09:17.000 --> 02:09:20.000]  My God, the good people of Aleppo.
[02:09:20.000 --> 02:09:28.000]  A bunch of jihadis that invaded Syria took over and are murdering everybody in mass, raping little girls to death, selling them into sex slavery,
[02:09:28.000 --> 02:09:33.000]  murdering their own daughters, and it's all cute, it's all funny, it's all trendy.
[02:09:33.000 --> 02:09:35.000]  In fact, let's take that little clip there.
[02:09:35.000 --> 02:09:41.000]  I just pointed out and added to the bigger piece that Knight's about to put out where we put all this in context.
[02:09:41.000 --> 02:09:43.000]  In context.
[02:09:43.000 --> 02:09:46.000]  Because it is just crazy town.
[02:09:46.000 --> 02:09:51.000]  And it's time to expose these monsters that are so anti-West, so anti-Christian, so anti-women,
[02:09:51.000 --> 02:10:02.000]  that they have this weird fetish to support the most radical, degenerate, viral, mutinous mutations of Islam.
[02:10:02.000 --> 02:10:06.000]  I want to hear the Muslims decry this.
[02:10:06.000 --> 02:10:09.000]  Jihad mom kisses tiny daughters age seven and nine.
[02:10:09.000 --> 02:10:16.000]  They look younger than that to me, goodbye, and sends them off on suicide bomb mission.
[02:10:16.000 --> 02:10:19.000]  Add this short little clip, too, so I clarify what I'm saying right now.
[02:10:19.000 --> 02:10:21.000]  I've seen them blow up six-year-olds, you name it.
[02:10:21.000 --> 02:10:22.000]  They look like that.
[02:10:22.000 --> 02:10:27.000]  I guess they're so malnourished in the jihadi, heavenly kingdom that it doesn't matter.
[02:10:27.000 --> 02:10:29.000]  I'm not somebody that talks about violence.
[02:10:29.000 --> 02:10:31.000]  I'm not somebody that shoots my mouth off.
[02:10:31.000 --> 02:10:33.000]  But let me tell you something.
[02:10:33.000 --> 02:10:36.000]  I love to get in a ring with that guy.
[02:10:36.000 --> 02:10:39.000]  I'd really love to get in a ring with him.
[02:10:39.000 --> 02:10:40.000]  It's not out of a hateful feeling.
[02:10:40.000 --> 02:10:43.000]  It's to want to protect those little girls.
[02:10:43.000 --> 02:10:47.000]  I guarantee I'd get that guy down and I'd beat his brains out.
[02:10:47.000 --> 02:10:53.000]  I'd just punch him right in the eyes until his cheekbones break and just ram those eyes right into that brain.
[02:10:53.000 --> 02:10:57.000]  I'd punch him until my fist was a broken, bloody mess.
[02:10:57.000 --> 02:10:58.000]  I just have to say that.
[02:10:58.000 --> 02:11:01.000]  It just gives me a little bit of relief to fantasize.
[02:11:01.000 --> 02:11:03.000]  I'm not a sadistic person.
[02:11:03.000 --> 02:11:09.000]  That's a natural urge when a baby's being attacked by a monster to take that monster on,
[02:11:09.000 --> 02:11:14.000]  whether it's a wildcat or some degenerate vampire like those children's mother and father.
[02:11:14.000 --> 02:11:16.000]  Excuse me.
[02:11:16.000 --> 02:11:18.000]  Now, I'm not doing this for an infomercial.
[02:11:18.000 --> 02:11:22.000]  I'm going to get into the Obama Reportly Calling and Threatening to Attack Russia.
[02:11:22.000 --> 02:11:23.000]  The story's up on infowars.com.
[02:11:23.000 --> 02:11:26.000]  It's so important and it ties into NATO's actual statement.
[02:11:26.000 --> 02:11:28.000]  So Steve Watson has reported it.
[02:11:28.000 --> 02:11:29.000]  We've got amazing sources.
[02:11:29.000 --> 02:11:30.000]  Be sure to check it out for yourself.
[02:11:30.000 --> 02:11:32.000]  That's coming up.
[02:11:32.000 --> 02:11:35.000]  I'll leave these guys back on the nightly news at some point.
[02:11:35.000 --> 02:11:40.000]  But the reason I did this, we get sent business ideas every couple of days.
[02:11:40.000 --> 02:11:45.000]  And we have to pass on most of them because usually something's already patented or it's already out there.
[02:11:45.000 --> 02:11:47.000]  It's not original or we don't think it's feasible.
[02:11:47.000 --> 02:11:48.000]  And who knows what I know.
[02:11:48.000 --> 02:11:54.000]  But when I learned how young Justin, I guess it's God's key.
[02:11:54.000 --> 02:11:57.000]  You can tell me God's key if I'm pronouncing it wrong.
[02:11:57.000 --> 02:12:00.000]  Get trumpcards.com and I'll plug where you can get them from them.
[02:12:00.000 --> 02:12:02.000]  We're selling them too.
[02:12:02.000 --> 02:12:05.000]  And of course, a lot of companies wouldn't even make a trump card.
[02:12:05.000 --> 02:12:07.000]  I was telling them earlier, a bicycle wouldn't even make it.
[02:12:07.000 --> 02:12:09.000]  That's how controlled the economy is.
[02:12:09.000 --> 02:12:11.000]  So these cost them a lot to make.
[02:12:11.000 --> 02:12:14.000]  I mean, I'm getting them for like $89 from them and they cost $20.
[02:12:14.000 --> 02:12:16.000]  But it's got gold foil on them.
[02:12:16.000 --> 02:12:18.000]  You know, they're really fancy cards.
[02:12:18.000 --> 02:12:22.000]  And it's got Paul Watson.
[02:12:22.000 --> 02:12:30.000]  It's got myself in the info or piloting a jet aircraft with the UN and Hillary after me.
[02:12:30.000 --> 02:12:32.000]  It's got a whole bunch of trumps, obviously.
[02:12:32.000 --> 02:12:34.000]  And I think he does look pretty good imperial.
[02:12:34.000 --> 02:12:35.000]  I got to hand it to him.
[02:12:35.000 --> 02:12:37.000]  Most of the cards are Trump.
[02:12:37.000 --> 02:12:42.000]  It's got a lot of other people in there as well.
[02:12:42.000 --> 02:12:47.000]  So you definitely want to find out more about that.
[02:12:47.000 --> 02:12:53.000]  It's got Stefan Malinu, Richard Spencer, Chuck C. Johnson,
[02:12:53.000 --> 02:12:58.000]  Trump, Nigel Farage, Trump's the clubs,
[02:12:58.000 --> 02:13:03.000]  Trump of diamonds, Milo Yiannophilus, Katie McHugh,
[02:13:03.000 --> 02:13:06.000]  and a bunch of other folks there.
[02:13:06.000 --> 02:13:07.000]  So it's exciting.
[02:13:07.000 --> 02:13:08.000]  I like it.
[02:13:08.000 --> 02:13:10.000]  And again, is this going to save the world?
[02:13:10.000 --> 02:13:11.000]  No.
[02:13:11.000 --> 02:13:15.000]  But young people like this, especially putting something out, becoming entrepreneurs,
[02:13:15.000 --> 02:13:20.000]  little bits of culture like this, taking back the culture wars, creating art,
[02:13:20.000 --> 02:13:23.000]  putting information out, celebrating our victories.
[02:13:23.000 --> 02:13:24.000]  Some great B-roll the folks.
[02:13:24.000 --> 02:13:25.000]  Shout out.
[02:13:25.000 --> 02:13:26.000]  I hadn't seen this.
[02:13:26.000 --> 02:13:27.000]  It's just beautiful.
[02:13:27.000 --> 02:13:30.000]  It's got to be the prettiest card deck I've ever seen other than some hand-painted ones
[02:13:30.000 --> 02:13:34.000]  I've seen from the Middle Ages in a museum.
[02:13:34.000 --> 02:13:35.000]  Very, very stylish.
[02:13:35.000 --> 02:13:40.000]  They kind of go with the Middle Ages or Renaissance style of art.
[02:13:40.000 --> 02:13:41.000]  Very, very powerful.
[02:13:41.000 --> 02:13:48.000]  They're available at infowarstore.com, or you can support these guys 100% and get them
[02:13:48.000 --> 02:13:52.000]  again on their website that I mentioned earlier.
[02:13:52.000 --> 02:13:56.000]  But I am excited to have them join us.
[02:13:56.000 --> 02:13:57.000]  I mean, I know one of you's names.
[02:13:57.000 --> 02:13:58.000]  I guess the other's your brother.
[02:13:58.000 --> 02:13:59.000]  You sure look alike.
[02:13:59.000 --> 02:14:00.000]  Introduce yourselves.
[02:14:00.000 --> 02:14:01.000]  Who's who here?
[02:14:01.000 --> 02:14:02.000]  The two-headed monsters.
[02:14:02.000 --> 02:14:06.000]  You look great, but kind of like a two-headed monster there from Jack of the Mean Stalker.
[02:14:06.000 --> 02:14:07.000]  Was that Jack of the Mean Stalker?
[02:14:07.000 --> 02:14:09.000]  Another one there in your apartment.
[02:14:09.000 --> 02:14:12.000]  Tell us about this and introduce yourselves.
[02:14:12.000 --> 02:14:13.000]  I'm Justin.
[02:14:13.000 --> 02:14:15.000]  This is my brother, Nick, over here.
[02:14:15.000 --> 02:14:17.000]  We worked on the project together.
[02:14:17.000 --> 02:14:20.000]  We branded as the Kadeski brothers.
[02:14:20.000 --> 02:14:25.000]  I had the idea and did all the logistics and websites, the work set up, and he did like
[02:14:25.000 --> 02:14:28.000]  most of the art and did all the art.
[02:14:28.000 --> 02:14:29.000]  Yeah.
[02:14:29.000 --> 02:14:33.000]  So, yeah.
[02:14:33.000 --> 02:14:34.000]  Well, it's exciting.
[02:14:34.000 --> 02:14:38.000]  And I mean, I just want to say I saw the mock-ups you did and thought they looked pretty good.
[02:14:38.000 --> 02:14:43.000]  But man, with the gold foil and the way you laid these out, these look better than almost
[02:14:43.000 --> 02:14:47.000]  all the professional card decks I've seen out there, including fancy ones.
[02:14:47.000 --> 02:14:48.000]  So congratulations.
[02:14:48.000 --> 02:14:49.000]  Thanks.
[02:14:49.000 --> 02:14:50.000]  Thanks.
