[00:00.000 --> 00:13.000]  Defending the Republic from enemies born and domestic it's Alex Jones
[2:24:19.000 --> 2:24:22.000]  I mean, we were told, and I've mentioned this before,
[2:24:22.000 --> 2:24:26.000]  we needed these social distancing lockdown measures for a period of six to eight weeks
[2:24:26.000 --> 2:24:28.000]  to get back to the new normal.
[2:24:28.000 --> 2:24:30.000]  Now they're saying, no, forget about that.
[2:24:30.000 --> 2:24:32.000]  You're never going to get back to normal.
[2:24:32.000 --> 2:24:33.000]  This is the new normal.
[2:24:33.000 --> 2:24:37.000]  They're talking about drone surveillance to enforce social distancing.
[2:24:37.000 --> 2:24:40.000]  They're talking about putting markings on the pavement.
[2:24:40.000 --> 2:24:42.000]  So you have to stay two meters away from everybody.
[2:24:42.000 --> 2:24:45.000]  Literally filling the street with more street furniture,
[2:24:45.000 --> 2:24:48.000]  more signs telling you what you can and can't do.
[2:24:48.000 --> 2:24:53.000]  This won't even work, as I've said, in airports and trains because it's practically impossible.
[2:24:53.000 --> 2:24:56.000]  This is going to lead to the increasing atomization of society.
[2:24:56.000 --> 2:24:59.000]  What's the real agenda behind these draconian measures?
[2:24:59.000 --> 2:25:05.000]  Is it just so they can reintroduce it on a whim and use it to impose a de facto prison camp
[2:25:05.000 --> 2:25:08.000]  where we're all literally walking around in pods?
[2:25:08.000 --> 2:25:09.000]  Absolutely.
[2:25:09.000 --> 2:25:14.000]  When is the last time a government has taken power under the guise of safety
[2:25:14.000 --> 2:25:16.000]  and given the power back?
[2:25:16.000 --> 2:25:17.000]  Ever.
[2:25:17.000 --> 2:25:18.000]  When does that ever happen?
[2:25:18.000 --> 2:25:22.000]  When is the last time a government said, oh, we just need to spy on your emails for a little while?
[2:25:22.000 --> 2:25:24.000]  We just need to tap your phone for a little while.
[2:25:24.000 --> 2:25:27.000]  Oh, we just need to send to your speech for a little while.
[2:25:27.000 --> 2:25:30.000]  Oh, we just need to make sure you don't say hateful things for a little while.
[2:25:30.000 --> 2:25:32.000]  But in the future, we're going to go back.
[2:25:32.000 --> 2:25:33.000]  Never.
[2:25:33.000 --> 2:25:35.000]  Every single thing they introduce, they keep forever.
[2:25:35.000 --> 2:25:39.000]  And the reason they're saying we may have to go back at any point is so they can press a button at any point in the future.
[2:25:39.000 --> 2:25:41.000]  Yeah, and when else locked inside their house again,
[2:25:41.000 --> 2:25:46.000]  you have to understand the people who are in charge of the world, the elites, are beyond money.
[2:25:46.000 --> 2:25:47.000]  They don't care about money.
[2:25:47.000 --> 2:25:48.000]  They print money on demand.
[2:25:48.000 --> 2:25:49.000]  Money doesn't matter to them.
[2:25:49.000 --> 2:25:53.000]  They have no problem destroying an economy and bankrupting millions and millions of people.
[2:25:53.000 --> 2:25:54.000]  It doesn't bother them.
[2:25:54.000 --> 2:25:56.000]  They're ultra trillionaires.
[2:25:56.000 --> 2:25:57.000]  They own banks.
[2:25:57.000 --> 2:25:58.000]  They own the food and the air and the water.
[2:25:58.000 --> 2:26:00.000]  They don't care about any of this.
[2:26:00.000 --> 2:26:02.000]  The one thing they want more of isn't money.
[2:26:02.000 --> 2:26:03.000]  It's power.
[2:26:03.000 --> 2:26:06.000]  And this has given them the perfect excuse to tell everyone to stay in their house,
[2:26:06.000 --> 2:26:09.000]  otherwise face severe consequence.
[2:26:09.000 --> 2:26:10.000]  This is the power grab.
[2:26:10.000 --> 2:26:12.000]  And they're never going to give the power back.
[2:26:12.000 --> 2:26:13.000]  Ever.
[2:26:13.000 --> 2:26:15.000]  It's insane.
[2:26:15.000 --> 2:26:18.000]  And we talk about the new normal here with the power grab.
[2:26:18.000 --> 2:26:21.000]  The new standard now for social media censorship.
[2:26:21.000 --> 2:26:23.000]  And this was introduced first by YouTube.
[2:26:23.000 --> 2:26:25.000]  Now Twitter and Facebook have basically followed suit.
[2:26:25.000 --> 2:26:31.000]  The new standard for you being banned on social media is questioning authorities.
[2:26:31.000 --> 2:26:32.000]  That's it.
[2:26:32.000 --> 2:26:33.000]  And who's an authority?
[2:26:33.000 --> 2:26:37.000]  Anyone who they say is, despite the fact that trust in mainstream media is at record low
[2:26:37.000 --> 2:26:39.000]  and nobody trusts these authorities anyway.
[2:26:39.000 --> 2:26:46.000]  To the point where they had two licensed professional doctors giving a one and a half hour calm
[2:26:46.000 --> 2:26:51.000]  collected lecture on COVID-19 five million plus views on YouTube.
[2:26:51.000 --> 2:26:53.000]  They yanked the video.
[2:26:53.000 --> 2:26:55.000]  Now it doesn't even make sense.
[2:26:55.000 --> 2:26:58.000]  It got five million views that would have paled off.
[2:26:58.000 --> 2:27:00.000]  Most people would have watched it by that point.
[2:27:00.000 --> 2:27:06.000]  It got bumped up into the news once again because of the reason that they censored it.
[2:27:06.000 --> 2:27:11.000]  Now if they start censoring stuff, that's going to make people believe it even more now.
[2:27:11.000 --> 2:27:14.000]  That's what's completely crazy about these authority figures.
[2:27:14.000 --> 2:27:18.000]  The companies and organizations that they say are authoritarian and they're completely
[2:27:18.000 --> 2:27:20.000]  correct and you cannot disagree with them.
[2:27:20.000 --> 2:27:25.000]  Of all the organizations before this whole COVID nonsense before this virus of all the
[2:27:25.000 --> 2:27:29.000]  organizations, I thought that maybe at least capable.
[2:27:29.000 --> 2:27:33.000]  I would have assumed it be the World Health Organization because the idea is very simple.
[2:27:33.000 --> 2:27:38.000]  There's no bipartisan, there's no conservative liberal.
[2:27:38.000 --> 2:27:41.000]  It's just doctors around the world who want to keep people alive.
[2:27:41.000 --> 2:27:43.000]  But it turns out they're incompetent.
[2:27:43.000 --> 2:27:45.000]  It turns out they get everything wrong.
[2:27:45.000 --> 2:27:49.000]  You have doctors from all around the world who can't even sit there and deal with the common cold
[2:27:49.000 --> 2:27:54.000]  in a very simple and different form without lying about whether it spreads from person to person
[2:27:54.000 --> 2:27:56.000]  and sending all these lies out.
[2:27:56.000 --> 2:27:58.000]  So they're completely media controlled and they're completely a puppet.
[2:27:58.000 --> 2:28:03.000]  If the World Health Organization are puppets and they're at the whims of the elite billionaires
[2:28:03.000 --> 2:28:06.000]  who are trying to control the world, then nothing's safe.
[2:28:06.000 --> 2:28:10.000]  That any authority you can possibly name is nothing but propaganda.
[2:28:10.000 --> 2:28:16.000]  Before the virus, I would not believe how deceptive the World Health Organization would be on purpose.
[2:28:16.000 --> 2:28:18.000]  Look at their track record on this virus.
[2:28:18.000 --> 2:28:20.000]  They've got every single thing wrong.
[2:28:20.000 --> 2:28:24.000]  These are the doctors and they've got everything wrong from start to finish.
[2:28:24.000 --> 2:28:30.000]  Constantly flip flopping, everything they're told to say to keep people scared and in their house.
[2:28:30.000 --> 2:28:32.000]  Fake news.
[2:28:32.000 --> 2:28:34.000]  And these are the bodies that you're not allowed to question.
[2:28:34.000 --> 2:28:39.000]  Literally caught covering up the spread of coronavirus for China, covering up for China
[2:28:39.000 --> 2:28:43.000]  and silencing their own doctors who were in the WHO meeting saying,
[2:28:43.000 --> 2:28:46.000]  we need to tell countries to close their borders.
[2:28:46.000 --> 2:28:51.000]  WHO said, no, those are the trusted authorities that you're not allowed to question,
[2:28:51.000 --> 2:28:53.000]  even though, as you say, they got it completely wrong.
[2:28:53.000 --> 2:28:55.000]  Hi, I'm Dan Pilla.
[2:28:55.000 --> 2:28:59.000]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[2:28:59.000 --> 2:29:00.000]  I sued the IRS in one.
[2:29:00.000 --> 2:29:03.000]  I beat the IRS then and I've been beating them ever since.
[2:29:03.000 --> 2:29:07.000]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems
[2:29:07.000 --> 2:29:09.000]  they thought might never be solved.
[2:29:09.000 --> 2:29:10.000]  I can help you too.
[2:29:10.000 --> 2:29:13.000]  If you owe taxes you can't pay, don't wait another day.
[2:29:13.000 --> 2:29:15.000]  There's no such thing as a hopeless tax case.
[2:29:15.000 --> 2:29:23.000]  Call 800-34-NO-TAX or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[2:29:45.000 --> 2:30:00.000]  When it comes to regaining energy during the day, convenience is key.
[2:30:00.000 --> 2:30:05.000]  Sure, coffee, candy and other highly sugar filled drinks can give you a short boost,
[2:30:05.000 --> 2:30:08.000]  but the crash always follows.
[2:30:08.000 --> 2:30:14.000]  That's why we created a mixable energy formula to take on the go when you need a little help.
[2:30:14.000 --> 2:30:15.000]  Turbo Force.
[2:30:15.000 --> 2:30:22.000]  Similar to other mix-in energy packets, Turbo Force from Infowars Life utilizes vitamins,
[2:30:22.000 --> 2:30:29.000]  amino acids and extracts used for hundreds of years across the world to provide focus,
[2:30:29.000 --> 2:30:32.000]  clarity and a boost of energy when you need it.
[2:30:32.000 --> 2:30:39.000]  Turbo Force is certainly a force to be reckoned with for portable, affordable and tasty energy.
[2:30:39.000 --> 2:30:46.000]  And speaking of affordable, you can even try Turbo Force for a limited time at an incredible 40% off.
[2:30:46.000 --> 2:31:13.000]  Don't wait till it's out of stock again and get Turbo Force right now only at InfowarsStore.com.
[2:31:16.000 --> 2:31:26.000]  It was I, the leader of Cobra, that foresaw your inner cowardice and how much you would enjoy watching Netflix
[2:31:26.000 --> 2:31:32.000]  and wearing masks in clubs when you went out to feel all important like you were in a war.
[2:31:32.000 --> 2:31:39.000]  With the real time that of Cobra was always the billions of people at the edge of starvation,
[2:31:39.000 --> 2:31:46.000]  who were about dying at the tune of over a million people every three weeks.
[2:31:46.000 --> 2:31:49.000]  Cobra thanks you for watching time.
[2:31:49.000 --> 2:31:53.000]  Continue the lockdowns while I depopulate the planet.
[2:31:53.000 --> 2:31:55.000]  Hail Cobra!
[2:31:55.000 --> 2:32:01.000]  The superpower that I have is that I tell you what I really think even if it ends up hurting me short term.
[2:32:01.000 --> 2:32:03.000]  I believe in God and I believe in the long run.
[2:32:03.000 --> 2:32:07.000]  It'll end up being better for myself and everybody else in this world we live together in.
[2:32:07.000 --> 2:32:09.000]  I understand what comes around, what goes around.
[2:32:09.000 --> 2:32:11.000]  You really put me so and I live that.
[2:32:11.000 --> 2:32:13.000]  And I fundamentally at a cellular level understand it.
[2:32:13.000 --> 2:32:19.000]  Now if I would have hyped up the virus, was going to kill 3, 4, 5 million people like the UN did,
[2:32:19.000 --> 2:32:21.000]  I would have sold five times more supplements.
[2:32:21.000 --> 2:32:23.000]  But you know what, I didn't do that.
[2:32:23.000 --> 2:32:29.000]  But I said on a routine basis, regardless people are vitamin D deficient, people are deficient.
[2:32:29.000 --> 2:32:31.000]  I had died in so many other issues.
[2:32:31.000 --> 2:32:33.000]  You need those products regardless.
[2:32:33.000 --> 2:32:37.000]  So we started selling out of vitamin mineral fusion, all the other products.
