[00:00.000 --> 00:24.000]  It's a war, tomorrow's news, today.
[02:29:29.000 --> 02:29:36.000]  We've got great products that fund the operation that also are incredibly powerful and the highest quality for your immune system and more.
[02:29:36.000 --> 02:29:47.000]  We have the biggest sell of the year going right now. Black Friday comes early. Use promo code 1776 and get up to 60% off on these bestselling products at infowarstore.com.
[02:29:47.000 --> 02:29:57.000]  Biggest sell of the year, promo code 1776, up to 60% off. Take action now and empower your body.
[02:29:57.000 --> 02:30:08.000]  Once a tragedy reaches a level of national significance, American citizens should be allowed to basically question that event in any way that they deemed fit.
[02:30:08.000 --> 02:30:13.000]  The First Amendment is unique in the world. That's what they want to take away. Your ability to speak freely.
[02:30:13.000 --> 02:30:18.000]  So they're going to go for Mike Lindell next. Or are they going to go for Steve Bannon? Or are they going to go for Tucker Carlson?
[02:30:18.000 --> 02:30:25.000]  I studied the globalist 30 years ago, but only 28 years. And I knew they were planning all of this. And I warned the public as a modern Paul Revere.
[02:30:25.000 --> 02:30:34.000]  But I couldn't have done it without your support. And now, because we've been so successful warning the population of the planet, not just America, we're public enemy number one when it comes to the globalist agenda.
[02:30:34.000 --> 02:30:44.000]  That's why it's more important than ever to realize how successful Info Wars has been because of your past support. So I salute you and I thank you. And I ask you now, the critical juncture of the battle,
[02:30:44.000 --> 02:30:49.000]  free double your efforts of visiting infowarstore.com and getting amazing products that keep us on air.
[02:30:49.000 --> 02:30:56.000]  1776, the promo code, the destination is infowarstore.com. And I thank you all for your support.
[02:30:56.000 --> 02:31:08.000]  I'm pointing my finger at you. And I'm also pointing it right back at myself. You forget to take your multivitamins. You forget to take your vitamin D3.
[02:31:08.000 --> 02:31:15.000]  You forget to take your Brain Force Plus. You forget to take DNA Force Plus. You forget to take DX3. And you know it makes your life better.
[02:31:15.000 --> 02:31:20.000]  And you know it makes you healthier. And you constantly forget. And when you remember to do it, you're a lot healthier.
[02:31:20.000 --> 02:31:30.000]  This stuff will blow you away. Plus it funds our operation. We have the biggest settle of the year going right now at infowarstore.com with promo code 1776.
[02:31:30.000 --> 02:31:40.000]  Go to infowarstore.com and use promo code 1776 to get up to 60% off on these best selling products. The lowest deal is 40%.
[02:31:40.000 --> 02:31:50.000]  Most of the sales are 60% or 50% when you use promo code 1776. There's too many products to tell you about them all. They're all kick-ass. They keep us on the air.
[02:31:50.000 --> 02:32:14.000]  Please continue to support and I love you and I thank you. 1776 at infowarstore.com.
[02:32:21.000 --> 02:32:30.000]  So I want to ask all of you today to help keep me on the air. In my decades on air, I've never asked for personal donations.
[02:32:30.000 --> 02:32:37.000]  But I'm being forced by the bankruptcy court to pay for 40% of the legal fees and I can't fund those myself. It's unsustainable.
[02:32:37.000 --> 02:32:50.000]  So please visit saveinfowarstore.com. Saveinfowarstore.com where you can make straight donations, $5, $10, $50, $100, whatever you can so that I can continue to persevere.
[02:32:50.000 --> 02:33:08.000]  I'll never give up. I'll never give in, but I could give out. Thank you for your support. Woodmere Without You, saveinfowarstore.com.
[02:33:08.000 --> 02:33:20.000]  I've got a tiger by the tail to explain the sea. I won't be much when you get through with me.
[02:33:20.000 --> 02:33:32.000]  He never gives up. He's Alex Jones, broadcasting from deep in the heart of Texas, worldwide.
[02:33:32.000 --> 02:33:40.000]  So in the case of Steve Well, we got a lion by the tail. He was getting into the whole global attack, the world government being announced.
[02:33:40.000 --> 02:33:53.000]  And so at the big UN event that's just now ending with 400 Jets and all the New World Order there, saying you can't have food or water, you'll have nothing, you'll be dead, you'll love it.
[02:33:53.000 --> 02:34:04.000]  They are again announcing what's already being set up. G20 to adopt vaccine passports using WHO standards. Let's have a digital health certificate acknowledged by the World Health Organization under the UN.
[02:34:04.000 --> 02:34:13.000]  You've been vaccinated or tested properly. Then you can move around. This is their holy grail of the mark of the beast. Here it is.
[02:34:13.000 --> 02:34:26.000]  So let's have a digital health certificate acknowledged by WHO. If you have been vaccinated or tested properly, then you can move around.
[02:34:26.000 --> 02:34:38.000]  So for the next pandemic, instead of stopping the movement of the people 100% which clog the economy globally, you know, you can still provide some movement of the people.
[02:34:38.000 --> 02:34:55.000]  Indonesia has achieved. G20 country has agreed to have this digital certificate using WHO standard and we will submit into the next World Health Assembly in Geneva as the revision to international health regulation.
[02:34:55.000 --> 02:35:04.000]  So hopefully for the next pandemic, we can still see some movement of the people, some movement of the goods and movement of the economy.
[02:35:04.000 --> 02:35:10.000]  So they hold you hostage with a shot that makes you sick and doesn't work and say, next time we'll just give you a passport and make sure you take it.
[02:35:10.000 --> 02:35:13.000]  Steve Quill, that's exactly what you were getting at. Please continue.
[02:35:13.000 --> 02:35:28.000]  Well, first of all, they want to control all travel. They want to control all, all issues of your life and that doesn't get any more provocative and clearer than the gentleman making that statement.
[02:35:28.000 --> 02:35:38.000]  And I got to tell you something. And again, ladies and gentlemen, they've taken away everything. United States, we once had pre lockdown, no longer exists.
[02:35:38.000 --> 02:35:46.000]  There's nothing in the budget. But getting back to his idea, a global ID is the mark of the beast. It's right out of the book of Revelation.
[02:35:46.000 --> 02:36:00.000]  People can say, I don't believe all that stuff. Yeah, well, you just had the most powerful Luciferians in Egypt telling, in essence, we're going to write the Ten Commandments because you're going to be a God.
[02:36:00.000 --> 02:36:08.000]  And that's the same lie that was told Adam and Eve in the garden. But going further than that, they have a plan and it doesn't include most.
[02:36:08.000 --> 02:36:18.000]  All they want is worker bees, because when you're talking about killing off 95% of the world's population, remember King Charles is father.
[02:36:18.000 --> 02:36:26.000]  Prince Philip was on record as saying he wanted to come back as a virus to destroy a world's population talking about reincarnation.
[02:36:26.000 --> 02:36:32.000]  Well, Alex, you know, they're still going to vaccinate. They're going to assassinate. They're going to continue on right now.
[02:36:32.000 --> 02:36:43.000]  The story is breaking that Ebola is breaking out in Uganda. Now Tanzania is shutting down and the U.S. is preparing plans for Ebola.
[02:36:43.000 --> 02:36:53.000]  Now, ladies and gentlemen, years ago, decades ago, the whole idea of Ebola being cultivated, it was actually portrayed in the movie.
[02:36:53.000 --> 02:37:03.000]  I want people to understand this. Hollywood, again, telegraphed in the movie Outbreak with Dustin Hoffman and Renee Russo, the shenanigans that go on the bioweapon hearing.
[02:37:03.000 --> 02:37:15.000]  And for the record, Alex, one of the biggest cover-ups in history are the U.S.-funded biolabs that are not only race-specific, not only haplogroup, genotype-specific, but individual-specific.
[02:37:15.000 --> 02:37:20.000]  In other words, bioweapons have redefined. They've gone from a shotgun approach to a gun.
[02:37:20.000 --> 02:37:26.000]  I've been saying that for 25 years and now it's the source of James Bond movies, but it's in the news. It's real.
[02:37:26.000 --> 02:37:35.000]  It's in the news. It's real. So what is... I think that people have to understand something. They have to get involved with their own desire to live.
[02:37:35.000 --> 02:37:45.000]  You know, you've spent your life, I've spent my life, the majority of it, trying to warn people, but the toughest thing is, is that when people choose that, well, it'll just get better.
[02:37:45.000 --> 02:37:55.000]  Well, just vote the right man in. Ladies and gentlemen, the way you say it's key, find your life force, find your connection to God, realize you're under attack, it's biblical, it's real, and you're in a war.
[02:37:55.000 --> 02:37:57.000]  Realize you're in a war.
[02:37:57.000 --> 02:38:03.000]  Realize we're in a war, but again, people think it's only fought with guns and bullets and bioweapons and nuclear weapons and all that.
[02:38:03.000 --> 02:38:09.000]  But there is a insidious control. This is what the question I get asked more than any other one.
[02:38:09.000 --> 02:38:16.000]  How is it that the whole world goes into lockdown at the same point? How is it that the economy is shut down at the same point?
[02:38:16.000 --> 02:38:20.000]  And the answer to that is simple. Lucifer.
[02:38:20.000 --> 02:38:28.000]  This is a world government test of power. So it's not just info wars. It's not just money wars. The key is spirit wars.
[02:38:28.000 --> 02:38:43.000]  It is spirit wars. And again, you know, people are having all types of interactions with cryptids, strange creatures, everything from incubus, succubus, all kinds of the veils being rent, Alex.
[02:38:43.000 --> 02:38:55.000]  And again, Hollywood prep people. And when you, you've made this bizarre world, not you, but they have made this bizarre world where they told you in advance what they're getting ready to do.
