[00:00:11.035 --> 00:00:13.196]  Welcome to your life.
[01:59:19.392 --> 01:59:29.778]  Whether it's survival shield nascent iodine, or DNA force, super male vitality, super female vitality, lung cleanse, fluoride shield, oxy powder.
[01:59:29.778 --> 01:59:40.263]  I believe that all of these products will blow you away like they've done the thousands of other customers that have visited Infowarslife.com and believed in us and tried the products.
[01:59:40.583 --> 01:59:52.517]  Folks, check out InfoWarsLife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[01:59:52.517 --> 01:59:55.140]  You're listening to the Alex Jones Show.
[02:00:04.508 --> 02:00:05.829]  Big Brother.
[02:00:05.829 --> 02:00:07.591]  Mainstream media.
[02:00:07.591 --> 02:00:09.352]  Government cover-ups.
[02:00:09.352 --> 02:00:10.933]  You want answers?
[02:00:10.933 --> 02:00:12.274]  Well, so does he.
[02:00:12.274 --> 02:00:16.678]  He's Alex Jones on the GCN Radio Network.
[02:00:16.678 --> 02:00:20.741]  And now, live from Austin, Texas, Alex Jones.
[02:00:36.345 --> 02:00:40.146]  Final segment with Dr. Edward Grubb of the Global Healing Center.
[02:00:40.146 --> 02:00:49.509]  I'm Alex Jones of Infowars.com, and yes, we did about 30 minutes of that last hour of mid-air refueling, I call it, of funding our operation, rolling out a new product.
[02:00:49.509 --> 02:01:03.474]  A little news flash, when you listen to talk radio, or nightly news, or the morning shows on CBS, ABC, NBC, almost all of that is an infomercial product placement when they're reviewing a movie, or reviewing a product, or reviewing a book, it's an imprint of News Corp.
[02:01:04.997 --> 02:01:07.739]  When we're openly selling something to you, we just say we're selling it.
[02:01:08.783 --> 02:01:18.390]  You know, I mean, when I'm selling Rick Ross's book about the fake drug war and the CIA and Gary Webb and all the rest of it, I just say, we're selling the book, get it at Infowarsstore.com.
[02:01:18.390 --> 02:01:26.677]  And I'm not going to belabor this anymore, but Secret 12 really is... Do you believe, from your research, putting this out, this is the best vitamin B12 supplement out there?
[02:01:26.677 --> 02:01:27.377]  No doubt.
[02:01:27.377 --> 02:01:30.960]  I don't put out anything that's not the best, and that's just the way we are.
[02:01:30.960 --> 02:01:35.264]  What should the headline on this interview be, then, when we put it on YouTube?
[02:01:35.264 --> 02:01:36.384]  You know, you will die without B12?
[02:01:37.742 --> 02:01:38.983]  Well, that's true, you will.
[02:01:38.983 --> 02:01:51.915]  I mean, I don't know, whatever the best headline would be, something about... Not knowing that everybody needs B12, whether you think so, or your doctor doesn't even know you need B12, but... How about the B12 conspiracy?
[02:01:51.915 --> 02:01:54.938]  The B12 conspiracy, there's definitely a lot that goes on.
[02:01:54.938 --> 02:02:01.484]  As a matter of fact, you know, they just, the supplier of potatoes that supplies McDonald's for their french fries,
[02:02:03.165 --> 02:02:12.130]  The USDA and the FDA just approved the new GMO potato for the supplier, so pretty soon all of the McDonald's french fries are going to be with the new potato.
[02:02:12.130 --> 02:02:15.071]  And by the way, they had top scientists come out and say that potato is dangerous.
[02:02:15.071 --> 02:02:20.233]  That potato is seriously dangerous, and they also just approved a form of alfalfa too, a GMO form of alfalfa.
[02:02:21.994 --> 02:02:25.896]  You know, but the good thing is, at least people are stepping up.
[02:02:25.896 --> 02:02:33.340]  I mean, right now, again, Monsanto, they wrote an article about me the other day about how much I was a quack.
[02:02:33.340 --> 02:02:36.462]  And the Oregon vote that's going on right now.
[02:02:36.462 --> 02:02:37.842]  Monsanto wrote an article about you?
[02:02:37.842 --> 02:02:41.584]  Yeah, they did, on one of their farm blogs.
[02:02:41.584 --> 02:02:42.405]  Yeah, just the other day.
[02:02:42.805 --> 02:02:48.269]  Yeah, well that's like Satan, you know, saying that the Apostle Paul was a bad guy.
[02:02:48.269 --> 02:02:51.972]  I mean, Monsanto's got about the lowest rating out there.
[02:02:51.972 --> 02:02:52.893]  Yeah, I know.
[02:02:52.893 --> 02:02:59.338]  I mean, you are a... Monsanto's like the devil, I mean, dating back to Agent Orange and now that, you know, all the... Dioxins.
[02:02:59.338 --> 02:03:01.019]  Dioxins that are killing the soil.
[02:03:01.019 --> 02:03:03.281]  It really all goes back to the soil.
[02:03:03.281 --> 02:03:05.743]  Somebody asked me, well, how come there's some...
[02:03:07.464 --> 02:03:15.831]  Areas like the Hunza people and some people that live in the mountains that aren't deficient of everything and they're still exposed to toxic air and water.
[02:03:15.831 --> 02:03:17.872]  I said because everything comes back to the soil.
[02:03:17.872 --> 02:03:19.994]  What they do is they take care of their soil.
[02:03:19.994 --> 02:03:22.396]  They use their own urine to fertilize the soil.
[02:03:22.996 --> 02:03:31.224]  There's some cultures in Siberia that soak the seeds in their mouth, and the seeds literally read what their body is deficient of, and they plant them.
[02:03:31.224 --> 02:03:34.046]  That's verified in Siberia.
[02:03:34.046 --> 02:03:36.108]  These cultures, they're really tight-knit.
[02:03:36.108 --> 02:03:37.750]  They use all their feces.
[02:03:37.750 --> 02:03:44.856]  Everything goes back into the soil to build the soil, and as long as the soil is healthy and the soil is mineralized,
[02:03:46.164 --> 02:03:48.907]  The plants will grow what you need to survive.
[02:03:48.907 --> 02:03:49.867]  See, that's the problem.
[02:03:49.867 --> 02:04:03.080]  We've gone from community growing and everybody working together and using the, recycling everything, whether it's your urine or your feces or whatever, recycling it into the soil to spraying chemicals.
[02:04:03.080 --> 02:04:04.040]  The agricultural
[02:04:04.781 --> 02:04:08.025]  The agricultural society is just as bad as the pharmaceutical.
[02:04:08.025 --> 02:04:09.847]  It's done by design.
[02:04:09.847 --> 02:04:13.892]  The pharmaceutical companies are designed to poison you with pharmaceutical drugs.
[02:04:13.892 --> 02:04:19.940]  The agricultural society is designed to poison the earth with chemicals and drugs.
[02:04:19.940 --> 02:04:22.383]  And they know what they're doing is killing the soil.
[02:04:22.503 --> 02:04:32.856]  They know, because if you kill the worms, you kill the probiotics in the soil, that's what recycles and aerates the soil and keeps all the vitamins and the minerals and the nutrients.
[02:04:32.856 --> 02:04:35.039]  You know, have you seen Interstellar?
[02:04:36.024 --> 02:04:37.045]  No, I haven't seen it yet.
[02:04:37.045 --> 02:04:38.326]  Well, that's basically what happens.
[02:04:38.326 --> 02:04:39.347]  There's a blight.
[02:04:39.347 --> 02:04:42.731]  Fungus gets in the atmosphere and takes all the oxygen out of the Earth.
[02:04:42.731 --> 02:04:45.193]  And I see that as... That's basically what they're trying to do.
[02:04:45.193 --> 02:04:47.135]  These people are out of control.
[02:04:47.135 --> 02:04:51.340]  I mean, the millions and millions and millions of forests that have been cut down, that's exactly what's happening.
[02:04:51.340 --> 02:04:56.545]  We've gone from 30% oxygen in the air, down to about... And now they want to cut carbon dioxide in the plants, Marie.
[02:04:56.545 --> 02:04:57.406]  Secret 12, folks.
[02:04:57.406 --> 02:04:58.467]  Find out more in 4's Live.
[02:04:58.467 --> 02:04:59.028]  Great job, group.
[02:04:59.508 --> 02:04:59.788]  Thank you.
[02:05:18.430 --> 02:05:22.633]  Coming from a deep earth crystal source that no other supplier has.
[02:05:22.633 --> 02:05:27.956]  Most other forms of iodine come from seaweed in areas plagued by Fukushima and other contaminants.
[02:05:27.956 --> 02:05:28.976]  Not our iodine.
[02:05:28.976 --> 02:05:32.779]  It comes from over 200 million year old crystal salt deposits.
[02:05:32.779 --> 02:05:35.320]  And is tested and proven to be completely pure.
[02:05:35.320 --> 02:05:37.341]  Visit InfoWarsLife.com today.
[02:05:37.341 --> 02:05:38.922]  See the informational videos.
[02:05:38.922 --> 02:05:40.884]  Read the information there compiled.
[02:05:40.884 --> 02:05:44.786]  And for a limited time, will you use promo code NOW at checkout.
[02:05:44.906 --> 02:05:50.228]  You get an additional 5% off the entire family of InfoWarsLife.com products.
[02:05:50.228 --> 02:05:55.670]  Secure your Survival Shield X2 today at InfoWarsLife.com or call toll free 888-253-3139.
[02:05:59.946 --> 02:06:03.608]  The government's Department of Homeland Security is buying up loads of ammo.
[02:06:03.608 --> 02:06:07.869]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[02:06:07.869 --> 02:06:09.650]  Can you put two and two together?
[02:06:09.650 --> 02:06:17.513]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[02:06:17.513 --> 02:06:18.654]  But for how long?
[02:06:18.654 --> 02:06:25.297]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[02:06:25.297 --> 02:06:28.118]  Infidel Body Armor just won't quit.
[02:06:29.591 --> 02:06:40.158]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO, organic, super male vitality formula.
[02:06:40.158 --> 02:06:46.602]  Super Male Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[02:06:46.602 --> 02:06:48.944]  I jump out of bed ready to fight these criminals every day.
[02:06:48.944 --> 02:06:52.046]  I look forward to waking up and taking my Super Male Vitality.
[02:06:52.046 --> 02:06:58.910]  Visit InfoWarsLife.com today to secure your Super Male Vitality and other powerful products from InfoWars Life.
[02:06:59.330 --> 02:07:04.573]  Introducing Secret 12, the new InfoWars Life vitamin B12 formulation.
[02:07:04.573 --> 02:07:10.897]  Most forms of vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[02:07:10.897 --> 02:07:18.201]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[02:07:18.201 --> 02:07:28.107]  Now, InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[02:07:28.707 --> 02:07:34.871]  Secret 12 is a binary of nutrimedical grade, bioavailable coenzyme forms of B12.
[02:07:34.871 --> 02:07:37.953]  Methylcobalamin, the same kind used in B12 injections.
[02:07:37.953 --> 02:07:39.695]  And adenosylcobalamin.
[02:07:39.695 --> 02:07:43.297]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[02:07:43.297 --> 02:07:45.178]  No needles, no injections.
[02:07:45.178 --> 02:07:46.839]  Don't take my word for it.
[02:07:46.839 --> 02:07:48.040]  Try it for yourself.
[02:07:48.040 --> 02:07:50.342]  Discover the secret, Secret 12.
[02:07:50.342 --> 02:07:55.485]  Secure your revolutionary Secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[02:08:17.382 --> 02:08:23.887]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[02:08:23.887 --> 02:08:25.388]  It's Alex Jones.
[02:08:28.294 --> 02:08:34.242]  Well, she's in the top five hip-hop, pop artist, whatever you want to call it, in the world.
[02:08:34.242 --> 02:08:40.990]  Nicki Minaj, even I know who she is, and I don't really follow pop culture very much, as you know, when it comes to entertainment.
[02:08:40.990 --> 02:08:46.017]  Though I should, because that's where the real cultural battle is going on.
[02:08:47.156 --> 02:08:53.702]  Yes, Infowars.com and the Nightly News and the Syndicated Radio Show has a much larger audience now than CNN does.
[02:08:53.702 --> 02:08:58.007]  It's being dumped from different cable networks and satellite networks here in the U.S.
[02:08:58.007 --> 02:08:59.508]  and worldwide.
[02:08:59.508 --> 02:09:08.036]  But we're not winning the war overall when it comes to Hollywood, when it comes to music, when it comes to the general culture.
[02:09:08.036 --> 02:09:11.540]  That's where the real news and the real programming is going on.
[02:09:12.398 --> 02:09:16.139]  But we are starting to see more and more positive messages come out of Hollywood.
[02:09:16.139 --> 02:09:23.320]  And I've talked to some of the directors and people, like Mark Cuban, who understand that we have a tyranny on our hands.
[02:09:23.320 --> 02:09:24.980]  In fact, Mark Cuban just came out.
[02:09:24.980 --> 02:09:26.921]  The article's on Infowars.com.
[02:09:26.921 --> 02:09:30.281]  Mark Cuban says, Feds will F up the Internet.
[02:09:30.281 --> 02:09:33.922]  I'm more concerned the government will F it up, he says.
[02:09:33.922 --> 02:09:39.523]  And then he goes on to break down that it's basically Obamacare, like Ted Cruz said, for the
[02:09:41.539 --> 02:09:41.959]  Internet.
[02:09:41.959 --> 02:09:46.120]  But I'm shifting gears now to that culture war.
[02:09:46.120 --> 02:09:56.262]  In this interview, Nicki Minaj put out a hit video, a song yesterday, music video, that last time I checked it had like five million views.
