[00:00.000 --> 00:04.440]  It's a good idea, but thanks to Inventek, no one's going to cash in but me.
[01:56:11.300 --> 01:56:13.300]  The biggest thing I've ever seen in the 9-11 Truth Movement,
[01:56:13.300 --> 01:56:15.300]  dwarfing the C-SPAN stuff,
[01:56:15.300 --> 01:56:18.300]  dwarfing the Charlie Sheen developments.
[01:56:18.300 --> 01:56:19.300]  It's the biggest thing ever,
[01:56:19.300 --> 01:56:22.300]  and it's because they tried to cover up.
[01:56:22.300 --> 01:56:24.300]  And they're going to continue.
[01:56:24.300 --> 01:56:26.300]  And when they start arresting and killing patriots
[01:56:26.300 --> 01:56:27.300]  and trying to shut down the web,
[01:56:27.300 --> 01:56:29.300]  which no doubt they're going to do, they're arrogant,
[01:56:29.300 --> 01:56:31.300]  that's going to help even more.
[01:56:31.300 --> 01:56:35.300]  Just like the Alamo helped be a great, you know,
[01:56:35.300 --> 01:56:37.300]  fire starter, a great trigger point.
[01:56:37.300 --> 01:56:39.300]  Look, we're going to win this.
[01:56:39.300 --> 01:56:42.300]  If we just don't stop and we go 110%,
[01:56:42.300 --> 01:56:43.300]  it's like getting in a fight.
[01:56:43.300 --> 01:56:45.300]  The guy that thinks about how to win the fight
[01:56:45.300 --> 01:56:47.300]  and thinks about different moves to make,
[01:56:47.300 --> 01:56:49.300]  and he's going to lose, folks.
[01:56:49.300 --> 01:56:54.300]  The person that charges in 110% with, you know,
[01:56:54.300 --> 01:56:57.300]  just the guerrilla attack pattern
[01:56:57.300 --> 01:57:00.300]  is just going to win 9 times out of 10.
[01:57:00.300 --> 01:57:02.300]  And we just got to throw ourselves our way
[01:57:02.300 --> 01:57:03.300]  against the New World Order.
[01:57:03.300 --> 01:57:06.300]  All of us, don't wait for orders from headquarters.
[01:57:06.300 --> 01:57:08.300]  Get aggressive.
[01:57:08.300 --> 01:57:10.300]  Put on your war face.
[01:57:10.300 --> 01:57:12.300]  Give us a war cry.
[01:57:12.300 --> 01:57:15.300]  And just tell the New World Order we're coming.
[01:57:15.300 --> 01:57:20.300]  We're coming for you.
[01:57:20.300 --> 01:57:24.300]  Just let them know.
[01:57:24.300 --> 01:57:26.300]  You just dig deep, get fired up.
[01:57:26.300 --> 01:57:28.300]  Know you're going to win.
[01:57:28.300 --> 01:57:30.300]  Envision it in your mind's eye.
[01:57:30.300 --> 01:57:33.300]  Take action.
[01:57:33.300 --> 01:57:35.300]  Before I end this hour, I need to drop in here
[01:57:35.300 --> 01:57:37.300]  and tell you that if you want to support us,
[01:57:37.300 --> 01:57:40.300]  if you believe in what we're doing here,
[01:57:40.300 --> 01:57:43.300]  you need to go to infowars.com and prisonplanet.com,
[01:57:43.300 --> 01:57:45.300]  and you need to go to secure online video
[01:57:45.300 --> 01:57:47.300]  and bookstore shopping cart,
[01:57:47.300 --> 01:57:48.300]  and you need to get Terror Storm
[01:57:48.300 --> 01:57:50.300]  and America Freedom to Fascism
[01:57:50.300 --> 01:57:52.300]  and 9-11 Ministries Demolitions
[01:57:52.300 --> 01:57:53.300]  and Loose Change Second Edition
[01:57:53.300 --> 01:57:55.300]  and all the other books and videos we carry
[01:57:55.300 --> 01:57:58.300]  at infowars.com.
[01:57:58.300 --> 01:57:59.300]  And we got new little FM transmitters
[01:57:59.300 --> 01:58:01.300]  to plug in your computer and broadcast
[01:58:01.300 --> 01:58:03.300]  to show to your office or part of your neighborhood.
[01:58:03.300 --> 01:58:06.300]  We've got shortwave radios.
[01:58:06.300 --> 01:58:08.300]  So when you're out of your AM or FM area,
[01:58:08.300 --> 01:58:11.300]  you can listen or when you're on vacation, whatever.
[01:58:11.300 --> 01:58:14.300]  Or as backup if the Internet goes down.
[01:58:14.300 --> 01:58:18.300]  We've got T-shirts and baseball caps
[01:58:18.300 --> 01:58:21.300]  with messages exposing the globalist.
[01:58:21.300 --> 01:58:23.300]  It's all available at infowars.com
[01:58:23.300 --> 01:58:28.300]  or simply call toll-free, 888-253-3139.
[01:58:28.300 --> 01:58:29.300]  They can answer your questions,
[01:58:29.300 --> 01:58:31.300]  tell you about the specials, different products
[01:58:31.300 --> 01:58:34.300]  when you call 888-253-3139.
[01:58:34.300 --> 01:58:36.300]  Or you can write to me on Alejandro Jones
[01:58:36.300 --> 01:58:40.300]  at 3001 South Lamar Suite 100
[01:58:40.300 --> 01:58:43.300]  Austin, Texas 787-04.
[01:58:43.300 --> 01:58:46.300]  And don't forget, prisonplanet.tv.
[01:58:46.300 --> 01:58:48.300]  15 cents a day, all 15 of my films.
[01:58:48.300 --> 01:58:50.300]  Weekly TV reports, everything.
[01:58:50.300 --> 01:58:52.300]  Thousands of pieces of media.
[01:58:52.300 --> 01:58:54.300]  You can go download them in super high quality
[01:58:54.300 --> 01:58:55.300]  and burn them to desk.
[01:58:55.300 --> 01:58:58.300]  It is an engine, a factory of resistance.
[01:58:58.300 --> 01:59:00.300]  Power to the resistance.
[01:59:00.300 --> 01:59:02.300]  Long live the fighters.
[01:59:02.300 --> 01:59:03.300]  Death to the New World Order.
[01:59:03.300 --> 01:59:05.300]  We shall prevail.
[01:59:05.300 --> 01:59:11.300]  Prisonplanet.tv
[01:59:11.300 --> 01:59:13.300]  Compies of the preceding broadcast
[01:59:13.300 --> 01:59:15.300]  are available at GCNLive.com
[01:59:15.300 --> 01:59:21.300]  or call toll-free, 877-376-45.
[01:59:21.300 --> 01:59:23.300]  Black Berkey Purification elements
[01:59:23.300 --> 01:59:26.300]  are more powerful than any gravity filter element
[01:59:26.300 --> 01:59:27.300]  on the market.
[01:59:27.300 --> 01:59:28.300]  These awesome elements are used
[01:59:28.300 --> 01:59:30.300]  in Berkey Purification systems
[01:59:30.300 --> 01:59:31.300]  and they can also be used
[01:59:31.300 --> 01:59:34.300]  to upgrade most other gravity filtration systems.
[01:59:34.300 --> 01:59:36.300]  They can purify raw, untreated water
[01:59:36.300 --> 01:59:39.300]  by removing pathogenic bacteria, cysts, parasites,
[01:59:39.300 --> 01:59:42.300]  trihalomethane, and chemicals such as chlorine,
[01:59:42.300 --> 01:59:45.300]  atrazine, styrene, and MTBE.
[01:59:45.300 --> 01:59:47.300]  These elements also reduce unwanted heavy metals
[01:59:47.300 --> 01:59:49.300]  such as lead, mercury, and aluminum.
[01:59:49.300 --> 01:59:51.300]  Unbelievably, they even remove
[01:59:51.300 --> 01:59:53.300]  small micro-particulate from water
[01:59:53.300 --> 01:59:55.300]  like food coloration minerals.
[01:59:55.300 --> 01:59:57.300]  Moreover, because they are recleanable,
[01:59:57.300 --> 02:00:00.300]  black Berkey elements are more economical
[02:00:00.300 --> 02:00:02.300]  than the standard disposable elements
[02:00:02.300 --> 02:00:04.300]  providing fresh, pure water
[02:00:04.300 --> 02:00:06.300]  for less than two cents per gallon.
[02:00:06.300 --> 02:00:08.300]  Get a two-pack for only $99
[02:00:08.300 --> 02:00:10.300]  or a four-pack for only $188
[02:00:10.300 --> 02:00:13.300]  by calling new millennium at 888-803-4438.
[02:00:13.300 --> 02:00:16.300]  That's 808-803-4438
[02:00:16.300 --> 02:00:19.300]  or order on the web at BerkeyWater.com.
[02:00:22.300 --> 02:00:24.300]  Waging war on corruption.
[02:00:24.300 --> 02:00:34.300]  Alex Jones on the GCN Radio Network.
[02:00:34.300 --> 02:00:35.300]  Big Brother.
[02:00:35.300 --> 02:00:37.300]  Mainstream media.
[02:00:37.300 --> 02:00:39.300]  Government cover-ups.
[02:00:39.300 --> 02:00:40.300]  You want answers?
[02:00:40.300 --> 02:00:42.300]  Well, so does he.
[02:00:42.300 --> 02:00:46.300]  He's Alex Jones on the GCN Radio Network.
[02:00:46.300 --> 02:00:49.300]  And now, live from Austin, Texas,
[02:00:49.300 --> 02:00:54.300]  Alex Jones.
[02:00:54.300 --> 02:00:55.300]  All right.
[02:00:55.300 --> 02:00:59.300]  Let's jam in a few calls before Jesse Trinidad
[02:00:59.300 --> 02:01:01.300]  is scheduled to join us with more information
[02:01:01.300 --> 02:01:05.300]  about the Oklahoma City Inside Job cover-up.
[02:01:05.300 --> 02:01:07.300]  Let's go to Jenna in Ontario, Canada,
[02:01:07.300 --> 02:01:08.300]  then Skip and others.
[02:01:08.300 --> 02:01:10.300]  Jenna, thanks for holding it on the air.
[02:01:10.300 --> 02:01:11.300]  Hi, Alex.
[02:01:11.300 --> 02:01:12.300]  Hi.
[02:01:12.300 --> 02:01:14.300]  I am actually calling to urge everyone
[02:01:14.300 --> 02:01:17.300]  to contact Canada's Minister of Foreign Affairs,
[02:01:17.300 --> 02:01:20.300]  the Honorable Peter McKay.
[02:01:20.300 --> 02:01:23.300]  You can get his phone numbers for his offices
[02:01:23.300 --> 02:01:25.300]  at PeterMcKay.ca.
[02:01:25.300 --> 02:01:29.300]  And my suggestion is to call his office and, one,
[02:01:29.300 --> 02:01:31.300]  let him know that we're on to them.
[02:01:31.300 --> 02:01:34.300]  He's actually the one pursuing the North American Union
[02:01:34.300 --> 02:01:36.300]  publicly at this point.
[02:01:36.300 --> 02:01:39.300]  And two, good luck getting away with it.
[02:01:39.300 --> 02:01:41.300]  Well, I mean, and then on top of it,
[02:01:41.300 --> 02:01:43.300]  they'll announce it and then they'll just deny it.
[02:01:43.300 --> 02:01:45.300]  They say we're for a world government,
[02:01:45.300 --> 02:01:47.300]  we're for North American Union,
[02:01:47.300 --> 02:01:49.300]  but if you don't like it, it doesn't exist.
[02:01:49.300 --> 02:01:50.300]  You're crazy.
[02:01:50.300 --> 02:01:51.300]  Exactly, exactly.
[02:01:51.300 --> 02:01:53.300]  And this guy's come right out and said it.
[02:01:53.300 --> 02:01:55.300]  Like, he's basically in charge of it.
[02:01:55.300 --> 02:01:57.300]  So I just suggest everyone, like,
[02:01:57.300 --> 02:01:59.300]  contacting him as soon as possible
[02:01:59.300 --> 02:02:01.300]  because they think they're getting away with it.
[02:02:01.300 --> 02:02:03.300]  And the more time that goes by,
[02:02:03.300 --> 02:02:06.300]  the angrier the Canadians that I know are becoming.
[02:02:06.300 --> 02:02:08.300]  So something's got to give here.
[02:02:08.300 --> 02:02:10.300]  And the only reason that any progress
[02:02:10.300 --> 02:02:12.300]  is being made on our side at all
[02:02:12.300 --> 02:02:14.300]  is because people are becoming active
[02:02:14.300 --> 02:02:16.300]  and doing something about this stuff.
[02:02:16.300 --> 02:02:18.300]  So don't sit back and do nothing.
[02:02:18.300 --> 02:02:21.300]  You can definitely accomplish something.
[02:02:21.300 --> 02:02:24.300]  What do Canadians think about the meeting last Friday
[02:02:24.300 --> 02:02:27.300]  there in Ottawa where they were just openly announcing
[02:02:27.300 --> 02:02:29.300]  and it was in the newspaper saying,
[02:02:29.300 --> 02:02:31.300]  well, the legislature doesn't need to be involved.
[02:02:31.300 --> 02:02:34.300]  We'll just have the leaders start merging the countries.
[02:02:34.300 --> 02:02:36.300]  It's for your own good.
[02:02:36.300 --> 02:02:37.300]  Yeah, they're furious.
[02:02:37.300 --> 02:02:39.300]  And they're also, most people,
[02:02:39.300 --> 02:02:41.300]  we basically don't watch the news anymore.
[02:02:41.300 --> 02:02:44.300]  And when we do, we immediately either turn to your show
[02:02:44.300 --> 02:02:46.300]  for some kind of accurate interpretation
[02:02:46.300 --> 02:02:48.300]  of what actually is happening.
[02:02:48.300 --> 02:02:52.300]  For instance, a lot of people are getting excited about...
[02:02:52.300 --> 02:02:54.300]  Canada said, like, there's reports that we're going to stop
[02:02:54.300 --> 02:02:56.300]  dealing in American dollars
[02:02:56.300 --> 02:02:59.300]  and Canada rejected the anti-terror law
[02:02:59.300 --> 02:03:01.300]  and everyone's getting really excited and, oh, we're winning,
[02:03:01.300 --> 02:03:04.300]  but we're also skeptical because, you know,
[02:03:04.300 --> 02:03:06.300]  does that even mean anything?
[02:03:06.300 --> 02:03:08.300]  Like, we've been lied to about everything.
[02:03:08.300 --> 02:03:11.300]  We're very... we're not believing what we're told in the first place.
[02:03:11.300 --> 02:03:13.300]  Well, that's what they do.
[02:03:13.300 --> 02:03:15.300]  They have public debates about security
[02:03:15.300 --> 02:03:17.300]  and then Canada says, no, we don't want to go that far.
[02:03:17.300 --> 02:03:19.300]  Meanwhile, behind the scenes, they're merging everything.
[02:03:19.300 --> 02:03:20.300]  Exactly.
[02:03:20.300 --> 02:03:22.300]  Basically, it's like Newt Gingrich comes out
[02:03:22.300 --> 02:03:24.300]  and says something mean about Hillary,
[02:03:24.300 --> 02:03:26.300]  but really they're for the same agenda.
[02:03:26.300 --> 02:03:27.300]  It's a dog and pony show.
[02:03:27.300 --> 02:03:28.300]  That's right.
[02:03:28.300 --> 02:03:30.300]  But people are waking up
[02:03:30.300 --> 02:03:32.300]  so they're at least having to put on the show.
[02:03:32.300 --> 02:03:34.300]  Exactly, and that's my point.
[02:03:34.300 --> 02:03:36.300]  Like, get a hold of these people so they at least know...
[02:03:36.300 --> 02:03:38.300]  I think they're taking us for fools or something,
[02:03:38.300 --> 02:03:41.300]  like, to think that they can just get away with this,
[02:03:41.300 --> 02:03:42.300]  like, above the radar.
[02:03:42.300 --> 02:03:44.300]  Like, you shouldn't underestimate people.
[02:03:44.300 --> 02:03:47.300]  Jenna, how long ago did you wake up to the New World Order?
[02:03:47.300 --> 02:03:48.300]  Uh, 9-11.
[02:03:48.300 --> 02:03:50.300]  That day, I was like, what the hell was that?
[02:03:50.300 --> 02:03:53.300]  And it was just, I had a most uncomfortable feeling ever since,
[02:03:53.300 --> 02:03:56.300]  and then I got a hold of your show and I'm like, oh, my,
[02:03:56.300 --> 02:03:58.300]  that's the answer.
[02:03:58.300 --> 02:04:01.300]  And people beg me for information since then.
[02:04:01.300 --> 02:04:03.300]  Like, they come to me all the time,
[02:04:03.300 --> 02:04:05.300]  just like, please give me some resources.
[02:04:05.300 --> 02:04:07.300]  They know they're being lied to,
[02:04:07.300 --> 02:04:10.300]  but until you're given accurate information
[02:04:10.300 --> 02:04:12.300]  of what exactly is happening,
[02:04:12.300 --> 02:04:16.300]  you're just left feeling confused and useless, really.
[02:04:16.300 --> 02:04:17.300]  Well, exactly.
[02:04:17.300 --> 02:04:20.300]  People say, well, the globalists are so big and powerful,
[02:04:20.300 --> 02:04:21.300]  we can't fight them.
[02:04:21.300 --> 02:04:22.300]  They're invincible.
[02:04:22.300 --> 02:04:26.300]  Well, I mean, it's even more discouraging to say that
[02:04:26.300 --> 02:04:27.300]  and then do nothing.
[02:04:27.300 --> 02:04:30.300]  No, at least we're fighting back.
[02:04:30.300 --> 02:04:31.300]  They're not invincible.
[02:04:31.300 --> 02:04:32.300]  They're stupid.
[02:04:32.300 --> 02:04:33.300]  Well, it's like the Borg.
[02:04:33.300 --> 02:04:35.300]  They keep saying, resistance is futile.
[02:04:35.300 --> 02:04:37.300]  You will assimilate and no, we're not going to.
[02:04:37.300 --> 02:04:38.300]  The hell is that?
[02:04:38.300 --> 02:04:39.300]  Exactly.
[02:04:39.300 --> 02:04:41.300]  And I love my country and I know Canadians
[02:04:41.300 --> 02:04:43.300]  and we're not, the more we wake up,
[02:04:43.300 --> 02:04:45.300]  the less we're willing to tolerate this.
[02:04:45.300 --> 02:04:47.300]  So just keep it up.
[02:04:47.300 --> 02:04:48.300]  Well, good job.
[02:04:48.300 --> 02:04:51.300]  Jenna, good to hear from you there in Canada.
[02:04:51.300 --> 02:04:53.300]  Now, we're going to get to Skip and Todd and Doug
[02:04:53.300 --> 02:04:56.300]  and you're in the Netherlands and everybody else,
