[00:00:00.209 --> 00:00:01.169]  ...and so on.
[02:22:27.447 --> 02:22:33.092]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[02:22:33.092 --> 02:22:38.677]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[02:22:38.677 --> 02:22:40.018]  So what are you waiting for?
[02:22:40.018 --> 02:22:46.203]  Get the facts and call Midas Resources toll free at 888-292-2709.
[02:22:46.203 --> 02:22:49.085]  That's 888-292-2709.
[02:22:49.085 --> 02:22:54.450]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty Silver Half Dollar.
[02:23:01.986 --> 02:23:07.811]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[02:23:07.811 --> 02:23:14.837]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[02:23:15.387 --> 02:23:21.970]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:23:21.970 --> 02:23:23.951]  Well, Obama's already fudging.
[02:23:23.951 --> 02:23:26.453]  He's fudged since day one in this election.
[02:23:26.453 --> 02:23:38.018]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[02:23:38.018 --> 02:23:39.699]  It's not about left or right.
[02:23:39.699 --> 02:23:41.060]  It's about a one-world government.
[02:23:41.562 --> 02:23:48.446]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:23:48.446 --> 02:23:56.710]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:23:56.710 --> 02:23:58.291]  The Obama Deception.
[02:23:58.291 --> 02:24:01.593]  The people strike back.
[02:24:01.593 --> 02:24:04.194]  Companies continue to lay off thousands of people.
[02:24:04.818 --> 02:24:08.159]  Unemployment is the highest it's been in over 30 years.
[02:24:08.159 --> 02:24:11.920]  Statistics prove that in a recession, crime rates go up.
[02:24:11.920 --> 02:24:18.502]  Everyone needs something for that extra edge to prevent becoming a victim in these difficult and trying times.
[02:24:18.502 --> 02:24:23.724]  You need to prepare yourself with DPS pepper spray, available at MrDefense.com.
[02:24:23.724 --> 02:24:30.426]  DPS is the strongest pepper spray in the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[02:24:30.759 --> 02:24:31.840]  Need something more?
[02:24:31.840 --> 02:24:35.784]  The Scorpion Stun Gun is a great way to take down a potential attacker.
[02:24:35.784 --> 02:24:44.093]  Mr. Defense also carries the largest selection of air tasers, knives, self-defense keychains, swords, batons, survival, spy, and tactical gear.
[02:24:44.093 --> 02:24:48.458]  Mention this ad and receive 10% off of your order and a free self-defense keychain.
[02:24:48.658 --> 02:24:52.159]  Visit MrDefense.com, that's MRDefense.com or call 1-800-313-6400.
[02:24:52.159 --> 02:24:53.780]  That's 1-800-313-6400 for all of your self-defense needs today!
[02:25:09.895 --> 02:25:13.839]  Coming up, when George Humber gets here in studio, I'm going to break down the latest G20 news.
[02:25:13.839 --> 02:25:15.220]  I've got a big stack of it here.
[02:25:15.220 --> 02:25:20.105]  They have agreed on the regulatory changes to the world system.
[02:25:20.105 --> 02:25:30.395]  A new global regulator over all the nations, in the words of Time Magazine in an article titled The New World Order, to knock the heads of the American people, to punish us.
[02:25:30.395 --> 02:25:33.698]  Taxes will be paid directly to them, and they've wanted a
[02:25:35.766 --> 02:25:37.786]  500 billion dollar deal, well that's not enough.
[02:25:37.786 --> 02:25:49.688]  It is a trillion and a half dollars of tax money to be given from the American people and the people of Europe to the private banks to set up their new global super currency.
[02:25:49.688 --> 02:25:51.529]  That's Reuters.
[02:25:51.529 --> 02:25:53.829]  I've also got MSNBC right here.
[02:25:53.829 --> 02:25:56.970]  I mean, it's all happening, ladies and gentlemen.
[02:25:56.970 --> 02:26:00.990]  It's all happening in our face.
[02:26:00.990 --> 02:26:03.611]  Let's go ahead and talk to Marine in Virginia.
[02:26:03.611 --> 02:26:04.191]  You're on the air.
[02:26:05.131 --> 02:26:05.791]  Hey, how are you?
[02:26:05.791 --> 02:26:07.211]  I'm all right.
[02:26:07.211 --> 02:26:08.232]  I've got something.
[02:26:08.232 --> 02:26:10.532]  First of all, thank you for everything you do.
[02:26:10.532 --> 02:26:15.333]  Now, so much that is said absolutely sounds scary.
[02:26:15.333 --> 02:26:19.393]  We need to remember we serve the Most High God.
[02:26:19.393 --> 02:26:22.434]  These other idiots are serving Satan.
[02:26:22.434 --> 02:26:25.535]  He only took one-third of the angels with him.
[02:26:25.535 --> 02:26:28.095]  It's going to be a two-against-one fight.
[02:26:28.095 --> 02:26:32.876]  Go read chapters 1, 2, and 3 of Hebrews and just see.
[02:26:32.876 --> 02:26:33.756]  We are told
[02:26:34.232 --> 02:26:39.013]  That they are all ministering spirits sent forth to minister to the heirs of salvation.
[02:26:39.013 --> 02:26:40.753]  That is us.
[02:26:40.753 --> 02:26:59.057]  And I put a website up, citiesforrefuge.info, and God has shown us that he is setting up cities of refuge, and I know so many people have been called to different places to set up places for other people to go to when things get bad.
[02:27:00.526 --> 02:27:06.170]  Well, I mean, I agree that this is a fight against good and evil, and we need to ask God for his guidance and help.
[02:27:06.170 --> 02:27:21.600]  My problem is most of the Christian churches and other religions have been bought off by the government, by the World Council of Churches, by the UN, and they're telling people, stand down, go to the FEMA camps, you know, that tyranny is good, and that Romans 13, out of context, Hitler's favorite Bible passage.
[02:27:21.600 --> 02:27:27.284]  So, you know, the solution is in the church, but it's also, the problem is the phony church.
[02:27:27.284 --> 02:27:28.224]  I appreciate your call.
[02:27:28.224 --> 02:27:29.385]  Chris in Florida.
[02:27:29.385 --> 02:27:30.126]  Chris, you're on the air.
[02:27:32.406 --> 02:27:35.532]  Yeah, go on YouTube and just see a parody of the Queen.
[02:27:35.532 --> 02:27:38.117]  You'll really enjoy it.
[02:27:38.117 --> 02:27:41.643]  From modern day minstrels called Basement to Jax.
[02:27:41.643 --> 02:27:42.545]  J-A-X-X.
[02:27:42.984 --> 02:27:52.688]  called you don't know me, the letter you don't know me, and it's funny how the Queen goes around abusing her own servants in the public after she goes on the run.
[02:27:52.688 --> 02:28:00.691]  But there's a quote, it's my little tribute to liberals to have it come out on 666 end quote.
[02:28:00.691 --> 02:28:02.692]  She is quoted as saying in USA Today.
[02:28:03.505 --> 02:28:21.990]  And she's talking about her book, which I'm sure was full of very pressing matters, Ann Coulter, the quick change agent you're talking about, recently wrote a book entitled Godless, the Church of Liberalism, released on 6-6-2006.
[02:28:21.990 --> 02:28:31.913]  And so I also wanted to ask you regarding Obama, were you aware that he also, one of his broken promises was that his
[02:28:32.746 --> 02:28:40.093]  His $3,000 tax cut that he promised to businesses if they were to hire any new employees.
[02:28:40.093 --> 02:28:42.135]  It's not in the stimulus bill.
[02:28:42.135 --> 02:28:53.506]  And other indicators that show that his acts, that he is on the side of the bankers, suggesting that the 401k and IRA participation should be mandatory if your employer offers it.
[02:28:54.415 --> 02:28:56.495]  And it's kind of like Bush Jr.'
[02:28:56.435 --> 02:28:59.116]  's idea of investing the Social Security.
[02:28:59.116 --> 02:29:05.417]  Yeah, make you give your money to a 401k that's given to the derivatives bankers to basically steal it.
[02:29:05.417 --> 02:29:06.738]  I appreciate your call.
[02:29:06.738 --> 02:29:09.518]  Speaking of bizarreness, this is up on InfoWars.com.
[02:29:09.518 --> 02:29:11.339]  Kurt Nimmo did a story about it.
[02:29:11.339 --> 02:29:13.099]  No, but it's mainstream news that he links to.
[02:29:13.099 --> 02:29:17.180]  Queen Elizabeth's gift to Calderon, the President of Mexico.
[02:29:17.180 --> 02:29:18.120]  Guess what he gave her?
[02:29:19.000 --> 02:29:19.961]  George Orwell's 1984.
[02:29:19.961 --> 02:29:23.183]  And people think, oh, she's exposing the police state.
[02:29:23.183 --> 02:29:30.168]  No, they're the ones putting in the cameras and the control grids that are doing all of this.
[02:29:30.168 --> 02:29:32.990]  And so that's why Hillary says her favorite book is 1984.
[02:29:32.990 --> 02:29:36.673]  For them, it is a blueprint of control.
[02:29:36.673 --> 02:29:47.921]  For them, it is a way to control society and to limit the language and to pass all these hate speech laws and to train the children to be spies on their parents.
[02:29:48.641 --> 02:30:01.071]  Felipe Calderon gave the uh... well he gave the Queen of England a uh... marquee tray but the Queen gave Calderon a collector's edition of George R. Wells' dystopian novel, 1984.
[02:30:01.071 --> 02:30:05.254]  Calderon received the book as he bowed and scraped at Buckingham Palace.
[02:30:05.254 --> 02:30:10.818]  On its face the gift presented to Calderon seems rather strange but when you think about it not really.
[02:30:10.818 --> 02:30:14.281]  It's a novel, Oceania, has a strict social class arrangement
[02:30:14.781 --> 02:30:18.906]  With the inner party at the top, 2% of the population representing the big brother.
[02:30:18.906 --> 02:30:22.630]  The outer party of bureaucrats in the middle and the large number of proles at the bottom.
[02:30:22.630 --> 02:30:29.257]  The inner party believes that the proles are inferior and expendable and strives to make certain they live in misery.
[02:30:29.718 --> 02:30:31.259]  We're on the march, the empire's on the run.
[02:30:31.259 --> 02:30:32.740]  Alex Jones and the GCN Radio Network.
[02:31:01.989 --> 02:31:03.110]  Spring is here.
[02:31:03.110 --> 02:31:04.071]  Growing season.
[02:31:04.071 --> 02:31:06.252]  The economy is not getting any better.
[02:31:06.252 --> 02:31:07.973]  In fact, it's getting worse.
[02:31:07.973 --> 02:31:08.954]  Think about it.
[02:31:08.954 --> 02:31:13.037]  At this rate, how will your life be in a month or even a year?
[02:31:13.037 --> 02:31:16.780]  Maybe you've been putting things off, but the time to act is now.
[02:31:16.780 --> 02:31:18.701]  The country is running out of food.
[02:31:18.701 --> 02:31:21.203]  You need to get your seeds before it's too late.
[02:31:21.503 --> 02:31:33.717]  At OrganicaSeed.com you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[02:31:33.717 --> 02:31:36.340]  Grow your very own fresh vegetables, wheatgrass,
[02:31:36.340 --> 02:31:38.881]  In the New World Order's War Against Humanity,
[02:32:05.137 --> 02:32:07.979]  Barack Obama is the tip of the spear.
[02:32:07.979 --> 02:32:13.262]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[02:32:13.866 --> 02:32:20.349]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:32:20.349 --> 02:32:22.330]  Well, Obama's already fudging.
[02:32:22.330 --> 02:32:24.791]  He's fudged since day one in this election.
[02:32:24.791 --> 02:32:37.977]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[02:32:37.977 --> 02:32:39.657]  It's not about left or right.
[02:32:39.657 --> 02:32:40.998]  It's about a one-world government.
[02:32:41.511 --> 02:32:48.416]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:32:48.416 --> 02:32:56.682]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:32:56.682 --> 02:32:58.243]  The Obama Deception.
[02:32:58.243 --> 02:32:59.444]  The people strike back.
[02:33:01.149 --> 02:33:08.371]  You already know that drinking pure high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[02:33:08.371 --> 02:33:12.912]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[02:33:12.912 --> 02:33:18.534]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[02:33:18.534 --> 02:33:25.596]  Using Plasma pH Drops is one of the best ways to make your water alkaline, to help you get rid of acid and regain your health and energy.
