[00:00:03.542 --> 00:00:06.303]  It's Friday, January 14th.
[02:10:24.555 --> 02:10:25.095]  But, you know,
[02:10:26.403 --> 02:10:27.804]  It's good for you.
[02:10:27.804 --> 02:10:33.789]  And if you say it exists, it doesn't exist.
[02:10:33.789 --> 02:10:48.863]  Now, the average person brought up to conform, when their brain swallows that, it begins to create the node or like the toehold
[02:10:49.847 --> 02:10:52.209]  On which the psychosis grows.
[02:10:52.209 --> 02:10:58.453]  You can use psychology terms all day, but let's just say mental illness, delusions, this comes out of things like that.
[02:10:58.453 --> 02:11:02.655]  Yeah, of course we're scaring you with Pentagon technology and lying to you, but it's for your own good.
[02:11:02.655 --> 02:11:06.958]  And plus, oh, but no one's lying to you to create mass psychosis.
[02:11:06.958 --> 02:11:08.159]  But we are.
[02:11:08.159 --> 02:11:08.820]  But it's good.
[02:11:08.820 --> 02:11:09.860]  But it doesn't happen.
[02:11:09.860 --> 02:11:10.601]  But it's good.
[02:11:10.601 --> 02:11:13.182]  So see, they're trying to tell you, just accept it as good.
[02:11:13.182 --> 02:11:15.864]  But if it isn't good, I'm going to be mean to you.
[02:11:15.864 --> 02:11:18.346]  So just say two plus two equals five.
[02:11:19.520 --> 02:11:21.181]  And next week I'll tell you it equals seven.
[02:11:21.181 --> 02:11:22.702]  And tomorrow I'll tell you it equals four.
[02:11:22.702 --> 02:11:26.025]  And the next day I'll tell you it equals zero.
[02:11:26.025 --> 02:11:31.409]  You're not going to have any analytic thoughts in your little head.
[02:11:31.409 --> 02:11:38.014]  You're just going to receive what I say like you're a pass-through circuit.
[02:11:38.014 --> 02:11:40.295]  You're not a sentient being with consciousness.
[02:11:40.295 --> 02:11:43.438]  You're not a sentient being with free will.
[02:11:43.438 --> 02:11:49.262]  You are somebody that we are going to just sit here and program.
[02:11:52.375 --> 02:11:54.257]  And how's that for you?
[02:11:54.257 --> 02:11:55.057]  Well, I don't want to be programmed.
[02:11:55.057 --> 02:11:56.138]  Nobody's programming you.
[02:11:56.138 --> 02:11:57.780]  But you just said you're going to program me.
[02:11:57.780 --> 02:12:00.242]  Well, if you accept the programming, it exists and it's good.
[02:12:00.242 --> 02:12:02.984]  If you say it is bad, it doesn't exist.
[02:12:02.984 --> 02:12:06.527]  And they're doing that out in the open, like, oh, the vaccine totally works.
[02:12:06.527 --> 02:12:07.508]  That's why it doesn't work.
[02:12:07.508 --> 02:12:08.308]  You got to have more.
[02:12:08.308 --> 02:12:10.030]  And also those that don't take are the reason you're sick.
[02:12:11.451 --> 02:12:13.512]  All that is flying in the face of logic.
[02:12:13.512 --> 02:12:15.052]  And you say, well, why do they do it?
[02:12:15.052 --> 02:12:17.253]  Why do they file all these things?
[02:12:17.253 --> 02:12:20.635]  I've read dozens of these indictments and gone and checked the cases.
[02:12:20.635 --> 02:12:21.835]  It's literal.
[02:12:21.835 --> 02:12:25.096]  Like, you read it and you're like, huh, what?
[02:12:25.096 --> 02:12:26.377]  You know it's not true.
[02:12:26.977 --> 02:12:29.440]  Owen Schroer, winning the Capitol, beat people up.
[02:12:29.440 --> 02:12:32.343]  Owen Schroer does not work in Infowars.
[02:12:32.343 --> 02:12:36.548]  Owen Schroer was not with Alex Jones on January 6th when Alex Jones tried to stop the riot.
[02:12:36.548 --> 02:12:37.149]  It says that!
[02:12:37.149 --> 02:12:41.654]  And you're like, he's with us, they're bullhorning people trying to stop them, he's with me the whole time!
[02:12:42.415 --> 02:12:44.276]  And they file in front of a judge.
[02:12:44.276 --> 02:12:55.904]  And then imagine if you're in front of the judge like, Owen, how do you even sit there with a straight face with some weird weirdo in a black outfit sitting there when you've given them the video files and they go, I'm not going to look at those.
[02:12:55.904 --> 02:13:00.127]  I'm just going to rely on the state.
[02:13:00.127 --> 02:13:01.288]  They said that.
[02:13:01.288 --> 02:13:03.029]  We're like, our lawyer is really attacked.
[02:13:03.029 --> 02:13:04.210]  They're like, this is a lie.
[02:13:04.210 --> 02:13:05.030]  We have all these lies.
[02:13:05.030 --> 02:13:06.431]  We have all, none of this is true.
[02:13:06.431 --> 02:13:07.592]  He works in Imple Wars.
[02:13:07.592 --> 02:13:08.513]  The judge goes, no, he doesn't.
[02:13:10.802 --> 02:13:16.627]  Your trial goes forward, years in prison for attacking the Capitol.
[02:13:16.627 --> 02:13:24.172]  So when you're faced with that level of gaslighting, what are they trying to do?
[02:13:24.172 --> 02:13:25.874]  I'll tell you what they're trying to do.
[02:13:25.874 --> 02:13:33.159]  It's big, powerful, rich families that are inbred and crazy that are just giving orders to people that run things to do this.
[02:13:33.159 --> 02:13:34.360]  And it's going to explode.
[02:13:34.360 --> 02:13:36.882]  It's already happening.
[02:13:36.882 --> 02:13:37.823]  Everything's breaking down.
[02:13:37.823 --> 02:13:39.104]  The supply chain's breaking down.
[02:13:39.104 --> 02:13:39.925]  Everything's going to hell.
[02:13:42.356 --> 02:13:47.903]  And it's all because people don't have morals.
[02:13:47.903 --> 02:13:59.859]  If the average person said no to this, if these judges looked at these things and said, this isn't true, you're lying, you're in trouble, the FBI and the Justice Department wouldn't do it.
[02:14:01.929 --> 02:14:16.417]  And you look at these FBI agents and these Justice Department people and, like, you want to think of America as strong and upright people and you want to believe in things, and you look at them, they're like little oily lawyers, and like, oh, yeah, and like, because I've been around these people, and you're like, what the hell?
[02:14:16.417 --> 02:14:21.821]  This is the opposite of, like, imagine G-Men, you know, on TV in the 1960s or something.
[02:14:21.821 --> 02:14:23.582]  Because they are the opposite, folks.
[02:14:23.582 --> 02:14:24.802]  Those G-Men weren't perfect.
[02:14:24.802 --> 02:14:26.103]  Everything political's got problems.
[02:14:26.103 --> 02:14:27.564]  These are really bad people.
[02:14:29.525 --> 02:14:33.727]  And they know that, and there's the shame of who they are, and the shame of how they lie.
[02:14:33.727 --> 02:14:40.770]  But if they just go ahead and lie, they'll get promoted up the chain.
[02:14:40.770 --> 02:14:46.272]  Oh, but if you don't lie, well, you'll just be fired, or you'll be, and it's just, it's a nightmare.
[02:14:46.272 --> 02:14:54.736]  And it's all about a system for the devil to train us to sell ourselves out, we believe, to get ahead.
[02:14:54.736 --> 02:14:56.537]  But you don't get ahead.
[02:14:58.834 --> 02:15:00.875]  By serving these people.
[02:15:00.875 --> 02:15:01.236]  Oh, what?
[02:15:01.236 --> 02:15:04.918]  You get a bigger house maybe for a while, and then your kid dies of fentanyl?
[02:15:04.918 --> 02:15:08.220]  I mean, seriously, I read about these globalists, and I read about their lives.
[02:15:08.220 --> 02:15:11.302]  The richest ones have the worst lives.
[02:15:11.302 --> 02:15:14.924]  Like, you look at top globalists, almost all their kids commit suicide.
[02:15:14.924 --> 02:15:17.126]  That's why globalists have stopped having children.
[02:15:17.126 --> 02:15:20.788]  Almost every EU leader, I think one EU leader out of 35 countries has kids.
[02:15:20.788 --> 02:15:21.909]  It's a cult.
[02:15:21.909 --> 02:15:23.410]  Because if you have kids, you actually care about the future.
[02:15:24.735 --> 02:15:32.817]  But like the DuPonts and all of them, like almost all their kids end up in mental institutions or committing suicide.
[02:15:32.817 --> 02:15:45.980]  Because they have sold out their country and their people and everybody else and they're just these demonic, hateful, ravenous animals that want to dominate and control and want access to your children.
[02:15:45.980 --> 02:15:50.361]  That's the one thing Alexander Soros wants is access to your children.
[02:15:50.361 --> 02:15:53.542]  And if I gotta go to prison or get killed to expose him, I'll do it.
[02:15:57.628 --> 02:16:01.751]  Three very important life-saving words.
[02:16:01.751 --> 02:16:05.513]  Vitamins, minerals, amino acids.
[02:16:05.513 --> 02:16:09.775]  And you find them all in Vitamin Mineral Fusion.
[02:16:09.775 --> 02:16:18.301]  All the essential vitamins, all the essential minerals from really good, high-quality, absorbable sources, and a bunch of key
[02:16:19.241 --> 02:16:25.403]  Compounds, amino acids known to help get the nutrients into your tissues, into your cells.
[02:16:25.403 --> 02:16:34.407]  And despite the fact that the product is going to sell out in the next week or so, we're going to keep it on sale at 50% off for another seven days.
[02:16:34.407 --> 02:16:38.168]  So again, I am cutting this announcement on the afternoon of January 6, 2022.
[02:16:38.168 --> 02:16:41.530]  We're going to run this for a week and then
[02:16:42.310 --> 02:16:43.991]  We are going to be selling out of this product.
[02:16:43.991 --> 02:16:50.454]  Hopefully more comes in in the next month or so because it's a best seller and it's something everybody needs for their immune system and their body.
[02:16:50.454 --> 02:16:54.036]  Get your Vitamin Mineral Fusion now and support the InfoWar.
[02:16:54.036 --> 02:16:56.918]  A 360 win at InfoWarStore.com
[02:16:57.818 --> 02:17:12.331]  The COVID-19 face diaper is a symbol of subservience, a symbol of slavery, a symbol of the chains that the medical tyranny combine controlled by the global private corporations has put in place.
[02:17:13.131 --> 02:17:18.355]  It is the symbol of the permanent emergency from which we will never emerge.
[02:17:18.355 --> 02:17:26.540]  It is the symbol that we are diseased and evil and bad and must cover our diseased criminal faces from the light of the sun.
[02:17:26.540 --> 02:17:34.766]  It is the symbol of our complete and total absolute surrender to evil.
[02:17:34.766 --> 02:17:35.567]  Ladies and gentlemen,
[02:17:36.536 --> 02:17:39.339]  We are crossing the Rubicon now.
[02:17:39.339 --> 02:17:42.623]  The entire future destiny of humanity is upon us.
[02:17:42.623 --> 02:17:48.950]  Klaus Schwab and the UN admit they're coming out with implantable microchips as part of the World ID and carbon taxes.
[02:17:48.950 --> 02:17:51.132]  Things only get worse from here if we submit.
[02:17:51.132 --> 02:17:54.596]  They only get better if we resist and say no.
[02:17:54.596 --> 02:17:56.799]  Noncompliance, noncompliance, noncompliance.
[02:17:57.199 --> 02:17:59.840]  UN-run contact tracers aren't coming.
[02:17:59.840 --> 02:18:00.740]  They're here.
[02:18:00.740 --> 02:18:05.061]  All over the world, from Australia to the United States, from Canada to Germany.
[02:18:05.061 --> 02:18:15.463]  These tyrants are tracking everything you do, everywhere you go, and then coming to your house and threatening, in some cases actually, taking people away into the night to their facilities.
[02:18:15.463 --> 02:18:23.665]  And they're planning in the next year to expand their shield process where they come and take, quote, healthy people away and put them in facilities for their safety.
[02:18:24.025 --> 02:18:25.846]  This is nothing less than martial law.
[02:18:25.846 --> 02:18:33.648]  And one big thing you can do to fight back is to get high quality Faraday cages, many of which are made here in America and are very compliant, meaning U.S.
[02:18:33.648 --> 02:18:36.989]  government military grade, at InfoWarsTore.com.
[02:18:36.989 --> 02:18:42.771]  We have the entire line of Silent Pocket ready to ship to you when you visit InfoWarsTore.com.
[02:18:42.771 --> 02:18:44.171]  Again, we have big backpacks,
[02:18:44.511 --> 02:18:46.052]  We have special dry bags.
[02:18:46.052 --> 02:18:47.292]  We've got them for cell phones.
[02:18:47.292 --> 02:18:48.993]  We've got them for laptops.
[02:18:48.993 --> 02:18:49.914]  We've got them for iPads.
[02:18:49.914 --> 02:18:52.495]  It's all there at InfowarStore.com.
[02:18:52.495 --> 02:18:57.737]  So protect your privacy today and support the Infowar at InfowarStore.com.
[02:18:57.737 --> 02:19:02.599]  I've been fighting as hard as I can for almost 28 years against the globalists.
[02:19:02.599 --> 02:19:04.660]  I wanted to stop their agenda.
[02:19:04.660 --> 02:19:10.143]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[02:19:10.143 --> 02:19:11.263]  But we failed.
[02:19:11.263 --> 02:19:12.444]  Yes, a lot of people are awake.
[02:19:12.884 --> 02:19:20.768]  Yes, we're not getting caught flat-footed, but they are going ahead with their full operational deindustrialization Great Reset.
[02:19:20.768 --> 02:19:29.153]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[02:19:29.693 --> 02:19:32.974]  So we've got to information warfare the enemy and try to stop their agenda.
[02:19:32.974 --> 02:19:35.214]  We've also got to get personally prepared.
[02:19:35.214 --> 02:19:37.775]  And one of the number one things to do is high-quality, storable food.
[02:19:37.775 --> 02:19:42.556]  We've got the best food ready to ship at very affordable prices at infowarestore.com.
[02:19:42.556 --> 02:19:48.137]  So whether it's a month or a six-month or a year supply or specialty diets, it's ready to ship right now.
[02:19:48.137 --> 02:19:53.038]  Lock your orders in before food prices go up and before there are long lines and waits.
[02:19:53.038 --> 02:19:55.379]  Because believe me, serious times are coming.
[02:19:55.379 --> 02:19:57.239]  Get ready at infowarestore.com.
[02:19:58.996 --> 02:20:04.903]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[02:20:24.444 --> 02:20:27.328]  Alright ladies and gentlemen, we are back live.
[02:20:27.328 --> 02:20:30.571]  It is now mainstream news and confirmed.
[02:20:31.741 --> 02:20:46.704]  That the Justice Department and the White House have sent letters out to the school board saying, we want you to ask for FBI assistance, and that's how they generated the letter in Virginia and others saying terrorists are here, we want you to arrest the parents, we think people protesting us is illegal.
[02:20:46.704 --> 02:20:58.346]  The Justice Department wants to open up a front, not with the Russians, not with the Chinese, not with radical Islam, not with the open borders and human traffickers, they work with them, but with parents, because their main target is the children.
