[00:00:05.911 --> 00:00:07.112]  It's Monday, April 27th.
[02:21:58.721 --> 02:22:08.484]  And at first, this was not very well known because so little data was coming out of China that we didn't know what the pattern of deaths was.
[02:22:08.484 --> 02:22:18.828]  We got some early indications, but because so much of what comes out of China is simply made up, we had to wait and find out for ourselves before we could be sure that this is the case.
[02:22:18.828 --> 02:22:25.730]  Now at the moment, governments, most of whom are scientifically illiterate in my experience, haven't really understood
[02:22:26.559 --> 02:22:30.337]  That the virus really only kills old and sick people.
[02:22:30.936 --> 02:22:37.701]  And so, somebody like me, I now count as an old person, I don't feel like one, but I count as one.
[02:22:37.701 --> 02:22:44.146]  We are at risk, but I do not require to be protected from my fellow citizens.
[02:22:44.146 --> 02:22:50.711]  If I want to look after myself and isolate myself from them voluntarily, that is a decision which I can make.
[02:22:50.711 --> 02:22:55.954]  I don't need the government to make it for me, and nor, frankly, does any other citizen need that.
[02:22:55.954 --> 02:22:59.237]  So, we have got to the point now where we know enough
[02:22:59.907 --> 02:23:11.417]  about this virus, to know that for people of working age, the people that keep the economy going so that they can pay our handsome pensions, they can go back to work, please.
[02:23:11.417 --> 02:23:20.665]  There's no longer any need to stop them, provided that a few very sensible and very straightforward precautions are taken.
[02:23:20.665 --> 02:23:23.147]  If you're in a crowded indoor space,
[02:23:24.073 --> 02:23:27.595]  Then try to keep your distance from people a little bit.
[02:23:27.595 --> 02:23:40.321]  Wear a face covering, doesn't matter very much what it's made of, because then if you cough or sneeze and you happen to have the virus without even knowing it, you'll be much less likely to spread it to anybody else.
[02:23:40.321 --> 02:23:43.343]  These are sensible, simple things that even now
[02:23:44.003 --> 02:23:50.950]  The kind of gormless government in Britain is still saying, well, we don't really know whether it's a good idea for people to wear masks.
[02:23:50.950 --> 02:23:55.455]  Just talk to the South Korean head of the Public Health Authority.
[02:23:55.455 --> 02:24:01.300]  Now, that's a separate man from the head of the International Virological Institute, but he also is very good at what he's doing.
[02:24:01.300 --> 02:24:05.605]  And there's been hardly any infection in South Korea because they got on top of it.
[02:24:06.185 --> 02:24:07.506]  Straight away.
[02:24:07.506 --> 02:24:08.546]  Tested everyone.
[02:24:08.546 --> 02:24:10.147]  Isolated the people who've got it.
[02:24:10.147 --> 02:24:12.908]  And let everybody else get on with their lives.
[02:24:12.908 --> 02:24:16.409]  So what is the larger agenda saying, we can never open?
[02:24:16.409 --> 02:24:18.470]  Clearly about getting rid of Trump.
[02:24:18.470 --> 02:24:23.592]  And then Bill Gates on TV saying, don't blame China, it's all Trump's fault.
[02:24:23.592 --> 02:24:27.454]  Well, Bill Gates is a communist sympathizer.
[02:24:27.454 --> 02:24:29.535]  And he has been for many years.
[02:24:30.305 --> 02:24:38.162]  And a lot of these big billionaires find communism attractive, partly because they see China as a source of revenue.
[02:24:38.849 --> 02:24:42.111]  But he is not to be trusted on this.
[02:24:42.111 --> 02:24:47.713]  The truth is that the people who really know how to deal with this are the South Koreans and the Taiwanese.
[02:24:47.713 --> 02:24:53.436]  I mean, the Taiwanese, you know, the true government of China is actually on an island off China's coast.
[02:24:53.436 --> 02:24:57.118]  It's the old nationalist government, the Kuomintang, that were kicked out by the communists.
[02:24:57.118 --> 02:25:00.160]  But they're still going strong in Taiwan.
[02:25:00.160 --> 02:25:02.661]  And they, the moment they got the first
[02:25:03.291 --> 02:25:05.674]  And didn't Xi Jinping use it as a giant power grab?
[02:25:05.674 --> 02:25:07.035]  To shut down a Taiwanese protest?
[02:25:21.176 --> 02:25:23.798]  No, I'll tell you what happened there.
[02:25:23.798 --> 02:25:30.344]  We know that the World Health Organization is a wholly controlled subsidiary of the Communist Party of China.
[02:25:30.344 --> 02:25:34.607]  So talk about it, is Trump right to say we're going to cut funding, we're not going to participate in your programs?
[02:25:35.387 --> 02:25:39.388]  Everyone should cut their funding altogether from the World Health Organization.
[02:25:39.388 --> 02:25:49.832]  It has 7,000 bureaucrats who spend more than half of the funding they receive on first-class flights and swank hotels all around the world.
[02:25:49.832 --> 02:25:53.413]  But they were totally unprepared for this pandemic.
[02:25:53.413 --> 02:25:57.994]  And when China lied to them about it, they did not hold it to account.
[02:25:57.994 --> 02:25:59.715]  Instead, they fawned upon it.
[02:26:00.291 --> 02:26:02.673]  Let's play devil's advocate.
[02:26:02.673 --> 02:26:09.197]  What do you make of Xi Jinping's mouthpieces saying America is to blame for the virus?
[02:26:09.197 --> 02:26:10.818]  And there's a Reuters fallout.
[02:26:10.818 --> 02:26:12.038]  10% of Americans believe Trump watched it.
[02:26:20.263 --> 02:26:28.207]  No, this is a marketing ploy and it shows how terrified the Chinese communists are of their own people.
[02:26:28.207 --> 02:26:31.868]  They are desperate, desperate to shift blame.
[02:26:31.868 --> 02:26:32.689]  I mean, in Missouri,
[02:26:34.002 --> 02:26:53.594]  The Chinese Consulate General from Chicago actually got in touch with a Republican senator, a state senator, and said, hey, you're the President of the State Senate, could you please put down a resolution congratulating China on how transparent it's been in telling everybody in time exactly all about this virus?
[02:26:53.594 --> 02:26:57.937]  And the President of the State Senate, Mr. Roth, said, no, I won't.
[02:26:57.937 --> 02:27:00.898]  And he put down a resolution saying precisely the opposite.
[02:27:00.898 --> 02:27:01.859]  And so they're clearly
[02:27:03.040 --> 02:27:06.324]  They're absolutely desperate now to try to cover this up.
[02:27:06.324 --> 02:27:14.334]  They know they can rely on the Democrats to say whatever the Chinese Communists want them to say, because the Democrats are far too professional.
[02:27:14.334 --> 02:27:17.158]  I agree with you, but the cover-up's not working, so what comes next then?
[02:27:19.391 --> 02:27:21.113]  Well, the propaganda isn't working.
[02:27:21.113 --> 02:27:38.527]  And so what comes next, I think, is eventually a trial of China at the International Criminal Court or at a new kind of Nuremberg Court, which we would convene, the Western powers you were talking of earlier, we would convene our own court.
[02:27:38.527 --> 02:27:44.132]  We would invite China to attend and submit evidence in its defense.
[02:27:44.132 --> 02:27:45.073]  It would refuse.
[02:27:45.825 --> 02:28:04.630]  We would then try it in its absence, weighing the evidence carefully and having an Advocatus Diavoli to speak for China, and then the judges would pronounce whether or not they thought that China had committed two particular crimes against humanity.
[02:28:04.630 --> 02:28:07.531]  The first is the crime of extermination.
[02:28:08.228 --> 02:28:25.899]  Because by their failure to, not merely their failure to tell us about this, but the active suppression, both inside and outside China, of all news about this infection, which we can prove, and if you read my document, it's on the...
[02:28:28.100 --> 02:28:28.601]  Stay there then.
[02:28:28.601 --> 02:28:30.262]  I'm going to give you the floor next 10 minutes.
[02:28:30.262 --> 02:28:31.884]  You will have the floor to put on your case.
[02:28:31.884 --> 02:28:33.786]  It's a huge document.
[02:28:33.786 --> 02:28:34.687]  I read it over this morning.
[02:28:34.687 --> 02:28:35.367]  26 pages.
[02:28:35.367 --> 02:28:36.488]  It's amazing.
[02:28:36.488 --> 02:28:38.851]  Most of it I knew, but a lot of it I didn't.
[02:28:38.851 --> 02:28:42.054]  You're going to have the time when we come back from break to lay out.
[02:28:42.054 --> 02:28:49.581]  Did China, Communist China and the World Health Organization conspire to make crimes against humanity?
[02:28:49.581 --> 02:28:50.582]  We'll cover it on the other side.
[02:28:50.582 --> 02:28:50.943]  Stay with us.
[02:28:53.379 --> 02:28:54.260]  Attention, gardeners!
[02:28:54.260 --> 02:28:58.203]  If you need to grow nutritionally dense vegetables or medicinal herbs this year, listen!
[02:28:58.203 --> 02:29:01.386]  Because a bioactive superfood for plants is now available!
[02:29:01.386 --> 02:29:10.994]  This all-natural superfood for plants is so effective at producing maximum plant growth in minimum time that it almost forces plants to grow, even under the worst light and soil conditions.
[02:29:10.994 --> 02:29:13.757]  It's called Proto-Gro, and it's truly remarkable.
[02:29:13.757 --> 02:29:17.720]  Vegetables grow faster and contain more bioavailable vitamins and trace minerals.
[02:29:17.720 --> 02:29:19.922]  Plants that rarely bloom will flower constantly.
[02:29:20.222 --> 02:29:22.284]  Sickly plants become vibrantly alive.
[02:29:22.284 --> 02:29:24.465]  Medicinal herbs become super potent.
[02:29:24.465 --> 02:29:27.427]  Flowers become more vivid right before your very eyes.
[02:29:27.427 --> 02:29:30.870]  Proto-Gro also improves the taste quality of all your garden vegetables.
[02:29:30.870 --> 02:29:33.932]  That's because it's more than just an all-natural superfood for plants.
[02:29:33.932 --> 02:29:39.216]  It's a proprietary blend of bioactive sea nutrients that contain the basic building blocks of life itself.
[02:29:39.216 --> 02:29:43.639]  Which is why Proto-Gro even renews your garden by increasing the microorganisms in the soil.
[02:29:43.899 --> 02:29:45.863]  Learn more at growlikecrazy.com.
[02:29:45.863 --> 02:29:47.686]  That's growlikecrazy.com.
[02:29:47.686 --> 02:29:51.293]  Get special pricing for network listeners right now at growlikecrazy.com.
[02:29:54.522 --> 02:29:58.185]  It's time to take a new, healthier approach to one of your most basic needs.
[02:29:58.185 --> 02:30:05.271]  The Alexa Pure Pro water filtration system is the same water filter that Alex and the Infowars crew use every day for the purest water possible.
[02:30:05.271 --> 02:30:09.234]  You can start cleaning the toxins from your water for clean, healthy, and delicious drinking water.
[02:30:09.234 --> 02:30:16.220]  Perfect for preppers or anyone concerned with a healthier source of water, the Alexa Pure Pro can remove up to 99.9% of impurities.
[02:30:16.220 --> 02:30:20.523]  This groundbreaking, gravity-fed water filtration system is like no other.
[02:30:20.523 --> 02:30:23.406]  Make sure your water is up to your standards today with the Alexa Pure Pro.
[02:30:23.726 --> 02:30:26.747]  It's no secret that our daily lives are becoming more stressful.
[02:30:26.747 --> 02:30:31.350]  No matter what side of the political spectrum you're on, we're all feeling the strain from rising pressure.
[02:30:31.350 --> 02:30:36.472]  That's why we worked hard to create a new formula to support your fight against stress in your hectic day.
