[00:00.000 --> 00:25.000]  I don't want to believe this. I don't want to be right. I want to be wrong. But I'm sorry.
[2:24:29.000 --> 2:24:35.000]  American youth, very deficient in vitamin D. Don't let that be your child.
[2:24:35.000 --> 2:24:40.000]  Boost your child's immune system, vitamin D3 gummies from infowarstore.com.
[2:24:40.000 --> 2:24:46.000]  They're going to love the taste. Just say, hey, every morning, hey, I got a new, you don't even have to tell them it's vitamins.
[2:24:46.000 --> 2:24:49.000]  Just say, hey, I got a new gummy. You can have it every morning.
[2:24:49.000 --> 2:24:52.000]  You can have two of these gummies every morning. They're going to eat it. They're going to love it.
[2:24:52.000 --> 2:24:56.000]  And your child's not going to be deficient in vitamin D.
[2:24:56.000 --> 2:25:03.000]  Now, if you're an adult and you don't want to take the gummies or you don't like gummies or you don't like, you know, the flavor or whatever,
[2:25:03.000 --> 2:25:06.000]  which the flavor is fine. The kids will like it. But maybe you're not into that.
[2:25:06.000 --> 2:25:11.000]  So we have winter sun plus ultra vitamin D3. Same deal.
[2:25:11.000 --> 2:25:16.000]  Liquid tincture under the tongue. And you're good.
[2:25:16.000 --> 2:25:20.000]  Don't be a victim of the corrupt medical establishment.
[2:25:20.000 --> 2:25:25.000]  Don't be a victim of Anthony Fauci and his health lies.
[2:25:25.000 --> 2:25:29.000]  Take control of your immune system. Take control of your own health.
[2:25:29.000 --> 2:25:35.000]  And this is, this is just one of the foundational building block ways to do it right here.
[2:25:35.000 --> 2:25:38.000]  Vitamin D3 gummies. I think perfect for your kids.
[2:25:38.000 --> 2:25:42.000]  Don't let your kids be deficient in vitamin D3. This is the answer right here.
[2:25:42.000 --> 2:25:45.000]  Vitamin D3 gummies from inforwarstore.com. 50% off.
[2:25:45.000 --> 2:25:49.000]  And if you don't like gummies or you want, you want a different option.
[2:25:49.000 --> 2:25:54.000]  We have winter sun plus vitamin D3 supplement in inforwarstore.com.
[2:25:54.000 --> 2:26:01.000]  And it's going to be very important as summer is, you know, coming to an end here.
[2:26:01.000 --> 2:26:03.000]  And the fall and autumn coming up in colder weather.
[2:26:03.000 --> 2:26:09.000]  This is when the flu usually starts to get out because you don't have the sun as much getting that natural vitamin D3.
[2:26:09.000 --> 2:26:17.000]  Load up your immune system. Load up your natural defenses with vitamin D3.
[2:26:17.000 --> 2:26:23.000]  And we have the best vitamin D3 supplements for the lowest price at inforwarstore.com bar none.
[2:26:23.000 --> 2:26:25.000]  So Fauci's not going to tell you about this.
[2:26:25.000 --> 2:26:28.000]  Our medical establishment that hates you isn't going to tell you about this.
[2:26:28.000 --> 2:26:33.000]  But fine, infowars will do it. We'll give you the health truth too.
[2:26:33.000 --> 2:26:39.000]  So we'll show you the health lies and the truths that you won't see in mainstream news or from our establishment either.
[2:26:39.000 --> 2:26:46.000]  We'll show you that and then we'll show you the supplement that is the answer at an extremely discounted rate.
[2:26:46.000 --> 2:26:53.000]  So don't be a part of that statistic of vitamin D3 deficiency.
[2:26:53.000 --> 2:26:58.000]  Get your winter sun plus at inforwarstore.com. Get your vitamin D3 gummies at inforwarstore.com.
[2:26:58.000 --> 2:27:06.000]  Boost your natural immune system before this fall and winter when you always have a flu outbreak or other outbreaks.
[2:27:06.000 --> 2:27:10.000]  And it's because we're vitamin deficient.
[2:27:10.000 --> 2:27:13.000]  So there you go, ladies and gentlemen.
[2:27:13.000 --> 2:27:22.000]  And of course it's your support there that keeps us on air so we can tell you these things that nobody else wants to report on.
[2:27:22.000 --> 2:27:26.000]  All right.
[2:27:26.000 --> 2:27:30.000]  Got about 90 seconds left here.
[2:27:30.000 --> 2:27:35.000]  Let me just go through some of these headlines.
[2:27:35.000 --> 2:27:39.000]  I was going to get into this with Robert Barnes, but it was just so great what he was talking about.
[2:27:39.000 --> 2:27:46.000]  But Supreme Court Justice Amy Coney Barrett turns down requests from Indiana University students to block its vaccine mandate.
[2:27:46.000 --> 2:27:48.000]  Oh, she stabbed you in the back.
[2:27:48.000 --> 2:27:52.000]  And Bob Barnes predicted all this too, by the way.
[2:27:52.000 --> 2:28:01.000]  Amy Coney Barrett, just another swamp hack that doesn't believe in freedom.
[2:28:01.000 --> 2:28:03.000]  I was never really a fan of her.
[2:28:03.000 --> 2:28:05.000]  I had hope, but all hope is lost.
[2:28:05.000 --> 2:28:11.000]  Law professor who survived COVID-19 sues George Mason University over vaccine mandate.
[2:28:11.000 --> 2:28:13.000]  Yeah, see, this is how sick it is.
[2:28:13.000 --> 2:28:18.000]  This is how you know this is an authoritarian, totalitarian takeover because there's no fairness here.
[2:28:18.000 --> 2:28:20.000]  There's no science.
[2:28:20.000 --> 2:28:22.000]  There's just follow the orders.
[2:28:22.000 --> 2:28:25.000]  There's just totalitarianism where it's well known.
[2:28:25.000 --> 2:28:39.000]  Even in all the studies that they, the minimal studies that they've have done about these vaccines and other vaccines where if you have the antibodies or you've already recovered from COVID, this vaccine is actually bad for you.
[2:28:39.000 --> 2:28:41.000]  And they know that.
[2:28:41.000 --> 2:28:42.000]  But that doesn't matter.
[2:28:42.000 --> 2:28:43.000]  You don't get an exemption.
[2:28:43.000 --> 2:28:44.000]  Oh, you've already had COVID.
[2:28:44.000 --> 2:28:45.000]  You have the antibodies.
[2:28:45.000 --> 2:28:48.000]  Well, you're going to have to take this lethal injection anyway, because we own you.
[2:28:48.000 --> 2:28:51.000]  And this is a big pharmaceutical experiment that you have to be in.
[2:28:51.000 --> 2:28:55.000]  So we'll see what this law professor who sues over the vaccine mandate.
[2:28:55.000 --> 2:28:57.000]  I just hope he doesn't end up with Amy Coney.
[2:28:57.000 --> 2:29:01.000]  There is a power grid and want to generate your own supply of off grid electricity.
[2:29:01.000 --> 2:29:05.000]  This will be the most important message you'll hear this year.
[2:29:05.000 --> 2:29:10.000]  Here's why we now have a small number of solar generators back in stock.
[2:29:10.000 --> 2:29:15.000]  These emergency backup systems provide life saving backup power when you need it most.
[2:29:15.000 --> 2:29:21.000]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes and produce
[2:29:21.000 --> 2:29:24.000]  an endless supply of free electricity from the sun.
[2:29:24.000 --> 2:29:29.000]  Whether it's wildfires, dangerous weather, power grid issues, or just getting off the grid,
[2:29:29.000 --> 2:29:33.000]  you'll never have to suffer through painful power outages again.
[2:29:33.000 --> 2:29:39.000]  Even better, all this week, radio listeners get over $700 in free off the grid bonuses too.
[2:29:39.000 --> 2:29:43.000]  Go to mysolarbackup.com to learn more and check availability.
[2:29:43.000 --> 2:29:45.000]  That's mysolarbackup.com.
[2:29:45.000 --> 2:29:47.000]  Look for the free report, Crisis Cooling.
[2:29:47.000 --> 2:29:53.000]  How to make absolutely sure your meat, milk, and medicines stay safe and cool in any power outage.
[2:29:53.000 --> 2:30:14.000]  Yours free at mysolarbackup.com.
[2:30:23.000 --> 2:30:27.000]  This will be the most important message you'll hear this year.
[2:30:27.000 --> 2:30:31.000]  Here's why we now have a small number of solar generators back in stock.
[2:30:31.000 --> 2:30:35.000]  Here's why we now have a small number of solar generators back in stock.
[2:30:35.000 --> 2:30:39.000]  You'll never have to suffer through painful power outages again.
[2:30:39.000 --> 2:30:43.000]  This will be the most important message you'll hear this week.
[2:30:43.000 --> 2:30:55.000]  This will be the most important message you'll hear this week.
[2:31:14.000 --> 2:31:22.000]  Being given free will, being given consciousness is literally the seed of an entire universe, an entire system.
[2:31:22.000 --> 2:31:27.000]  And the fact that you're able to commune with God, the fact that you're able to see the beauty of the sunset,
[2:31:27.000 --> 2:31:31.000]  or the beauty of the waves in the ocean, or the beauty of your wife or your husband,
[2:31:31.000 --> 2:31:35.000]  or the beauty of your child learning knowledge, the beauty of music.
[2:31:35.000 --> 2:31:39.000]  The fact that you can commune with that and resonate with that is energetic.
[2:31:39.000 --> 2:31:43.000]  And that itself is what God teaches us is worship.
[2:31:43.000 --> 2:31:48.000]  So don't worship the globalist, don't worship the NFL, don't worship all the things in the system,
[2:31:48.000 --> 2:31:51.000]  but worship the things of God because we're made by God.
[2:31:51.000 --> 2:31:57.000]  And appreciate your consciousness and appreciate free speech while you still have it, while you still have it.
[2:31:57.000 --> 2:32:06.000]  The first time I heard the speech, the first time I read the writings of Teddy Roosevelt, I was in sixth grade.
[2:32:06.000 --> 2:32:11.000]  And we had this history teacher that had us write a paper on the man in the arena.
[2:32:11.000 --> 2:32:15.000]  And I just remember thinking about that and saying, I want to be the man in the arena.
[2:32:15.000 --> 2:32:18.000]  But when it comes to media, Info Wars has been the tip of that spear.
[2:32:18.000 --> 2:32:23.000]  But Mike Lindell has come along and done just as good a job as we've done,
[2:32:23.000 --> 2:32:27.000]  maybe even better when it comes to election fraud and other issues.
[2:32:27.000 --> 2:32:31.000]  And that's why if you go to MyPillow.com and use promo code Alex,
[2:32:31.000 --> 2:32:36.000]  you get up to 66% off on all the amazing products.
[2:32:36.000 --> 2:32:38.000]  He's got so many, not just pillows, not just towels, not just sheets.
[2:32:38.000 --> 2:32:43.000]  And then you fund Info Wars and Mike Lindell in the fight for free speech against the globalist.
[2:32:43.000 --> 2:32:47.000]  There's not a better place to spend your money than MyPillow.com with promo code Alex.
[2:32:47.000 --> 2:32:51.000]  And if you do it, it funds the Info War, it funds the election investigation,
[2:32:51.000 --> 2:32:53.000]  and it stands up against the globalist bullies.
[2:32:53.000 --> 2:33:01.000]  MyPillow.com, promo code Alex, take action now.
[2:33:24.000 --> 2:33:29.000]  Richard Grinnell made this statement this morning.
[2:33:29.000 --> 2:33:35.000]  Biden and Harris have made total disasters of the U.S. border, Afghanistan, gas prices,
[2:33:35.000 --> 2:33:39.000]  and inflation in just seven months.
[2:33:39.000 --> 2:33:44.000]  And I'm about to cover some of that here coming up in this segment and the next.
[2:33:44.000 --> 2:33:46.000]  And that's all completely true.
[2:33:46.000 --> 2:33:52.000]  And you know, I wasn't planning on doing a plug here this segment, but let me just say this.
[2:33:52.000 --> 2:34:02.000]  If you aren't, if you don't have a plan, a contingency plan for the temporary collapse of America or worse,
[2:34:02.000 --> 2:34:07.000]  just a total collapse state in the West, you're nuts.
[2:34:07.000 --> 2:34:15.000]  Look at how short of a time span you have seen so much of our society and our country destroyed.
[2:34:15.000 --> 2:34:25.000]  You can even go back last year, Trump, when he fell for the fake pandemic and went along with all of it to the Biden administration.
[2:34:25.000 --> 2:34:33.000]  You're seeing the inflation is here, consumer price index going up, production price index going up,
[2:34:33.000 --> 2:34:42.000]  things getting more expensive, your value, the value of your dollar going down, your freedom is going away.
[2:34:42.000 --> 2:34:52.000]  So I mean, seriously, like if you don't have some contingency plan for a temporary or permanent collapse of America, you are insane.
[2:34:52.000 --> 2:34:57.000]  So again, I'm not going to do a deep plug here, but I'm telling you, man, you need to get some storeable foods.
[2:34:57.000 --> 2:34:59.000]  Get them from infowarstore.com.
[2:34:59.000 --> 2:35:01.000]  Don't be caught with your pants down.
[2:35:01.000 --> 2:35:04.000]  You are this country is at war right now.
[2:35:04.000 --> 2:35:10.000]  Not with not not a war that we're used to a physical kinetic war with China or Russia or something with that.
[2:35:10.000 --> 2:35:21.000]  No, it's a global criminal cabal mafia going for world domination in a corporate government, world government.
[2:35:21.000 --> 2:35:25.000]  And it's all happening right now and they're in the process of destroying America right now.
[2:35:25.000 --> 2:35:33.000]  And Biden is the guy with the gun and the knife coming to kill us, coming to kill Lady Liberty.
[2:35:33.000 --> 2:35:37.000]  So I mean, seriously, if you don't have a contingency plan, you don't have emergency food.
[2:35:37.000 --> 2:35:42.000]  We got it at infowarstore.com. We have a whole section of our website for emergency and preparedness gear.
