[00:00.000 --> 00:13.000]  In the councils of government, we must guard against the acquisition of unwarranted influence,
[02:11:27.760 --> 02:11:34.760]  And again, are all Satanists really even Satanists? No, a lot of them are just into it for sex and drugs and trying to become powerful.
[02:11:34.760 --> 02:11:44.760]  They're weak people trying to become powerful. But there are really dark people who resonate with the outer limits,
[02:11:44.760 --> 02:11:50.760]  a vent horizon of darkness. There is real, real evil.
[02:11:50.760 --> 02:12:05.760]  And I'll assure you, all these people seeking after power, if they ever really brush up against real, real Satanism, they're not going to want to be part of it.
[02:12:05.760 --> 02:12:09.760]  I have brushed up against real Satanism.
[02:12:09.760 --> 02:12:20.760]  And let me tell you, I've seen the eyes before and the eyes of the eyes of Dianne Feinstein.
[02:12:20.760 --> 02:12:28.760]  I'm going to go to your calls, but let's go to this clip of Biden first saying he wrote the assault weapons ban, which isn't even technically true.
[02:12:28.760 --> 02:12:33.760]  He wrote one version. It was even more draconian. In fact, here's an article flashback.
[02:12:33.760 --> 02:12:39.760]  He steals credit for assault weapons ban. That's the weekly standard. Because technically, even this is a lie.
[02:12:39.760 --> 02:12:46.760]  See, they lie even when they tell the truth. He did write one that was more draconian, but not the one that got passed.
[02:12:46.760 --> 02:12:51.760]  But he brags, I wrote it, I got it passed. More lies.
[02:12:51.760 --> 02:13:02.760]  And then he comes out and says to a different crowd, I don't want your guns when his ban would have banned handguns like the nine millimeter Beretta.
[02:13:02.760 --> 02:13:04.760]  But he says he owns. Here's the club.
[02:13:04.760 --> 02:13:11.760]  I think I think he just made an admission against self interest. I don't know that he's mentally qualified to own that gun.
[02:13:11.760 --> 02:13:17.760]  I'm not I'm being serious. Look, this idea, we go around talking about people who who own.
[02:13:17.760 --> 02:13:21.760]  I'm the guy that originally wrote the assault weapons ban that that became law.
[02:13:21.760 --> 02:13:28.760]  And then we got defeated then Barbara, excuse me, then Dianne Feinstein went to town on it and did a great job.
[02:13:28.760 --> 02:13:38.760]  Look, we should be working with law enforcement right now to make sure that we protect people against people who don't are not capable of knowing what to do with the gun,
[02:13:38.760 --> 02:13:43.760]  because they're either mentally imbalanced and or because they have a criminal record.
[02:13:43.760 --> 02:13:46.760]  And anyway, we got one more.
[02:13:46.760 --> 02:13:53.760]  I guarantee you, Barack Obama ain't taking my shotguns. So don't buy that malarkey. Don't buy that malarkey.
[02:13:53.760 --> 02:13:59.760]  They're going to start peddling that to you. I got to be tries to fool my Beretta. He's got a problem.
[02:13:59.760 --> 02:14:04.760]  I like that a little over and under. You know, I'm not bad with it.
[02:14:04.760 --> 02:14:07.760]  So give me a break.
[02:14:07.760 --> 02:14:11.760]  So there you go. Give me a break.
[02:14:11.760 --> 02:14:17.760]  Now, now you heard him. He wrote the original one that he said Dianne Feinstein did a great job with.
[02:14:17.760 --> 02:14:20.760]  That was the one where they physically make you turn him in.
[02:14:20.760 --> 02:14:27.760]  And now she's back with one of those. Her new bill says, well, we make existing owners come in and get authorization and fingerprinted.
[02:14:27.760 --> 02:14:32.760]  You already been registered, but it and then we need to have a forced buyback in there.
[02:14:32.760 --> 02:14:36.760]  So if we want, we can take them in. It gives them the power in the new bill.
[02:14:36.760 --> 02:14:42.760]  It says to do a forced buyback and her and Cuomo are in the New York Times saying exactly that.
[02:14:42.760 --> 02:14:47.760]  And people at info wars.com are in the comments going, where is it in her bill?
[02:14:47.760 --> 02:14:51.760]  I don't see it. Well, you don't read the New York Times or her statements.
[02:14:51.760 --> 02:14:58.760]  It says right there is a little addendum. You better learn how these lawyers operate.
[02:14:58.760 --> 02:15:03.760]  Again, stop being so naive.
[02:15:03.760 --> 02:15:09.760]  We're a couple of weeks into this and people are still like, are you sure she wants to actually make me turn some in?
[02:15:09.760 --> 02:15:13.760]  And I don't, I don't see that. I don't, I don't.
[02:15:13.760 --> 02:15:16.760]  That wouldn't happen now. That's not true.
[02:15:16.760 --> 02:15:21.760]  You're looking forward to going into the ATF and being fingerprinted and them taking your guns in and saying,
[02:15:21.760 --> 02:15:28.760]  all right, come back in a few weeks after our backlog. We'll see if you get them back because that's how they've done it in all these countries.
[02:15:28.760 --> 02:15:34.760]  They're going to skip the thing of making you come in and fingerprint and register them and then later ban them.
[02:15:34.760 --> 02:15:38.760]  They're just saying, you know what? We're going to have it where you come in and re-register them and fingerprint everything.
[02:15:38.760 --> 02:15:43.760]  And then we might just on the spot do a forced buyback.
[02:15:43.760 --> 02:15:49.760]  But the stinking bill on our website says that.
[02:15:49.760 --> 02:15:54.760]  I looked at it two days ago the last time, unless they've just changed it again with no one heard. She had introduced it yet.
[02:15:54.760 --> 02:15:58.760]  Doesn't matter. We've got it saved. We've got it printed off even if she tries to memory-haul it.
[02:15:58.760 --> 02:16:01.760]  But I know when I go to the bill, it's still going to be there.
[02:16:01.760 --> 02:16:10.760]  It's the naivete is off the charts.
[02:16:10.760 --> 02:16:16.760]  All right, ladies and gentlemen, let's go ahead and go to this clip and I'll go back to your calls, Ken and others.
[02:16:16.760 --> 02:16:25.760]  Let's go ahead and play this clip of Diane Feinstein again saying she wants you to turn in your guns, Mr. and Mrs. America. Here it is.
[02:16:25.760 --> 02:16:34.760]  California Senator Diane Feinstein worked for more than a year to get the assault weapons bill passed in the face of ferocious opposition from the National Rifle Association.
[02:16:34.760 --> 02:16:47.760]  She says she got the best she could if I could have gotten 51 votes in the Senate of the United States for an outright ban, picking up every one of them.
[02:16:47.760 --> 02:16:58.760]  Mr. and Mrs. America, turn them all in. I would have done it. I could not do that. The votes weren't here.
[02:16:58.760 --> 02:17:06.760]  But now she says she's got the votes. I mean, there she is. Mr. and Mrs. America, you're going to turn your guns in. I mean, do you believe her?
[02:17:06.760 --> 02:17:12.760]  They'll never get away with that. Oh, they'll never get away with Obamacare. They'll never get away with putting the U.N. over our military.
[02:17:12.760 --> 02:17:18.760]  Folks, they think you're done. And Mainline Republicans aren't even telling you the full story.
[02:17:18.760 --> 02:17:23.760]  Let's go to Ken in New Jersey. Thanks for holding. You're on the air. Go ahead.
[02:17:23.760 --> 02:17:39.760]  Alex, I just had a bunch of points I wanted to run through. I'm an aspiring EMT, and I know that sometimes they want us to get a whole bunch of shots, especially if we want to get promoted to be paramedics.
[02:17:39.760 --> 02:17:43.760]  No, they make you take a bunch of deadly shots lowering your immunity. Yeah.
[02:17:43.760 --> 02:17:56.760]  Right. But I looked into exemption forms, which I'm going to use as my defense. And on top of that, if I'm correct, you don't really have to get the shots unless you're going to actually do hospital time in the Academy portion of your...
[02:17:56.760 --> 02:18:05.760]  By the way, they're criminally, by color of law, trying to mafia you into taking deadly shots because Big Pharma wants to mandate everybody taking them outside law.
[02:18:05.760 --> 02:18:13.760]  And so you're saying in your defense, notice they're attacking you, but they've got you talking about your defense. Go ahead.
[02:18:13.760 --> 02:18:22.760]  Well, no, you're completely right, Alex. And the first thing I said to myself is there is no law. Why are they telling me I have to do this in the first place?
[02:18:22.760 --> 02:18:37.760]  I mean, I actually talked to some people on my cruise. Some of them are awake. I talked to them about the NDAA, and they agree that we shouldn't even need things like a Bill of Rights Defense Committee, and they talked about those two firefighters that got shot
[02:18:37.760 --> 02:18:45.760]  and probably how they're going to have to start considering carrying some arms of their own. So stuff like this doesn't happen to them. But my whole...
[02:18:45.760 --> 02:18:55.760]  I think that's a great idea. I think they deal with a lot of crazy situations. Firefighters have always been targeted during rioting. You know, I think they ought to have, you know...
[02:18:55.760 --> 02:19:04.760]  The government will want a training course, what you trust them to put out fire if they don't use guns. I think they ought to be up to the departments to do their own training, and I say armed firefighters.
[02:19:04.760 --> 02:19:15.760]  You're right. Especially since some EMS and fire companies are merged with the police department, they should consider giving us some kind of defense against these types of things as well.
[02:19:15.760 --> 02:19:24.760]  Yeah, that's out of Wisconsin originally. Here's at Michigan, where they first came up with those... where it's all one department.
[02:19:24.760 --> 02:19:25.760]  Right.
[02:19:25.760 --> 02:19:37.760]  The only danger is that is then they turn the firefighters into secret police. We don't want the firefighters to be police, but I'm not against... I want to be armed, so why shouldn't they be armed going into dangerous situations?
[02:19:37.760 --> 02:19:49.760]  Right, and we should probably find that kind of common ground where we're protected against becoming some kind of secret soldier for them, but at the same time we're able to defend ourselves.
[02:19:49.760 --> 02:19:51.760]  I hear you. What was your TSA point?
[02:19:51.760 --> 02:19:55.760]  Oh, I was just going to say that, um...
[02:19:55.760 --> 02:20:22.760]  I'll go to your point after the break, and I'll go to everybody else. Stay with us. We'll be right back. I'm Alex Jones. I am Feinstein's issue. Once you're guns.
[02:20:26.760 --> 02:20:35.760]  This is the perfect tool. 12 of these delivered to the door of the institution's groups and individuals that you want to influence and wake up.
[02:20:35.760 --> 02:21:02.760]  Sign up for the free digital e-version at infowars.com forward slash newsletter, and we send it out the week after the physical magazine goes out or go to infowarsstore.com today and sign up for a subscription. Give it as a gift subscription or buy them in bulk with Ron Paul, the attack on the Second Amendment, the police state, the GMO takeover. It's all there and all available at infowarsstore.com or by calling 888-253-3139. Get your subscription or buy the magazines in bulk today.
[02:21:02.760 --> 02:21:18.760]  Hi there. My name is Frank Bates. What I'm about to tell you in the next 60 seconds could get me in a lot of trouble. I just created a free video presentation at 123coverup.com that exposes the electricity monopolies and government agencies for what they really are.
[02:21:18.760 --> 02:21:33.760]  They're the incompetent line crooks that are counting on your ignorance and fear to keep your power bills criminally high. Some have called this a conspiracy. Others have called it a cover-up and you will be shocked to find out how deep the conspiracy goes.
[02:21:33.760 --> 02:21:41.760]  My video at 123coverup.com exposes the truth and shows you the secret of how I beat them and how you can beat them too.
[02:21:41.760 --> 02:21:53.760]  In the controversial video, the thousands of other smart patrons have already seen in the last three months. Go to 123coverup.com and discover one weird trick to slash your power bill and protect your home.
[02:21:53.760 --> 02:22:12.760]  Watch my video now at 123coverup.com before they force me to shut it down. Again, that's 123coverup.com.
[02:22:24.760 --> 02:22:43.760]  Hi, this is Ted Anderson. Have you ever wondered why banks, stock workers, investment advisors won't talk about gold IRAs? They've been available since 1986 yet the financial industry won't recognize the value of gold for your retirement.
[02:22:43.760 --> 02:23:01.760]  Gold is outperformed paper investments yet no word about IRAs. If you would like to have gold for your retirement, call 800-686-2237. Don't get left behind by rising inflation and low returns, call 800-686-2237. Secure your future and call 1-800-686-2237.
[02:23:01.760 --> 02:23:18.760]  Hello, this is Ty Bollinger, author of the best-selling book, Cancer Step Outside the Box. I want you to know some very important information. In 1985, President Ronald Reagan requested that Carnivora be sent directly to the White House at a time when only the president could obtain this world-class healer.
[02:23:18.760 --> 02:23:35.760]  Now, 27 years later, Carnivora capsules are used around the world to keep people healthy. Now you can protect yourself and your loved ones in this age of superbugs with 17 naturally occurring compounds that instinctively respond to abnormal cells only without harming a single normal cell.
