[00:00.000 --> 00:00.580]  Action.
[1:59:40.980 --> 1:59:45.980]  Get those Christmas presents for you and your family today at M4store.com.
[1:59:45.980 --> 1:59:51.980]  You're listening to the Alex Jones show.
[2:00:01.980 --> 2:00:04.980]  Crashing through the lies and disinformation.
[2:00:04.980 --> 2:00:15.980]  It's Alex Jones coming to you live from the front lines of the Info War.
[2:00:15.980 --> 2:00:17.980]  You're taking your phone calls.
[2:00:17.980 --> 2:00:20.980]  The two articles of impeachment are out there on the table.
[2:00:20.980 --> 2:00:23.980]  Not doing what Congress orders the president to do.
[2:00:23.980 --> 2:00:24.980]  It's not a crime.
[2:00:24.980 --> 2:00:26.980]  Abstracting Congress.
[2:00:26.980 --> 2:00:28.980]  And abuse of power.
[2:00:28.980 --> 2:00:31.980]  I've never seen such projection in my life.
[2:00:31.980 --> 2:00:33.980]  Gordon in the beautiful.
[2:00:33.980 --> 2:00:36.980]  Most isolated islands of the planet.
[2:00:36.980 --> 2:00:37.980]  Hawaii.
[2:00:37.980 --> 2:00:38.980]  Gordon here on the air.
[2:00:38.980 --> 2:00:39.980]  Welcome.
[2:00:39.980 --> 2:00:41.980]  Alex, how are you doing?
[2:00:41.980 --> 2:00:43.980]  Yeah, this is a paradise where I'm at.
[2:00:43.980 --> 2:00:45.980]  I've got some great news for you.
[2:00:45.980 --> 2:00:51.980]  I listen to Hawaii news now and they have their internet thing going and comments.
[2:00:51.980 --> 2:00:56.980]  And they did the no one's above the law headline today.
[2:00:56.980 --> 2:00:58.980]  And I'll tell you, nobody.
[2:00:58.980 --> 2:01:04.980]  And well, then they had a whole bunch of anti Trump garbage on there also.
[2:01:04.980 --> 2:01:13.980]  But nobody is buying this Democrat impeachment garbage because normally it's 90% anti Trump comments.
[2:01:13.980 --> 2:01:17.980]  And today it was 90 plus comments for Trump anti Democrat.
[2:01:17.980 --> 2:01:23.980]  Everybody is furious here in Hawaii with what the Democrats are doing.
[2:01:23.980 --> 2:01:28.980]  And I find that to be good news because we're so left out here.
[2:01:28.980 --> 2:01:33.980]  There were such leftists out here, they threw us out into the middle of the ocean.
[2:01:33.980 --> 2:01:38.980]  And well, that's what I'm seeing is that people fundamentally.
[2:01:38.980 --> 2:01:42.980]  Remember Trump being spied on remember all the crimes being committed.
[2:01:42.980 --> 2:01:47.980]  And now the Democrats are even denying that that happened and everything they're saying Trump's done.
[2:01:47.980 --> 2:01:50.980]  They've done and it's it's it's really backfiring.
[2:01:50.980 --> 2:01:53.980]  How do you expect them to pull out of this?
[2:01:53.980 --> 2:01:58.980]  I don't. There's only one way that we're going to be able to pull out of what's going on.
[2:01:58.980 --> 2:02:01.980]  And that's if Trump does something about this censorship.
[2:02:01.980 --> 2:02:04.980]  I am 100% banned.
[2:02:04.980 --> 2:02:06.980]  I guess shadow banned from the internet.
[2:02:06.980 --> 2:02:11.980]  Now my Facebook, I get absolutely no acknowledgments, no comments.
[2:02:11.980 --> 2:02:13.980]  And I was getting thousands.
[2:02:13.980 --> 2:02:18.980]  I use another IP address.
[2:02:18.980 --> 2:02:25.980]  Create something that's about surfing or and then build a profile on that and then use that for a while.
[2:02:25.980 --> 2:02:26.980]  You just have to keep doing it.
[2:02:26.980 --> 2:02:28.980]  You have to keep fooling the AI.
[2:02:28.980 --> 2:02:29.980]  It's a war.
[2:02:29.980 --> 2:02:32.980]  We need everyone to get back on there and hit the enemy hard.
[2:02:32.980 --> 2:02:38.980]  Well, you also have to get a new phone because they go by the phone number also.
[2:02:38.980 --> 2:02:40.980]  Yeah, I had my other.
[2:02:40.980 --> 2:02:41.980]  I'm saying it's worth it.
[2:02:41.980 --> 2:02:42.980]  Go get a burner phone.
[2:02:42.980 --> 2:02:43.980]  Use your landline.
[2:02:43.980 --> 2:02:44.980]  Do whatever you have to do.
[2:02:44.980 --> 2:02:46.980]  Just keep in the fight.
[2:02:46.980 --> 2:02:54.980]  That's exactly what I'm going to do is get a whole nother phone because my other Facebook page got taken down because I was on the
[2:02:54.980 --> 2:02:57.980]  Hawaii news now and they accused me of being a Russian bot.
[2:02:57.980 --> 2:02:58.980]  Of course.
[2:02:58.980 --> 2:03:00.980]  And which is everyone that loves freedom.
[2:03:00.980 --> 2:03:01.980]  Everyone that wants justice.
[2:03:01.980 --> 2:03:03.980]  Everyone that wants vaccine safety.
[2:03:03.980 --> 2:03:05.980]  Everyone that wants common sense.
[2:03:05.980 --> 2:03:06.980]  We're all Russians.
[2:03:06.980 --> 2:03:07.980]  You didn't know that.
[2:03:07.980 --> 2:03:08.980]  Oh, I know.
[2:03:08.980 --> 2:03:09.980]  Yeah.
[2:03:09.980 --> 2:03:10.980]  Thanks, Vlad.
[2:03:10.980 --> 2:03:12.980]  Thank you so much.
[2:03:12.980 --> 2:03:13.980]  Great points, Gordon.
[2:03:13.980 --> 2:03:14.980]  Very exciting.
[2:03:14.980 --> 2:03:19.980]  You see almost all the calls on local news are saying this is a fiasco.
[2:03:19.980 --> 2:03:20.980]  That's what we're seeing.
[2:03:20.980 --> 2:03:22.980]  Let's take another call before we go to break here.
[2:03:22.980 --> 2:03:23.980]  Let's jam in one more.
[2:03:23.980 --> 2:03:26.980]  Let's go to Nick in New Jersey.
[2:03:26.980 --> 2:03:27.980]  Go ahead.
[2:03:27.980 --> 2:03:28.980]  Hi, Alex.
[2:03:28.980 --> 2:03:29.980]  How you doing?
[2:03:29.980 --> 2:03:30.980]  Good brother.
[2:03:30.980 --> 2:03:31.980]  Thanks for calling.
[2:03:31.980 --> 2:03:32.980]  Yes, real quick.
[2:03:32.980 --> 2:03:37.980]  I just wanted to say I didn't know who you were or what info words was until you guys were banned last year.
[2:03:37.980 --> 2:03:41.980]  So I'm one of the examples of how it turned on the globalist.
[2:03:41.980 --> 2:03:42.980]  Beautiful.
[2:03:42.980 --> 2:03:46.980]  So the way we get out as you spread the word, brother, please release me from prison.
[2:03:46.980 --> 2:03:50.980]  Yes, I show my friends a lot of things and, you know, surprisingly, you know, I'm 23.
[2:03:50.980 --> 2:03:55.980]  So a lot of my friends, especially being from New Jersey, are a little liberal, but they
[2:03:55.980 --> 2:03:58.980]  don't disagree with things you say, which, you know, I think when people hear what you
[2:03:58.980 --> 2:04:04.980]  have to say, you know, if they're down to actually critically, I think they take that
[2:04:04.980 --> 2:04:08.980]  information and hopefully they think about what it is they're seeing.
[2:04:08.980 --> 2:04:13.980]  But really, the reason I called you today was one with the impeachment.
[2:04:13.980 --> 2:04:16.980]  I can't remember the man's name now.
[2:04:16.980 --> 2:04:22.980]  Kalani, the one of the four that was talking about how this impeachment is going to only
[2:04:22.980 --> 2:04:25.980]  hurt the Democrats when he was given the testimony.
[2:04:25.980 --> 2:04:29.980]  The funny thing is contributor for CNN and MSNBC.
[2:04:29.980 --> 2:04:34.980]  And after his testimony, I haven't seen him on either network in the last week.
[2:04:34.980 --> 2:04:41.980]  And just that, you know, real quick, you know, my cousin was sending me messages yesterday
[2:04:41.980 --> 2:04:45.980]  that New Jersey, here in New Jersey, as I like to call it, the People's Republic of New Jersey,
[2:04:45.980 --> 2:04:47.980]  they were talking about...
[2:04:47.980 --> 2:04:51.980]  Hold on, I got a guest popping in, but as soon as we come, if you can hold the pop back,
[2:04:51.980 --> 2:04:54.980]  you got to say, well, they're right back, stay with us.
[2:04:54.980 --> 2:05:00.980]  The 12 days of Christmas Super Sale has come to Info Wars with free shipping store-wide
[2:05:00.980 --> 2:05:06.980]  double-patriot points. Finish your Christmas shopping with one click and support the Info War.
[2:05:06.980 --> 2:05:11.980]  For the 12 days of Christmas, we're adding a new special every day, plus free shipping,
[2:05:11.980 --> 2:05:16.980]  double-patriot points, and extra stickers in every package to be good little elves
[2:05:16.980 --> 2:05:19.980]  and spread the Info War, triggering libtards.
[2:05:19.980 --> 2:05:22.980]  Check in every day to find the new deals.
[2:05:22.980 --> 2:05:31.980]  Cure a bottle of the Good Halogen X3 at cost at $29.95 and get a free bottle of Biotru Selenium.
[2:05:31.980 --> 2:05:37.980]  Buy real Red Pill Plus and real Red Pill at 65% off and get a free bottle of Selenium as well.
[2:05:37.980 --> 2:05:39.980]  Silver Bullet is only $9.95.
[2:05:39.980 --> 2:05:45.980]  Ultimate Female Force and Super Female Vitality Combo are at cost at $29.95.
[2:05:45.980 --> 2:05:54.980]  Eight-pack Power Stack is also at cost at $29.95 with free shipping and over 100 others at InfoWarsStore.com and support the Info War.
[2:05:54.980 --> 2:06:19.980]  Music playing.
[2:06:19.980 --> 2:06:24.980]  We've taken in more than we ever have. The Democrats are turning them against America.
[2:06:24.980 --> 2:06:27.980]  We have a right to have borders. The Third World's collapsing.
[2:06:27.980 --> 2:06:33.980]  We've got to get control of the drug gangs, the Islamic invasions. Here's some of what he had to say.
[2:06:33.980 --> 2:06:36.980]  Pete Taborska is a congressional candidate from the state of North Carolina.
[2:06:36.980 --> 2:06:41.980]  He has called for a 10-year moratorium on all immigration. He joins us tonight.
[2:06:41.980 --> 2:06:46.980]  Pete, thanks so much for coming on tonight. When you say all immigration, do you mean all immigration or is it all illegal immigration?
[2:06:46.980 --> 2:06:50.980]  Sure. So, Tucker, it's important that we define what an immigration moratorium is.
[2:06:50.980 --> 2:06:54.980]  In this case, it means no net immigration to the United States.
[2:06:54.980 --> 2:06:58.980]  So, about 200,000 people leave the United States every year.
[2:06:58.980 --> 2:06:59.980]  Yes.
[2:06:59.980 --> 2:07:09.980]  Bringing in 200,000 legal aliens would be fine, but bottom line, we would like to have no population increase from legal immigration.
[2:07:09.980 --> 2:07:16.980]  Sure. So, Pete Taborska joins us. Pete for NC.com. He's been on Owen's show, The War Room.
[2:07:16.980 --> 2:07:25.980]  He's been on some of the broadcasts like Firepower with Will Johnson, who's out on the road tonight with crew there in Hershey, Pennsylvania.
[2:07:25.980 --> 2:07:32.980]  I'm doing a live broadcast tonight from 6 p.m. until it ends with live feeds and more at band.video and infowars.com.
[2:07:32.980 --> 2:07:38.980]  We're also going to put it out on the radio and TV satellites for TV stations and radio stations that would like to pick that up.
[2:07:38.980 --> 2:07:43.980]  It's going to be pretty powerful, I think, and I think your listeners will be informed by it.
[2:07:43.980 --> 2:07:47.980]  But I want to just talk about the fact that people like this is a radical statement.
[2:07:47.980 --> 2:07:51.980]  You can't immigrate to Saudi Arabia. You can't teach Christianity in Saudi Arabia. You'll get executed.
[2:07:51.980 --> 2:07:56.980]  They didn't take one Islamic refugee, but we've taken millions.
[2:07:56.980 --> 2:07:59.980]  The UN ran our refugee program until two years ago.
[2:07:59.980 --> 2:08:01.980]  Trump took us out of that program.
[2:08:01.980 --> 2:08:06.980]  Now he signed executive orders, blocking even more of it because it's weaponization. Here's some headlines.
[2:08:06.980 --> 2:08:10.980]  Mayors asked Trump to import more refugees to U.S. for cultural diversity.
[2:08:10.980 --> 2:08:12.980]  It's a Breitbart article.
[2:08:12.980 --> 2:08:17.980]  And it goes on to have these mayors saying we need this diversity even if they just live on welfare.
[2:08:17.980 --> 2:08:23.980]  Here's a big government study. 63% of non-citizen households access welfare programs.
[2:08:23.980 --> 2:08:26.980]  In Europe, it's over 80%.
[2:08:26.980 --> 2:08:27.980]  So it goes on from there.
[2:08:27.980 --> 2:08:33.980]  House candidate in North Carolina, our guest, talks about an all-out moratorium,
[2:08:33.980 --> 2:08:37.980]  Sweden rape. Most convicted attackers are foreign-born.
[2:08:37.980 --> 2:08:39.980]  BBC News reports.
[2:08:39.980 --> 2:08:43.980]  In Italy, it's close to 50% of the actual migrants doing it.
[2:08:43.980 --> 2:08:45.980]  Same thing in Sweden.
[2:08:45.980 --> 2:08:50.980]  And we're just supposed to pay for it all and just unvetted, bring people in.
[2:08:50.980 --> 2:08:53.980]  They call it the Underground Railroad.
[2:08:53.980 --> 2:08:57.980]  Well, people were getting out of something bad going to something good, the Underground Railroad.
[2:08:57.980 --> 2:09:02.980]  But when people are brought here, they're saying America's bad, the left is, but they're bringing them here.
[2:09:02.980 --> 2:09:04.980]  The supposed Nazi command base.
[2:09:04.980 --> 2:09:06.980]  So it's been weaponized.
[2:09:06.980 --> 2:09:07.980]  The globalists are behind it.
[2:09:07.980 --> 2:09:08.980]  We have to shut it down.
[2:09:08.980 --> 2:09:14.980]  And instead of arguing about it all day and the rest of it, we need to go back to the Constitution, the Bill of Rights,
[2:09:14.980 --> 2:09:20.980]  the power of the presidency that the Supreme Court has confirmed has the power to totally shut down legal and illegal immigration.
