[00:00.000 --> 00:13.000]  They took my saddle in history, broke my leg in the Saturday, lost my wife and a girlfriend
[2:37:11.000 --> 2:37:14.000]  So the train wreck is part of the good aspect of it to show you how real it is.
[2:37:14.000 --> 2:37:21.000]  But let me just, I'm not holding this to keep you listening.
[2:37:21.000 --> 2:37:23.000]  I just don't want to get this wrong.
[2:37:23.000 --> 2:37:28.000]  And I don't want to, some things are so big, I don't want to do them live.
[2:37:28.000 --> 2:37:30.000]  That's what I'm saying.
[2:37:30.000 --> 2:37:39.000]  So maybe I should have you take over and I should go focus for about 10 minutes and try to calm down and then write some notes myself off the notes I've got and then kind of give this to you.
[2:37:39.000 --> 2:37:42.000]  But the country's in total civil war right now.
[2:37:42.000 --> 2:37:46.000]  The White House knows that there are foreign powers involved with the Democrats in the espionage.
[2:37:46.000 --> 2:37:48.000]  It's not the Russians.
[2:37:48.000 --> 2:37:56.000]  Let's just say that it's south of North Korea and borders of South China Sea.
[2:37:56.000 --> 2:37:58.000]  I mean, there is a lot of craziness going on.
[2:37:58.000 --> 2:38:00.000]  This is such an epic moment historically.
[2:38:00.000 --> 2:38:02.000]  Let me just go to Sernovich with his breaking news.
[2:38:02.000 --> 2:38:05.000]  My God, everything we've talked about has been breaking a month later, a week later.
[2:38:05.000 --> 2:38:07.000]  And that's why we're so under attack.
[2:38:07.000 --> 2:38:12.000]  We have these sources and now I've got this other bombshell news about the Civil War taking place.
[2:38:12.000 --> 2:38:15.000]  And it has it with Fox News and so much more.
[2:38:15.000 --> 2:38:19.000]  Let's go to Mike Sernovich, the one of the greatest investigative living journalists today.
[2:38:19.000 --> 2:38:21.000]  So they call him and myself the king of fake news.
[2:38:21.000 --> 2:38:25.000]  Mike, you're hosting the fourth hour already today coming up in 22 minutes.
[2:38:25.000 --> 2:38:30.000]  Give us a little forte, a little hors d'oeuvre on what's coming up.
[2:38:30.000 --> 2:38:35.000]  Yeah, so, you know, literally I'm 10 minutes late because I was breaking a story.
[2:38:35.000 --> 2:38:41.000]  I have got official word, the Trump movement is over in 120 days from when he was elected.
[2:38:41.000 --> 2:38:43.000]  It's almost over and I'll tell you why.
[2:38:43.000 --> 2:38:46.000]  Johnny DeStefano is a guy's name.
[2:38:46.000 --> 2:38:50.000]  He's head of personnel for Trump and he's a never-Trumper.
[2:38:50.000 --> 2:38:53.000]  The current people who are actually pro-Trump people,
[2:38:53.000 --> 2:38:56.000]  they're on their Schedule C presidential employees.
[2:38:56.000 --> 2:38:59.000]  That only lasts for 120 days.
[2:38:59.000 --> 2:39:01.000]  That is being expired.
[2:39:01.000 --> 2:39:06.000]  And what I'm hearing is that in the personnel office and Johnny DeStefano in particular,
[2:39:06.000 --> 2:39:12.000]  they're not going to give them permanent positions fewer than 15%, one-five,
[2:39:12.000 --> 2:39:19.000]  fewer than 15% of people who came in as temporary presidential Schedule C employees are being made permanent.
[2:39:19.000 --> 2:39:22.000]  So it's pretty much over in a few days, Alex.
[2:39:22.000 --> 2:39:24.000]  So that's how dire things are right now.
[2:39:24.000 --> 2:39:28.000]  I was told all the pro-Trump people are going to be shoved out.
[2:39:28.000 --> 2:39:31.000]  Only 15% of them are going to be made permanent.
[2:39:31.000 --> 2:39:33.000]  People have moved across the country.
[2:39:33.000 --> 2:39:35.000]  People who supported Trump, people who are on the base.
[2:39:35.000 --> 2:39:42.000]  So they said day 120, it's over for Trump and that's when the GOP and Congress are going to move in
[2:39:42.000 --> 2:39:46.000]  and start with the impeachment stuff because the purge is on.
[2:39:46.000 --> 2:39:50.000]  Now we talked a few nights ago and you talked to some of your high-level sources saying that the word was
[2:39:50.000 --> 2:39:53.000]  it was going to be over, that Trump's been totally encircled.
[2:39:53.000 --> 2:39:54.000]  You now talk to these folks.
[2:39:54.000 --> 2:39:57.000]  I know they've used the national security clearances to block patriots getting in.
[2:39:57.000 --> 2:40:02.000]  Hopefully Trump gets this info and there's a counter-firing that Colonel Schaefer and so many others have talked about
[2:40:02.000 --> 2:40:04.000]  where he removes these people.
[2:40:04.000 --> 2:40:07.000]  I mean, isn't this now do or die for Trump?
[2:40:07.000 --> 2:40:11.000]  No, I mean, it's do or die for the whole movement because as you know, personnel is policy
[2:40:11.000 --> 2:40:15.000]  and what I've heard from multiple sources, they're now joking.
[2:40:15.000 --> 2:40:16.000]  It's not a joke.
[2:40:16.000 --> 2:40:19.000]  I mean, they're now kind of quibbling, quibbling at the White House.
[2:40:19.000 --> 2:40:25.000]  The only way to get within 100 feet of Trump in the White House is to have tweeted out that you were never Trump.
[2:40:25.000 --> 2:40:27.000]  That's how dire it's gotten.
[2:40:27.000 --> 2:40:32.000]  And now that these temporary people aren't going to be made permanent, they're just going to be gone.
[2:40:32.000 --> 2:40:37.000]  Johnny DeStefano, who was a never-Trumper, he was a Brian Hook, another never-Trumper.
[2:40:37.000 --> 2:40:40.000]  They laundered all their never-Trump messages through their wives and other people.
[2:40:40.000 --> 2:40:43.000]  Those are the people who are running personnel out.
[2:40:43.000 --> 2:40:51.000]  So once these temporary appointees are out of there, Trump is going to have zero support, no loyalists,
[2:40:51.000 --> 2:40:56.000]  and then that's when the House GOP, the congressional GOP, is going to move in and take him out.
[2:40:56.000 --> 2:40:59.000]  So if I don't know what to say, it really is do or die right now.
[2:40:59.000 --> 2:41:01.000]  This couldn't be any more dire.
[2:41:01.000 --> 2:41:04.000]  Well, the word is Trump's getting ready to axe the upper-level leadership.
[2:41:04.000 --> 2:41:08.000]  What does he need to do specifically, Mike Cernovich, to kill this?
[2:41:08.000 --> 2:41:10.000]  Get ready, Johnny DeStefano.
[2:41:10.000 --> 2:41:16.000]  His head of personnel, Google Johnny DeStefano, he's the head of personnel.
[2:41:16.000 --> 2:41:18.000]  He makes all of the personnel decisions.
[2:41:18.000 --> 2:41:24.000]  I realize, you know, a lot of us, we talk about Renz Priebus and Spicer because they're the big celebrities.
[2:41:24.000 --> 2:41:28.000]  But the real power I've told now, it isn't Renz Priebus anymore.
[2:41:28.000 --> 2:41:34.000]  Johnny DeStefano has more power than anyone else in the White House, probably than Trump himself,
[2:41:34.000 --> 2:41:37.000]  because this guy is bringing in like a Trojan horse.
[2:41:37.000 --> 2:41:40.000]  He is bringing in never-Trumpers into the White House.
[2:41:40.000 --> 2:41:42.000]  So who cares what happens with Renz Priebus?
[2:41:42.000 --> 2:41:44.000]  Doesn't matter. Sean Spicer doesn't matter.
[2:41:44.000 --> 2:41:51.000]  If the head of personnel and policy is going to send all the people who moved across the country and who supported Trump,
[2:41:51.000 --> 2:41:57.000]  if he's going to send them back home without a job in a couple of weeks, doesn't matter what happens with Renz Priebus or Spicer.
[2:41:57.000 --> 2:41:59.000]  That's the high profile.
[2:41:59.000 --> 2:42:08.000]  So I was actually told that a lot of the information we're getting about Priebus is a distraction from what's going on with Johnny DeStefano.
[2:42:08.000 --> 2:42:14.000]  He is actually the person with the most power, more power now than Renz Priebus himself.
[2:42:14.000 --> 2:42:17.000]  And they're certainly moving on Trump right now.
[2:42:17.000 --> 2:42:19.000]  I'll go ahead and break down the information I got.
[2:42:19.000 --> 2:42:30.000]  Rupert Murdoch has been on the fence about Trump and over the weekend talked to Trump on Sunday and decided to go ahead and warn Trump about the plans with the Democrats to turn over Fox News to get rid of it,
[2:42:30.000 --> 2:42:32.000]  to go ahead and cull it out.
[2:42:32.000 --> 2:42:34.000]  But they see their ratings down by a third.
[2:42:34.000 --> 2:42:38.000]  They see that billion dollars being lost and they know the Democrats have always been their enemies as well.
[2:42:38.000 --> 2:42:55.000]  So Murdoch's having second thoughts about turning the empire over to his sons and family and warn Trump, fire everyone you've got in there and bring in people and follow Reagan's example and put in a bunch of patriots right now or you're done.
[2:42:55.000 --> 2:42:57.000]  They are going to impeach you.
[2:42:57.000 --> 2:43:00.000]  So I've had this info for an hour and a half.
[2:43:00.000 --> 2:43:10.000]  Sernovich, I wanted him on separately today just to pop in because he's hosting the fourth hour. He's basically mirrored some of the info, but what I'm giving people is directly from the highest levels.
[2:43:10.000 --> 2:43:16.000]  One of the other things that Trump doesn't even know about, but has been confirmed by Intel agencies.
[2:43:16.000 --> 2:43:29.000]  Jared Kushner met with the Russian ambassador in the middle of the campaign long before Trump was even the presumptive nominee in early 2016, even before Cleveland.
[2:43:29.000 --> 2:43:33.000]  And Trump never knew about this, that Kushner met with the Russian ambassador.
[2:43:33.000 --> 2:43:47.000]  And then when Trump comes out and says, none of my campaign ever met with him, well, the whole time it's Kushner feeding that as a way to parlay things to the Morning Joe and others that he indeed is the ace card of the Russians.
[2:43:47.000 --> 2:43:54.000]  Jared Kushner is the double agent operative who is the only one that actually did meet none of the Trump people did.
[2:43:54.000 --> 2:44:02.000]  And he's been the one feeding the Intel the entire time, I guess, wanting to get funding for his failed 666 in a Fifth Avenue building or whatever the rest it is.
[2:44:02.000 --> 2:44:11.000]  But Jared Kushner is the person that did meet with the Russians and did discuss things and has been the point of contact.
[2:44:11.000 --> 2:44:20.000]  And Trump never even knew about that until about a month ago when Kushner said, I'm ready to testify to Congress about my Russian meetings.
[2:44:20.000 --> 2:44:30.000]  That was just to make him look clear and open later when Jared Kushner through weakness or whatever is one of the main moles that met with the Russian ambassador.
[2:44:30.000 --> 2:44:37.000]  And then again, Rupert Murdoch decided to join with Trump because he believes it's double cross to take down all conservatives, including Fox News entirely.
[2:44:37.000 --> 2:44:43.000]  And as told Trump, he needs to have a sweeping purge right now where he will be destroyed when the personnel change comes over.
[2:44:43.000 --> 2:44:47.000]  I didn't exactly know what they meant by the big personnel change. I thought Trump was doing the sweep.
[2:44:47.000 --> 2:44:51.000]  They said, no, he's got to do a total sweep to stop their complete takeover.
[2:44:51.000 --> 2:44:57.000]  And I didn't quite understand it. And the turn of it's like, you know, a key in a lock or a horse in a carriage, perfect storm.
[2:44:57.000 --> 2:44:59.000]  This all just came together.
[2:44:59.000 --> 2:45:06.000]  Yeah, I know you're exactly right. And it isn't as sexy to a lot of people as the Sean Spicer rents previous thing.
[2:45:06.000 --> 2:45:11.000]  But that was that was the key is your sources were giving you great information as always.
[2:45:11.000 --> 2:45:17.000]  But the key was that they're all 100 because you and I, you know, we're not your crap. So a lot of the stuff we hear, we're like, wait a minute.
[2:45:17.000 --> 2:45:19.000]  A lot of it goes over our head.
[2:45:19.000 --> 2:45:27.000]  Yeah. So the key is that if you look up and you know, your production team could find it is called a schedule C presidential employee.
[2:45:27.000 --> 2:45:30.000]  They're in there on 120 days.
[2:45:30.000 --> 2:45:34.000]  Yeah, they're transitional. And then if they don't get authorized and approved, they're gone.
[2:45:34.000 --> 2:45:42.000]  Exactly. And there is somewhere between 800 and 1200 of them fewer than 15% have been made permanent.
[2:45:42.000 --> 2:45:48.000]  So that is Johnny DeStefano silent coup. That's why the fake news media won't cover because they're controlled by deep state.
[2:45:48.000 --> 2:45:54.000]  The only people, so I want people, I don't know if we need to call the office of personnel policy.
[2:45:54.000 --> 2:45:59.000]  We need to jam their phone lines. I don't know if there's a line, a phone number or something.
[2:45:59.000 --> 2:46:01.000]  We need to jam their phone.
[2:46:01.000 --> 2:46:04.000]  They have to be routed to the office of personnel management.
[2:46:04.000 --> 2:46:14.000]  Yeah, we need to get on the phones because if I was about to say that everybody needs to call Congress, call the White House, tweet at the president, retweet, get it all up to him.
[2:46:14.000 --> 2:46:20.000]  When he out at the rallies, you know, let him know that we understand that he is the touchshaler head of the Liberty movement.
[2:46:20.000 --> 2:46:23.000]  They want to destroy him as an example to everybody.
[2:46:23.000 --> 2:46:26.000]  You're going to be covering all this more in 15 minutes in detail.
[2:46:26.000 --> 2:46:31.000]  Mike Cernovich, an amazing investigative journalist. And again, it's not even fun to have his sources or our sources.
[2:46:31.000 --> 2:46:37.000]  This is real. This is dangerous. This is hardcore, the level we've gotten to.
[2:46:37.000 --> 2:46:41.000]  And it's just getting crazier and crazier and crazier.
[2:46:41.000 --> 2:46:44.000]  And there's very few patriots in. They're very high level.
[2:46:44.000 --> 2:46:51.000]  And Trump is just completely surrounded. He's got to know they are going to get these people in where he has no protection.
[2:46:51.000 --> 2:46:54.000]  They're going to leak a bunch of lies and they're going to destroy him.
[2:46:54.000 --> 2:46:57.000]  He is hopping mad. He wants them out. He wants a purge.
[2:46:57.000 --> 2:47:01.000]  The problem is none of them will follow his orders to even do it.
[2:47:01.000 --> 2:47:05.000]  So, Mike Cernovich, we'll be following you coming up in the fourth hour today.
[2:47:05.000 --> 2:47:07.000]  If stations out there aren't carrying the fourth hour, a lot of them do.
[2:47:07.000 --> 2:47:10.000]  m4wars.com forward slash show. Thank you, Mike.
[2:47:10.000 --> 2:47:11.000]  Thank you.
[2:47:11.000 --> 2:47:19.000]  Yeah. I mean, at this point, this is so real and so sickening and so painful that I don't have any personal ties to Trump.
[2:47:19.000 --> 2:47:22.000]  Other than I've talked to him, you know, 10 times or whatever.
[2:47:22.000 --> 2:47:25.000]  It's just out of no, he's real. He cares about the country.
[2:47:25.000 --> 2:47:30.000]  He's surrounded by scum. It's like watching a baby getting eaten by 100 rats or something.
[2:47:30.000 --> 2:47:32.000]  And because we won't empower the president, he's like a baby.
[2:47:32.000 --> 2:47:34.000]  He can't move because he can't do it all himself.
[2:47:34.000 --> 2:47:36.000]  And the rats are like eating him.
[2:47:36.000 --> 2:47:38.000]  It's not like a lion being eaten by hyenas.
[2:47:38.000 --> 2:47:43.000]  It's worse. It's a baby, the rebirth of America being eaten by these little red-eyed rats.
