[00:00.000 --> 00:22.000]  The Alex Jones show, because there is a war on, or your mind.
[2:39:04.000 --> 2:39:06.000]  Like, I'm selling stuff that there's a market for that helps people.
[2:39:06.000 --> 2:39:08.000]  I'm not selling Prozac or cocaine.
[2:39:08.000 --> 2:39:12.000]  And so then Hogg, my son does have idea.
[2:39:12.000 --> 2:39:15.000]  And he says, Mr. Hogg, you ought to look into water filtration.
[2:39:15.000 --> 2:39:16.000]  There's a lot of toxins in the water.
[2:39:16.000 --> 2:39:17.000]  That ought to be healthy.
[2:39:17.000 --> 2:39:21.000]  National news, Alex Jones' son, death threats David Hogg.
[2:39:21.000 --> 2:39:26.000]  Isn't that fun when the news media can just spin it?
[2:39:26.000 --> 2:39:30.000]  And, you know, honestly, when this whole Kanye West thing kind of boils down to it,
[2:39:30.000 --> 2:39:35.000]  I really think it was the national media that really caused this whole thing to become an issue.
[2:39:35.000 --> 2:39:36.000]  Let's explain when we come back.
[2:39:36.000 --> 2:39:39.000]  And I want to make your announcement, which is so huge and so critical and so important,
[2:39:39.000 --> 2:39:42.000]  that everybody, not just do what he's doing, but you need to do it, folks, if you want to win.
[2:39:42.000 --> 2:39:43.000]  That's my humble opinion.
[2:39:43.000 --> 2:39:46.000]  Humble water merchant, water filter merchant salesman.
[2:39:46.000 --> 2:39:49.000]  But here is, I don't know what to call this guy.
[2:39:49.000 --> 2:39:50.000]  He's not AIDS Crelix.
[2:39:50.000 --> 2:39:52.000]  He's not Pearl the Cuck.
[2:39:52.000 --> 2:39:55.000]  He's not Trigley Puff.
[2:39:55.000 --> 2:39:57.000]  I mean, what is this guy?
[2:39:57.000 --> 2:40:02.000]  Is this liberal rape?
[2:40:02.000 --> 2:40:07.000]  Well, his t-shirt says Black Identity Extremists, so we could just call him that.
[2:40:07.000 --> 2:40:08.000]  Look at the walls.
[2:40:08.000 --> 2:40:10.000]  Look at the corridors.
[2:40:10.000 --> 2:40:12.000]  They look like a misshapen pig.
[2:40:12.000 --> 2:40:13.000]  That's what she is.
[2:40:13.000 --> 2:40:14.000]  Look at the walls.
[2:40:14.000 --> 2:40:16.000]  Look at the corridors.
[2:40:16.000 --> 2:40:19.000]  Then you don't have to be accepted.
[2:40:19.000 --> 2:40:20.000]  I don't have to be accepted.
[2:40:20.000 --> 2:40:23.000]  So, identity is strength, less than white.
[2:40:23.000 --> 2:40:24.000]  What is your name?
[2:40:24.000 --> 2:40:25.000]  Trump.
[2:40:25.000 --> 2:40:26.000]  I'm not devil.
[2:40:26.000 --> 2:40:27.000]  Look at theמע.
[2:40:27.000 --> 2:40:28.000]  He's a racist.
[2:40:28.000 --> 2:40:29.000]  He's just right then by street.
[2:40:29.000 --> 2:40:31.000]  You are only possible when you cut your power.
[2:40:31.000 --> 2:40:34.000]  You're going to do all of mylines all of you call imp directors.
[2:40:34.000 --> 2:40:36.000]  I know what you want to cause.
[2:40:36.000 --> 2:40:39.000]  Our将 we've got physical violence.
[2:40:39.000 --> 2:40:41.000]  Now I'm going to pull our ass down, I don't want do all of you cleaned, guys.
[2:40:41.000 --> 2:40:27.540]  And most of them arecyjt necessarily we need them, folks Donp
[2:40:45.660 --> 2:40:49.660]  I really should've stopped me like that.
[2:40:52.000 --> 2:40:53.000]  There's more of it.
[2:40:53.000 --> 2:40:54.000]  Let's just go back to it.
[2:40:54.000 --> 2:40:56.000]  He clearly
[2:41:06.800 --> 2:41:11.640]  This art type of image image tells a thousand words this video
[2:41:12.280 --> 2:41:14.280]  tells trillions of works
[2:41:14.320 --> 2:41:20.840]  You have Houston a city of over six million people Metro eight million. Is that correct eight million people Metro?
[2:41:21.280 --> 2:41:23.280]  and you have got the
[2:41:23.280 --> 2:41:26.440]  anti-trump anti-america crowd over here
[2:41:30.240 --> 2:41:34.880]  There's like ten of them and they're pumping up the balloon from England
[2:41:35.400 --> 2:41:41.760]  They're pumping up their balloon from England. This is all they got a hundred thousand plus people here
[2:41:43.120 --> 2:41:45.120]  And here they are
[2:41:45.120 --> 2:41:52.120]  Literally over here with no one
[2:42:02.160 --> 2:42:04.160]  There's the good
[2:42:08.920 --> 2:42:10.920]  So full-screen good
[2:42:10.920 --> 2:42:12.920]  Oh
[2:42:14.240 --> 2:42:17.040]  Look at these people they all look like escapees from mental institutions
[2:42:18.320 --> 2:42:22.400]  Like not one of them looks like they are not are not insane
[2:42:29.880 --> 2:42:32.960]  Hold on a second cruise cruise wants to stop abortions, ma'am
[2:42:33.720 --> 2:42:35.720]  cruise wants to stop abortions
[2:42:36.000 --> 2:42:38.000]  Yeah
[2:42:38.000 --> 2:42:41.120]  What you say cruises a death eater, but we gotta come back to the rest of this
[2:42:41.120 --> 2:42:45.080]  I just wanted the video because I know he said he's gonna rape me a bunch. I guess it's coming up
[2:42:45.320 --> 2:42:50.480]  Maybe I don't want to watch it, but it's gonna be up on info wars.com. That guy's so crazy. I'll boo to you
[2:42:50.840 --> 2:42:53.040]  We'll be right back ladies and gentlemen stay with us
[2:42:54.880 --> 2:42:55.920]  We've taken
[2:42:55.920 --> 2:42:59.680]  thousands of years of known research and put it together with our own four years of
[2:43:00.200 --> 2:43:05.640]  Seeking and testing to find the very best systems that God gave us to mother nature to detoxify the body
[2:43:05.640 --> 2:43:11.960]  That's why I'm introducing z-shield toxic metal and chemical defense support. It's made in the USA
[2:43:11.960 --> 2:43:18.920]  It's filled with known compounds from nature that are absolutely associated with detoxifying the body and it supports the info war
[2:43:18.920 --> 2:43:21.000]  It is a classical 360 win
[2:43:21.000 --> 2:43:27.280]  This is the formula that I personally have been taking for over a year and now we believe we have come as close to
[2:43:27.480 --> 2:43:31.600]  Perfection when it comes to a detoxifier as you can possibly get you want to yourself
[2:43:31.600 --> 2:43:35.880]  You owe it to your family and you owe it to the future of this country in the world that
[2:43:36.080 --> 2:43:43.440]  Patriots stay as healthy and as clean and as focused as you can be because we need you the remnant of America to
[2:43:43.600 --> 2:43:49.520]  Reignite those brush fires the next level and to be healthy and as focused as you can be thanks to your support and your prayers together
[2:43:49.600 --> 2:43:54.560]  We're changing the world now. It's time to change our bodies with z-shield info wars life.com
[2:43:54.560 --> 2:44:01.480]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by info wars life
[2:44:02.080 --> 2:44:08.560]  Help the good bacteria thrive and support overall digestive health with our specially formulated
[2:44:09.000 --> 2:44:14.680]  Prebiotic fiber a mixture of clinically studied and organic acacia fruit and flax fiber
[2:44:15.600 --> 2:44:20.720]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria
[2:44:20.720 --> 2:44:26.040]  Which helps you digest food absorb nutrients and even support your immune system
[2:44:26.400 --> 2:44:33.360]  Info wars life's cutting-edge formula only brings you the highest quality organic and clinically studied ingredients
[2:44:33.680 --> 2:44:37.680]  Cheap prebiotic fibers are used up only at the beginning of the colon
[2:44:37.680 --> 2:44:43.600]  But our premium organic acacia fiber is slowly digested by the good bacteria
[2:44:43.880 --> 2:44:50.320]  Throughout the entire colon for maximum prebiotic effect head to info wars life.com
[2:44:50.320 --> 2:44:53.920]  Or call 1-888-253-3139
[2:44:59.720 --> 2:45:02.640]  Years ago info wars life created the powerful
[2:45:02.840 --> 2:45:09.600]  Myco zx formula to help you combat internal yeast as the years went on and more toxins were pumped into the environment our team
[2:45:09.600 --> 2:45:13.280]  Knew we had to create a bigger and better formula to help support your gut health
[2:45:13.280 --> 2:45:20.640]  Myco zx plus is the result of the search for that formula a unique natural formula designed to support the body's natural cleansing of
[2:45:20.640 --> 2:45:22.040]  Yeast and fungal organisms
[2:45:22.040 --> 2:45:24.640]  There's no better product to help your body fight back
[2:45:24.840 --> 2:45:28.440]  Myco zx plus helps support a healthy microbial balance in the body
[2:45:28.600 --> 2:45:35.680]  Support your digestive tract and addresses the intestinal yeast that can cause you problems if it goes unchecked powered by an impressive list of ingredients
[2:45:36.200 --> 2:45:42.240]  Including grapefruit seed extract how Darko bark and grape seed extract our formula is fueled by ingredients
[2:45:42.240 --> 2:45:47.520]  That stood the test of time as powerful micro balancing properties pick up a bottle of the new and improved
[2:45:47.760 --> 2:45:52.400]  Myco zx plus today at info wars life.com. That's info wars life.com
[2:45:55.400 --> 2:46:01.840]  As the years go by it gets harder and harder to keep up with your body's nutritional needs with changes in diet
[2:46:02.240 --> 2:46:09.440]  Unnatural ingredients and stress you may not be able to get all the necessary nutrients amino acids vitamins and minerals needed daily
[2:46:09.440 --> 2:46:16.760]  That's why info wars life created the powerful vitamin mineral fusion formula the new platinum standard of advanced
[2:46:17.120 --> 2:46:24.400]  Multivitamin formulation vitamin mineral fusion uses a unique delivery system to maximize the effects and give your body the tools
[2:46:24.400 --> 2:46:28.200]  It needs to support your body using a proprietary process
[2:46:28.200 --> 2:46:31.080]  We've managed to make this powerhouse formula into a delicious
[2:46:31.680 --> 2:46:35.080]  Concentrated drink mix that's loaded with high quality ingredients
[2:46:35.080 --> 2:46:42.480]  Perfect for a hot summer day or relaxing at home vitamin mineral fusion is loaded with thirty four different essential vitamins minerals
[2:46:42.480 --> 2:46:50.560]  Amino acids and more start supporting your body's needs in a great tasting natural and affordable drink mix with vitamin mineral fusion today
[2:46:50.960 --> 2:46:52.960]  available at info wars store.com
[2:46:52.960 --> 2:47:01.320]  You're listening to the Alex Jones show
[2:47:22.960 --> 2:47:24.960]  Oh
[2:47:38.120 --> 2:47:43.500]  I was seeing that earlier. I forget who sings it. Is it Wu-Tang clan or something and then they already had that made
[2:47:43.800 --> 2:47:45.800]  Those are some talented people
[2:47:45.800 --> 2:47:55.960]  All I know is we had the perfect image coming in to the Alex Jones remix of that's some big old juicy booty right there
[2:47:56.800 --> 2:48:00.800]  She told me that's equivalent like a five-layer all-beef patty
[2:48:02.280 --> 2:48:04.280]  American cheese
[2:48:04.520 --> 2:48:05.720]  cheese
[2:48:05.720 --> 2:48:07.720]  Please don't say dripping again
[2:48:09.480 --> 2:48:11.480]  I kind of like it
[2:48:11.480 --> 2:48:18.280]  Oh, it's not healthy Alex. You indulge on that too much. Yeah, you're gonna have a heart attack and die early
[2:48:20.440 --> 2:48:22.440]  If you're a radio listener, you can't see this
[2:48:22.840 --> 2:48:27.800]  Your heart's gonna give up. Is there something wrong with me that kind of looks good. Okay. Hey, hey, hey, don't say I'm right
[2:48:27.800 --> 2:48:30.600]  I'm okay. She can go do that. I'll make a joke about it
[2:48:30.600 --> 2:48:35.920]  I'm back and don't make a meme about it either because then it'll be banned in Europe. That's how they do big old
[2:48:35.920 --> 2:48:41.480]  Oh five patty all beef. They should bring back the water burger guys. You ever hear him you weren't from Texas then but
[2:48:41.680 --> 2:48:45.560]  His water burger's only in Texas for the states was like all beef patty's
[2:48:45.880 --> 2:48:49.240]  American cheese lettuce tomatoes mustard ketchup
[2:48:50.120 --> 2:48:52.120]  jalapenos on a toasted bun
[2:48:52.480 --> 2:48:55.200]  Now that's what I call a water burger
[2:48:56.960 --> 2:49:02.880]  It's not like ripped torn does the voice over. Oh my gosh all beef patties dripping with cheese
[2:49:02.880 --> 2:49:10.160]  Sesame seed bun a pine a large delicious coca-cola or maybe dr. Pepper
[2:49:10.480 --> 2:49:16.920]  There's thousands of ways to get your water burger juiciness just like you like it water burger, baby
[2:49:18.000 --> 2:49:25.880]  Made in Houston Texas. That's the water burger booty right there. Oh my gosh. Now. We're anyway. Anyway, I don't know why I'm in such a good mood today
[2:49:26.840 --> 2:49:30.000]  Let's get serious you have something really big
[2:49:30.000 --> 2:49:35.560]  Coming up Monday the day before the election here in the ATX. I think other people should do around the country
[2:49:35.560 --> 2:49:37.080]  We also have hundreds of
[2:49:37.080 --> 2:49:43.640]  Beto is a pedo, which is you know, whatever that means he calls it beta. I think he identifies as a pedo
[2:49:43.640 --> 2:49:48.880]  I don't say literally one. He just looks like one most Democrats do look like them and and we know that's kind of their pastime
[2:49:48.880 --> 2:49:51.920]  We also have a veto for gun confiscation. What are the other signs we have?
[2:49:53.160 --> 2:49:56.560]  Beto, I think there's a veto for Nambla. I think that I've seen
[2:49:56.560 --> 2:49:59.800]  I think those are the Democrats do support Nambla, so
[2:50:00.400 --> 2:50:04.320]  But you know the big one that's gonna cost him the election is obviously he does want to take the guns
[2:50:04.320 --> 2:50:06.880]  Doesn't matter. That's real doesn't matter how much he flip-flops on that
[2:50:06.880 --> 2:50:12.000]  So that's pointed ears. No, I'm telling you the guy just has he's just this he looked like a like an evil elf or something
[2:50:12.000 --> 2:50:14.000]  He's just kind of it just as a creeper aura
[2:50:14.040 --> 2:50:20.320]  Just kind of a creeper presence and you know, Texas knows it and it's fine in and that's why it's mostly creepers
[2:50:20.320 --> 2:50:23.960]  But he talks to my voice like Obama, so he must be real smart
[2:50:23.960 --> 2:50:27.120]  White people don't know what it's like to be poor
[2:50:27.480 --> 2:50:33.440]  But the truth is Alex with six days left till the midterms people do need to do everything they can to you know
[2:50:33.440 --> 2:50:36.320]  Make sure Democrats don't get into power. I mean, that's really what this is
[2:50:36.320 --> 2:50:41.760]  He wants to molest our second amendment and first amendment our borders and our you know our paychecks
[2:50:43.520 --> 2:50:48.280]  So here's why it's so important for me to come on to the Alex Jones show and talk about this because guess what?
[2:50:48.280 --> 2:50:54.680]  The Info Wars army is banned from Twitter, which is where we used to organize and I could you reach out to the people and I'd contact
[2:50:54.680 --> 2:50:56.920]  So they banned it's some great stuff info wars.com
[2:50:57.920 --> 2:51:03.120]  People go in force army.com. Yes. Yes, and that's where we upload the videos that we do which we'll be doing on Monday
[2:51:03.120 --> 2:51:08.400]  So here's the deal for Monday in Austin, Texas. I'm calling out any info warriors here in Austin, Texas
[2:51:08.400 --> 2:51:14.760]  We're gonna do a signhold above a major bridge over highway 35 in Austin, Texas
[2:51:14.760 --> 2:51:19.160]  Now I'm not gonna give out the exact location of the bridge because we don't need a bunch of
[2:51:19.600 --> 2:51:22.600]  Rabbit leftists coming out and assaulting us. I'd rather avoid that
[2:51:22.960 --> 2:51:26.880]  But so I will announce the official location of the bridge
[2:51:27.680 --> 2:51:31.680]  Maybe maybe Friday. Maybe Monday. It just we'll see how many people respond to this
[2:51:31.680 --> 2:51:38.160]  But Monday at 5 30 on a bridge in Austin, Texas over highway 35. I've got 10 signs
[2:51:38.160 --> 2:51:45.000]  They say record GDP growth under Trump record job growth under Trump record low unemployment under Trump
[2:51:45.560 --> 2:51:49.960]  Vote red vote dem out and then others that say info wars.com banned information
