[00:00:18.470 --> 00:00:20.392]  It's Wednesday, November 18th.
[02:22:21.493 --> 02:22:28.017]  That way he can say that Trump is to blame for COVID and claim that only a new lockdown will stop COVID.
[02:22:28.757 --> 02:22:34.762]  Then, of course, when that new lockdown doesn't work, those of us that didn't submit to the lockdown are going to be blamed for it.
[02:22:34.762 --> 02:22:38.326]  And that's when all the mass arrests start sometime towards the end of next year.
[02:22:38.326 --> 02:22:41.508]  This is a permanent martial law plan.
[02:22:41.508 --> 02:22:44.691]  Trump must repudiate it, expose Fauci and Gates, and the U.N.
[02:22:44.691 --> 02:22:46.373]  takeover, not play games with it.
[02:22:47.645 --> 02:22:49.966]  The great moment of truth is here.
[02:22:49.966 --> 02:23:02.074]  America discovered in the last five, six years that we were under globalist control and that traitors in both parties had sold us out to communist China and multinational corporations and were establishing an authoritarian, anti-American system.
[02:23:02.894 --> 02:23:17.210]  Well, now they've launched their counter-assault and through fraud are trying to steal the election right now and complete the police fake takeover by bankrupting the people of the United States, but also the entire world to bring us to our knees under the Great Reset.
[02:23:17.871 --> 02:23:24.055]  InfoWars has never been more valuable or more important, and I'm honored for the position that you've put me in, and for God's blessing.
[02:23:24.055 --> 02:23:35.843]  But I'm asking all listeners to understand that InfoWars is spending more money than we've ever spent in the fight to expose the stolen election, Agenda 21, the Great Reset, and the globalist takeover.
[02:23:35.843 --> 02:23:38.265]  So please visit InfoWarsStore.com today.
[02:23:38.265 --> 02:23:43.549]  We have the big stop-the-steal sale that I've extended to the weekend, but then it will end because so many products are about to sell out.
[02:23:43.549 --> 02:23:45.730]  Pre-shipping, people pay for their points at 60% off.
[02:23:45.730 --> 02:23:46.651]  InfoWarsStore.com.
[02:23:48.658 --> 02:23:49.818]  It really is simple.
[02:23:49.818 --> 02:23:51.498]  The left are into being deviant.
[02:23:51.498 --> 02:23:53.299]  And I don't mean sexually deviant.
[02:23:53.299 --> 02:23:55.459]  That goes for territory.
[02:23:55.459 --> 02:24:02.420]  I'm talking about deviant against their ancestors, deviant against their own species, deviant against the order of nature.
[02:24:02.420 --> 02:24:07.201]  Even though that deviance is destructive and poisonous, they still do it because they want to play God.
[02:24:07.201 --> 02:24:09.382]  Everything they touch, they destroy.
[02:24:09.382 --> 02:24:14.102]  Their sacrament is aborting babies and then using their body parts.
[02:24:14.102 --> 02:24:17.603]  Their religion is not taking care of the old, but euthanizing them.
[02:24:18.163 --> 02:24:32.071]  Their whole system is designed for the UN to keep third world countries in serious poverty and poor, ballooning populations, then watching all that new fruit die on the vine, to continually reproduce the same nightmares over and over and over again.
[02:24:32.071 --> 02:24:33.872]  They truly are the children of Satan.
[02:24:33.872 --> 02:24:34.832]  They are the children of the devil.
[02:24:34.832 --> 02:24:42.097]  And if you look at the slaves that serve them, Biden and Kamala Harris, it really is manifest that being a slave of Satan is not profitable.
[02:24:42.097 --> 02:24:43.757]  Sin is not profitable.
[02:24:43.757 --> 02:24:45.959]  I'm Alex Jones, and this is the Infowar.
[02:24:49.855 --> 02:24:52.476]  You're listening to The Alex Jones Show!
[02:25:22.881 --> 02:25:25.982]  All right, ladies and gentlemen, we're about to be joined by Alex Jones.
[02:25:25.982 --> 02:25:27.423]  He's got Nick Fuentes with him.
[02:25:27.423 --> 02:25:31.925]  He's got big news coming up.
[02:25:31.925 --> 02:25:34.886]  Big news.
[02:25:34.886 --> 02:25:52.013]  But wow, I mean, you know, I'm just normally such a newshound here on air when I host the War Room or I fill in for Alex or just all the live shows that we have here at InfoWars, but I'm just so enthralled by this stop the steal that's happening right now because, folks, America
[02:25:53.073 --> 02:25:56.677]  I mean, they've been stealing our elections for a long time, but they've been getting away with it.
[02:25:56.677 --> 02:26:18.437]  Kind of like they've been faking news for a long time and getting away with it, but they're not getting away with it anymore, and the American people are more awake than ever, and we can now organize and activate Americans in less than 24 hours to show up by the hundreds, if not thousands, in Atlanta, in Columbia, in Baton Rouge, in Raleigh, in Tallahassee.
[02:26:21.240 --> 02:26:42.866]  And so where does this pivot from here, as the American people are organizing, activating, and mobilizing, becoming more aware than ever, and now we're more aware that all the attacks against us, against our republic, against our children, we now know the names, we now know the faces, nobody heard about Anthony Fauci, now we know about that Nazi rat.
[02:26:45.339 --> 02:26:48.181]  So, Alex Jones is now joining us.
[02:26:48.181 --> 02:26:56.205]  He just had an event with Ali Alexander, Nick Fuentes, the Democrat State Representative Vernon Jones showed up and was great as well.
[02:26:56.205 --> 02:26:58.947]  He joins us now with big news.
[02:26:58.947 --> 02:27:02.469]  First exclusive comments from Alex since the massive rally today.
[02:27:02.469 --> 02:27:04.150]  Alex.
[02:27:04.150 --> 02:27:04.590]  That's right.
[02:27:04.590 --> 02:27:08.873]  First off, I want to thank the great crew here in Austin and here in Atlanta.
[02:27:08.873 --> 02:27:12.275]  I want to thank all the great listeners and viewers for supporting our prayers.
[02:27:12.793 --> 02:27:14.114]  This historic moment.
[02:27:14.114 --> 02:27:19.719]  Rob Dewitt set up a great two-person studio in here, but he got stuck in the crowd back there and didn't get in the car with us.
[02:27:19.719 --> 02:27:20.520]  So he's about to get here.
[02:27:20.520 --> 02:27:23.383]  We had to kind of hook all this up ourselves.
[02:27:23.383 --> 02:27:24.744]  So we're going to have him here soon.
[02:27:24.744 --> 02:27:34.553]  We'll have two mics, but I brought Nick Fuentes along with me because he really, I think, had the best speech of all the great speakers and this Vernon Jones guy.
[02:27:34.997 --> 02:27:36.157]  Would make a great U.S.
[02:27:36.157 --> 02:27:37.157]  Senator.
[02:27:37.157 --> 02:27:38.358]  And he just happens to be a black guy.
[02:27:38.358 --> 02:27:39.378]  He's awesome.
[02:27:39.378 --> 02:27:45.879]  And he laid it out so slick and so truthful and so good how there's total election fraud and all the proof.
[02:27:45.879 --> 02:27:56.001]  And now he switched from a Democrat to a Republican recently because of all their corruption and Black Lives Matter being communist and not liking the black family or any family and Antifa being scum.
[02:27:56.001 --> 02:27:59.721]  I was really impressed by a very gentlemanly, very smart guy.
[02:27:59.721 --> 02:28:02.282]  The second best speech I think
[02:28:03.700 --> 02:28:06.021]  It really goes between him and Nick Fuentes.
[02:28:06.021 --> 02:28:08.822]  But it's not about who gave the best speech.
[02:28:08.822 --> 02:28:11.262]  It's about the truth and the justice and the freedom.
[02:28:11.262 --> 02:28:13.203]  And you're absolutely right.
[02:28:13.203 --> 02:28:16.704]  We have forced other corruption out in the open.
[02:28:16.704 --> 02:28:18.345]  And I don't feel depression.
[02:28:18.345 --> 02:28:19.665]  I don't feel fear of the new world order.
[02:28:19.665 --> 02:28:31.109]  I feel a terrible, dreadful purpose of every cell of my body demanding we resist these people and say no to their GMO takeover, their 5G, their world government, the top epidemiologists.
[02:28:32.489 --> 02:28:46.420]  Top, top expert on viruses in Canada says it's a giant overblown hoax, just a regular cold or flu that Bill Gates again owns so he can say everybody's guilty and that's going to cause a planetary depression, which it already is.
[02:28:46.420 --> 02:28:48.101]  This is Nuremberg trial stuff.
[02:28:48.101 --> 02:28:54.766]  This is, this is the globalists admitting it's a war, a weapon and people finally get, I wasn't just making this up.
[02:28:54.766 --> 02:29:01.131]  So I want to go to Nick Fuentes here, sharing the mic and have you kind of recap your speech where you laid out the real betrayal here.
[02:29:01.536 --> 02:29:06.740]  And what this has shown us and what the Marco Rubios of the world are doing and where we need to go next.
[02:29:06.740 --> 02:29:10.503]  Whether Trump can defeat this fraud or whether we can defeat it.
[02:29:11.471 --> 02:29:12.752]  Thank you so much.
[02:29:12.752 --> 02:29:13.772]  It's great to be with you, Alex.
[02:29:32.822 --> 02:29:38.050]  We're truly the man of the hour and the man of the moment, I think, during this political crisis.
[02:29:38.050 --> 02:29:46.562]  And to reiterate what I said in the State Capitol, what's really important to focus on right now is our war, in my opinion, against the Republican establishment.
[02:29:46.562 --> 02:29:49.086]  And the reason for this is because we understand the threat
[02:29:49.778 --> 02:29:51.900]  That is posed by China, Joe Biden.
[02:29:51.900 --> 02:29:56.163]  We understand the threat posed by the World Economic Forum and the Democrats.
[02:29:56.163 --> 02:29:57.864]  We knew they would rig the election.
[02:29:57.864 --> 02:30:00.065]  We knew exactly how they would rig the election.
[02:30:00.065 --> 02:30:02.507]  Me and Alex have been talking about this for months.
[02:30:02.507 --> 02:30:10.493]  That they would use the mail-in ballots to rig the election in the swing states using the big city political machines to swing in favor of Joe Biden.
[02:30:10.493 --> 02:30:11.634]  It's called the Red Mirage.
[02:30:12.392 --> 02:30:24.337]  What we did not count on, or what many people are not aware of, is that within our own Republican Party, within the Republican establishment, there are elements that are working to sabotage President Trump and the will of the American people.
[02:30:25.006 --> 02:30:26.847]  We saw the fraud on election night.
[02:30:26.847 --> 02:30:28.608]  There's no question that it occurred.
[02:30:28.608 --> 02:30:30.069]  We all saw at 4 a.m.
[02:30:30.069 --> 02:30:36.533]  in the dead of night after everybody went to sleep, after all the poll watchers went home, after all the vote counters went home.
[02:30:36.533 --> 02:30:39.154]  We saw them inject 169,000 ballots in Milwaukee, flipping Wisconsin.
[02:30:39.154 --> 02:30:41.236]  We saw 250,000 ballots come in in the same way.
[02:30:45.879 --> 02:30:47.680]  In Detroit, flipping Michigan.
[02:30:47.680 --> 02:30:49.802]  We saw it in Georgia over the course of a week.
[02:30:49.802 --> 02:30:52.263]  We saw it in Pennsylvania over the course of a week.
[02:30:52.263 --> 02:30:53.684]  We know that it happened.
[02:30:53.684 --> 02:30:56.486]  Marco Rubio knows that it happened, and he said nothing.
[02:30:56.486 --> 02:31:02.230]  In fact, he said that if the president doesn't concede, this is somehow an affront to democracy.
[02:31:02.230 --> 02:31:03.811]  Mitch McConnell has said nothing.
[02:31:03.811 --> 02:31:05.352]  Nikki Haley has said nothing.
[02:31:05.352 --> 02:31:11.235]  Dan Crenshaw, Madison Cawthorn, all the people hailed as the future of the GOP have remained silent.
[02:31:11.235 --> 02:31:13.517]  Well, people like myself and Alex and
[02:31:13.857 --> 02:31:18.718]  Patriots like you coming out to the state capitals have been doing all the work and fighting for this.
[02:31:18.718 --> 02:31:23.820]  So we have to take the fight to them no matter what happens with President Trump.
[02:31:23.820 --> 02:31:28.501]  And let's be clear, we know China Joe's a bought and paid for enemy.
[02:31:28.501 --> 02:31:30.961]  He's not even a trader, he's just a robot.
[02:31:30.961 --> 02:31:40.704]  But when you've got Marco Rubio and you've got the gay pirate Crenshaw and all these fake people doing all of this,
[02:31:41.229 --> 02:31:47.376]  They are literally worse than the enemy because they act like they're with us when they're really establishment folks.
[02:31:47.376 --> 02:31:57.506]  I mean, within hours of them announcing Saturday and a half ago, a week and a half ago, that Biden was the winner, Grinnell came out and said, Trump needs to concede.
[02:31:57.506 --> 02:31:58.888]  When Biden always said,
[02:31:59.656 --> 02:32:00.837]  We're not going to concede.
[02:32:00.837 --> 02:32:02.718]  We're going to wait until it's all certified by the states.
[02:32:02.718 --> 02:32:05.519]  We're going to even battle the electors and try to take it away.
[02:32:05.519 --> 02:32:08.841]  We may even have the states secede and form our own deal.
[02:32:08.841 --> 02:32:10.242]  And they said that to everybody everywhere.
[02:32:10.242 --> 02:32:11.183]  They said, get ready.
[02:32:11.183 --> 02:32:14.345]  But then they were able just to freeze it, put the numbers in with a sucker punch.
[02:32:14.345 --> 02:32:18.507]  That was their plan A. And they went with it.
[02:32:18.507 --> 02:32:22.289]  And so now this is a real betrayal.
[02:32:22.289 --> 02:32:23.090]  But it's OK.
[02:32:23.090 --> 02:32:24.490]  We know who the rhinos are.
[02:32:24.490 --> 02:32:25.991]  And we're taking over the party.
[02:32:25.991 --> 02:32:26.752]  We are the people.
